,Date,Time,Ticker,Price,Transaction Type,Shares before,Shares After,Balance Before,Balance After
80,Gold,2.8169999999999997,2018-10-08,Open,Buy,0,1285,3620.169,0.3240000000000691
81,Gold,2.875,2018-10-09,Close,Sell,1285,0,0.3240000000000691,3694.699
82,Gold,2.842,2018-10-10,Close,Buy,0,1300,3694.699,0.09900000000016007
83,Gold,2.8689999999999998,2018-10-12,Open,Sell,1300,0,0.09900000000016007,3729.799
84,Gold,2.813,2018-10-16,Open,Buy,0,1325,3729.799,2.5739999999996144
85,Gold,2.8560000000000003,2018-10-16,Close,Sell,1325,0,2.5739999999996144,3786.774
86,Gold,2.8289999999999997,2018-10-17,Open,Buy,0,1338,3786.774,1.5720000000001164
87,Gold,2.806,2018-10-19,Open,Sell,1338,0,1.5720000000001164,3756.0
88,Gold,2.838,2018-10-22,Open,Buy,0,1323,3756.0,1.3260000000000218
89,Gold,2.864,2018-10-22,Close,Sell,1323,0,1.3260000000000218,3790.3979999999997
90,Gold,2.8289999999999997,2018-10-23,Open,Buy,0,1339,3790.3979999999997,2.367000000000189
91,Gold,2.783,2018-10-26,Open,Sell,1339,0,2.367000000000189,3728.804
92,Gold,2.812,2018-10-29,Open,Buy,0,1326,3728.804,0.09200000000009823
93,Gold,2.822,2018-10-29,Close,Sell,1326,0,0.09200000000009823,3742.0640000000003
94,Gold,2.78,2018-10-30,Open,Buy,0,1346,3742.0640000000003,0.1840000000006512
95,Gold,2.822,2018-11-02,Open,Sell,1346,0,0.1840000000006512,3798.596000000001
96,Gold,2.822,2018-11-05,Open,Buy,0,1346,3798.596000000001,0.1840000000006512
97,Gold,2.78,2018-11-09,Open,Sell,1346,0,0.1840000000006512,3742.0640000000003
98,Gold,2.7319999999999998,2018-11-12,Open,Buy,0,1369,3742.0640000000003,1.9560000000005857
99,Gold,2.7760000000000002,2018-11-16,Open,Sell,1369,0,1.9560000000005857,3802.300000000001
100,Gold,2.803,2018-11-19,Open,Buy,0,1356,3802.300000000001,1.4320000000011532
101,Gold,2.798,2018-11-23,Open,Sell,1356,0,1.4320000000011532,3795.5200000000013
102,Gold,2.7760000000000002,2018-11-26,Open,Buy,0,1367,3795.5200000000013,0.728000000000975
103,Gold,2.7910000000000004,2018-11-30,Open,Sell,1367,0,0.728000000000975,3816.0250000000015
104,Gold,2.858,2018-12-03,Open,Buy,0,1335,3816.0250000000015,0.5950000000011642
105,Gold,2.7889999999999997,2018-12-07,Open,Sell,1335,0,0.5950000000011642,3723.9100000000008
106,Gold,2.7489999999999997,2018-12-10,Open,Buy,0,1354,3723.9100000000008,1.7640000000010332
107,Gold,2.78,2018-12-14,Close,Sell,1354,0,1.7640000000010332,3765.884000000001
108,Gold,2.748,2018-12-17,Open,Buy,0,1370,3765.884000000001,1.1240000000007058
109,Gold,2.694,2018-12-21,Close,Sell,1370,0,1.1240000000007058,3691.9040000000005
110,Gold,2.6830000000000003,2018-12-24,Open,Buy,0,1376,3691.9040000000005,0.09600000000000364
111,Gold,2.702,2018-12-28,Close,Sell,1376,0,0.09600000000000364,3718.048
112,Gold,2.6830000000000003,2018-12-31,Open,Buy,0,1385,3718.048,2.0929999999993925
113,Gold,2.687,2019-01-04,Close,Sell,1385,0,2.0929999999993925,3723.5879999999993
114,Gold,2.654,2019-01-07,Open,Buy,0,1403,3723.5879999999993,0.02599999999938518
115,Gold,2.714,2019-01-11,Close,Sell,1403,0,0.02599999999938518,3807.767999999999
116,Gold,2.667,2019-01-14,Open,Buy,0,1427,3807.767999999999,1.958999999999378
117,Gold,2.75,2019-01-18,Open,Sell,1427,0,1.958999999999378,3926.2089999999994
118,Gold,2.7119999999999997,2019-01-20,Open,Buy,0,1447,3926.2089999999994,1.944999999999709
119,Gold,2.766,2019-01-25,Close,Sell,1447,0,1.944999999999709,4004.3469999999998
120,Gold,2.73,2019-01-28,Open,Buy,0,1466,4004.3469999999998,2.1669999999999163
121,Gold,2.7689999999999997,2019-01-29,Close,Sell,1466,0,2.1669999999999163,4061.5209999999993
122,Gold,2.802,2019-02-12,Close,Buy,0,1449,4061.5209999999993,1.4229999999993197
123,Gold,2.804,2019-02-15,Open,Sell,1449,0,1.4229999999993197,4064.418999999999
124,Gold,2.884,2019-03-26,Open,Buy,0,1409,4064.418999999999,0.8629999999989195
125,Gold,2.889,2019-03-26,Close,Sell,1409,0,0.8629999999989195,4071.4639999999986
126,Gold,2.8810000000000002,2019-03-27,Open,Buy,0,1413,4071.4639999999986,0.6109999999980573
127,Gold,2.8939999999999997,2019-03-27,Close,Sell,1413,0,0.6109999999980573,4089.832999999998
128,Gold,2.937,2019-04-02,Open,Buy,0,1392,4089.832999999998,1.5289999999981774
129,Gold,2.952,2019-04-03,Open,Sell,1392,0,1.5289999999981774,4110.712999999998
130,Gold,2.944,2019-04-10,Open,Buy,0,1396,4110.712999999998,0.8889999999983047
131,Gold,2.9739999999999998,2019-04-10,Close,Sell,1396,0,0.8889999999983047,4152.592999999998
132,Gold,2.9339999999999997,2019-04-22,Open,Buy,0,1415,4152.592999999998,0.9829999999983556
133,Gold,2.926,2019-04-26,Open,Sell,1415,0,0.9829999999983556,4141.272999999998
