Date,iShares Int High Yield BondEtf_Open_average,iShares Int High Yield BondEtf_Open_max,iShares Int High Yield BondEtf_Open_min,iShares Int High Yield BondEtf_High_average,iShares Int High Yield BondEtf_High_max,iShares Int High Yield BondEtf_High_min,iShares Int High Yield BondEtf_Low_average,iShares Int High Yield BondEtf_Low_max,iShares Int High Yield BondEtf_Low_min,iShares Int High Yield BondEtf_Close_average,iShares Int High Yield BondEtf_Close_max,iShares Int High Yield BondEtf_Close_min
2018-09-23,0.28376103767330424,0.28376103767330424,0.28376103767330424,0.5244854795868156,0.5244854795868156,0.5244854795868156,0.261440957509607,0.261440957509607,0.261440957509607,0.47479784561018673,0.47479784561018673,0.47479784561018673
2018-09-30,-0.3576505350576549,-0.3576505350576549,-0.3576505350576549,-0.4595491821141593,-0.4595491821141593,-0.4595491821141593,-0.3989118964995698,-0.3989118964995698,-0.3989118964995698,-0.2849125893106547,-0.2849125893106547,-0.2849125893106547
2018-10-07,-0.2641538698678997,-0.2641538698678997,-0.2641538698678997,-0.4520724283623032,-0.4520724283623032,-0.4520724283623032,-0.31075155999145543,-0.31075155999145543,-0.31075155999145543,-0.3963514996561642,-0.3963514996561642,-0.3963514996561642
2018-10-14,-1.3599501011951758,-1.3599501011951758,-1.3599501011951758,-1.1189457100021243,-1.1189457100021243,-1.1189457100021243,-1.20381814579484,-1.20381814579484,-1.20381814579484,-1.136456417647601,-1.136456417647601,-1.136456417647601
2018-10-21,-2.1845266440641495,-2.1845266440641495,-2.1845266440641495,-1.985184631985873,-1.985184631985873,-1.985184631985873,-2.1311789432285595,-2.1311789432285595,-2.1311789432285595,-1.8606848008257928,-1.8606848008257928,-1.8606848008257928
2018-10-28,-1.0120600930311874,-1.0120600930311874,-1.0120600930311874,-1.258014062417732,-1.258014062417732,-1.258014062417732,-1.2408858108108234,-1.2408858108108234,-1.2408858108108234,-1.4345585023708907,-1.4345585023708907,-1.4345585023708907
2018-11-04,-1.250454592210821,-1.250454592210821,-1.250454592210821,-1.4338714529032153,-1.4338714529032153,-1.4338714529032153,-1.2644220153382506,-1.2644220153382506,-1.2644220153382506,-1.3158629118408256,-1.3158629118408256,-1.3158629118408256
2018-11-11,-1.7056238560370625,-1.7056238560370625,-1.7056238560370625,-1.8126569733886826,-1.8126569733886826,-1.8126569733886826,-1.646903107184861,-1.646903107184861,-1.646903107184861,-1.7552086913498748,-1.7552086913498748,-1.7552086913498748
2018-11-18,-1.771091961667646,-1.771091961667646,-1.771091961667646,-1.874869890483817,-1.874869890483817,-1.874869890483817,-1.8028583669226077,-1.8028583669226077,-1.8028583669226077,-1.9075004619685576,-1.9075004619685576,-1.9075004619685576
2018-11-25,-1.5980771351092324,-1.5980771351092324,-1.5980771351092324,-1.6622843799214277,-1.6622843799214277,-1.6622843799214277,-1.5976679981656297,-1.5976679981656297,-1.5976679981656297,-1.6620594807503257,-1.6620594807503257,-1.6620594807503257
2018-12-02,-1.2776133289043146,-1.2776133289043146,-1.2776133289043146,-1.2585335435124227,-1.2585335435124227,-1.2585335435124227,-1.228039298410807,-1.228039298410807,-1.228039298410807,-1.2244880246761978,-1.2244880246761978,-1.2244880246761978
2018-12-09,-1.2869160698451487,-1.2869160698451487,-1.2869160698451487,-1.2714690191728346,-1.2714690191728346,-1.2714690191728346,-1.2453589388540955,-1.2453589388540955,-1.2453589388540955,-1.2625615692808692,-1.2625615692808692,-1.2625615692808692
2018-12-16,-2.1414866377826764,-2.1414866377826764,-2.1414866377826764,-2.1511262436844967,-2.1511262436844967,-2.1511262436844967,-2.2783973199366474,-2.2783973199366474,-2.2783973199366474,-2.2453456230892566,-2.2453456230892566,-2.2453456230892566
2018-12-23,-1.6131960484123855,-1.6131960484123855,-1.6131960484123855,-1.6321410885890604,-1.6321410885890604,-1.6321410885890604,-1.5857502187032955,-1.5857502187032955,-1.5857502187032955,-1.5595161111622355,-1.5595161111622355,-1.5595161111622355
2018-12-30,-1.7037112916624915,-1.7037112916624915,-1.7037112916624915,-1.5300909728262246,-1.5300909728262246,-1.5300909728262246,-1.6261058677005025,-1.6261058677005025,-1.6261058677005025,-1.4885604030101667,-1.4885604030101667,-1.4885604030101667
2019-01-06,-0.8324529575012882,-0.8324529575012882,-0.8324529575012882,-0.8709881660261145,-0.8709881660261145,-0.8709881660261145,-0.7650600290089362,-0.7650600290089362,-0.7650600290089362,-0.8307932085993595,-0.8307932085993595,-0.8307932085993595
2019-01-13,-0.6143683755935934,-0.6143683755935934,-0.6143683755935934,-0.6840986862421768,-0.6840986862421768,-0.6840986862421768,-0.6845486516881122,-0.6845486516881122,-0.6845486516881122,-0.7256964806337008,-0.7256964806337008,-0.7256964806337008
2019-01-20,-0.44766261351153935,-0.44766261351153935,-0.44766261351153935,-0.43299748287946066,-0.43299748287946066,-0.43299748287946066,-0.48838274010699984,-0.48838274010699984,-0.48838274010699984,-0.3941955494992733,-0.3941955494992733,-0.3941955494992733
2019-01-27,0.1415551587727228,0.1415551587727228,0.1415551587727228,0.18053627910899137,0.18053627910899137,0.18053627910899137,0.2141112152733874,0.2141112152733874,0.2141112152733874,0.1526005006977896,0.1526005006977896,0.1526005006977896
2019-02-03,-0.3369472384361508,-0.3369472384361508,-0.3369472384361508,-0.4246540245654006,-0.4246540245654006,-0.4246540245654006,-0.23914965977757652,-0.23914965977757652,-0.23914965977757652,-0.3300137227947069,-0.3300137227947069,-0.3300137227947069
2019-02-10,-0.1624615897314825,-0.1624615897314825,-0.1624615897314825,0.03360361376959173,0.03360361376959173,0.03360361376959173,-0.06247353595635595,-0.06247353595635595,-0.06247353595635595,0.07463187311331002,0.07463187311331002,0.07463187311331002
2019-02-17,0.745570952323441,0.745570952323441,0.745570952323441,0.7656831692941479,0.7656831692941479,0.7656831692941479,0.7125462295598306,0.7125462295598306,0.7125462295598306,0.695562210657919,0.695562210657919,0.695562210657919
2019-02-24,1.585247389435568,1.585247389435568,1.585247389435568,1.5303376863482174,1.5303376863482174,1.5303376863482174,1.3785388333278268,1.3785388333278268,1.3785388333278268,1.3871701433476167,1.3871701433476167,1.3871701433476167
2019-03-03,0.5511770632011059,0.5511770632011059,0.5511770632011059,0.5014536620893074,0.5014536620893074,0.5014536620893074,0.5924138686867703,0.5924138686867703,0.5924138686867703,0.5814880646310093,0.5814880646310093,0.5814880646310093
2019-03-10,1.5844305986759246,1.5844305986759246,1.5844305986759246,1.5872407486451985,1.5872407486451985,1.5872407486451985,1.6025450118629454,1.6025450118629454,1.6025450118629454,1.6231029183661319,1.6231029183661319,1.6231029183661319
2019-03-17,1.2578744970627744,1.2578744970627744,1.2578744970627744,1.2484786181686638,1.2484786181686638,1.2484786181686638,1.1507807512233306,1.1507807512233306,1.1507807512233306,1.232728743446695,1.232728743446695,1.232728743446695
2019-03-24,0.8208203844591981,0.8208203844591981,0.8208203844591981,0.8097167932864849,0.8097167932864849,0.8097167932864849,0.920187280337029,0.920187280337029,0.920187280337029,0.8826575048085181,0.8826575048085181,0.8826575048085181
2019-03-31,1.1421196973066088,1.1421196973066088,1.1421196973066088,1.1498483612134582,1.1498483612134582,1.1498483612134582,1.2523745971212803,1.2523745971212803,1.2523745971212803,1.2769543826711327,1.2769543826711327,1.2769543826711327
2019-04-07,1.6969767841806531,1.6969767841806531,1.6969767841806531,1.833781727402352,1.833781727402352,1.833781727402352,1.787661673964395,1.787661673964395,1.787661673964395,1.8552572677471535,1.8552572677471535,1.8552572677471535
2019-04-14,1.4297431471698159,1.4297431471698159,1.4297431471698159,1.4906411056149997,1.4906411056149997,1.4906411056149997,1.4033296555600665,1.4033296555600665,1.4033296555600665,1.4216716430916922,1.4216716430916922,1.4216716430916922
2019-04-21,0.4070549139201072,0.4070549139201072,0.4070549139201072,0.3841805753191403,0.3841805753191403,0.3841805753191403,0.5111726027124548,0.5111726027124548,0.5111726027124548,0.45160328483911966,0.45160328483911966,0.45160328483911966
2019-04-28,0.2993415902778078,0.2993415902778078,0.2993415902778078,0.6380095973721712,0.6380095973721712,0.6380095973721712,0.3980901393489019,0.3980901393489019,0.3980901393489019,0.7529315307145387,0.7529315307145387,0.7529315307145387
2019-05-05,0.47077023375689947,0.47077023375689947,0.47077023375689947,0.3378482984747551,0.3378482984747551,0.3378482984747551,0.37073199506396454,0.37073199506396454,0.37073199506396454,0.3585741717518093,0.3585741717518093,0.3585741717518093
2019-05-12,-0.6621749612259573,-0.6621749612259573,-0.6621749612259573,-0.7422561225510406,-0.7422561225510406,-0.7422561225510406,-0.5089534074261358,-0.5089534074261358,-0.5089534074261358,-0.6400079769853483,-0.6400079769853483,-0.6400079769853483
2019-05-19,-0.6293709434277557,-0.6293709434277557,-0.6293709434277557,-0.6639813181362142,-0.6639813181362142,-0.6639813181362142,-0.4796761204887677,-0.4796761204887677,-0.4796761204887677,-0.5612948141470253,-0.5612948141470253,-0.5612948141470253
2019-05-26,-1.5334790011043917,-1.5334790011043917,-1.5334790011043917,-1.249803585713234,-1.249803585713234,-1.249803585713234,-1.4916765505469896,-1.4916765505469896,-1.4916765505469896,-1.4735991714766257,-1.4735991714766257,-1.4735991714766257
2019-06-02,1.0783561157673813,1.0783561157673813,1.0783561157673813,1.1192440868637912,1.1192440868637912,1.1192440868637912,1.1110217174015315,1.1110217174015315,1.1110217174015315,1.0726483229539852,1.0726483229539852,1.0726483229539852
2019-06-09,0.09713101042018954,0.09713101042018954,0.09713101042018954,-0.0603234361077258,-0.0603234361077258,-0.0603234361077258,0.06926678046496791,0.06926678046496791,0.06926678046496791,-0.09093496753055169,-0.09093496753055169,-0.09093496753055169
2019-06-16,2.08113589804133,2.08113589804133,2.08113589804133,2.246138832312035,2.246138832312035,2.246138832312035,2.1592139907072347,2.1592139907072347,2.1592139907072347,2.320272974348619,2.320272974348619,2.320272974348619
2019-06-23,2.1326003949184527,2.1326003949184527,2.1326003949184527,1.9802324198314372,1.9802324198314372,1.9802324198314372,2.1320370189350366,2.1320370189350366,2.1320370189350366,1.9391205153466433,1.9391205153466433,1.9391205153466433
2019-06-30,1.385294571662742,1.385294571662742,1.385294571662742,1.2337473513849664,1.2337473513849664,1.2337473513849664,1.158944134758032,1.158944134758032,1.158944134758032,1.2042652850150262,1.2042652850150262,1.2042652850150262
2019-07-07,1.0843470837294709,1.0843470837294709,1.0843470837294709,1.1043723274916608,1.1043723274916608,1.1043723274916608,1.2002966329414437,1.2002966329414437,1.2002966329414437,1.17244519257919,1.17244519257919,1.17244519257919
