Date,iShares Morningstar Large-Cap Value_Open_average,iShares Morningstar Large-Cap Value_Open_max,iShares Morningstar Large-Cap Value_Open_min,iShares Morningstar Large-Cap Value_Open_volatility,iShares Morningstar Large-Cap Value_Open_change,iShares Morningstar Large-Cap Value_High_average,iShares Morningstar Large-Cap Value_High_max,iShares Morningstar Large-Cap Value_High_min,iShares Morningstar Large-Cap Value_High_volatility,iShares Morningstar Large-Cap Value_High_change,iShares Morningstar Large-Cap Value_Low_average,iShares Morningstar Large-Cap Value_Low_max,iShares Morningstar Large-Cap Value_Low_min,iShares Morningstar Large-Cap Value_Low_volatility,iShares Morningstar Large-Cap Value_Low_change,iShares Morningstar Large-Cap Value_Close_average,iShares Morningstar Large-Cap Value_Close_max,iShares Morningstar Large-Cap Value_Close_min,iShares Morningstar Large-Cap Value_Close_volatility,iShares Morningstar Large-Cap Value_Close_change
2018-04-08,102.74,102.74,102.74,0.0,0.0,103.47,103.47,103.47,0.0,0.0,102.74,102.74,102.74,0.0,0.0,103.26,103.26,103.26,0.0,0.0
2018-04-15,102.41,102.41,102.41,0.0,0.0,102.41,102.41,102.41,0.0,0.0,102.15,102.15,102.15,0.0,0.0,102.15,102.15,102.15,0.0,0.0
2018-04-22,102.41,102.41,102.41,0.0,0.0,102.52,102.52,102.52,0.0,0.0,101.22,101.22,101.22,0.0,0.0,101.22,101.22,101.22,0.0,0.0
2018-04-29,101.05,101.05,101.05,0.0,0.0,101.14,101.14,101.14,0.0,0.0,100.54,100.54,100.54,0.0,0.0,100.69,100.69,100.69,0.0,0.0
2018-05-06,103.58,103.58,103.58,0.0,0.0,103.75,103.75,103.75,0.0,0.0,103.34,103.34,103.34,0.0,0.0,103.38,103.38,103.38,0.0,0.0
2018-05-13,103.26,103.26,103.26,0.0,0.0,103.69,103.69,103.69,0.0,0.0,103.26,103.26,103.26,0.0,0.0,103.55,103.55,103.55,0.0,0.0
2018-05-20,102.81,102.81,102.81,0.0,0.0,102.98,102.98,102.98,0.0,0.0,102.55,102.55,102.55,0.0,0.0,102.75,102.75,102.75,0.0,0.0
2018-05-27,103.17,103.17,103.17,0.0,0.0,103.28,103.28,103.28,0.0,0.0,103.15,103.15,103.15,0.0,0.0,103.26,103.26,103.26,0.0,0.0
2018-06-03,104.69,104.69,104.69,0.0,0.0,105.05,105.05,105.05,0.0,0.0,104.69,104.69,104.69,0.0,0.0,104.89,104.89,104.89,0.0,0.0
2018-06-10,103.03,103.03,103.03,0.0,0.0,103.1,103.1,103.1,0.0,0.0,102.78,102.78,102.78,0.0,0.0,103.08,103.08,103.08,0.0,0.0
2018-06-17,101.81,101.81,101.81,0.0,0.0,101.97,101.97,101.97,0.0,0.0,101.39,101.39,101.39,0.0,0.0,101.94,101.94,101.94,0.0,0.0
2018-06-24,100.59,100.59,100.59,0.0,0.0,101.29,101.29,101.29,0.0,0.0,100.59,100.59,100.59,0.0,0.0,101.29,101.29,101.29,0.0,0.0
2018-07-01,102.72,102.72,102.72,0.0,0.0,103.43,103.43,103.43,0.0,0.0,102.72,102.72,102.72,0.0,0.0,103.27,103.27,103.27,0.0,0.0
2018-07-08,103.36,103.36,103.36,0.0,0.0,103.74,103.74,103.74,0.0,0.0,103.36,103.36,103.36,0.0,0.0,103.74,103.74,103.74,0.0,0.0
2018-07-15,103.5,103.5,103.5,0.0,0.0,103.82,103.82,103.82,0.0,0.0,103.43,103.43,103.43,0.0,0.0,103.75,103.75,103.75,0.0,0.0
2018-07-22,105.17,105.17,105.17,0.0,0.0,105.51,105.51,105.51,0.0,0.0,105.17,105.17,105.17,0.0,0.0,105.37,105.37,105.37,0.0,0.0
2018-07-29,106.31,106.31,106.31,0.0,0.0,106.93,106.93,106.93,0.0,0.0,106.24,106.24,106.24,0.0,0.0,106.69,106.69,106.69,0.0,0.0
2018-08-05,105.41,105.41,105.41,0.0,0.0,105.41,105.41,105.41,0.0,0.0,105.17,105.17,105.17,0.0,0.0,105.35,105.35,105.35,0.0,0.0
2018-08-12,107.34,107.34,107.34,0.0,0.0,107.46,107.46,107.46,0.0,0.0,107.33,107.33,107.33,0.0,0.0,107.45,107.45,107.45,0.0,0.0
2018-08-19,108.01,108.01,108.01,0.0,0.0,108.21,108.21,108.21,0.0,0.0,108.01,108.01,108.01,0.0,0.0,108.16,108.16,108.16,0.0,0.0
2018-08-26,107.7,107.7,107.7,0.0,0.0,107.7,107.7,107.7,0.0,0.0,107.26,107.26,107.26,0.0,0.0,107.56,107.56,107.56,0.0,0.0
2018-09-02,107.86,107.86,107.86,0.0,0.0,108.11,108.11,108.11,0.0,0.0,107.56,107.56,107.56,0.0,0.0,107.56,107.56,107.56,0.0,0.0
2018-09-09,108.3,108.3,108.3,0.0,0.0,108.43,108.43,108.43,0.0,0.0,108.16,108.16,108.16,0.0,0.0,108.16,108.16,108.16,0.0,0.0
2018-09-16,110.21,110.21,110.21,0.0,0.0,110.21,110.21,110.21,0.0,0.0,109.19,109.19,109.19,0.0,0.0,109.32,109.32,109.32,0.0,0.0
2018-09-23,107.95,107.95,107.95,0.0,0.0,108.23,108.23,108.23,0.0,0.0,107.61,107.61,107.61,0.0,0.0,107.61,107.61,107.61,0.0,0.0
2018-09-30,107.83,107.83,107.83,0.0,0.0,108.8,108.8,108.8,0.0,0.0,107.83,107.83,107.83,0.0,0.0,108.75,108.75,108.75,0.0,0.0
2018-10-07,103.87,103.87,103.87,0.0,0.0,104.05,104.05,104.05,0.0,0.0,103.5,103.5,103.5,0.0,0.0,103.58,103.58,103.58,0.0,0.0
2018-10-14,104.85,104.85,104.85,0.0,0.0,104.85,104.85,104.85,0.0,0.0,103.87,103.87,103.87,0.0,0.0,104.03,104.03,104.03,0.0,0.0
2018-10-21,102.56,102.56,102.56,0.0,0.0,102.65,102.65,102.65,0.0,0.0,100.83,100.83,100.83,0.0,0.0,100.83,100.83,100.83,0.0,0.0
2018-10-28,104.33,104.33,104.33,0.0,0.0,105.13,105.13,105.13,0.0,0.0,104.32,104.32,104.32,0.0,0.0,104.92,104.92,104.92,0.0,0.0
2018-11-04,105.88,105.88,105.88,0.0,0.0,105.88,105.88,105.88,0.0,0.0,104.41,104.41,104.41,0.0,0.0,104.41,104.41,104.41,0.0,0.0
2018-11-11,105.0,105.0,105.0,0.0,0.0,105.21,105.21,105.21,0.0,0.0,104.36,104.36,104.36,0.0,0.0,104.6,104.6,104.6,0.0,0.0
2018-11-18,102.79,102.79,102.79,0.0,0.0,103.32,103.32,103.32,0.0,0.0,102.79,102.79,102.79,0.0,0.0,103.32,103.32,103.32,0.0,0.0
2018-11-25,107.59,107.59,107.59,0.0,0.0,107.59,107.59,107.59,0.0,0.0,106.69,106.69,106.69,0.0,0.0,107.11,107.11,107.11,0.0,0.0
2018-12-02,101.04,101.04,101.04,0.0,0.0,101.63,101.63,101.63,0.0,0.0,99.41,99.41,99.41,0.0,0.0,101.38,101.38,101.38,0.0,0.0
2018-12-09,99.19,99.19,99.19,0.0,0.0,99.57,99.57,99.57,0.0,0.0,97.3,97.3,97.3,0.0,0.0,97.83,97.83,97.83,0.0,0.0
2018-12-16,93.32,93.32,93.32,0.0,0.0,93.33,93.33,93.33,0.0,0.0,91.27,91.27,91.27,0.0,0.0,91.27,91.27,91.27,0.0,0.0
2018-12-23,96.05,96.05,96.05,0.0,0.0,96.33,96.33,96.33,0.0,0.0,95.46,95.46,95.46,0.0,0.0,96.33,96.33,96.33,0.0,0.0
2018-12-30,97.91,97.91,97.91,0.0,0.0,98.97,98.97,98.97,0.0,0.0,97.6,97.6,97.6,0.0,0.0,98.3,98.3,98.3,0.0,0.0
2019-01-06,98.83,98.83,98.83,0.0,0.0,99.15,99.15,99.15,0.0,0.0,98.6,98.6,98.6,0.0,0.0,99.03,99.03,99.03,0.0,0.0
2019-01-13,101.41,101.41,101.41,0.0,0.0,102.02,102.02,102.02,0.0,0.0,101.15,101.15,101.15,0.0,0.0,101.91,101.91,101.91,0.0,0.0
2019-01-20,100.68,100.68,100.68,0.0,0.0,100.85,100.85,100.85,0.0,0.0,100.19,100.19,100.19,0.0,0.0,100.8,100.8,100.8,0.0,0.0
2019-01-27,102.66,102.66,102.66,0.0,0.0,103.06,103.06,103.06,0.0,0.0,102.38,102.38,102.38,0.0,0.0,103.06,103.06,103.06,0.0,0.0
2019-02-03,102.53,102.53,102.53,0.0,0.0,102.53,102.53,102.53,0.0,0.0,102.06,102.06,102.06,0.0,0.0,102.34,102.34,102.34,0.0,0.0
2019-02-10,104.15,104.15,104.15,0.0,0.0,105.07,105.07,105.07,0.0,0.0,104.15,104.15,104.15,0.0,0.0,105.07,105.07,105.07,0.0,0.0
2019-02-17,106.25,106.25,106.25,0.0,0.0,106.56,106.56,106.56,0.0,0.0,106.0,106.0,106.0,0.0,0.0,106.0,106.0,106.0,0.0,0.0
2019-02-24,106.21,106.21,106.21,0.0,0.0,106.21,106.21,106.21,0.0,0.0,104.92,104.92,104.92,0.0,0.0,105.41,105.41,105.41,0.0,0.0
2019-03-03,104.26,104.26,104.26,0.0,0.0,105.3,105.3,105.3,0.0,0.0,104.26,104.26,104.26,0.0,0.0,105.22,105.22,105.22,0.0,0.0
2019-03-10,106.67,106.67,106.67,0.0,0.0,107.16,107.16,107.16,0.0,0.0,106.67,106.67,106.67,0.0,0.0,107.08,107.08,107.08,0.0,0.0
2019-03-17,104.44,104.44,104.44,0.0,0.0,104.65,104.65,104.65,0.0,0.0,103.87,103.87,103.87,0.0,0.0,104.15,104.15,104.15,0.0,0.0
2019-03-24,105.95,105.95,105.95,0.0,0.0,106.65,106.65,106.65,0.0,0.0,105.95,105.95,105.95,0.0,0.0,106.62,106.62,106.62,0.0,0.0
2019-03-31,107.14,107.14,107.14,0.0,0.0,107.28,107.28,107.28,0.0,0.0,106.85,106.85,106.85,0.0,0.0,107.28,107.28,107.28,0.0,0.0
2019-04-07,107.61,107.61,107.61,0.0,0.0,107.61,107.61,107.61,0.0,0.0,107.37,107.37,107.37,0.0,0.0,107.56,107.56,107.56,0.0,0.0
2019-04-14,107.49,107.49,107.49,0.0,0.0,107.58,107.58,107.58,0.0,0.0,107.44,107.44,107.44,0.0,0.0,107.48,107.48,107.48,0.0,0.0
2019-04-21,107.22,107.22,107.22,0.0,0.0,107.88,107.88,107.88,0.0,0.0,107.22,107.22,107.22,0.0,0.0,107.65,107.65,107.65,0.0,0.0
2019-04-28,106.62,106.62,106.62,0.0,0.0,107.54,107.54,107.54,0.0,0.0,106.62,106.62,106.62,0.0,0.0,107.46,107.46,107.46,0.0,0.0
2019-05-05,104.26,104.26,104.26,0.0,0.0,104.26,104.26,104.26,0.0,0.0,103.58,103.58,103.58,0.0,0.0,103.92,103.92,103.92,0.0,0.0
2019-05-12,105.11,105.11,105.11,0.0,0.0,105.68,105.68,105.68,0.0,0.0,105.04,105.04,105.04,0.0,0.0,105.32,105.32,105.32,0.0,0.0
2019-05-19,105.15,105.15,105.15,0.0,0.0,105.22,105.22,105.22,0.0,0.0,105.01,105.01,105.01,0.0,0.0,105.12,105.12,105.12,0.0,0.0
2019-05-26,101.82,101.82,101.82,0.0,0.0,102.68,102.68,102.68,0.0,0.0,101.82,101.82,101.82,0.0,0.0,102.49,102.49,102.49,0.0,0.0
2019-06-02,106.85,106.85,106.85,0.0,0.0,106.98,106.98,106.98,0.0,0.0,106.65,106.65,106.65,0.0,0.0,106.65,106.65,106.65,0.0,0.0
2019-06-09,106.1,106.1,106.1,0.0,0.0,106.29,106.29,106.29,0.0,0.0,105.93,105.93,105.93,0.0,0.0,105.93,105.93,105.93,0.0,0.0
2019-06-16,108.16,108.16,108.16,0.0,0.0,108.16,108.16,108.16,0.0,0.0,107.82,107.82,107.82,0.0,0.0,107.82,107.82,107.82,0.0,0.0
2019-06-23,108.89,108.89,108.89,0.0,0.0,108.89,108.89,108.89,0.0,0.0,108.21,108.21,108.21,0.0,0.0,108.61,108.61,108.61,0.0,0.0
2019-06-30,109.2,109.2,109.2,0.0,0.0,109.44,109.44,109.44,0.0,0.0,109.1,109.1,109.1,0.0,0.0,109.17,109.17,109.17,0.0,0.0
2019-07-07,110.4,110.4,110.4,0.0,0.0,110.4,110.4,110.4,0.0,0.0,110.07,110.07,110.07,0.0,0.0,110.07,110.07,110.07,0.0,0.0
2019-07-14,109.53,109.53,109.53,0.0,0.0,109.63,109.63,109.63,0.0,0.0,109.34,109.34,109.34,0.0,0.0,109.39,109.39,109.39,0.0,0.0
2019-07-21,110.65,110.65,110.65,0.0,0.0,111.09,111.09,111.09,0.0,0.0,110.65,110.65,110.65,0.0,0.0,110.85,110.85,110.85,0.0,0.0
2019-07-28,106.17,106.17,106.17,0.0,0.0,106.17,106.17,106.17,0.0,0.0,104.3,104.3,104.3,0.0,0.0,104.73,104.73,104.73,0.0,0.0
2019-08-04,105.3,105.3,105.3,0.0,0.0,105.39,105.39,105.39,0.0,0.0,104.94,104.94,104.94,0.0,0.0,105.22,105.22,105.22,0.0,0.0
2019-08-11,106.28,106.28,106.28,0.0,0.0,106.63,106.63,106.63,0.0,0.0,106.28,106.28,106.28,0.0,0.0,106.6,106.6,106.6,0.0,0.0
2019-08-18,104.38,104.38,104.38,0.0,0.0,104.76,104.76,104.76,0.0,0.0,104.36,104.36,104.36,0.0,0.0,104.76,104.76,104.76,0.0,0.0
2019-08-25,106.54,106.54,106.54,0.0,0.0,106.77,106.77,106.77,0.0,0.0,106.18,106.18,106.18,0.0,0.0,106.4,106.4,106.4,0.0,0.0
2019-09-01,109.18,109.18,109.18,0.0,0.0,109.99,109.99,109.99,0.0,0.0,109.18,109.18,109.18,0.0,0.0,109.93,109.93,109.93,0.0,0.0
2019-09-08,110.75,110.75,110.75,0.0,0.0,111.18,111.18,111.18,0.0,0.0,110.73,110.73,110.73,0.0,0.0,110.97,110.97,110.97,0.0,0.0
2019-09-15,111.08,111.08,111.08,0.0,0.0,111.42,111.42,111.42,0.0,0.0,110.88,110.88,110.88,0.0,0.0,111.2,111.2,111.2,0.0,0.0
2019-09-22,110.53,110.53,110.53,0.0,0.0,110.81,110.81,110.81,0.0,0.0,110.45,110.45,110.45,0.0,0.0,110.45,110.45,110.45,0.0,0.0
2019-09-29,109.07,109.07,109.07,0.0,0.0,109.43,109.43,109.43,0.0,0.0,108.64,108.64,108.64,0.0,0.0,108.64,108.64,108.64,0.0,0.0
2019-10-06,109.46,109.46,109.46,0.0,0.0,109.47,109.47,109.47,0.0,0.0,109.26,109.26,109.26,0.0,0.0,109.33,109.33,109.33,0.0,0.0
2019-10-13,110.81,110.81,110.81,0.0,0.0,110.98,110.98,110.98,0.0,0.0,110.76,110.76,110.76,0.0,0.0,110.98,110.98,110.98,0.0,0.0
2019-10-20,112.82,112.82,112.82,0.0,0.0,112.82,112.82,112.82,0.0,0.0,112.41,112.41,112.41,0.0,0.0,112.51,112.51,112.51,0.0,0.0
2019-10-27,114.17,114.17,114.17,0.0,0.0,114.59,114.59,114.59,0.0,0.0,114.17,114.17,114.17,0.0,0.0,114.26,114.26,114.26,0.0,0.0
2019-11-03,114.61,114.61,114.61,0.0,0.0,114.92,114.92,114.92,0.0,0.0,114.61,114.61,114.61,0.0,0.0,114.76,114.76,114.76,0.0,0.0
2019-11-10,115.02,115.02,115.02,0.0,0.0,115.22,115.22,115.22,0.0,0.0,114.87,114.87,114.87,0.0,0.0,115.08,115.08,115.08,0.0,0.0
2019-11-17,115.62,115.62,115.62,0.0,0.0,115.62,115.62,115.62,0.0,0.0,115.36,115.36,115.36,0.0,0.0,115.61,115.61,115.61,0.0,0.0
2019-11-24,115.33,115.33,115.33,0.0,0.0,115.33,115.33,115.33,0.0,0.0,114.91,114.91,114.91,0.0,0.0,114.91,114.91,114.91,0.0,0.0
2019-12-01,115.82,115.82,115.82,0.0,0.0,116.06,116.06,116.06,0.0,0.0,115.74,115.74,115.74,0.0,0.0,115.74,115.74,115.74,0.0,0.0
2019-12-08,116.3,116.3,116.3,0.0,0.0,116.81,116.81,116.81,0.0,0.0,116.3,116.3,116.3,0.0,0.0,116.65,116.65,116.65,0.0,0.0
2019-12-15,117.46,117.46,117.46,0.0,0.0,117.46,117.46,117.46,0.0,0.0,117.28,117.28,117.28,0.0,0.0,117.32,117.32,117.32,0.0,0.0
2019-12-22,117.09,117.09,117.09,0.0,0.0,117.31,117.31,117.31,0.0,0.0,116.8,116.8,116.8,0.0,0.0,116.8,116.8,116.8,0.0,0.0
2019-12-29,116.75,116.75,116.75,0.0,0.0,117.11,117.11,117.11,0.0,0.0,116.71,116.71,116.71,0.0,0.0,116.91,116.91,116.91,0.0,0.0
