Date,BKEAY_Open_average,BKEAY_Open_max,BKEAY_Open_min,BKEAY_Open_volatility,BKEAY_Open_change,BKEAY_High_average,BKEAY_High_max,BKEAY_High_min,BKEAY_High_volatility,BKEAY_High_change,BKEAY_Low_average,BKEAY_Low_max,BKEAY_Low_min,BKEAY_Low_volatility,BKEAY_Low_change,BKEAY_Close_average,BKEAY_Close_max,BKEAY_Close_min,BKEAY_Close_volatility,BKEAY_Close_change,BKEAY_Volume_average,BKEAY_Volume_max,BKEAY_Volume_min,BKEAY_Volume_volatility,BKEAY_Volume_change
2016-05-29,3.74,3.74,3.74,0.0,0.0,3.762,3.762,3.762,0.0,0.0,3.74,3.74,3.74,0.0,0.0,3.762,3.762,3.762,0.0,0.0,2176,2176,2176,0,0
2016-06-05,3.74,3.74,3.74,0.0,0.0,3.74,3.74,3.74,0.0,0.0,3.74,3.74,3.74,0.0,0.0,3.74,3.74,3.74,0.0,0.0,122,122,122,0,0
2016-06-12,3.565,3.63,3.4819999999999998,0.14800000000000013,0.04699999999999971,3.571,3.63,3.5,0.1299999999999999,0.04699999999999971,3.5283333333333333,3.583,3.4819999999999998,0.10100000000000042,-0.06300000000000017,3.5343333333333335,3.583,3.5,0.08300000000000018,-0.06300000000000017,1368,1594,1188,406,406
2016-06-19,3.6976666666666667,3.76,3.6430000000000002,0.11699999999999955,-0.04699999999999971,3.6976666666666667,3.76,3.6430000000000002,0.11699999999999955,-0.04699999999999971,3.683333333333333,3.76,3.6,0.1599999999999997,-0.08999999999999986,3.683333333333333,3.76,3.6,0.1599999999999997,-0.08999999999999986,3110,6113,257,5856,5856
2016-06-26,3.6983333333333333,3.855,3.54,0.31499999999999995,0.31499999999999995,3.7333333333333334,3.88,3.54,0.33999999999999986,0.33999999999999986,3.6916666666666664,3.855,3.53,0.3250000000000002,0.3250000000000002,3.6999999999999997,3.88,3.53,0.3500000000000001,0.3500000000000001,4585,11651,855,10796,-396
2016-07-03,3.87,3.87,3.87,0.0,0.0,3.87,3.87,3.87,0.0,0.0,3.83,3.83,3.83,0.0,0.0,3.83,3.83,3.83,0.0,0.0,1556,1556,1556,0,0
2016-07-10,3.93875,4.03,3.88,0.15000000000000036,0.15000000000000036,3.99,4.04,3.92,0.1200000000000001,0.11000000000000032,3.93875,4.03,3.88,0.15000000000000036,0.15000000000000036,3.9575,4.03,3.92,0.11000000000000032,0.11000000000000032,1594,3695,218,3477,-3477
2016-07-17,3.9955000000000003,3.9960000000000004,3.995,0.001000000000000334,-0.001000000000000334,4.032500000000001,4.07,3.995,0.07500000000000018,-0.07500000000000018,3.9725,3.995,3.95,0.04499999999999993,0.04499999999999993,4.032500000000001,4.07,3.995,0.07500000000000018,-0.07500000000000018,1292,1991,594,1397,-1397
2016-07-24,4.075,4.12,4.03,0.08999999999999986,0.08999999999999986,4.075,4.12,4.03,0.08999999999999986,0.08999999999999986,4.075,4.12,4.03,0.08999999999999986,0.08999999999999986,4.075,4.12,4.03,0.08999999999999986,0.08999999999999986,362,594,130,464,464
2016-07-31,4.0136666666666665,4.05,3.97,0.07999999999999963,0.028999999999999915,4.043666666666667,4.14,3.97,0.16999999999999948,0.11899999999999977,4.01,4.05,3.97,0.07999999999999963,0.040000000000000036,4.04,4.14,3.97,0.16999999999999948,0.1299999999999999,8815,18597,1800,16797,12547
2016-08-07,4.33,4.34,4.32,0.019999999999999574,0.019999999999999574,4.33,4.34,4.32,0.019999999999999574,0.019999999999999574,4.33,4.34,4.32,0.019999999999999574,0.019999999999999574,4.33,4.34,4.32,0.019999999999999574,0.019999999999999574,337,500,175,325,325
2016-08-14,4.2635000000000005,4.327,4.2,0.12699999999999978,0.12699999999999978,4.28,4.36,4.2,0.16000000000000014,0.16000000000000014,4.2635000000000005,4.327,4.2,0.12699999999999978,0.12699999999999978,4.28,4.36,4.2,0.16000000000000014,0.16000000000000014,325,339,311,28,28
2016-08-21,4.0205,4.03,4.0,0.03000000000000025,0.008000000000000007,4.02925,4.035,4.022,0.0129999999999999,0.0129999999999999,4.018,4.03,4.0,0.03000000000000025,-0.002000000000000668,4.0280000000000005,4.03,4.022,0.008000000000000007,0.008000000000000007,2426,7354,117,7237,6354
