Date,iShares Agency Bond_Open_average,iShares Agency Bond_Open_max,iShares Agency Bond_Open_min,iShares Agency Bond_Open_volatility,iShares Agency Bond_Open_change,iShares Agency Bond_High_average,iShares Agency Bond_High_max,iShares Agency Bond_High_min,iShares Agency Bond_High_volatility,iShares Agency Bond_High_change,iShares Agency Bond_Low_average,iShares Agency Bond_Low_max,iShares Agency Bond_Low_min,iShares Agency Bond_Low_volatility,iShares Agency Bond_Low_change,iShares Agency Bond_Close_average,iShares Agency Bond_Close_max,iShares Agency Bond_Close_min,iShares Agency Bond_Close_volatility,iShares Agency Bond_Close_change
2018-07-01,111.31,111.31,111.31,0.0,0.0,111.32,111.32,111.32,0.0,0.0,111.15,111.15,111.15,0.0,0.0,111.24,111.24,111.24,0.0,0.0
2018-07-08,111.18,111.18,111.18,0.0,0.0,111.29,111.29,111.29,0.0,0.0,111.15,111.15,111.15,0.0,0.0,111.18,111.18,111.18,0.0,0.0
2018-07-15,111.06,111.06,111.06,0.0,0.0,111.2,111.2,111.2,0.0,0.0,110.91,110.91,110.91,0.0,0.0,111.07,111.07,111.07,0.0,0.0
2018-07-22,110.82,110.82,110.82,0.0,0.0,110.95,110.95,110.95,0.0,0.0,110.82,110.82,110.82,0.0,0.0,110.84,110.84,110.84,0.0,0.0
2018-07-29,110.82,110.82,110.82,0.0,0.0,110.99,110.99,110.99,0.0,0.0,110.81,110.81,110.81,0.0,0.0,110.81,110.81,110.81,0.0,0.0
2018-08-05,111.06,111.06,111.06,0.0,0.0,111.19,111.19,111.19,0.0,0.0,111.06,111.06,111.06,0.0,0.0,111.12,111.12,111.12,0.0,0.0
2018-08-12,111.3,111.3,111.3,0.0,0.0,111.49,111.49,111.49,0.0,0.0,111.3,111.3,111.3,0.0,0.0,111.49,111.49,111.49,0.0,0.0
2018-08-19,111.29,111.29,111.29,0.0,0.0,111.4,111.4,111.4,0.0,0.0,111.21,111.21,111.21,0.0,0.0,111.4,111.4,111.4,0.0,0.0
2018-08-26,111.46,111.46,111.46,0.0,0.0,111.58,111.58,111.58,0.0,0.0,111.24,111.24,111.24,0.0,0.0,111.34,111.34,111.34,0.0,0.0
2018-09-02,110.82,110.82,110.82,0.0,0.0,110.97,110.97,110.97,0.0,0.0,110.8,110.8,110.8,0.0,0.0,110.82,110.82,110.82,0.0,0.0
2018-09-09,110.73,110.73,110.73,0.0,0.0,110.79,110.79,110.79,0.0,0.0,110.67,110.67,110.67,0.0,0.0,110.78,110.78,110.78,0.0,0.0
2018-09-16,110.39,110.39,110.39,0.0,0.0,110.6,110.6,110.6,0.0,0.0,110.39,110.39,110.39,0.0,0.0,110.57,110.57,110.57,0.0,0.0
2018-09-23,110.49,110.49,110.49,0.0,0.0,110.6,110.6,110.6,0.0,0.0,110.43,110.43,110.43,0.0,0.0,110.47,110.47,110.47,0.0,0.0
2018-09-30,109.98,109.98,109.98,0.0,0.0,110.1,110.1,110.1,0.0,0.0,109.96,109.96,109.96,0.0,0.0,110.0,110.0,110.0,0.0,0.0
2018-10-07,110.31,110.31,110.31,0.0,0.0,110.39,110.39,110.39,0.0,0.0,110.28,110.28,110.28,0.0,0.0,110.34,110.34,110.34,0.0,0.0
