Date,ProShares VIX Mid Term Futures_Open_average,ProShares VIX Mid Term Futures_Open_max,ProShares VIX Mid Term Futures_Open_min,ProShares VIX Mid Term Futures_Open_volatility,ProShares VIX Mid Term Futures_Open_change,ProShares VIX Mid Term Futures_High_average,ProShares VIX Mid Term Futures_High_max,ProShares VIX Mid Term Futures_High_min,ProShares VIX Mid Term Futures_High_volatility,ProShares VIX Mid Term Futures_High_change,ProShares VIX Mid Term Futures_Low_average,ProShares VIX Mid Term Futures_Low_max,ProShares VIX Mid Term Futures_Low_min,ProShares VIX Mid Term Futures_Low_volatility,ProShares VIX Mid Term Futures_Low_change,ProShares VIX Mid Term Futures_Close_average,ProShares VIX Mid Term Futures_Close_max,ProShares VIX Mid Term Futures_Close_min,ProShares VIX Mid Term Futures_Close_volatility,ProShares VIX Mid Term Futures_Close_change
2018-07-29,21.36,21.36,21.36,0.0,0.0,21.36,21.36,21.36,0.0,0.0,20.93,20.93,20.93,0.0,0.0,21.06,21.06,21.06,0.0,0.0
2018-08-05,21.3,21.3,21.3,0.0,0.0,21.72,21.72,21.72,0.0,0.0,20.97,20.97,20.97,0.0,0.0,21.68,21.68,21.68,0.0,0.0
2018-08-12,20.73,20.73,20.73,0.0,0.0,20.85,20.85,20.85,0.0,0.0,20.73,20.73,20.73,0.0,0.0,20.78,20.78,20.78,0.0,0.0
2018-08-19,20.81,20.81,20.81,0.0,0.0,20.97,20.97,20.97,0.0,0.0,20.77,20.77,20.77,0.0,0.0,20.97,20.97,20.97,0.0,0.0
2018-08-26,21.48,21.48,21.48,0.0,0.0,21.6,21.6,21.6,0.0,0.0,21.24,21.24,21.24,0.0,0.0,21.3,21.3,21.3,0.0,0.0
2018-09-02,21.75,21.75,21.75,0.0,0.0,21.82,21.82,21.82,0.0,0.0,21.56,21.56,21.56,0.0,0.0,21.68,21.68,21.68,0.0,0.0
2018-09-09,20.55,20.55,20.55,0.0,0.0,20.82,20.82,20.82,0.0,0.0,20.51,20.51,20.51,0.0,0.0,20.78,20.78,20.78,0.0,0.0
2018-09-16,20.79,20.79,20.79,0.0,0.0,20.94,20.94,20.94,0.0,0.0,20.55,20.55,20.55,0.0,0.0,20.59,20.59,20.59,0.0,0.0
2018-09-23,20.33,20.33,20.33,0.0,0.0,20.66,20.66,20.66,0.0,0.0,20.27,20.27,20.27,0.0,0.0,20.54,20.54,20.54,0.0,0.0
2018-09-30,21.4,21.4,21.4,0.0,0.0,21.99,21.99,21.99,0.0,0.0,21.22,21.22,21.22,0.0,0.0,21.33,21.33,21.33,0.0,0.0
2018-10-07,23.25,23.25,23.25,0.0,0.0,23.65,23.65,23.65,0.0,0.0,23.09,23.09,23.09,0.0,0.0,23.31,23.31,23.31,0.0,0.0
2018-10-14,23.09,23.09,23.09,0.0,0.0,23.73,23.73,23.73,0.0,0.0,23.09,23.09,23.09,0.0,0.0,23.4,23.4,23.4,0.0,0.0
2018-10-21,24.86,24.86,24.86,0.0,0.0,26.16,26.16,26.16,0.0,0.0,24.67,24.67,24.67,0.0,0.0,25.52,25.52,25.52,0.0,0.0
2018-10-28,24.48,24.48,24.48,0.0,0.0,24.48,24.48,24.48,0.0,0.0,23.97,23.97,23.97,0.0,0.0,24.13,24.13,24.13,0.0,0.0
2018-11-04,23.14,23.14,23.14,0.0,0.0,24.05,24.05,24.05,0.0,0.0,23.14,23.14,23.14,0.0,0.0,23.97,23.97,23.97,0.0,0.0
2018-11-11,23.98,23.98,23.98,0.0,0.0,24.85,24.85,24.85,0.0,0.0,23.87,23.87,23.87,0.0,0.0,24.84,24.84,24.84,0.0,0.0
2018-11-18,25.29,25.29,25.29,0.0,0.0,25.3,25.3,25.3,0.0,0.0,24.75,24.75,24.75,0.0,0.0,24.8,24.8,24.8,0.0,0.0
2018-11-25,22.96,22.96,22.96,0.0,0.0,23.15,23.15,23.15,0.0,0.0,22.85,22.85,22.85,0.0,0.0,23.02,23.02,23.02,0.0,0.0
2018-12-02,25.24,25.24,25.24,0.0,0.0,26.1,26.1,26.1,0.0,0.0,25.24,25.24,25.24,0.0,0.0,25.26,25.26,25.26,0.0,0.0
2018-12-09,25.96,25.96,25.96,0.0,0.0,26.56,26.56,26.56,0.0,0.0,25.78,25.78,25.78,0.0,0.0,26.36,26.36,26.36,0.0,0.0
2018-12-16,27.48,27.48,27.48,0.0,0.0,27.71,27.71,27.71,0.0,0.0,27.21,27.21,27.21,0.0,0.0,27.29,27.29,27.29,0.0,0.0
2018-12-23,26.58,26.58,26.58,0.0,0.0,26.86,26.86,26.86,0.0,0.0,26.58,26.58,26.58,0.0,0.0,26.74,26.74,26.74,0.0,0.0
2018-12-30,26.17,26.17,26.17,0.0,0.0,26.33,26.33,26.33,0.0,0.0,25.73,25.73,25.73,0.0,0.0,26.0,26.0,26.0,0.0,0.0
2019-01-06,25.32,25.32,25.32,0.0,0.0,25.52,25.52,25.52,0.0,0.0,24.92,24.92,24.92,0.0,0.0,24.99,24.99,24.99,0.0,0.0
2019-01-13,24.26,24.26,24.26,0.0,0.0,24.45,24.45,24.45,0.0,0.0,24.0,24.0,24.0,0.0,0.0,24.17,24.17,24.17,0.0,0.0
2019-01-20,24.5,24.5,24.5,0.0,0.0,24.64,24.64,24.64,0.0,0.0,24.19,24.19,24.19,0.0,0.0,24.37,24.37,24.37,0.0,0.0
2019-01-27,23.37,23.37,23.37,0.0,0.0,23.37,23.37,23.37,0.0,0.0,22.86,22.86,22.86,0.0,0.0,22.94,22.94,22.94,0.0,0.0
2019-02-03,22.56,22.56,22.56,0.0,0.0,22.86,22.86,22.86,0.0,0.0,22.56,22.56,22.56,0.0,0.0,22.66,22.66,22.66,0.0,0.0
2019-02-10,22.35,22.35,22.35,0.0,0.0,22.49,22.49,22.49,0.0,0.0,22.29,22.29,22.29,0.0,0.0,22.32,22.32,22.32,0.0,0.0
2019-02-17,21.45,21.45,21.45,0.0,0.0,21.59,21.59,21.59,0.0,0.0,21.15,21.15,21.15,0.0,0.0,21.53,21.53,21.53,0.0,0.0
2019-02-24,21.11,21.11,21.11,0.0,0.0,21.68,21.68,21.68,0.0,0.0,21.04,21.04,21.04,0.0,0.0,21.44,21.44,21.44,0.0,0.0
2019-03-03,22.09,22.09,22.09,0.0,0.0,22.09,22.09,22.09,0.0,0.0,21.6,21.6,21.6,0.0,0.0,21.6,21.6,21.6,0.0,0.0
2019-03-10,21.11,21.11,21.11,0.0,0.0,21.23,21.23,21.23,0.0,0.0,21.01,21.01,21.01,0.0,0.0,21.1,21.1,21.1,0.0,0.0
2019-03-17,22.07,22.07,22.07,0.0,0.0,22.34,22.34,22.34,0.0,0.0,21.86,21.86,21.86,0.0,0.0,22.19,22.19,22.19,0.0,0.0
2019-03-24,21.4,21.4,21.4,0.0,0.0,21.48,21.48,21.48,0.0,0.0,21.28,21.28,21.28,0.0,0.0,21.32,21.32,21.32,0.0,0.0
2019-03-31,21.37,21.37,21.37,0.0,0.0,21.37,21.37,21.37,0.0,0.0,20.91,20.91,20.91,0.0,0.0,21.0,21.0,21.0,0.0,0.0
2019-04-07,21.0,21.0,21.0,0.0,0.0,21.22,21.22,21.22,0.0,0.0,20.91,20.91,20.91,0.0,0.0,20.92,20.92,20.92,0.0,0.0
2019-04-14,21.28,21.28,21.28,0.0,0.0,21.36,21.36,21.36,0.0,0.0,20.95,20.95,20.95,0.0,0.0,20.95,20.95,20.95,0.0,0.0
2019-04-21,21.09,21.09,21.09,0.0,0.0,21.23,21.23,21.23,0.0,0.0,21.05,21.05,21.05,0.0,0.0,21.23,21.23,21.23,0.0,0.0
2019-04-28,22.0,22.0,22.0,0.0,0.0,22.02,22.02,22.02,0.0,0.0,21.35,21.35,21.35,0.0,0.0,21.4,21.4,21.4,0.0,0.0
2019-05-05,22.8,22.8,22.8,0.0,0.0,23.04,23.04,23.04,0.0,0.0,22.47,22.47,22.47,0.0,0.0,23.01,23.01,23.01,0.0,0.0
2019-05-12,22.07,22.07,22.07,0.0,0.0,22.08,22.08,22.08,0.0,0.0,21.76,21.76,21.76,0.0,0.0,21.96,21.96,21.96,0.0,0.0
2019-05-19,21.97,21.97,21.97,0.0,0.0,22.33,22.33,22.33,0.0,0.0,21.84,21.84,21.84,0.0,0.0,22.29,22.29,22.29,0.0,0.0
2019-05-26,22.88,22.88,22.88,0.0,0.0,23.26,23.26,23.26,0.0,0.0,22.58,22.58,22.58,0.0,0.0,22.91,22.91,22.91,0.0,0.0
2019-06-02,21.8,21.8,21.8,0.0,0.0,21.86,21.86,21.86,0.0,0.0,21.72,21.72,21.72,0.0,0.0,21.76,21.76,21.76,0.0,0.0
2019-06-09,21.9,21.9,21.9,0.0,0.0,21.9,21.9,21.9,0.0,0.0,21.66,21.66,21.66,0.0,0.0,21.66,21.66,21.66,0.0,0.0
2019-06-16,21.71,21.71,21.71,0.0,0.0,21.76,21.76,21.76,0.0,0.0,21.59,21.59,21.59,0.0,0.0,21.76,21.76,21.76,0.0,0.0
2019-06-23,21.22,21.22,21.22,0.0,0.0,21.28,21.28,21.28,0.0,0.0,21.04,21.04,21.04,0.0,0.0,21.14,21.14,21.14,0.0,0.0
2019-06-30,20.97,20.97,20.97,0.0,0.0,21.14,21.14,21.14,0.0,0.0,20.79,20.79,20.79,0.0,0.0,21.12,21.12,21.12,0.0,0.0
2019-07-07,20.96,20.96,20.96,0.0,0.0,20.97,20.97,20.97,0.0,0.0,20.78,20.78,20.78,0.0,0.0,20.78,20.78,20.78,0.0,0.0
2019-07-14,21.26,21.26,21.26,0.0,0.0,21.42,21.42,21.42,0.0,0.0,21.16,21.16,21.16,0.0,0.0,21.42,21.42,21.42,0.0,0.0
2019-07-21,20.91,20.91,20.91,0.0,0.0,20.91,20.91,20.91,0.0,0.0,20.73,20.73,20.73,0.0,0.0,20.77,20.77,20.77,0.0,0.0
2019-07-28,22.62,22.62,22.62,0.0,0.0,23.05,23.05,23.05,0.0,0.0,22.39,22.39,22.39,0.0,0.0,22.96,22.96,22.96,0.0,0.0
2019-08-04,22.43,22.43,22.43,0.0,0.0,23.13,23.13,23.13,0.0,0.0,22.43,22.43,22.43,0.0,0.0,23.06,23.06,23.06,0.0,0.0
2019-08-11,22.68,22.68,22.68,0.0,0.0,22.79,22.79,22.79,0.0,0.0,22.48,22.48,22.48,0.0,0.0,22.5,22.5,22.5,0.0,0.0
2019-08-18,23.55,23.55,23.55,0.0,0.0,24.03,24.03,24.03,0.0,0.0,23.55,23.55,23.55,0.0,0.0,23.86,23.86,23.86,0.0,0.0
2019-08-25,23.5,23.5,23.5,0.0,0.0,23.8,23.8,23.8,0.0,0.0,23.36,23.36,23.36,0.0,0.0,23.6,23.6,23.6,0.0,0.0
2019-09-01,22.54,22.54,22.54,0.0,0.0,23.02,23.02,23.02,0.0,0.0,22.54,22.54,22.54,0.0,0.0,22.68,22.68,22.68,0.0,0.0
2019-09-08,23.27,23.27,23.27,0.0,0.0,23.27,23.27,23.27,0.0,0.0,22.56,22.56,22.56,0.0,0.0,22.89,22.89,22.89,0.0,0.0
2019-09-15,23.78,23.78,23.78,0.0,0.0,23.78,23.78,23.78,0.0,0.0,23.2,23.2,23.2,0.0,0.0,23.41,23.41,23.41,0.0,0.0
2019-09-22,23.65,23.65,23.65,0.0,0.0,23.77,23.77,23.77,0.0,0.0,23.47,23.47,23.47,0.0,0.0,23.67,23.67,23.67,0.0,0.0
2019-09-29,24.0,24.0,24.0,0.0,0.0,24.1,24.1,24.1,0.0,0.0,23.75,23.75,23.75,0.0,0.0,23.91,23.91,23.91,0.0,0.0
2019-10-06,23.59,23.59,23.59,0.0,0.0,23.64,23.64,23.64,0.0,0.0,23.41,23.41,23.41,0.0,0.0,23.41,23.41,23.41,0.0,0.0
2019-10-13,23.33,23.33,23.33,0.0,0.0,23.33,23.33,23.33,0.0,0.0,22.87,22.87,22.87,0.0,0.0,22.91,22.91,22.91,0.0,0.0
2019-10-20,22.56,22.56,22.56,0.0,0.0,22.7,22.7,22.7,0.0,0.0,22.55,22.55,22.55,0.0,0.0,22.64,22.64,22.64,0.0,0.0
2019-10-27,22.27,22.27,22.27,0.0,0.0,22.4,22.4,22.4,0.0,0.0,22.22,22.22,22.22,0.0,0.0,22.33,22.33,22.33,0.0,0.0
2019-11-03,22.81,22.81,22.81,0.0,0.0,22.82,22.82,22.82,0.0,0.0,22.45,22.45,22.45,0.0,0.0,22.5,22.5,22.5,0.0,0.0
2019-11-10,22.22,22.22,22.22,0.0,0.0,22.3,22.3,22.3,0.0,0.0,22.04,22.04,22.04,0.0,0.0,22.14,22.14,22.14,0.0,0.0
2019-11-17,22.22,22.22,22.22,0.0,0.0,22.24,22.24,22.24,0.0,0.0,22.11,22.11,22.11,0.0,0.0,22.13,22.13,22.13,0.0,0.0
2019-11-24,22.14,22.14,22.14,0.0,0.0,22.71,22.71,22.71,0.0,0.0,22.14,22.14,22.14,0.0,0.0,22.68,22.68,22.68,0.0,0.0
2019-12-01,22.18,22.18,22.18,0.0,0.0,22.52,22.52,22.52,0.0,0.0,22.18,22.18,22.18,0.0,0.0,22.5,22.5,22.5,0.0,0.0
2019-12-08,21.03,21.03,21.03,0.0,0.0,21.16,21.16,21.16,0.0,0.0,21.02,21.02,21.02,0.0,0.0,21.09,21.09,21.09,0.0,0.0
2019-12-15,21.0,21.0,21.0,0.0,0.0,21.12,21.12,21.12,0.0,0.0,20.95,20.95,20.95,0.0,0.0,21.11,21.11,21.11,0.0,0.0
2019-12-22,21.33,21.33,21.33,0.0,0.0,21.78,21.78,21.78,0.0,0.0,21.33,21.33,21.33,0.0,0.0,21.75,21.75,21.75,0.0,0.0
2019-12-29,21.41,21.41,21.41,0.0,0.0,21.41,21.41,21.41,0.0,0.0,21.0,21.0,21.0,0.0,0.0,21.19,21.19,21.19,0.0,0.0
