Date,iShares Morningstar Large-Cap_Open_average,iShares Morningstar Large-Cap_Open_max,iShares Morningstar Large-Cap_Open_min,iShares Morningstar Large-Cap_Open_volatility,iShares Morningstar Large-Cap_Open_change,iShares Morningstar Large-Cap_High_average,iShares Morningstar Large-Cap_High_max,iShares Morningstar Large-Cap_High_min,iShares Morningstar Large-Cap_High_volatility,iShares Morningstar Large-Cap_High_change,iShares Morningstar Large-Cap_Low_average,iShares Morningstar Large-Cap_Low_max,iShares Morningstar Large-Cap_Low_min,iShares Morningstar Large-Cap_Low_volatility,iShares Morningstar Large-Cap_Low_change,iShares Morningstar Large-Cap_Close_average,iShares Morningstar Large-Cap_Close_max,iShares Morningstar Large-Cap_Close_min,iShares Morningstar Large-Cap_Close_volatility,iShares Morningstar Large-Cap_Close_change
2018-04-01,153.75,153.75,153.75,0.0,0.0,154.54,154.54,154.54,0.0,0.0,150.7,150.7,150.7,0.0,0.0,151.62,151.62,151.62,0.0,0.0
2018-04-08,155.32,155.32,155.32,0.0,0.0,155.32,155.32,155.32,0.0,0.0,153.74,153.74,153.74,0.0,0.0,154.13,154.13,154.13,0.0,0.0
2018-04-15,155.5,155.5,155.5,0.0,0.0,155.5,155.5,155.5,0.0,0.0,153.69,153.69,153.69,0.0,0.0,154.05,154.05,154.05,0.0,0.0
2018-04-22,153.25,153.25,153.25,0.0,0.0,153.58,153.58,153.58,0.0,0.0,152.84,152.84,152.84,0.0,0.0,153.37,153.37,153.37,0.0,0.0
2018-04-29,151.72,151.72,151.72,0.0,0.0,154.34,154.34,154.34,0.0,0.0,151.72,151.72,151.72,0.0,0.0,154.0,154.0,154.0,0.0,0.0
2018-05-06,157.13,157.13,157.13,0.0,0.0,157.74,157.74,157.74,0.0,0.0,156.96,156.96,156.96,0.0,0.0,157.43,157.43,157.43,0.0,0.0
2018-05-13,157.12,157.12,157.12,0.0,0.0,157.31,157.31,157.31,0.0,0.0,156.97,156.97,156.97,0.0,0.0,157.02,157.02,157.02,0.0,0.0
2018-05-20,157.13,157.13,157.13,0.0,0.0,157.47,157.47,157.47,0.0,0.0,156.81,156.81,156.81,0.0,0.0,157.03,157.03,157.03,0.0,0.0
2018-05-27,156.19,156.19,156.19,0.0,0.0,156.87,156.87,156.87,0.0,0.0,156.19,156.19,156.19,0.0,0.0,156.69,156.69,156.69,0.0,0.0
2018-06-03,158.39,158.39,158.39,0.0,0.0,159.2,159.2,159.2,0.0,0.0,158.39,158.39,158.39,0.0,0.0,159.2,159.2,159.2,0.0,0.0
2018-06-10,158.26,158.26,158.26,0.0,0.0,158.87,158.87,158.87,0.0,0.0,157.87,157.87,157.87,0.0,0.0,158.83,158.83,158.83,0.0,0.0
2018-06-17,156.72,156.72,156.72,0.0,0.0,157.21,157.21,157.21,0.0,0.0,156.67,156.67,156.67,0.0,0.0,156.71,156.71,156.71,0.0,0.0
2018-06-24,154.58,154.58,154.58,0.0,0.0,155.49,155.49,155.49,0.0,0.0,153.89,153.89,153.89,0.0,0.0,153.89,153.89,153.89,0.0,0.0
2018-07-01,155.28,155.28,155.28,0.0,0.0,156.73,156.73,156.73,0.0,0.0,155.28,155.28,155.28,0.0,0.0,156.46,156.46,156.46,0.0,0.0
2018-07-08,157.48,157.48,157.48,0.0,0.0,158.31,158.31,158.31,0.0,0.0,157.48,157.48,157.48,0.0,0.0,158.21,158.21,158.21,0.0,0.0
2018-07-15,158.18,158.18,158.18,0.0,0.0,158.58,158.58,158.58,0.0,0.0,158.18,158.18,158.18,0.0,0.0,158.38,158.38,158.38,0.0,0.0
2018-07-22,161.35,161.35,161.35,0.0,0.0,161.61,161.61,161.61,0.0,0.0,160.56,160.56,160.56,0.0,0.0,160.9,160.9,160.9,0.0,0.0
2018-07-29,162.69,162.69,162.69,0.0,0.0,163.49,163.49,163.49,0.0,0.0,162.69,162.69,162.69,0.0,0.0,163.49,163.49,163.49,0.0,0.0
2018-08-05,162.75,162.75,162.75,0.0,0.0,163.04,163.04,163.04,0.0,0.0,162.19,162.19,162.19,0.0,0.0,162.59,162.59,162.59,0.0,0.0
2018-08-12,163.59,163.59,163.59,0.0,0.0,165.17,165.17,165.17,0.0,0.0,163.59,163.59,163.59,0.0,0.0,164.93,164.93,164.93,0.0,0.0
2018-08-19,165.1,165.1,165.1,0.0,0.0,165.75,165.75,165.75,0.0,0.0,165.1,165.1,165.1,0.0,0.0,165.66,165.66,165.66,0.0,0.0
2018-08-26,166.83,166.83,166.83,0.0,0.0,167.64,167.64,167.64,0.0,0.0,166.83,166.83,166.83,0.0,0.0,167.58,167.58,167.58,0.0,0.0
2018-09-02,166.37,166.37,166.37,0.0,0.0,167.6,167.6,167.6,0.0,0.0,166.37,166.37,166.37,0.0,0.0,167.0,167.0,167.0,0.0,0.0
2018-09-09,168.46,168.46,168.46,0.0,0.0,168.62,168.62,168.62,0.0,0.0,167.99,167.99,167.99,0.0,0.0,168.42,168.42,168.42,0.0,0.0
2018-09-16,170.17,170.17,170.17,0.0,0.0,170.44,170.44,170.44,0.0,0.0,169.91,169.91,169.91,0.0,0.0,169.91,169.91,169.91,0.0,0.0
2018-09-23,168.16,168.16,168.16,0.0,0.0,168.66,168.66,168.66,0.0,0.0,168.09,168.09,168.09,0.0,0.0,168.32,168.32,168.32,0.0,0.0
2018-09-30,169.1,169.1,169.1,0.0,0.0,169.12,169.12,169.12,0.0,0.0,167.13,167.13,167.13,0.0,0.0,167.89,167.89,167.89,0.0,0.0
2018-10-07,162.12,162.12,162.12,0.0,0.0,162.12,162.12,162.12,0.0,0.0,159.67,159.67,159.67,0.0,0.0,161.59,161.59,161.59,0.0,0.0
2018-10-14,161.72,161.72,161.72,0.0,0.0,162.78,162.78,162.78,0.0,0.0,161.35,161.35,161.35,0.0,0.0,161.55,161.55,161.55,0.0,0.0
2018-10-21,155.34,155.34,155.34,0.0,0.0,156.54,156.54,156.54,0.0,0.0,153.36,153.36,153.36,0.0,0.0,154.98,154.98,154.98,0.0,0.0
2018-10-28,159.24,159.24,159.24,0.0,0.0,159.32,159.32,159.32,0.0,0.0,156.32,156.32,156.32,0.0,0.0,157.35,157.35,157.35,0.0,0.0
2018-11-04,161.51,161.51,161.51,0.0,0.0,161.74,161.74,161.74,0.0,0.0,160.59,160.59,160.59,0.0,0.0,161.3,161.3,161.3,0.0,0.0
2018-11-11,157.78,157.78,157.78,0.0,0.0,159.81,159.81,159.81,0.0,0.0,157.78,157.78,157.78,0.0,0.0,159.15,159.15,159.15,0.0,0.0
2018-11-18,152.73,152.73,152.73,0.0,0.0,153.4,153.4,153.4,0.0,0.0,152.64,152.64,152.64,0.0,0.0,152.64,152.64,152.64,0.0,0.0
2018-11-25,157.11,157.11,157.11,0.0,0.0,158.27,158.27,158.27,0.0,0.0,157.07,157.07,157.07,0.0,0.0,158.14,158.14,158.14,0.0,0.0
2018-12-02,154.13,154.13,154.13,0.0,0.0,155.07,155.07,155.07,0.0,0.0,150.82,150.82,150.82,0.0,0.0,151.24,151.24,151.24,0.0,0.0
2018-12-09,150.33,150.33,150.33,0.0,0.0,150.7,150.7,150.7,0.0,0.0,148.32,148.32,148.32,0.0,0.0,148.58,148.58,148.58,0.0,0.0
2018-12-16,140.45,140.45,140.45,0.0,0.0,142.33,142.33,142.33,0.0,0.0,137.55,137.55,137.55,0.0,0.0,137.87,137.87,137.87,0.0,0.0
2018-12-23,142.02,142.02,142.02,0.0,0.0,143.0,143.0,143.0,0.0,0.0,140.77,140.77,140.77,0.0,0.0,141.2,141.2,141.2,0.0,0.0
2018-12-30,140.06,140.06,140.06,0.0,0.0,142.65,142.65,142.65,0.0,0.0,140.06,140.06,140.06,0.0,0.0,142.53,142.53,142.53,0.0,0.0
2019-01-06,145.44,145.44,145.44,0.0,0.0,146.11,146.11,146.11,0.0,0.0,145.19,145.19,145.19,0.0,0.0,146.01,146.01,146.01,0.0,0.0
2019-01-13,148.95,148.95,148.95,0.0,0.0,150.05,150.05,150.05,0.0,0.0,148.65,148.65,148.65,0.0,0.0,149.87,149.87,149.87,0.0,0.0
2019-01-20,149.33,149.33,149.33,0.0,0.0,149.95,149.95,149.95,0.0,0.0,149.19,149.19,149.19,0.0,0.0,149.46,149.46,149.46,0.0,0.0
2019-01-27,152.91,152.91,152.91,0.0,0.0,153.34,153.34,153.34,0.0,0.0,152.34,152.34,152.34,0.0,0.0,152.86,152.86,152.86,0.0,0.0
2019-02-03,152.6,152.6,152.6,0.0,0.0,153.39,153.39,153.39,0.0,0.0,152.19,152.19,152.19,0.0,0.0,153.39,153.39,153.39,0.0,0.0
2019-02-10,156.26,156.26,156.26,0.0,0.0,156.85,156.85,156.85,0.0,0.0,156.25,156.25,156.25,0.0,0.0,156.85,156.85,156.85,0.0,0.0
2019-02-17,157.08,157.08,157.08,0.0,0.0,157.63,157.63,157.63,0.0,0.0,156.98,156.98,156.98,0.0,0.0,157.6,157.6,157.6,0.0,0.0
2019-02-24,158.59,158.59,158.59,0.0,0.0,158.77,158.77,158.77,0.0,0.0,157.87,157.87,157.87,0.0,0.0,158.68,158.68,158.68,0.0,0.0
2019-03-03,154.49,154.49,154.49,0.0,0.0,155.5,155.5,155.5,0.0,0.0,154.41,154.41,154.41,0.0,0.0,155.49,155.49,155.49,0.0,0.0
2019-03-10,159.89,159.89,159.89,0.0,0.0,160.76,160.76,160.76,0.0,0.0,159.89,159.89,159.89,0.0,0.0,160.36,160.36,160.36,0.0,0.0
2019-03-17,159.72,159.72,159.72,0.0,0.0,159.72,159.72,159.72,0.0,0.0,157.83,157.83,157.83,0.0,0.0,157.83,157.83,157.83,0.0,0.0
2019-03-24,159.75,159.75,159.75,0.0,0.0,160.11,160.11,160.11,0.0,0.0,159.48,159.48,159.48,0.0,0.0,160.01,160.01,160.01,0.0,0.0
2019-03-31,163.0,163.0,163.0,0.0,0.0,163.33,163.33,163.33,0.0,0.0,163.0,163.0,163.0,0.0,0.0,163.33,163.33,163.33,0.0,0.0
2019-04-07,164.11,164.11,164.11,0.0,0.0,164.6,164.6,164.6,0.0,0.0,163.91,163.91,163.91,0.0,0.0,164.46,164.46,164.46,0.0,0.0
2019-04-14,165.92,165.92,165.92,0.0,0.0,166.13,166.13,166.13,0.0,0.0,165.4,165.4,165.4,0.0,0.0,165.88,165.88,165.88,0.0,0.0
2019-04-21,166.54,166.54,166.54,0.0,0.0,167.13,167.13,167.13,0.0,0.0,166.33,166.33,166.33,0.0,0.0,167.13,167.13,167.13,0.0,0.0
2019-04-28,167.73,167.73,167.73,0.0,0.0,168.5,168.5,168.5,0.0,0.0,167.73,167.73,167.73,0.0,0.0,168.39,168.39,168.39,0.0,0.0
2019-05-05,163.31,163.31,163.31,0.0,0.0,165.03,165.03,165.03,0.0,0.0,161.68,161.68,161.68,0.0,0.0,164.61,164.61,164.61,0.0,0.0
2019-05-12,162.03,162.03,162.03,0.0,0.0,163.71,163.71,163.71,0.0,0.0,162.03,162.03,162.03,0.0,0.0,163.11,163.11,163.11,0.0,0.0
2019-05-19,160.64,160.64,160.64,0.0,0.0,160.64,160.64,160.64,0.0,0.0,159.76,159.76,159.76,0.0,0.0,159.93,159.93,159.93,0.0,0.0
2019-05-26,155.66,155.66,155.66,0.0,0.0,156.48,156.48,156.48,0.0,0.0,155.49,155.49,155.49,0.0,0.0,155.49,155.49,155.49,0.0,0.0
2019-06-02,162.97,162.97,162.97,0.0,0.0,163.6,163.6,163.6,0.0,0.0,162.97,162.97,162.97,0.0,0.0,163.29,163.29,163.29,0.0,0.0
2019-06-09,163.77,163.77,163.77,0.0,0.0,164.37,164.37,164.37,0.0,0.0,163.62,163.62,163.62,0.0,0.0,163.93,163.93,163.93,0.0,0.0
2019-06-16,165.82,165.82,165.82,0.0,0.0,166.24,166.24,166.24,0.0,0.0,165.43,165.43,165.43,0.0,0.0,165.54,165.54,165.54,0.0,0.0
2019-06-23,164.63,164.63,164.63,0.0,0.0,165.18,165.18,165.18,0.0,0.0,164.47,164.47,164.47,0.0,0.0,165.14,165.14,165.14,0.0,0.0
2019-06-30,166.83,166.83,166.83,0.0,0.0,167.54,167.54,167.54,0.0,0.0,166.58,166.58,166.58,0.0,0.0,167.03,167.03,167.03,0.0,0.0
2019-07-07,167.59,167.59,167.59,0.0,0.0,168.33,168.33,168.33,0.0,0.0,167.59,167.59,167.59,0.0,0.0,168.33,168.33,168.33,0.0,0.0
2019-07-14,167.69,167.69,167.69,0.0,0.0,167.69,167.69,167.69,0.0,0.0,166.4,166.4,166.4,0.0,0.0,166.4,166.4,166.4,0.0,0.0
2019-07-21,168.7,168.7,168.7,0.0,0.0,169.01,169.01,169.01,0.0,0.0,168.62,168.62,168.62,0.0,0.0,168.96,168.96,168.96,0.0,0.0
2019-07-28,164.64,164.64,164.64,0.0,0.0,165.01,165.01,165.01,0.0,0.0,163.59,163.59,163.59,0.0,0.0,164.4,164.4,164.4,0.0,0.0
2019-08-04,164.05,164.05,164.05,0.0,0.0,164.63,164.63,164.63,0.0,0.0,163.17,163.17,163.17,0.0,0.0,164.13,164.13,164.13,0.0,0.0
2019-08-11,160.82,160.82,160.82,0.0,0.0,162.76,162.76,162.76,0.0,0.0,160.82,160.82,160.82,0.0,0.0,162.76,162.76,162.76,0.0,0.0
2019-08-18,164.13,164.13,164.13,0.0,0.0,164.87,164.87,164.87,0.0,0.0,159.85,159.85,159.85,0.0,0.0,159.9,159.9,159.9,0.0,0.0
2019-08-25,165.8,165.8,165.8,0.0,0.0,166.12,166.12,166.12,0.0,0.0,165.04,165.04,165.04,0.0,0.0,165.67,165.67,165.67,0.0,0.0
2019-09-01,167.91,167.91,167.91,0.0,0.0,168.45,168.45,168.45,0.0,0.0,167.9,167.9,167.9,0.0,0.0,168.23,168.23,168.23,0.0,0.0
2019-09-08,171.04,171.04,171.04,0.0,0.0,171.04,171.04,171.04,0.0,0.0,170.37,170.37,170.37,0.0,0.0,170.47,170.47,170.47,0.0,0.0
2019-09-15,170.54,170.54,170.54,0.0,0.0,170.88,170.88,170.88,0.0,0.0,169.3,169.3,169.3,0.0,0.0,169.5,169.5,169.5,0.0,0.0
2019-09-22,168.06,168.06,168.06,0.0,0.0,168.17,168.17,168.17,0.0,0.0,166.27,166.27,166.27,0.0,0.0,166.78,166.78,166.78,0.0,0.0
2019-09-29,164.81,164.81,164.81,0.0,0.0,166.67,166.67,166.67,0.0,0.0,164.81,164.81,164.81,0.0,0.0,166.67,166.67,166.67,0.0,0.0
2019-10-06,167.26,167.26,167.26,0.0,0.0,169.05,169.05,169.05,0.0,0.0,167.0,167.0,167.0,0.0,0.0,168.28,168.28,168.28,0.0,0.0
2019-10-13,169.5,169.5,169.5,0.0,0.0,169.5,169.5,169.5,0.0,0.0,169.01,169.01,169.01,0.0,0.0,169.07,169.07,169.07,0.0,0.0
2019-10-20,170.67,170.67,170.67,0.0,0.0,171.4,171.4,171.4,0.0,0.0,170.54,170.54,170.54,0.0,0.0,171.22,171.22,171.22,0.0,0.0
2019-10-27,173.44,173.44,173.44,0.0,0.0,173.82,173.82,173.82,0.0,0.0,173.42,173.42,173.42,0.0,0.0,173.82,173.82,173.82,0.0,0.0
2019-11-03,176.26,176.26,176.26,0.0,0.0,176.71,176.71,176.71,0.0,0.0,175.63,175.63,175.63,0.0,0.0,176.71,176.71,176.71,0.0,0.0
2019-11-10,177.92,177.92,177.92,0.0,0.0,178.83,178.83,178.83,0.0,0.0,177.92,177.92,177.92,0.0,0.0,178.8,178.8,178.8,0.0,0.0
2019-11-17,177.47,177.47,177.47,0.0,0.0,177.66,177.66,177.66,0.0,0.0,177.41,177.41,177.41,0.0,0.0,177.59,177.59,177.59,0.0,0.0
2019-11-24,179.37,179.37,179.37,0.0,0.0,179.52,179.52,179.52,0.0,0.0,179.33,179.33,179.33,0.0,0.0,179.38,179.38,179.38,0.0,0.0
2019-12-01,178.68,178.68,178.68,0.0,0.0,180.12,180.12,180.12,0.0,0.0,178.68,178.68,178.68,0.0,0.0,179.82,179.82,179.82,0.0,0.0
2019-12-08,181.14,181.14,181.14,0.0,0.0,181.89,181.89,181.89,0.0,0.0,181.14,181.14,181.14,0.0,0.0,181.63,181.63,181.63,0.0,0.0
2019-12-15,183.1,183.1,183.1,0.0,0.0,183.54,183.54,183.54,0.0,0.0,183.1,183.1,183.1,0.0,0.0,183.47,183.47,183.47,0.0,0.0
2019-12-22,184.92,184.92,184.92,0.0,0.0,184.95,184.95,184.95,0.0,0.0,184.79,184.79,184.79,0.0,0.0,184.82,184.82,184.82,0.0,0.0
2019-12-29,184.85,184.85,184.85,0.0,0.0,186.12,186.12,186.12,0.0,0.0,184.85,184.85,184.85,0.0,0.0,185.38,185.38,185.38,0.0,0.0
