Date,Vanguard Total International Stock_Open_average,Vanguard Total International Stock_Open_max,Vanguard Total International Stock_Open_min,Vanguard Total International Stock_Open_volatility,Vanguard Total International Stock_Open_change,Vanguard Total International Stock_High_average,Vanguard Total International Stock_High_max,Vanguard Total International Stock_High_min,Vanguard Total International Stock_High_volatility,Vanguard Total International Stock_High_change,Vanguard Total International Stock_Low_average,Vanguard Total International Stock_Low_max,Vanguard Total International Stock_Low_min,Vanguard Total International Stock_Low_volatility,Vanguard Total International Stock_Low_change,Vanguard Total International Stock_Close_average,Vanguard Total International Stock_Close_max,Vanguard Total International Stock_Close_min,Vanguard Total International Stock_Close_volatility,Vanguard Total International Stock_Close_change
2018-04-29,56.81,56.81,56.81,0.0,0.0,56.91,56.91,56.91,0.0,0.0,56.66,56.66,56.66,0.0,0.0,56.73,56.73,56.73,0.0,0.0
2018-05-06,57.81,57.81,57.81,0.0,0.0,57.87,57.87,57.87,0.0,0.0,57.61,57.61,57.61,0.0,0.0,57.66,57.66,57.66,0.0,0.0
2018-05-13,57.39,57.39,57.39,0.0,0.0,57.44,57.44,57.44,0.0,0.0,57.27,57.27,57.27,0.0,0.0,57.4,57.4,57.4,0.0,0.0
2018-05-20,56.46,56.46,56.46,0.0,0.0,56.58,56.58,56.58,0.0,0.0,56.34,56.34,56.34,0.0,0.0,56.48,56.48,56.48,0.0,0.0
2018-05-27,56.76,56.76,56.76,0.0,0.0,56.86,56.86,56.86,0.0,0.0,56.58,56.58,56.58,0.0,0.0,56.6,56.6,56.6,0.0,0.0
2018-06-03,56.84,56.84,56.84,0.0,0.0,57.02,57.02,57.02,0.0,0.0,56.78,56.78,56.78,0.0,0.0,56.94,56.94,56.94,0.0,0.0
2018-06-10,55.49,55.49,55.49,0.0,0.0,55.63,55.63,55.63,0.0,0.0,55.31,55.31,55.31,0.0,0.0,55.63,55.63,55.63,0.0,0.0
2018-06-17,54.34,54.34,54.34,0.0,0.0,54.34,54.34,54.34,0.0,0.0,53.73,53.73,53.73,0.0,0.0,53.93,53.93,53.93,0.0,0.0
2018-06-24,53.35,53.35,53.35,0.0,0.0,53.54,53.54,53.54,0.0,0.0,53.25,53.25,53.25,0.0,0.0,53.53,53.53,53.53,0.0,0.0
2018-07-01,54.79,54.79,54.79,0.0,0.0,54.88,54.88,54.88,0.0,0.0,54.66,54.66,54.66,0.0,0.0,54.87,54.87,54.87,0.0,0.0
2018-07-08,54.52,54.52,54.52,0.0,0.0,54.6,54.6,54.6,0.0,0.0,54.38,54.38,54.38,0.0,0.0,54.49,54.49,54.49,0.0,0.0
2018-07-15,54.67,54.67,54.67,0.0,0.0,54.7,54.7,54.7,0.0,0.0,54.54,54.54,54.54,0.0,0.0,54.62,54.62,54.62,0.0,0.0
2018-07-22,55.63,55.63,55.63,0.0,0.0,55.65,55.65,55.65,0.0,0.0,55.39,55.39,55.39,0.0,0.0,55.42,55.42,55.42,0.0,0.0
2018-07-29,54.61,54.61,54.61,0.0,0.0,54.76,54.76,54.76,0.0,0.0,54.51,54.51,54.51,0.0,0.0,54.7,54.7,54.7,0.0,0.0
2018-08-05,53.66,53.66,53.66,0.0,0.0,53.73,53.73,53.73,0.0,0.0,53.31,53.31,53.31,0.0,0.0,53.42,53.42,53.42,0.0,0.0
2018-08-12,53.48,53.48,53.48,0.0,0.0,53.59,53.59,53.59,0.0,0.0,53.42,53.42,53.42,0.0,0.0,53.55,53.55,53.55,0.0,0.0
2018-08-19,54.61,54.61,54.61,0.0,0.0,54.97,54.97,54.97,0.0,0.0,54.56,54.56,54.56,0.0,0.0,54.92,54.92,54.92,0.0,0.0
2018-08-26,54.18,54.18,54.18,0.0,0.0,54.38,54.38,54.38,0.0,0.0,53.9,53.9,53.9,0.0,0.0,54.15,54.15,54.15,0.0,0.0
2018-09-02,52.78,52.78,52.78,0.0,0.0,52.78,52.78,52.78,0.0,0.0,52.54,52.54,52.54,0.0,0.0,52.58,52.58,52.58,0.0,0.0
2018-09-09,53.44,53.44,53.44,0.0,0.0,53.57,53.57,53.57,0.0,0.0,53.24,53.24,53.24,0.0,0.0,53.28,53.28,53.28,0.0,0.0
2018-09-16,54.62,54.62,54.62,0.0,0.0,54.69,54.69,54.69,0.0,0.0,54.38,54.38,54.38,0.0,0.0,54.38,54.38,54.38,0.0,0.0
2018-09-23,54.24,54.24,54.24,0.0,0.0,54.3,54.3,54.3,0.0,0.0,54.05,54.05,54.05,0.0,0.0,54.09,54.09,54.09,0.0,0.0
2018-09-30,52.13,52.13,52.13,0.0,0.0,52.35,52.35,52.35,0.0,0.0,51.9,51.9,51.9,0.0,0.0,52.34,52.34,52.34,0.0,0.0
2018-10-07,50.52,50.52,50.52,0.0,0.0,50.73,50.73,50.73,0.0,0.0,50.33,50.33,50.33,0.0,0.0,50.48,50.48,50.48,0.0,0.0
2018-10-14,50.61,50.61,50.61,0.0,0.0,50.69,50.69,50.69,0.0,0.0,50.24,50.24,50.24,0.0,0.0,50.38,50.38,50.38,0.0,0.0
2018-10-21,49.19,49.19,49.19,0.0,0.0,49.22,49.22,49.22,0.0,0.0,47.93,47.93,47.93,0.0,0.0,48.39,48.39,48.39,0.0,0.0
2018-10-28,50.52,50.52,50.52,0.0,0.0,50.66,50.66,50.66,0.0,0.0,50.36,50.36,50.36,0.0,0.0,50.57,50.57,50.57,0.0,0.0
2018-11-04,50.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,49.41,49.41,49.41,0.0,0.0,49.45,49.45,49.45,0.0,0.0
2018-11-11,50.13,50.13,50.13,0.0,0.0,50.16,50.16,50.16,0.0,0.0,49.64,49.64,49.64,0.0,0.0,49.79,49.79,49.79,0.0,0.0
2018-11-18,49.78,49.78,49.78,0.0,0.0,49.95,49.95,49.95,0.0,0.0,49.68,49.68,49.68,0.0,0.0,49.87,49.87,49.87,0.0,0.0
2018-11-25,50.99,50.99,50.99,0.0,0.0,51.1,51.1,51.1,0.0,0.0,50.75,50.75,50.75,0.0,0.0,50.93,50.93,50.93,0.0,0.0
2018-12-02,48.35,48.35,48.35,0.0,0.0,48.43,48.43,48.43,0.0,0.0,47.69,47.69,47.69,0.0,0.0,48.22,48.22,48.22,0.0,0.0
2018-12-09,48.34,48.34,48.34,0.0,0.0,48.44,48.44,48.44,0.0,0.0,47.76,47.76,47.76,0.0,0.0,47.98,47.98,47.98,0.0,0.0
2018-12-16,46.04,46.04,46.04,0.0,0.0,46.32,46.32,46.32,0.0,0.0,45.7,45.7,45.7,0.0,0.0,45.72,45.72,45.72,0.0,0.0
2018-12-23,47.47,47.47,47.47,0.0,0.0,47.49,47.49,47.49,0.0,0.0,46.98,46.98,46.98,0.0,0.0,47.22,47.22,47.22,0.0,0.0
2018-12-30,48.09,48.09,48.09,0.0,0.0,48.46,48.46,48.46,0.0,0.0,47.97,47.97,47.97,0.0,0.0,48.27,48.27,48.27,0.0,0.0
2019-01-06,48.76,48.76,48.76,0.0,0.0,49.04,49.04,49.04,0.0,0.0,48.7,48.7,48.7,0.0,0.0,48.9,48.9,48.9,0.0,0.0
2019-01-13,49.98,49.98,49.98,0.0,0.0,50.12,50.12,50.12,0.0,0.0,49.87,49.87,49.87,0.0,0.0,50.03,50.03,50.03,0.0,0.0
2019-01-20,49.84,49.84,49.84,0.0,0.0,50.03,50.03,50.03,0.0,0.0,49.76,49.76,49.76,0.0,0.0,50.03,50.03,50.03,0.0,0.0
2019-01-27,50.68,50.68,50.68,0.0,0.0,50.93,50.93,50.93,0.0,0.0,50.59,50.59,50.59,0.0,0.0,50.93,50.93,50.93,0.0,0.0
2019-02-03,50.21,50.21,50.21,0.0,0.0,50.22,50.22,50.22,0.0,0.0,49.98,49.98,49.98,0.0,0.0,50.06,50.06,50.06,0.0,0.0
2019-02-10,50.9,50.9,50.9,0.0,0.0,51.06,51.06,51.06,0.0,0.0,50.8,50.8,50.8,0.0,0.0,51.05,51.05,51.05,0.0,0.0
2019-02-17,52.01,52.01,52.01,0.0,0.0,52.13,52.13,52.13,0.0,0.0,51.91,51.91,51.91,0.0,0.0,51.95,51.95,51.95,0.0,0.0
2019-02-24,51.99,51.99,51.99,0.0,0.0,51.99,51.99,51.99,0.0,0.0,51.47,51.47,51.47,0.0,0.0,51.75,51.75,51.75,0.0,0.0
2019-03-03,51.06,51.06,51.06,0.0,0.0,51.48,51.48,51.48,0.0,0.0,51.01,51.01,51.01,0.0,0.0,51.48,51.48,51.48,0.0,0.0
2019-03-10,52.45,52.45,52.45,0.0,0.0,52.63,52.63,52.63,0.0,0.0,52.41,52.41,52.41,0.0,0.0,52.63,52.63,52.63,0.0,0.0
2019-03-17,51.31,51.31,51.31,0.0,0.0,51.55,51.55,51.55,0.0,0.0,51.24,51.24,51.24,0.0,0.0,51.45,51.45,51.45,0.0,0.0
2019-03-24,52.36,52.36,52.36,0.0,0.0,52.6,52.6,52.6,0.0,0.0,52.35,52.35,52.35,0.0,0.0,52.57,52.57,52.57,0.0,0.0
2019-03-31,53.1,53.1,53.1,0.0,0.0,53.17,53.17,53.17,0.0,0.0,52.96,52.96,52.96,0.0,0.0,53.13,53.13,53.13,0.0,0.0
2019-04-07,53.38,53.38,53.38,0.0,0.0,53.38,53.38,53.38,0.0,0.0,53.18,53.18,53.18,0.0,0.0,53.29,53.29,53.29,0.0,0.0
2019-04-14,53.37,53.37,53.37,0.0,0.0,53.43,53.43,53.43,0.0,0.0,53.31,53.31,53.31,0.0,0.0,53.41,53.41,53.41,0.0,0.0
2019-04-21,53.23,53.23,53.23,0.0,0.0,53.36,53.36,53.36,0.0,0.0,53.17,53.17,53.17,0.0,0.0,53.35,53.35,53.35,0.0,0.0
2019-04-28,52.3,52.3,52.3,0.0,0.0,52.9,52.9,52.9,0.0,0.0,52.26,52.26,52.26,0.0,0.0,52.87,52.87,52.87,0.0,0.0
2019-05-05,50.9,50.9,50.9,0.0,0.0,50.95,50.95,50.95,0.0,0.0,50.52,50.52,50.52,0.0,0.0,50.68,50.68,50.68,0.0,0.0
2019-05-12,50.94,50.94,50.94,0.0,0.0,51.12,51.12,51.12,0.0,0.0,50.8,50.8,50.8,0.0,0.0,50.96,50.96,50.96,0.0,0.0
2019-05-19,51.07,51.07,51.07,0.0,0.0,51.07,51.07,51.07,0.0,0.0,50.84,50.84,50.84,0.0,0.0,51.02,51.02,51.02,0.0,0.0
2019-05-26,50.73,50.73,50.73,0.0,0.0,50.88,50.88,50.88,0.0,0.0,50.58,50.58,50.58,0.0,0.0,50.76,50.76,50.76,0.0,0.0
2019-06-02,52.1,52.1,52.1,0.0,0.0,52.23,52.23,52.23,0.0,0.0,51.99,51.99,51.99,0.0,0.0,52.06,52.06,52.06,0.0,0.0
2019-06-09,51.66,51.66,51.66,0.0,0.0,51.77,51.77,51.77,0.0,0.0,51.6,51.6,51.6,0.0,0.0,51.63,51.63,51.63,0.0,0.0
2019-06-16,52.58,52.58,52.58,0.0,0.0,52.67,52.67,52.67,0.0,0.0,52.55,52.55,52.55,0.0,0.0,52.59,52.59,52.59,0.0,0.0
2019-06-23,53.35,53.35,53.35,0.0,0.0,53.36,53.36,53.36,0.0,0.0,52.94,52.94,52.94,0.0,0.0,53.06,53.06,53.06,0.0,0.0
2019-06-30,52.78,52.78,52.78,0.0,0.0,52.83,52.83,52.83,0.0,0.0,52.71,52.71,52.71,0.0,0.0,52.76,52.76,52.76,0.0,0.0
2019-07-07,52.96,52.96,52.96,0.0,0.0,53.0,53.0,53.0,0.0,0.0,52.89,52.89,52.89,0.0,0.0,52.96,52.96,52.96,0.0,0.0
2019-07-14,52.8,52.8,52.8,0.0,0.0,52.8,52.8,52.8,0.0,0.0,52.67,52.67,52.67,0.0,0.0,52.77,52.77,52.77,0.0,0.0
2019-07-21,52.75,52.75,52.75,0.0,0.0,52.75,52.75,52.75,0.0,0.0,52.55,52.55,52.55,0.0,0.0,52.67,52.67,52.67,0.0,0.0
2019-07-28,50.04,50.04,50.04,0.0,0.0,50.04,50.04,50.04,0.0,0.0,49.3,49.3,49.3,0.0,0.0,49.55,49.55,49.55,0.0,0.0
2019-08-04,50.08,50.08,50.08,0.0,0.0,50.17,50.17,50.17,0.0,0.0,49.81,49.81,49.81,0.0,0.0,49.89,49.89,49.89,0.0,0.0
2019-08-11,50.23,50.23,50.23,0.0,0.0,50.27,50.27,50.27,0.0,0.0,50.03,50.03,50.03,0.0,0.0,50.06,50.06,50.06,0.0,0.0
2019-08-18,49.97,49.97,49.97,0.0,0.0,49.97,49.97,49.97,0.0,0.0,49.71,49.71,49.71,0.0,0.0,49.85,49.85,49.85,0.0,0.0
2019-08-25,50.66,50.66,50.66,0.0,0.0,50.69,50.69,50.69,0.0,0.0,50.34,50.34,50.34,0.0,0.0,50.58,50.58,50.58,0.0,0.0
2019-09-01,51.8,51.8,51.8,0.0,0.0,51.83,51.83,51.83,0.0,0.0,51.67,51.67,51.67,0.0,0.0,51.75,51.75,51.75,0.0,0.0
2019-09-08,52.41,52.41,52.41,0.0,0.0,52.47,52.47,52.47,0.0,0.0,52.29,52.29,52.29,0.0,0.0,52.31,52.31,52.31,0.0,0.0
2019-09-15,52.18,52.18,52.18,0.0,0.0,52.36,52.36,52.36,0.0,0.0,52.1,52.1,52.1,0.0,0.0,52.34,52.34,52.34,0.0,0.0
2019-09-22,51.58,51.58,51.58,0.0,0.0,51.74,51.74,51.74,0.0,0.0,51.54,51.54,51.54,0.0,0.0,51.66,51.66,51.66,0.0,0.0
2019-09-29,51.02,51.02,51.02,0.0,0.0,51.2,51.2,51.2,0.0,0.0,50.95,50.95,50.95,0.0,0.0,50.95,50.95,50.95,0.0,0.0
2019-10-06,51.91,51.91,51.91,0.0,0.0,52.02,52.02,52.02,0.0,0.0,51.83,51.83,51.83,0.0,0.0,51.91,51.91,51.91,0.0,0.0
2019-10-13,52.95,52.95,52.95,0.0,0.0,52.96,52.96,52.96,0.0,0.0,52.85,52.85,52.85,0.0,0.0,52.92,52.92,52.92,0.0,0.0
2019-10-20,53.37,53.37,53.37,0.0,0.0,53.54,53.54,53.54,0.0,0.0,53.37,53.37,53.37,0.0,0.0,53.49,53.49,53.49,0.0,0.0
2019-10-27,54.35,54.35,54.35,0.0,0.0,54.41,54.41,54.41,0.0,0.0,54.21,54.21,54.21,0.0,0.0,54.26,54.26,54.26,0.0,0.0
2019-11-03,53.98,53.98,53.98,0.0,0.0,54.19,54.19,54.19,0.0,0.0,53.84,53.84,53.84,0.0,0.0,54.16,54.16,54.16,0.0,0.0
2019-11-10,54.11,54.11,54.11,0.0,0.0,54.29,54.29,54.29,0.0,0.0,54.06,54.06,54.06,0.0,0.0,54.23,54.23,54.23,0.0,0.0
2019-11-17,54.17,54.17,54.17,0.0,0.0,54.33,54.33,54.33,0.0,0.0,54.04,54.04,54.04,0.0,0.0,54.32,54.32,54.32,0.0,0.0
2019-11-24,54.0,54.0,54.0,0.0,0.0,54.0,54.0,54.0,0.0,0.0,53.58,53.58,53.58,0.0,0.0,53.74,53.74,53.74,0.0,0.0
2019-12-01,54.38,54.38,54.38,0.0,0.0,54.46,54.46,54.46,0.0,0.0,54.2,54.2,54.2,0.0,0.0,54.2,54.2,54.2,0.0,0.0
2019-12-08,55.95,55.95,55.95,0.0,0.0,56.03,56.03,56.03,0.0,0.0,55.91,55.91,55.91,0.0,0.0,55.96,55.96,55.96,0.0,0.0
2019-12-15,55.36,55.36,55.36,0.0,0.0,55.41,55.41,55.41,0.0,0.0,55.31,55.31,55.31,0.0,0.0,55.38,55.38,55.38,0.0,0.0
2019-12-22,55.92,55.92,55.92,0.0,0.0,55.92,55.92,55.92,0.0,0.0,55.42,55.42,55.42,0.0,0.0,55.47,55.47,55.47,0.0,0.0
2019-12-29,55.59,55.59,55.59,0.0,0.0,55.9,55.9,55.9,0.0,0.0,55.56,55.56,55.56,0.0,0.0,55.62,55.62,55.62,0.0,0.0
