Date,iShares US Utilities_Open_average,iShares US Utilities_Open_max,iShares US Utilities_Open_min,iShares US Utilities_Open_volatility,iShares US Utilities_Open_change,iShares US Utilities_High_average,iShares US Utilities_High_max,iShares US Utilities_High_min,iShares US Utilities_High_volatility,iShares US Utilities_High_change,iShares US Utilities_Low_average,iShares US Utilities_Low_max,iShares US Utilities_Low_min,iShares US Utilities_Low_volatility,iShares US Utilities_Low_change,iShares US Utilities_Close_average,iShares US Utilities_Close_max,iShares US Utilities_Close_min,iShares US Utilities_Close_volatility,iShares US Utilities_Close_change
2019-03-17,148.19,148.19,148.19,0.0,0.0,148.56,148.56,148.56,0.0,0.0,147.6,147.6,147.6,0.0,0.0,148.2,148.2,148.2,0.0,0.0
2019-03-24,147.38,147.38,147.38,0.0,0.0,147.38,147.38,147.38,0.0,0.0,145.53,145.53,145.53,0.0,0.0,146.42,146.42,146.42,0.0,0.0
2019-03-31,146.87,146.87,146.87,0.0,0.0,146.87,146.87,146.87,0.0,0.0,145.82,145.82,145.82,0.0,0.0,145.99,145.99,145.99,0.0,0.0
2019-04-07,147.49,147.49,147.49,0.0,0.0,147.82,147.82,147.82,0.0,0.0,147.04,147.04,147.04,0.0,0.0,147.29,147.29,147.29,0.0,0.0
2019-04-14,144.83,144.83,144.83,0.0,0.0,145.24,145.24,145.24,0.0,0.0,144.62,144.62,144.62,0.0,0.0,144.84,144.84,144.84,0.0,0.0
2019-04-21,147.23,147.23,147.23,0.0,0.0,147.23,147.23,147.23,0.0,0.0,145.76,145.76,145.76,0.0,0.0,146.33,146.33,146.33,0.0,0.0
2019-04-28,147.68,147.68,147.68,0.0,0.0,148.13,148.13,148.13,0.0,0.0,146.73,146.73,146.73,0.0,0.0,146.92,146.92,146.92,0.0,0.0
2019-05-05,146.33,146.33,146.33,0.0,0.0,148.6,148.6,148.6,0.0,0.0,146.33,146.33,146.33,0.0,0.0,148.4,148.4,148.4,0.0,0.0
2019-05-12,149.15,149.15,149.15,0.0,0.0,149.77,149.77,149.77,0.0,0.0,148.37,148.37,148.37,0.0,0.0,149.01,149.01,149.01,0.0,0.0
2019-05-19,151.4,151.4,151.4,0.0,0.0,151.97,151.97,151.97,0.0,0.0,151.12,151.12,151.12,0.0,0.0,151.13,151.13,151.13,0.0,0.0
2019-05-26,147.71,147.71,147.71,0.0,0.0,148.89,148.89,148.89,0.0,0.0,147.13,147.13,147.13,0.0,0.0,148.82,148.82,148.82,0.0,0.0
2019-06-02,151.43,151.43,151.43,0.0,0.0,151.44,151.44,151.44,0.0,0.0,150.08,150.08,150.08,0.0,0.0,150.77,150.77,150.77,0.0,0.0
2019-06-09,152.62,152.62,152.62,0.0,0.0,152.8,152.8,152.8,0.0,0.0,151.13,151.13,151.13,0.0,0.0,151.88,151.88,151.88,0.0,0.0
2019-06-16,154.46,154.46,154.46,0.0,0.0,154.46,154.46,154.46,0.0,0.0,153.7,153.7,153.7,0.0,0.0,154.17,154.17,154.17,0.0,0.0
2019-06-23,151.12,151.12,151.12,0.0,0.0,151.12,151.12,151.12,0.0,0.0,149.12,149.12,149.12,0.0,0.0,150.51,150.51,150.51,0.0,0.0
2019-06-30,153.41,153.41,153.41,0.0,0.0,153.76,153.76,153.76,0.0,0.0,152.54,152.54,152.54,0.0,0.0,153.49,153.49,153.49,0.0,0.0
2019-07-07,153.01,153.01,153.01,0.0,0.0,153.74,153.74,153.74,0.0,0.0,152.89,152.89,152.89,0.0,0.0,153.52,153.52,153.52,0.0,0.0
2019-07-14,152.64,152.64,152.64,0.0,0.0,152.64,152.64,152.64,0.0,0.0,151.1,151.1,151.1,0.0,0.0,151.96,151.96,151.96,0.0,0.0
2019-07-21,151.88,151.88,151.88,0.0,0.0,152.25,152.25,152.25,0.0,0.0,150.98,150.98,150.98,0.0,0.0,152.04,152.04,152.04,0.0,0.0
2019-07-28,151.96,151.96,151.96,0.0,0.0,151.96,151.96,151.96,0.0,0.0,148.69,148.69,148.69,0.0,0.0,149.48,149.48,149.48,0.0,0.0
2019-08-04,153.28,153.28,153.28,0.0,0.0,153.28,153.28,153.28,0.0,0.0,152.27,152.27,152.27,0.0,0.0,152.97,152.97,152.97,0.0,0.0
2019-08-11,154.48,154.48,154.48,0.0,0.0,156.13,156.13,156.13,0.0,0.0,154.26,154.26,154.26,0.0,0.0,155.53,155.53,155.53,0.0,0.0
2019-08-18,155.15,155.15,155.15,0.0,0.0,156.57,156.57,156.57,0.0,0.0,154.96,154.96,154.96,0.0,0.0,156.57,156.57,156.57,0.0,0.0
2019-08-25,157.94,157.94,157.94,0.0,0.0,158.05,158.05,158.05,0.0,0.0,157.35,157.35,157.35,0.0,0.0,157.62,157.62,157.62,0.0,0.0
2019-09-01,157.85,157.85,157.85,0.0,0.0,158.03,158.03,158.03,0.0,0.0,157.02,157.02,157.02,0.0,0.0,157.37,157.37,157.37,0.0,0.0
2019-09-08,158.77,158.77,158.77,0.0,0.0,158.95,158.95,158.95,0.0,0.0,158.15,158.15,158.15,0.0,0.0,158.61,158.61,158.61,0.0,0.0
2019-09-15,161.8,161.8,161.8,0.0,0.0,162.61,162.61,162.61,0.0,0.0,161.8,161.8,161.8,0.0,0.0,162.03,162.03,162.03,0.0,0.0
2019-09-22,162.99,162.99,162.99,0.0,0.0,163.69,163.69,163.69,0.0,0.0,162.54,162.54,162.54,0.0,0.0,162.85,162.85,162.85,0.0,0.0
2019-09-29,162.7,162.7,162.7,0.0,0.0,162.82,162.82,162.82,0.0,0.0,162.0,162.0,162.0,0.0,0.0,162.24,162.24,162.24,0.0,0.0
2019-10-06,161.14,161.14,161.14,0.0,0.0,161.62,161.62,161.62,0.0,0.0,159.59,159.59,159.59,0.0,0.0,159.91,159.91,159.91,0.0,0.0
2019-10-13,160.69,160.69,160.69,0.0,0.0,161.22,161.22,161.22,0.0,0.0,160.32,160.32,160.32,0.0,0.0,161.2,161.2,161.2,0.0,0.0
2019-10-20,160.59,160.59,160.59,0.0,0.0,160.59,160.59,160.59,0.0,0.0,159.04,159.04,159.04,0.0,0.0,159.15,159.15,159.15,0.0,0.0
2019-10-27,161.08,161.08,161.08,0.0,0.0,161.08,161.08,161.08,0.0,0.0,158.57,158.57,158.57,0.0,0.0,159.12,159.12,159.12,0.0,0.0
2019-11-03,155.04,155.04,155.04,0.0,0.0,155.34,155.34,155.34,0.0,0.0,154.07,154.07,154.07,0.0,0.0,154.11,154.11,154.11,0.0,0.0
2019-11-10,157.87,157.87,157.87,0.0,0.0,159.21,159.21,159.21,0.0,0.0,157.71,157.71,157.71,0.0,0.0,157.92,157.92,157.92,0.0,0.0
2019-11-17,158.21,158.21,158.21,0.0,0.0,158.45,158.45,158.45,0.0,0.0,157.28,157.28,157.28,0.0,0.0,157.5,157.5,157.5,0.0,0.0
2019-11-24,157.66,157.66,157.66,0.0,0.0,157.7,157.7,157.7,0.0,0.0,156.87,156.87,156.87,0.0,0.0,156.91,156.91,156.91,0.0,0.0
2019-12-01,158.85,158.85,158.85,0.0,0.0,158.85,158.85,158.85,0.0,0.0,157.59,157.59,157.59,0.0,0.0,157.71,157.71,157.71,0.0,0.0
2019-12-08,158.02,158.02,158.02,0.0,0.0,159.92,159.92,159.92,0.0,0.0,158.02,158.02,158.02,0.0,0.0,159.92,159.92,159.92,0.0,0.0
2019-12-15,162.52,162.52,162.52,0.0,0.0,162.52,162.52,162.52,0.0,0.0,160.24,160.24,160.24,0.0,0.0,160.53,160.53,160.53,0.0,0.0
2019-12-22,160.94,160.94,160.94,0.0,0.0,161.34,161.34,161.34,0.0,0.0,160.79,160.79,160.79,0.0,0.0,161.27,161.27,161.27,0.0,0.0
2019-12-29,159.78,159.78,159.78,0.0,0.0,160.79,160.79,160.79,0.0,0.0,159.33,159.33,159.33,0.0,0.0,160.16,160.16,160.16,0.0,0.0
