Date,iShares Edge MSCI USA Size Factor_Open_average,iShares Edge MSCI USA Size Factor_Open_max,iShares Edge MSCI USA Size Factor_Open_min,iShares Edge MSCI USA Size Factor_Open_volatility,iShares Edge MSCI USA Size Factor_Open_change,iShares Edge MSCI USA Size Factor_High_average,iShares Edge MSCI USA Size Factor_High_max,iShares Edge MSCI USA Size Factor_High_min,iShares Edge MSCI USA Size Factor_High_volatility,iShares Edge MSCI USA Size Factor_High_change,iShares Edge MSCI USA Size Factor_Low_average,iShares Edge MSCI USA Size Factor_Low_max,iShares Edge MSCI USA Size Factor_Low_min,iShares Edge MSCI USA Size Factor_Low_volatility,iShares Edge MSCI USA Size Factor_Low_change,iShares Edge MSCI USA Size Factor_Close_average,iShares Edge MSCI USA Size Factor_Close_max,iShares Edge MSCI USA Size Factor_Close_min,iShares Edge MSCI USA Size Factor_Close_volatility,iShares Edge MSCI USA Size Factor_Close_change
2019-02-10,86.95,86.95,86.95,0.0,0.0,87.37,87.37,87.37,0.0,0.0,86.95,86.95,86.95,0.0,0.0,87.37,87.37,87.37,0.0,0.0
2019-02-17,88.54,88.54,88.54,0.0,0.0,88.59,88.59,88.59,0.0,0.0,88.0,88.0,88.0,0.0,0.0,88.0,88.0,88.0,0.0,0.0
2019-02-24,88.54,88.54,88.54,0.0,0.0,88.54,88.54,88.54,0.0,0.0,87.24,87.24,87.24,0.0,0.0,87.8,87.8,87.8,0.0,0.0
2019-03-03,86.64,86.64,86.64,0.0,0.0,86.99,86.99,86.99,0.0,0.0,86.64,86.64,86.64,0.0,0.0,86.99,86.99,86.99,0.0,0.0
2019-03-10,88.02,88.02,88.02,0.0,0.0,88.45,88.45,88.45,0.0,0.0,88.02,88.02,88.02,0.0,0.0,88.35,88.35,88.35,0.0,0.0
2019-03-17,86.37,86.37,86.37,0.0,0.0,86.88,86.88,86.88,0.0,0.0,86.22,86.22,86.22,0.0,0.0,86.62,86.62,86.62,0.0,0.0
2019-03-24,88.72,88.72,88.72,0.0,0.0,89.17,89.17,89.17,0.0,0.0,88.72,88.72,88.72,0.0,0.0,89.15,89.15,89.15,0.0,0.0
2019-03-31,89.97,89.97,89.97,0.0,0.0,90.25,90.25,90.25,0.0,0.0,89.86,89.86,89.86,0.0,0.0,90.2,90.2,90.2,0.0,0.0
2019-04-07,91.12,91.12,91.12,0.0,0.0,91.17,91.17,91.17,0.0,0.0,90.69,90.69,90.69,0.0,0.0,90.77,90.77,90.77,0.0,0.0
2019-04-14,90.16,90.16,90.16,0.0,0.0,90.27,90.27,90.27,0.0,0.0,90.11,90.11,90.11,0.0,0.0,90.27,90.27,90.27,0.0,0.0
2019-04-21,91.06,91.06,91.06,0.0,0.0,91.28,91.28,91.28,0.0,0.0,91.06,91.06,91.06,0.0,0.0,91.07,91.07,91.07,0.0,0.0
2019-04-28,89.76,89.76,89.76,0.0,0.0,90.95,90.95,90.95,0.0,0.0,89.76,89.76,89.76,0.0,0.0,90.82,90.82,90.82,0.0,0.0
2019-05-05,87.47,87.47,87.47,0.0,0.0,87.47,87.47,87.47,0.0,0.0,86.77,86.77,86.77,0.0,0.0,87.14,87.14,87.14,0.0,0.0
2019-05-12,87.83,87.83,87.83,0.0,0.0,87.98,87.98,87.98,0.0,0.0,87.66,87.66,87.66,0.0,0.0,87.78,87.78,87.78,0.0,0.0
2019-05-19,87.57,87.57,87.57,0.0,0.0,87.57,87.57,87.57,0.0,0.0,87.08,87.08,87.08,0.0,0.0,87.28,87.28,87.28,0.0,0.0
2019-05-26,85.75,85.75,85.75,0.0,0.0,85.75,85.75,85.75,0.0,0.0,85.0,85.0,85.0,0.0,0.0,85.38,85.38,85.38,0.0,0.0
2019-06-02,89.63,89.63,89.63,0.0,0.0,90.0,90.0,90.0,0.0,0.0,89.47,89.47,89.47,0.0,0.0,89.48,89.48,89.48,0.0,0.0
2019-06-09,89.02,89.02,89.02,0.0,0.0,89.23,89.23,89.23,0.0,0.0,88.96,88.96,88.96,0.0,0.0,88.96,88.96,88.96,0.0,0.0
2019-06-16,90.75,90.75,90.75,0.0,0.0,90.75,90.75,90.75,0.0,0.0,90.29,90.29,90.29,0.0,0.0,90.31,90.31,90.31,0.0,0.0
2019-06-23,92.1,92.1,92.1,0.0,0.0,92.1,92.1,92.1,0.0,0.0,91.25,91.25,91.25,0.0,0.0,91.57,91.57,91.57,0.0,0.0
2019-06-30,91.98,91.98,91.98,0.0,0.0,91.98,91.98,91.98,0.0,0.0,91.52,91.52,91.52,0.0,0.0,91.71,91.71,91.71,0.0,0.0
2019-07-07,92.81,92.81,92.81,0.0,0.0,92.81,92.81,92.81,0.0,0.0,92.45,92.45,92.45,0.0,0.0,92.63,92.63,92.63,0.0,0.0
2019-07-14,91.98,91.98,91.98,0.0,0.0,91.98,91.98,91.98,0.0,0.0,91.66,91.66,91.66,0.0,0.0,91.76,91.76,91.76,0.0,0.0
2019-07-21,93.1,93.1,93.1,0.0,0.0,93.1,93.1,93.1,0.0,0.0,92.73,92.73,92.73,0.0,0.0,92.83,92.83,92.83,0.0,0.0
2019-07-28,88.66,88.66,88.66,0.0,0.0,88.66,88.66,88.66,0.0,0.0,87.03,87.03,87.03,0.0,0.0,87.37,87.37,87.37,0.0,0.0
2019-08-04,88.6,88.6,88.6,0.0,0.0,88.6,88.6,88.6,0.0,0.0,87.97,87.97,87.97,0.0,0.0,88.11,88.11,88.11,0.0,0.0
2019-08-11,89.09,89.09,89.09,0.0,0.0,89.09,89.09,89.09,0.0,0.0,88.97,88.97,88.97,0.0,0.0,88.97,88.97,88.97,0.0,0.0
2019-08-18,87.44,87.44,87.44,0.0,0.0,87.48,87.48,87.48,0.0,0.0,86.89,86.89,86.89,0.0,0.0,87.31,87.31,87.31,0.0,0.0
2019-08-25,89.22,89.22,89.22,0.0,0.0,89.22,89.22,89.22,0.0,0.0,88.75,88.75,88.75,0.0,0.0,88.92,88.92,88.92,0.0,0.0
2019-09-01,90.96,90.96,90.96,0.0,0.0,91.02,91.02,91.02,0.0,0.0,90.68,90.68,90.68,0.0,0.0,91.01,91.01,91.01,0.0,0.0
2019-09-08,91.91,91.91,91.91,0.0,0.0,92.37,92.37,92.37,0.0,0.0,91.91,91.91,91.91,0.0,0.0,92.37,92.37,92.37,0.0,0.0
2019-09-15,91.61,91.61,91.61,0.0,0.0,91.77,91.77,91.77,0.0,0.0,91.59,91.59,91.59,0.0,0.0,91.63,91.63,91.63,0.0,0.0
2019-09-22,90.87,90.87,90.87,0.0,0.0,90.96,90.96,90.96,0.0,0.0,90.78,90.78,90.78,0.0,0.0,90.78,90.78,90.78,0.0,0.0
2019-09-29,89.21,89.21,89.21,0.0,0.0,89.49,89.49,89.49,0.0,0.0,89.15,89.15,89.15,0.0,0.0,89.15,89.15,89.15,0.0,0.0
2019-10-06,89.72,89.72,89.72,0.0,0.0,89.97,89.97,89.97,0.0,0.0,89.65,89.65,89.65,0.0,0.0,89.88,89.88,89.88,0.0,0.0
2019-10-13,91.12,91.12,91.12,0.0,0.0,91.33,91.33,91.33,0.0,0.0,91.12,91.12,91.12,0.0,0.0,91.3,91.3,91.3,0.0,0.0
2019-10-20,92.45,92.45,92.45,0.0,0.0,92.51,92.51,92.51,0.0,0.0,92.38,92.38,92.38,0.0,0.0,92.38,92.38,92.38,0.0,0.0
2019-10-27,93.66,93.66,93.66,0.0,0.0,93.66,93.66,93.66,0.0,0.0,93.47,93.47,93.47,0.0,0.0,93.58,93.58,93.58,0.0,0.0
2019-11-03,93.7,93.7,93.7,0.0,0.0,93.77,93.77,93.77,0.0,0.0,93.7,93.7,93.7,0.0,0.0,93.72,93.72,93.72,0.0,0.0
2019-11-10,94.6,94.6,94.6,0.0,0.0,94.66,94.66,94.66,0.0,0.0,94.41,94.41,94.41,0.0,0.0,94.61,94.61,94.61,0.0,0.0
2019-11-17,94.87,94.87,94.87,0.0,0.0,95.38,95.38,95.38,0.0,0.0,94.87,94.87,94.87,0.0,0.0,95.34,95.34,95.34,0.0,0.0
2019-11-24,95.55,95.55,95.55,0.0,0.0,95.55,95.55,95.55,0.0,0.0,94.56,94.56,94.56,0.0,0.0,94.56,94.56,94.56,0.0,0.0
2019-12-01,95.3,95.3,95.3,0.0,0.0,95.46,95.46,95.46,0.0,0.0,95.11,95.11,95.11,0.0,0.0,95.11,95.11,95.11,0.0,0.0
2019-12-08,96.17,96.17,96.17,0.0,0.0,96.47,96.47,96.47,0.0,0.0,96.17,96.17,96.17,0.0,0.0,96.29,96.29,96.29,0.0,0.0
2019-12-15,97.45,97.45,97.45,0.0,0.0,97.45,97.45,97.45,0.0,0.0,97.23,97.23,97.23,0.0,0.0,97.31,97.31,97.31,0.0,0.0
2019-12-22,97.57,97.57,97.57,0.0,0.0,97.57,97.57,97.57,0.0,0.0,96.91,96.91,96.91,0.0,0.0,97.09,97.09,97.09,0.0,0.0
2019-12-29,96.85,96.85,96.85,0.0,0.0,97.46,97.46,97.46,0.0,0.0,96.85,96.85,96.85,0.0,0.0,97.31,97.31,97.31,0.0,0.0
