Date,ProShares UltraShort Financials_Open_average,ProShares UltraShort Financials_Open_max,ProShares UltraShort Financials_Open_min,ProShares UltraShort Financials_Open_volatility,ProShares UltraShort Financials_Open_change,ProShares UltraShort Financials_High_average,ProShares UltraShort Financials_High_max,ProShares UltraShort Financials_High_min,ProShares UltraShort Financials_High_volatility,ProShares UltraShort Financials_High_change,ProShares UltraShort Financials_Low_average,ProShares UltraShort Financials_Low_max,ProShares UltraShort Financials_Low_min,ProShares UltraShort Financials_Low_volatility,ProShares UltraShort Financials_Low_change,ProShares UltraShort Financials_Close_average,ProShares UltraShort Financials_Close_max,ProShares UltraShort Financials_Close_min,ProShares UltraShort Financials_Close_volatility,ProShares UltraShort Financials_Close_change
2018-04-22,20.42,20.42,20.42,0.0,0.0,20.67,20.67,20.67,0.0,0.0,20.3,20.3,20.3,0.0,0.0,20.67,20.67,20.67,0.0,0.0
2018-04-29,20.57,20.57,20.57,0.0,0.0,20.73,20.73,20.73,0.0,0.0,20.37,20.37,20.37,0.0,0.0,20.5,20.5,20.5,0.0,0.0
2018-05-06,19.51,19.51,19.51,0.0,0.0,19.73,19.73,19.73,0.0,0.0,19.38,19.38,19.38,0.0,0.0,19.7,19.7,19.7,0.0,0.0
2018-05-13,19.86,19.86,19.86,0.0,0.0,19.87,19.87,19.87,0.0,0.0,19.73,19.73,19.73,0.0,0.0,19.77,19.77,19.77,0.0,0.0
2018-05-20,20.03,20.03,20.03,0.0,0.0,20.14,20.14,20.14,0.0,0.0,19.94,19.94,19.94,0.0,0.0,20.13,20.13,20.13,0.0,0.0
2018-05-27,19.97,19.97,19.97,0.0,0.0,20.02,20.02,20.02,0.0,0.0,19.94,19.94,19.94,0.0,0.0,19.94,19.94,19.94,0.0,0.0
2018-06-03,19.26,19.26,19.26,0.0,0.0,19.43,19.43,19.43,0.0,0.0,19.2,19.2,19.2,0.0,0.0,19.42,19.42,19.42,0.0,0.0
2018-06-10,20.25,20.25,20.25,0.0,0.0,20.25,20.25,20.25,0.0,0.0,19.91,19.91,19.91,0.0,0.0,19.91,19.91,19.91,0.0,0.0
2018-06-17,20.54,20.54,20.54,0.0,0.0,20.8,20.8,20.8,0.0,0.0,20.29,20.29,20.29,0.0,0.0,20.56,20.56,20.56,0.0,0.0
2018-06-24,21.25,21.25,21.25,0.0,0.0,21.25,21.25,21.25,0.0,0.0,20.61,20.61,20.61,0.0,0.0,20.61,20.61,20.61,0.0,0.0
2018-07-01,20.29,20.29,20.29,0.0,0.0,20.29,20.29,20.29,0.0,0.0,19.78,19.78,19.78,0.0,0.0,19.79,19.79,19.79,0.0,0.0
2018-07-08,20.03,20.03,20.03,0.0,0.0,20.03,20.03,20.03,0.0,0.0,19.68,19.68,19.68,0.0,0.0,19.68,19.68,19.68,0.0,0.0
2018-07-15,19.35,19.35,19.35,0.0,0.0,19.37,19.37,19.37,0.0,0.0,19.15,19.15,19.15,0.0,0.0,19.2,19.2,19.2,0.0,0.0
2018-07-22,19.14,19.14,19.14,0.0,0.0,19.25,19.25,19.25,0.0,0.0,19.03,19.03,19.03,0.0,0.0,19.21,19.21,19.21,0.0,0.0
2018-07-29,18.91,18.91,18.91,0.0,0.0,18.95,18.95,18.95,0.0,0.0,18.75,18.75,18.75,0.0,0.0,18.86,18.86,18.86,0.0,0.0
2018-08-05,19.22,19.22,19.22,0.0,0.0,19.46,19.46,19.46,0.0,0.0,19.1,19.1,19.1,0.0,0.0,19.46,19.46,19.46,0.0,0.0
2018-08-12,18.76,18.76,18.76,0.0,0.0,18.76,18.76,18.76,0.0,0.0,18.59,18.59,18.59,0.0,0.0,18.6,18.6,18.6,0.0,0.0
2018-08-19,18.57,18.57,18.57,0.0,0.0,18.57,18.57,18.57,0.0,0.0,18.24,18.24,18.24,0.0,0.0,18.31,18.31,18.31,0.0,0.0
2018-08-26,18.59,18.59,18.59,0.0,0.0,18.59,18.59,18.59,0.0,0.0,18.5,18.5,18.5,0.0,0.0,18.51,18.51,18.51,0.0,0.0
2018-09-02,18.64,18.64,18.64,0.0,0.0,18.66,18.66,18.66,0.0,0.0,18.37,18.37,18.37,0.0,0.0,18.63,18.63,18.63,0.0,0.0
2018-09-09,18.65,18.65,18.65,0.0,0.0,18.8,18.8,18.8,0.0,0.0,18.55,18.55,18.55,0.0,0.0,18.77,18.77,18.77,0.0,0.0
2018-09-16,18.23,18.23,18.23,0.0,0.0,18.55,18.55,18.55,0.0,0.0,18.2,18.2,18.2,0.0,0.0,18.49,18.49,18.49,0.0,0.0
2018-09-23,18.98,18.98,18.98,0.0,0.0,19.25,19.25,19.25,0.0,0.0,18.96,18.96,18.96,0.0,0.0,19.25,19.25,19.25,0.0,0.0
2018-09-30,19.36,19.36,19.36,0.0,0.0,19.36,19.36,19.36,0.0,0.0,19.0,19.0,19.0,0.0,0.0,19.03,19.03,19.03,0.0,0.0
2018-10-07,21.33,21.33,21.33,0.0,0.0,21.34,21.34,21.34,0.0,0.0,20.98,20.98,20.98,0.0,0.0,21.34,21.34,21.34,0.0,0.0
2018-10-14,20.69,20.69,20.69,0.0,0.0,21.48,21.48,21.48,0.0,0.0,20.69,20.69,20.69,0.0,0.0,21.48,21.48,21.48,0.0,0.0
2018-10-21,22.13,22.13,22.13,0.0,0.0,22.71,22.71,22.71,0.0,0.0,21.5,21.5,21.5,0.0,0.0,22.23,22.23,22.23,0.0,0.0
2018-10-28,21.02,21.02,21.02,0.0,0.0,21.02,21.02,21.02,0.0,0.0,20.37,20.37,20.37,0.0,0.0,20.52,20.52,20.52,0.0,0.0
2018-11-04,20.0,20.0,20.0,0.0,0.0,20.56,20.56,20.56,0.0,0.0,19.84,19.84,19.84,0.0,0.0,20.54,20.54,20.54,0.0,0.0
2018-11-11,20.28,20.28,20.28,0.0,0.0,20.71,20.71,20.71,0.0,0.0,20.21,20.21,20.21,0.0,0.0,20.54,20.54,20.54,0.0,0.0
2018-11-18,21.06,21.06,21.06,0.0,0.0,21.06,21.06,21.06,0.0,0.0,20.64,20.64,20.64,0.0,0.0,20.7,20.7,20.7,0.0,0.0
2018-11-25,19.21,19.21,19.21,0.0,0.0,19.82,19.82,19.82,0.0,0.0,18.25,18.25,18.25,0.0,0.0,19.58,19.58,19.58,0.0,0.0
2018-12-02,22.04,22.04,22.04,0.0,0.0,23.11,23.11,23.11,0.0,0.0,22.0,22.0,22.0,0.0,0.0,22.31,22.31,22.31,0.0,0.0
2018-12-09,23.49,23.49,23.49,0.0,0.0,24.3,24.3,24.3,0.0,0.0,23.15,23.15,23.15,0.0,0.0,24.07,24.07,24.07,0.0,0.0
2018-12-16,26.78,26.78,26.78,0.0,0.0,27.61,27.61,27.61,0.0,0.0,26.52,26.52,26.52,0.0,0.0,27.57,27.57,27.57,0.0,0.0
2018-12-23,24.4,24.4,24.4,0.0,0.0,24.81,24.81,24.81,0.0,0.0,24.11,24.11,24.11,0.0,0.0,24.32,24.32,24.32,0.0,0.0
2018-12-30,23.66,23.66,23.66,0.0,0.0,23.69,23.69,23.69,0.0,0.0,22.94,22.94,22.94,0.0,0.0,23.34,23.34,23.34,0.0,0.0
2019-01-06,23.0,23.0,23.0,0.0,0.0,23.0,23.0,23.0,0.0,0.0,22.39,22.39,22.39,0.0,0.0,22.45,22.45,22.45,0.0,0.0
2019-01-13,20.97,20.97,20.97,0.0,0.0,21.19,21.19,21.19,0.0,0.0,20.6,20.6,20.6,0.0,0.0,20.61,20.61,20.61,0.0,0.0
2019-01-20,20.9,20.9,20.9,0.0,0.0,20.9,20.9,20.9,0.0,0.0,20.53,20.53,20.53,0.0,0.0,20.54,20.54,20.54,0.0,0.0
2019-01-27,20.03,20.03,20.03,0.0,0.0,20.26,20.26,20.26,0.0,0.0,19.85,19.85,19.85,0.0,0.0,19.86,19.86,19.86,0.0,0.0
2019-02-03,20.29,20.29,20.29,0.0,0.0,20.29,20.29,20.29,0.0,0.0,20.11,20.11,20.11,0.0,0.0,20.17,20.17,20.17,0.0,0.0
2019-02-10,19.7,19.7,19.7,0.0,0.0,19.7,19.7,19.7,0.0,0.0,19.28,19.28,19.28,0.0,0.0,19.28,19.28,19.28,0.0,0.0
2019-02-17,19.02,19.02,19.02,0.0,0.0,19.22,19.22,19.22,0.0,0.0,18.87,18.87,18.87,0.0,0.0,19.21,19.21,19.21,0.0,0.0
2019-02-24,18.97,18.97,18.97,0.0,0.0,19.47,19.47,19.47,0.0,0.0,18.84,18.84,18.84,0.0,0.0,19.21,19.21,19.21,0.0,0.0
2019-03-03,19.75,19.75,19.75,0.0,0.0,19.75,19.75,19.75,0.0,0.0,19.43,19.43,19.43,0.0,0.0,19.43,19.43,19.43,0.0,0.0
2019-03-10,18.72,18.72,18.72,0.0,0.0,18.72,18.72,18.72,0.0,0.0,18.48,18.48,18.48,0.0,0.0,18.57,18.57,18.57,0.0,0.0
2019-03-17,20.14,20.14,20.14,0.0,0.0,20.31,20.31,20.31,0.0,0.0,19.87,19.87,19.87,0.0,0.0,20.14,20.14,20.14,0.0,0.0
2019-03-24,19.2,19.2,19.2,0.0,0.0,19.27,19.27,19.27,0.0,0.0,18.74,18.74,18.74,0.0,0.0,18.76,18.76,18.76,0.0,0.0
2019-03-31,18.53,18.53,18.53,0.0,0.0,18.61,18.61,18.61,0.0,0.0,18.44,18.44,18.44,0.0,0.0,18.44,18.44,18.44,0.0,0.0
2019-04-07,17.83,17.83,17.83,0.0,0.0,18.12,18.12,18.12,0.0,0.0,17.72,17.72,17.72,0.0,0.0,18.06,18.06,18.06,0.0,0.0
2019-04-14,18.06,18.06,18.06,0.0,0.0,18.15,18.15,18.15,0.0,0.0,18.03,18.03,18.03,0.0,0.0,18.07,18.07,18.07,0.0,0.0
2019-04-21,17.4,17.4,17.4,0.0,0.0,17.4,17.4,17.4,0.0,0.0,17.11,17.11,17.11,0.0,0.0,17.26,17.26,17.26,0.0,0.0
2019-04-28,17.6,17.6,17.6,0.0,0.0,17.6,17.6,17.6,0.0,0.0,17.16,17.16,17.16,0.0,0.0,17.21,17.21,17.21,0.0,0.0
2019-05-05,18.25,18.25,18.25,0.0,0.0,18.53,18.53,18.53,0.0,0.0,18.16,18.16,18.16,0.0,0.0,18.41,18.41,18.41,0.0,0.0
2019-05-12,18.16,18.16,18.16,0.0,0.0,18.16,18.16,18.16,0.0,0.0,17.92,17.92,17.92,0.0,0.0,18.04,18.04,18.04,0.0,0.0
2019-05-19,18.12,18.12,18.12,0.0,0.0,18.18,18.18,18.18,0.0,0.0,18.0,18.0,18.0,0.0,0.0,18.05,18.05,18.05,0.0,0.0
2019-05-26,19.02,19.02,19.02,0.0,0.0,19.11,19.11,19.11,0.0,0.0,18.7,18.7,18.7,0.0,0.0,18.87,18.87,18.87,0.0,0.0
2019-06-02,17.29,17.29,17.29,0.0,0.0,17.35,17.35,17.35,0.0,0.0,17.18,17.18,17.18,0.0,0.0,17.34,17.34,17.34,0.0,0.0
2019-06-09,17.5,17.5,17.5,0.0,0.0,17.6,17.6,17.6,0.0,0.0,17.33,17.33,17.33,0.0,0.0,17.6,17.6,17.6,0.0,0.0
2019-06-16,17.29,17.29,17.29,0.0,0.0,17.38,17.38,17.38,0.0,0.0,17.18,17.18,17.18,0.0,0.0,17.37,17.37,17.37,0.0,0.0
2019-06-23,16.76,16.76,16.76,0.0,0.0,16.9,16.9,16.9,0.0,0.0,16.62,16.62,16.62,0.0,0.0,16.76,16.76,16.76,0.0,0.0
2019-06-30,16.45,16.45,16.45,0.0,0.0,16.49,16.49,16.49,0.0,0.0,16.38,16.38,16.38,0.0,0.0,16.43,16.43,16.43,0.0,0.0
2019-07-07,16.06,16.06,16.06,0.0,0.0,16.32,16.32,16.32,0.0,0.0,16.0,16.0,16.0,0.0,0.0,16.29,16.29,16.29,0.0,0.0
2019-07-14,16.65,16.65,16.65,0.0,0.0,16.71,16.71,16.71,0.0,0.0,16.56,16.56,16.56,0.0,0.0,16.57,16.57,16.57,0.0,0.0
2019-07-21,16.03,16.03,16.03,0.0,0.0,16.09,16.09,16.09,0.0,0.0,15.8,15.8,15.8,0.0,0.0,16.09,16.09,16.09,0.0,0.0
2019-07-28,17.38,17.38,17.38,0.0,0.0,18.14,18.14,18.14,0.0,0.0,17.37,17.37,17.37,0.0,0.0,17.87,17.87,17.87,0.0,0.0
2019-08-04,17.27,17.27,17.27,0.0,0.0,17.52,17.52,17.52,0.0,0.0,17.11,17.11,17.11,0.0,0.0,17.44,17.44,17.44,0.0,0.0
2019-08-11,17.0,17.0,17.0,0.0,0.0,17.12,17.12,17.12,0.0,0.0,16.89,16.89,16.89,0.0,0.0,17.03,17.03,17.03,0.0,0.0
2019-08-18,17.67,17.67,17.67,0.0,0.0,17.79,17.79,17.79,0.0,0.0,17.5,17.5,17.5,0.0,0.0,17.5,17.5,17.5,0.0,0.0
2019-08-25,16.8,16.8,16.8,0.0,0.0,17.03,17.03,17.03,0.0,0.0,16.79,16.79,16.79,0.0,0.0,16.94,16.94,16.94,0.0,0.0
2019-09-01,16.13,16.13,16.13,0.0,0.0,16.21,16.21,16.21,0.0,0.0,16.04,16.04,16.04,0.0,0.0,16.08,16.08,16.08,0.0,0.0
2019-09-08,16.02,16.02,16.02,0.0,0.0,16.02,16.02,16.02,0.0,0.0,15.8,15.8,15.8,0.0,0.0,15.83,15.83,15.83,0.0,0.0
2019-09-15,16.0,16.0,16.0,0.0,0.0,16.0,16.0,16.0,0.0,0.0,15.77,15.77,15.77,0.0,0.0,15.84,15.84,15.84,0.0,0.0
2019-09-22,15.84,15.84,15.84,0.0,0.0,15.96,15.96,15.96,0.0,0.0,15.81,15.81,15.81,0.0,0.0,15.91,15.91,15.91,0.0,0.0
2019-09-29,16.5,16.5,16.5,0.0,0.0,16.5,16.5,16.5,0.0,0.0,16.22,16.22,16.22,0.0,0.0,16.44,16.44,16.44,0.0,0.0
2019-10-06,16.18,16.18,16.18,0.0,0.0,16.2,16.2,16.2,0.0,0.0,16.09,16.09,16.09,0.0,0.0,16.15,16.15,16.15,0.0,0.0
2019-10-13,15.51,15.51,15.51,0.0,0.0,15.6,15.6,15.6,0.0,0.0,15.37,15.37,15.37,0.0,0.0,15.37,15.37,15.37,0.0,0.0
2019-10-20,15.32,15.32,15.32,0.0,0.0,15.32,15.32,15.32,0.0,0.0,15.21,15.21,15.21,0.0,0.0,15.29,15.29,15.29,0.0,0.0
2019-10-27,14.77,14.77,14.77,0.0,0.0,14.95,14.95,14.95,0.0,0.0,14.76,14.76,14.76,0.0,0.0,14.89,14.89,14.89,0.0,0.0
2019-11-03,14.92,14.92,14.92,0.0,0.0,14.92,14.92,14.92,0.0,0.0,14.77,14.77,14.77,0.0,0.0,14.8,14.8,14.8,0.0,0.0
2019-11-10,14.74,14.74,14.74,0.0,0.0,14.74,14.74,14.74,0.0,0.0,14.64,14.64,14.64,0.0,0.0,14.64,14.64,14.64,0.0,0.0
2019-11-17,14.55,14.55,14.55,0.0,0.0,14.55,14.55,14.55,0.0,0.0,14.45,14.45,14.45,0.0,0.0,14.47,14.47,14.47,0.0,0.0
2019-11-24,14.37,14.37,14.37,0.0,0.0,14.6,14.6,14.6,0.0,0.0,14.35,14.35,14.35,0.0,0.0,14.59,14.59,14.59,0.0,0.0
2019-12-01,14.25,14.25,14.25,0.0,0.0,14.29,14.29,14.29,0.0,0.0,14.21,14.21,14.21,0.0,0.0,14.28,14.28,14.28,0.0,0.0
2019-12-08,13.91,13.91,13.91,0.0,0.0,14.0,14.0,14.0,0.0,0.0,13.89,13.89,13.89,0.0,0.0,13.99,13.99,13.99,0.0,0.0
2019-12-15,13.82,13.82,13.82,0.0,0.0,13.96,13.96,13.96,0.0,0.0,13.82,13.82,13.82,0.0,0.0,13.94,13.94,13.94,0.0,0.0
2019-12-22,13.65,13.65,13.65,0.0,0.0,13.85,13.85,13.85,0.0,0.0,13.65,13.65,13.65,0.0,0.0,13.81,13.81,13.81,0.0,0.0
2019-12-29,13.85,13.85,13.85,0.0,0.0,13.88,13.88,13.88,0.0,0.0,13.67,13.67,13.67,0.0,0.0,13.73,13.73,13.73,0.0,0.0
