Date,iShares MSCI Europe Small-Cap_Open_average,iShares MSCI Europe Small-Cap_Open_max,iShares MSCI Europe Small-Cap_Open_min,iShares MSCI Europe Small-Cap_Open_volatility,iShares MSCI Europe Small-Cap_Open_change,iShares MSCI Europe Small-Cap_High_average,iShares MSCI Europe Small-Cap_High_max,iShares MSCI Europe Small-Cap_High_min,iShares MSCI Europe Small-Cap_High_volatility,iShares MSCI Europe Small-Cap_High_change,iShares MSCI Europe Small-Cap_Low_average,iShares MSCI Europe Small-Cap_Low_max,iShares MSCI Europe Small-Cap_Low_min,iShares MSCI Europe Small-Cap_Low_volatility,iShares MSCI Europe Small-Cap_Low_change,iShares MSCI Europe Small-Cap_Close_average,iShares MSCI Europe Small-Cap_Close_max,iShares MSCI Europe Small-Cap_Close_min,iShares MSCI Europe Small-Cap_Close_volatility,iShares MSCI Europe Small-Cap_Close_change
2018-04-29,59.38,59.38,59.38,0.0,0.0,59.41,59.41,59.41,0.0,0.0,59.19,59.19,59.19,0.0,0.0,59.38,59.38,59.38,0.0,0.0
2018-05-06,60.17,60.17,60.17,0.0,0.0,60.25,60.25,60.25,0.0,0.0,60.0,60.0,60.0,0.0,0.0,60.0,60.0,60.0,0.0,0.0
2018-05-13,59.94,59.94,59.94,0.0,0.0,59.95,59.95,59.95,0.0,0.0,59.82,59.82,59.82,0.0,0.0,59.95,59.95,59.95,0.0,0.0
2018-05-20,59.0,59.0,59.0,0.0,0.0,59.08,59.08,59.08,0.0,0.0,58.86,58.86,58.86,0.0,0.0,59.01,59.01,59.01,0.0,0.0
2018-05-27,59.23,59.23,59.23,0.0,0.0,59.23,59.23,59.23,0.0,0.0,58.62,58.62,58.62,0.0,0.0,58.82,58.82,58.82,0.0,0.0
2018-06-03,59.5,59.5,59.5,0.0,0.0,59.84,59.84,59.84,0.0,0.0,59.5,59.5,59.5,0.0,0.0,59.66,59.66,59.66,0.0,0.0
2018-06-10,58.16,58.16,58.16,0.0,0.0,58.37,58.37,58.37,0.0,0.0,58.16,58.16,58.16,0.0,0.0,58.35,58.35,58.35,0.0,0.0
2018-06-17,56.87,56.87,56.87,0.0,0.0,56.87,56.87,56.87,0.0,0.0,56.41,56.41,56.41,0.0,0.0,56.48,56.48,56.48,0.0,0.0
2018-06-24,55.43,55.43,55.43,0.0,0.0,55.85,55.85,55.85,0.0,0.0,55.39,55.39,55.39,0.0,0.0,55.68,55.68,55.68,0.0,0.0
2018-07-01,57.03,57.03,57.03,0.0,0.0,57.21,57.21,57.21,0.0,0.0,56.9,56.9,56.9,0.0,0.0,57.08,57.08,57.08,0.0,0.0
2018-07-08,57.05,57.05,57.05,0.0,0.0,57.13,57.13,57.13,0.0,0.0,56.88,56.88,56.88,0.0,0.0,56.96,56.96,56.96,0.0,0.0
2018-07-15,56.7,56.7,56.7,0.0,0.0,56.7,56.7,56.7,0.0,0.0,56.5,56.5,56.5,0.0,0.0,56.57,56.57,56.57,0.0,0.0
2018-07-22,57.29,57.29,57.29,0.0,0.0,57.35,57.35,57.35,0.0,0.0,57.17,57.17,57.17,0.0,0.0,57.17,57.17,57.17,0.0,0.0
2018-07-29,56.1,56.1,56.1,0.0,0.0,56.26,56.26,56.26,0.0,0.0,56.09,56.09,56.09,0.0,0.0,56.14,56.14,56.14,0.0,0.0
2018-08-05,55.23,55.23,55.23,0.0,0.0,55.33,55.33,55.33,0.0,0.0,55.0,55.0,55.0,0.0,0.0,55.06,55.06,55.06,0.0,0.0
2018-08-12,54.93,54.93,54.93,0.0,0.0,55.2,55.2,55.2,0.0,0.0,54.93,54.93,54.93,0.0,0.0,55.19,55.19,55.19,0.0,0.0
2018-08-19,56.34,56.34,56.34,0.0,0.0,56.9,56.9,56.9,0.0,0.0,56.34,56.34,56.34,0.0,0.0,56.89,56.89,56.89,0.0,0.0
2018-08-26,56.66,56.66,56.66,0.0,0.0,56.66,56.66,56.66,0.0,0.0,56.18,56.18,56.18,0.0,0.0,56.42,56.42,56.42,0.0,0.0
2018-09-02,55.45,55.45,55.45,0.0,0.0,55.84,55.84,55.84,0.0,0.0,55.42,55.42,55.42,0.0,0.0,55.43,55.43,55.43,0.0,0.0
2018-09-09,56.5,56.5,56.5,0.0,0.0,56.57,56.57,56.57,0.0,0.0,56.33,56.33,56.33,0.0,0.0,56.41,56.41,56.41,0.0,0.0
2018-09-16,56.82,56.82,56.82,0.0,0.0,56.82,56.82,56.82,0.0,0.0,56.47,56.47,56.47,0.0,0.0,56.47,56.47,56.47,0.0,0.0
2018-09-23,55.95,55.95,55.95,0.0,0.0,55.98,55.98,55.98,0.0,0.0,55.55,55.55,55.55,0.0,0.0,55.55,55.55,55.55,0.0,0.0
2018-09-30,52.88,52.88,52.88,0.0,0.0,53.22,53.22,53.22,0.0,0.0,52.71,52.71,52.71,0.0,0.0,53.22,53.22,53.22,0.0,0.0
2018-10-07,50.93,50.93,50.93,0.0,0.0,51.06,51.06,51.06,0.0,0.0,50.67,50.67,50.67,0.0,0.0,50.97,50.97,50.97,0.0,0.0
2018-10-14,50.72,50.72,50.72,0.0,0.0,50.76,50.76,50.76,0.0,0.0,50.47,50.47,50.47,0.0,0.0,50.5,50.5,50.5,0.0,0.0
2018-10-21,49.52,49.52,49.52,0.0,0.0,49.52,49.52,49.52,0.0,0.0,48.64,48.64,48.64,0.0,0.0,48.89,48.89,48.89,0.0,0.0
2018-10-28,50.96,50.96,50.96,0.0,0.0,50.96,50.96,50.96,0.0,0.0,50.76,50.76,50.76,0.0,0.0,50.84,50.84,50.84,0.0,0.0
2018-11-04,49.88,49.88,49.88,0.0,0.0,49.88,49.88,49.88,0.0,0.0,49.21,49.21,49.21,0.0,0.0,49.21,49.21,49.21,0.0,0.0
2018-11-11,49.03,49.03,49.03,0.0,0.0,49.12,49.12,49.12,0.0,0.0,48.32,48.32,48.32,0.0,0.0,48.36,48.36,48.36,0.0,0.0
2018-11-18,48.26,48.26,48.26,0.0,0.0,48.6,48.6,48.6,0.0,0.0,48.26,48.26,48.26,0.0,0.0,48.59,48.59,48.59,0.0,0.0
2018-11-25,48.77,48.77,48.77,0.0,0.0,49.06,49.06,49.06,0.0,0.0,48.7,48.7,48.7,0.0,0.0,49.06,49.06,49.06,0.0,0.0
2018-12-02,46.01,46.01,46.01,0.0,0.0,46.1,46.1,46.1,0.0,0.0,45.38,45.38,45.38,0.0,0.0,45.9,45.9,45.9,0.0,0.0
2018-12-09,45.49,45.49,45.49,0.0,0.0,45.49,45.49,45.49,0.0,0.0,45.05,45.05,45.05,0.0,0.0,45.19,45.19,45.19,0.0,0.0
2018-12-16,43.72,43.72,43.72,0.0,0.0,43.82,43.82,43.82,0.0,0.0,43.21,43.21,43.21,0.0,0.0,43.21,43.21,43.21,0.0,0.0
2018-12-23,44.86,44.86,44.86,0.0,0.0,45.15,45.15,45.15,0.0,0.0,44.86,44.86,44.86,0.0,0.0,44.93,44.93,44.93,0.0,0.0
2018-12-30,46.49,46.49,46.49,0.0,0.0,46.8,46.8,46.8,0.0,0.0,46.43,46.43,46.43,0.0,0.0,46.76,46.76,46.76,0.0,0.0
2019-01-06,47.34,47.34,47.34,0.0,0.0,47.66,47.66,47.66,0.0,0.0,47.32,47.32,47.32,0.0,0.0,47.54,47.54,47.54,0.0,0.0
2019-01-13,48.43,48.43,48.43,0.0,0.0,48.43,48.43,48.43,0.0,0.0,48.31,48.31,48.31,0.0,0.0,48.33,48.33,48.33,0.0,0.0
2019-01-20,48.68,48.68,48.68,0.0,0.0,48.79,48.79,48.79,0.0,0.0,48.66,48.66,48.66,0.0,0.0,48.71,48.71,48.71,0.0,0.0
2019-01-27,49.11,49.11,49.11,0.0,0.0,49.19,49.19,49.19,0.0,0.0,48.97,48.97,48.97,0.0,0.0,49.18,49.18,49.18,0.0,0.0
2019-02-03,48.17,48.17,48.17,0.0,0.0,48.22,48.22,48.22,0.0,0.0,48.03,48.03,48.03,0.0,0.0,48.03,48.03,48.03,0.0,0.0
2019-02-10,48.94,48.94,48.94,0.0,0.0,49.12,49.12,49.12,0.0,0.0,48.86,48.86,48.86,0.0,0.0,49.09,49.09,49.09,0.0,0.0
2019-02-17,50.05,50.05,50.05,0.0,0.0,50.07,50.07,50.07,0.0,0.0,49.98,49.98,49.98,0.0,0.0,50.0,50.0,50.0,0.0,0.0
2019-02-24,51.01,51.01,51.01,0.0,0.0,51.01,51.01,51.01,0.0,0.0,50.69,50.69,50.69,0.0,0.0,50.83,50.83,50.83,0.0,0.0
2019-03-03,49.53,49.53,49.53,0.0,0.0,50.11,50.11,50.11,0.0,0.0,49.53,49.53,49.53,0.0,0.0,50.01,50.01,50.01,0.0,0.0
2019-03-10,51.38,51.38,51.38,0.0,0.0,51.54,51.54,51.54,0.0,0.0,51.33,51.33,51.33,0.0,0.0,51.5,51.5,51.5,0.0,0.0
2019-03-17,50.16,50.16,50.16,0.0,0.0,50.24,50.24,50.24,0.0,0.0,50.01,50.01,50.01,0.0,0.0,50.12,50.12,50.12,0.0,0.0
2019-03-24,50.99,50.99,50.99,0.0,0.0,51.26,51.26,51.26,0.0,0.0,50.99,50.99,50.99,0.0,0.0,51.23,51.23,51.23,0.0,0.0
2019-03-31,52.03,52.03,52.03,0.0,0.0,52.07,52.07,52.07,0.0,0.0,51.95,51.95,51.95,0.0,0.0,52.03,52.03,52.03,0.0,0.0
2019-04-07,52.75,52.75,52.75,0.0,0.0,52.86,52.86,52.86,0.0,0.0,52.63,52.63,52.63,0.0,0.0,52.78,52.78,52.78,0.0,0.0
2019-04-14,52.96,52.96,52.96,0.0,0.0,53.02,53.02,53.02,0.0,0.0,52.93,52.93,52.93,0.0,0.0,52.95,52.95,52.95,0.0,0.0
2019-04-21,52.52,52.52,52.52,0.0,0.0,52.82,52.82,52.82,0.0,0.0,52.52,52.52,52.52,0.0,0.0,52.75,52.75,52.75,0.0,0.0
2019-04-28,51.8,51.8,51.8,0.0,0.0,52.32,52.32,52.32,0.0,0.0,51.8,51.8,51.8,0.0,0.0,52.29,52.29,52.29,0.0,0.0
2019-05-05,50.69,50.69,50.69,0.0,0.0,50.69,50.69,50.69,0.0,0.0,50.29,50.29,50.29,0.0,0.0,50.44,50.44,50.44,0.0,0.0
2019-05-12,50.43,50.43,50.43,0.0,0.0,50.52,50.52,50.52,0.0,0.0,50.36,50.36,50.36,0.0,0.0,50.36,50.36,50.36,0.0,0.0
2019-05-19,50.41,50.41,50.41,0.0,0.0,50.64,50.64,50.64,0.0,0.0,50.26,50.26,50.26,0.0,0.0,50.58,50.58,50.58,0.0,0.0
2019-05-26,49.21,49.21,49.21,0.0,0.0,49.44,49.44,49.44,0.0,0.0,49.15,49.15,49.15,0.0,0.0,49.41,49.41,49.41,0.0,0.0
2019-06-02,50.87,50.87,50.87,0.0,0.0,50.99,50.99,50.99,0.0,0.0,50.78,50.78,50.78,0.0,0.0,50.89,50.89,50.89,0.0,0.0
2019-06-09,48.7,48.7,48.7,0.0,0.0,48.73,48.73,48.73,0.0,0.0,48.53,48.53,48.53,0.0,0.0,48.6,48.6,48.6,0.0,0.0
2019-06-16,49.79,49.79,49.79,0.0,0.0,49.87,49.87,49.87,0.0,0.0,49.71,49.71,49.71,0.0,0.0,49.71,49.71,49.71,0.0,0.0
2019-06-23,50.39,50.39,50.39,0.0,0.0,50.39,50.39,50.39,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.32,50.32,50.32,0.0,0.0
2019-06-30,49.96,49.96,49.96,0.0,0.0,50.07,50.07,50.07,0.0,0.0,49.88,49.88,49.88,0.0,0.0,49.88,49.88,49.88,0.0,0.0
2019-07-07,50.15,50.15,50.15,0.0,0.0,50.25,50.25,50.25,0.0,0.0,50.1,50.1,50.1,0.0,0.0,50.11,50.11,50.11,0.0,0.0
2019-07-14,49.7,49.7,49.7,0.0,0.0,49.8,49.8,49.8,0.0,0.0,49.63,49.63,49.63,0.0,0.0,49.73,49.73,49.73,0.0,0.0
2019-07-21,49.81,49.81,49.81,0.0,0.0,49.81,49.81,49.81,0.0,0.0,49.54,49.54,49.54,0.0,0.0,49.68,49.68,49.68,0.0,0.0
2019-07-28,47.57,47.57,47.57,0.0,0.0,47.58,47.58,47.58,0.0,0.0,47.01,47.01,47.01,0.0,0.0,47.14,47.14,47.14,0.0,0.0
2019-08-04,47.28,47.28,47.28,0.0,0.0,47.3,47.3,47.3,0.0,0.0,47.06,47.06,47.06,0.0,0.0,47.06,47.06,47.06,0.0,0.0
2019-08-11,47.08,47.08,47.08,0.0,0.0,47.11,47.11,47.11,0.0,0.0,47.01,47.01,47.01,0.0,0.0,47.01,47.01,47.01,0.0,0.0
2019-08-18,47.22,47.22,47.22,0.0,0.0,47.39,47.39,47.39,0.0,0.0,47.21,47.21,47.21,0.0,0.0,47.21,47.21,47.21,0.0,0.0
2019-08-25,47.8,47.8,47.8,0.0,0.0,47.8,47.8,47.8,0.0,0.0,47.59,47.59,47.59,0.0,0.0,47.73,47.73,47.73,0.0,0.0
2019-09-01,48.77,48.77,48.77,0.0,0.0,48.77,48.77,48.77,0.0,0.0,48.64,48.64,48.64,0.0,0.0,48.73,48.73,48.73,0.0,0.0
2019-09-08,49.43,49.43,49.43,0.0,0.0,49.48,49.48,49.48,0.0,0.0,49.36,49.36,49.36,0.0,0.0,49.4,49.4,49.4,0.0,0.0
2019-09-15,48.99,48.99,48.99,0.0,0.0,49.19,49.19,49.19,0.0,0.0,48.95,48.95,48.95,0.0,0.0,49.18,49.18,49.18,0.0,0.0
2019-09-22,48.66,48.66,48.66,0.0,0.0,48.85,48.85,48.85,0.0,0.0,48.63,48.63,48.63,0.0,0.0,48.74,48.74,48.74,0.0,0.0
2019-09-29,48.04,48.04,48.04,0.0,0.0,48.14,48.14,48.14,0.0,0.0,48.01,48.01,48.01,0.0,0.0,48.14,48.14,48.14,0.0,0.0
2019-10-06,49.37,49.37,49.37,0.0,0.0,49.65,49.65,49.65,0.0,0.0,49.37,49.37,49.37,0.0,0.0,49.64,49.64,49.64,0.0,0.0
2019-10-13,51.3,51.3,51.3,0.0,0.0,51.41,51.41,51.41,0.0,0.0,51.12,51.12,51.12,0.0,0.0,51.22,51.22,51.22,0.0,0.0
2019-10-20,51.26,51.26,51.26,0.0,0.0,51.39,51.39,51.39,0.0,0.0,51.26,51.26,51.26,0.0,0.0,51.37,51.37,51.37,0.0,0.0
2019-10-27,52.14,52.14,52.14,0.0,0.0,52.14,52.14,52.14,0.0,0.0,51.91,51.91,51.91,0.0,0.0,51.98,51.98,51.98,0.0,0.0
2019-11-03,52.19,52.19,52.19,0.0,0.0,52.22,52.22,52.22,0.0,0.0,52.11,52.11,52.11,0.0,0.0,52.21,52.21,52.21,0.0,0.0
2019-11-10,52.54,52.54,52.54,0.0,0.0,52.73,52.73,52.73,0.0,0.0,52.43,52.43,52.43,0.0,0.0,52.6,52.6,52.6,0.0,0.0
2019-11-17,52.68,52.68,52.68,0.0,0.0,52.75,52.75,52.75,0.0,0.0,52.58,52.58,52.58,0.0,0.0,52.71,52.71,52.71,0.0,0.0
2019-11-24,53.07,53.07,53.07,0.0,0.0,53.07,53.07,53.07,0.0,0.0,52.66,52.66,52.66,0.0,0.0,52.77,52.77,52.77,0.0,0.0
2019-12-01,53.71,53.71,53.71,0.0,0.0,53.77,53.77,53.77,0.0,0.0,53.51,53.51,53.51,0.0,0.0,53.72,53.72,53.72,0.0,0.0
2019-12-08,55.22,55.22,55.22,0.0,0.0,55.46,55.46,55.46,0.0,0.0,55.22,55.22,55.22,0.0,0.0,55.35,55.35,55.35,0.0,0.0
2019-12-15,54.91,54.91,54.91,0.0,0.0,55.04,55.04,55.04,0.0,0.0,54.84,54.84,54.84,0.0,0.0,54.97,54.97,54.97,0.0,0.0
2019-12-22,55.67,55.67,55.67,0.0,0.0,55.67,55.67,55.67,0.0,0.0,55.39,55.39,55.39,0.0,0.0,55.39,55.39,55.39,0.0,0.0
2019-12-29,55.51,55.51,55.51,0.0,0.0,55.83,55.83,55.83,0.0,0.0,55.51,55.51,55.51,0.0,0.0,55.56,55.56,55.56,0.0,0.0
