Date,PowerShares KBW Property & Casualty Insurance Port_Open_average,PowerShares KBW Property & Casualty Insurance Port_Open_max,PowerShares KBW Property & Casualty Insurance Port_Open_min,PowerShares KBW Property & Casualty Insurance Port_Open_volatility,PowerShares KBW Property & Casualty Insurance Port_Open_change,PowerShares KBW Property & Casualty Insurance Port_High_average,PowerShares KBW Property & Casualty Insurance Port_High_max,PowerShares KBW Property & Casualty Insurance Port_High_min,PowerShares KBW Property & Casualty Insurance Port_High_volatility,PowerShares KBW Property & Casualty Insurance Port_High_change,PowerShares KBW Property & Casualty Insurance Port_Low_average,PowerShares KBW Property & Casualty Insurance Port_Low_max,PowerShares KBW Property & Casualty Insurance Port_Low_min,PowerShares KBW Property & Casualty Insurance Port_Low_volatility,PowerShares KBW Property & Casualty Insurance Port_Low_change,PowerShares KBW Property & Casualty Insurance Port_Close_average,PowerShares KBW Property & Casualty Insurance Port_Close_max,PowerShares KBW Property & Casualty Insurance Port_Close_min,PowerShares KBW Property & Casualty Insurance Port_Close_volatility,PowerShares KBW Property & Casualty Insurance Port_Close_change
2018-05-06,61.14,61.14,61.14,0.0,0.0,61.14,61.14,61.14,0.0,0.0,60.83,60.83,60.83,0.0,0.0,60.83,60.83,60.83,0.0,0.0
2018-05-13,61.24,61.24,61.24,0.0,0.0,61.87,61.87,61.87,0.0,0.0,61.24,61.24,61.24,0.0,0.0,61.79,61.79,61.79,0.0,0.0
2018-05-20,61.04,61.04,61.04,0.0,0.0,61.56,61.56,61.56,0.0,0.0,61.04,61.04,61.04,0.0,0.0,61.56,61.56,61.56,0.0,0.0
2018-05-27,61.39,61.39,61.39,0.0,0.0,61.44,61.44,61.44,0.0,0.0,61.38,61.38,61.38,0.0,0.0,61.44,61.44,61.44,0.0,0.0
2018-06-03,62.68,62.68,62.68,0.0,0.0,62.68,62.68,62.68,0.0,0.0,62.21,62.21,62.21,0.0,0.0,62.4,62.4,62.4,0.0,0.0
2018-06-10,60.82,60.82,60.82,0.0,0.0,60.82,60.82,60.82,0.0,0.0,60.41,60.41,60.41,0.0,0.0,60.64,60.64,60.64,0.0,0.0
2018-06-17,60.21,60.21,60.21,0.0,0.0,60.21,60.21,60.21,0.0,0.0,59.69,59.69,59.69,0.0,0.0,60.0,60.0,60.0,0.0,0.0
2018-06-24,59.25,59.25,59.25,0.0,0.0,59.39,59.39,59.39,0.0,0.0,59.13,59.13,59.13,0.0,0.0,59.3,59.3,59.3,0.0,0.0
2018-07-01,60.15,60.15,60.15,0.0,0.0,60.95,60.95,60.95,0.0,0.0,60.15,60.15,60.15,0.0,0.0,60.95,60.95,60.95,0.0,0.0
2018-07-08,60.56,60.56,60.56,0.0,0.0,61.1,61.1,61.1,0.0,0.0,60.56,60.56,60.56,0.0,0.0,61.03,61.03,61.03,0.0,0.0
2018-07-15,60.99,60.99,60.99,0.0,0.0,61.19,61.19,61.19,0.0,0.0,60.71,60.71,60.71,0.0,0.0,61.19,61.19,61.19,0.0,0.0
2018-07-22,62.61,62.61,62.61,0.0,0.0,62.94,62.94,62.94,0.0,0.0,62.61,62.61,62.61,0.0,0.0,62.85,62.85,62.85,0.0,0.0
2018-07-29,62.77,62.77,62.77,0.0,0.0,62.9,62.9,62.9,0.0,0.0,62.65,62.65,62.65,0.0,0.0,62.68,62.68,62.68,0.0,0.0
2018-08-05,62.15,62.15,62.15,0.0,0.0,62.43,62.43,62.43,0.0,0.0,61.99,61.99,61.99,0.0,0.0,62.19,62.19,62.19,0.0,0.0
2018-08-12,63.6,63.6,63.6,0.0,0.0,63.69,63.69,63.69,0.0,0.0,63.44,63.44,63.44,0.0,0.0,63.69,63.69,63.69,0.0,0.0
2018-08-19,63.3,63.3,63.3,0.0,0.0,64.26,64.26,64.26,0.0,0.0,63.3,63.3,63.3,0.0,0.0,64.18,64.18,64.18,0.0,0.0
2018-08-26,63.51,63.51,63.51,0.0,0.0,63.77,63.77,63.77,0.0,0.0,63.37,63.37,63.37,0.0,0.0,63.77,63.77,63.77,0.0,0.0
2018-09-02,63.41,63.41,63.41,0.0,0.0,63.41,63.41,63.41,0.0,0.0,63.03,63.03,63.03,0.0,0.0,63.09,63.09,63.09,0.0,0.0
2018-09-09,65.5,65.5,65.5,0.0,0.0,65.5,65.5,65.5,0.0,0.0,63.79,63.79,63.79,0.0,0.0,63.82,63.82,63.82,0.0,0.0
2018-09-16,64.74,64.74,64.74,0.0,0.0,64.74,64.74,64.74,0.0,0.0,63.78,63.78,63.78,0.0,0.0,63.87,63.87,63.87,0.0,0.0
2018-09-23,64.48,64.48,64.48,0.0,0.0,64.48,64.48,64.48,0.0,0.0,62.95,62.95,62.95,0.0,0.0,62.95,62.95,62.95,0.0,0.0
2018-09-30,63.6,63.6,63.6,0.0,0.0,64.1,64.1,64.1,0.0,0.0,63.59,63.59,63.59,0.0,0.0,63.83,63.83,63.83,0.0,0.0
2018-10-07,59.52,59.52,59.52,0.0,0.0,60.04,60.04,60.04,0.0,0.0,59.52,59.52,59.52,0.0,0.0,59.67,59.67,59.67,0.0,0.0
2018-10-14,61.04,61.04,61.04,0.0,0.0,61.1,61.1,61.1,0.0,0.0,59.99,59.99,59.99,0.0,0.0,60.73,60.73,60.73,0.0,0.0
2018-10-21,59.14,59.14,59.14,0.0,0.0,59.75,59.75,59.75,0.0,0.0,59.08,59.08,59.08,0.0,0.0,59.08,59.08,59.08,0.0,0.0
2018-10-28,60.12,60.12,60.12,0.0,0.0,60.5,60.5,60.5,0.0,0.0,60.12,60.12,60.12,0.0,0.0,60.4,60.4,60.4,0.0,0.0
2018-11-04,61.4,61.4,61.4,0.0,0.0,61.42,61.42,61.42,0.0,0.0,60.81,60.81,60.81,0.0,0.0,60.81,60.81,60.81,0.0,0.0
2018-11-11,59.92,59.92,59.92,0.0,0.0,60.13,60.13,60.13,0.0,0.0,59.92,59.92,59.92,0.0,0.0,60.13,60.13,60.13,0.0,0.0
2018-11-18,60.18,60.18,60.18,0.0,0.0,60.36,60.36,60.36,0.0,0.0,59.92,59.92,59.92,0.0,0.0,60.13,60.13,60.13,0.0,0.0
2018-11-25,61.68,61.68,61.68,0.0,0.0,61.68,61.68,61.68,0.0,0.0,60.37,60.37,60.37,0.0,0.0,61.0,61.0,61.0,0.0,0.0
2018-12-02,59.64,59.64,59.64,0.0,0.0,59.64,59.64,59.64,0.0,0.0,57.96,57.96,57.96,0.0,0.0,58.24,58.24,58.24,0.0,0.0
2018-12-09,56.89,56.89,56.89,0.0,0.0,57.46,57.46,57.46,0.0,0.0,56.67,56.67,56.67,0.0,0.0,57.06,57.06,57.06,0.0,0.0
2018-12-16,54.55,54.55,54.55,0.0,0.0,54.75,54.75,54.75,0.0,0.0,53.39,53.39,53.39,0.0,0.0,53.39,53.39,53.39,0.0,0.0
2018-12-23,57.04,57.04,57.04,0.0,0.0,57.04,57.04,57.04,0.0,0.0,56.21,56.21,56.21,0.0,0.0,56.62,56.62,56.62,0.0,0.0
2018-12-30,56.95,56.95,56.95,0.0,0.0,57.09,57.09,57.09,0.0,0.0,56.53,56.53,56.53,0.0,0.0,56.58,56.58,56.58,0.0,0.0
2019-01-06,57.0,57.0,57.0,0.0,0.0,57.65,57.65,57.65,0.0,0.0,57.0,57.0,57.0,0.0,0.0,57.61,57.61,57.61,0.0,0.0
2019-01-13,59.1,59.1,59.1,0.0,0.0,59.59,59.59,59.59,0.0,0.0,59.1,59.1,59.1,0.0,0.0,59.5,59.5,59.5,0.0,0.0
2019-01-20,58.67,58.67,58.67,0.0,0.0,58.91,58.91,58.91,0.0,0.0,58.67,58.67,58.67,0.0,0.0,58.91,58.91,58.91,0.0,0.0
2019-01-27,60.4,60.4,60.4,0.0,0.0,60.5,60.5,60.5,0.0,0.0,60.28,60.28,60.28,0.0,0.0,60.5,60.5,60.5,0.0,0.0
2019-02-03,61.55,61.55,61.55,0.0,0.0,61.55,61.55,61.55,0.0,0.0,60.9,60.9,60.9,0.0,0.0,60.93,60.93,60.93,0.0,0.0
2019-02-10,61.09,61.09,61.09,0.0,0.0,62.32,62.32,62.32,0.0,0.0,61.09,61.09,61.09,0.0,0.0,62.31,62.31,62.31,0.0,0.0
2019-02-17,63.33,63.33,63.33,0.0,0.0,63.52,63.52,63.52,0.0,0.0,63.22,63.22,63.22,0.0,0.0,63.22,63.22,63.22,0.0,0.0
2019-02-24,63.89,63.89,63.89,0.0,0.0,63.89,63.89,63.89,0.0,0.0,62.92,62.92,62.92,0.0,0.0,62.97,62.97,62.97,0.0,0.0
2019-03-03,62.64,62.64,62.64,0.0,0.0,62.64,62.64,62.64,0.0,0.0,62.13,62.13,62.13,0.0,0.0,62.22,62.22,62.22,0.0,0.0
2019-03-10,62.68,62.68,62.68,0.0,0.0,62.84,62.84,62.84,0.0,0.0,62.59,62.59,62.59,0.0,0.0,62.59,62.59,62.59,0.0,0.0
2019-03-17,61.29,61.29,61.29,0.0,0.0,61.71,61.71,61.71,0.0,0.0,61.29,61.29,61.29,0.0,0.0,61.47,61.47,61.47,0.0,0.0
2019-03-24,62.66,62.66,62.66,0.0,0.0,62.66,62.66,62.66,0.0,0.0,62.19,62.19,62.19,0.0,0.0,62.5,62.5,62.5,0.0,0.0
2019-03-31,62.54,62.54,62.54,0.0,0.0,62.63,62.63,62.63,0.0,0.0,62.16,62.16,62.16,0.0,0.0,62.33,62.33,62.33,0.0,0.0
2019-04-07,63.61,63.61,63.61,0.0,0.0,63.66,63.66,63.66,0.0,0.0,63.45,63.45,63.45,0.0,0.0,63.46,63.46,63.46,0.0,0.0
2019-04-14,63.81,63.81,63.81,0.0,0.0,63.81,63.81,63.81,0.0,0.0,63.57,63.57,63.57,0.0,0.0,63.69,63.69,63.69,0.0,0.0
2019-04-21,65.18,65.18,65.18,0.0,0.0,65.86,65.86,65.86,0.0,0.0,65.18,65.18,65.18,0.0,0.0,65.8,65.8,65.8,0.0,0.0
2019-04-28,66.19,66.19,66.19,0.0,0.0,66.35,66.35,66.35,0.0,0.0,66.18,66.18,66.18,0.0,0.0,66.35,66.35,66.35,0.0,0.0
2019-05-05,66.5,66.5,66.5,0.0,0.0,66.5,66.5,66.5,0.0,0.0,65.87,65.87,65.87,0.0,0.0,66.24,66.24,66.24,0.0,0.0
2019-05-12,67.74,67.74,67.74,0.0,0.0,67.97,67.97,67.97,0.0,0.0,67.56,67.56,67.56,0.0,0.0,67.57,67.57,67.57,0.0,0.0
2019-05-19,68.46,68.46,68.46,0.0,0.0,68.68,68.68,68.68,0.0,0.0,68.22,68.22,68.22,0.0,0.0,68.68,68.68,68.68,0.0,0.0
2019-05-26,68.08,68.08,68.08,0.0,0.0,68.77,68.77,68.77,0.0,0.0,67.7,67.7,67.7,0.0,0.0,68.77,68.77,68.77,0.0,0.0
2019-06-02,70.58,70.58,70.58,0.0,0.0,70.58,70.58,70.58,0.0,0.0,69.87,69.87,69.87,0.0,0.0,69.96,69.96,69.96,0.0,0.0
2019-06-09,71.33,71.33,71.33,0.0,0.0,71.33,71.33,71.33,0.0,0.0,70.35,70.35,70.35,0.0,0.0,70.35,70.35,70.35,0.0,0.0
2019-06-16,70.93,70.93,70.93,0.0,0.0,70.93,70.93,70.93,0.0,0.0,70.36,70.36,70.36,0.0,0.0,70.36,70.36,70.36,0.0,0.0
2019-06-23,70.76,70.76,70.76,0.0,0.0,70.76,70.76,70.76,0.0,0.0,70.0,70.0,70.0,0.0,0.0,70.71,70.71,70.71,0.0,0.0
2019-06-30,72.02,72.02,72.02,0.0,0.0,72.06,72.06,72.06,0.0,0.0,71.74,71.74,71.74,0.0,0.0,71.91,71.91,71.91,0.0,0.0
2019-07-07,72.57,72.57,72.57,0.0,0.0,72.57,72.57,72.57,0.0,0.0,72.13,72.13,72.13,0.0,0.0,72.31,72.31,72.31,0.0,0.0
2019-07-14,70.74,70.74,70.74,0.0,0.0,71.0,71.0,71.0,0.0,0.0,70.74,70.74,70.74,0.0,0.0,70.75,70.75,70.75,0.0,0.0
2019-07-21,72.01,72.01,72.01,0.0,0.0,72.15,72.15,72.15,0.0,0.0,71.31,71.31,71.31,0.0,0.0,71.35,71.35,71.35,0.0,0.0
2019-07-28,70.01,70.01,70.01,0.0,0.0,70.78,70.78,70.78,0.0,0.0,68.94,68.94,68.94,0.0,0.0,69.24,69.24,69.24,0.0,0.0
2019-08-04,72.05,72.05,72.05,0.0,0.0,72.63,72.63,72.63,0.0,0.0,71.52,71.52,71.52,0.0,0.0,71.76,71.76,71.76,0.0,0.0
2019-08-11,72.83,72.83,72.83,0.0,0.0,72.83,72.83,72.83,0.0,0.0,72.1,72.1,72.1,0.0,0.0,72.27,72.27,72.27,0.0,0.0
2019-08-18,70.32,70.32,70.32,0.0,0.0,70.71,70.71,70.71,0.0,0.0,70.26,70.26,70.26,0.0,0.0,70.71,70.71,70.71,0.0,0.0
2019-08-25,70.8,70.8,70.8,0.0,0.0,71.0,71.0,71.0,0.0,0.0,70.43,70.43,70.43,0.0,0.0,70.64,70.64,70.64,0.0,0.0
2019-09-01,73.43,73.43,73.43,0.0,0.0,73.43,73.43,73.43,0.0,0.0,72.61,72.61,72.61,0.0,0.0,72.88,72.88,72.88,0.0,0.0
2019-09-08,72.71,72.71,72.71,0.0,0.0,72.71,72.71,72.71,0.0,0.0,72.2,72.2,72.2,0.0,0.0,72.55,72.55,72.55,0.0,0.0
2019-09-15,72.81,72.81,72.81,0.0,0.0,73.53,73.53,73.53,0.0,0.0,72.81,72.81,72.81,0.0,0.0,73.49,73.49,73.49,0.0,0.0
2019-09-22,74.19,74.19,74.19,0.0,0.0,74.19,74.19,74.19,0.0,0.0,73.76,73.76,73.76,0.0,0.0,73.94,73.94,73.94,0.0,0.0
2019-09-29,73.3,73.3,73.3,0.0,0.0,73.3,73.3,73.3,0.0,0.0,72.43,72.43,72.43,0.0,0.0,72.45,72.45,72.45,0.0,0.0
2019-10-06,71.35,71.35,71.35,0.0,0.0,71.81,71.81,71.81,0.0,0.0,71.35,71.35,71.35,0.0,0.0,71.77,71.77,71.77,0.0,0.0
2019-10-13,72.25,72.25,72.25,0.0,0.0,72.25,72.25,72.25,0.0,0.0,71.92,71.92,71.92,0.0,0.0,72.15,72.15,72.15,0.0,0.0
2019-10-20,69.68,69.68,69.68,0.0,0.0,69.81,69.81,69.81,0.0,0.0,69.0,69.0,69.0,0.0,0.0,69.0,69.0,69.0,0.0,0.0
2019-10-27,69.79,69.79,69.79,0.0,0.0,70.13,70.13,70.13,0.0,0.0,69.23,69.23,69.23,0.0,0.0,69.26,69.26,69.26,0.0,0.0
2019-11-03,70.9,70.9,70.9,0.0,0.0,71.02,71.02,71.02,0.0,0.0,70.7,70.7,70.7,0.0,0.0,70.87,70.87,70.87,0.0,0.0
2019-11-10,70.94,70.94,70.94,0.0,0.0,70.94,70.94,70.94,0.0,0.0,70.61,70.61,70.61,0.0,0.0,70.82,70.82,70.82,0.0,0.0
2019-11-17,70.02,70.02,70.02,0.0,0.0,70.72,70.72,70.72,0.0,0.0,70.02,70.02,70.02,0.0,0.0,70.58,70.58,70.58,0.0,0.0
2019-11-24,70.93,70.93,70.93,0.0,0.0,71.0,71.0,71.0,0.0,0.0,70.43,70.43,70.43,0.0,0.0,70.43,70.43,70.43,0.0,0.0
2019-12-01,71.17,71.17,71.17,0.0,0.0,71.18,71.18,71.18,0.0,0.0,70.92,70.92,70.92,0.0,0.0,71.15,71.15,71.15,0.0,0.0
2019-12-08,71.61,71.61,71.61,0.0,0.0,71.68,71.68,71.68,0.0,0.0,71.29,71.29,71.29,0.0,0.0,71.46,71.46,71.46,0.0,0.0
2019-12-15,71.97,71.97,71.97,0.0,0.0,71.97,71.97,71.97,0.0,0.0,70.53,70.53,70.53,0.0,0.0,70.58,70.58,70.58,0.0,0.0
2019-12-22,70.7,70.7,70.7,0.0,0.0,70.99,70.99,70.99,0.0,0.0,70.7,70.7,70.7,0.0,0.0,70.97,70.97,70.97,0.0,0.0
2019-12-29,71.2,71.2,71.2,0.0,0.0,71.58,71.58,71.58,0.0,0.0,71.1,71.1,71.1,0.0,0.0,71.57,71.57,71.57,0.0,0.0
