Date,AAWW_Open_average,AAWW_Open_max,AAWW_Open_volatility,AAWW_Open_change,AAWW_High_average,AAWW_High_max,AAWW_High_volatility,AAWW_High_change,AAWW_Low_average,AAWW_Low_max,AAWW_Low_volatility,AAWW_Low_change,AAWW_Close_average,AAWW_Close_max,AAWW_Close_volatility,AAWW_Close_change,AAWW_Volume_average,AAWW_Volume_max,AAWW_Volume_volatility,AAWW_Volume_change
2016-06-12,43.904,44.64,1.6199999999999974,-0.6300000000000026,44.626,45.21,1.4500000000000028,0.09000000000000341,43.18,44.0,2.1199999999999974,0.5499999999999972,43.652,44.18,1.2800000000000011,-0.13000000000000256,283275,340647,105266,-26379
2016-06-19,42.13,44.22,4.449999999999996,-4.449999999999996,42.438,44.22,4.449999999999996,-4.449999999999996,40.846,42.75,4.869999999999997,-4.869999999999997,41.424,43.23,4.779999999999994,-4.779999999999994,284381,376636,204969,204969
2016-06-26,40.0825,41.64,2.4399999999999977,2.4399999999999977,40.84,42.07,2.530000000000001,2.530000000000001,39.545,40.85,2.4299999999999997,2.4299999999999997,40.425,41.42,2.6099999999999994,2.4499999999999957,247177,310386,144995,-81735
2016-07-03,40.418,41.4,1.9699999999999989,0.44999999999999574,40.986000000000004,41.77,1.6700000000000017,0.8200000000000003,39.69,40.59,1.4600000000000009,1.1100000000000065,40.378,41.49,1.7899999999999991,1.6499999999999986,213616,261958,120617,-72796
2016-07-10,42.928,43.31,1.2700000000000031,0.9100000000000037,43.304,43.5,0.490000000000002,0.490000000000002,42.418,42.95,1.4100000000000037,1.2100000000000009,42.998,43.26,0.5399999999999991,0.46999999999999886,122271,139143,42053,-31916
2016-07-17,42.476,43.28,1.5600000000000023,-1.3599999999999994,43.172000000000004,43.49,0.8999999999999986,-0.23000000000000398,41.56,42.98,2.8899999999999935,-1.7099999999999937,42.146,43.01,1.3999999999999986,-1.1999999999999957,148901,194802,69595,-22013
2016-07-24,42.321999999999996,43.36,1.6199999999999974,1.6199999999999974,42.946,43.61,1.1400000000000006,1.1400000000000006,41.768,42.41,1.1199999999999974,1.1199999999999974,42.672,43.56,1.8100000000000023,1.8100000000000023,163651,213468,105410,23541
2016-07-31,38.85,43.37,7.269999999999996,-7.269999999999996,39.642,43.95,7.140000000000001,-7.140000000000001,36.998,40.94,5.719999999999999,-5.089999999999996,37.384,41.1,5.359999999999999,-5.230000000000004,569376,764489,424409,-596
2016-08-07,35.346000000000004,36.02,1.2700000000000031,-1.2700000000000031,35.903999999999996,36.48,1.009999999999998,-0.6799999999999997,34.81,35.09,0.6500000000000057,-0.3400000000000034,35.092,35.46,0.7800000000000011,0.3400000000000034,313679,383222,146291,51816
2016-08-14,34.910000000000004,35.42,0.8500000000000014,-0.6600000000000037,35.238,35.94,1.0300000000000011,-1.0300000000000011,34.461999999999996,34.77,0.5500000000000043,-0.5400000000000063,34.78,35.06,0.44000000000000483,-0.35999999999999943,210284,240148,110971,-26374
2016-08-21,35.744,36.54,1.5799999999999983,1.5799999999999983,36.488,38.36,2.960000000000001,1.2000000000000028,35.234,35.58,0.769999999999996,0.5200000000000031,35.592,36.34,1.3000000000000043,0.7700000000000031,331477,679832,501074,93349
2016-08-28,37.052499999999995,38.29,2.5600000000000023,2.5600000000000023,37.9225,39.35,2.4100000000000037,2.4100000000000037,36.7975,38.29,2.6499999999999986,2.6499999999999986,37.735,38.86,2.049999999999997,2.049999999999997,361695,440536,169694,-51137
2016-09-04,39.124,40.18,2.0700000000000003,-0.9600000000000009,39.616,40.38,1.3800000000000026,-0.07000000000000028,38.514,39.32,1.4100000000000037,-0.47000000000000597,39.3,40.17,1.6099999999999994,0.05000000000000426,328249,381546,158303,-149540
2016-09-11,38.048,38.49,0.9500000000000028,-0.5600000000000023,38.544,38.77,0.6799999999999997,-0.14000000000000057,37.584,37.71,0.28999999999999915,-0.030000000000001137,38.024,38.63,1.0900000000000034,0.4799999999999969,212601,256346,98962,39546
2016-09-18,39.52,40.53,1.990000000000002,1.7800000000000011,40.178,41.12,2.3599999999999994,1.7700000000000031,39.234,40.23,2.1699999999999946,1.6999999999999957,39.816,40.75,2.4299999999999997,1.7800000000000011,246166,428430,258272,22378
2016-09-25,41.364,42.44,2.460000000000001,2.460000000000001,42.048,43.14,2.759999999999998,2.279999999999994,41.01,41.98,2.289999999999999,2.289999999999999,41.776,42.82,2.6199999999999974,2.009999999999998,309143,428024,249326,33671
2016-10-02,42.596000000000004,43.07,0.7299999999999969,-0.07000000000000028,43.192,43.5,0.6199999999999974,0.4099999999999966,42.024,42.42,0.9299999999999997,0.5,42.58,43.3,1.3299999999999983,0.9200000000000017,174397,214107,64475,206
2016-10-09,42.129999999999995,42.8,1.5,-1.5,42.488,43.3,1.8999999999999986,-1.8999999999999986,41.608000000000004,42.36,1.509999999999998,-1.2899999999999991,41.866,42.84,1.6900000000000048,-1.2899999999999991,120533,147175,71993,-61820
2016-10-16,42.33,43.05,1.5,1.5,42.74,43.05,1.0,1.0,41.95,42.55,1.3499999999999943,1.3499999999999943,42.550000000000004,42.95,0.9500000000000028,0.9500000000000028,93251,129401,61731,-26709
2016-10-23,42.3,42.85,1.0500000000000043,-0.6000000000000014,42.776,43.73,1.4799999999999969,-1.4799999999999969,41.738,42.02,0.47000000000000597,-0.47000000000000597,42.11,42.35,0.5,-0.29999999999999716,142614,203834,119386,64302
2016-10-30,42.370000000000005,44.25,3.049999999999997,2.299999999999997,43.23,45.15,3.0,2.75,41.58,43.7,3.450000000000003,2.9000000000000057,42.74,44.9,3.6999999999999957,3.1000000000000014,272211,349828,170105,79624
2016-11-06,45.66,48.35,4.149999999999999,3.700000000000003,47.04,50.5,5.600000000000001,5.299999999999997,43.827999999999996,46.05,4.539999999999999,4.170000000000002,46.7,50.5,6.049999999999997,5.75,311321,474095,295659,227162
2016-11-13,50.25,50.65,0.75,-0.25,50.800000000000004,51.35,1.3999999999999986,0.14999999999999858,49.426,50.25,1.5200000000000031,1.1999999999999957,50.28,50.85,1.5500000000000043,0.29999999999999716,240208,347944,193113,-50153
2016-11-20,50.95,51.2,0.4000000000000057,-0.05000000000000426,51.3,51.5,0.29999999999999716,0.0,50.4075,50.77,0.7700000000000031,-0.21000000000000085,50.9125,51.3,1.0999999999999943,-0.6999999999999957,130337,185225,115059,-62566
2016-11-27,49.84,50.35,0.9500000000000028,-0.7000000000000028,50.52,50.7,0.3500000000000014,-0.15000000000000568,49.47,49.65,0.44999999999999574,-0.10000000000000142,49.8,50.25,0.8500000000000014,0.29999999999999716,182437,245723,126938,16739
2016-12-04,51.339999999999996,52.5,2.25,2.25,52.25,52.95,1.9500000000000028,1.9500000000000028,50.804,51.6,1.5799999999999983,1.2299999999999969,51.6,52.8,2.3499999999999943,1.2999999999999972,215275,242818,45152,23347
2016-12-11,51.79,52.45,2.200000000000003,-2.200000000000003,52.4,53.4,2.3999999999999986,-2.3999999999999986,50.904,52.25,2.3500000000000014,-2.3500000000000014,51.42,52.4,1.8999999999999986,-1.8999999999999986,297157,538153,403240,-115421
2016-12-18,52.4375,53.5,2.549999999999997,1.8499999999999943,53.3875,53.95,1.1500000000000057,0.3500000000000014,51.6625,52.5,2.3500000000000014,1.5500000000000043,52.9,53.45,0.8000000000000043,0.09999999999999432,186790,273880,144483,-72601
2016-12-25,52.7,53.2,0.9000000000000057,-0.7000000000000028,53.075,53.45,0.8000000000000043,-0.6000000000000014,51.75,52.4,1.1000000000000014,-1.1000000000000014,52.3875,52.95,0.8000000000000043,-0.8000000000000043,129410,177067,96157,59695
2017-01-01,51.55,52.2,1.9500000000000028,-1.9500000000000028,52.16,52.65,1.1000000000000014,-0.9499999999999957,50.76,51.15,1.1999999999999957,-1.1499999999999986,51.32,52.15,1.3999999999999986,-0.5499999999999972,182802,253277,136525,12853
2017-01-08,52.075,53.0,1.9500000000000028,0.9500000000000028,52.8625,53.15,0.75,0.5,51.3875,52.0,1.3999999999999986,1.3999999999999986,52.3375,53.15,1.2999999999999972,0.05000000000000426,142766,168447,42454,42350
