Date,First Trust Institutional Preferred Securities andEtf_Open_average,First Trust Institutional Preferred Securities andEtf_Open_max,First Trust Institutional Preferred Securities andEtf_Open_min,First Trust Institutional Preferred Securities andEtf_Open_volatility,First Trust Institutional Preferred Securities andEtf_Open_change,First Trust Institutional Preferred Securities andEtf_High_average,First Trust Institutional Preferred Securities andEtf_High_max,First Trust Institutional Preferred Securities andEtf_High_min,First Trust Institutional Preferred Securities andEtf_High_volatility,First Trust Institutional Preferred Securities andEtf_High_change,First Trust Institutional Preferred Securities andEtf_Low_average,First Trust Institutional Preferred Securities andEtf_Low_max,First Trust Institutional Preferred Securities andEtf_Low_min,First Trust Institutional Preferred Securities andEtf_Low_volatility,First Trust Institutional Preferred Securities andEtf_Low_change,First Trust Institutional Preferred Securities andEtf_Close_average,First Trust Institutional Preferred Securities andEtf_Close_max,First Trust Institutional Preferred Securities andEtf_Close_min,First Trust Institutional Preferred Securities andEtf_Close_volatility,First Trust Institutional Preferred Securities andEtf_Close_change
2018-08-12,19.22,19.22,19.22,0.0,0.0,19.22,19.22,19.22,0.0,0.0,19.1,19.1,19.1,0.0,0.0,19.17,19.17,19.17,0.0,0.0
2018-08-19,19.11,19.11,19.11,0.0,0.0,19.16,19.16,19.16,0.0,0.0,19.11,19.11,19.11,0.0,0.0,19.11,19.11,19.11,0.0,0.0
2018-08-26,19.17,19.17,19.17,0.0,0.0,19.17,19.17,19.17,0.0,0.0,19.11,19.11,19.11,0.0,0.0,19.17,19.17,19.17,0.0,0.0
2018-09-02,19.18,19.18,19.18,0.0,0.0,19.18,19.18,19.18,0.0,0.0,19.04,19.04,19.04,0.0,0.0,19.1,19.1,19.1,0.0,0.0
2018-09-09,19.21,19.21,19.21,0.0,0.0,19.23,19.23,19.23,0.0,0.0,19.17,19.17,19.17,0.0,0.0,19.22,19.22,19.22,0.0,0.0
2018-09-16,19.13,19.13,19.13,0.0,0.0,19.17,19.17,19.17,0.0,0.0,19.1,19.1,19.1,0.0,0.0,19.13,19.13,19.13,0.0,0.0
2018-09-23,19.11,19.11,19.11,0.0,0.0,19.12,19.12,19.12,0.0,0.0,18.98,18.98,18.98,0.0,0.0,18.98,18.98,18.98,0.0,0.0
2018-09-30,18.92,18.92,18.92,0.0,0.0,19.06,19.06,19.06,0.0,0.0,18.92,18.92,18.92,0.0,0.0,19.02,19.02,19.02,0.0,0.0
2018-10-07,18.97,18.97,18.97,0.0,0.0,18.99,18.99,18.99,0.0,0.0,18.84,18.84,18.84,0.0,0.0,18.84,18.84,18.84,0.0,0.0
2018-10-14,18.95,18.95,18.95,0.0,0.0,18.95,18.95,18.95,0.0,0.0,18.88,18.88,18.88,0.0,0.0,18.88,18.88,18.88,0.0,0.0
2018-10-21,18.75,18.75,18.75,0.0,0.0,18.8,18.8,18.8,0.0,0.0,18.67,18.67,18.67,0.0,0.0,18.79,18.79,18.79,0.0,0.0
2018-10-28,18.88,18.88,18.88,0.0,0.0,18.88,18.88,18.88,0.0,0.0,18.75,18.75,18.75,0.0,0.0,18.75,18.75,18.75,0.0,0.0
2018-11-04,18.9,18.9,18.9,0.0,0.0,18.91,18.91,18.91,0.0,0.0,18.86,18.86,18.86,0.0,0.0,18.88,18.88,18.88,0.0,0.0
2018-11-11,18.73,18.73,18.73,0.0,0.0,18.73,18.73,18.73,0.0,0.0,18.61,18.61,18.61,0.0,0.0,18.71,18.71,18.71,0.0,0.0
2018-11-18,18.47,18.47,18.47,0.0,0.0,18.59,18.59,18.59,0.0,0.0,18.47,18.47,18.47,0.0,0.0,18.57,18.57,18.57,0.0,0.0
2018-11-25,18.46,18.46,18.46,0.0,0.0,18.46,18.46,18.46,0.0,0.0,17.96,17.96,17.96,0.0,0.0,18.31,18.31,18.31,0.0,0.0
2018-12-02,18.32,18.32,18.32,0.0,0.0,18.38,18.38,18.38,0.0,0.0,18.28,18.28,18.28,0.0,0.0,18.37,18.37,18.37,0.0,0.0
2018-12-09,18.27,18.27,18.27,0.0,0.0,18.4,18.4,18.4,0.0,0.0,18.27,18.27,18.27,0.0,0.0,18.38,18.38,18.38,0.0,0.0
2018-12-16,18.18,18.18,18.18,0.0,0.0,18.18,18.18,18.18,0.0,0.0,17.97,17.97,17.97,0.0,0.0,18.13,18.13,18.13,0.0,0.0
2018-12-23,18.06,18.06,18.06,0.0,0.0,18.26,18.26,18.26,0.0,0.0,18.06,18.06,18.06,0.0,0.0,18.25,18.25,18.25,0.0,0.0
2018-12-30,18.03,18.03,18.03,0.0,0.0,18.24,18.24,18.24,0.0,0.0,18.03,18.03,18.03,0.0,0.0,18.23,18.23,18.23,0.0,0.0
2019-01-06,18.48,18.48,18.48,0.0,0.0,18.48,18.48,18.48,0.0,0.0,18.39,18.39,18.39,0.0,0.0,18.43,18.43,18.43,0.0,0.0
2019-01-13,18.6,18.6,18.6,0.0,0.0,18.62,18.62,18.62,0.0,0.0,18.56,18.56,18.56,0.0,0.0,18.57,18.57,18.57,0.0,0.0
2019-01-20,18.55,18.55,18.55,0.0,0.0,18.63,18.63,18.63,0.0,0.0,18.55,18.55,18.55,0.0,0.0,18.63,18.63,18.63,0.0,0.0
2019-01-27,18.65,18.65,18.65,0.0,0.0,18.69,18.69,18.69,0.0,0.0,18.65,18.65,18.65,0.0,0.0,18.68,18.68,18.68,0.0,0.0
2019-02-03,18.64,18.64,18.64,0.0,0.0,18.72,18.72,18.72,0.0,0.0,18.64,18.64,18.64,0.0,0.0,18.7,18.7,18.7,0.0,0.0
2019-02-10,18.77,18.77,18.77,0.0,0.0,18.81,18.81,18.81,0.0,0.0,18.77,18.77,18.77,0.0,0.0,18.8,18.8,18.8,0.0,0.0
2019-02-17,18.76,18.76,18.76,0.0,0.0,18.8,18.8,18.8,0.0,0.0,18.75,18.75,18.75,0.0,0.0,18.76,18.76,18.76,0.0,0.0
2019-02-24,18.91,18.91,18.91,0.0,0.0,18.91,18.91,18.91,0.0,0.0,18.86,18.86,18.86,0.0,0.0,18.89,18.89,18.89,0.0,0.0
2019-03-03,18.89,18.89,18.89,0.0,0.0,18.89,18.89,18.89,0.0,0.0,18.84,18.84,18.84,0.0,0.0,18.86,18.86,18.86,0.0,0.0
2019-03-10,18.98,18.98,18.98,0.0,0.0,19.0,19.0,19.0,0.0,0.0,18.96,18.96,18.96,0.0,0.0,18.96,18.96,18.96,0.0,0.0
2019-03-17,18.91,18.91,18.91,0.0,0.0,18.91,18.91,18.91,0.0,0.0,18.85,18.85,18.85,0.0,0.0,18.9,18.9,18.9,0.0,0.0
2019-03-24,18.93,18.93,18.93,0.0,0.0,19.01,19.01,19.01,0.0,0.0,18.93,18.93,18.93,0.0,0.0,19.01,19.01,19.01,0.0,0.0
2019-03-31,19.06,19.06,19.06,0.0,0.0,19.09,19.09,19.09,0.0,0.0,19.03,19.03,19.03,0.0,0.0,19.03,19.03,19.03,0.0,0.0
2019-04-07,19.12,19.12,19.12,0.0,0.0,19.2,19.2,19.2,0.0,0.0,19.12,19.12,19.12,0.0,0.0,19.19,19.19,19.19,0.0,0.0
2019-04-14,19.24,19.24,19.24,0.0,0.0,19.24,19.24,19.24,0.0,0.0,19.17,19.17,19.17,0.0,0.0,19.17,19.17,19.17,0.0,0.0
2019-04-21,19.17,19.17,19.17,0.0,0.0,19.19,19.19,19.19,0.0,0.0,19.14,19.14,19.14,0.0,0.0,19.17,19.17,19.17,0.0,0.0
2019-04-28,19.19,19.19,19.19,0.0,0.0,19.23,19.23,19.23,0.0,0.0,19.19,19.19,19.19,0.0,0.0,19.23,19.23,19.23,0.0,0.0
2019-05-05,19.18,19.18,19.18,0.0,0.0,19.18,19.18,19.18,0.0,0.0,19.11,19.11,19.11,0.0,0.0,19.15,19.15,19.15,0.0,0.0
2019-05-12,19.14,19.14,19.14,0.0,0.0,19.21,19.21,19.21,0.0,0.0,19.14,19.14,19.14,0.0,0.0,19.2,19.2,19.2,0.0,0.0
2019-05-19,19.06,19.06,19.06,0.0,0.0,19.09,19.09,19.09,0.0,0.0,19.04,19.04,19.04,0.0,0.0,19.08,19.08,19.08,0.0,0.0
2019-05-26,19.17,19.17,19.17,0.0,0.0,19.17,19.17,19.17,0.0,0.0,18.99,18.99,18.99,0.0,0.0,19.06,19.06,19.06,0.0,0.0
2019-06-02,19.17,19.17,19.17,0.0,0.0,19.19,19.19,19.19,0.0,0.0,19.11,19.11,19.11,0.0,0.0,19.15,19.15,19.15,0.0,0.0
2019-06-09,19.13,19.13,19.13,0.0,0.0,19.14,19.14,19.14,0.0,0.0,19.09,19.09,19.09,0.0,0.0,19.13,19.13,19.13,0.0,0.0
2019-06-16,19.31,19.31,19.31,0.0,0.0,19.34,19.34,19.34,0.0,0.0,19.28,19.28,19.28,0.0,0.0,19.33,19.33,19.33,0.0,0.0
2019-06-23,19.41,19.41,19.41,0.0,0.0,19.42,19.42,19.42,0.0,0.0,19.38,19.38,19.38,0.0,0.0,19.42,19.42,19.42,0.0,0.0
2019-06-30,19.52,19.52,19.52,0.0,0.0,19.52,19.52,19.52,0.0,0.0,19.45,19.45,19.45,0.0,0.0,19.48,19.48,19.48,0.0,0.0
2019-07-07,19.51,19.51,19.51,0.0,0.0,19.55,19.55,19.55,0.0,0.0,19.5,19.5,19.5,0.0,0.0,19.53,19.53,19.53,0.0,0.0
2019-07-14,19.57,19.57,19.57,0.0,0.0,19.58,19.58,19.58,0.0,0.0,19.52,19.52,19.52,0.0,0.0,19.55,19.55,19.55,0.0,0.0
2019-07-21,19.5,19.5,19.5,0.0,0.0,19.54,19.54,19.54,0.0,0.0,19.5,19.5,19.5,0.0,0.0,19.52,19.52,19.52,0.0,0.0
2019-07-28,19.52,19.52,19.52,0.0,0.0,19.52,19.52,19.52,0.0,0.0,19.45,19.45,19.45,0.0,0.0,19.52,19.52,19.52,0.0,0.0
2019-08-04,19.43,19.43,19.43,0.0,0.0,19.44,19.44,19.44,0.0,0.0,19.37,19.37,19.37,0.0,0.0,19.37,19.37,19.37,0.0,0.0
2019-08-11,19.4,19.4,19.4,0.0,0.0,19.49,19.49,19.49,0.0,0.0,19.4,19.4,19.4,0.0,0.0,19.44,19.44,19.44,0.0,0.0
2019-08-18,19.42,19.42,19.42,0.0,0.0,19.49,19.49,19.49,0.0,0.0,19.42,19.42,19.42,0.0,0.0,19.48,19.48,19.48,0.0,0.0
2019-08-25,19.6,19.6,19.6,0.0,0.0,19.6,19.6,19.6,0.0,0.0,19.51,19.51,19.51,0.0,0.0,19.59,19.59,19.59,0.0,0.0
2019-09-01,19.66,19.66,19.66,0.0,0.0,19.67,19.67,19.67,0.0,0.0,19.59,19.59,19.59,0.0,0.0,19.66,19.66,19.66,0.0,0.0
2019-09-08,19.7,19.7,19.7,0.0,0.0,19.7,19.7,19.7,0.0,0.0,19.63,19.63,19.63,0.0,0.0,19.67,19.67,19.67,0.0,0.0
2019-09-15,19.65,19.65,19.65,0.0,0.0,19.69,19.69,19.69,0.0,0.0,19.65,19.65,19.65,0.0,0.0,19.69,19.69,19.69,0.0,0.0
2019-09-22,19.64,19.64,19.64,0.0,0.0,19.66,19.66,19.66,0.0,0.0,19.6,19.6,19.6,0.0,0.0,19.63,19.63,19.63,0.0,0.0
2019-09-29,19.69,19.69,19.69,0.0,0.0,19.69,19.69,19.69,0.0,0.0,19.61,19.61,19.61,0.0,0.0,19.66,19.66,19.66,0.0,0.0
2019-10-06,19.73,19.73,19.73,0.0,0.0,19.76,19.76,19.76,0.0,0.0,19.69,19.69,19.69,0.0,0.0,19.72,19.72,19.72,0.0,0.0
2019-10-13,19.84,19.84,19.84,0.0,0.0,19.86,19.86,19.86,0.0,0.0,19.79,19.79,19.79,0.0,0.0,19.83,19.83,19.83,0.0,0.0
2019-10-20,19.84,19.84,19.84,0.0,0.0,19.91,19.91,19.91,0.0,0.0,19.83,19.83,19.83,0.0,0.0,19.87,19.87,19.87,0.0,0.0
2019-10-27,19.9,19.9,19.9,0.0,0.0,19.94,19.94,19.94,0.0,0.0,19.85,19.85,19.85,0.0,0.0,19.91,19.91,19.91,0.0,0.0
2019-11-03,19.91,19.91,19.91,0.0,0.0,19.97,19.97,19.97,0.0,0.0,19.89,19.89,19.89,0.0,0.0,19.89,19.89,19.89,0.0,0.0
2019-11-10,19.9,19.9,19.9,0.0,0.0,19.96,19.96,19.96,0.0,0.0,19.9,19.9,19.9,0.0,0.0,19.94,19.94,19.94,0.0,0.0
2019-11-17,19.93,19.93,19.93,0.0,0.0,19.93,19.93,19.93,0.0,0.0,19.84,19.84,19.84,0.0,0.0,19.85,19.85,19.85,0.0,0.0
2019-11-24,20.0,20.0,20.0,0.0,0.0,20.0,20.0,20.0,0.0,0.0,19.97,19.97,19.97,0.0,0.0,19.97,19.97,19.97,0.0,0.0
2019-12-01,20.04,20.04,20.04,0.0,0.0,20.06,20.06,20.06,0.0,0.0,19.96,19.96,19.96,0.0,0.0,19.99,19.99,19.99,0.0,0.0
2019-12-08,20.05,20.05,20.05,0.0,0.0,20.05,20.05,20.05,0.0,0.0,19.98,19.98,19.98,0.0,0.0,20.04,20.04,20.04,0.0,0.0
2019-12-15,20.01,20.01,20.01,0.0,0.0,20.1,20.1,20.1,0.0,0.0,20.01,20.01,20.01,0.0,0.0,20.09,20.09,20.09,0.0,0.0
2019-12-22,20.1,20.1,20.1,0.0,0.0,20.12,20.12,20.12,0.0,0.0,20.08,20.08,20.08,0.0,0.0,20.11,20.11,20.11,0.0,0.0
2019-12-29,20.08,20.08,20.08,0.0,0.0,20.17,20.17,20.17,0.0,0.0,20.08,20.08,20.08,0.0,0.0,20.15,20.15,20.15,0.0,0.0
