Date,Invesco S and P MidCap Momentum_Open_average,Invesco S and P MidCap Momentum_Open_max,Invesco S and P MidCap Momentum_Open_min,Invesco S and P MidCap Momentum_Open_volatility,Invesco S and P MidCap Momentum_Open_change,Invesco S and P MidCap Momentum_High_average,Invesco S and P MidCap Momentum_High_max,Invesco S and P MidCap Momentum_High_min,Invesco S and P MidCap Momentum_High_volatility,Invesco S and P MidCap Momentum_High_change,Invesco S and P MidCap Momentum_Low_average,Invesco S and P MidCap Momentum_Low_max,Invesco S and P MidCap Momentum_Low_min,Invesco S and P MidCap Momentum_Low_volatility,Invesco S and P MidCap Momentum_Low_change,Invesco S and P MidCap Momentum_Close_average,Invesco S and P MidCap Momentum_Close_max,Invesco S and P MidCap Momentum_Close_min,Invesco S and P MidCap Momentum_Close_volatility,Invesco S and P MidCap Momentum_Close_change
2018-04-01,45.03,45.03,45.03,0.0,0.0,45.51,45.51,45.51,0.0,0.0,44.98,44.98,44.98,0.0,0.0,44.98,44.98,44.98,0.0,0.0
2018-04-08,45.72,45.72,45.72,0.0,0.0,46.07,46.07,46.07,0.0,0.0,45.64,45.64,45.64,0.0,0.0,45.96,45.96,45.96,0.0,0.0
2018-04-15,46.25,46.25,46.25,0.0,0.0,46.37,46.37,46.37,0.0,0.0,45.81,45.81,45.81,0.0,0.0,46.08,46.08,46.08,0.0,0.0
2018-04-22,46.15,46.15,46.15,0.0,0.0,46.16,46.16,46.16,0.0,0.0,45.64,45.64,45.64,0.0,0.0,45.64,45.64,45.64,0.0,0.0
2018-04-29,46.67,46.67,46.67,0.0,0.0,47.05,47.05,47.05,0.0,0.0,46.67,46.67,46.67,0.0,0.0,46.76,46.76,46.76,0.0,0.0
2018-05-06,48.46,48.46,48.46,0.0,0.0,48.71,48.71,48.71,0.0,0.0,47.97,47.97,47.97,0.0,0.0,48.15,48.15,48.15,0.0,0.0
2018-05-13,48.47,48.47,48.47,0.0,0.0,48.73,48.73,48.73,0.0,0.0,48.22,48.22,48.22,0.0,0.0,48.47,48.47,48.47,0.0,0.0
2018-05-20,48.65,48.65,48.65,0.0,0.0,48.82,48.82,48.82,0.0,0.0,48.45,48.45,48.45,0.0,0.0,48.52,48.52,48.52,0.0,0.0
2018-05-27,49.5,49.5,49.5,0.0,0.0,49.92,49.92,49.92,0.0,0.0,49.18,49.18,49.18,0.0,0.0,49.92,49.92,49.92,0.0,0.0
2018-06-03,50.62,50.62,50.62,0.0,0.0,50.71,50.71,50.71,0.0,0.0,50.39,50.39,50.39,0.0,0.0,50.63,50.63,50.63,0.0,0.0
2018-06-10,51.2,51.2,51.2,0.0,0.0,51.62,51.62,51.62,0.0,0.0,51.17,51.17,51.17,0.0,0.0,51.61,51.61,51.61,0.0,0.0
2018-06-17,50.18,50.18,50.18,0.0,0.0,50.18,50.18,50.18,0.0,0.0,48.66,48.66,48.66,0.0,0.0,49.17,49.17,49.17,0.0,0.0
2018-06-24,48.52,48.52,48.52,0.0,0.0,49.32,49.32,49.32,0.0,0.0,48.44,48.44,48.44,0.0,0.0,49.32,49.32,49.32,0.0,0.0
2018-07-01,50.49,50.49,50.49,0.0,0.0,50.65,50.65,50.65,0.0,0.0,50.01,50.01,50.01,0.0,0.0,50.65,50.65,50.65,0.0,0.0
2018-07-08,51.2,51.2,51.2,0.0,0.0,51.37,51.37,51.37,0.0,0.0,50.68,50.68,50.68,0.0,0.0,50.77,50.77,50.77,0.0,0.0
2018-07-15,51.46,51.46,51.46,0.0,0.0,51.71,51.71,51.71,0.0,0.0,51.15,51.15,51.15,0.0,0.0,51.69,51.69,51.69,0.0,0.0
2018-07-22,49.96,49.96,49.96,0.0,0.0,50.19,50.19,50.19,0.0,0.0,48.53,48.53,48.53,0.0,0.0,48.72,48.72,48.72,0.0,0.0
2018-07-29,50.26,50.26,50.26,0.0,0.0,50.79,50.79,50.79,0.0,0.0,50.26,50.26,50.26,0.0,0.0,50.79,50.79,50.79,0.0,0.0
2018-08-05,51.74,51.74,51.74,0.0,0.0,52.06,52.06,52.06,0.0,0.0,51.38,51.38,51.38,0.0,0.0,51.5,51.5,51.5,0.0,0.0
2018-08-12,51.99,51.99,51.99,0.0,0.0,52.16,52.16,52.16,0.0,0.0,51.66,51.66,51.66,0.0,0.0,52.06,52.06,52.06,0.0,0.0
2018-08-19,53.96,53.96,53.96,0.0,0.0,54.16,54.16,54.16,0.0,0.0,53.75,53.75,53.75,0.0,0.0,54.02,54.02,54.02,0.0,0.0
2018-08-26,54.71,54.71,54.71,0.0,0.0,54.93,54.93,54.93,0.0,0.0,54.55,54.55,54.55,0.0,0.0,54.88,54.88,54.88,0.0,0.0
2018-09-02,54.98,54.98,54.98,0.0,0.0,55.17,55.17,55.17,0.0,0.0,54.6,54.6,54.6,0.0,0.0,55.07,55.07,55.07,0.0,0.0
2018-09-09,55.63,55.63,55.63,0.0,0.0,55.63,55.63,55.63,0.0,0.0,54.28,54.28,54.28,0.0,0.0,54.37,54.37,54.37,0.0,0.0
2018-09-16,53.87,53.87,53.87,0.0,0.0,54.25,54.25,54.25,0.0,0.0,53.28,53.28,53.28,0.0,0.0,54.24,54.24,54.24,0.0,0.0
2018-09-23,54.93,54.93,54.93,0.0,0.0,55.01,55.01,55.01,0.0,0.0,54.07,54.07,54.07,0.0,0.0,54.18,54.18,54.18,0.0,0.0
2018-09-30,51.77,51.77,51.77,0.0,0.0,51.79,51.79,51.79,0.0,0.0,50.32,50.32,50.32,0.0,0.0,50.94,50.94,50.94,0.0,0.0
2018-10-07,48.97,48.97,48.97,0.0,0.0,49.31,49.31,49.31,0.0,0.0,48.53,48.53,48.53,0.0,0.0,48.86,48.86,48.86,0.0,0.0
2018-10-14,48.41,48.41,48.41,0.0,0.0,48.89,48.89,48.89,0.0,0.0,48.02,48.02,48.02,0.0,0.0,48.77,48.77,48.77,0.0,0.0
2018-10-21,46.69,46.69,46.69,0.0,0.0,47.05,47.05,47.05,0.0,0.0,44.97,44.97,44.97,0.0,0.0,45.53,45.53,45.53,0.0,0.0
2018-10-28,48.47,48.47,48.47,0.0,0.0,48.47,48.47,48.47,0.0,0.0,47.7,47.7,47.7,0.0,0.0,48.14,48.14,48.14,0.0,0.0
2018-11-04,48.61,48.61,48.61,0.0,0.0,48.72,48.72,48.72,0.0,0.0,46.97,46.97,46.97,0.0,0.0,47.28,47.28,47.28,0.0,0.0
2018-11-11,47.85,47.85,47.85,0.0,0.0,47.85,47.85,47.85,0.0,0.0,45.83,45.83,45.83,0.0,0.0,45.92,45.92,45.92,0.0,0.0
2018-11-18,46.99,46.99,46.99,0.0,0.0,47.36,47.36,47.36,0.0,0.0,46.73,46.73,46.73,0.0,0.0,47.29,47.29,47.29,0.0,0.0
2018-11-25,50.36,50.36,50.36,0.0,0.0,50.55,50.55,50.55,0.0,0.0,49.55,49.55,49.55,0.0,0.0,50.09,50.09,50.09,0.0,0.0
2018-12-02,46.46,46.46,46.46,0.0,0.0,47.29,47.29,47.29,0.0,0.0,46.16,46.16,46.16,0.0,0.0,47.11,47.11,47.11,0.0,0.0
2018-12-09,46.2,46.2,46.2,0.0,0.0,46.25,46.25,46.25,0.0,0.0,44.83,44.83,44.83,0.0,0.0,44.92,44.92,44.92,0.0,0.0
2018-12-16,41.77,41.77,41.77,0.0,0.0,42.27,42.27,42.27,0.0,0.0,41.22,41.22,41.22,0.0,0.0,41.61,41.61,41.61,0.0,0.0
2018-12-23,45.03,45.03,45.03,0.0,0.0,45.27,45.27,45.27,0.0,0.0,44.7,44.7,44.7,0.0,0.0,44.97,44.97,44.97,0.0,0.0
2018-12-30,45.61,45.61,45.61,0.0,0.0,46.78,46.78,46.78,0.0,0.0,45.61,45.61,45.61,0.0,0.0,46.56,46.56,46.56,0.0,0.0
2019-01-06,47.74,47.74,47.74,0.0,0.0,47.87,47.87,47.87,0.0,0.0,47.61,47.61,47.61,0.0,0.0,47.64,47.64,47.64,0.0,0.0
2019-01-13,49.49,49.49,49.49,0.0,0.0,50.03,50.03,50.03,0.0,0.0,49.28,49.28,49.28,0.0,0.0,49.92,49.92,49.92,0.0,0.0
2019-01-20,50.17,50.17,50.17,0.0,0.0,50.39,50.39,50.39,0.0,0.0,49.79,49.79,49.79,0.0,0.0,50.2,50.2,50.2,0.0,0.0
2019-01-27,51.94,51.94,51.94,0.0,0.0,52.29,52.29,52.29,0.0,0.0,51.77,51.77,51.77,0.0,0.0,52.28,52.28,52.28,0.0,0.0
2019-02-03,53.1,53.1,53.1,0.0,0.0,53.3,53.3,53.3,0.0,0.0,52.86,52.86,52.86,0.0,0.0,53.11,53.11,53.11,0.0,0.0
2019-02-10,54.58,54.58,54.58,0.0,0.0,54.77,54.77,54.77,0.0,0.0,54.44,54.44,54.44,0.0,0.0,54.71,54.71,54.71,0.0,0.0
2019-02-17,55.87,55.87,55.87,0.0,0.0,55.96,55.96,55.96,0.0,0.0,55.51,55.51,55.51,0.0,0.0,55.61,55.61,55.61,0.0,0.0
2019-02-24,56.25,56.25,56.25,0.0,0.0,56.25,56.25,56.25,0.0,0.0,54.39,54.39,54.39,0.0,0.0,55.05,55.05,55.05,0.0,0.0
2019-03-03,54.17,54.17,54.17,0.0,0.0,54.99,54.99,54.99,0.0,0.0,54.17,54.17,54.17,0.0,0.0,54.99,54.99,54.99,0.0,0.0
2019-03-10,56.1,56.1,56.1,0.0,0.0,56.49,56.49,56.49,0.0,0.0,55.77,55.77,55.77,0.0,0.0,56.24,56.24,56.24,0.0,0.0
2019-03-17,55.3,55.3,55.3,0.0,0.0,55.7,55.7,55.7,0.0,0.0,55.0,55.0,55.0,0.0,0.0,55.51,55.51,55.51,0.0,0.0
2019-03-24,56.67,56.67,56.67,0.0,0.0,57.41,57.41,57.41,0.0,0.0,56.67,56.67,56.67,0.0,0.0,57.2,57.2,57.2,0.0,0.0
2019-03-31,57.52,57.52,57.52,0.0,0.0,57.86,57.86,57.86,0.0,0.0,57.11,57.11,57.11,0.0,0.0,57.86,57.86,57.86,0.0,0.0
2019-04-07,58.64,58.64,58.64,0.0,0.0,58.78,58.78,58.78,0.0,0.0,58.37,58.37,58.37,0.0,0.0,58.69,58.69,58.69,0.0,0.0
2019-04-14,57.66,57.66,57.66,0.0,0.0,58.13,58.13,58.13,0.0,0.0,57.58,57.58,57.58,0.0,0.0,58.13,58.13,58.13,0.0,0.0
2019-04-21,59.12,59.12,59.12,0.0,0.0,59.48,59.48,59.48,0.0,0.0,58.93,58.93,58.93,0.0,0.0,58.96,58.96,58.96,0.0,0.0
2019-04-28,57.85,57.85,57.85,0.0,0.0,59.25,59.25,59.25,0.0,0.0,57.53,57.53,57.53,0.0,0.0,59.21,59.21,59.21,0.0,0.0
2019-05-05,56.46,56.46,56.46,0.0,0.0,56.61,56.61,56.61,0.0,0.0,55.43,55.43,55.43,0.0,0.0,55.59,55.59,55.59,0.0,0.0
2019-05-12,56.86,56.86,56.86,0.0,0.0,57.17,57.17,57.17,0.0,0.0,56.42,56.42,56.42,0.0,0.0,56.81,56.81,56.81,0.0,0.0
2019-05-19,56.48,56.48,56.48,0.0,0.0,56.84,56.84,56.84,0.0,0.0,56.32,56.32,56.32,0.0,0.0,56.58,56.58,56.58,0.0,0.0
2019-05-26,55.65,55.65,55.65,0.0,0.0,55.83,55.83,55.83,0.0,0.0,54.28,54.28,54.28,0.0,0.0,54.6,54.6,54.6,0.0,0.0
2019-06-02,58.78,58.78,58.78,0.0,0.0,59.5,59.5,59.5,0.0,0.0,58.78,58.78,58.78,0.0,0.0,58.86,58.86,58.86,0.0,0.0
2019-06-09,58.75,58.75,58.75,0.0,0.0,59.12,59.12,59.12,0.0,0.0,58.66,58.66,58.66,0.0,0.0,58.68,58.68,58.68,0.0,0.0
2019-06-16,59.41,59.41,59.41,0.0,0.0,59.44,59.44,59.44,0.0,0.0,58.62,58.62,58.62,0.0,0.0,58.9,58.9,58.9,0.0,0.0
2019-06-23,59.42,59.42,59.42,0.0,0.0,59.48,59.48,59.48,0.0,0.0,58.69,58.69,58.69,0.0,0.0,58.98,58.98,58.98,0.0,0.0
2019-06-30,59.92,59.92,59.92,0.0,0.0,60.01,60.01,60.01,0.0,0.0,59.69,59.69,59.69,0.0,0.0,59.86,59.86,59.86,0.0,0.0
2019-07-07,60.33,60.33,60.33,0.0,0.0,60.33,60.33,60.33,0.0,0.0,59.78,59.78,59.78,0.0,0.0,59.84,59.84,59.84,0.0,0.0
2019-07-14,59.56,59.56,59.56,0.0,0.0,59.56,59.56,59.56,0.0,0.0,59.21,59.21,59.21,0.0,0.0,59.21,59.21,59.21,0.0,0.0
2019-07-21,60.26,60.26,60.26,0.0,0.0,60.33,60.33,60.33,0.0,0.0,59.76,59.76,59.76,0.0,0.0,59.89,59.89,59.89,0.0,0.0
2019-07-28,57.51,57.51,57.51,0.0,0.0,57.67,57.67,57.67,0.0,0.0,56.19,56.19,56.19,0.0,0.0,56.76,56.76,56.76,0.0,0.0
2019-08-04,58.3,58.3,58.3,0.0,0.0,58.3,58.3,58.3,0.0,0.0,57.65,57.65,57.65,0.0,0.0,57.78,57.78,57.78,0.0,0.0
2019-08-11,58.8,58.8,58.8,0.0,0.0,58.8,58.8,58.8,0.0,0.0,58.48,58.48,58.48,0.0,0.0,58.56,58.56,58.56,0.0,0.0
2019-08-18,57.67,57.67,57.67,0.0,0.0,57.79,57.79,57.79,0.0,0.0,57.34,57.34,57.34,0.0,0.0,57.75,57.75,57.75,0.0,0.0
2019-08-25,58.46,58.46,58.46,0.0,0.0,58.59,58.59,58.59,0.0,0.0,57.99,57.99,57.99,0.0,0.0,58.31,58.31,58.31,0.0,0.0
2019-09-01,59.0,59.0,59.0,0.0,0.0,59.0,59.0,59.0,0.0,0.0,58.12,58.12,58.12,0.0,0.0,58.27,58.27,58.27,0.0,0.0
2019-09-08,58.36,58.36,58.36,0.0,0.0,58.78,58.78,58.78,0.0,0.0,58.36,58.36,58.36,0.0,0.0,58.63,58.63,58.63,0.0,0.0
2019-09-15,58.7,58.7,58.7,0.0,0.0,59.06,59.06,59.06,0.0,0.0,58.56,58.56,58.56,0.0,0.0,58.91,58.91,58.91,0.0,0.0
2019-09-22,57.87,57.87,57.87,0.0,0.0,58.38,58.38,58.38,0.0,0.0,57.83,57.83,57.83,0.0,0.0,58.27,58.27,58.27,0.0,0.0
2019-09-29,58.08,58.08,58.08,0.0,0.0,58.34,58.34,58.34,0.0,0.0,57.94,57.94,57.94,0.0,0.0,58.1,58.1,58.1,0.0,0.0
2019-10-06,58.24,58.24,58.24,0.0,0.0,58.24,58.24,58.24,0.0,0.0,57.91,57.91,57.91,0.0,0.0,57.96,57.96,57.96,0.0,0.0
2019-10-13,58.67,58.67,58.67,0.0,0.0,58.74,58.74,58.74,0.0,0.0,58.46,58.46,58.46,0.0,0.0,58.46,58.46,58.46,0.0,0.0
2019-10-20,58.55,58.55,58.55,0.0,0.0,58.96,58.96,58.96,0.0,0.0,58.55,58.55,58.55,0.0,0.0,58.63,58.63,58.63,0.0,0.0
2019-10-27,59.53,59.53,59.53,0.0,0.0,59.53,59.53,59.53,0.0,0.0,58.78,58.78,58.78,0.0,0.0,58.92,58.92,58.92,0.0,0.0
2019-11-03,58.38,58.38,58.38,0.0,0.0,58.82,58.82,58.82,0.0,0.0,58.38,58.38,58.38,0.0,0.0,58.77,58.77,58.77,0.0,0.0
2019-11-10,59.54,59.54,59.54,0.0,0.0,59.72,59.72,59.72,0.0,0.0,59.43,59.43,59.43,0.0,0.0,59.63,59.63,59.63,0.0,0.0
2019-11-17,59.79,59.79,59.79,0.0,0.0,60.21,60.21,60.21,0.0,0.0,59.7,59.7,59.7,0.0,0.0,60.04,60.04,60.04,0.0,0.0
2019-11-24,60.54,60.54,60.54,0.0,0.0,60.54,60.54,60.54,0.0,0.0,59.72,59.72,59.72,0.0,0.0,59.89,59.89,59.89,0.0,0.0
2019-12-01,60.6,60.6,60.6,0.0,0.0,60.6,60.6,60.6,0.0,0.0,60.31,60.31,60.31,0.0,0.0,60.31,60.31,60.31,0.0,0.0
2019-12-08,60.54,60.54,60.54,0.0,0.0,60.6,60.6,60.6,0.0,0.0,60.3,60.3,60.3,0.0,0.0,60.46,60.46,60.46,0.0,0.0
2019-12-15,61.48,61.48,61.48,0.0,0.0,61.48,61.48,61.48,0.0,0.0,60.85,60.85,60.85,0.0,0.0,60.92,60.92,60.92,0.0,0.0
2019-12-22,61.3,61.3,61.3,0.0,0.0,61.3,61.3,61.3,0.0,0.0,60.75,60.75,60.75,0.0,0.0,61.13,61.13,61.13,0.0,0.0
2019-12-29,60.47,60.47,60.47,0.0,0.0,61.4,61.4,61.4,0.0,0.0,60.47,60.47,60.47,0.0,0.0,61.28,61.28,61.28,0.0,0.0
