Date,iShares Core Total USD Bond Market_Open_average,iShares Core Total USD Bond Market_Open_max,iShares Core Total USD Bond Market_Open_min,iShares Core Total USD Bond Market_Open_volatility,iShares Core Total USD Bond Market_Open_change,iShares Core Total USD Bond Market_High_average,iShares Core Total USD Bond Market_High_max,iShares Core Total USD Bond Market_High_min,iShares Core Total USD Bond Market_High_volatility,iShares Core Total USD Bond Market_High_change,iShares Core Total USD Bond Market_Low_average,iShares Core Total USD Bond Market_Low_max,iShares Core Total USD Bond Market_Low_min,iShares Core Total USD Bond Market_Low_volatility,iShares Core Total USD Bond Market_Low_change,iShares Core Total USD Bond Market_Close_average,iShares Core Total USD Bond Market_Close_max,iShares Core Total USD Bond Market_Close_min,iShares Core Total USD Bond Market_Close_volatility,iShares Core Total USD Bond Market_Close_change
2018-08-26,49.55,49.55,49.55,0.0,0.0,49.55,49.55,49.55,0.0,0.0,49.48,49.48,49.48,0.0,0.0,49.49,49.49,49.49,0.0,0.0
2018-09-02,49.2,49.2,49.2,0.0,0.0,49.25,49.25,49.25,0.0,0.0,49.2,49.2,49.2,0.0,0.0,49.25,49.25,49.25,0.0,0.0
2018-09-09,49.15,49.15,49.15,0.0,0.0,49.2,49.2,49.2,0.0,0.0,49.13,49.13,49.13,0.0,0.0,49.18,49.18,49.18,0.0,0.0
2018-09-16,49.05,49.05,49.05,0.0,0.0,49.07,49.07,49.07,0.0,0.0,49.02,49.02,49.02,0.0,0.0,49.05,49.05,49.05,0.0,0.0
2018-09-23,49.02,49.02,49.02,0.0,0.0,49.04,49.04,49.04,0.0,0.0,48.98,48.98,48.98,0.0,0.0,48.99,48.99,48.99,0.0,0.0
2018-09-30,48.59,48.59,48.59,0.0,0.0,48.62,48.62,48.62,0.0,0.0,48.55,48.55,48.55,0.0,0.0,48.55,48.55,48.55,0.0,0.0
2018-10-07,48.68,48.68,48.68,0.0,0.0,48.72,48.72,48.72,0.0,0.0,48.65,48.65,48.65,0.0,0.0,48.66,48.66,48.66,0.0,0.0
2018-10-14,48.61,48.61,48.61,0.0,0.0,48.61,48.61,48.61,0.0,0.0,48.51,48.51,48.51,0.0,0.0,48.52,48.52,48.52,0.0,0.0
2018-10-21,48.74,48.74,48.74,0.0,0.0,48.74,48.74,48.74,0.0,0.0,48.66,48.66,48.66,0.0,0.0,48.7,48.7,48.7,0.0,0.0
2018-10-28,48.42,48.42,48.42,0.0,0.0,48.43,48.43,48.43,0.0,0.0,48.35,48.35,48.35,0.0,0.0,48.37,48.37,48.37,0.0,0.0
2018-11-04,48.51,48.51,48.51,0.0,0.0,48.55,48.55,48.55,0.0,0.0,48.48,48.48,48.48,0.0,0.0,48.54,48.54,48.54,0.0,0.0
2018-11-11,48.57,48.57,48.57,0.0,0.0,48.66,48.66,48.66,0.0,0.0,48.57,48.57,48.57,0.0,0.0,48.64,48.64,48.64,0.0,0.0
2018-11-18,48.6,48.6,48.6,0.0,0.0,48.61,48.61,48.61,0.0,0.0,48.56,48.56,48.56,0.0,0.0,48.6,48.6,48.6,0.0,0.0
2018-11-25,48.57,48.57,48.57,0.0,0.0,48.7,48.7,48.7,0.0,0.0,48.57,48.57,48.57,0.0,0.0,48.7,48.7,48.7,0.0,0.0
2018-12-02,48.95,48.95,48.95,0.0,0.0,48.99,48.99,48.99,0.0,0.0,48.89,48.89,48.89,0.0,0.0,48.95,48.95,48.95,0.0,0.0
2018-12-09,48.94,48.94,48.94,0.0,0.0,49.05,49.05,49.05,0.0,0.0,48.94,48.94,48.94,0.0,0.0,49.05,49.05,49.05,0.0,0.0
2018-12-16,49.02,49.02,49.02,0.0,0.0,49.09,49.09,49.09,0.0,0.0,49.02,49.02,49.02,0.0,0.0,49.04,49.04,49.04,0.0,0.0
2018-12-23,49.12,49.12,49.12,0.0,0.0,49.26,49.26,49.26,0.0,0.0,49.08,49.08,49.08,0.0,0.0,49.24,49.24,49.24,0.0,0.0
2018-12-30,49.4,49.4,49.4,0.0,0.0,49.44,49.44,49.44,0.0,0.0,49.31,49.31,49.31,0.0,0.0,49.34,49.34,49.34,0.0,0.0
2019-01-06,49.38,49.38,49.38,0.0,0.0,49.39,49.39,49.39,0.0,0.0,49.29,49.29,49.29,0.0,0.0,49.31,49.31,49.31,0.0,0.0
2019-01-13,49.35,49.35,49.35,0.0,0.0,49.4,49.4,49.4,0.0,0.0,49.32,49.32,49.32,0.0,0.0,49.36,49.36,49.36,0.0,0.0
2019-01-20,49.49,49.49,49.49,0.0,0.0,49.51,49.51,49.51,0.0,0.0,49.45,49.45,49.45,0.0,0.0,49.47,49.47,49.47,0.0,0.0
2019-01-27,49.59,49.59,49.59,0.0,0.0,49.61,49.61,49.61,0.0,0.0,49.54,49.54,49.54,0.0,0.0,49.61,49.61,49.61,0.0,0.0
2019-02-03,49.79,49.79,49.79,0.0,0.0,49.82,49.82,49.82,0.0,0.0,49.76,49.76,49.76,0.0,0.0,49.78,49.78,49.78,0.0,0.0
2019-02-10,49.78,49.78,49.78,0.0,0.0,49.84,49.84,49.84,0.0,0.0,49.77,49.77,49.77,0.0,0.0,49.81,49.81,49.81,0.0,0.0
2019-02-17,49.85,49.85,49.85,0.0,0.0,49.9,49.9,49.9,0.0,0.0,49.84,49.84,49.84,0.0,0.0,49.85,49.85,49.85,0.0,0.0
2019-02-24,49.64,49.64,49.64,0.0,0.0,49.7,49.7,49.7,0.0,0.0,49.61,49.61,49.61,0.0,0.0,49.65,49.65,49.65,0.0,0.0
2019-03-03,49.85,49.85,49.85,0.0,0.0,49.9,49.9,49.9,0.0,0.0,49.85,49.85,49.85,0.0,0.0,49.88,49.88,49.88,0.0,0.0
2019-03-10,50.02,50.02,50.02,0.0,0.0,50.09,50.09,50.09,0.0,0.0,50.02,50.02,50.02,0.0,0.0,50.09,50.09,50.09,0.0,0.0
2019-03-17,50.45,50.45,50.45,0.0,0.0,50.57,50.57,50.57,0.0,0.0,50.42,50.42,50.42,0.0,0.0,50.51,50.51,50.51,0.0,0.0
2019-03-24,50.39,50.39,50.39,0.0,0.0,50.39,50.39,50.39,0.0,0.0,50.27,50.27,50.27,0.0,0.0,50.3,50.3,50.3,0.0,0.0
2019-03-31,50.35,50.35,50.35,0.0,0.0,50.35,50.35,50.35,0.0,0.0,50.33,50.33,50.33,0.0,0.0,50.34,50.34,50.34,0.0,0.0
2019-04-07,50.33,50.33,50.33,0.0,0.0,50.36,50.36,50.36,0.0,0.0,50.32,50.32,50.32,0.0,0.0,50.35,50.35,50.35,0.0,0.0
2019-04-14,50.32,50.32,50.32,0.0,0.0,50.32,50.32,50.32,0.0,0.0,50.26,50.26,50.26,0.0,0.0,50.27,50.27,50.27,0.0,0.0
2019-04-21,50.49,50.49,50.49,0.0,0.0,50.5,50.5,50.5,0.0,0.0,50.44,50.44,50.44,0.0,0.0,50.48,50.48,50.48,0.0,0.0
2019-04-28,50.44,50.44,50.44,0.0,0.0,50.46,50.46,50.46,0.0,0.0,50.41,50.41,50.41,0.0,0.0,50.44,50.44,50.44,0.0,0.0
2019-05-05,50.53,50.53,50.53,0.0,0.0,50.56,50.56,50.56,0.0,0.0,50.48,50.48,50.48,0.0,0.0,50.49,50.49,50.49,0.0,0.0
2019-05-12,50.58,50.58,50.58,0.0,0.0,50.61,50.61,50.61,0.0,0.0,50.55,50.55,50.55,0.0,0.0,50.55,50.55,50.55,0.0,0.0
2019-05-19,50.73,50.73,50.73,0.0,0.0,50.76,50.76,50.76,0.0,0.0,50.69,50.69,50.69,0.0,0.0,50.76,50.76,50.76,0.0,0.0
2019-05-26,51.06,51.06,51.06,0.0,0.0,51.17,51.17,51.17,0.0,0.0,51.02,51.02,51.02,0.0,0.0,51.16,51.16,51.16,0.0,0.0
2019-06-02,51.17,51.17,51.17,0.0,0.0,51.17,51.17,51.17,0.0,0.0,51.14,51.14,51.14,0.0,0.0,51.16,51.16,51.16,0.0,0.0
2019-06-09,51.24,51.24,51.24,0.0,0.0,51.28,51.28,51.28,0.0,0.0,51.23,51.23,51.23,0.0,0.0,51.27,51.27,51.27,0.0,0.0
2019-06-16,51.58,51.58,51.58,0.0,0.0,51.67,51.67,51.67,0.0,0.0,51.58,51.58,51.58,0.0,0.0,51.64,51.64,51.64,0.0,0.0
2019-06-23,51.59,51.59,51.59,0.0,0.0,51.62,51.62,51.62,0.0,0.0,51.51,51.51,51.51,0.0,0.0,51.55,51.55,51.55,0.0,0.0
2019-06-30,51.57,51.57,51.57,0.0,0.0,51.59,51.59,51.59,0.0,0.0,51.51,51.51,51.51,0.0,0.0,51.51,51.51,51.51,0.0,0.0
2019-07-07,51.44,51.44,51.44,0.0,0.0,51.49,51.49,51.49,0.0,0.0,51.43,51.43,51.43,0.0,0.0,51.48,51.48,51.48,0.0,0.0
2019-07-14,51.65,51.65,51.65,0.0,0.0,51.69,51.69,51.69,0.0,0.0,51.65,51.65,51.65,0.0,0.0,51.65,51.65,51.65,0.0,0.0
2019-07-21,51.66,51.66,51.66,0.0,0.0,51.7,51.7,51.7,0.0,0.0,51.65,51.65,51.65,0.0,0.0,51.67,51.67,51.67,0.0,0.0
2019-07-28,52.05,52.05,52.05,0.0,0.0,52.11,52.11,52.11,0.0,0.0,52.01,52.01,52.01,0.0,0.0,52.09,52.09,52.09,0.0,0.0
2019-08-04,52.26,52.26,52.26,0.0,0.0,52.38,52.38,52.38,0.0,0.0,52.24,52.24,52.24,0.0,0.0,52.35,52.35,52.35,0.0,0.0
2019-08-11,52.42,52.42,52.42,0.0,0.0,52.48,52.48,52.48,0.0,0.0,52.41,52.41,52.41,0.0,0.0,52.43,52.43,52.43,0.0,0.0
2019-08-18,52.64,52.64,52.64,0.0,0.0,52.68,52.68,52.68,0.0,0.0,52.56,52.56,52.56,0.0,0.0,52.61,52.61,52.61,0.0,0.0
2019-08-25,52.68,52.68,52.68,0.0,0.0,52.78,52.78,52.78,0.0,0.0,52.67,52.67,52.67,0.0,0.0,52.78,52.78,52.78,0.0,0.0
2019-09-01,52.44,52.44,52.44,0.0,0.0,52.46,52.46,52.46,0.0,0.0,52.39,52.39,52.39,0.0,0.0,52.39,52.39,52.39,0.0,0.0
2019-09-08,51.86,51.86,51.86,0.0,0.0,51.95,51.95,51.95,0.0,0.0,51.86,51.86,51.86,0.0,0.0,51.95,51.95,51.95,0.0,0.0
2019-09-15,52.3,52.3,52.3,0.0,0.0,52.43,52.43,52.43,0.0,0.0,52.28,52.28,52.28,0.0,0.0,52.34,52.34,52.34,0.0,0.0
2019-09-22,52.29,52.29,52.29,0.0,0.0,52.41,52.41,52.41,0.0,0.0,52.29,52.29,52.29,0.0,0.0,52.41,52.41,52.41,0.0,0.0
2019-09-29,52.56,52.56,52.56,0.0,0.0,52.59,52.59,52.59,0.0,0.0,52.52,52.52,52.52,0.0,0.0,52.55,52.55,52.55,0.0,0.0
2019-10-06,52.22,52.22,52.22,0.0,0.0,52.25,52.25,52.25,0.0,0.0,52.2,52.2,52.2,0.0,0.0,52.23,52.23,52.23,0.0,0.0
2019-10-13,52.16,52.16,52.16,0.0,0.0,52.19,52.19,52.19,0.0,0.0,52.12,52.12,52.12,0.0,0.0,52.13,52.13,52.13,0.0,0.0
2019-10-20,52.09,52.09,52.09,0.0,0.0,52.1,52.1,52.1,0.0,0.0,52.05,52.05,52.05,0.0,0.0,52.09,52.09,52.09,0.0,0.0
2019-10-27,52.17,52.17,52.17,0.0,0.0,52.19,52.19,52.19,0.0,0.0,52.11,52.11,52.11,0.0,0.0,52.15,52.15,52.15,0.0,0.0
2019-11-03,51.85,51.85,51.85,0.0,0.0,51.85,51.85,51.85,0.0,0.0,51.79,51.79,51.79,0.0,0.0,51.82,51.82,51.82,0.0,0.0
2019-11-10,52.08,52.08,52.08,0.0,0.0,52.14,52.14,52.14,0.0,0.0,52.08,52.08,52.08,0.0,0.0,52.1,52.1,52.1,0.0,0.0
2019-11-17,52.22,52.22,52.22,0.0,0.0,52.28,52.28,52.28,0.0,0.0,52.22,52.22,52.22,0.0,0.0,52.27,52.27,52.27,0.0,0.0
2019-11-24,51.98,51.98,51.98,0.0,0.0,52.04,52.04,52.04,0.0,0.0,51.96,51.96,51.96,0.0,0.0,52.02,52.02,52.02,0.0,0.0
2019-12-01,52.17,52.17,52.17,0.0,0.0,52.18,52.18,52.18,0.0,0.0,52.13,52.13,52.13,0.0,0.0,52.14,52.14,52.14,0.0,0.0
2019-12-08,52.21,52.21,52.21,0.0,0.0,52.21,52.21,52.21,0.0,0.0,52.16,52.16,52.16,0.0,0.0,52.19,52.19,52.19,0.0,0.0
2019-12-15,52.08,52.08,52.08,0.0,0.0,52.09,52.09,52.09,0.0,0.0,51.99,51.99,51.99,0.0,0.0,52.01,52.01,52.01,0.0,0.0
2019-12-22,52.09,52.09,52.09,0.0,0.0,52.18,52.18,52.18,0.0,0.0,52.06,52.06,52.06,0.0,0.0,52.18,52.18,52.18,0.0,0.0
2019-12-29,52.3,52.3,52.3,0.0,0.0,52.37,52.37,52.37,0.0,0.0,52.25,52.25,52.25,0.0,0.0,52.33,52.33,52.33,0.0,0.0
