Date,NuShares ESG Mid-Cap Growth_Open_average,NuShares ESG Mid-Cap Growth_Open_max,NuShares ESG Mid-Cap Growth_Open_min,NuShares ESG Mid-Cap Growth_Open_volatility,NuShares ESG Mid-Cap Growth_Open_change,NuShares ESG Mid-Cap Growth_High_average,NuShares ESG Mid-Cap Growth_High_max,NuShares ESG Mid-Cap Growth_High_min,NuShares ESG Mid-Cap Growth_High_volatility,NuShares ESG Mid-Cap Growth_High_change,NuShares ESG Mid-Cap Growth_Low_average,NuShares ESG Mid-Cap Growth_Low_max,NuShares ESG Mid-Cap Growth_Low_min,NuShares ESG Mid-Cap Growth_Low_volatility,NuShares ESG Mid-Cap Growth_Low_change,NuShares ESG Mid-Cap Growth_Close_average,NuShares ESG Mid-Cap Growth_Close_max,NuShares ESG Mid-Cap Growth_Close_min,NuShares ESG Mid-Cap Growth_Close_volatility,NuShares ESG Mid-Cap Growth_Close_change
2018-06-03,32.13,32.13,32.13,0.0,0.0,32.13,32.13,32.13,0.0,0.0,32.12,32.12,32.12,0.0,0.0,32.12,32.12,32.12,0.0,0.0
2018-06-10,32.35,32.35,32.35,0.0,0.0,32.38,32.38,32.38,0.0,0.0,32.32,32.32,32.32,0.0,0.0,32.36,32.36,32.36,0.0,0.0
2018-06-17,31.42,31.42,31.42,0.0,0.0,31.42,31.42,31.42,0.0,0.0,31.18,31.18,31.18,0.0,0.0,31.18,31.18,31.18,0.0,0.0
2018-06-24,31.13,31.13,31.13,0.0,0.0,31.13,31.13,31.13,0.0,0.0,30.98,30.98,30.98,0.0,0.0,30.99,30.99,30.99,0.0,0.0
2018-07-01,32.0,32.0,32.0,0.0,0.0,32.0,32.0,32.0,0.0,0.0,31.97,31.97,31.97,0.0,0.0,31.98,31.98,31.98,0.0,0.0
2018-07-08,32.28,32.28,32.28,0.0,0.0,32.28,32.28,32.28,0.0,0.0,32.05,32.05,32.05,0.0,0.0,32.08,32.08,32.08,0.0,0.0
2018-07-15,32.53,32.53,32.53,0.0,0.0,32.53,32.53,32.53,0.0,0.0,32.37,32.37,32.37,0.0,0.0,32.46,32.46,32.46,0.0,0.0
2018-07-22,32.05,32.05,32.05,0.0,0.0,32.05,32.05,32.05,0.0,0.0,32.03,32.03,32.03,0.0,0.0,32.03,32.03,32.03,0.0,0.0
2018-07-29,32.8,32.8,32.8,0.0,0.0,32.92,32.92,32.92,0.0,0.0,32.8,32.8,32.8,0.0,0.0,32.92,32.92,32.92,0.0,0.0
2018-08-05,32.93,32.93,32.93,0.0,0.0,32.93,32.93,32.93,0.0,0.0,32.71,32.71,32.71,0.0,0.0,32.71,32.71,32.71,0.0,0.0
2018-08-12,32.84,32.84,32.84,0.0,0.0,33.09,33.09,33.09,0.0,0.0,32.84,32.84,32.84,0.0,0.0,33.05,33.05,33.05,0.0,0.0
2018-08-19,33.85,33.85,33.85,0.0,0.0,34.1,34.1,34.1,0.0,0.0,33.85,33.85,33.85,0.0,0.0,34.1,34.1,34.1,0.0,0.0
2018-08-26,33.91,33.91,33.91,0.0,0.0,33.99,33.99,33.99,0.0,0.0,33.91,33.91,33.91,0.0,0.0,33.99,33.99,33.99,0.0,0.0
2018-09-02,34.04,34.04,34.04,0.0,0.0,34.05,34.05,34.05,0.0,0.0,34.03,34.03,34.03,0.0,0.0,34.03,34.03,34.03,0.0,0.0
2018-09-09,34.28,34.28,34.28,0.0,0.0,34.29,34.29,34.29,0.0,0.0,34.06,34.06,34.06,0.0,0.0,34.06,34.06,34.06,0.0,0.0
2018-09-16,34.04,34.04,34.04,0.0,0.0,34.18,34.18,34.18,0.0,0.0,34.04,34.04,34.04,0.0,0.0,34.17,34.17,34.17,0.0,0.0
2018-09-23,34.54,34.54,34.54,0.0,0.0,34.54,34.54,34.54,0.0,0.0,34.13,34.13,34.13,0.0,0.0,34.13,34.13,34.13,0.0,0.0
2018-09-30,32.71,32.71,32.71,0.0,0.0,32.75,32.75,32.75,0.0,0.0,32.38,32.38,32.38,0.0,0.0,32.49,32.49,32.49,0.0,0.0
2018-10-07,30.72,30.72,30.72,0.0,0.0,30.96,30.96,30.96,0.0,0.0,30.67,30.67,30.67,0.0,0.0,30.76,30.76,30.76,0.0,0.0
2018-10-14,30.49,30.49,30.49,0.0,0.0,30.57,30.57,30.57,0.0,0.0,30.44,30.44,30.44,0.0,0.0,30.55,30.55,30.55,0.0,0.0
2018-10-21,29.41,29.41,29.41,0.0,0.0,29.41,29.41,29.41,0.0,0.0,28.27,28.27,28.27,0.0,0.0,28.63,28.63,28.63,0.0,0.0
2018-10-28,30.85,30.85,30.85,0.0,0.0,30.85,30.85,30.85,0.0,0.0,30.54,30.54,30.54,0.0,0.0,30.74,30.74,30.74,0.0,0.0
2018-11-04,30.3,30.3,30.3,0.0,0.0,30.3,30.3,30.3,0.0,0.0,30.1,30.1,30.1,0.0,0.0,30.1,30.1,30.1,0.0,0.0
2018-11-11,30.14,30.14,30.14,0.0,0.0,30.14,30.14,30.14,0.0,0.0,29.66,29.66,29.66,0.0,0.0,29.67,29.67,29.67,0.0,0.0
2018-11-18,29.79,29.79,29.79,0.0,0.0,30.05,30.05,30.05,0.0,0.0,29.79,29.79,29.79,0.0,0.0,30.05,30.05,30.05,0.0,0.0
2018-11-25,31.48,31.48,31.48,0.0,0.0,31.48,31.48,31.48,0.0,0.0,31.05,31.05,31.05,0.0,0.0,31.18,31.18,31.18,0.0,0.0
2018-12-02,29.0,29.0,29.0,0.0,0.0,29.3,29.3,29.3,0.0,0.0,29.0,29.0,29.0,0.0,0.0,29.26,29.26,29.26,0.0,0.0
2018-12-09,28.35,28.35,28.35,0.0,0.0,28.35,28.35,28.35,0.0,0.0,27.89,27.89,27.89,0.0,0.0,27.93,27.93,27.93,0.0,0.0
2018-12-16,26.24,26.24,26.24,0.0,0.0,26.29,26.29,26.29,0.0,0.0,25.92,25.92,25.92,0.0,0.0,25.92,25.92,25.92,0.0,0.0
2018-12-23,26.16,26.16,26.16,0.0,0.0,26.25,26.25,26.25,0.0,0.0,26.12,26.12,26.12,0.0,0.0,26.22,26.22,26.22,0.0,0.0
2018-12-30,26.53,26.53,26.53,0.0,0.0,26.92,26.92,26.92,0.0,0.0,26.53,26.53,26.53,0.0,0.0,26.74,26.74,26.74,0.0,0.0
2019-01-06,27.28,27.28,27.28,0.0,0.0,27.48,27.48,27.48,0.0,0.0,27.28,27.28,27.28,0.0,0.0,27.4,27.4,27.4,0.0,0.0
2019-01-13,28.11,28.11,28.11,0.0,0.0,28.35,28.35,28.35,0.0,0.0,28.11,28.11,28.11,0.0,0.0,28.34,28.34,28.34,0.0,0.0
2019-01-20,28.11,28.11,28.11,0.0,0.0,28.15,28.15,28.15,0.0,0.0,28.09,28.09,28.09,0.0,0.0,28.15,28.15,28.15,0.0,0.0
2019-01-27,28.89,28.89,28.89,0.0,0.0,29.17,29.17,29.17,0.0,0.0,28.89,28.89,28.89,0.0,0.0,29.17,29.17,29.17,0.0,0.0
2019-02-03,29.3,29.3,29.3,0.0,0.0,29.36,29.36,29.36,0.0,0.0,29.3,29.3,29.3,0.0,0.0,29.31,29.31,29.31,0.0,0.0
2019-02-10,30.08,30.08,30.08,0.0,0.0,30.08,30.08,30.08,0.0,0.0,30.02,30.02,30.02,0.0,0.0,30.07,30.07,30.07,0.0,0.0
2019-02-17,30.84,30.84,30.84,0.0,0.0,30.84,30.84,30.84,0.0,0.0,30.59,30.59,30.59,0.0,0.0,30.59,30.59,30.59,0.0,0.0
2019-02-24,30.86,30.86,30.86,0.0,0.0,30.86,30.86,30.86,0.0,0.0,30.42,30.42,30.42,0.0,0.0,30.66,30.66,30.66,0.0,0.0
2019-03-03,30.42,30.42,30.42,0.0,0.0,30.6,30.6,30.6,0.0,0.0,30.42,30.42,30.42,0.0,0.0,30.6,30.6,30.6,0.0,0.0
2019-03-10,31.08,31.08,31.08,0.0,0.0,31.09,31.09,31.09,0.0,0.0,30.88,30.88,30.88,0.0,0.0,31.09,31.09,31.09,0.0,0.0
2019-03-17,30.77,30.77,30.77,0.0,0.0,30.77,30.77,30.77,0.0,0.0,30.66,30.66,30.66,0.0,0.0,30.71,30.71,30.71,0.0,0.0
2019-03-24,31.67,31.67,31.67,0.0,0.0,31.75,31.75,31.75,0.0,0.0,31.62,31.62,31.62,0.0,0.0,31.75,31.75,31.75,0.0,0.0
2019-03-31,31.88,31.88,31.88,0.0,0.0,32.1,32.1,32.1,0.0,0.0,31.88,31.88,31.88,0.0,0.0,32.1,32.1,32.1,0.0,0.0
2019-04-07,32.35,32.35,32.35,0.0,0.0,32.45,32.45,32.45,0.0,0.0,32.35,32.35,32.35,0.0,0.0,32.45,32.45,32.45,0.0,0.0
2019-04-14,32.13,32.13,32.13,0.0,0.0,32.14,32.14,32.14,0.0,0.0,32.07,32.07,32.07,0.0,0.0,32.13,32.13,32.13,0.0,0.0
2019-04-21,32.59,32.59,32.59,0.0,0.0,32.59,32.59,32.59,0.0,0.0,32.44,32.44,32.44,0.0,0.0,32.44,32.44,32.44,0.0,0.0
2019-04-28,32.29,32.29,32.29,0.0,0.0,32.74,32.74,32.74,0.0,0.0,32.29,32.29,32.29,0.0,0.0,32.66,32.66,32.66,0.0,0.0
2019-05-05,31.61,31.61,31.61,0.0,0.0,31.61,31.61,31.61,0.0,0.0,31.24,31.24,31.24,0.0,0.0,31.33,31.33,31.33,0.0,0.0
2019-05-12,31.65,31.65,31.65,0.0,0.0,31.67,31.67,31.67,0.0,0.0,31.48,31.48,31.48,0.0,0.0,31.6,31.6,31.6,0.0,0.0
2019-05-19,31.67,31.67,31.67,0.0,0.0,31.67,31.67,31.67,0.0,0.0,31.52,31.52,31.52,0.0,0.0,31.54,31.54,31.54,0.0,0.0
2019-05-26,30.92,30.92,30.92,0.0,0.0,31.16,31.16,31.16,0.0,0.0,30.92,30.92,30.92,0.0,0.0,31.0,31.0,31.0,0.0,0.0
2019-06-02,33.08,33.08,33.08,0.0,0.0,33.29,33.29,33.29,0.0,0.0,33.08,33.08,33.08,0.0,0.0,33.1,33.1,33.1,0.0,0.0
2019-06-09,32.94,32.94,32.94,0.0,0.0,32.94,32.94,32.94,0.0,0.0,32.79,32.79,32.79,0.0,0.0,32.79,32.79,32.79,0.0,0.0
2019-06-16,33.5,33.5,33.5,0.0,0.0,33.51,33.51,33.51,0.0,0.0,33.38,33.38,33.38,0.0,0.0,33.38,33.38,33.38,0.0,0.0
2019-06-23,34.24,34.24,34.24,0.0,0.0,34.24,34.24,34.24,0.0,0.0,33.86,33.86,33.86,0.0,0.0,33.95,33.95,33.95,0.0,0.0
2019-06-30,34.11,34.11,34.11,0.0,0.0,34.11,34.11,34.11,0.0,0.0,33.87,33.87,33.87,0.0,0.0,33.91,33.91,33.91,0.0,0.0
2019-07-07,34.25,34.25,34.25,0.0,0.0,34.35,34.35,34.35,0.0,0.0,34.25,34.25,34.25,0.0,0.0,34.33,34.33,34.33,0.0,0.0
2019-07-14,33.91,33.91,33.91,0.0,0.0,34.45,34.45,34.45,0.0,0.0,33.91,33.91,33.91,0.0,0.0,33.94,33.94,33.94,0.0,0.0
2019-07-21,33.99,33.99,33.99,0.0,0.0,34.04,34.04,34.04,0.0,0.0,33.97,33.97,33.97,0.0,0.0,34.04,34.04,34.04,0.0,0.0
2019-07-28,32.48,32.48,32.48,0.0,0.0,32.48,32.48,32.48,0.0,0.0,31.49,31.49,31.49,0.0,0.0,31.69,31.69,31.69,0.0,0.0
2019-08-04,32.4,32.4,32.4,0.0,0.0,32.45,32.45,32.45,0.0,0.0,32.08,32.08,32.08,0.0,0.0,32.22,32.22,32.22,0.0,0.0
2019-08-11,32.52,32.52,32.52,0.0,0.0,32.57,32.57,32.57,0.0,0.0,32.48,32.48,32.48,0.0,0.0,32.48,32.48,32.48,0.0,0.0
2019-08-18,31.73,31.73,31.73,0.0,0.0,31.94,31.94,31.94,0.0,0.0,31.73,31.73,31.73,0.0,0.0,31.91,31.91,31.91,0.0,0.0
2019-08-25,32.6,32.6,32.6,0.0,0.0,32.66,32.66,32.66,0.0,0.0,32.46,32.46,32.46,0.0,0.0,32.58,32.58,32.58,0.0,0.0
2019-09-01,33.2,33.2,33.2,0.0,0.0,33.2,33.2,33.2,0.0,0.0,32.77,32.77,32.77,0.0,0.0,32.85,32.85,32.85,0.0,0.0
2019-09-08,32.99,32.99,32.99,0.0,0.0,33.23,33.23,33.23,0.0,0.0,32.99,32.99,32.99,0.0,0.0,33.23,33.23,33.23,0.0,0.0
2019-09-15,33.08,33.08,33.08,0.0,0.0,33.17,33.17,33.17,0.0,0.0,33.06,33.06,33.06,0.0,0.0,33.06,33.06,33.06,0.0,0.0
2019-09-22,32.62,32.62,32.62,0.0,0.0,32.77,32.77,32.77,0.0,0.0,32.62,32.62,32.62,0.0,0.0,32.73,32.73,32.73,0.0,0.0
2019-09-29,32.18,32.18,32.18,0.0,0.0,32.43,32.43,32.43,0.0,0.0,32.18,32.18,32.18,0.0,0.0,32.26,32.26,32.26,0.0,0.0
2019-10-06,32.51,32.51,32.51,0.0,0.0,32.68,32.68,32.68,0.0,0.0,32.51,32.51,32.51,0.0,0.0,32.6,32.6,32.6,0.0,0.0
2019-10-13,33.07,33.07,33.07,0.0,0.0,33.19,33.19,33.19,0.0,0.0,32.98,32.98,32.98,0.0,0.0,33.13,33.13,33.13,0.0,0.0
2019-10-20,33.67,33.67,33.67,0.0,0.0,33.72,33.72,33.72,0.0,0.0,33.63,33.63,33.63,0.0,0.0,33.66,33.66,33.66,0.0,0.0
2019-10-27,33.74,33.74,33.74,0.0,0.0,33.74,33.74,33.74,0.0,0.0,33.64,33.64,33.64,0.0,0.0,33.67,33.67,33.67,0.0,0.0
2019-11-03,33.66,33.66,33.66,0.0,0.0,33.69,33.69,33.69,0.0,0.0,33.62,33.62,33.62,0.0,0.0,33.68,33.68,33.68,0.0,0.0
2019-11-10,34.33,34.33,34.33,0.0,0.0,34.33,34.33,34.33,0.0,0.0,34.2,34.2,34.2,0.0,0.0,34.26,34.26,34.26,0.0,0.0
2019-11-17,34.62,34.62,34.62,0.0,0.0,34.7,34.7,34.7,0.0,0.0,34.6,34.6,34.6,0.0,0.0,34.63,34.63,34.63,0.0,0.0
2019-11-24,34.47,34.47,34.47,0.0,0.0,34.56,34.56,34.56,0.0,0.0,34.42,34.42,34.42,0.0,0.0,34.45,34.45,34.45,0.0,0.0
2019-12-01,34.82,34.82,34.82,0.0,0.0,34.82,34.82,34.82,0.0,0.0,34.67,34.67,34.67,0.0,0.0,34.67,34.67,34.67,0.0,0.0
2019-12-08,35.03,35.03,35.03,0.0,0.0,35.09,35.09,35.09,0.0,0.0,35.01,35.01,35.01,0.0,0.0,35.01,35.01,35.01,0.0,0.0
2019-12-15,35.44,35.44,35.44,0.0,0.0,35.44,35.44,35.44,0.0,0.0,35.27,35.27,35.27,0.0,0.0,35.29,35.29,35.29,0.0,0.0
2019-12-22,35.52,35.52,35.52,0.0,0.0,35.52,35.52,35.52,0.0,0.0,35.05,35.05,35.05,0.0,0.0,35.17,35.17,35.17,0.0,0.0
2019-12-29,35.17,35.17,35.17,0.0,0.0,35.55,35.55,35.55,0.0,0.0,35.17,35.17,35.17,0.0,0.0,35.54,35.54,35.54,0.0,0.0
