Date,iShares Intermediate GovtCredit Bond_Open_average,iShares Intermediate GovtCredit Bond_Open_max,iShares Intermediate GovtCredit Bond_Open_min,iShares Intermediate GovtCredit Bond_Open_volatility,iShares Intermediate GovtCredit Bond_Open_change,iShares Intermediate GovtCredit Bond_High_average,iShares Intermediate GovtCredit Bond_High_max,iShares Intermediate GovtCredit Bond_High_min,iShares Intermediate GovtCredit Bond_High_volatility,iShares Intermediate GovtCredit Bond_High_change,iShares Intermediate GovtCredit Bond_Low_average,iShares Intermediate GovtCredit Bond_Low_max,iShares Intermediate GovtCredit Bond_Low_min,iShares Intermediate GovtCredit Bond_Low_volatility,iShares Intermediate GovtCredit Bond_Low_change,iShares Intermediate GovtCredit Bond_Close_average,iShares Intermediate GovtCredit Bond_Close_max,iShares Intermediate GovtCredit Bond_Close_min,iShares Intermediate GovtCredit Bond_Close_volatility,iShares Intermediate GovtCredit Bond_Close_change
2018-04-01,108.12,108.12,108.12,0.0,0.0,108.2,108.2,108.2,0.0,0.0,107.96,107.96,107.96,0.0,0.0,108.19,108.19,108.19,0.0,0.0
2018-04-08,107.73,107.73,107.73,0.0,0.0,107.91,107.91,107.91,0.0,0.0,107.73,107.73,107.73,0.0,0.0,107.84,107.84,107.84,0.0,0.0
2018-04-15,107.36,107.36,107.36,0.0,0.0,107.5,107.5,107.5,0.0,0.0,107.32,107.32,107.32,0.0,0.0,107.38,107.38,107.38,0.0,0.0
2018-04-22,107.56,107.56,107.56,0.0,0.0,107.6,107.6,107.6,0.0,0.0,107.42,107.42,107.42,0.0,0.0,107.52,107.52,107.52,0.0,0.0
2018-04-29,107.33,107.33,107.33,0.0,0.0,107.39,107.39,107.39,0.0,0.0,107.29,107.29,107.29,0.0,0.0,107.37,107.37,107.37,0.0,0.0
2018-05-06,107.25,107.25,107.25,0.0,0.0,107.34,107.34,107.34,0.0,0.0,107.18,107.18,107.18,0.0,0.0,107.26,107.26,107.26,0.0,0.0
2018-05-13,107.0,107.0,107.0,0.0,0.0,107.14,107.14,107.14,0.0,0.0,107.0,107.0,107.0,0.0,0.0,107.07,107.07,107.07,0.0,0.0
2018-05-20,107.8,107.8,107.8,0.0,0.0,107.8,107.8,107.8,0.0,0.0,107.59,107.59,107.59,0.0,0.0,107.63,107.63,107.63,0.0,0.0
2018-05-27,107.4,107.4,107.4,0.0,0.0,107.53,107.53,107.53,0.0,0.0,107.38,107.38,107.38,0.0,0.0,107.38,107.38,107.38,0.0,0.0
2018-06-03,107.31,107.31,107.31,0.0,0.0,107.39,107.39,107.39,0.0,0.0,107.29,107.29,107.29,0.0,0.0,107.39,107.39,107.39,0.0,0.0
2018-06-10,107.54,107.54,107.54,0.0,0.0,107.54,107.54,107.54,0.0,0.0,107.38,107.38,107.38,0.0,0.0,107.48,107.48,107.48,0.0,0.0
2018-06-17,107.64,107.64,107.64,0.0,0.0,107.64,107.64,107.64,0.0,0.0,107.51,107.51,107.51,0.0,0.0,107.58,107.58,107.58,0.0,0.0
2018-06-24,107.69,107.69,107.69,0.0,0.0,107.69,107.69,107.69,0.0,0.0,107.42,107.42,107.42,0.0,0.0,107.42,107.42,107.42,0.0,0.0
2018-07-01,107.65,107.65,107.65,0.0,0.0,107.66,107.66,107.66,0.0,0.0,107.5,107.5,107.5,0.0,0.0,107.62,107.62,107.62,0.0,0.0
2018-07-08,107.69,107.69,107.69,0.0,0.0,107.71,107.71,107.71,0.0,0.0,107.59,107.59,107.59,0.0,0.0,107.7,107.7,107.7,0.0,0.0
2018-07-15,107.66,107.66,107.66,0.0,0.0,107.66,107.66,107.66,0.0,0.0,107.39,107.39,107.39,0.0,0.0,107.42,107.42,107.42,0.0,0.0
2018-07-22,107.48,107.48,107.48,0.0,0.0,107.58,107.58,107.58,0.0,0.0,107.45,107.45,107.45,0.0,0.0,107.5,107.5,107.5,0.0,0.0
2018-07-29,107.52,107.52,107.52,0.0,0.0,107.6,107.6,107.6,0.0,0.0,107.51,107.51,107.51,0.0,0.0,107.52,107.52,107.52,0.0,0.0
2018-08-05,107.73,107.73,107.73,0.0,0.0,107.81,107.81,107.81,0.0,0.0,107.7,107.7,107.7,0.0,0.0,107.74,107.74,107.74,0.0,0.0
2018-08-12,107.9,107.9,107.9,0.0,0.0,108.06,108.06,108.06,0.0,0.0,107.88,107.88,107.88,0.0,0.0,108.0,108.0,108.0,0.0,0.0
2018-08-19,108.04,108.04,108.04,0.0,0.0,108.04,108.04,108.04,0.0,0.0,107.85,107.85,107.85,0.0,0.0,107.86,107.86,107.86,0.0,0.0
2018-08-26,107.98,107.98,107.98,0.0,0.0,108.02,108.02,108.02,0.0,0.0,107.9,107.9,107.9,0.0,0.0,107.9,107.9,107.9,0.0,0.0
2018-09-02,107.45,107.45,107.45,0.0,0.0,107.57,107.57,107.57,0.0,0.0,107.43,107.43,107.43,0.0,0.0,107.51,107.51,107.51,0.0,0.0
2018-09-09,107.28,107.28,107.28,0.0,0.0,107.38,107.38,107.38,0.0,0.0,107.27,107.27,107.27,0.0,0.0,107.37,107.37,107.37,0.0,0.0
2018-09-16,107.11,107.11,107.11,0.0,0.0,107.25,107.25,107.25,0.0,0.0,107.08,107.08,107.08,0.0,0.0,107.24,107.24,107.24,0.0,0.0
2018-09-23,107.08,107.08,107.08,0.0,0.0,107.12,107.12,107.12,0.0,0.0,107.0,107.0,107.0,0.0,0.0,107.06,107.06,107.06,0.0,0.0
2018-09-30,106.55,106.55,106.55,0.0,0.0,106.76,106.76,106.76,0.0,0.0,106.55,106.55,106.55,0.0,0.0,106.66,106.66,106.66,0.0,0.0
2018-10-07,106.92,106.92,106.92,0.0,0.0,106.96,106.96,106.96,0.0,0.0,106.83,106.83,106.83,0.0,0.0,106.84,106.84,106.84,0.0,0.0
2018-10-14,106.78,106.78,106.78,0.0,0.0,106.84,106.84,106.84,0.0,0.0,106.71,106.71,106.71,0.0,0.0,106.71,106.71,106.71,0.0,0.0
2018-10-21,107.14,107.14,107.14,0.0,0.0,107.21,107.21,107.21,0.0,0.0,107.05,107.05,107.05,0.0,0.0,107.16,107.16,107.16,0.0,0.0
2018-10-28,106.65,106.65,106.65,0.0,0.0,106.7,106.7,106.7,0.0,0.0,106.56,106.56,106.56,0.0,0.0,106.56,106.56,106.56,0.0,0.0
2018-11-04,106.44,106.44,106.44,0.0,0.0,106.98,106.98,106.98,0.0,0.0,106.44,106.44,106.44,0.0,0.0,106.77,106.77,106.77,0.0,0.0
2018-11-11,107.04,107.04,107.04,0.0,0.0,107.13,107.13,107.13,0.0,0.0,106.95,106.95,106.95,0.0,0.0,107.07,107.07,107.07,0.0,0.0
2018-11-18,107.1,107.1,107.1,0.0,0.0,107.17,107.17,107.17,0.0,0.0,107.02,107.02,107.02,0.0,0.0,107.08,107.08,107.08,0.0,0.0
2018-11-25,107.02,107.02,107.02,0.0,0.0,107.16,107.16,107.16,0.0,0.0,106.99,106.99,106.99,0.0,0.0,107.11,107.11,107.11,0.0,0.0
2018-12-02,107.47,107.47,107.47,0.0,0.0,107.63,107.63,107.63,0.0,0.0,107.41,107.41,107.41,0.0,0.0,107.48,107.48,107.48,0.0,0.0
2018-12-09,107.51,107.51,107.51,0.0,0.0,107.74,107.74,107.74,0.0,0.0,107.43,107.43,107.43,0.0,0.0,107.67,107.67,107.67,0.0,0.0
2018-12-16,107.75,107.75,107.75,0.0,0.0,107.89,107.89,107.89,0.0,0.0,107.68,107.68,107.68,0.0,0.0,107.81,107.81,107.81,0.0,0.0
2018-12-23,108.1,108.1,108.1,0.0,0.0,108.31,108.31,108.31,0.0,0.0,107.99,107.99,107.99,0.0,0.0,108.22,108.22,108.22,0.0,0.0
2018-12-30,108.41,108.41,108.41,0.0,0.0,108.46,108.46,108.46,0.0,0.0,108.14,108.14,108.14,0.0,0.0,108.14,108.14,108.14,0.0,0.0
2019-01-06,108.38,108.38,108.38,0.0,0.0,108.46,108.46,108.46,0.0,0.0,108.2,108.2,108.2,0.0,0.0,108.25,108.25,108.25,0.0,0.0
2019-01-13,108.2,108.2,108.2,0.0,0.0,108.3,108.3,108.3,0.0,0.0,108.14,108.14,108.14,0.0,0.0,108.24,108.24,108.24,0.0,0.0
2019-01-20,108.4,108.4,108.4,0.0,0.0,108.5,108.5,108.5,0.0,0.0,108.4,108.4,108.4,0.0,0.0,108.41,108.41,108.41,0.0,0.0
2019-01-27,108.58,108.58,108.58,0.0,0.0,108.64,108.64,108.64,0.0,0.0,108.51,108.51,108.51,0.0,0.0,108.54,108.54,108.54,0.0,0.0
2019-02-03,108.85,108.85,108.85,0.0,0.0,108.9,108.9,108.9,0.0,0.0,108.82,108.82,108.82,0.0,0.0,108.84,108.84,108.84,0.0,0.0
2019-02-10,108.9,108.9,108.9,0.0,0.0,108.98,108.98,108.98,0.0,0.0,108.84,108.84,108.84,0.0,0.0,108.93,108.93,108.93,0.0,0.0
2019-02-17,109.05,109.05,109.05,0.0,0.0,109.07,109.07,109.07,0.0,0.0,108.96,108.96,108.96,0.0,0.0,109.05,109.05,109.05,0.0,0.0
2019-02-24,108.64,108.64,108.64,0.0,0.0,108.79,108.79,108.79,0.0,0.0,108.64,108.64,108.64,0.0,0.0,108.74,108.74,108.74,0.0,0.0
2019-03-03,109.09,109.09,109.09,0.0,0.0,109.13,109.13,109.13,0.0,0.0,109.06,109.06,109.06,0.0,0.0,109.08,109.08,109.08,0.0,0.0
2019-03-10,109.37,109.37,109.37,0.0,0.0,109.39,109.39,109.39,0.0,0.0,109.3,109.3,109.3,0.0,0.0,109.31,109.31,109.31,0.0,0.0
2019-03-17,110.05,110.05,110.05,0.0,0.0,110.35,110.35,110.35,0.0,0.0,110.03,110.03,110.03,0.0,0.0,110.24,110.24,110.24,0.0,0.0
2019-03-24,109.87,109.87,109.87,0.0,0.0,109.93,109.93,109.93,0.0,0.0,109.72,109.72,109.72,0.0,0.0,109.75,109.75,109.75,0.0,0.0
2019-03-31,109.87,109.87,109.87,0.0,0.0,109.87,109.87,109.87,0.0,0.0,109.78,109.78,109.78,0.0,0.0,109.8,109.8,109.8,0.0,0.0
2019-04-07,109.72,109.72,109.72,0.0,0.0,109.82,109.82,109.82,0.0,0.0,109.72,109.72,109.72,0.0,0.0,109.77,109.77,109.77,0.0,0.0
2019-04-14,109.82,109.82,109.82,0.0,0.0,109.82,109.82,109.82,0.0,0.0,109.69,109.69,109.69,0.0,0.0,109.7,109.7,109.7,0.0,0.0
2019-04-21,110.15,110.15,110.15,0.0,0.0,110.15,110.15,110.15,0.0,0.0,110.03,110.03,110.03,0.0,0.0,110.08,110.08,110.08,0.0,0.0
2019-04-28,109.99,109.99,109.99,0.0,0.0,110.02,110.02,110.02,0.0,0.0,109.93,109.93,109.93,0.0,0.0,109.95,109.95,109.95,0.0,0.0
2019-05-05,110.28,110.28,110.28,0.0,0.0,110.42,110.42,110.42,0.0,0.0,110.25,110.25,110.25,0.0,0.0,110.3,110.3,110.3,0.0,0.0
2019-05-12,110.4,110.4,110.4,0.0,0.0,110.44,110.44,110.44,0.0,0.0,110.27,110.27,110.27,0.0,0.0,110.3,110.3,110.3,0.0,0.0
2019-05-19,110.66,110.66,110.66,0.0,0.0,110.69,110.69,110.69,0.0,0.0,110.59,110.59,110.59,0.0,0.0,110.64,110.64,110.64,0.0,0.0
2019-05-26,111.27,111.27,111.27,0.0,0.0,111.57,111.57,111.57,0.0,0.0,111.23,111.23,111.23,0.0,0.0,111.5,111.5,111.5,0.0,0.0
2019-06-02,111.51,111.51,111.51,0.0,0.0,111.51,111.51,111.51,0.0,0.0,111.37,111.37,111.37,0.0,0.0,111.37,111.37,111.37,0.0,0.0
2019-06-09,111.62,111.62,111.62,0.0,0.0,111.71,111.71,111.71,0.0,0.0,111.6,111.6,111.6,0.0,0.0,111.62,111.62,111.62,0.0,0.0
2019-06-16,112.15,112.15,112.15,0.0,0.0,112.32,112.32,112.32,0.0,0.0,112.15,112.15,112.15,0.0,0.0,112.31,112.31,112.31,0.0,0.0
2019-06-23,112.36,112.36,112.36,0.0,0.0,112.36,112.36,112.36,0.0,0.0,111.99,111.99,111.99,0.0,0.0,112.07,112.07,112.07,0.0,0.0
2019-06-30,112.0,112.0,112.0,0.0,0.0,112.0,112.0,112.0,0.0,0.0,111.81,111.81,111.81,0.0,0.0,111.83,111.83,111.83,0.0,0.0
2019-07-07,111.78,111.78,111.78,0.0,0.0,111.95,111.95,111.95,0.0,0.0,111.78,111.78,111.78,0.0,0.0,111.89,111.89,111.89,0.0,0.0
2019-07-14,112.25,112.25,112.25,0.0,0.0,112.25,112.25,112.25,0.0,0.0,112.1,112.1,112.1,0.0,0.0,112.1,112.1,112.1,0.0,0.0
2019-07-21,112.2,112.2,112.2,0.0,0.0,112.22,112.22,112.22,0.0,0.0,112.05,112.05,112.05,0.0,0.0,112.07,112.07,112.07,0.0,0.0
2019-07-28,113.04,113.04,113.04,0.0,0.0,113.09,113.09,113.09,0.0,0.0,112.91,112.91,112.91,0.0,0.0,113.03,113.03,113.03,0.0,0.0
2019-08-04,113.11,113.11,113.11,0.0,0.0,113.32,113.32,113.32,0.0,0.0,113.1,113.1,113.1,0.0,0.0,113.26,113.26,113.26,0.0,0.0
2019-08-11,113.47,113.47,113.47,0.0,0.0,113.47,113.47,113.47,0.0,0.0,113.33,113.33,113.33,0.0,0.0,113.36,113.36,113.36,0.0,0.0
2019-08-18,113.82,113.82,113.82,0.0,0.0,113.84,113.84,113.84,0.0,0.0,113.64,113.64,113.64,0.0,0.0,113.75,113.75,113.75,0.0,0.0
2019-08-25,113.79,113.79,113.79,0.0,0.0,113.94,113.94,113.94,0.0,0.0,113.7,113.7,113.7,0.0,0.0,113.93,113.93,113.93,0.0,0.0
2019-09-01,113.27,113.27,113.27,0.0,0.0,113.41,113.41,113.41,0.0,0.0,113.23,113.23,113.23,0.0,0.0,113.25,113.25,113.25,0.0,0.0
2019-09-08,112.37,112.37,112.37,0.0,0.0,112.52,112.52,112.52,0.0,0.0,112.32,112.32,112.32,0.0,0.0,112.51,112.51,112.51,0.0,0.0
2019-09-15,113.02,113.02,113.02,0.0,0.0,113.21,113.21,113.21,0.0,0.0,112.99,112.99,112.99,0.0,0.0,113.02,113.02,113.02,0.0,0.0
2019-09-22,113.06,113.06,113.06,0.0,0.0,113.28,113.28,113.28,0.0,0.0,113.06,113.06,113.06,0.0,0.0,113.22,113.22,113.22,0.0,0.0
2019-09-29,113.76,113.76,113.76,0.0,0.0,113.78,113.78,113.78,0.0,0.0,113.62,113.62,113.62,0.0,0.0,113.67,113.67,113.67,0.0,0.0
2019-10-06,113.15,113.15,113.15,0.0,0.0,113.18,113.18,113.18,0.0,0.0,113.02,113.02,113.02,0.0,0.0,113.02,113.02,113.02,0.0,0.0
2019-10-13,113.03,113.03,113.03,0.0,0.0,113.1,113.1,113.1,0.0,0.0,112.97,112.97,112.97,0.0,0.0,112.99,112.99,112.99,0.0,0.0
2019-10-20,112.83,112.83,112.83,0.0,0.0,112.9,112.9,112.9,0.0,0.0,112.77,112.77,112.77,0.0,0.0,112.85,112.85,112.85,0.0,0.0
2019-10-27,113.08,113.08,113.08,0.0,0.0,113.11,113.11,113.11,0.0,0.0,112.89,112.89,112.89,0.0,0.0,112.91,112.91,112.91,0.0,0.0
2019-11-03,112.51,112.51,112.51,0.0,0.0,112.52,112.52,112.52,0.0,0.0,112.42,112.42,112.42,0.0,0.0,112.52,112.52,112.52,0.0,0.0
2019-11-10,112.97,112.97,112.97,0.0,0.0,113.01,113.01,113.01,0.0,0.0,112.92,112.92,112.92,0.0,0.0,112.97,112.97,112.97,0.0,0.0
2019-11-17,113.12,113.12,113.12,0.0,0.0,113.13,113.13,113.13,0.0,0.0,112.95,112.95,112.95,0.0,0.0,113.08,113.08,113.08,0.0,0.0
2019-11-24,112.57,112.57,112.57,0.0,0.0,112.76,112.76,112.76,0.0,0.0,112.57,112.57,112.57,0.0,0.0,112.68,112.68,112.68,0.0,0.0
2019-12-01,112.94,112.94,112.94,0.0,0.0,112.94,112.94,112.94,0.0,0.0,112.76,112.76,112.76,0.0,0.0,112.8,112.8,112.8,0.0,0.0
2019-12-08,112.73,112.73,112.73,0.0,0.0,112.84,112.84,112.84,0.0,0.0,112.66,112.66,112.66,0.0,0.0,112.72,112.72,112.72,0.0,0.0
2019-12-15,112.55,112.55,112.55,0.0,0.0,112.55,112.55,112.55,0.0,0.0,112.41,112.41,112.41,0.0,0.0,112.48,112.48,112.48,0.0,0.0
2019-12-22,112.74,112.74,112.74,0.0,0.0,112.84,112.84,112.84,0.0,0.0,112.65,112.65,112.65,0.0,0.0,112.83,112.83,112.83,0.0,0.0
2019-12-29,113.04,113.04,113.04,0.0,0.0,113.18,113.18,113.18,0.0,0.0,113.01,113.01,113.01,0.0,0.0,113.13,113.13,113.13,0.0,0.0
