Date,ProShares VIX Short-Term FuturesEtf_Open_average,ProShares VIX Short-Term FuturesEtf_Open_max,ProShares VIX Short-Term FuturesEtf_Open_min,ProShares VIX Short-Term FuturesEtf_Open_volatility,ProShares VIX Short-Term FuturesEtf_Open_change,ProShares VIX Short-Term FuturesEtf_High_average,ProShares VIX Short-Term FuturesEtf_High_max,ProShares VIX Short-Term FuturesEtf_High_min,ProShares VIX Short-Term FuturesEtf_High_volatility,ProShares VIX Short-Term FuturesEtf_High_change,ProShares VIX Short-Term FuturesEtf_Low_average,ProShares VIX Short-Term FuturesEtf_Low_max,ProShares VIX Short-Term FuturesEtf_Low_min,ProShares VIX Short-Term FuturesEtf_Low_volatility,ProShares VIX Short-Term FuturesEtf_Low_change,ProShares VIX Short-Term FuturesEtf_Close_average,ProShares VIX Short-Term FuturesEtf_Close_max,ProShares VIX Short-Term FuturesEtf_Close_min,ProShares VIX Short-Term FuturesEtf_Close_volatility,ProShares VIX Short-Term FuturesEtf_Close_change
2018-06-24,30.28,30.28,30.28,0.0,0.0,30.57,30.57,30.57,0.0,0.0,29.51,29.51,29.51,0.0,0.0,30.52,30.52,30.52,0.0,0.0
2018-07-01,29.79,29.79,29.79,0.0,0.0,29.84,29.84,29.84,0.0,0.0,28.16,28.16,28.16,0.0,0.0,28.28,28.28,28.28,0.0,0.0
2018-07-08,26.47,26.47,26.47,0.0,0.0,26.68,26.68,26.68,0.0,0.0,25.85,25.85,25.85,0.0,0.0,25.92,25.92,25.92,0.0,0.0
2018-07-15,26.11,26.11,26.11,0.0,0.0,26.15,26.15,26.15,0.0,0.0,25.51,25.51,25.51,0.0,0.0,25.81,25.81,25.81,0.0,0.0
2018-07-22,24.98,24.98,24.98,0.0,0.0,26.65,26.65,26.65,0.0,0.0,24.96,24.96,24.96,0.0,0.0,25.89,25.89,25.89,0.0,0.0
2018-07-29,25.22,25.22,25.22,0.0,0.0,25.38,25.38,25.38,0.0,0.0,24.72,24.72,24.72,0.0,0.0,24.99,24.99,24.99,0.0,0.0
2018-08-05,24.57,24.57,24.57,0.0,0.0,25.21,25.21,25.21,0.0,0.0,24.21,24.21,24.21,0.0,0.0,24.67,24.67,24.67,0.0,0.0
2018-08-12,25.21,25.21,25.21,0.0,0.0,25.49,25.49,25.49,0.0,0.0,24.2,24.2,24.2,0.0,0.0,24.3,24.3,24.3,0.0,0.0
2018-08-19,23.56,23.56,23.56,0.0,0.0,23.82,23.82,23.82,0.0,0.0,23.38,23.38,23.38,0.0,0.0,23.74,23.74,23.74,0.0,0.0
2018-08-26,24.54,24.54,24.54,0.0,0.0,24.63,24.63,24.63,0.0,0.0,23.78,23.78,23.78,0.0,0.0,23.94,23.94,23.94,0.0,0.0
2018-09-02,25.51,25.51,25.51,0.0,0.0,25.82,25.82,25.82,0.0,0.0,24.96,24.96,24.96,0.0,0.0,25.43,25.43,25.43,0.0,0.0
2018-09-09,22.86,22.86,22.86,0.0,0.0,23.11,23.11,23.11,0.0,0.0,22.49,22.49,22.49,0.0,0.0,22.55,22.55,22.55,0.0,0.0
2018-09-16,21.89,21.89,21.89,0.0,0.0,22.05,22.05,22.05,0.0,0.0,21.64,21.64,21.64,0.0,0.0,21.97,21.97,21.97,0.0,0.0
2018-09-23,22.26,22.26,22.26,0.0,0.0,22.35,22.35,22.35,0.0,0.0,21.94,21.94,21.94,0.0,0.0,21.94,21.94,21.94,0.0,0.0
2018-09-30,22.62,22.62,22.62,0.0,0.0,24.65,24.65,24.65,0.0,0.0,22.23,22.23,22.23,0.0,0.0,23.34,23.34,23.34,0.0,0.0
2018-10-07,27.5,27.5,27.5,0.0,0.0,30.76,30.76,30.76,0.0,0.0,27.43,27.43,27.43,0.0,0.0,28.01,28.01,28.01,0.0,0.0
2018-10-14,28.21,28.21,28.21,0.0,0.0,29.2,29.2,29.2,0.0,0.0,27.53,27.53,27.53,0.0,0.0,28.26,28.26,28.26,0.0,0.0
2018-10-21,33.27,33.27,33.27,0.0,0.0,34.29,34.29,34.29,0.0,0.0,31.85,31.85,31.85,0.0,0.0,33.08,33.08,33.08,0.0,0.0
2018-10-28,29.46,29.46,29.46,0.0,0.0,31.33,31.33,31.33,0.0,0.0,28.99,28.99,28.99,0.0,0.0,30.16,30.16,30.16,0.0,0.0
2018-11-04,27.13,27.13,27.13,0.0,0.0,28.16,28.16,28.16,0.0,0.0,26.9,26.9,26.9,0.0,0.0,27.42,27.42,27.42,0.0,0.0
2018-11-11,30.83,30.83,30.83,0.0,0.0,31.13,31.13,31.13,0.0,0.0,28.83,28.83,28.83,0.0,0.0,28.95,28.95,28.95,0.0,0.0
2018-11-18,32.24,32.24,32.24,0.0,0.0,32.46,32.46,32.46,0.0,0.0,31.54,31.54,31.54,0.0,0.0,31.88,31.88,31.88,0.0,0.0
2018-11-25,29.4,29.4,29.4,0.0,0.0,29.52,29.52,29.52,0.0,0.0,28.19,28.19,28.19,0.0,0.0,28.37,28.37,28.37,0.0,0.0
2018-12-02,31.05,31.05,31.05,0.0,0.0,33.75,33.75,33.75,0.0,0.0,30.39,30.39,30.39,0.0,0.0,33.23,33.23,33.23,0.0,0.0
2018-12-09,32.84,32.84,32.84,0.0,0.0,33.64,33.64,33.64,0.0,0.0,32.47,32.47,32.47,0.0,0.0,33.37,33.37,33.37,0.0,0.0
2018-12-16,36.91,36.91,36.91,0.0,0.0,39.23,39.23,39.23,0.0,0.0,36.36,36.36,36.36,0.0,0.0,38.83,38.83,38.83,0.0,0.0
2018-12-23,40.22,40.22,40.22,0.0,0.0,41.42,41.42,41.42,0.0,0.0,39.17,39.17,39.17,0.0,0.0,40.15,40.15,40.15,0.0,0.0
2018-12-30,37.57,37.57,37.57,0.0,0.0,37.89,37.89,37.89,0.0,0.0,36.0,36.0,36.0,0.0,0.0,36.07,36.07,36.07,0.0,0.0
2019-01-06,33.84,33.84,33.84,0.0,0.0,33.98,33.98,33.98,0.0,0.0,32.28,32.28,32.28,0.0,0.0,32.33,32.33,32.33,0.0,0.0
2019-01-13,30.38,30.38,30.38,0.0,0.0,30.81,30.81,30.81,0.0,0.0,29.89,29.89,29.89,0.0,0.0,30.45,30.45,30.45,0.0,0.0
2019-01-20,31.1,31.1,31.1,0.0,0.0,31.31,31.31,31.31,0.0,0.0,30.51,30.51,30.51,0.0,0.0,30.64,30.64,30.64,0.0,0.0
2019-01-27,29.06,29.06,29.06,0.0,0.0,29.28,29.28,29.28,0.0,0.0,28.68,28.68,28.68,0.0,0.0,28.86,28.86,28.86,0.0,0.0
2019-02-03,29.16,29.16,29.16,0.0,0.0,29.43,29.43,29.43,0.0,0.0,28.13,28.13,28.13,0.0,0.0,28.17,28.17,28.17,0.0,0.0
2019-02-10,27.21,27.21,27.21,0.0,0.0,27.42,27.42,27.42,0.0,0.0,26.76,26.76,26.76,0.0,0.0,26.81,26.81,26.81,0.0,0.0
2019-02-17,25.68,25.68,25.68,0.0,0.0,25.75,25.75,25.75,0.0,0.0,25.09,25.09,25.09,0.0,0.0,25.13,25.13,25.13,0.0,0.0
2019-02-24,25.15,25.15,25.15,0.0,0.0,25.64,25.64,25.64,0.0,0.0,24.64,24.64,24.64,0.0,0.0,24.67,24.67,24.67,0.0,0.0
2019-03-03,28.04,28.04,28.04,0.0,0.0,28.45,28.45,28.45,0.0,0.0,27.31,27.31,27.31,0.0,0.0,27.32,27.32,27.32,0.0,0.0
2019-03-10,23.82,23.82,23.82,0.0,0.0,23.92,23.92,23.92,0.0,0.0,23.2,23.2,23.2,0.0,0.0,23.5,23.5,23.5,0.0,0.0
2019-03-17,24.16,24.16,24.16,0.0,0.0,26.54,26.54,26.54,0.0,0.0,23.9,23.9,23.9,0.0,0.0,26.35,26.35,26.35,0.0,0.0
2019-03-24,24.36,24.36,24.36,0.0,0.0,24.49,24.49,24.49,0.0,0.0,23.98,23.98,23.98,0.0,0.0,24.02,24.02,24.02,0.0,0.0
2019-03-31,23.21,23.21,23.21,0.0,0.0,23.35,23.35,23.35,0.0,0.0,23.0,23.0,23.0,0.0,0.0,23.01,23.01,23.01,0.0,0.0
2019-04-07,22.13,22.13,22.13,0.0,0.0,22.17,22.17,22.17,0.0,0.0,21.5,21.5,21.5,0.0,0.0,21.55,21.55,21.55,0.0,0.0
2019-04-14,21.27,21.27,21.27,0.0,0.0,21.64,21.64,21.64,0.0,0.0,20.92,20.92,20.92,0.0,0.0,20.93,20.93,20.93,0.0,0.0
2019-04-21,21.34,21.34,21.34,0.0,0.0,21.63,21.63,21.63,0.0,0.0,20.77,20.77,20.77,0.0,0.0,20.8,20.8,20.8,0.0,0.0
2019-04-28,21.36,21.36,21.36,0.0,0.0,21.4,21.4,21.4,0.0,0.0,20.8,20.8,20.8,0.0,0.0,20.89,20.89,20.89,0.0,0.0
2019-05-05,25.35,25.35,25.35,0.0,0.0,26.0,26.0,26.0,0.0,0.0,23.2,23.2,23.2,0.0,0.0,23.22,23.22,23.22,0.0,0.0
2019-05-12,24.04,24.04,24.04,0.0,0.0,24.07,24.07,24.07,0.0,0.0,22.8,22.8,22.8,0.0,0.0,23.44,23.44,23.44,0.0,0.0
2019-05-19,23.18,23.18,23.18,0.0,0.0,23.67,23.67,23.67,0.0,0.0,22.94,22.94,22.94,0.0,0.0,23.36,23.36,23.36,0.0,0.0
2019-05-26,25.28,25.28,25.28,0.0,0.0,25.4,25.4,25.4,0.0,0.0,24.59,24.59,24.59,0.0,0.0,25.07,25.07,25.07,0.0,0.0
2019-06-02,22.83,22.83,22.83,0.0,0.0,23.13,23.13,23.13,0.0,0.0,22.69,22.69,22.69,0.0,0.0,23.09,23.09,23.09,0.0,0.0
2019-06-09,22.86,22.86,22.86,0.0,0.0,23.06,23.06,23.06,0.0,0.0,22.43,22.43,22.43,0.0,0.0,22.48,22.48,22.48,0.0,0.0
2019-06-16,21.56,21.56,21.56,0.0,0.0,21.98,21.98,21.98,0.0,0.0,21.29,21.29,21.29,0.0,0.0,21.9,21.9,21.9,0.0,0.0
2019-06-23,21.55,21.55,21.55,0.0,0.0,21.62,21.62,21.62,0.0,0.0,21.26,21.26,21.26,0.0,0.0,21.4,21.4,21.4,0.0,0.0
2019-06-30,19.77,19.77,19.77,0.0,0.0,20.3,20.3,20.3,0.0,0.0,19.33,19.33,19.33,0.0,0.0,19.39,19.39,19.39,0.0,0.0
2019-07-07,18.91,18.91,18.91,0.0,0.0,19.06,19.06,19.06,0.0,0.0,18.7,18.7,18.7,0.0,0.0,18.7,18.7,18.7,0.0,0.0
2019-07-14,18.66,18.66,18.66,0.0,0.0,19.26,19.26,19.26,0.0,0.0,18.58,18.58,18.58,0.0,0.0,19.22,19.22,19.22,0.0,0.0
2019-07-21,17.9,17.9,17.9,0.0,0.0,17.94,17.94,17.94,0.0,0.0,17.64,17.64,17.64,0.0,0.0,17.8,17.8,17.8,0.0,0.0
2019-07-28,20.94,20.94,20.94,0.0,0.0,21.94,21.94,21.94,0.0,0.0,20.78,20.78,20.78,0.0,0.0,21.05,21.05,21.05,0.0,0.0
2019-08-04,21.75,21.75,21.75,0.0,0.0,22.59,22.59,22.59,0.0,0.0,21.53,21.53,21.53,0.0,0.0,22.15,22.15,22.15,0.0,0.0
2019-08-11,24.0,24.0,24.0,0.0,0.0,24.0,24.0,24.0,0.0,0.0,23.0,23.0,23.0,0.0,0.0,23.08,23.08,23.08,0.0,0.0
2019-08-18,21.83,21.83,21.83,0.0,0.0,24.23,24.23,24.23,0.0,0.0,20.94,20.94,20.94,0.0,0.0,23.78,23.78,23.78,0.0,0.0
2019-08-25,21.69,21.69,21.69,0.0,0.0,22.72,22.72,22.72,0.0,0.0,21.65,21.65,21.65,0.0,0.0,22.12,22.12,22.12,0.0,0.0
2019-09-01,20.65,20.65,20.65,0.0,0.0,20.81,20.81,20.81,0.0,0.0,20.24,20.24,20.24,0.0,0.0,20.34,20.34,20.34,0.0,0.0
2019-09-08,19.05,19.05,19.05,0.0,0.0,19.18,19.18,19.18,0.0,0.0,18.78,18.78,18.78,0.0,0.0,18.95,18.95,18.95,0.0,0.0
2019-09-15,18.03,18.03,18.03,0.0,0.0,19.3,19.3,19.3,0.0,0.0,17.96,17.96,17.96,0.0,0.0,19.09,19.09,19.09,0.0,0.0
2019-09-22,19.33,19.33,19.33,0.0,0.0,20.64,20.64,20.64,0.0,0.0,19.23,19.23,19.23,0.0,0.0,20.09,20.09,20.09,0.0,0.0
2019-09-29,20.77,20.77,20.77,0.0,0.0,20.77,20.77,20.77,0.0,0.0,19.76,19.76,19.76,0.0,0.0,19.79,19.79,19.79,0.0,0.0
2019-10-06,19.47,19.47,19.47,0.0,0.0,19.58,19.58,19.58,0.0,0.0,18.62,18.62,18.62,0.0,0.0,18.97,18.97,18.97,0.0,0.0
2019-10-13,17.59,17.59,17.59,0.0,0.0,17.89,17.89,17.89,0.0,0.0,17.31,17.31,17.31,0.0,0.0,17.47,17.47,17.47,0.0,0.0
2019-10-20,16.93,16.93,16.93,0.0,0.0,16.93,16.93,16.93,0.0,0.0,16.25,16.25,16.25,0.0,0.0,16.25,16.25,16.25,0.0,0.0
2019-10-27,15.75,15.75,15.75,0.0,0.0,15.84,15.84,15.84,0.0,0.0,15.49,15.49,15.49,0.0,0.0,15.52,15.52,15.52,0.0,0.0
2019-11-03,15.71,15.71,15.71,0.0,0.0,15.84,15.84,15.84,0.0,0.0,15.31,15.31,15.31,0.0,0.0,15.32,15.32,15.32,0.0,0.0
2019-11-10,14.74,14.74,14.74,0.0,0.0,14.78,14.78,14.78,0.0,0.0,14.31,14.31,14.31,0.0,0.0,14.32,14.32,14.32,0.0,0.0
2019-11-17,14.44,14.44,14.44,0.0,0.0,14.55,14.55,14.55,0.0,0.0,14.18,14.18,14.18,0.0,0.0,14.2,14.2,14.2,0.0,0.0
2019-11-24,13.44,13.44,13.44,0.0,0.0,13.6,13.6,13.6,0.0,0.0,13.38,13.38,13.38,0.0,0.0,13.55,13.55,13.55,0.0,0.0
2019-12-01,13.69,13.69,13.69,0.0,0.0,13.96,13.96,13.96,0.0,0.0,13.65,13.65,13.65,0.0,0.0,13.77,13.77,13.77,0.0,0.0
2019-12-08,13.41,13.41,13.41,0.0,0.0,13.6,13.6,13.6,0.0,0.0,12.76,12.76,12.76,0.0,0.0,12.78,12.78,12.78,0.0,0.0
2019-12-15,12.19,12.19,12.19,0.0,0.0,12.37,12.37,12.37,0.0,0.0,12.14,12.14,12.14,0.0,0.0,12.35,12.35,12.35,0.0,0.0
2019-12-22,12.21,12.21,12.21,0.0,0.0,12.64,12.64,12.64,0.0,0.0,12.2,12.2,12.2,0.0,0.0,12.52,12.52,12.52,0.0,0.0
2019-12-29,12.9,12.9,12.9,0.0,0.0,12.93,12.93,12.93,0.0,0.0,12.29,12.29,12.29,0.0,0.0,12.55,12.55,12.55,0.0,0.0
