Date,ProShares Decline of the Retail Store_etf_Open_average,ProShares Decline of the Retail Store_etf_Open_max,ProShares Decline of the Retail Store_etf_Open_min,ProShares Decline of the Retail Store_etf_Open_volatility,ProShares Decline of the Retail Store_etf_Open_change,ProShares Decline of the Retail Store_etf_High_average,ProShares Decline of the Retail Store_etf_High_max,ProShares Decline of the Retail Store_etf_High_min,ProShares Decline of the Retail Store_etf_High_volatility,ProShares Decline of the Retail Store_etf_High_change,ProShares Decline of the Retail Store_etf_Low_average,ProShares Decline of the Retail Store_etf_Low_max,ProShares Decline of the Retail Store_etf_Low_min,ProShares Decline of the Retail Store_etf_Low_volatility,ProShares Decline of the Retail Store_etf_Low_change,ProShares Decline of the Retail Store_etf_Close_average,ProShares Decline of the Retail Store_etf_Close_max,ProShares Decline of the Retail Store_etf_Close_min,ProShares Decline of the Retail Store_etf_Close_volatility,ProShares Decline of the Retail Store_etf_Close_change
2018-05-13,33.74,33.74,33.74,0.0,0.0,33.81,33.81,33.81,0.0,0.0,33.64,33.64,33.64,0.0,0.0,33.78,33.78,33.78,0.0,0.0
2018-05-20,33.59,33.59,33.59,0.0,0.0,33.62,33.62,33.62,0.0,0.0,33.55,33.55,33.55,0.0,0.0,33.55,33.55,33.55,0.0,0.0
2018-05-27,33.31,33.31,33.31,0.0,0.0,33.98,33.98,33.98,0.0,0.0,33.31,33.31,33.31,0.0,0.0,33.98,33.98,33.98,0.0,0.0
2018-06-03,31.61,31.61,31.61,0.0,0.0,31.61,31.61,31.61,0.0,0.0,31.45,31.45,31.45,0.0,0.0,31.45,31.45,31.45,0.0,0.0
2018-06-10,31.9,31.9,31.9,0.0,0.0,31.9,31.9,31.9,0.0,0.0,31.65,31.65,31.65,0.0,0.0,31.65,31.65,31.65,0.0,0.0
2018-06-17,30.5,30.5,30.5,0.0,0.0,30.77,30.77,30.77,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.77,30.77,30.77,0.0,0.0
2018-06-24,31.22,31.22,31.22,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.22,31.22,31.22,0.0,0.0,31.5,31.5,31.5,0.0,0.0
2018-07-01,31.51,31.51,31.51,0.0,0.0,31.54,31.54,31.54,0.0,0.0,31.44,31.44,31.44,0.0,0.0,31.44,31.44,31.44,0.0,0.0
2018-07-08,31.91,31.91,31.91,0.0,0.0,32.11,32.11,32.11,0.0,0.0,31.91,31.91,31.91,0.0,0.0,32.11,32.11,32.11,0.0,0.0
2018-07-15,31.24,31.24,31.24,0.0,0.0,31.3,31.3,31.3,0.0,0.0,31.23,31.23,31.23,0.0,0.0,31.3,31.3,31.3,0.0,0.0
2018-07-22,31.82,31.82,31.82,0.0,0.0,32.12,32.12,32.12,0.0,0.0,31.82,31.82,31.82,0.0,0.0,32.06,32.06,32.06,0.0,0.0
2018-07-29,31.51,31.51,31.51,0.0,0.0,31.7,31.7,31.7,0.0,0.0,31.51,31.51,31.51,0.0,0.0,31.7,31.7,31.7,0.0,0.0
2018-08-05,31.08,31.08,31.08,0.0,0.0,31.08,31.08,31.08,0.0,0.0,30.74,30.74,30.74,0.0,0.0,30.94,30.94,30.94,0.0,0.0
2018-08-12,30.84,30.84,30.84,0.0,0.0,30.86,30.86,30.86,0.0,0.0,30.43,30.43,30.43,0.0,0.0,30.54,30.54,30.54,0.0,0.0
2018-08-19,30.07,30.07,30.07,0.0,0.0,30.07,30.07,30.07,0.0,0.0,30.06,30.06,30.06,0.0,0.0,30.06,30.06,30.06,0.0,0.0
2018-08-26,30.22,30.22,30.22,0.0,0.0,30.23,30.23,30.23,0.0,0.0,30.0,30.0,30.0,0.0,0.0,30.0,30.0,30.0,0.0,0.0
2018-09-02,30.1,30.1,30.1,0.0,0.0,30.17,30.17,30.17,0.0,0.0,30.07,30.07,30.07,0.0,0.0,30.17,30.17,30.17,0.0,0.0
2018-09-09,30.08,30.08,30.08,0.0,0.0,30.08,30.08,30.08,0.0,0.0,30.08,30.08,30.08,0.0,0.0,30.08,30.08,30.08,0.0,0.0
2018-09-16,30.22,30.22,30.22,0.0,0.0,30.22,30.22,30.22,0.0,0.0,29.88,29.88,29.88,0.0,0.0,29.88,29.88,29.88,0.0,0.0
2018-09-23,30.0,30.0,30.0,0.0,0.0,30.0,30.0,30.0,0.0,0.0,30.0,30.0,30.0,0.0,0.0,30.0,30.0,30.0,0.0,0.0
2018-09-30,31.63,31.63,31.63,0.0,0.0,31.89,31.89,31.89,0.0,0.0,31.48,31.48,31.48,0.0,0.0,31.73,31.73,31.73,0.0,0.0
2018-10-07,32.4,32.4,32.4,0.0,0.0,32.4,32.4,32.4,0.0,0.0,31.97,31.97,31.97,0.0,0.0,32.23,32.23,32.23,0.0,0.0
2018-10-14,32.92,32.92,32.92,0.0,0.0,32.98,32.98,32.98,0.0,0.0,32.92,32.92,32.92,0.0,0.0,32.93,32.93,32.93,0.0,0.0
2018-10-21,32.66,32.66,32.66,0.0,0.0,33.4,33.4,33.4,0.0,0.0,32.66,32.66,32.66,0.0,0.0,32.87,32.87,32.87,0.0,0.0
2018-10-28,31.0,31.0,31.0,0.0,0.0,31.36,31.36,31.36,0.0,0.0,30.99,30.99,30.99,0.0,0.0,31.36,31.36,31.36,0.0,0.0
2018-11-04,30.17,30.17,30.17,0.0,0.0,30.54,30.54,30.54,0.0,0.0,30.16,30.16,30.16,0.0,0.0,30.54,30.54,30.54,0.0,0.0
2018-11-11,32.13,32.13,32.13,0.0,0.0,32.5,32.5,32.5,0.0,0.0,32.13,32.13,32.13,0.0,0.0,32.14,32.14,32.14,0.0,0.0
2018-11-18,33.3,33.3,33.3,0.0,0.0,33.3,33.3,33.3,0.0,0.0,33.3,33.3,33.3,0.0,0.0,33.3,33.3,33.3,0.0,0.0
2018-11-25,32.91,32.91,32.91,0.0,0.0,32.93,32.93,32.93,0.0,0.0,32.91,32.91,32.91,0.0,0.0,32.93,32.93,32.93,0.0,0.0
2018-12-02,33.9,33.9,33.9,0.0,0.0,35.13,35.13,35.13,0.0,0.0,33.9,33.9,33.9,0.0,0.0,35.13,35.13,35.13,0.0,0.0
2018-12-09,36.11,36.11,36.11,0.0,0.0,36.47,36.47,36.47,0.0,0.0,35.66,35.66,35.66,0.0,0.0,36.36,36.36,36.36,0.0,0.0
2018-12-16,37.74,37.74,37.74,0.0,0.0,38.95,38.95,38.95,0.0,0.0,37.21,37.21,37.21,0.0,0.0,38.95,38.95,38.95,0.0,0.0
2018-12-23,36.86,36.86,36.86,0.0,0.0,37.27,37.27,37.27,0.0,0.0,35.14,35.14,35.14,0.0,0.0,37.17,37.17,37.17,0.0,0.0
2018-12-30,35.97,35.97,35.97,0.0,0.0,36.02,36.02,36.02,0.0,0.0,35.56,35.56,35.56,0.0,0.0,35.56,35.56,35.56,0.0,0.0
2019-01-06,34.28,34.28,34.28,0.0,0.0,34.28,34.28,34.28,0.0,0.0,34.07,34.07,34.07,0.0,0.0,34.25,34.25,34.25,0.0,0.0
2019-01-13,34.14,34.14,34.14,0.0,0.0,34.14,34.14,34.14,0.0,0.0,33.68,33.68,33.68,0.0,0.0,33.85,33.85,33.85,0.0,0.0
2019-01-20,34.09,34.09,34.09,0.0,0.0,34.12,34.12,34.12,0.0,0.0,34.04,34.04,34.04,0.0,0.0,34.05,34.05,34.05,0.0,0.0
2019-01-27,34.61,34.61,34.61,0.0,0.0,34.89,34.89,34.89,0.0,0.0,33.1,33.1,33.1,0.0,0.0,34.71,34.71,34.71,0.0,0.0
2019-02-03,34.75,34.75,34.75,0.0,0.0,34.82,34.82,34.82,0.0,0.0,34.71,34.71,34.71,0.0,0.0,34.82,34.82,34.82,0.0,0.0
2019-02-10,33.7,33.7,33.7,0.0,0.0,33.7,33.7,33.7,0.0,0.0,32.85,32.85,32.85,0.0,0.0,33.63,33.63,33.63,0.0,0.0
2019-02-17,33.89,33.89,33.89,0.0,0.0,33.99,33.99,33.99,0.0,0.0,33.76,33.76,33.76,0.0,0.0,33.76,33.76,33.76,0.0,0.0
2019-02-24,32.22,32.22,32.22,0.0,0.0,33.01,33.01,33.01,0.0,0.0,32.22,32.22,32.22,0.0,0.0,33.01,33.01,33.01,0.0,0.0
2019-03-03,34.49,34.49,34.49,0.0,0.0,34.92,34.92,34.92,0.0,0.0,34.25,34.25,34.25,0.0,0.0,34.68,34.68,34.68,0.0,0.0
2019-03-10,34.9,34.9,34.9,0.0,0.0,35.19,35.19,35.19,0.0,0.0,34.9,34.9,34.9,0.0,0.0,35.16,35.16,35.16,0.0,0.0
2019-03-17,35.1,35.1,35.1,0.0,0.0,35.55,35.55,35.55,0.0,0.0,35.1,35.1,35.1,0.0,0.0,35.52,35.52,35.52,0.0,0.0
2019-03-24,34.25,34.25,34.25,0.0,0.0,34.29,34.29,34.29,0.0,0.0,34.19,34.19,34.19,0.0,0.0,34.27,34.27,34.27,0.0,0.0
2019-03-31,33.5,33.5,33.5,0.0,0.0,33.66,33.66,33.66,0.0,0.0,33.5,33.5,33.5,0.0,0.0,33.63,33.63,33.63,0.0,0.0
2019-04-07,34.04,34.04,34.04,0.0,0.0,34.27,34.27,34.27,0.0,0.0,34.04,34.04,34.04,0.0,0.0,34.27,34.27,34.27,0.0,0.0
2019-04-14,33.68,33.68,33.68,0.0,0.0,33.86,33.86,33.86,0.0,0.0,33.64,33.64,33.64,0.0,0.0,33.86,33.86,33.86,0.0,0.0
2019-04-21,34.43,34.43,34.43,0.0,0.0,34.43,34.43,34.43,0.0,0.0,34.07,34.07,34.07,0.0,0.0,34.09,34.09,34.09,0.0,0.0
2019-04-28,33.99,33.99,33.99,0.0,0.0,33.99,33.99,33.99,0.0,0.0,33.95,33.95,33.95,0.0,0.0,33.95,33.95,33.95,0.0,0.0
2019-05-05,35.01,35.01,35.01,0.0,0.0,35.47,35.47,35.47,0.0,0.0,34.69,34.69,34.69,0.0,0.0,34.9,34.9,34.9,0.0,0.0
2019-05-12,36.28,36.28,36.28,0.0,0.0,36.39,36.39,36.39,0.0,0.0,36.08,36.08,36.08,0.0,0.0,36.37,36.37,36.37,0.0,0.0
2019-05-19,38.08,38.08,38.08,0.0,0.0,38.18,38.18,38.18,0.0,0.0,37.74,37.74,37.74,0.0,0.0,37.79,37.79,37.79,0.0,0.0
2019-05-26,39.52,39.52,39.52,0.0,0.0,39.83,39.83,39.83,0.0,0.0,39.52,39.52,39.52,0.0,0.0,39.55,39.55,39.55,0.0,0.0
2019-06-02,38.96,38.96,38.96,0.0,0.0,39.06,39.06,39.06,0.0,0.0,38.59,38.59,38.59,0.0,0.0,38.72,38.72,38.72,0.0,0.0
2019-06-09,38.32,38.32,38.32,0.0,0.0,38.33,38.33,38.33,0.0,0.0,38.32,38.32,38.32,0.0,0.0,38.33,38.33,38.33,0.0,0.0
2019-06-16,38.29,38.29,38.29,0.0,0.0,38.37,38.37,38.37,0.0,0.0,37.95,37.95,37.95,0.0,0.0,38.07,38.07,38.07,0.0,0.0
2019-06-23,38.45,38.45,38.45,0.0,0.0,38.45,38.45,38.45,0.0,0.0,38.22,38.22,38.22,0.0,0.0,38.28,38.28,38.28,0.0,0.0
2019-06-30,38.14,38.14,38.14,0.0,0.0,38.38,38.38,38.38,0.0,0.0,37.98,37.98,37.98,0.0,0.0,37.98,37.98,37.98,0.0,0.0
2019-07-07,38.3,38.3,38.3,0.0,0.0,38.3,38.3,38.3,0.0,0.0,37.64,37.64,37.64,0.0,0.0,37.64,37.64,37.64,0.0,0.0
2019-07-14,37.91,37.91,37.91,0.0,0.0,37.91,37.91,37.91,0.0,0.0,37.86,37.86,37.86,0.0,0.0,37.86,37.86,37.86,0.0,0.0
2019-07-21,38.17,38.17,38.17,0.0,0.0,38.17,38.17,38.17,0.0,0.0,37.79,37.79,37.79,0.0,0.0,37.85,37.85,37.85,0.0,0.0
2019-07-28,39.63,39.63,39.63,0.0,0.0,39.98,39.98,39.98,0.0,0.0,39.63,39.63,39.63,0.0,0.0,39.84,39.84,39.84,0.0,0.0
2019-08-04,40.2,40.2,40.2,0.0,0.0,40.83,40.83,40.83,0.0,0.0,40.2,40.2,40.2,0.0,0.0,40.83,40.83,40.83,0.0,0.0
2019-08-11,43.63,43.63,43.63,0.0,0.0,43.63,43.63,43.63,0.0,0.0,42.6,42.6,42.6,0.0,0.0,42.65,42.65,42.65,0.0,0.0
2019-08-18,41.18,41.18,41.18,0.0,0.0,42.07,42.07,42.07,0.0,0.0,40.86,40.86,40.86,0.0,0.0,42.07,42.07,42.07,0.0,0.0
2019-08-25,40.0,40.0,40.0,0.0,0.0,40.55,40.55,40.55,0.0,0.0,39.78,39.78,39.78,0.0,0.0,40.43,40.43,40.43,0.0,0.0
2019-09-01,38.5,38.5,38.5,0.0,0.0,38.5,38.5,38.5,0.0,0.0,38.04,38.04,38.04,0.0,0.0,38.27,38.27,38.27,0.0,0.0
2019-09-08,36.16,36.16,36.16,0.0,0.0,36.16,36.16,36.16,0.0,0.0,36.14,36.14,36.14,0.0,0.0,36.16,36.16,36.16,0.0,0.0
2019-09-15,37.03,37.03,37.03,0.0,0.0,37.6,37.6,37.6,0.0,0.0,37.01,37.01,37.01,0.0,0.0,37.6,37.6,37.6,0.0,0.0
2019-09-22,37.15,37.15,37.15,0.0,0.0,37.15,37.15,37.15,0.0,0.0,36.89,36.89,36.89,0.0,0.0,36.92,36.92,36.92,0.0,0.0
2019-09-29,37.78,37.78,37.78,0.0,0.0,37.78,37.78,37.78,0.0,0.0,37.4,37.4,37.4,0.0,0.0,37.46,37.46,37.46,0.0,0.0
2019-10-06,36.48,36.48,36.48,0.0,0.0,36.48,36.48,36.48,0.0,0.0,35.9,35.9,35.9,0.0,0.0,36.23,36.23,36.23,0.0,0.0
2019-10-13,36.28,36.28,36.28,0.0,0.0,36.34,36.34,36.34,0.0,0.0,36.22,36.22,36.22,0.0,0.0,36.22,36.22,36.22,0.0,0.0
2019-10-20,35.27,35.27,35.27,0.0,0.0,35.29,35.29,35.29,0.0,0.0,34.98,34.98,34.98,0.0,0.0,35.03,35.03,35.03,0.0,0.0
2019-10-27,35.36,35.36,35.36,0.0,0.0,35.43,35.43,35.43,0.0,0.0,35.36,35.36,35.36,0.0,0.0,35.43,35.43,35.43,0.0,0.0
2019-11-03,34.05,34.05,34.05,0.0,0.0,34.39,34.39,34.39,0.0,0.0,34.05,34.05,34.05,0.0,0.0,34.35,34.35,34.35,0.0,0.0
2019-11-10,34.28,34.28,34.28,0.0,0.0,34.35,34.35,34.35,0.0,0.0,34.14,34.14,34.14,0.0,0.0,34.22,34.22,34.22,0.0,0.0
2019-11-17,35.9,35.9,35.9,0.0,0.0,35.96,35.96,35.96,0.0,0.0,35.62,35.62,35.62,0.0,0.0,35.62,35.62,35.62,0.0,0.0
2019-11-24,34.31,34.31,34.31,0.0,0.0,34.78,34.78,34.78,0.0,0.0,34.31,34.31,34.31,0.0,0.0,34.76,34.76,34.76,0.0,0.0
2019-12-01,35.23,35.23,35.23,0.0,0.0,35.23,35.23,35.23,0.0,0.0,34.32,34.32,34.32,0.0,0.0,34.45,34.45,34.45,0.0,0.0
2019-12-08,34.34,34.34,34.34,0.0,0.0,34.87,34.87,34.87,0.0,0.0,34.34,34.34,34.34,0.0,0.0,34.87,34.87,34.87,0.0,0.0
2019-12-15,34.0,34.0,34.0,0.0,0.0,34.12,34.12,34.12,0.0,0.0,33.84,33.84,33.84,0.0,0.0,34.12,34.12,34.12,0.0,0.0
2019-12-22,34.0,34.0,34.0,0.0,0.0,34.0,34.0,34.0,0.0,0.0,33.72,33.72,33.72,0.0,0.0,33.82,33.82,33.82,0.0,0.0
2019-12-29,34.41,34.41,34.41,0.0,0.0,34.41,34.41,34.41,0.0,0.0,34.19,34.19,34.19,0.0,0.0,34.25,34.25,34.25,0.0,0.0
