Date,ProShares Morningstar Alternatives Solution_Open_average,ProShares Morningstar Alternatives Solution_Open_max,ProShares Morningstar Alternatives Solution_Open_min,ProShares Morningstar Alternatives Solution_Open_volatility,ProShares Morningstar Alternatives Solution_Open_change,ProShares Morningstar Alternatives Solution_High_average,ProShares Morningstar Alternatives Solution_High_max,ProShares Morningstar Alternatives Solution_High_min,ProShares Morningstar Alternatives Solution_High_volatility,ProShares Morningstar Alternatives Solution_High_change,ProShares Morningstar Alternatives Solution_Low_average,ProShares Morningstar Alternatives Solution_Low_max,ProShares Morningstar Alternatives Solution_Low_min,ProShares Morningstar Alternatives Solution_Low_volatility,ProShares Morningstar Alternatives Solution_Low_change,ProShares Morningstar Alternatives Solution_Close_average,ProShares Morningstar Alternatives Solution_Close_max,ProShares Morningstar Alternatives Solution_Close_min,ProShares Morningstar Alternatives Solution_Close_volatility,ProShares Morningstar Alternatives Solution_Close_change
2018-03-25,37.1,37.1,37.1,0.0,0.0,37.1,37.1,37.1,0.0,0.0,36.94,36.94,36.94,0.0,0.0,36.96,36.96,36.96,0.0,0.0
2018-04-01,37.23,37.23,37.23,0.0,0.0,37.35,37.35,37.35,0.0,0.0,37.23,37.23,37.23,0.0,0.0,37.3,37.3,37.3,0.0,0.0
2018-04-08,37.54,37.54,37.54,0.0,0.0,37.54,37.54,37.54,0.0,0.0,37.54,37.54,37.54,0.0,0.0,37.54,37.54,37.54,0.0,0.0
2018-04-15,37.6,37.6,37.6,0.0,0.0,37.6,37.6,37.6,0.0,0.0,37.6,37.6,37.6,0.0,0.0,37.6,37.6,37.6,0.0,0.0
2018-04-22,37.44,37.44,37.44,0.0,0.0,37.6,37.6,37.6,0.0,0.0,37.44,37.44,37.44,0.0,0.0,37.59,37.59,37.59,0.0,0.0
2018-04-29,37.53,37.53,37.53,0.0,0.0,37.53,37.53,37.53,0.0,0.0,37.53,37.53,37.53,0.0,0.0,37.53,37.53,37.53,0.0,0.0
2018-05-06,37.69,37.69,37.69,0.0,0.0,37.69,37.69,37.69,0.0,0.0,37.69,37.69,37.69,0.0,0.0,37.69,37.69,37.69,0.0,0.0
2018-05-13,37.75,37.75,37.75,0.0,0.0,37.75,37.75,37.75,0.0,0.0,37.75,37.75,37.75,0.0,0.0,37.75,37.75,37.75,0.0,0.0
2018-05-20,37.65,37.65,37.65,0.0,0.0,37.65,37.65,37.65,0.0,0.0,37.59,37.59,37.59,0.0,0.0,37.59,37.59,37.59,0.0,0.0
2018-05-27,37.54,37.54,37.54,0.0,0.0,37.54,37.54,37.54,0.0,0.0,37.54,37.54,37.54,0.0,0.0,37.54,37.54,37.54,0.0,0.0
2018-06-03,37.71,37.71,37.71,0.0,0.0,37.71,37.71,37.71,0.0,0.0,37.71,37.71,37.71,0.0,0.0,37.71,37.71,37.71,0.0,0.0
2018-06-10,37.55,37.55,37.55,0.0,0.0,37.71,37.71,37.71,0.0,0.0,37.55,37.55,37.55,0.0,0.0,37.71,37.71,37.71,0.0,0.0
2018-06-17,37.67,37.67,37.67,0.0,0.0,37.67,37.67,37.67,0.0,0.0,37.67,37.67,37.67,0.0,0.0,37.67,37.67,37.67,0.0,0.0
2018-06-24,37.51,37.51,37.51,0.0,0.0,37.51,37.51,37.51,0.0,0.0,37.51,37.51,37.51,0.0,0.0,37.51,37.51,37.51,0.0,0.0
2018-07-01,37.94,37.94,37.94,0.0,0.0,37.94,37.94,37.94,0.0,0.0,37.94,37.94,37.94,0.0,0.0,37.94,37.94,37.94,0.0,0.0
2018-07-08,37.81,37.81,37.81,0.0,0.0,37.81,37.81,37.81,0.0,0.0,37.81,37.81,37.81,0.0,0.0,37.81,37.81,37.81,0.0,0.0
2018-07-15,37.79,37.79,37.79,0.0,0.0,37.79,37.79,37.79,0.0,0.0,37.79,37.79,37.79,0.0,0.0,37.79,37.79,37.79,0.0,0.0
2018-07-22,37.86,37.86,37.86,0.0,0.0,37.86,37.86,37.86,0.0,0.0,37.86,37.86,37.86,0.0,0.0,37.86,37.86,37.86,0.0,0.0
2018-07-29,37.94,37.94,37.94,0.0,0.0,37.94,37.94,37.94,0.0,0.0,37.94,37.94,37.94,0.0,0.0,37.94,37.94,37.94,0.0,0.0
2018-08-05,37.82,37.82,37.82,0.0,0.0,37.82,37.82,37.82,0.0,0.0,37.82,37.82,37.82,0.0,0.0,37.82,37.82,37.82,0.0,0.0
2018-08-12,38.02,38.02,38.02,0.0,0.0,38.02,38.02,38.02,0.0,0.0,37.82,37.82,37.82,0.0,0.0,37.82,37.82,37.82,0.0,0.0
2018-08-19,37.96,37.96,37.96,0.0,0.0,38.0,38.0,38.0,0.0,0.0,37.93,37.93,37.93,0.0,0.0,37.93,37.93,37.93,0.0,0.0
2018-08-26,37.93,37.93,37.93,0.0,0.0,37.96,37.96,37.96,0.0,0.0,37.89,37.89,37.89,0.0,0.0,37.9,37.9,37.9,0.0,0.0
2018-09-02,37.85,37.85,37.85,0.0,0.0,37.85,37.85,37.85,0.0,0.0,37.85,37.85,37.85,0.0,0.0,37.85,37.85,37.85,0.0,0.0
2018-09-09,37.97,37.97,37.97,0.0,0.0,37.97,37.97,37.97,0.0,0.0,37.97,37.97,37.97,0.0,0.0,37.97,37.97,37.97,0.0,0.0
2018-09-16,38.43,38.43,38.43,0.0,0.0,38.43,38.43,38.43,0.0,0.0,38.26,38.26,38.26,0.0,0.0,38.27,38.27,38.27,0.0,0.0
2018-09-23,37.87,37.87,37.87,0.0,0.0,37.87,37.87,37.87,0.0,0.0,37.87,37.87,37.87,0.0,0.0,37.87,37.87,37.87,0.0,0.0
2018-09-30,37.58,37.58,37.58,0.0,0.0,37.58,37.58,37.58,0.0,0.0,37.58,37.58,37.58,0.0,0.0,37.58,37.58,37.58,0.0,0.0
2018-10-07,37.39,37.39,37.39,0.0,0.0,37.39,37.39,37.39,0.0,0.0,37.09,37.09,37.09,0.0,0.0,37.13,37.13,37.13,0.0,0.0
2018-10-14,37.41,37.41,37.41,0.0,0.0,37.41,37.41,37.41,0.0,0.0,37.17,37.17,37.17,0.0,0.0,37.26,37.26,37.26,0.0,0.0
2018-10-21,36.93,36.93,36.93,0.0,0.0,36.93,36.93,36.93,0.0,0.0,36.67,36.67,36.67,0.0,0.0,36.67,36.67,36.67,0.0,0.0
2018-10-28,37.32,37.32,37.32,0.0,0.0,37.32,37.32,37.32,0.0,0.0,37.16,37.16,37.16,0.0,0.0,37.27,37.27,37.27,0.0,0.0
2018-11-04,37.31,37.31,37.31,0.0,0.0,37.31,37.31,37.31,0.0,0.0,37.16,37.16,37.16,0.0,0.0,37.16,37.16,37.16,0.0,0.0
2018-11-11,37.11,37.11,37.11,0.0,0.0,37.11,37.11,37.11,0.0,0.0,37.11,37.11,37.11,0.0,0.0,37.11,37.11,37.11,0.0,0.0
2018-11-18,36.93,36.93,36.93,0.0,0.0,37.23,37.23,37.23,0.0,0.0,36.93,36.93,36.93,0.0,0.0,37.23,37.23,37.23,0.0,0.0
2018-11-25,37.14,37.14,37.14,0.0,0.0,37.14,37.14,37.14,0.0,0.0,37.14,37.14,37.14,0.0,0.0,37.14,37.14,37.14,0.0,0.0
2018-12-02,36.96,36.96,36.96,0.0,0.0,36.96,36.96,36.96,0.0,0.0,36.72,36.72,36.72,0.0,0.0,36.83,36.83,36.83,0.0,0.0
2018-12-09,36.69,36.69,36.69,0.0,0.0,36.69,36.69,36.69,0.0,0.0,36.56,36.56,36.56,0.0,0.0,36.56,36.56,36.56,0.0,0.0
2018-12-16,36.05,36.05,36.05,0.0,0.0,36.05,36.05,36.05,0.0,0.0,35.98,35.98,35.98,0.0,0.0,36.03,36.03,36.03,0.0,0.0
2018-12-23,36.24,36.24,36.24,0.0,0.0,36.24,36.24,36.24,0.0,0.0,36.24,36.24,36.24,0.0,0.0,36.24,36.24,36.24,0.0,0.0
2018-12-30,36.31,36.31,36.31,0.0,0.0,36.31,36.31,36.31,0.0,0.0,36.31,36.31,36.31,0.0,0.0,36.31,36.31,36.31,0.0,0.0
2019-01-06,36.55,36.55,36.55,0.0,0.0,36.55,36.55,36.55,0.0,0.0,36.54,36.54,36.54,0.0,0.0,36.54,36.54,36.54,0.0,0.0
2019-01-13,36.46,36.46,36.46,0.0,0.0,36.52,36.52,36.52,0.0,0.0,36.46,36.46,36.46,0.0,0.0,36.52,36.52,36.52,0.0,0.0
2019-01-20,36.52,36.52,36.52,0.0,0.0,36.52,36.52,36.52,0.0,0.0,36.52,36.52,36.52,0.0,0.0,36.52,36.52,36.52,0.0,0.0
2019-01-27,36.87,36.87,36.87,0.0,0.0,36.87,36.87,36.87,0.0,0.0,36.87,36.87,36.87,0.0,0.0,36.87,36.87,36.87,0.0,0.0
2019-02-03,36.76,36.76,36.76,0.0,0.0,36.76,36.76,36.76,0.0,0.0,36.76,36.76,36.76,0.0,0.0,36.76,36.76,36.76,0.0,0.0
2019-02-10,36.97,36.97,36.97,0.0,0.0,36.97,36.97,36.97,0.0,0.0,36.97,36.97,36.97,0.0,0.0,36.97,36.97,36.97,0.0,0.0
2019-02-17,37.02,37.02,37.02,0.0,0.0,37.13,37.13,37.13,0.0,0.0,37.02,37.02,37.02,0.0,0.0,37.13,37.13,37.13,0.0,0.0
2019-02-24,37.05,37.05,37.05,0.0,0.0,37.07,37.07,37.07,0.0,0.0,37.04,37.04,37.04,0.0,0.0,37.04,37.04,37.04,0.0,0.0
2019-03-03,37.01,37.01,37.01,0.0,0.0,37.01,37.01,37.01,0.0,0.0,36.99,36.99,36.99,0.0,0.0,36.99,36.99,36.99,0.0,0.0
2019-03-10,37.15,37.15,37.15,0.0,0.0,37.15,37.15,37.15,0.0,0.0,37.15,37.15,37.15,0.0,0.0,37.15,37.15,37.15,0.0,0.0
2019-03-17,37.0,37.0,37.0,0.0,0.0,37.01,37.01,37.01,0.0,0.0,37.0,37.0,37.0,0.0,0.0,37.01,37.01,37.01,0.0,0.0
2019-03-24,37.03,37.03,37.03,0.0,0.0,37.03,37.03,37.03,0.0,0.0,37.01,37.01,37.01,0.0,0.0,37.01,37.01,37.01,0.0,0.0
2019-03-31,37.26,37.26,37.26,0.0,0.0,37.26,37.26,37.26,0.0,0.0,37.16,37.16,37.16,0.0,0.0,37.16,37.16,37.16,0.0,0.0
2019-04-07,37.18,37.18,37.18,0.0,0.0,37.18,37.18,37.18,0.0,0.0,37.15,37.15,37.15,0.0,0.0,37.15,37.15,37.15,0.0,0.0
2019-04-14,37.22,37.22,37.22,0.0,0.0,37.22,37.22,37.22,0.0,0.0,37.15,37.15,37.15,0.0,0.0,37.15,37.15,37.15,0.0,0.0
2019-04-21,37.26,37.26,37.26,0.0,0.0,37.26,37.26,37.26,0.0,0.0,37.2,37.2,37.2,0.0,0.0,37.2,37.2,37.2,0.0,0.0
2019-04-28,37.06,37.06,37.06,0.0,0.0,37.2,37.2,37.2,0.0,0.0,37.06,37.06,37.06,0.0,0.0,37.17,37.17,37.17,0.0,0.0
2019-05-05,37.01,37.01,37.01,0.0,0.0,37.01,37.01,37.01,0.0,0.0,37.01,37.01,37.01,0.0,0.0,37.01,37.01,37.01,0.0,0.0
2019-05-12,36.98,36.98,36.98,0.0,0.0,37.09,37.09,37.09,0.0,0.0,36.98,36.98,36.98,0.0,0.0,37.09,37.09,37.09,0.0,0.0
2019-05-19,37.1,37.1,37.1,0.0,0.0,37.1,37.1,37.1,0.0,0.0,37.03,37.03,37.03,0.0,0.0,37.03,37.03,37.03,0.0,0.0
2019-05-26,37.0,37.0,37.0,0.0,0.0,37.0,37.0,37.0,0.0,0.0,36.94,36.94,36.94,0.0,0.0,36.94,36.94,36.94,0.0,0.0
2019-06-02,37.13,37.13,37.13,0.0,0.0,37.13,37.13,37.13,0.0,0.0,37.05,37.05,37.05,0.0,0.0,37.05,37.05,37.05,0.0,0.0
2019-06-09,37.12,37.12,37.12,0.0,0.0,37.12,37.12,37.12,0.0,0.0,37.07,37.07,37.07,0.0,0.0,37.07,37.07,37.07,0.0,0.0
2019-06-16,37.47,37.47,37.47,0.0,0.0,37.47,37.47,37.47,0.0,0.0,37.41,37.41,37.41,0.0,0.0,37.41,37.41,37.41,0.0,0.0
2019-06-23,37.4,37.4,37.4,0.0,0.0,37.4,37.4,37.4,0.0,0.0,37.18,37.18,37.18,0.0,0.0,37.18,37.18,37.18,0.0,0.0
2019-06-30,37.44,37.44,37.44,0.0,0.0,37.44,37.44,37.44,0.0,0.0,37.44,37.44,37.44,0.0,0.0,37.44,37.44,37.44,0.0,0.0
2019-07-07,37.38,37.38,37.38,0.0,0.0,37.38,37.38,37.38,0.0,0.0,37.38,37.38,37.38,0.0,0.0,37.38,37.38,37.38,0.0,0.0
2019-07-14,37.32,37.32,37.32,0.0,0.0,37.32,37.32,37.32,0.0,0.0,37.32,37.32,37.32,0.0,0.0,37.32,37.32,37.32,0.0,0.0
2019-07-21,37.29,37.29,37.29,0.0,0.0,37.3,37.3,37.3,0.0,0.0,37.26,37.26,37.26,0.0,0.0,37.26,37.26,37.26,0.0,0.0
2019-07-28,36.98,36.98,36.98,0.0,0.0,36.98,36.98,36.98,0.0,0.0,36.95,36.95,36.95,0.0,0.0,36.95,36.95,36.95,0.0,0.0
2019-08-04,37.11,37.11,37.11,0.0,0.0,37.15,37.15,37.15,0.0,0.0,37.1,37.1,37.1,0.0,0.0,37.1,37.1,37.1,0.0,0.0
2019-08-11,37.19,37.19,37.19,0.0,0.0,37.19,37.19,37.19,0.0,0.0,37.19,37.19,37.19,0.0,0.0,37.19,37.19,37.19,0.0,0.0
2019-08-18,37.21,37.21,37.21,0.0,0.0,37.21,37.21,37.21,0.0,0.0,37.09,37.09,37.09,0.0,0.0,37.09,37.09,37.09,0.0,0.0
2019-08-25,37.34,37.34,37.34,0.0,0.0,37.34,37.34,37.34,0.0,0.0,37.34,37.34,37.34,0.0,0.0,37.34,37.34,37.34,0.0,0.0
2019-09-01,37.47,37.47,37.47,0.0,0.0,37.51,37.51,37.51,0.0,0.0,37.47,37.47,37.47,0.0,0.0,37.51,37.51,37.51,0.0,0.0
2019-09-08,37.41,37.41,37.41,0.0,0.0,37.49,37.49,37.49,0.0,0.0,37.41,37.41,37.41,0.0,0.0,37.49,37.49,37.49,0.0,0.0
2019-09-15,37.62,37.62,37.62,0.0,0.0,37.62,37.62,37.62,0.0,0.0,37.62,37.62,37.62,0.0,0.0,37.62,37.62,37.62,0.0,0.0
2019-09-22,37.57,37.57,37.57,0.0,0.0,37.57,37.57,37.57,0.0,0.0,37.57,37.57,37.57,0.0,0.0,37.57,37.57,37.57,0.0,0.0
2019-09-29,37.19,37.19,37.19,0.0,0.0,37.24,37.24,37.24,0.0,0.0,37.17,37.17,37.17,0.0,0.0,37.17,37.17,37.17,0.0,0.0
2019-10-06,37.39,37.39,37.39,0.0,0.0,37.39,37.39,37.39,0.0,0.0,37.23,37.23,37.23,0.0,0.0,37.23,37.23,37.23,0.0,0.0
2019-10-13,37.46,37.46,37.46,0.0,0.0,37.53,37.53,37.53,0.0,0.0,37.44,37.44,37.44,0.0,0.0,37.46,37.46,37.46,0.0,0.0
2019-10-20,37.48,37.48,37.48,0.0,0.0,37.48,37.48,37.48,0.0,0.0,37.48,37.48,37.48,0.0,0.0,37.48,37.48,37.48,0.0,0.0
2019-10-27,37.73,37.73,37.73,0.0,0.0,37.73,37.73,37.73,0.0,0.0,37.7,37.7,37.7,0.0,0.0,37.7,37.7,37.7,0.0,0.0
2019-11-03,37.77,37.77,37.77,0.0,0.0,37.77,37.77,37.77,0.0,0.0,37.55,37.55,37.55,0.0,0.0,37.55,37.55,37.55,0.0,0.0
2019-11-10,37.6,37.6,37.6,0.0,0.0,37.6,37.6,37.6,0.0,0.0,37.58,37.58,37.58,0.0,0.0,37.59,37.59,37.59,0.0,0.0
2019-11-17,37.58,37.58,37.58,0.0,0.0,37.58,37.58,37.58,0.0,0.0,37.56,37.56,37.56,0.0,0.0,37.56,37.56,37.56,0.0,0.0
2019-11-24,37.45,37.45,37.45,0.0,0.0,37.47,37.47,37.47,0.0,0.0,37.45,37.45,37.45,0.0,0.0,37.47,37.47,37.47,0.0,0.0
2019-12-01,37.67,37.67,37.67,0.0,0.0,37.83,37.83,37.83,0.0,0.0,37.67,37.67,37.67,0.0,0.0,37.8,37.8,37.8,0.0,0.0
2019-12-08,38.11,38.11,38.11,0.0,0.0,38.11,38.11,38.11,0.0,0.0,38.11,38.11,38.11,0.0,0.0,38.11,38.11,38.11,0.0,0.0
2019-12-15,38.43,38.43,38.43,0.0,0.0,38.43,38.43,38.43,0.0,0.0,38.23,38.23,38.23,0.0,0.0,38.23,38.23,38.23,0.0,0.0
2019-12-22,38.0,38.0,38.0,0.0,0.0,38.0,38.0,38.0,0.0,0.0,37.97,37.97,37.97,0.0,0.0,37.97,37.97,37.97,0.0,0.0
2019-12-29,37.88,37.88,37.88,0.0,0.0,38.04,38.04,38.04,0.0,0.0,37.88,37.88,37.88,0.0,0.0,38.02,38.02,38.02,0.0,0.0
