Date,ValueShares US Quantitative Value_Open_average,ValueShares US Quantitative Value_Open_max,ValueShares US Quantitative Value_Open_min,ValueShares US Quantitative Value_Open_volatility,ValueShares US Quantitative Value_Open_change,ValueShares US Quantitative Value_High_average,ValueShares US Quantitative Value_High_max,ValueShares US Quantitative Value_High_min,ValueShares US Quantitative Value_High_volatility,ValueShares US Quantitative Value_High_change,ValueShares US Quantitative Value_Low_average,ValueShares US Quantitative Value_Low_max,ValueShares US Quantitative Value_Low_min,ValueShares US Quantitative Value_Low_volatility,ValueShares US Quantitative Value_Low_change,ValueShares US Quantitative Value_Close_average,ValueShares US Quantitative Value_Close_max,ValueShares US Quantitative Value_Close_min,ValueShares US Quantitative Value_Close_volatility,ValueShares US Quantitative Value_Close_change
2018-10-21,27.82,27.82,27.82,0.0,0.0,28.17,28.17,28.17,0.0,0.0,27.31,27.31,27.31,0.0,0.0,27.53,27.53,27.53,0.0,0.0
2018-10-28,29.07,29.07,29.07,0.0,0.0,29.51,29.51,29.51,0.0,0.0,29.07,29.07,29.07,0.0,0.0,29.38,29.38,29.38,0.0,0.0
2018-11-04,29.25,29.25,29.25,0.0,0.0,29.31,29.31,29.31,0.0,0.0,29.11,29.11,29.11,0.0,0.0,29.11,29.11,29.11,0.0,0.0
2018-11-11,28.71,28.71,28.71,0.0,0.0,28.72,28.72,28.72,0.0,0.0,28.44,28.44,28.44,0.0,0.0,28.45,28.45,28.45,0.0,0.0
2018-11-18,28.56,28.56,28.56,0.0,0.0,28.56,28.56,28.56,0.0,0.0,28.36,28.36,28.36,0.0,0.0,28.52,28.52,28.52,0.0,0.0
2018-11-25,29.24,29.24,29.24,0.0,0.0,29.5,29.5,29.5,0.0,0.0,29.0,29.0,29.0,0.0,0.0,29.31,29.31,29.31,0.0,0.0
2018-12-02,27.06,27.06,27.06,0.0,0.0,27.16,27.16,27.16,0.0,0.0,26.6,26.6,26.6,0.0,0.0,26.91,26.91,26.91,0.0,0.0
2018-12-09,26.05,26.05,26.05,0.0,0.0,26.29,26.29,26.29,0.0,0.0,25.6,25.6,25.6,0.0,0.0,25.6,25.6,25.6,0.0,0.0
2018-12-16,24.21,24.21,24.21,0.0,0.0,24.33,24.33,24.33,0.0,0.0,23.89,23.89,23.89,0.0,0.0,23.89,23.89,23.89,0.0,0.0
2018-12-23,25.12,25.12,25.12,0.0,0.0,25.13,25.13,25.13,0.0,0.0,24.86,24.86,24.86,0.0,0.0,25.04,25.04,25.04,0.0,0.0
2018-12-30,25.74,25.74,25.74,0.0,0.0,26.4,26.4,26.4,0.0,0.0,25.74,25.74,25.74,0.0,0.0,26.24,26.24,26.24,0.0,0.0
2019-01-06,26.76,26.76,26.76,0.0,0.0,26.88,26.88,26.88,0.0,0.0,26.76,26.76,26.76,0.0,0.0,26.8,26.8,26.8,0.0,0.0
2019-01-13,27.22,27.22,27.22,0.0,0.0,27.71,27.71,27.71,0.0,0.0,27.22,27.22,27.22,0.0,0.0,27.6,27.6,27.6,0.0,0.0
2019-01-20,27.89,27.89,27.89,0.0,0.0,28.14,28.14,28.14,0.0,0.0,27.89,27.89,27.89,0.0,0.0,28.12,28.12,28.12,0.0,0.0
2019-01-27,28.57,28.57,28.57,0.0,0.0,28.75,28.75,28.75,0.0,0.0,28.57,28.57,28.57,0.0,0.0,28.75,28.75,28.75,0.0,0.0
2019-02-03,28.52,28.52,28.52,0.0,0.0,28.67,28.67,28.67,0.0,0.0,28.52,28.52,28.52,0.0,0.0,28.64,28.64,28.64,0.0,0.0
2019-02-10,29.49,29.49,29.49,0.0,0.0,29.52,29.52,29.52,0.0,0.0,29.44,29.44,29.44,0.0,0.0,29.52,29.52,29.52,0.0,0.0
2019-02-17,29.9,29.9,29.9,0.0,0.0,30.0,30.0,30.0,0.0,0.0,29.7,29.7,29.7,0.0,0.0,29.73,29.73,29.73,0.0,0.0
2019-02-24,29.58,29.58,29.58,0.0,0.0,29.64,29.64,29.64,0.0,0.0,29.27,29.27,29.27,0.0,0.0,29.4,29.4,29.4,0.0,0.0
2019-03-03,28.57,28.57,28.57,0.0,0.0,28.8,28.8,28.8,0.0,0.0,28.57,28.57,28.57,0.0,0.0,28.8,28.8,28.8,0.0,0.0
2019-03-10,28.52,28.52,28.52,0.0,0.0,28.62,28.62,28.62,0.0,0.0,28.45,28.45,28.45,0.0,0.0,28.62,28.62,28.62,0.0,0.0
2019-03-17,27.79,27.79,27.79,0.0,0.0,27.93,27.93,27.93,0.0,0.0,27.75,27.75,27.75,0.0,0.0,27.87,27.87,27.87,0.0,0.0
2019-03-24,28.92,28.92,28.92,0.0,0.0,29.15,29.15,29.15,0.0,0.0,28.92,28.92,28.92,0.0,0.0,29.15,29.15,29.15,0.0,0.0
2019-03-31,30.01,30.01,30.01,0.0,0.0,30.12,30.12,30.12,0.0,0.0,29.93,29.93,29.93,0.0,0.0,30.1,30.1,30.1,0.0,0.0
2019-04-07,30.14,30.14,30.14,0.0,0.0,30.14,30.14,30.14,0.0,0.0,29.99,29.99,29.99,0.0,0.0,30.02,30.02,30.02,0.0,0.0
2019-04-14,30.27,30.27,30.27,0.0,0.0,30.27,30.27,30.27,0.0,0.0,29.88,29.88,29.88,0.0,0.0,29.92,29.92,29.92,0.0,0.0
2019-04-21,30.09,30.09,30.09,0.0,0.0,30.16,30.16,30.16,0.0,0.0,30.07,30.07,30.07,0.0,0.0,30.08,30.08,30.08,0.0,0.0
2019-04-28,29.22,29.22,29.22,0.0,0.0,29.66,29.66,29.66,0.0,0.0,29.22,29.22,29.22,0.0,0.0,29.64,29.64,29.64,0.0,0.0
2019-05-05,28.14,28.14,28.14,0.0,0.0,28.14,28.14,28.14,0.0,0.0,27.71,27.71,27.71,0.0,0.0,27.77,27.77,27.77,0.0,0.0
2019-05-12,27.77,27.77,27.77,0.0,0.0,27.85,27.85,27.85,0.0,0.0,27.65,27.65,27.65,0.0,0.0,27.69,27.69,27.69,0.0,0.0
2019-05-19,27.06,27.06,27.06,0.0,0.0,27.06,27.06,27.06,0.0,0.0,26.94,26.94,26.94,0.0,0.0,27.0,27.0,27.0,0.0,0.0
2019-05-26,26.17,26.17,26.17,0.0,0.0,26.26,26.26,26.26,0.0,0.0,26.04,26.04,26.04,0.0,0.0,26.15,26.15,26.15,0.0,0.0
2019-06-02,27.38,27.38,27.38,0.0,0.0,27.38,27.38,27.38,0.0,0.0,27.21,27.21,27.21,0.0,0.0,27.21,27.21,27.21,0.0,0.0
2019-06-09,27.15,27.15,27.15,0.0,0.0,27.25,27.25,27.25,0.0,0.0,27.13,27.13,27.13,0.0,0.0,27.13,27.13,27.13,0.0,0.0
2019-06-16,27.81,27.81,27.81,0.0,0.0,27.81,27.81,27.81,0.0,0.0,27.64,27.64,27.64,0.0,0.0,27.64,27.64,27.64,0.0,0.0
2019-06-23,28.52,28.52,28.52,0.0,0.0,28.64,28.64,28.64,0.0,0.0,28.18,28.18,28.18,0.0,0.0,28.34,28.34,28.34,0.0,0.0
2019-06-30,28.11,28.11,28.11,0.0,0.0,28.28,28.28,28.28,0.0,0.0,28.07,28.07,28.07,0.0,0.0,28.11,28.11,28.11,0.0,0.0
2019-07-07,28.63,28.63,28.63,0.0,0.0,28.63,28.63,28.63,0.0,0.0,28.45,28.45,28.45,0.0,0.0,28.55,28.55,28.55,0.0,0.0
2019-07-14,28.53,28.53,28.53,0.0,0.0,28.61,28.61,28.61,0.0,0.0,28.37,28.37,28.37,0.0,0.0,28.37,28.37,28.37,0.0,0.0
2019-07-21,28.84,28.84,28.84,0.0,0.0,28.84,28.84,28.84,0.0,0.0,28.71,28.71,28.71,0.0,0.0,28.83,28.83,28.83,0.0,0.0
2019-07-28,27.0,27.0,27.0,0.0,0.0,27.05,27.05,27.05,0.0,0.0,26.63,26.63,26.63,0.0,0.0,26.82,26.82,26.82,0.0,0.0
2019-08-04,26.66,26.66,26.66,0.0,0.0,26.66,26.66,26.66,0.0,0.0,26.23,26.23,26.23,0.0,0.0,26.28,26.28,26.28,0.0,0.0
2019-08-11,26.36,26.36,26.36,0.0,0.0,26.46,26.46,26.46,0.0,0.0,26.36,26.36,26.36,0.0,0.0,26.44,26.44,26.44,0.0,0.0
2019-08-18,25.82,25.82,25.82,0.0,0.0,25.82,25.82,25.82,0.0,0.0,25.66,25.66,25.66,0.0,0.0,25.72,25.72,25.72,0.0,0.0
2019-08-25,26.45,26.45,26.45,0.0,0.0,26.45,26.45,26.45,0.0,0.0,26.28,26.28,26.28,0.0,0.0,26.29,26.29,26.29,0.0,0.0
2019-09-01,27.19,27.19,27.19,0.0,0.0,27.8,27.8,27.8,0.0,0.0,27.19,27.19,27.19,0.0,0.0,27.79,27.79,27.79,0.0,0.0
2019-09-08,28.37,28.37,28.37,0.0,0.0,28.59,28.59,28.59,0.0,0.0,28.34,28.34,28.34,0.0,0.0,28.58,28.58,28.58,0.0,0.0
2019-09-15,27.81,27.81,27.81,0.0,0.0,27.95,27.95,27.95,0.0,0.0,27.81,27.81,27.81,0.0,0.0,27.88,27.88,27.88,0.0,0.0
2019-09-22,27.68,27.68,27.68,0.0,0.0,27.91,27.91,27.91,0.0,0.0,27.68,27.68,27.68,0.0,0.0,27.86,27.86,27.86,0.0,0.0
2019-09-29,27.06,27.06,27.06,0.0,0.0,27.21,27.21,27.21,0.0,0.0,27.06,27.06,27.06,0.0,0.0,27.13,27.13,27.13,0.0,0.0
2019-10-06,27.67,27.67,27.67,0.0,0.0,27.7,27.7,27.7,0.0,0.0,27.5,27.5,27.5,0.0,0.0,27.66,27.66,27.66,0.0,0.0
2019-10-13,28.39,28.39,28.39,0.0,0.0,28.41,28.41,28.41,0.0,0.0,28.36,28.36,28.36,0.0,0.0,28.36,28.36,28.36,0.0,0.0
2019-10-20,29.49,29.49,29.49,0.0,0.0,29.75,29.75,29.75,0.0,0.0,29.49,29.49,29.49,0.0,0.0,29.65,29.65,29.65,0.0,0.0
2019-10-27,30.01,30.01,30.01,0.0,0.0,30.02,30.02,30.02,0.0,0.0,29.88,29.88,29.88,0.0,0.0,30.01,30.01,30.01,0.0,0.0
2019-11-03,30.52,30.52,30.52,0.0,0.0,30.59,30.59,30.59,0.0,0.0,30.45,30.45,30.45,0.0,0.0,30.57,30.57,30.57,0.0,0.0
2019-11-10,30.38,30.38,30.38,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.38,30.38,30.38,0.0,0.0,30.48,30.48,30.48,0.0,0.0
2019-11-17,30.11,30.11,30.11,0.0,0.0,30.4,30.4,30.4,0.0,0.0,30.08,30.08,30.08,0.0,0.0,30.4,30.4,30.4,0.0,0.0
2019-11-24,30.3,30.3,30.3,0.0,0.0,30.34,30.34,30.34,0.0,0.0,30.05,30.05,30.05,0.0,0.0,30.05,30.05,30.05,0.0,0.0
2019-12-01,30.25,30.25,30.25,0.0,0.0,30.4,30.4,30.4,0.0,0.0,30.25,30.25,30.25,0.0,0.0,30.27,30.27,30.27,0.0,0.0
2019-12-08,30.36,30.36,30.36,0.0,0.0,30.61,30.61,30.61,0.0,0.0,30.36,30.36,30.36,0.0,0.0,30.48,30.48,30.48,0.0,0.0
2019-12-15,30.96,30.96,30.96,0.0,0.0,31.02,31.02,31.02,0.0,0.0,30.89,30.89,30.89,0.0,0.0,30.93,30.93,30.93,0.0,0.0
2019-12-22,30.56,30.56,30.56,0.0,0.0,30.56,30.56,30.56,0.0,0.0,30.35,30.35,30.35,0.0,0.0,30.38,30.38,30.38,0.0,0.0
2019-12-29,30.14,30.14,30.14,0.0,0.0,30.17,30.17,30.17,0.0,0.0,30.04,30.04,30.04,0.0,0.0,30.17,30.17,30.17,0.0,0.0
