Date,FlexShares Credit-Scored US Long Corporate Bond_Open_average,FlexShares Credit-Scored US Long Corporate Bond_Open_max,FlexShares Credit-Scored US Long Corporate Bond_Open_min,FlexShares Credit-Scored US Long Corporate Bond_Open_volatility,FlexShares Credit-Scored US Long Corporate Bond_Open_change,FlexShares Credit-Scored US Long Corporate Bond_High_average,FlexShares Credit-Scored US Long Corporate Bond_High_max,FlexShares Credit-Scored US Long Corporate Bond_High_min,FlexShares Credit-Scored US Long Corporate Bond_High_volatility,FlexShares Credit-Scored US Long Corporate Bond_High_change,FlexShares Credit-Scored US Long Corporate Bond_Low_average,FlexShares Credit-Scored US Long Corporate Bond_Low_max,FlexShares Credit-Scored US Long Corporate Bond_Low_min,FlexShares Credit-Scored US Long Corporate Bond_Low_volatility,FlexShares Credit-Scored US Long Corporate Bond_Low_change,FlexShares Credit-Scored US Long Corporate Bond_Close_average,FlexShares Credit-Scored US Long Corporate Bond_Close_max,FlexShares Credit-Scored US Long Corporate Bond_Close_min,FlexShares Credit-Scored US Long Corporate Bond_Close_volatility,FlexShares Credit-Scored US Long Corporate Bond_Close_change
2018-04-08,52.18,52.18,52.18,0.0,0.0,52.18,52.18,52.18,0.0,0.0,52.0,52.0,52.0,0.0,0.0,52.0,52.0,52.0,0.0,0.0
2018-04-15,51.78,51.78,51.78,0.0,0.0,51.78,51.78,51.78,0.0,0.0,51.78,51.78,51.78,0.0,0.0,51.78,51.78,51.78,0.0,0.0
2018-04-22,50.69,50.69,50.69,0.0,0.0,50.69,50.69,50.69,0.0,0.0,50.69,50.69,50.69,0.0,0.0,50.69,50.69,50.69,0.0,0.0
2018-04-29,50.38,50.38,50.38,0.0,0.0,50.38,50.38,50.38,0.0,0.0,50.38,50.38,50.38,0.0,0.0,50.38,50.38,50.38,0.0,0.0
2018-05-06,50.41,50.41,50.41,0.0,0.0,50.41,50.41,50.41,0.0,0.0,50.41,50.41,50.41,0.0,0.0,50.41,50.41,50.41,0.0,0.0
2018-05-13,49.69,49.69,49.69,0.0,0.0,49.72,49.72,49.72,0.0,0.0,49.65,49.65,49.65,0.0,0.0,49.65,49.65,49.65,0.0,0.0
2018-05-20,50.36,50.36,50.36,0.0,0.0,50.36,50.36,50.36,0.0,0.0,50.36,50.36,50.36,0.0,0.0,50.36,50.36,50.36,0.0,0.0
2018-05-27,49.92,49.92,49.92,0.0,0.0,49.92,49.92,49.92,0.0,0.0,49.83,49.83,49.83,0.0,0.0,49.83,49.83,49.83,0.0,0.0
2018-06-03,49.75,49.75,49.75,0.0,0.0,49.75,49.75,49.75,0.0,0.0,49.75,49.75,49.75,0.0,0.0,49.75,49.75,49.75,0.0,0.0
2018-06-10,50.01,50.01,50.01,0.0,0.0,50.01,50.01,50.01,0.0,0.0,49.94,49.94,49.94,0.0,0.0,49.94,49.94,49.94,0.0,0.0
2018-06-17,49.29,49.29,49.29,0.0,0.0,49.29,49.29,49.29,0.0,0.0,49.28,49.28,49.28,0.0,0.0,49.28,49.28,49.28,0.0,0.0
2018-06-24,49.73,49.73,49.73,0.0,0.0,49.73,49.73,49.73,0.0,0.0,49.66,49.66,49.66,0.0,0.0,49.7,49.7,49.7,0.0,0.0
2018-07-01,50.1,50.1,50.1,0.0,0.0,50.3,50.3,50.3,0.0,0.0,50.1,50.1,50.1,0.0,0.0,50.3,50.3,50.3,0.0,0.0
2018-07-08,50.37,50.37,50.37,0.0,0.0,50.65,50.65,50.65,0.0,0.0,50.37,50.37,50.37,0.0,0.0,50.65,50.65,50.65,0.0,0.0
2018-07-15,50.05,50.05,50.05,0.0,0.0,50.05,50.05,50.05,0.0,0.0,50.05,50.05,50.05,0.0,0.0,50.05,50.05,50.05,0.0,0.0
2018-07-22,50.4,50.4,50.4,0.0,0.0,50.4,50.4,50.4,0.0,0.0,50.34,50.34,50.34,0.0,0.0,50.34,50.34,50.34,0.0,0.0
2018-07-29,50.66,50.66,50.66,0.0,0.0,50.66,50.66,50.66,0.0,0.0,50.66,50.66,50.66,0.0,0.0,50.66,50.66,50.66,0.0,0.0
2018-08-05,50.3,50.3,50.3,0.0,0.0,50.33,50.33,50.33,0.0,0.0,50.24,50.24,50.24,0.0,0.0,50.33,50.33,50.33,0.0,0.0
2018-08-12,50.6,50.6,50.6,0.0,0.0,50.6,50.6,50.6,0.0,0.0,50.43,50.43,50.43,0.0,0.0,50.43,50.43,50.43,0.0,0.0
2018-08-19,50.55,50.55,50.55,0.0,0.0,50.55,50.55,50.55,0.0,0.0,50.51,50.51,50.51,0.0,0.0,50.52,50.52,50.52,0.0,0.0
2018-08-26,50.43,50.43,50.43,0.0,0.0,50.43,50.43,50.43,0.0,0.0,50.18,50.18,50.18,0.0,0.0,50.18,50.18,50.18,0.0,0.0
2018-09-02,49.76,49.76,49.76,0.0,0.0,49.76,49.76,49.76,0.0,0.0,49.75,49.75,49.75,0.0,0.0,49.75,49.75,49.75,0.0,0.0
2018-09-09,50.04,50.04,50.04,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.04,50.04,50.04,0.0,0.0,50.14,50.14,50.14,0.0,0.0
2018-09-16,49.8,49.8,49.8,0.0,0.0,49.8,49.8,49.8,0.0,0.0,49.78,49.78,49.78,0.0,0.0,49.8,49.8,49.8,0.0,0.0
2018-09-23,49.86,49.86,49.86,0.0,0.0,49.87,49.87,49.87,0.0,0.0,49.72,49.72,49.72,0.0,0.0,49.72,49.72,49.72,0.0,0.0
2018-09-30,48.9,48.9,48.9,0.0,0.0,48.9,48.9,48.9,0.0,0.0,48.61,48.61,48.61,0.0,0.0,48.61,48.61,48.61,0.0,0.0
2018-10-07,48.96,48.96,48.96,0.0,0.0,49.11,49.11,49.11,0.0,0.0,48.95,48.95,48.95,0.0,0.0,48.98,48.98,48.98,0.0,0.0
2018-10-14,48.48,48.48,48.48,0.0,0.0,48.5,48.5,48.5,0.0,0.0,48.34,48.34,48.34,0.0,0.0,48.35,48.35,48.35,0.0,0.0
2018-10-21,48.26,48.26,48.26,0.0,0.0,48.26,48.26,48.26,0.0,0.0,48.22,48.22,48.22,0.0,0.0,48.22,48.22,48.22,0.0,0.0
2018-10-28,47.59,47.59,47.59,0.0,0.0,47.59,47.59,47.59,0.0,0.0,47.59,47.59,47.59,0.0,0.0,47.59,47.59,47.59,0.0,0.0
2018-11-04,48.03,48.03,48.03,0.0,0.0,48.11,48.11,48.11,0.0,0.0,48.03,48.03,48.03,0.0,0.0,48.11,48.11,48.11,0.0,0.0
2018-11-11,47.42,47.42,47.42,0.0,0.0,47.42,47.42,47.42,0.0,0.0,47.42,47.42,47.42,0.0,0.0,47.42,47.42,47.42,0.0,0.0
2018-11-18,47.75,47.75,47.75,0.0,0.0,47.75,47.75,47.75,0.0,0.0,47.69,47.69,47.69,0.0,0.0,47.73,47.73,47.73,0.0,0.0
2018-11-25,47.62,47.62,47.62,0.0,0.0,47.65,47.65,47.65,0.0,0.0,47.6,47.6,47.6,0.0,0.0,47.65,47.65,47.65,0.0,0.0
2018-12-02,47.97,47.97,47.97,0.0,0.0,48.08,48.08,48.08,0.0,0.0,47.97,47.97,47.97,0.0,0.0,48.08,48.08,48.08,0.0,0.0
2018-12-09,48.73,48.73,48.73,0.0,0.0,48.73,48.73,48.73,0.0,0.0,48.73,48.73,48.73,0.0,0.0,48.73,48.73,48.73,0.0,0.0
2018-12-16,48.5,48.5,48.5,0.0,0.0,48.5,48.5,48.5,0.0,0.0,48.12,48.12,48.12,0.0,0.0,48.12,48.12,48.12,0.0,0.0
2018-12-23,48.35,48.35,48.35,0.0,0.0,48.59,48.59,48.59,0.0,0.0,48.34,48.34,48.34,0.0,0.0,48.59,48.59,48.59,0.0,0.0
2018-12-30,48.52,48.52,48.52,0.0,0.0,48.72,48.72,48.72,0.0,0.0,48.52,48.52,48.52,0.0,0.0,48.72,48.72,48.72,0.0,0.0
2019-01-06,48.85,48.85,48.85,0.0,0.0,48.85,48.85,48.85,0.0,0.0,48.83,48.83,48.83,0.0,0.0,48.83,48.83,48.83,0.0,0.0
2019-01-13,48.87,48.87,48.87,0.0,0.0,49.05,49.05,49.05,0.0,0.0,48.87,48.87,48.87,0.0,0.0,49.01,49.01,49.01,0.0,0.0
2019-01-20,49.63,49.63,49.63,0.0,0.0,49.63,49.63,49.63,0.0,0.0,49.63,49.63,49.63,0.0,0.0,49.63,49.63,49.63,0.0,0.0
2019-01-27,50.08,50.08,50.08,0.0,0.0,50.08,50.08,50.08,0.0,0.0,50.08,50.08,50.08,0.0,0.0,50.08,50.08,50.08,0.0,0.0
2019-02-03,50.4,50.4,50.4,0.0,0.0,50.4,50.4,50.4,0.0,0.0,50.33,50.33,50.33,0.0,0.0,50.33,50.33,50.33,0.0,0.0
2019-02-10,50.43,50.43,50.43,0.0,0.0,50.43,50.43,50.43,0.0,0.0,50.39,50.39,50.39,0.0,0.0,50.39,50.39,50.39,0.0,0.0
2019-02-17,50.22,50.22,50.22,0.0,0.0,50.22,50.22,50.22,0.0,0.0,50.22,50.22,50.22,0.0,0.0,50.22,50.22,50.22,0.0,0.0
2019-02-24,49.93,49.93,49.93,0.0,0.0,49.93,49.93,49.93,0.0,0.0,49.9,49.9,49.9,0.0,0.0,49.9,49.9,49.9,0.0,0.0
2019-03-03,50.18,50.18,50.18,0.0,0.0,50.19,50.19,50.19,0.0,0.0,50.16,50.16,50.16,0.0,0.0,50.19,50.19,50.19,0.0,0.0
2019-03-10,50.46,50.46,50.46,0.0,0.0,50.46,50.46,50.46,0.0,0.0,50.46,50.46,50.46,0.0,0.0,50.46,50.46,50.46,0.0,0.0
2019-03-17,51.2,51.2,51.2,0.0,0.0,51.2,51.2,51.2,0.0,0.0,51.2,51.2,51.2,0.0,0.0,51.2,51.2,51.2,0.0,0.0
2019-03-24,51.71,51.71,51.71,0.0,0.0,51.71,51.71,51.71,0.0,0.0,51.71,51.71,51.71,0.0,0.0,51.71,51.71,51.71,0.0,0.0
2019-03-31,51.5,51.5,51.5,0.0,0.0,51.55,51.55,51.55,0.0,0.0,51.5,51.5,51.5,0.0,0.0,51.54,51.54,51.54,0.0,0.0
2019-04-07,51.89,51.89,51.89,0.0,0.0,51.89,51.89,51.89,0.0,0.0,51.89,51.89,51.89,0.0,0.0,51.89,51.89,51.89,0.0,0.0
2019-04-14,51.56,51.56,51.56,0.0,0.0,51.56,51.56,51.56,0.0,0.0,51.56,51.56,51.56,0.0,0.0,51.56,51.56,51.56,0.0,0.0
2019-04-21,52.05,52.05,52.05,0.0,0.0,52.05,52.05,52.05,0.0,0.0,51.83,51.83,51.83,0.0,0.0,51.84,51.84,51.84,0.0,0.0
2019-04-28,51.74,51.74,51.74,0.0,0.0,51.74,51.74,51.74,0.0,0.0,51.74,51.74,51.74,0.0,0.0,51.74,51.74,51.74,0.0,0.0
2019-05-05,51.81,51.81,51.81,0.0,0.0,51.83,51.83,51.83,0.0,0.0,51.81,51.81,51.81,0.0,0.0,51.83,51.83,51.83,0.0,0.0
2019-05-12,52.02,52.02,52.02,0.0,0.0,52.02,52.02,52.02,0.0,0.0,52.02,52.02,52.02,0.0,0.0,52.02,52.02,52.02,0.0,0.0
2019-05-19,52.4,52.4,52.4,0.0,0.0,52.4,52.4,52.4,0.0,0.0,52.4,52.4,52.4,0.0,0.0,52.4,52.4,52.4,0.0,0.0
2019-05-26,52.94,52.94,52.94,0.0,0.0,52.97,52.97,52.97,0.0,0.0,52.94,52.94,52.94,0.0,0.0,52.96,52.96,52.96,0.0,0.0
2019-06-02,53.27,53.27,53.27,0.0,0.0,53.27,53.27,53.27,0.0,0.0,53.27,53.27,53.27,0.0,0.0,53.27,53.27,53.27,0.0,0.0
2019-06-09,53.58,53.58,53.58,0.0,0.0,53.58,53.58,53.58,0.0,0.0,53.58,53.58,53.58,0.0,0.0,53.58,53.58,53.58,0.0,0.0
2019-06-16,54.74,54.74,54.74,0.0,0.0,54.74,54.74,54.74,0.0,0.0,54.74,54.74,54.74,0.0,0.0,54.74,54.74,54.74,0.0,0.0
2019-06-23,55.28,55.28,55.28,0.0,0.0,55.28,55.28,55.28,0.0,0.0,55.28,55.28,55.28,0.0,0.0,55.28,55.28,55.28,0.0,0.0
2019-06-30,55.11,55.11,55.11,0.0,0.0,55.11,55.11,55.11,0.0,0.0,55.08,55.08,55.08,0.0,0.0,55.08,55.08,55.08,0.0,0.0
2019-07-07,54.53,54.53,54.53,0.0,0.0,54.53,54.53,54.53,0.0,0.0,54.53,54.53,54.53,0.0,0.0,54.53,54.53,54.53,0.0,0.0
2019-07-14,55.2,55.2,55.2,0.0,0.0,55.2,55.2,55.2,0.0,0.0,55.2,55.2,55.2,0.0,0.0,55.2,55.2,55.2,0.0,0.0
2019-07-21,55.03,55.03,55.03,0.0,0.0,55.03,55.03,55.03,0.0,0.0,55.03,55.03,55.03,0.0,0.0,55.03,55.03,55.03,0.0,0.0
2019-07-28,55.97,55.97,55.97,0.0,0.0,56.05,56.05,56.05,0.0,0.0,55.97,55.97,55.97,0.0,0.0,56.05,56.05,56.05,0.0,0.0
2019-08-04,56.99,56.99,56.99,0.0,0.0,57.31,57.31,57.31,0.0,0.0,56.94,56.94,56.94,0.0,0.0,57.27,57.27,57.27,0.0,0.0
2019-08-11,57.58,57.58,57.58,0.0,0.0,57.8,57.8,57.8,0.0,0.0,57.58,57.58,57.58,0.0,0.0,57.76,57.76,57.76,0.0,0.0
2019-08-18,58.42,58.42,58.42,0.0,0.0,58.42,58.42,58.42,0.0,0.0,58.42,58.42,58.42,0.0,0.0,58.42,58.42,58.42,0.0,0.0
2019-08-25,58.47,58.47,58.47,0.0,0.0,58.47,58.47,58.47,0.0,0.0,58.45,58.45,58.45,0.0,0.0,58.45,58.45,58.45,0.0,0.0
2019-09-01,57.66,57.66,57.66,0.0,0.0,57.66,57.66,57.66,0.0,0.0,57.55,57.55,57.55,0.0,0.0,57.55,57.55,57.55,0.0,0.0
2019-09-08,56.05,56.05,56.05,0.0,0.0,56.05,56.05,56.05,0.0,0.0,56.05,56.05,56.05,0.0,0.0,56.05,56.05,56.05,0.0,0.0
2019-09-15,57.57,57.57,57.57,0.0,0.0,57.64,57.64,57.64,0.0,0.0,57.56,57.56,57.56,0.0,0.0,57.56,57.56,57.56,0.0,0.0
2019-09-22,57.55,57.55,57.55,0.0,0.0,57.55,57.55,57.55,0.0,0.0,57.55,57.55,57.55,0.0,0.0,57.55,57.55,57.55,0.0,0.0
2019-09-29,57.79,57.79,57.79,0.0,0.0,57.79,57.79,57.79,0.0,0.0,57.79,57.79,57.79,0.0,0.0,57.79,57.79,57.79,0.0,0.0
2019-10-06,57.36,57.36,57.36,0.0,0.0,57.36,57.36,57.36,0.0,0.0,57.36,57.36,57.36,0.0,0.0,57.36,57.36,57.36,0.0,0.0
2019-10-13,57.37,57.37,57.37,0.0,0.0,57.37,57.37,57.37,0.0,0.0,57.37,57.37,57.37,0.0,0.0,57.37,57.37,57.37,0.0,0.0
2019-10-20,57.49,57.49,57.49,0.0,0.0,57.54,57.54,57.54,0.0,0.0,57.49,57.49,57.49,0.0,0.0,57.54,57.54,57.54,0.0,0.0
2019-10-27,57.24,57.24,57.24,0.0,0.0,57.26,57.26,57.26,0.0,0.0,57.24,57.24,57.24,0.0,0.0,57.26,57.26,57.26,0.0,0.0
2019-11-03,56.4,56.4,56.4,0.0,0.0,56.54,56.54,56.54,0.0,0.0,56.39,56.39,56.39,0.0,0.0,56.39,56.39,56.39,0.0,0.0
2019-11-10,57.37,57.37,57.37,0.0,0.0,57.37,57.37,57.37,0.0,0.0,57.31,57.31,57.31,0.0,0.0,57.31,57.31,57.31,0.0,0.0
2019-11-17,58.0,58.0,58.0,0.0,0.0,58.07,58.07,58.07,0.0,0.0,58.0,58.0,58.0,0.0,0.0,58.07,58.07,58.07,0.0,0.0
2019-11-24,58.25,58.25,58.25,0.0,0.0,58.25,58.25,58.25,0.0,0.0,58.25,58.25,58.25,0.0,0.0,58.25,58.25,58.25,0.0,0.0
2019-12-01,57.91,57.91,57.91,0.0,0.0,57.93,57.93,57.93,0.0,0.0,57.89,57.89,57.89,0.0,0.0,57.89,57.89,57.89,0.0,0.0
2019-12-08,58.42,58.42,58.42,0.0,0.0,58.44,58.44,58.44,0.0,0.0,58.42,58.42,58.42,0.0,0.0,58.44,58.44,58.44,0.0,0.0
2019-12-15,57.9,57.9,57.9,0.0,0.0,57.95,57.95,57.95,0.0,0.0,57.9,57.9,57.9,0.0,0.0,57.95,57.95,57.95,0.0,0.0
2019-12-22,58.13,58.13,58.13,0.0,0.0,58.13,58.13,58.13,0.0,0.0,58.13,58.13,58.13,0.0,0.0,58.13,58.13,58.13,0.0,0.0
2019-12-29,58.3,58.3,58.3,0.0,0.0,58.34,58.34,58.34,0.0,0.0,58.3,58.3,58.3,0.0,0.0,58.33,58.33,58.33,0.0,0.0
