Date,iShares Edge MSCI Multifactor USA_Open_average,iShares Edge MSCI Multifactor USA_Open_max,iShares Edge MSCI Multifactor USA_Open_min,iShares Edge MSCI Multifactor USA_Open_volatility,iShares Edge MSCI Multifactor USA_Open_change,iShares Edge MSCI Multifactor USA_High_average,iShares Edge MSCI Multifactor USA_High_max,iShares Edge MSCI Multifactor USA_High_min,iShares Edge MSCI Multifactor USA_High_volatility,iShares Edge MSCI Multifactor USA_High_change,iShares Edge MSCI Multifactor USA_Low_average,iShares Edge MSCI Multifactor USA_Low_max,iShares Edge MSCI Multifactor USA_Low_min,iShares Edge MSCI Multifactor USA_Low_volatility,iShares Edge MSCI Multifactor USA_Low_change,iShares Edge MSCI Multifactor USA_Close_average,iShares Edge MSCI Multifactor USA_Close_max,iShares Edge MSCI Multifactor USA_Close_min,iShares Edge MSCI Multifactor USA_Close_volatility,iShares Edge MSCI Multifactor USA_Close_change
2018-11-11,31.12,31.12,31.12,0.0,0.0,31.12,31.12,31.12,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.61,30.61,30.61,0.0,0.0
2018-11-18,30.48,30.48,30.48,0.0,0.0,30.7,30.7,30.7,0.0,0.0,30.48,30.48,30.48,0.0,0.0,30.7,30.7,30.7,0.0,0.0
2018-11-25,31.87,31.87,31.87,0.0,0.0,31.87,31.87,31.87,0.0,0.0,31.43,31.43,31.43,0.0,0.0,31.73,31.73,31.73,0.0,0.0
2018-12-02,29.77,29.77,29.77,0.0,0.0,29.87,29.87,29.87,0.0,0.0,29.2,29.2,29.2,0.0,0.0,29.75,29.75,29.75,0.0,0.0
2018-12-09,29.05,29.05,29.05,0.0,0.0,29.17,29.17,29.17,0.0,0.0,28.43,28.43,28.43,0.0,0.0,28.59,28.59,28.59,0.0,0.0
2018-12-16,27.08,27.08,27.08,0.0,0.0,27.16,27.16,27.16,0.0,0.0,26.56,26.56,26.56,0.0,0.0,26.57,26.57,26.57,0.0,0.0
2018-12-23,27.75,27.75,27.75,0.0,0.0,27.86,27.86,27.86,0.0,0.0,27.55,27.55,27.55,0.0,0.0,27.86,27.86,27.86,0.0,0.0
2018-12-30,28.03,28.03,28.03,0.0,0.0,28.43,28.43,28.43,0.0,0.0,27.95,27.95,27.95,0.0,0.0,28.21,28.21,28.21,0.0,0.0
2019-01-06,28.72,28.72,28.72,0.0,0.0,28.86,28.86,28.86,0.0,0.0,28.65,28.65,28.65,0.0,0.0,28.75,28.75,28.75,0.0,0.0
2019-01-13,29.51,29.51,29.51,0.0,0.0,29.81,29.81,29.81,0.0,0.0,29.48,29.48,29.48,0.0,0.0,29.75,29.75,29.75,0.0,0.0
2019-01-20,29.52,29.52,29.52,0.0,0.0,29.65,29.65,29.65,0.0,0.0,29.42,29.42,29.42,0.0,0.0,29.65,29.65,29.65,0.0,0.0
2019-01-27,30.28,30.28,30.28,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.15,30.15,30.15,0.0,0.0,30.41,30.41,30.41,0.0,0.0
2019-02-03,30.27,30.27,30.27,0.0,0.0,30.32,30.32,30.32,0.0,0.0,30.2,30.2,30.2,0.0,0.0,30.25,30.25,30.25,0.0,0.0
2019-02-10,30.98,30.98,30.98,0.0,0.0,31.16,31.16,31.16,0.0,0.0,30.98,30.98,30.98,0.0,0.0,31.16,31.16,31.16,0.0,0.0
2019-02-17,31.62,31.62,31.62,0.0,0.0,31.67,31.67,31.67,0.0,0.0,31.44,31.44,31.44,0.0,0.0,31.44,31.44,31.44,0.0,0.0
2019-02-24,31.41,31.41,31.41,0.0,0.0,31.41,31.41,31.41,0.0,0.0,30.81,30.81,30.81,0.0,0.0,31.06,31.06,31.06,0.0,0.0
2019-03-03,30.44,30.44,30.44,0.0,0.0,30.79,30.79,30.79,0.0,0.0,30.44,30.44,30.44,0.0,0.0,30.79,30.79,30.79,0.0,0.0
2019-03-10,31.21,31.21,31.21,0.0,0.0,31.34,31.34,31.34,0.0,0.0,31.18,31.18,31.18,0.0,0.0,31.33,31.33,31.33,0.0,0.0
2019-03-17,30.67,30.67,30.67,0.0,0.0,30.82,30.82,30.82,0.0,0.0,30.51,30.51,30.51,0.0,0.0,30.67,30.67,30.67,0.0,0.0
2019-03-24,31.28,31.28,31.28,0.0,0.0,31.47,31.47,31.47,0.0,0.0,31.26,31.26,31.26,0.0,0.0,31.46,31.46,31.46,0.0,0.0
2019-03-31,31.8,31.8,31.8,0.0,0.0,31.85,31.85,31.85,0.0,0.0,31.72,31.72,31.72,0.0,0.0,31.84,31.84,31.84,0.0,0.0
2019-04-07,31.93,31.93,31.93,0.0,0.0,31.93,31.93,31.93,0.0,0.0,31.82,31.82,31.82,0.0,0.0,31.89,31.89,31.89,0.0,0.0
2019-04-14,31.65,31.65,31.65,0.0,0.0,31.73,31.73,31.73,0.0,0.0,31.63,31.63,31.63,0.0,0.0,31.68,31.68,31.68,0.0,0.0
2019-04-21,31.93,31.93,31.93,0.0,0.0,31.95,31.95,31.95,0.0,0.0,31.86,31.86,31.86,0.0,0.0,31.88,31.88,31.88,0.0,0.0
2019-04-28,31.37,31.37,31.37,0.0,0.0,31.78,31.78,31.78,0.0,0.0,31.37,31.37,31.37,0.0,0.0,31.74,31.74,31.74,0.0,0.0
2019-05-05,30.58,30.58,30.58,0.0,0.0,30.62,30.62,30.62,0.0,0.0,30.17,30.17,30.17,0.0,0.0,30.33,30.33,30.33,0.0,0.0
2019-05-12,30.52,30.52,30.52,0.0,0.0,30.7,30.7,30.7,0.0,0.0,30.48,30.48,30.48,0.0,0.0,30.57,30.57,30.57,0.0,0.0
2019-05-19,30.46,30.46,30.46,0.0,0.0,30.54,30.54,30.54,0.0,0.0,30.32,30.32,30.32,0.0,0.0,30.45,30.45,30.45,0.0,0.0
2019-05-26,29.58,29.58,29.58,0.0,0.0,29.83,29.83,29.83,0.0,0.0,29.53,29.53,29.53,0.0,0.0,29.69,29.69,29.69,0.0,0.0
2019-06-02,31.16,31.16,31.16,0.0,0.0,31.35,31.35,31.35,0.0,0.0,31.16,31.16,31.16,0.0,0.0,31.18,31.18,31.18,0.0,0.0
2019-06-09,31.01,31.01,31.01,0.0,0.0,31.09,31.09,31.09,0.0,0.0,30.97,30.97,30.97,0.0,0.0,30.99,30.99,30.99,0.0,0.0
2019-06-16,31.62,31.62,31.62,0.0,0.0,31.67,31.67,31.67,0.0,0.0,31.51,31.51,31.51,0.0,0.0,31.52,31.52,31.52,0.0,0.0
2019-06-23,32.12,32.12,32.12,0.0,0.0,32.18,32.18,32.18,0.0,0.0,31.86,31.86,31.86,0.0,0.0,31.97,31.97,31.97,0.0,0.0
2019-06-30,32.1,32.1,32.1,0.0,0.0,32.18,32.18,32.18,0.0,0.0,32.03,32.03,32.03,0.0,0.0,32.09,32.09,32.09,0.0,0.0
2019-07-07,32.65,32.65,32.65,0.0,0.0,32.65,32.65,32.65,0.0,0.0,32.49,32.49,32.49,0.0,0.0,32.56,32.56,32.56,0.0,0.0
2019-07-14,32.24,32.24,32.24,0.0,0.0,32.28,32.28,32.28,0.0,0.0,32.16,32.16,32.16,0.0,0.0,32.2,32.2,32.2,0.0,0.0
2019-07-21,32.54,32.54,32.54,0.0,0.0,32.58,32.58,32.58,0.0,0.0,32.48,32.48,32.48,0.0,0.0,32.55,32.55,32.55,0.0,0.0
2019-07-28,30.91,30.91,30.91,0.0,0.0,30.91,30.91,30.91,0.0,0.0,30.25,30.25,30.25,0.0,0.0,30.49,30.49,30.49,0.0,0.0
2019-08-04,31.02,31.02,31.02,0.0,0.0,31.02,31.02,31.02,0.0,0.0,30.67,30.67,30.67,0.0,0.0,30.78,30.78,30.78,0.0,0.0
2019-08-11,31.18,31.18,31.18,0.0,0.0,31.26,31.26,31.26,0.0,0.0,31.11,31.11,31.11,0.0,0.0,31.18,31.18,31.18,0.0,0.0
2019-08-18,30.75,30.75,30.75,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.68,30.68,30.68,0.0,0.0
2019-08-25,31.37,31.37,31.37,0.0,0.0,31.41,31.41,31.41,0.0,0.0,31.18,31.18,31.18,0.0,0.0,31.28,31.28,31.28,0.0,0.0
2019-09-01,32.15,32.15,32.15,0.0,0.0,32.17,32.17,32.17,0.0,0.0,32.01,32.01,32.01,0.0,0.0,32.12,32.12,32.12,0.0,0.0
2019-09-08,32.32,32.32,32.32,0.0,0.0,32.5,32.5,32.5,0.0,0.0,32.28,32.28,32.28,0.0,0.0,32.48,32.48,32.48,0.0,0.0
2019-09-15,32.17,32.17,32.17,0.0,0.0,32.41,32.41,32.41,0.0,0.0,32.15,32.15,32.15,0.0,0.0,32.32,32.32,32.32,0.0,0.0
2019-09-22,31.85,31.85,31.85,0.0,0.0,32.03,32.03,32.03,0.0,0.0,31.85,31.85,31.85,0.0,0.0,31.92,31.92,31.92,0.0,0.0
2019-09-29,31.43,31.43,31.43,0.0,0.0,31.61,31.61,31.61,0.0,0.0,31.37,31.37,31.37,0.0,0.0,31.37,31.37,31.37,0.0,0.0
2019-10-06,31.76,31.76,31.76,0.0,0.0,31.8,31.8,31.8,0.0,0.0,31.7,31.7,31.7,0.0,0.0,31.77,31.77,31.77,0.0,0.0
2019-10-13,32.14,32.14,32.14,0.0,0.0,32.31,32.31,32.31,0.0,0.0,32.14,32.14,32.14,0.0,0.0,32.28,32.28,32.28,0.0,0.0
2019-10-20,32.94,32.94,32.94,0.0,0.0,33.06,33.06,33.06,0.0,0.0,32.94,32.94,32.94,0.0,0.0,33.0,33.0,33.0,0.0,0.0
2019-10-27,33.15,33.15,33.15,0.0,0.0,33.38,33.38,33.38,0.0,0.0,33.15,33.15,33.15,0.0,0.0,33.34,33.34,33.34,0.0,0.0
2019-11-03,33.41,33.41,33.41,0.0,0.0,33.54,33.54,33.54,0.0,0.0,33.35,33.35,33.35,0.0,0.0,33.52,33.52,33.52,0.0,0.0
2019-11-10,33.77,33.77,33.77,0.0,0.0,33.84,33.84,33.84,0.0,0.0,33.73,33.73,33.73,0.0,0.0,33.84,33.84,33.84,0.0,0.0
2019-11-17,33.78,33.78,33.78,0.0,0.0,33.95,33.95,33.95,0.0,0.0,33.78,33.78,33.78,0.0,0.0,33.94,33.94,33.94,0.0,0.0
2019-11-24,33.96,33.96,33.96,0.0,0.0,33.96,33.96,33.96,0.0,0.0,33.64,33.64,33.64,0.0,0.0,33.65,33.65,33.65,0.0,0.0
2019-12-01,33.92,33.92,33.92,0.0,0.0,33.92,33.92,33.92,0.0,0.0,33.79,33.79,33.79,0.0,0.0,33.8,33.8,33.8,0.0,0.0
2019-12-08,34.13,34.13,34.13,0.0,0.0,34.26,34.26,34.26,0.0,0.0,34.13,34.13,34.13,0.0,0.0,34.18,34.18,34.18,0.0,0.0
2019-12-15,34.55,34.55,34.55,0.0,0.0,34.55,34.55,34.55,0.0,0.0,34.42,34.42,34.42,0.0,0.0,34.44,34.44,34.44,0.0,0.0
2019-12-22,34.49,34.49,34.49,0.0,0.0,34.49,34.49,34.49,0.0,0.0,34.29,34.29,34.29,0.0,0.0,34.35,34.35,34.35,0.0,0.0
2019-12-29,34.25,34.25,34.25,0.0,0.0,34.44,34.44,34.44,0.0,0.0,34.25,34.25,34.25,0.0,0.0,34.35,34.35,34.35,0.0,0.0
