Date,DeltaShares S&P International Managed Risk_Open_average,DeltaShares S&P International Managed Risk_Open_max,DeltaShares S&P International Managed Risk_Open_min,DeltaShares S&P International Managed Risk_Open_volatility,DeltaShares S&P International Managed Risk_Open_change,DeltaShares S&P International Managed Risk_High_average,DeltaShares S&P International Managed Risk_High_max,DeltaShares S&P International Managed Risk_High_min,DeltaShares S&P International Managed Risk_High_volatility,DeltaShares S&P International Managed Risk_High_change,DeltaShares S&P International Managed Risk_Low_average,DeltaShares S&P International Managed Risk_Low_max,DeltaShares S&P International Managed Risk_Low_min,DeltaShares S&P International Managed Risk_Low_volatility,DeltaShares S&P International Managed Risk_Low_change,DeltaShares S&P International Managed Risk_Close_average,DeltaShares S&P International Managed Risk_Close_max,DeltaShares S&P International Managed Risk_Close_min,DeltaShares S&P International Managed Risk_Close_volatility,DeltaShares S&P International Managed Risk_Close_change
2019-04-07,49.09,49.09,49.09,0.0,0.0,49.09,49.09,49.09,0.0,0.0,49.09,49.09,49.09,0.0,0.0,49.09,49.09,49.09,0.0,0.0
2019-04-14,49.27,49.27,49.27,0.0,0.0,49.27,49.27,49.27,0.0,0.0,49.27,49.27,49.27,0.0,0.0,49.27,49.27,49.27,0.0,0.0
2019-04-21,48.6,48.6,48.6,0.0,0.0,49.31,49.31,49.31,0.0,0.0,48.6,48.6,48.6,0.0,0.0,49.31,49.31,49.31,0.0,0.0
2019-04-28,49.47,49.47,49.47,0.0,0.0,49.47,49.47,49.47,0.0,0.0,49.47,49.47,49.47,0.0,0.0,49.47,49.47,49.47,0.0,0.0
2019-05-05,48.22,48.22,48.22,0.0,0.0,48.22,48.22,48.22,0.0,0.0,48.22,48.22,48.22,0.0,0.0,48.22,48.22,48.22,0.0,0.0
2019-05-12,47.97,47.97,47.97,0.0,0.0,47.97,47.97,47.97,0.0,0.0,47.97,47.97,47.97,0.0,0.0,47.97,47.97,47.97,0.0,0.0
2019-05-19,47.55,47.55,47.55,0.0,0.0,47.91,47.91,47.91,0.0,0.0,47.55,47.55,47.55,0.0,0.0,47.91,47.91,47.91,0.0,0.0
2019-05-26,46.9,46.9,46.9,0.0,0.0,46.9,46.9,46.9,0.0,0.0,46.9,46.9,46.9,0.0,0.0,46.9,46.9,46.9,0.0,0.0
2019-06-02,48.5,48.5,48.5,0.0,0.0,48.57,48.57,48.57,0.0,0.0,48.5,48.5,48.5,0.0,0.0,48.57,48.57,48.57,0.0,0.0
2019-06-09,48.37,48.37,48.37,0.0,0.0,48.37,48.37,48.37,0.0,0.0,48.17,48.17,48.17,0.0,0.0,48.29,48.29,48.29,0.0,0.0
2019-06-16,49.51,49.51,49.51,0.0,0.0,49.51,49.51,49.51,0.0,0.0,49.51,49.51,49.51,0.0,0.0,49.51,49.51,49.51,0.0,0.0
2019-06-23,49.44,49.44,49.44,0.0,0.0,49.44,49.44,49.44,0.0,0.0,49.09,49.09,49.09,0.0,0.0,49.09,49.09,49.09,0.0,0.0
2019-06-30,49.15,49.15,49.15,0.0,0.0,49.48,49.48,49.48,0.0,0.0,49.15,49.15,49.15,0.0,0.0,49.48,49.48,49.48,0.0,0.0
2019-07-07,49.24,49.24,49.24,0.0,0.0,49.24,49.24,49.24,0.0,0.0,49.17,49.17,49.17,0.0,0.0,49.17,49.17,49.17,0.0,0.0
2019-07-14,48.74,48.74,48.74,0.0,0.0,48.94,48.94,48.94,0.0,0.0,48.74,48.74,48.74,0.0,0.0,48.77,48.77,48.77,0.0,0.0
2019-07-21,48.8,48.8,48.8,0.0,0.0,49.01,49.01,49.01,0.0,0.0,48.8,48.8,48.8,0.0,0.0,49.01,49.01,49.01,0.0,0.0
2019-07-28,47.59,47.59,47.59,0.0,0.0,47.7,47.7,47.7,0.0,0.0,47.59,47.59,47.59,0.0,0.0,47.7,47.7,47.7,0.0,0.0
2019-08-04,47.12,47.12,47.12,0.0,0.0,47.2,47.2,47.2,0.0,0.0,47.12,47.12,47.12,0.0,0.0,47.2,47.2,47.2,0.0,0.0
2019-08-11,46.29,46.29,46.29,0.0,0.0,46.58,46.58,46.58,0.0,0.0,46.29,46.29,46.29,0.0,0.0,46.58,46.58,46.58,0.0,0.0
2019-08-18,46.38,46.38,46.38,0.0,0.0,46.38,46.38,46.38,0.0,0.0,46.38,46.38,46.38,0.0,0.0,46.38,46.38,46.38,0.0,0.0
2019-08-25,46.92,46.92,46.92,0.0,0.0,47.35,47.35,47.35,0.0,0.0,46.92,46.92,46.92,0.0,0.0,47.25,47.25,47.25,0.0,0.0
2019-09-01,48.22,48.22,48.22,0.0,0.0,48.28,48.28,48.28,0.0,0.0,48.22,48.22,48.22,0.0,0.0,48.28,48.28,48.28,0.0,0.0
2019-09-08,49.04,49.04,49.04,0.0,0.0,49.38,49.38,49.38,0.0,0.0,49.04,49.04,49.04,0.0,0.0,49.3,49.3,49.3,0.0,0.0
2019-09-15,49.08,49.08,49.08,0.0,0.0,49.08,49.08,49.08,0.0,0.0,49.08,49.08,49.08,0.0,0.0,49.08,49.08,49.08,0.0,0.0
2019-09-22,48.2,48.2,48.2,0.0,0.0,48.72,48.72,48.72,0.0,0.0,48.2,48.2,48.2,0.0,0.0,48.35,48.35,48.35,0.0,0.0
2019-09-29,47.51,47.51,47.51,0.0,0.0,47.74,47.74,47.74,0.0,0.0,47.51,47.51,47.51,0.0,0.0,47.61,47.61,47.61,0.0,0.0
2019-10-06,48.44,48.44,48.44,0.0,0.0,48.59,48.59,48.59,0.0,0.0,48.44,48.44,48.44,0.0,0.0,48.59,48.59,48.59,0.0,0.0
2019-10-13,49.1,49.1,49.1,0.0,0.0,49.1,49.1,49.1,0.0,0.0,49.1,49.1,49.1,0.0,0.0,49.1,49.1,49.1,0.0,0.0
2019-10-20,49.78,49.78,49.78,0.0,0.0,49.78,49.78,49.78,0.0,0.0,49.29,49.29,49.29,0.0,0.0,49.62,49.62,49.62,0.0,0.0
2019-10-27,50.26,50.26,50.26,0.0,0.0,50.26,50.26,50.26,0.0,0.0,50.26,50.26,50.26,0.0,0.0,50.26,50.26,50.26,0.0,0.0
2019-11-03,50.58,50.58,50.58,0.0,0.0,50.58,50.58,50.58,0.0,0.0,50.58,50.58,50.58,0.0,0.0,50.58,50.58,50.58,0.0,0.0
2019-11-10,50.5,50.5,50.5,0.0,0.0,50.5,50.5,50.5,0.0,0.0,50.5,50.5,50.5,0.0,0.0,50.5,50.5,50.5,0.0,0.0
2019-11-17,50.3,50.3,50.3,0.0,0.0,50.3,50.3,50.3,0.0,0.0,50.3,50.3,50.3,0.0,0.0,50.3,50.3,50.3,0.0,0.0
2019-11-24,50.59,50.59,50.59,0.0,0.0,50.59,50.59,50.59,0.0,0.0,50.59,50.59,50.59,0.0,0.0,50.59,50.59,50.59,0.0,0.0
2019-12-01,50.84,50.84,50.84,0.0,0.0,50.84,50.84,50.84,0.0,0.0,50.84,50.84,50.84,0.0,0.0,50.84,50.84,50.84,0.0,0.0
2019-12-08,51.73,51.73,51.73,0.0,0.0,51.73,51.73,51.73,0.0,0.0,51.31,51.31,51.31,0.0,0.0,51.62,51.62,51.62,0.0,0.0
2019-12-15,52.11,52.11,52.11,0.0,0.0,52.11,52.11,52.11,0.0,0.0,51.97,51.97,51.97,0.0,0.0,51.99,51.99,51.99,0.0,0.0
2019-12-22,51.95,51.95,51.95,0.0,0.0,51.95,51.95,51.95,0.0,0.0,51.95,51.95,51.95,0.0,0.0,51.95,51.95,51.95,0.0,0.0
2019-12-29,51.58,51.58,51.58,0.0,0.0,51.65,51.65,51.65,0.0,0.0,51.54,51.54,51.54,0.0,0.0,51.65,51.65,51.65,0.0,0.0
