Date,iShares iBoxx $ Investment Grade Corporate Bond_Open_average,iShares iBoxx $ Investment Grade Corporate Bond_Open_max,iShares iBoxx $ Investment Grade Corporate Bond_Open_min,iShares iBoxx $ Investment Grade Corporate Bond_Open_volatility,iShares iBoxx $ Investment Grade Corporate Bond_Open_change,iShares iBoxx $ Investment Grade Corporate Bond_High_average,iShares iBoxx $ Investment Grade Corporate Bond_High_max,iShares iBoxx $ Investment Grade Corporate Bond_High_min,iShares iBoxx $ Investment Grade Corporate Bond_High_volatility,iShares iBoxx $ Investment Grade Corporate Bond_High_change,iShares iBoxx $ Investment Grade Corporate Bond_Low_average,iShares iBoxx $ Investment Grade Corporate Bond_Low_max,iShares iBoxx $ Investment Grade Corporate Bond_Low_min,iShares iBoxx $ Investment Grade Corporate Bond_Low_volatility,iShares iBoxx $ Investment Grade Corporate Bond_Low_change,iShares iBoxx $ Investment Grade Corporate Bond_Close_average,iShares iBoxx $ Investment Grade Corporate Bond_Close_max,iShares iBoxx $ Investment Grade Corporate Bond_Close_min,iShares iBoxx $ Investment Grade Corporate Bond_Close_volatility,iShares iBoxx $ Investment Grade Corporate Bond_Close_change
2019-02-10,116.03,116.03,116.03,0.0,0.0,116.26,116.26,116.26,0.0,0.0,116.03,116.03,116.03,0.0,0.0,116.22,116.22,116.22,0.0,0.0
2019-02-17,116.26,116.26,116.26,0.0,0.0,116.44,116.44,116.44,0.0,0.0,116.25,116.25,116.25,0.0,0.0,116.34,116.34,116.34,0.0,0.0
2019-02-24,115.81,115.81,115.81,0.0,0.0,115.86,115.86,115.86,0.0,0.0,115.68,115.68,115.68,0.0,0.0,115.73,115.73,115.73,0.0,0.0
2019-03-03,116.39,116.39,116.39,0.0,0.0,116.54,116.54,116.54,0.0,0.0,116.31,116.31,116.31,0.0,0.0,116.54,116.54,116.54,0.0,0.0
2019-03-10,116.78,116.78,116.78,0.0,0.0,116.89,116.89,116.89,0.0,0.0,116.75,116.75,116.75,0.0,0.0,116.8,116.8,116.8,0.0,0.0
2019-03-17,118.57,118.57,118.57,0.0,0.0,119.0,119.0,119.0,0.0,0.0,118.37,118.37,118.37,0.0,0.0,118.79,118.79,118.79,0.0,0.0
2019-03-24,118.45,118.45,118.45,0.0,0.0,118.62,118.62,118.62,0.0,0.0,118.19,118.19,118.19,0.0,0.0,118.26,118.26,118.26,0.0,0.0
2019-03-31,118.52,118.52,118.52,0.0,0.0,118.57,118.57,118.57,0.0,0.0,118.35,118.35,118.35,0.0,0.0,118.38,118.38,118.38,0.0,0.0
2019-04-07,119.01,119.01,119.01,0.0,0.0,119.08,119.08,119.08,0.0,0.0,118.83,118.83,118.83,0.0,0.0,118.83,118.83,118.83,0.0,0.0
2019-04-14,118.46,118.46,118.46,0.0,0.0,118.53,118.53,118.53,0.0,0.0,118.34,118.34,118.34,0.0,0.0,118.39,118.39,118.39,0.0,0.0
2019-04-21,119.38,119.38,119.38,0.0,0.0,119.43,119.43,119.43,0.0,0.0,119.11,119.11,119.11,0.0,0.0,119.17,119.17,119.17,0.0,0.0
2019-04-28,119.03,119.03,119.03,0.0,0.0,119.23,119.23,119.23,0.0,0.0,118.88,118.88,118.88,0.0,0.0,119.09,119.09,119.09,0.0,0.0
2019-05-05,118.86,118.86,118.86,0.0,0.0,119.13,119.13,119.13,0.0,0.0,118.78,118.78,118.78,0.0,0.0,118.93,118.93,118.93,0.0,0.0
2019-05-12,119.22,119.22,119.22,0.0,0.0,119.31,119.31,119.31,0.0,0.0,118.96,118.96,118.96,0.0,0.0,118.97,118.97,118.97,0.0,0.0
2019-05-19,119.64,119.64,119.64,0.0,0.0,119.75,119.75,119.75,0.0,0.0,119.52,119.52,119.52,0.0,0.0,119.73,119.73,119.73,0.0,0.0
2019-05-26,120.75,120.75,120.75,0.0,0.0,120.91,120.91,120.91,0.0,0.0,120.41,120.41,120.41,0.0,0.0,120.83,120.83,120.83,0.0,0.0
2019-06-02,121.34,121.34,121.34,0.0,0.0,121.47,121.47,121.47,0.0,0.0,121.11,121.11,121.11,0.0,0.0,121.12,121.12,121.12,0.0,0.0
2019-06-09,121.69,121.69,121.69,0.0,0.0,121.93,121.93,121.93,0.0,0.0,121.62,121.62,121.62,0.0,0.0,121.83,121.83,121.83,0.0,0.0
2019-06-16,123.95,123.95,123.95,0.0,0.0,124.17,124.17,124.17,0.0,0.0,123.78,123.78,123.78,0.0,0.0,123.95,123.95,123.95,0.0,0.0
2019-06-23,124.21,124.21,124.21,0.0,0.0,124.54,124.54,124.54,0.0,0.0,123.94,123.94,123.94,0.0,0.0,124.25,124.25,124.25,0.0,0.0
2019-06-30,124.0,124.0,124.0,0.0,0.0,124.05,124.05,124.05,0.0,0.0,123.66,123.66,123.66,0.0,0.0,123.66,123.66,123.66,0.0,0.0
2019-07-07,123.2,123.2,123.2,0.0,0.0,123.34,123.34,123.34,0.0,0.0,123.09,123.09,123.09,0.0,0.0,123.28,123.28,123.28,0.0,0.0
2019-07-14,124.25,124.25,124.25,0.0,0.0,124.27,124.27,124.27,0.0,0.0,124.09,124.09,124.09,0.0,0.0,124.15,124.15,124.15,0.0,0.0
2019-07-21,124.49,124.49,124.49,0.0,0.0,124.51,124.51,124.51,0.0,0.0,124.25,124.25,124.25,0.0,0.0,124.26,124.26,124.26,0.0,0.0
2019-07-28,125.51,125.51,125.51,0.0,0.0,125.51,125.51,125.51,0.0,0.0,125.13,125.13,125.13,0.0,0.0,125.21,125.21,125.21,0.0,0.0
2019-08-04,126.3,126.3,126.3,0.0,0.0,126.83,126.83,126.83,0.0,0.0,126.26,126.26,126.26,0.0,0.0,126.73,126.73,126.73,0.0,0.0
2019-08-11,127.17,127.17,127.17,0.0,0.0,127.61,127.61,127.61,0.0,0.0,127.0,127.0,127.0,0.0,0.0,127.43,127.43,127.43,0.0,0.0
2019-08-18,128.48,128.48,128.48,0.0,0.0,128.72,128.72,128.72,0.0,0.0,128.21,128.21,128.21,0.0,0.0,128.41,128.41,128.41,0.0,0.0
2019-08-25,128.67,128.67,128.67,0.0,0.0,128.84,128.84,128.84,0.0,0.0,128.42,128.42,128.42,0.0,0.0,128.8,128.8,128.8,0.0,0.0
2019-09-01,127.47,127.47,127.47,0.0,0.0,127.56,127.56,127.56,0.0,0.0,127.15,127.15,127.15,0.0,0.0,127.15,127.15,127.15,0.0,0.0
2019-09-08,125.13,125.13,125.13,0.0,0.0,125.43,125.43,125.43,0.0,0.0,124.93,124.93,124.93,0.0,0.0,125.31,125.31,125.31,0.0,0.0
2019-09-15,127.39,127.39,127.39,0.0,0.0,127.58,127.58,127.58,0.0,0.0,127.05,127.05,127.05,0.0,0.0,127.08,127.08,127.08,0.0,0.0
2019-09-22,126.96,126.96,126.96,0.0,0.0,127.51,127.51,127.51,0.0,0.0,126.86,126.86,126.86,0.0,0.0,127.48,127.48,127.48,0.0,0.0
2019-09-29,127.91,127.91,127.91,0.0,0.0,128.0,128.0,128.0,0.0,0.0,127.61,127.61,127.61,0.0,0.0,127.62,127.62,127.62,0.0,0.0
2019-10-06,126.9,126.9,126.9,0.0,0.0,127.05,127.05,127.05,0.0,0.0,126.7,126.7,126.7,0.0,0.0,127.0,127.0,127.0,0.0,0.0
2019-10-13,126.9,126.9,126.9,0.0,0.0,127.0,127.0,127.0,0.0,0.0,126.8,126.8,126.8,0.0,0.0,126.85,126.85,126.85,0.0,0.0
2019-10-20,126.8,126.8,126.8,0.0,0.0,126.94,126.94,126.94,0.0,0.0,126.72,126.72,126.72,0.0,0.0,126.82,126.82,126.82,0.0,0.0
2019-10-27,127.15,127.15,127.15,0.0,0.0,127.18,127.18,127.18,0.0,0.0,126.85,126.85,126.85,0.0,0.0,126.89,126.89,126.89,0.0,0.0
2019-11-03,125.96,125.96,125.96,0.0,0.0,125.99,125.99,125.99,0.0,0.0,125.66,125.66,125.66,0.0,0.0,125.75,125.75,125.75,0.0,0.0
2019-11-10,127.04,127.04,127.04,0.0,0.0,127.17,127.17,127.17,0.0,0.0,126.91,126.91,126.91,0.0,0.0,126.99,126.99,126.99,0.0,0.0
2019-11-17,127.64,127.64,127.64,0.0,0.0,127.98,127.98,127.98,0.0,0.0,127.63,127.63,127.63,0.0,0.0,127.91,127.91,127.91,0.0,0.0
2019-11-24,127.07,127.07,127.07,0.0,0.0,127.15,127.15,127.15,0.0,0.0,126.8,126.8,126.8,0.0,0.0,127.07,127.07,127.07,0.0,0.0
2019-12-01,127.98,127.98,127.98,0.0,0.0,127.99,127.99,127.99,0.0,0.0,127.62,127.62,127.62,0.0,0.0,127.65,127.65,127.65,0.0,0.0
2019-12-08,128.24,128.24,128.24,0.0,0.0,128.31,128.31,128.31,0.0,0.0,127.97,127.97,127.97,0.0,0.0,128.1,128.1,128.1,0.0,0.0
2019-12-15,127.8,127.8,127.8,0.0,0.0,127.86,127.86,127.86,0.0,0.0,127.47,127.47,127.47,0.0,0.0,127.72,127.72,127.72,0.0,0.0
2019-12-22,127.9,127.9,127.9,0.0,0.0,128.5,128.5,128.5,0.0,0.0,127.78,127.78,127.78,0.0,0.0,128.49,128.49,128.49,0.0,0.0
2019-12-29,128.4,128.4,128.4,0.0,0.0,128.71,128.71,128.71,0.0,0.0,128.27,128.27,128.27,0.0,0.0,128.67,128.67,128.67,0.0,0.0
