Date,iShares Micro-Cap_Open_average,iShares Micro-Cap_Open_max,iShares Micro-Cap_Open_min,iShares Micro-Cap_Open_volatility,iShares Micro-Cap_Open_change,iShares Micro-Cap_High_average,iShares Micro-Cap_High_max,iShares Micro-Cap_High_min,iShares Micro-Cap_High_volatility,iShares Micro-Cap_High_change,iShares Micro-Cap_Low_average,iShares Micro-Cap_Low_max,iShares Micro-Cap_Low_min,iShares Micro-Cap_Low_volatility,iShares Micro-Cap_Low_change,iShares Micro-Cap_Close_average,iShares Micro-Cap_Close_max,iShares Micro-Cap_Close_min,iShares Micro-Cap_Close_volatility,iShares Micro-Cap_Close_change
2018-11-11,93.59,93.59,93.59,0.0,0.0,93.59,93.59,93.59,0.0,0.0,91.82,91.82,91.82,0.0,0.0,92.17,92.17,92.17,0.0,0.0
2018-11-18,92.48,92.48,92.48,0.0,0.0,93.24,93.24,93.24,0.0,0.0,91.98,91.98,91.98,0.0,0.0,92.68,92.68,92.68,0.0,0.0
2018-11-25,95.42,95.42,95.42,0.0,0.0,95.42,95.42,95.42,0.0,0.0,93.85,93.85,93.85,0.0,0.0,94.75,94.75,94.75,0.0,0.0
2018-12-02,89.34,89.34,89.34,0.0,0.0,89.68,89.68,89.68,0.0,0.0,87.93,87.93,87.93,0.0,0.0,88.95,88.95,88.95,0.0,0.0
2018-12-09,86.22,86.22,86.22,0.0,0.0,86.9,86.9,86.9,0.0,0.0,84.23,84.23,84.23,0.0,0.0,84.7,84.7,84.7,0.0,0.0
2018-12-16,78.1,78.1,78.1,0.0,0.0,78.8,78.8,78.8,0.0,0.0,77.75,77.75,77.75,0.0,0.0,77.77,77.77,77.77,0.0,0.0
2018-12-23,82.18,82.18,82.18,0.0,0.0,82.58,82.58,82.58,0.0,0.0,81.11,81.11,81.11,0.0,0.0,82.45,82.45,82.45,0.0,0.0
2018-12-30,85.62,85.62,85.62,0.0,0.0,87.5,87.5,87.5,0.0,0.0,85.62,85.62,85.62,0.0,0.0,87.05,87.05,87.05,0.0,0.0
2019-01-06,88.42,88.42,88.42,0.0,0.0,88.74,88.74,88.74,0.0,0.0,87.83,87.83,87.83,0.0,0.0,87.84,87.84,87.84,0.0,0.0
2019-01-13,90.54,90.54,90.54,0.0,0.0,90.9,90.9,90.9,0.0,0.0,90.03,90.03,90.03,0.0,0.0,90.58,90.58,90.58,0.0,0.0
2019-01-20,89.55,89.55,89.55,0.0,0.0,89.94,89.94,89.94,0.0,0.0,89.07,89.07,89.07,0.0,0.0,89.46,89.46,89.46,0.0,0.0
2019-01-27,91.19,91.19,91.19,0.0,0.0,92.19,92.19,92.19,0.0,0.0,91.1,91.1,91.1,0.0,0.0,92.11,92.11,92.11,0.0,0.0
2019-02-03,91.81,91.81,91.81,0.0,0.0,92.28,92.28,92.28,0.0,0.0,91.32,91.32,91.32,0.0,0.0,92.28,92.28,92.28,0.0,0.0
2019-02-10,94.25,94.25,94.25,0.0,0.0,95.58,95.58,95.58,0.0,0.0,94.13,94.13,94.13,0.0,0.0,95.56,95.56,95.56,0.0,0.0
2019-02-17,97.68,97.68,97.68,0.0,0.0,97.97,97.97,97.97,0.0,0.0,97.13,97.13,97.13,0.0,0.0,97.19,97.19,97.19,0.0,0.0
2019-02-24,97.2,97.2,97.2,0.0,0.0,97.27,97.27,97.27,0.0,0.0,95.27,95.27,95.27,0.0,0.0,95.92,95.92,95.92,0.0,0.0
2019-03-03,92.82,92.82,92.82,0.0,0.0,94.22,94.22,94.22,0.0,0.0,92.79,92.79,92.79,0.0,0.0,94.21,94.21,94.21,0.0,0.0
2019-03-10,94.91,94.91,94.91,0.0,0.0,95.67,95.67,95.67,0.0,0.0,94.66,94.66,94.66,0.0,0.0,95.39,95.39,95.39,0.0,0.0
2019-03-17,91.32,91.32,91.32,0.0,0.0,92.42,92.42,92.42,0.0,0.0,90.45,90.45,90.45,0.0,0.0,91.97,91.97,91.97,0.0,0.0
2019-03-24,93.62,93.62,93.62,0.0,0.0,93.77,93.77,93.77,0.0,0.0,93.0,93.0,93.0,0.0,0.0,93.5,93.5,93.5,0.0,0.0
2019-03-31,95.27,95.27,95.27,0.0,0.0,95.52,95.52,95.52,0.0,0.0,94.88,94.88,94.88,0.0,0.0,95.25,95.25,95.25,0.0,0.0
2019-04-07,95.05,95.05,95.05,0.0,0.0,95.05,95.05,95.05,0.0,0.0,94.0,94.0,94.0,0.0,0.0,94.38,94.38,94.38,0.0,0.0
2019-04-14,93.06,93.06,93.06,0.0,0.0,93.23,93.23,93.23,0.0,0.0,92.55,92.55,92.55,0.0,0.0,92.95,92.95,92.95,0.0,0.0
2019-04-21,95.14,95.14,95.14,0.0,0.0,95.9,95.9,95.9,0.0,0.0,95.03,95.03,95.03,0.0,0.0,95.58,95.58,95.58,0.0,0.0
2019-04-28,94.73,94.73,94.73,0.0,0.0,97.05,97.05,97.05,0.0,0.0,94.73,94.73,94.73,0.0,0.0,96.98,96.98,96.98,0.0,0.0
2019-05-05,92.95,92.95,92.95,0.0,0.0,93.54,93.54,93.54,0.0,0.0,91.75,91.75,91.75,0.0,0.0,91.98,91.98,91.98,0.0,0.0
2019-05-12,92.18,92.18,92.18,0.0,0.0,92.69,92.69,92.69,0.0,0.0,91.96,91.96,91.96,0.0,0.0,92.37,92.37,92.37,0.0,0.0
2019-05-19,91.25,91.25,91.25,0.0,0.0,91.49,91.49,91.49,0.0,0.0,90.88,90.88,90.88,0.0,0.0,91.33,91.33,91.33,0.0,0.0
2019-05-26,88.41,88.41,88.41,0.0,0.0,88.87,88.87,88.87,0.0,0.0,87.84,87.84,87.84,0.0,0.0,88.5,88.5,88.5,0.0,0.0
2019-06-02,90.45,90.45,90.45,0.0,0.0,91.26,91.26,91.26,0.0,0.0,90.45,90.45,90.45,0.0,0.0,90.48,90.48,90.48,0.0,0.0
2019-06-09,90.44,90.44,90.44,0.0,0.0,91.19,91.19,91.19,0.0,0.0,90.44,90.44,90.44,0.0,0.0,90.89,90.89,90.89,0.0,0.0
2019-06-16,91.86,91.86,91.86,0.0,0.0,91.86,91.86,91.86,0.0,0.0,90.42,90.42,90.42,0.0,0.0,90.5,90.5,90.5,0.0,0.0
2019-06-23,94.38,94.38,94.38,0.0,0.0,94.54,94.54,94.54,0.0,0.0,93.38,93.38,93.38,0.0,0.0,93.69,93.69,93.69,0.0,0.0
2019-06-30,93.54,93.54,93.54,0.0,0.0,93.58,93.58,93.58,0.0,0.0,92.75,92.75,92.75,0.0,0.0,92.88,92.88,92.88,0.0,0.0
2019-07-07,93.26,93.26,93.26,0.0,0.0,93.33,93.33,93.33,0.0,0.0,92.44,92.44,92.44,0.0,0.0,92.58,92.58,92.58,0.0,0.0
2019-07-14,91.46,91.46,91.46,0.0,0.0,91.95,91.95,91.95,0.0,0.0,90.88,90.88,90.88,0.0,0.0,91.06,91.06,91.06,0.0,0.0
2019-07-21,92.72,92.72,92.72,0.0,0.0,92.73,92.73,92.73,0.0,0.0,91.82,91.82,91.82,0.0,0.0,92.04,92.04,92.04,0.0,0.0
2019-07-28,88.19,88.19,88.19,0.0,0.0,88.19,88.19,88.19,0.0,0.0,85.88,85.88,85.88,0.0,0.0,86.63,86.63,86.63,0.0,0.0
2019-08-04,87.13,87.13,87.13,0.0,0.0,87.51,87.51,87.51,0.0,0.0,86.49,86.49,86.49,0.0,0.0,86.95,86.95,86.95,0.0,0.0
2019-08-11,87.74,87.74,87.74,0.0,0.0,88.05,88.05,88.05,0.0,0.0,87.61,87.61,87.61,0.0,0.0,87.62,87.62,87.62,0.0,0.0
2019-08-18,85.34,85.34,85.34,0.0,0.0,85.83,85.83,85.83,0.0,0.0,85.1,85.1,85.1,0.0,0.0,85.83,85.83,85.83,0.0,0.0
2019-08-25,86.87,86.87,86.87,0.0,0.0,87.08,87.08,87.08,0.0,0.0,85.95,85.95,85.95,0.0,0.0,86.4,86.4,86.4,0.0,0.0
2019-09-01,87.43,87.43,87.43,0.0,0.0,88.76,88.76,88.76,0.0,0.0,87.33,87.33,87.33,0.0,0.0,88.5,88.5,88.5,0.0,0.0
2019-09-08,92.99,92.99,92.99,0.0,0.0,93.59,93.59,93.59,0.0,0.0,92.79,92.79,92.79,0.0,0.0,93.13,93.13,93.13,0.0,0.0
2019-09-15,91.27,91.27,91.27,0.0,0.0,91.57,91.57,91.57,0.0,0.0,91.0,91.0,91.0,0.0,0.0,91.41,91.41,91.41,0.0,0.0
2019-09-22,88.52,88.52,88.52,0.0,0.0,88.58,88.58,88.58,0.0,0.0,87.8,87.8,87.8,0.0,0.0,88.15,88.15,88.15,0.0,0.0
2019-09-29,86.13,86.13,86.13,0.0,0.0,87.07,87.07,87.07,0.0,0.0,86.13,86.13,86.13,0.0,0.0,86.62,86.62,86.62,0.0,0.0
2019-10-06,86.5,86.5,86.5,0.0,0.0,86.65,86.65,86.65,0.0,0.0,86.17,86.17,86.17,0.0,0.0,86.47,86.47,86.47,0.0,0.0
2019-10-13,88.95,88.95,88.95,0.0,0.0,89.85,89.85,89.85,0.0,0.0,88.95,88.95,88.95,0.0,0.0,89.52,89.52,89.52,0.0,0.0
2019-10-20,90.35,90.35,90.35,0.0,0.0,91.14,91.14,91.14,0.0,0.0,90.35,90.35,90.35,0.0,0.0,90.82,90.82,90.82,0.0,0.0
2019-10-27,92.7,92.7,92.7,0.0,0.0,93.07,93.07,93.07,0.0,0.0,92.36,92.36,92.36,0.0,0.0,92.74,92.74,92.74,0.0,0.0
2019-11-03,91.84,91.84,91.84,0.0,0.0,92.28,92.28,92.28,0.0,0.0,91.8,91.8,91.8,0.0,0.0,92.11,92.11,92.11,0.0,0.0
2019-11-10,91.95,91.95,91.95,0.0,0.0,91.99,91.99,91.99,0.0,0.0,91.43,91.43,91.43,0.0,0.0,91.81,91.81,91.81,0.0,0.0
2019-11-17,92.28,92.28,92.28,0.0,0.0,94.1,94.1,94.1,0.0,0.0,92.28,92.28,92.28,0.0,0.0,93.97,93.97,93.97,0.0,0.0
2019-11-24,94.82,94.82,94.82,0.0,0.0,94.82,94.82,94.82,0.0,0.0,93.57,93.57,93.57,0.0,0.0,93.79,93.79,93.79,0.0,0.0
2019-12-01,95.79,95.79,95.79,0.0,0.0,96.29,96.29,96.29,0.0,0.0,95.79,95.79,95.79,0.0,0.0,95.89,95.89,95.89,0.0,0.0
2019-12-08,97.65,97.65,97.65,0.0,0.0,98.34,98.34,98.34,0.0,0.0,97.42,97.42,97.42,0.0,0.0,97.54,97.54,97.54,0.0,0.0
2019-12-15,99.23,99.23,99.23,0.0,0.0,99.8,99.8,99.8,0.0,0.0,98.71,98.71,98.71,0.0,0.0,99.62,99.62,99.62,0.0,0.0
2019-12-22,99.57,99.57,99.57,0.0,0.0,99.91,99.91,99.91,0.0,0.0,98.62,98.62,98.62,0.0,0.0,99.21,99.21,99.21,0.0,0.0
2019-12-29,98.15,98.15,98.15,0.0,0.0,98.71,98.71,98.71,0.0,0.0,98.1,98.1,98.1,0.0,0.0,98.67,98.67,98.67,0.0,0.0
