Date,Global X SuperDividend REIT_etf_Open_average,Global X SuperDividend REIT_etf_Open_max,Global X SuperDividend REIT_etf_Open_min,Global X SuperDividend REIT_etf_Open_volatility,Global X SuperDividend REIT_etf_Open_change,Global X SuperDividend REIT_etf_High_average,Global X SuperDividend REIT_etf_High_max,Global X SuperDividend REIT_etf_High_min,Global X SuperDividend REIT_etf_High_volatility,Global X SuperDividend REIT_etf_High_change,Global X SuperDividend REIT_etf_Low_average,Global X SuperDividend REIT_etf_Low_max,Global X SuperDividend REIT_etf_Low_min,Global X SuperDividend REIT_etf_Low_volatility,Global X SuperDividend REIT_etf_Low_change,Global X SuperDividend REIT_etf_Close_average,Global X SuperDividend REIT_etf_Close_max,Global X SuperDividend REIT_etf_Close_min,Global X SuperDividend REIT_etf_Close_volatility,Global X SuperDividend REIT_etf_Close_change
2018-08-12,15.59,15.59,15.59,0.0,0.0,15.69,15.69,15.69,0.0,0.0,15.57,15.57,15.57,0.0,0.0,15.69,15.69,15.69,0.0,0.0
2018-08-19,15.73,15.73,15.73,0.0,0.0,15.73,15.73,15.73,0.0,0.0,15.62,15.62,15.62,0.0,0.0,15.65,15.65,15.65,0.0,0.0
2018-08-26,15.79,15.79,15.79,0.0,0.0,15.79,15.79,15.79,0.0,0.0,15.68,15.68,15.68,0.0,0.0,15.73,15.73,15.73,0.0,0.0
2018-09-02,15.62,15.62,15.62,0.0,0.0,15.62,15.62,15.62,0.0,0.0,15.49,15.49,15.49,0.0,0.0,15.49,15.49,15.49,0.0,0.0
2018-09-09,15.56,15.56,15.56,0.0,0.0,15.56,15.56,15.56,0.0,0.0,15.41,15.41,15.41,0.0,0.0,15.5,15.5,15.5,0.0,0.0
2018-09-16,15.24,15.24,15.24,0.0,0.0,15.3,15.3,15.3,0.0,0.0,15.18,15.18,15.18,0.0,0.0,15.26,15.26,15.26,0.0,0.0
2018-09-23,15.09,15.09,15.09,0.0,0.0,15.2,15.2,15.2,0.0,0.0,15.09,15.09,15.09,0.0,0.0,15.2,15.2,15.2,0.0,0.0
2018-09-30,14.62,14.62,14.62,0.0,0.0,14.66,14.66,14.66,0.0,0.0,14.57,14.57,14.57,0.0,0.0,14.59,14.59,14.59,0.0,0.0
2018-10-07,14.55,14.55,14.55,0.0,0.0,14.55,14.55,14.55,0.0,0.0,14.25,14.25,14.25,0.0,0.0,14.3,14.3,14.3,0.0,0.0
2018-10-14,14.58,14.58,14.58,0.0,0.0,14.65,14.65,14.65,0.0,0.0,14.58,14.58,14.58,0.0,0.0,14.62,14.62,14.62,0.0,0.0
2018-10-21,14.66,14.66,14.66,0.0,0.0,14.66,14.66,14.66,0.0,0.0,14.37,14.37,14.37,0.0,0.0,14.48,14.48,14.48,0.0,0.0
2018-10-28,14.63,14.63,14.63,0.0,0.0,14.7,14.7,14.7,0.0,0.0,14.54,14.54,14.54,0.0,0.0,14.6,14.6,14.6,0.0,0.0
2018-11-04,14.9,14.9,14.9,0.0,0.0,14.95,14.95,14.95,0.0,0.0,14.87,14.87,14.87,0.0,0.0,14.94,14.94,14.94,0.0,0.0
