Date,First Trust NASDAQ Technology Dividend_Open_average,First Trust NASDAQ Technology Dividend_Open_max,First Trust NASDAQ Technology Dividend_Open_min,First Trust NASDAQ Technology Dividend_Open_volatility,First Trust NASDAQ Technology Dividend_Open_change,First Trust NASDAQ Technology Dividend_High_average,First Trust NASDAQ Technology Dividend_High_max,First Trust NASDAQ Technology Dividend_High_min,First Trust NASDAQ Technology Dividend_High_volatility,First Trust NASDAQ Technology Dividend_High_change,First Trust NASDAQ Technology Dividend_Low_average,First Trust NASDAQ Technology Dividend_Low_max,First Trust NASDAQ Technology Dividend_Low_min,First Trust NASDAQ Technology Dividend_Low_volatility,First Trust NASDAQ Technology Dividend_Low_change,First Trust NASDAQ Technology Dividend_Close_average,First Trust NASDAQ Technology Dividend_Close_max,First Trust NASDAQ Technology Dividend_Close_min,First Trust NASDAQ Technology Dividend_Close_volatility,First Trust NASDAQ Technology Dividend_Close_change
2018-08-12,37.53,37.53,37.53,0.0,0.0,37.58,37.58,37.58,0.0,0.0,37.32,37.32,37.32,0.0,0.0,37.45,37.45,37.45,0.0,0.0
2018-08-19,37.93,37.93,37.93,0.0,0.0,38.09,38.09,38.09,0.0,0.0,37.79,37.79,37.79,0.0,0.0,37.97,37.97,37.97,0.0,0.0
2018-08-26,38.1,38.1,38.1,0.0,0.0,38.26,38.26,38.26,0.0,0.0,38.06,38.06,38.06,0.0,0.0,38.21,38.21,38.21,0.0,0.0
2018-09-02,37.78,37.78,37.78,0.0,0.0,37.88,37.88,37.88,0.0,0.0,37.7,37.7,37.7,0.0,0.0,37.77,37.77,37.77,0.0,0.0
2018-09-09,37.9,37.9,37.9,0.0,0.0,38.14,38.14,38.14,0.0,0.0,37.74,37.74,37.74,0.0,0.0,37.81,37.81,37.81,0.0,0.0
2018-09-16,38.33,38.33,38.33,0.0,0.0,38.57,38.57,38.57,0.0,0.0,38.31,38.31,38.31,0.0,0.0,38.53,38.53,38.53,0.0,0.0
2018-09-23,38.63,38.63,38.63,0.0,0.0,38.67,38.67,38.67,0.0,0.0,38.38,38.38,38.38,0.0,0.0,38.49,38.49,38.49,0.0,0.0
2018-09-30,37.58,37.58,37.58,0.0,0.0,37.69,37.69,37.69,0.0,0.0,37.24,37.24,37.24,0.0,0.0,37.5,37.5,37.5,0.0,0.0
2018-10-07,36.08,36.08,36.08,0.0,0.0,36.34,36.34,36.34,0.0,0.0,35.91,35.91,35.91,0.0,0.0,36.07,36.07,36.07,0.0,0.0
2018-10-14,36.09,36.09,36.09,0.0,0.0,36.29,36.29,36.29,0.0,0.0,35.98,35.98,35.98,0.0,0.0,36.12,36.12,36.12,0.0,0.0
2018-10-21,35.1,35.1,35.1,0.0,0.0,35.33,35.33,35.33,0.0,0.0,33.89,33.89,33.89,0.0,0.0,34.33,34.33,34.33,0.0,0.0
2018-10-28,35.53,35.53,35.53,0.0,0.0,35.85,35.85,35.85,0.0,0.0,35.41,35.41,35.41,0.0,0.0,35.73,35.73,35.73,0.0,0.0
2018-11-04,35.7,35.7,35.7,0.0,0.0,35.7,35.7,35.7,0.0,0.0,34.99,34.99,34.99,0.0,0.0,35.0,35.0,35.0,0.0,0.0
2018-11-11,35.78,35.78,35.78,0.0,0.0,35.82,35.82,35.82,0.0,0.0,35.05,35.05,35.05,0.0,0.0,35.1,35.1,35.1,0.0,0.0
2018-11-18,34.91,34.91,34.91,0.0,0.0,35.13,35.13,35.13,0.0,0.0,34.83,34.83,34.83,0.0,0.0,35.07,35.07,35.07,0.0,0.0
2018-11-25,36.71,36.71,36.71,0.0,0.0,36.75,36.75,36.75,0.0,0.0,36.3,36.3,36.3,0.0,0.0,36.54,36.54,36.54,0.0,0.0
2018-12-02,34.51,34.51,34.51,0.0,0.0,34.84,34.84,34.84,0.0,0.0,34.04,34.04,34.04,0.0,0.0,34.74,34.74,34.74,0.0,0.0
2018-12-09,34.5,34.5,34.5,0.0,0.0,34.69,34.69,34.69,0.0,0.0,33.75,33.75,33.75,0.0,0.0,33.88,33.88,33.88,0.0,0.0
2018-12-16,31.79,31.79,31.79,0.0,0.0,31.95,31.95,31.95,0.0,0.0,31.2,31.2,31.2,0.0,0.0,31.2,31.2,31.2,0.0,0.0
2018-12-23,33.24,33.24,33.24,0.0,0.0,33.3,33.3,33.3,0.0,0.0,32.9,32.9,32.9,0.0,0.0,33.16,33.16,33.16,0.0,0.0
2018-12-30,33.14,33.14,33.14,0.0,0.0,33.72,33.72,33.72,0.0,0.0,33.13,33.13,33.13,0.0,0.0,33.46,33.46,33.46,0.0,0.0
2019-01-06,34.03,34.03,34.03,0.0,0.0,34.09,34.09,34.09,0.0,0.0,33.92,33.92,33.92,0.0,0.0,33.94,33.94,33.94,0.0,0.0
2019-01-13,34.48,34.48,34.48,0.0,0.0,34.97,34.97,34.97,0.0,0.0,34.48,34.48,34.48,0.0,0.0,34.85,34.85,34.85,0.0,0.0
2019-01-20,34.81,34.81,34.81,0.0,0.0,35.15,35.15,35.15,0.0,0.0,34.8,34.8,34.8,0.0,0.0,35.1,35.1,35.1,0.0,0.0
2019-01-27,35.74,35.74,35.74,0.0,0.0,35.98,35.98,35.98,0.0,0.0,35.63,35.63,35.63,0.0,0.0,35.97,35.97,35.97,0.0,0.0
2019-02-03,36.15,36.15,36.15,0.0,0.0,36.25,36.25,36.25,0.0,0.0,36.02,36.02,36.02,0.0,0.0,36.08,36.08,36.08,0.0,0.0
2019-02-10,36.77,36.77,36.77,0.0,0.0,36.95,36.95,36.95,0.0,0.0,36.72,36.72,36.72,0.0,0.0,36.95,36.95,36.95,0.0,0.0
2019-02-17,37.73,37.73,37.73,0.0,0.0,37.85,37.85,37.85,0.0,0.0,37.63,37.63,37.63,0.0,0.0,37.65,37.65,37.65,0.0,0.0
2019-02-24,37.61,37.61,37.61,0.0,0.0,37.65,37.65,37.65,0.0,0.0,37.0,37.0,37.0,0.0,0.0,37.37,37.37,37.37,0.0,0.0
2019-03-03,36.92,36.92,36.92,0.0,0.0,37.5,37.5,37.5,0.0,0.0,36.92,36.92,36.92,0.0,0.0,37.44,37.44,37.44,0.0,0.0
2019-03-10,38.38,38.38,38.38,0.0,0.0,38.57,38.57,38.57,0.0,0.0,38.3,38.3,38.3,0.0,0.0,38.51,38.51,38.51,0.0,0.0
2019-03-17,37.96,37.96,37.96,0.0,0.0,38.1,38.1,38.1,0.0,0.0,37.66,37.66,37.66,0.0,0.0,37.85,37.85,37.85,0.0,0.0
2019-03-24,38.61,38.61,38.61,0.0,0.0,38.86,38.86,38.86,0.0,0.0,38.53,38.53,38.53,0.0,0.0,38.83,38.83,38.83,0.0,0.0
2019-03-31,39.38,39.38,39.38,0.0,0.0,39.55,39.55,39.55,0.0,0.0,39.26,39.26,39.26,0.0,0.0,39.55,39.55,39.55,0.0,0.0
2019-04-07,39.86,39.86,39.86,0.0,0.0,39.86,39.86,39.86,0.0,0.0,39.6,39.6,39.6,0.0,0.0,39.76,39.76,39.76,0.0,0.0
2019-04-14,40.47,40.47,40.47,0.0,0.0,40.56,40.56,40.56,0.0,0.0,40.44,40.44,40.44,0.0,0.0,40.49,40.49,40.49,0.0,0.0
2019-04-21,40.02,40.02,40.02,0.0,0.0,40.09,40.09,40.09,0.0,0.0,39.95,39.95,39.95,0.0,0.0,39.97,39.97,39.97,0.0,0.0
2019-04-28,39.3,39.3,39.3,0.0,0.0,39.85,39.85,39.85,0.0,0.0,39.19,39.19,39.19,0.0,0.0,39.8,39.8,39.8,0.0,0.0
2019-05-05,37.64,37.64,37.64,0.0,0.0,37.75,37.75,37.75,0.0,0.0,37.2,37.2,37.2,0.0,0.0,37.31,37.31,37.31,0.0,0.0
2019-05-12,37.48,37.48,37.48,0.0,0.0,37.7,37.7,37.7,0.0,0.0,37.2,37.2,37.2,0.0,0.0,37.35,37.35,37.35,0.0,0.0
2019-05-19,37.04,37.04,37.04,0.0,0.0,37.12,37.12,37.12,0.0,0.0,36.77,36.77,36.77,0.0,0.0,36.77,36.77,36.77,0.0,0.0
2019-05-26,36.05,36.05,36.05,0.0,0.0,36.32,36.32,36.32,0.0,0.0,35.73,35.73,35.73,0.0,0.0,35.87,35.87,35.87,0.0,0.0
2019-06-02,38.16,38.16,38.16,0.0,0.0,38.59,38.59,38.59,0.0,0.0,38.0,38.0,38.0,0.0,0.0,38.27,38.27,38.27,0.0,0.0
2019-06-09,37.49,37.49,37.49,0.0,0.0,37.67,37.67,37.67,0.0,0.0,37.49,37.49,37.49,0.0,0.0,37.55,37.55,37.55,0.0,0.0
2019-06-16,38.91,38.91,38.91,0.0,0.0,39.01,39.01,39.01,0.0,0.0,38.91,38.91,38.91,0.0,0.0,38.93,38.93,38.93,0.0,0.0
2019-06-23,39.89,39.89,39.89,0.0,0.0,39.99,39.99,39.99,0.0,0.0,39.42,39.42,39.42,0.0,0.0,39.55,39.55,39.55,0.0,0.0
2019-06-30,39.48,39.48,39.48,0.0,0.0,39.51,39.51,39.51,0.0,0.0,39.4,39.4,39.4,0.0,0.0,39.49,39.49,39.49,0.0,0.0
2019-07-07,40.36,40.36,40.36,0.0,0.0,40.42,40.42,40.42,0.0,0.0,40.28,40.28,40.28,0.0,0.0,40.41,40.41,40.41,0.0,0.0
2019-07-14,40.25,40.25,40.25,0.0,0.0,40.5,40.5,40.5,0.0,0.0,40.25,40.25,40.25,0.0,0.0,40.43,40.43,40.43,0.0,0.0
