Date,iShares MSCI Saudi Arabia Capped_Open_average,iShares MSCI Saudi Arabia Capped_Open_max,iShares MSCI Saudi Arabia Capped_Open_min,iShares MSCI Saudi Arabia Capped_Open_volatility,iShares MSCI Saudi Arabia Capped_Open_change,iShares MSCI Saudi Arabia Capped_High_average,iShares MSCI Saudi Arabia Capped_High_max,iShares MSCI Saudi Arabia Capped_High_min,iShares MSCI Saudi Arabia Capped_High_volatility,iShares MSCI Saudi Arabia Capped_High_change,iShares MSCI Saudi Arabia Capped_Low_average,iShares MSCI Saudi Arabia Capped_Low_max,iShares MSCI Saudi Arabia Capped_Low_min,iShares MSCI Saudi Arabia Capped_Low_volatility,iShares MSCI Saudi Arabia Capped_Low_change,iShares MSCI Saudi Arabia Capped_Close_average,iShares MSCI Saudi Arabia Capped_Close_max,iShares MSCI Saudi Arabia Capped_Close_min,iShares MSCI Saudi Arabia Capped_Close_volatility,iShares MSCI Saudi Arabia Capped_Close_change
2018-03-25,28.74,28.74,28.74,0.0,0.0,28.99,28.99,28.99,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.77,28.77,28.77,0.0,0.0
2018-04-01,29.62,29.62,29.62,0.0,0.0,29.84,29.84,29.84,0.0,0.0,29.44,29.44,29.44,0.0,0.0,29.76,29.76,29.76,0.0,0.0
2018-04-08,29.9,29.9,29.9,0.0,0.0,29.93,29.93,29.93,0.0,0.0,29.74,29.74,29.74,0.0,0.0,29.78,29.78,29.78,0.0,0.0
2018-04-15,31.02,31.02,31.02,0.0,0.0,31.2,31.2,31.2,0.0,0.0,31.0,31.0,31.0,0.0,0.0,31.18,31.18,31.18,0.0,0.0
2018-04-22,30.51,30.51,30.51,0.0,0.0,30.67,30.67,30.67,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.58,30.58,30.58,0.0,0.0
2018-04-29,30.16,30.16,30.16,0.0,0.0,30.16,30.16,30.16,0.0,0.0,30.0,30.0,30.0,0.0,0.0,30.06,30.06,30.06,0.0,0.0
2018-05-06,30.09,30.09,30.09,0.0,0.0,30.34,30.34,30.34,0.0,0.0,30.09,30.09,30.09,0.0,0.0,30.24,30.24,30.24,0.0,0.0
2018-05-13,30.14,30.14,30.14,0.0,0.0,30.14,30.14,30.14,0.0,0.0,30.05,30.05,30.05,0.0,0.0,30.12,30.12,30.12,0.0,0.0
2018-05-20,30.19,30.19,30.19,0.0,0.0,30.24,30.24,30.24,0.0,0.0,30.1,30.1,30.1,0.0,0.0,30.16,30.16,30.16,0.0,0.0
2018-05-27,31.58,31.58,31.58,0.0,0.0,31.77,31.77,31.77,0.0,0.0,31.58,31.58,31.58,0.0,0.0,31.74,31.74,31.74,0.0,0.0
2018-06-03,31.1,31.1,31.1,0.0,0.0,31.11,31.11,31.11,0.0,0.0,30.88,30.88,30.88,0.0,0.0,30.97,30.97,30.97,0.0,0.0
2018-06-10,30.42,30.42,30.42,0.0,0.0,30.76,30.76,30.76,0.0,0.0,30.3,30.3,30.3,0.0,0.0,30.66,30.66,30.66,0.0,0.0
2018-06-17,31.1,31.1,31.1,0.0,0.0,31.29,31.29,31.29,0.0,0.0,31.1,31.1,31.1,0.0,0.0,31.19,31.19,31.19,0.0,0.0
2018-06-24,30.84,30.84,30.84,0.0,0.0,30.93,30.93,30.93,0.0,0.0,30.71,30.71,30.71,0.0,0.0,30.85,30.85,30.85,0.0,0.0
2018-07-01,30.99,30.99,30.99,0.0,0.0,31.2,31.2,31.2,0.0,0.0,30.89,30.89,30.89,0.0,0.0,30.98,30.98,30.98,0.0,0.0
2018-07-08,31.49,31.49,31.49,0.0,0.0,31.49,31.49,31.49,0.0,0.0,31.36,31.36,31.36,0.0,0.0,31.43,31.43,31.43,0.0,0.0
2018-07-15,31.34,31.34,31.34,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.22,31.22,31.22,0.0,0.0,31.22,31.22,31.22,0.0,0.0
2018-07-22,31.1,31.1,31.1,0.0,0.0,31.1,31.1,31.1,0.0,0.0,30.91,30.91,30.91,0.0,0.0,30.92,30.92,30.92,0.0,0.0
2018-07-29,31.05,31.05,31.05,0.0,0.0,31.12,31.12,31.12,0.0,0.0,30.95,30.95,30.95,0.0,0.0,31.04,31.04,31.04,0.0,0.0
2018-08-05,29.5,29.5,29.5,0.0,0.0,29.69,29.69,29.69,0.0,0.0,29.08,29.08,29.08,0.0,0.0,29.13,29.13,29.13,0.0,0.0
2018-08-12,29.47,29.47,29.47,0.0,0.0,29.54,29.54,29.54,0.0,0.0,29.43,29.43,29.43,0.0,0.0,29.52,29.52,29.52,0.0,0.0
2018-08-19,29.65,29.65,29.65,0.0,0.0,29.78,29.78,29.78,0.0,0.0,29.65,29.65,29.65,0.0,0.0,29.78,29.78,29.78,0.0,0.0
2018-08-26,29.32,29.32,29.32,0.0,0.0,29.6,29.6,29.6,0.0,0.0,29.23,29.23,29.23,0.0,0.0,29.5,29.5,29.5,0.0,0.0
2018-09-02,28.5,28.5,28.5,0.0,0.0,28.57,28.57,28.57,0.0,0.0,28.35,28.35,28.35,0.0,0.0,28.35,28.35,28.35,0.0,0.0
2018-09-09,27.99,27.99,27.99,0.0,0.0,28.2,28.2,28.2,0.0,0.0,27.93,27.93,27.93,0.0,0.0,27.94,27.94,27.94,0.0,0.0
2018-09-16,28.87,28.87,28.87,0.0,0.0,29.08,29.08,29.08,0.0,0.0,28.87,28.87,28.87,0.0,0.0,29.08,29.08,29.08,0.0,0.0
2018-09-23,30.19,30.19,30.19,0.0,0.0,30.4,30.4,30.4,0.0,0.0,30.19,30.19,30.19,0.0,0.0,30.33,30.33,30.33,0.0,0.0
2018-09-30,29.87,29.87,29.87,0.0,0.0,30.04,30.04,30.04,0.0,0.0,29.86,29.86,29.86,0.0,0.0,30.01,30.01,30.01,0.0,0.0
2018-10-07,27.8,27.8,27.8,0.0,0.0,27.86,27.86,27.86,0.0,0.0,27.11,27.11,27.11,0.0,0.0,27.31,27.31,27.31,0.0,0.0
2018-10-14,28.27,28.27,28.27,0.0,0.0,28.38,28.38,28.38,0.0,0.0,27.91,27.91,27.91,0.0,0.0,27.91,27.91,27.91,0.0,0.0
2018-10-21,29.11,29.11,29.11,0.0,0.0,29.39,29.39,29.39,0.0,0.0,28.98,28.98,28.98,0.0,0.0,29.23,29.23,29.23,0.0,0.0
2018-10-28,29.57,29.57,29.57,0.0,0.0,29.61,29.61,29.61,0.0,0.0,29.31,29.31,29.31,0.0,0.0,29.48,29.48,29.48,0.0,0.0
2018-11-04,29.05,29.05,29.05,0.0,0.0,29.13,29.13,29.13,0.0,0.0,28.65,28.65,28.65,0.0,0.0,28.66,28.66,28.66,0.0,0.0
2018-11-11,28.28,28.28,28.28,0.0,0.0,28.28,28.28,28.28,0.0,0.0,28.05,28.05,28.05,0.0,0.0,28.24,28.24,28.24,0.0,0.0
2018-11-18,28.02,28.02,28.02,0.0,0.0,28.04,28.04,28.04,0.0,0.0,27.79,27.79,27.79,0.0,0.0,27.8,27.8,27.8,0.0,0.0
2018-11-25,29.45,29.45,29.45,0.0,0.0,29.55,29.55,29.55,0.0,0.0,29.35,29.35,29.35,0.0,0.0,29.55,29.55,29.55,0.0,0.0
2018-12-02,29.05,29.05,29.05,0.0,0.0,29.05,29.05,29.05,0.0,0.0,28.7,28.7,28.7,0.0,0.0,28.77,28.77,28.77,0.0,0.0
2018-12-09,29.68,29.68,29.68,0.0,0.0,29.89,29.89,29.89,0.0,0.0,29.43,29.43,29.43,0.0,0.0,29.51,29.51,29.51,0.0,0.0
2018-12-16,28.43,28.43,28.43,0.0,0.0,28.44,28.44,28.44,0.0,0.0,28.1,28.1,28.1,0.0,0.0,28.15,28.15,28.15,0.0,0.0
2018-12-23,29.06,29.06,29.06,0.0,0.0,29.06,29.06,29.06,0.0,0.0,28.69,28.69,28.69,0.0,0.0,28.89,28.89,28.89,0.0,0.0
2018-12-30,29.69,29.69,29.69,0.0,0.0,29.98,29.98,29.98,0.0,0.0,29.69,29.69,29.69,0.0,0.0,29.91,29.91,29.91,0.0,0.0
2019-01-06,30.5,30.5,30.5,0.0,0.0,30.73,30.73,30.73,0.0,0.0,30.44,30.44,30.44,0.0,0.0,30.71,30.71,30.71,0.0,0.0
2019-01-13,31.69,31.69,31.69,0.0,0.0,32.05,32.05,32.05,0.0,0.0,31.69,31.69,31.69,0.0,0.0,32.05,32.05,32.05,0.0,0.0
2019-01-20,31.9,31.9,31.9,0.0,0.0,32.04,32.04,32.04,0.0,0.0,31.89,31.89,31.89,0.0,0.0,31.95,31.95,31.95,0.0,0.0
2019-01-27,31.71,31.71,31.71,0.0,0.0,32.0,32.0,32.0,0.0,0.0,31.65,31.65,31.65,0.0,0.0,31.93,31.93,31.93,0.0,0.0
2019-02-03,32.05,32.05,32.05,0.0,0.0,32.16,32.16,32.16,0.0,0.0,31.85,31.85,31.85,0.0,0.0,32.0,32.0,32.0,0.0,0.0
2019-02-10,32.42,32.42,32.42,0.0,0.0,32.46,32.46,32.46,0.0,0.0,32.27,32.27,32.27,0.0,0.0,32.37,32.37,32.37,0.0,0.0
2019-02-17,31.5,31.5,31.5,0.0,0.0,31.67,31.67,31.67,0.0,0.0,31.26,31.26,31.26,0.0,0.0,31.61,31.61,31.61,0.0,0.0
2019-02-24,32.09,32.09,32.09,0.0,0.0,32.12,32.12,32.12,0.0,0.0,31.83,31.83,31.83,0.0,0.0,32.1,32.1,32.1,0.0,0.0
2019-03-03,31.62,31.62,31.62,0.0,0.0,31.75,31.75,31.75,0.0,0.0,31.62,31.62,31.62,0.0,0.0,31.68,31.68,31.68,0.0,0.0
2019-03-10,32.19,32.19,32.19,0.0,0.0,32.42,32.42,32.42,0.0,0.0,32.19,32.19,32.19,0.0,0.0,32.33,32.33,32.33,0.0,0.0
2019-03-17,32.45,32.45,32.45,0.0,0.0,32.64,32.64,32.64,0.0,0.0,32.42,32.42,32.42,0.0,0.0,32.5,32.5,32.5,0.0,0.0
2019-03-24,33.43,33.43,33.43,0.0,0.0,33.6,33.6,33.6,0.0,0.0,33.43,33.43,33.43,0.0,0.0,33.57,33.57,33.57,0.0,0.0
2019-03-31,34.03,34.03,34.03,0.0,0.0,34.32,34.32,34.32,0.0,0.0,34.01,34.01,34.01,0.0,0.0,34.2,34.2,34.2,0.0,0.0
2019-04-07,34.4,34.4,34.4,0.0,0.0,34.59,34.59,34.59,0.0,0.0,34.3,34.3,34.3,0.0,0.0,34.54,34.54,34.54,0.0,0.0
2019-04-14,34.87,34.87,34.87,0.0,0.0,34.96,34.96,34.96,0.0,0.0,34.83,34.83,34.83,0.0,0.0,34.88,34.88,34.88,0.0,0.0
2019-04-21,35.23,35.23,35.23,0.0,0.0,35.26,35.26,35.26,0.0,0.0,35.09,35.09,35.09,0.0,0.0,35.1,35.1,35.1,0.0,0.0
2019-04-28,34.61,34.61,34.61,0.0,0.0,34.69,34.69,34.69,0.0,0.0,34.35,34.35,34.35,0.0,0.0,34.6,34.6,34.6,0.0,0.0
2019-05-05,31.95,31.95,31.95,0.0,0.0,31.97,31.97,31.97,0.0,0.0,31.57,31.57,31.57,0.0,0.0,31.65,31.65,31.65,0.0,0.0
2019-05-12,32.2,32.2,32.2,0.0,0.0,32.31,32.31,32.31,0.0,0.0,31.94,31.94,31.94,0.0,0.0,31.96,31.96,31.96,0.0,0.0
2019-05-19,32.02,32.02,32.02,0.0,0.0,32.23,32.23,32.23,0.0,0.0,31.84,31.84,31.84,0.0,0.0,32.23,32.23,32.23,0.0,0.0
2019-05-26,32.21,32.21,32.21,0.0,0.0,32.47,32.47,32.47,0.0,0.0,32.1,32.1,32.1,0.0,0.0,32.24,32.24,32.24,0.0,0.0
2019-06-02,33.55,33.55,33.55,0.0,0.0,33.75,33.75,33.75,0.0,0.0,33.4,33.4,33.4,0.0,0.0,33.64,33.64,33.64,0.0,0.0
2019-06-09,33.86,33.86,33.86,0.0,0.0,34.06,34.06,34.06,0.0,0.0,33.79,33.79,33.79,0.0,0.0,33.92,33.92,33.92,0.0,0.0
2019-06-16,32.53,32.53,32.53,0.0,0.0,32.66,32.66,32.66,0.0,0.0,32.06,32.06,32.06,0.0,0.0,32.21,32.21,32.21,0.0,0.0
2019-06-23,33.3,33.3,33.3,0.0,0.0,33.3,33.3,33.3,0.0,0.0,33.08,33.08,33.08,0.0,0.0,33.2,33.2,33.2,0.0,0.0
2019-06-30,33.04,33.04,33.04,0.0,0.0,33.21,33.21,33.21,0.0,0.0,32.87,32.87,32.87,0.0,0.0,33.07,33.07,33.07,0.0,0.0
2019-07-07,33.97,33.97,33.97,0.0,0.0,33.97,33.97,33.97,0.0,0.0,33.69,33.69,33.69,0.0,0.0,33.79,33.79,33.79,0.0,0.0
2019-07-14,33.5,33.5,33.5,0.0,0.0,33.5,33.5,33.5,0.0,0.0,33.26,33.26,33.26,0.0,0.0,33.33,33.33,33.33,0.0,0.0
2019-07-21,32.83,32.83,32.83,0.0,0.0,32.91,32.91,32.91,0.0,0.0,32.7,32.7,32.7,0.0,0.0,32.84,32.84,32.84,0.0,0.0
2019-07-28,31.74,31.74,31.74,0.0,0.0,31.8,31.8,31.8,0.0,0.0,31.53,31.53,31.53,0.0,0.0,31.54,31.54,31.54,0.0,0.0
2019-08-04,31.86,31.86,31.86,0.0,0.0,31.9,31.9,31.9,0.0,0.0,31.57,31.57,31.57,0.0,0.0,31.72,31.72,31.72,0.0,0.0
2019-08-11,32.3,32.3,32.3,0.0,0.0,32.4,32.4,32.4,0.0,0.0,32.04,32.04,32.04,0.0,0.0,32.17,32.17,32.17,0.0,0.0
2019-08-18,30.98,30.98,30.98,0.0,0.0,31.26,31.26,31.26,0.0,0.0,30.76,30.76,30.76,0.0,0.0,31.06,31.06,31.06,0.0,0.0
2019-08-25,30.2,30.2,30.2,0.0,0.0,30.36,30.36,30.36,0.0,0.0,30.07,30.07,30.07,0.0,0.0,30.3,30.3,30.3,0.0,0.0
2019-09-01,30.42,30.42,30.42,0.0,0.0,30.59,30.59,30.59,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.45,30.45,30.45,0.0,0.0
2019-09-08,29.34,29.34,29.34,0.0,0.0,29.46,29.46,29.46,0.0,0.0,29.26,29.26,29.26,0.0,0.0,29.27,29.27,29.27,0.0,0.0
2019-09-15,29.85,29.85,29.85,0.0,0.0,30.29,30.29,30.29,0.0,0.0,29.85,29.85,29.85,0.0,0.0,30.17,30.17,30.17,0.0,0.0
2019-09-22,30.41,30.41,30.41,0.0,0.0,30.6,30.6,30.6,0.0,0.0,30.3,30.3,30.3,0.0,0.0,30.48,30.48,30.48,0.0,0.0
2019-09-29,29.63,29.63,29.63,0.0,0.0,29.72,29.72,29.72,0.0,0.0,29.51,29.51,29.51,0.0,0.0,29.51,29.51,29.51,0.0,0.0
2019-10-06,28.45,28.45,28.45,0.0,0.0,28.51,28.51,28.51,0.0,0.0,28.29,28.29,28.29,0.0,0.0,28.47,28.47,28.47,0.0,0.0
2019-10-13,29.16,29.16,29.16,0.0,0.0,29.3,29.3,29.3,0.0,0.0,29.04,29.04,29.04,0.0,0.0,29.26,29.26,29.26,0.0,0.0
2019-10-20,29.35,29.35,29.35,0.0,0.0,29.53,29.53,29.53,0.0,0.0,29.23,29.23,29.23,0.0,0.0,29.26,29.26,29.26,0.0,0.0
2019-10-27,28.74,28.74,28.74,0.0,0.0,28.92,28.92,28.92,0.0,0.0,28.65,28.65,28.65,0.0,0.0,28.73,28.73,28.73,0.0,0.0
2019-11-03,29.82,29.82,29.82,0.0,0.0,30.06,30.06,30.06,0.0,0.0,29.6,29.6,29.6,0.0,0.0,29.99,29.99,29.99,0.0,0.0
2019-11-10,30.16,30.16,30.16,0.0,0.0,30.28,30.28,30.28,0.0,0.0,29.9,29.9,29.9,0.0,0.0,30.25,30.25,30.25,0.0,0.0
2019-11-17,30.17,30.17,30.17,0.0,0.0,30.2,30.2,30.2,0.0,0.0,29.94,29.94,29.94,0.0,0.0,30.17,30.17,30.17,0.0,0.0
2019-11-24,29.42,29.42,29.42,0.0,0.0,29.55,29.55,29.55,0.0,0.0,29.25,29.25,29.25,0.0,0.0,29.49,29.49,29.49,0.0,0.0
2019-12-01,30.58,30.58,30.58,0.0,0.0,30.69,30.69,30.69,0.0,0.0,30.46,30.46,30.46,0.0,0.0,30.52,30.52,30.52,0.0,0.0
2019-12-08,30.34,30.34,30.34,0.0,0.0,30.34,30.34,30.34,0.0,0.0,29.68,29.68,29.68,0.0,0.0,29.82,29.82,29.82,0.0,0.0
2019-12-15,31.23,31.23,31.23,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.17,31.17,31.17,0.0,0.0,31.33,31.33,31.33,0.0,0.0
2019-12-22,31.2,31.2,31.2,0.0,0.0,31.2,31.2,31.2,0.0,0.0,30.57,30.57,30.57,0.0,0.0,30.63,30.63,30.63,0.0,0.0
2019-12-29,31.11,31.11,31.11,0.0,0.0,31.12,31.12,31.12,0.0,0.0,30.37,30.37,30.37,0.0,0.0,30.54,30.54,30.54,0.0,0.0
