Date,iShares Morningstar Small-Cap ValueEtf_Open_average,iShares Morningstar Small-Cap ValueEtf_Open_max,iShares Morningstar Small-Cap ValueEtf_Open_min,iShares Morningstar Small-Cap ValueEtf_Open_volatility,iShares Morningstar Small-Cap ValueEtf_Open_change,iShares Morningstar Small-Cap ValueEtf_High_average,iShares Morningstar Small-Cap ValueEtf_High_max,iShares Morningstar Small-Cap ValueEtf_High_min,iShares Morningstar Small-Cap ValueEtf_High_volatility,iShares Morningstar Small-Cap ValueEtf_High_change,iShares Morningstar Small-Cap ValueEtf_Low_average,iShares Morningstar Small-Cap ValueEtf_Low_max,iShares Morningstar Small-Cap ValueEtf_Low_min,iShares Morningstar Small-Cap ValueEtf_Low_volatility,iShares Morningstar Small-Cap ValueEtf_Low_change,iShares Morningstar Small-Cap ValueEtf_Close_average,iShares Morningstar Small-Cap ValueEtf_Close_max,iShares Morningstar Small-Cap ValueEtf_Close_min,iShares Morningstar Small-Cap ValueEtf_Close_volatility,iShares Morningstar Small-Cap ValueEtf_Close_change
2018-08-12,156.0,156.0,156.0,0.0,0.0,156.64,156.64,156.64,0.0,0.0,155.96,155.96,155.96,0.0,0.0,156.58,156.58,156.58,0.0,0.0
2018-08-19,158.27,158.27,158.27,0.0,0.0,158.7,158.7,158.7,0.0,0.0,158.27,158.27,158.27,0.0,0.0,158.6,158.6,158.6,0.0,0.0
2018-08-26,157.63,157.63,157.63,0.0,0.0,157.82,157.82,157.82,0.0,0.0,157.44,157.44,157.44,0.0,0.0,157.73,157.73,157.73,0.0,0.0
2018-09-02,155.7,155.7,155.7,0.0,0.0,156.01,156.01,156.01,0.0,0.0,155.52,155.52,155.52,0.0,0.0,155.96,155.96,155.96,0.0,0.0
2018-09-09,156.0,156.0,156.0,0.0,0.0,157.14,157.14,157.14,0.0,0.0,155.99,155.99,155.99,0.0,0.0,157.14,157.14,157.14,0.0,0.0
2018-09-16,158.0,158.0,158.0,0.0,0.0,158.0,158.0,158.0,0.0,0.0,157.4,157.4,157.4,0.0,0.0,157.41,157.41,157.41,0.0,0.0
2018-09-23,153.39,153.39,153.39,0.0,0.0,154.08,154.08,154.08,0.0,0.0,153.39,153.39,153.39,0.0,0.0,153.74,153.74,153.74,0.0,0.0
2018-09-30,151.26,151.26,151.26,0.0,0.0,151.34,151.34,151.34,0.0,0.0,149.57,149.57,149.57,0.0,0.0,150.36,150.36,150.36,0.0,0.0
2018-10-07,145.72,145.72,145.72,0.0,0.0,145.72,145.72,145.72,0.0,0.0,141.78,141.78,141.78,0.0,0.0,143.02,143.02,143.02,0.0,0.0
2018-10-14,143.78,143.78,143.78,0.0,0.0,144.42,144.42,144.42,0.0,0.0,142.87,142.87,142.87,0.0,0.0,142.87,142.87,142.87,0.0,0.0
2018-10-21,137.0,137.0,137.0,0.0,0.0,137.91,137.91,137.91,0.0,0.0,135.69,135.69,135.69,0.0,0.0,137.24,137.24,137.24,0.0,0.0
2018-10-28,142.3,142.3,142.3,0.0,0.0,142.38,142.38,142.38,0.0,0.0,140.71,140.71,140.71,0.0,0.0,141.44,141.44,141.44,0.0,0.0
2018-11-04,143.99,143.99,143.99,0.0,0.0,143.99,143.99,143.99,0.0,0.0,142.61,142.61,142.61,0.0,0.0,143.47,143.47,143.47,0.0,0.0
2018-11-11,140.6,140.6,140.6,0.0,0.0,141.38,141.38,141.38,0.0,0.0,140.5,140.5,140.5,0.0,0.0,141.38,141.38,141.38,0.0,0.0
2018-11-18,137.56,137.56,137.56,0.0,0.0,137.56,137.56,137.56,0.0,0.0,137.56,137.56,137.56,0.0,0.0,137.56,137.56,137.56,0.0,0.0
2018-11-25,140.56,140.56,140.56,0.0,0.0,142.0,142.0,142.0,0.0,0.0,140.56,140.56,140.56,0.0,0.0,142.0,142.0,142.0,0.0,0.0
2018-12-02,137.19,137.19,137.19,0.0,0.0,137.52,137.52,137.52,0.0,0.0,134.49,134.49,134.49,0.0,0.0,135.35,135.35,135.35,0.0,0.0
2018-12-09,131.81,131.81,131.81,0.0,0.0,132.58,132.58,132.58,0.0,0.0,130.43,130.43,130.43,0.0,0.0,130.43,130.43,130.43,0.0,0.0
2018-12-16,122.47,122.47,122.47,0.0,0.0,123.3,123.3,123.3,0.0,0.0,119.75,119.75,119.75,0.0,0.0,120.02,120.02,120.02,0.0,0.0
2018-12-23,122.83,122.83,122.83,0.0,0.0,124.15,124.15,124.15,0.0,0.0,121.83,121.83,121.83,0.0,0.0,122.57,122.57,122.57,0.0,0.0
2018-12-30,126.04,126.04,126.04,0.0,0.0,127.34,127.34,127.34,0.0,0.0,126.04,126.04,126.04,0.0,0.0,127.11,127.11,127.11,0.0,0.0
2019-01-06,132.36,132.36,132.36,0.0,0.0,133.18,133.18,133.18,0.0,0.0,132.17,132.17,132.17,0.0,0.0,132.95,132.95,132.95,0.0,0.0
2019-01-13,136.09,136.09,136.09,0.0,0.0,137.37,137.37,137.37,0.0,0.0,136.07,136.07,136.07,0.0,0.0,137.08,137.08,137.08,0.0,0.0
2019-01-20,136.27,136.27,136.27,0.0,0.0,137.4,137.4,137.4,0.0,0.0,136.27,136.27,136.27,0.0,0.0,137.2,137.2,137.2,0.0,0.0
2019-01-27,138.97,138.97,138.97,0.0,0.0,139.34,139.34,139.34,0.0,0.0,138.58,138.58,138.58,0.0,0.0,139.09,139.09,139.09,0.0,0.0
2019-02-03,138.72,138.72,138.72,0.0,0.0,138.85,138.85,138.85,0.0,0.0,137.82,137.82,137.82,0.0,0.0,138.82,138.82,138.82,0.0,0.0
2019-02-10,142.34,142.34,142.34,0.0,0.0,143.2,143.2,143.2,0.0,0.0,142.34,142.34,142.34,0.0,0.0,143.13,143.13,143.13,0.0,0.0
2019-02-17,144.49,144.49,144.49,0.0,0.0,145.11,145.11,145.11,0.0,0.0,144.49,144.49,144.49,0.0,0.0,144.95,144.95,144.95,0.0,0.0
2019-02-24,143.24,143.24,143.24,0.0,0.0,143.88,143.88,143.88,0.0,0.0,143.17,143.17,143.17,0.0,0.0,143.88,143.88,143.88,0.0,0.0
2019-03-03,137.64,137.64,137.64,0.0,0.0,138.41,138.41,138.41,0.0,0.0,137.49,137.49,137.49,0.0,0.0,138.17,138.17,138.17,0.0,0.0
2019-03-10,140.32,140.32,140.32,0.0,0.0,140.48,140.48,140.48,0.0,0.0,139.96,139.96,139.96,0.0,0.0,139.97,139.97,139.97,0.0,0.0
2019-03-17,138.31,138.31,138.31,0.0,0.0,138.31,138.31,138.31,0.0,0.0,134.89,134.89,134.89,0.0,0.0,134.89,134.89,134.89,0.0,0.0
2019-03-24,138.62,138.62,138.62,0.0,0.0,138.62,138.62,138.62,0.0,0.0,137.68,137.68,137.68,0.0,0.0,137.88,137.88,137.88,0.0,0.0
2019-03-31,141.8,141.8,141.8,0.0,0.0,143.0,143.0,143.0,0.0,0.0,141.8,141.8,141.8,0.0,0.0,143.0,143.0,143.0,0.0,0.0
2019-04-07,143.76,143.76,143.76,0.0,0.0,144.3,144.3,144.3,0.0,0.0,143.22,143.22,143.22,0.0,0.0,144.11,144.11,144.11,0.0,0.0
2019-04-14,143.24,143.24,143.24,0.0,0.0,144.06,144.06,144.06,0.0,0.0,142.73,142.73,142.73,0.0,0.0,142.83,142.83,142.83,0.0,0.0
2019-04-21,142.39,142.39,142.39,0.0,0.0,143.23,143.23,143.23,0.0,0.0,142.09,142.09,142.09,0.0,0.0,143.23,143.23,143.23,0.0,0.0
2019-04-28,142.37,142.37,142.37,0.0,0.0,144.02,144.02,144.02,0.0,0.0,142.37,142.37,142.37,0.0,0.0,144.02,144.02,144.02,0.0,0.0
2019-05-05,139.89,139.89,139.89,0.0,0.0,140.42,140.42,140.42,0.0,0.0,138.52,138.52,138.52,0.0,0.0,140.41,140.41,140.41,0.0,0.0
2019-05-12,138.02,138.02,138.02,0.0,0.0,138.92,138.92,138.92,0.0,0.0,137.41,137.41,137.41,0.0,0.0,137.46,137.46,137.46,0.0,0.0
2019-05-19,134.36,134.36,134.36,0.0,0.0,134.36,134.36,134.36,0.0,0.0,133.6,133.6,133.6,0.0,0.0,134.17,134.17,134.17,0.0,0.0
2019-05-26,129.75,129.75,129.75,0.0,0.0,130.01,130.01,130.01,0.0,0.0,129.66,129.66,129.66,0.0,0.0,129.76,129.76,129.76,0.0,0.0
2019-06-02,134.36,134.36,134.36,0.0,0.0,134.72,134.72,134.72,0.0,0.0,134.36,134.36,134.36,0.0,0.0,134.45,134.45,134.45,0.0,0.0
2019-06-09,135.4,135.4,135.4,0.0,0.0,135.4,135.4,135.4,0.0,0.0,134.57,134.57,134.57,0.0,0.0,134.69,134.69,134.69,0.0,0.0
2019-06-16,136.23,136.23,136.23,0.0,0.0,136.23,136.23,136.23,0.0,0.0,135.11,135.11,135.11,0.0,0.0,135.25,135.25,135.25,0.0,0.0
2019-06-23,135.18,135.18,135.18,0.0,0.0,137.15,137.15,137.15,0.0,0.0,135.18,135.18,135.18,0.0,0.0,137.06,137.06,137.06,0.0,0.0
2019-06-30,137.07,137.07,137.07,0.0,0.0,138.17,138.17,138.17,0.0,0.0,136.87,136.87,136.87,0.0,0.0,138.05,138.05,138.05,0.0,0.0
2019-07-07,136.12,136.12,136.12,0.0,0.0,137.24,137.24,137.24,0.0,0.0,136.12,136.12,136.12,0.0,0.0,137.05,137.05,137.05,0.0,0.0
2019-07-14,135.33,135.33,135.33,0.0,0.0,135.99,135.99,135.99,0.0,0.0,135.27,135.27,135.27,0.0,0.0,135.27,135.27,135.27,0.0,0.0
2019-07-21,137.65,137.65,137.65,0.0,0.0,138.16,138.16,138.16,0.0,0.0,137.65,137.65,137.65,0.0,0.0,138.16,138.16,138.16,0.0,0.0
2019-07-28,133.35,133.35,133.35,0.0,0.0,133.35,133.35,133.35,0.0,0.0,132.08,132.08,132.08,0.0,0.0,132.44,132.44,132.44,0.0,0.0
2019-08-04,130.76,130.76,130.76,0.0,0.0,130.76,130.76,130.76,0.0,0.0,129.28,129.28,129.28,0.0,0.0,129.61,129.61,129.61,0.0,0.0
2019-08-11,125.17,125.17,125.17,0.0,0.0,127.32,127.32,127.32,0.0,0.0,125.17,125.17,125.17,0.0,0.0,127.24,127.24,127.24,0.0,0.0
2019-08-18,128.21,128.21,128.21,0.0,0.0,128.21,128.21,128.21,0.0,0.0,124.43,124.43,124.43,0.0,0.0,124.43,124.43,124.43,0.0,0.0
2019-08-25,128.08,128.08,128.08,0.0,0.0,128.08,128.08,128.08,0.0,0.0,127.54,127.54,127.54,0.0,0.0,127.91,127.91,127.91,0.0,0.0
2019-09-01,130.37,130.37,130.37,0.0,0.0,130.95,130.95,130.95,0.0,0.0,130.37,130.37,130.37,0.0,0.0,130.42,130.42,130.42,0.0,0.0
2019-09-08,138.05,138.05,138.05,0.0,0.0,138.28,138.28,138.28,0.0,0.0,137.83,137.83,137.83,0.0,0.0,137.83,137.83,137.83,0.0,0.0
2019-09-15,135.42,135.42,135.42,0.0,0.0,136.3,136.3,136.3,0.0,0.0,135.18,135.18,135.18,0.0,0.0,135.19,135.19,135.19,0.0,0.0
2019-09-22,134.34,134.34,134.34,0.0,0.0,134.69,134.69,134.69,0.0,0.0,132.89,132.89,132.89,0.0,0.0,133.13,133.13,133.13,0.0,0.0
2019-09-29,129.42,129.42,129.42,0.0,0.0,130.66,130.66,130.66,0.0,0.0,129.0,129.0,129.0,0.0,0.0,130.66,130.66,130.66,0.0,0.0
2019-10-06,131.14,131.14,131.14,0.0,0.0,132.98,132.98,132.98,0.0,0.0,131.14,131.14,131.14,0.0,0.0,132.04,132.04,132.04,0.0,0.0
2019-10-13,133.6,133.6,133.6,0.0,0.0,134.19,134.19,134.19,0.0,0.0,133.35,133.35,133.35,0.0,0.0,134.03,134.03,134.03,0.0,0.0
2019-10-20,135.82,135.82,135.82,0.0,0.0,136.6,136.6,136.6,0.0,0.0,135.82,135.82,135.82,0.0,0.0,136.4,136.4,136.4,0.0,0.0
2019-10-27,136.57,136.57,136.57,0.0,0.0,138.42,138.42,138.42,0.0,0.0,136.57,136.57,136.57,0.0,0.0,138.42,138.42,138.42,0.0,0.0
2019-11-03,139.86,139.86,139.86,0.0,0.0,140.46,140.46,140.46,0.0,0.0,139.86,139.86,139.86,0.0,0.0,140.41,140.41,140.41,0.0,0.0
2019-11-10,139.6,139.6,139.6,0.0,0.0,139.91,139.91,139.91,0.0,0.0,139.34,139.34,139.34,0.0,0.0,139.49,139.49,139.49,0.0,0.0
2019-11-17,138.0,138.0,138.0,0.0,0.0,138.49,138.49,138.49,0.0,0.0,137.85,137.85,137.85,0.0,0.0,138.38,138.38,138.38,0.0,0.0
2019-11-24,140.83,140.83,140.83,0.0,0.0,140.83,140.83,140.83,0.0,0.0,140.08,140.08,140.08,0.0,0.0,140.08,140.08,140.08,0.0,0.0
2019-12-01,140.4,140.4,140.4,0.0,0.0,141.99,141.99,141.99,0.0,0.0,140.4,140.4,140.4,0.0,0.0,141.43,141.43,141.43,0.0,0.0
2019-12-08,143.33,143.33,143.33,0.0,0.0,143.33,143.33,143.33,0.0,0.0,142.06,142.06,142.06,0.0,0.0,142.28,142.28,142.28,0.0,0.0
2019-12-15,144.66,144.66,144.66,0.0,0.0,144.66,144.66,144.66,0.0,0.0,144.08,144.08,144.08,0.0,0.0,144.2,144.2,144.2,0.0,0.0
2019-12-22,143.82,143.82,143.82,0.0,0.0,143.96,143.96,143.96,0.0,0.0,143.51,143.51,143.51,0.0,0.0,143.51,143.51,143.51,0.0,0.0
2019-12-29,142.16,142.16,142.16,0.0,0.0,142.86,142.86,142.86,0.0,0.0,142.09,142.09,142.09,0.0,0.0,142.68,142.68,142.68,0.0,0.0
