Date,FlexShares STOXX US ESG Impact_Open_average,FlexShares STOXX US ESG Impact_Open_max,FlexShares STOXX US ESG Impact_Open_min,FlexShares STOXX US ESG Impact_Open_volatility,FlexShares STOXX US ESG Impact_Open_change,FlexShares STOXX US ESG Impact_High_average,FlexShares STOXX US ESG Impact_High_max,FlexShares STOXX US ESG Impact_High_min,FlexShares STOXX US ESG Impact_High_volatility,FlexShares STOXX US ESG Impact_High_change,FlexShares STOXX US ESG Impact_Low_average,FlexShares STOXX US ESG Impact_Low_max,FlexShares STOXX US ESG Impact_Low_min,FlexShares STOXX US ESG Impact_Low_volatility,FlexShares STOXX US ESG Impact_Low_change,FlexShares STOXX US ESG Impact_Close_average,FlexShares STOXX US ESG Impact_Close_max,FlexShares STOXX US ESG Impact_Close_min,FlexShares STOXX US ESG Impact_Close_volatility,FlexShares STOXX US ESG Impact_Close_change
2018-09-23,69.48,69.48,69.48,0.0,0.0,69.48,69.48,69.48,0.0,0.0,69.48,69.48,69.48,0.0,0.0,69.48,69.48,69.48,0.0,0.0
2018-09-30,68.11,68.11,68.11,0.0,0.0,68.35,68.35,68.35,0.0,0.0,68.11,68.11,68.11,0.0,0.0,68.35,68.35,68.35,0.0,0.0
2018-10-07,65.7,65.7,65.7,0.0,0.0,65.7,65.7,65.7,0.0,0.0,65.7,65.7,65.7,0.0,0.0,65.7,65.7,65.7,0.0,0.0
2018-10-14,66.14,66.14,66.14,0.0,0.0,66.14,66.14,66.14,0.0,0.0,65.45,65.45,65.45,0.0,0.0,65.45,65.45,65.45,0.0,0.0
2018-10-21,63.1,63.1,63.1,0.0,0.0,63.1,63.1,63.1,0.0,0.0,62.27,62.27,62.27,0.0,0.0,62.27,62.27,62.27,0.0,0.0
2018-10-28,64.6,64.6,64.6,0.0,0.0,64.89,64.89,64.89,0.0,0.0,64.49,64.49,64.49,0.0,0.0,64.89,64.89,64.89,0.0,0.0
2018-11-04,65.32,65.32,65.32,0.0,0.0,65.32,65.32,65.32,0.0,0.0,65.32,65.32,65.32,0.0,0.0,65.32,65.32,65.32,0.0,0.0
2018-11-11,63.91,63.91,63.91,0.0,0.0,63.93,63.93,63.93,0.0,0.0,63.91,63.91,63.91,0.0,0.0,63.93,63.93,63.93,0.0,0.0
2018-11-18,63.51,63.51,63.51,0.0,0.0,63.51,63.51,63.51,0.0,0.0,63.51,63.51,63.51,0.0,0.0,63.51,63.51,63.51,0.0,0.0
2018-11-25,66.44,66.44,66.44,0.0,0.0,66.55,66.55,66.55,0.0,0.0,66.28,66.28,66.28,0.0,0.0,66.33,66.33,66.33,0.0,0.0
2018-12-02,62.5,62.5,62.5,0.0,0.0,62.5,62.5,62.5,0.0,0.0,61.57,61.57,61.57,0.0,0.0,61.58,61.58,61.58,0.0,0.0
2018-12-09,61.57,61.57,61.57,0.0,0.0,61.81,61.81,61.81,0.0,0.0,61.57,61.57,61.57,0.0,0.0,61.81,61.81,61.81,0.0,0.0
2018-12-16,56.27,56.27,56.27,0.0,0.0,56.27,56.27,56.27,0.0,0.0,56.27,56.27,56.27,0.0,0.0,56.27,56.27,56.27,0.0,0.0
2018-12-23,59.34,59.34,59.34,0.0,0.0,59.5,59.5,59.5,0.0,0.0,59.29,59.29,59.29,0.0,0.0,59.38,59.38,59.38,0.0,0.0
2018-12-30,60.19,60.19,60.19,0.0,0.0,60.85,60.85,60.85,0.0,0.0,60.19,60.19,60.19,0.0,0.0,60.77,60.77,60.77,0.0,0.0
2019-01-06,61.36,61.36,61.36,0.0,0.0,61.36,61.36,61.36,0.0,0.0,61.28,61.28,61.28,0.0,0.0,61.28,61.28,61.28,0.0,0.0
2019-01-13,63.09,63.09,63.09,0.0,0.0,63.4,63.4,63.4,0.0,0.0,63.09,63.09,63.09,0.0,0.0,63.35,63.35,63.35,0.0,0.0
2019-01-20,62.27,62.27,62.27,0.0,0.0,62.51,62.51,62.51,0.0,0.0,62.27,62.27,62.27,0.0,0.0,62.5,62.5,62.5,0.0,0.0
2019-01-27,64.43,64.43,64.43,0.0,0.0,64.43,64.43,64.43,0.0,0.0,64.43,64.43,64.43,0.0,0.0,64.43,64.43,64.43,0.0,0.0
2019-02-03,64.04,64.04,64.04,0.0,0.0,64.04,64.04,64.04,0.0,0.0,64.04,64.04,64.04,0.0,0.0,64.04,64.04,64.04,0.0,0.0
2019-02-10,65.42,65.42,65.42,0.0,0.0,65.49,65.49,65.49,0.0,0.0,65.42,65.42,65.42,0.0,0.0,65.49,65.49,65.49,0.0,0.0
2019-02-17,66.52,66.52,66.52,0.0,0.0,66.52,66.52,66.52,0.0,0.0,66.16,66.16,66.16,0.0,0.0,66.16,66.16,66.16,0.0,0.0
2019-02-24,66.78,66.78,66.78,0.0,0.0,66.78,66.78,66.78,0.0,0.0,66.17,66.17,66.17,0.0,0.0,66.17,66.17,66.17,0.0,0.0
2019-03-03,65.53,65.53,65.53,0.0,0.0,65.95,65.95,65.95,0.0,0.0,65.53,65.53,65.53,0.0,0.0,65.95,65.95,65.95,0.0,0.0
2019-03-10,66.94,66.94,66.94,0.0,0.0,67.03,67.03,67.03,0.0,0.0,66.94,66.94,66.94,0.0,0.0,67.03,67.03,67.03,0.0,0.0
2019-03-17,66.23,66.23,66.23,0.0,0.0,66.23,66.23,66.23,0.0,0.0,66.23,66.23,66.23,0.0,0.0,66.23,66.23,66.23,0.0,0.0
2019-03-24,67.53,67.53,67.53,0.0,0.0,67.89,67.89,67.89,0.0,0.0,67.53,67.53,67.53,0.0,0.0,67.89,67.89,67.89,0.0,0.0
2019-03-31,68.42,68.42,68.42,0.0,0.0,68.62,68.62,68.62,0.0,0.0,68.42,68.42,68.42,0.0,0.0,68.62,68.62,68.62,0.0,0.0
2019-04-07,68.86,68.86,68.86,0.0,0.0,69.03,69.03,69.03,0.0,0.0,68.86,68.86,68.86,0.0,0.0,69.01,69.01,69.01,0.0,0.0
2019-04-14,69.15,69.15,69.15,0.0,0.0,69.18,69.18,69.18,0.0,0.0,69.15,69.15,69.15,0.0,0.0,69.15,69.15,69.15,0.0,0.0
2019-04-21,70.03,70.03,70.03,0.0,0.0,70.15,70.15,70.15,0.0,0.0,70.01,70.01,70.01,0.0,0.0,70.03,70.03,70.03,0.0,0.0
2019-04-28,69.0,69.0,69.0,0.0,0.0,69.94,69.94,69.94,0.0,0.0,69.0,69.0,69.0,0.0,0.0,69.86,69.86,69.86,0.0,0.0
2019-05-05,67.37,67.37,67.37,0.0,0.0,67.37,67.37,67.37,0.0,0.0,66.68,66.68,66.68,0.0,0.0,66.86,66.86,66.86,0.0,0.0
2019-05-12,67.72,67.72,67.72,0.0,0.0,67.82,67.82,67.82,0.0,0.0,67.72,67.72,67.72,0.0,0.0,67.72,67.72,67.72,0.0,0.0
2019-05-19,67.32,67.32,67.32,0.0,0.0,67.32,67.32,67.32,0.0,0.0,67.32,67.32,67.32,0.0,0.0,67.32,67.32,67.32,0.0,0.0
2019-05-26,65.66,65.66,65.66,0.0,0.0,65.66,65.66,65.66,0.0,0.0,65.26,65.26,65.26,0.0,0.0,65.26,65.26,65.26,0.0,0.0
2019-06-02,69.13,69.13,69.13,0.0,0.0,69.16,69.16,69.16,0.0,0.0,68.87,68.87,68.87,0.0,0.0,68.87,68.87,68.87,0.0,0.0
2019-06-09,69.08,69.08,69.08,0.0,0.0,69.11,69.11,69.11,0.0,0.0,68.97,68.97,68.97,0.0,0.0,68.97,68.97,68.97,0.0,0.0
2019-06-16,70.23,70.23,70.23,0.0,0.0,70.23,70.23,70.23,0.0,0.0,70.03,70.03,70.03,0.0,0.0,70.03,70.03,70.03,0.0,0.0
2019-06-23,70.81,70.81,70.81,0.0,0.0,70.81,70.81,70.81,0.0,0.0,70.44,70.44,70.44,0.0,0.0,70.44,70.44,70.44,0.0,0.0
2019-06-30,70.86,70.86,70.86,0.0,0.0,70.95,70.95,70.95,0.0,0.0,70.86,70.86,70.86,0.0,0.0,70.95,70.95,70.95,0.0,0.0
2019-07-07,72.05,72.05,72.05,0.0,0.0,72.05,72.05,72.05,0.0,0.0,71.95,71.95,71.95,0.0,0.0,72.03,72.03,72.03,0.0,0.0
2019-07-14,71.3,71.3,71.3,0.0,0.0,71.42,71.42,71.42,0.0,0.0,71.3,71.3,71.3,0.0,0.0,71.42,71.42,71.42,0.0,0.0
2019-07-21,72.24,72.24,72.24,0.0,0.0,72.3,72.3,72.3,0.0,0.0,72.24,72.24,72.24,0.0,0.0,72.3,72.3,72.3,0.0,0.0
2019-07-28,68.86,68.86,68.86,0.0,0.0,68.86,68.86,68.86,0.0,0.0,67.73,67.73,67.73,0.0,0.0,68.05,68.05,68.05,0.0,0.0
2019-08-04,69.39,69.39,69.39,0.0,0.0,69.39,69.39,69.39,0.0,0.0,68.87,68.87,68.87,0.0,0.0,68.87,68.87,68.87,0.0,0.0
2019-08-11,69.92,69.92,69.92,0.0,0.0,69.94,69.94,69.94,0.0,0.0,69.89,69.89,69.89,0.0,0.0,69.89,69.89,69.89,0.0,0.0
2019-08-18,68.4,68.4,68.4,0.0,0.0,68.54,68.54,68.54,0.0,0.0,68.2,68.2,68.2,0.0,0.0,68.54,68.54,68.54,0.0,0.0
2019-08-25,69.74,69.74,69.74,0.0,0.0,69.8,69.8,69.8,0.0,0.0,69.69,69.69,69.69,0.0,0.0,69.8,69.8,69.8,0.0,0.0
2019-09-01,71.5,71.5,71.5,0.0,0.0,71.5,71.5,71.5,0.0,0.0,71.05,71.05,71.05,0.0,0.0,71.24,71.24,71.24,0.0,0.0
2019-09-08,71.65,71.65,71.65,0.0,0.0,71.65,71.65,71.65,0.0,0.0,71.58,71.58,71.58,0.0,0.0,71.58,71.58,71.58,0.0,0.0
2019-09-15,71.07,71.07,71.07,0.0,0.0,71.27,71.27,71.27,0.0,0.0,71.07,71.07,71.07,0.0,0.0,71.27,71.27,71.27,0.0,0.0
2019-09-22,70.83,70.83,70.83,0.0,0.0,70.98,70.98,70.98,0.0,0.0,70.83,70.83,70.83,0.0,0.0,70.92,70.92,70.92,0.0,0.0
2019-09-29,70.11,70.11,70.11,0.0,0.0,70.11,70.11,70.11,0.0,0.0,69.99,69.99,69.99,0.0,0.0,69.99,69.99,69.99,0.0,0.0
2019-10-06,70.74,70.74,70.74,0.0,0.0,70.74,70.74,70.74,0.0,0.0,70.66,70.66,70.66,0.0,0.0,70.67,70.67,70.67,0.0,0.0
2019-10-13,71.44,71.44,71.44,0.0,0.0,71.64,71.64,71.64,0.0,0.0,71.44,71.44,71.44,0.0,0.0,71.64,71.64,71.64,0.0,0.0
2019-10-20,72.47,72.47,72.47,0.0,0.0,72.47,72.47,72.47,0.0,0.0,72.44,72.44,72.44,0.0,0.0,72.46,72.46,72.46,0.0,0.0
2019-10-27,73.44,73.44,73.44,0.0,0.0,73.48,73.48,73.48,0.0,0.0,73.39,73.39,73.39,0.0,0.0,73.39,73.39,73.39,0.0,0.0
2019-11-03,73.68,73.68,73.68,0.0,0.0,73.73,73.73,73.73,0.0,0.0,73.68,73.68,73.68,0.0,0.0,73.72,73.72,73.72,0.0,0.0
2019-11-10,74.13,74.13,74.13,0.0,0.0,74.45,74.45,74.45,0.0,0.0,74.13,74.13,74.13,0.0,0.0,74.35,74.35,74.35,0.0,0.0
2019-11-17,74.59,74.59,74.59,0.0,0.0,74.63,74.63,74.63,0.0,0.0,74.59,74.59,74.59,0.0,0.0,74.63,74.63,74.63,0.0,0.0
2019-11-24,74.78,74.78,74.78,0.0,0.0,74.78,74.78,74.78,0.0,0.0,74.32,74.32,74.32,0.0,0.0,74.38,74.38,74.38,0.0,0.0
2019-12-01,75.06,75.06,75.06,0.0,0.0,75.18,75.18,75.18,0.0,0.0,74.93,74.93,74.93,0.0,0.0,74.93,74.93,74.93,0.0,0.0
2019-12-08,76.3,76.3,76.3,0.0,0.0,76.37,76.37,76.37,0.0,0.0,76.29,76.29,76.29,0.0,0.0,76.29,76.29,76.29,0.0,0.0
2019-12-15,76.67,76.67,76.67,0.0,0.0,76.67,76.67,76.67,0.0,0.0,76.6,76.6,76.6,0.0,0.0,76.6,76.6,76.6,0.0,0.0
2019-12-22,76.73,76.73,76.73,0.0,0.0,76.8,76.8,76.8,0.0,0.0,76.65,76.65,76.65,0.0,0.0,76.65,76.65,76.65,0.0,0.0
2019-12-29,77.07,77.07,77.07,0.0,0.0,77.31,77.31,77.31,0.0,0.0,77.07,77.07,77.07,0.0,0.0,77.1,77.1,77.1,0.0,0.0
