Date,PowerShares S&P SmallCap Information Technology_Open_average,PowerShares S&P SmallCap Information Technology_Open_max,PowerShares S&P SmallCap Information Technology_Open_min,PowerShares S&P SmallCap Information Technology_Open_volatility,PowerShares S&P SmallCap Information Technology_Open_change,PowerShares S&P SmallCap Information Technology_High_average,PowerShares S&P SmallCap Information Technology_High_max,PowerShares S&P SmallCap Information Technology_High_min,PowerShares S&P SmallCap Information Technology_High_volatility,PowerShares S&P SmallCap Information Technology_High_change,PowerShares S&P SmallCap Information Technology_Low_average,PowerShares S&P SmallCap Information Technology_Low_max,PowerShares S&P SmallCap Information Technology_Low_min,PowerShares S&P SmallCap Information Technology_Low_volatility,PowerShares S&P SmallCap Information Technology_Low_change,PowerShares S&P SmallCap Information Technology_Close_average,PowerShares S&P SmallCap Information Technology_Close_max,PowerShares S&P SmallCap Information Technology_Close_min,PowerShares S&P SmallCap Information Technology_Close_volatility,PowerShares S&P SmallCap Information Technology_Close_change
2018-03-25,77.21,77.21,77.21,0.0,0.0,77.85,77.85,77.85,0.0,0.0,75.0,75.0,75.0,0.0,0.0,75.33,75.33,75.33,0.0,0.0
2018-04-01,76.86,76.86,76.86,0.0,0.0,77.65,77.65,77.65,0.0,0.0,76.12,76.12,76.12,0.0,0.0,76.13,76.13,76.13,0.0,0.0
2018-04-08,79.49,79.49,79.49,0.0,0.0,79.7,79.7,79.7,0.0,0.0,78.92,78.92,78.92,0.0,0.0,79.47,79.47,79.47,0.0,0.0
2018-04-15,79.37,79.37,79.37,0.0,0.0,79.73,79.73,79.73,0.0,0.0,78.6,78.6,78.6,0.0,0.0,78.6,78.6,78.6,0.0,0.0
2018-04-22,76.76,76.76,76.76,0.0,0.0,77.18,77.18,77.18,0.0,0.0,76.16,76.16,76.16,0.0,0.0,76.37,76.37,76.37,0.0,0.0
2018-04-29,79.31,79.31,79.31,0.0,0.0,80.3,80.3,80.3,0.0,0.0,79.31,79.31,79.31,0.0,0.0,80.13,80.13,80.13,0.0,0.0
2018-05-06,81.69,81.69,81.69,0.0,0.0,82.0,82.0,82.0,0.0,0.0,81.06,81.06,81.06,0.0,0.0,81.25,81.25,81.25,0.0,0.0
2018-05-13,82.07,82.07,82.07,0.0,0.0,82.45,82.45,82.45,0.0,0.0,81.81,81.81,81.81,0.0,0.0,82.29,82.29,82.29,0.0,0.0
2018-05-20,81.32,81.32,81.32,0.0,0.0,82.09,82.09,82.09,0.0,0.0,81.32,81.32,81.32,0.0,0.0,81.92,81.92,81.92,0.0,0.0
2018-05-27,83.33,83.33,83.33,0.0,0.0,84.39,84.39,84.39,0.0,0.0,83.29,83.29,83.29,0.0,0.0,84.39,84.39,84.39,0.0,0.0
2018-06-03,84.7,84.7,84.7,0.0,0.0,85.3,85.3,85.3,0.0,0.0,84.68,84.68,84.68,0.0,0.0,85.03,85.03,85.03,0.0,0.0
2018-06-10,85.88,85.88,85.88,0.0,0.0,86.27,86.27,86.27,0.0,0.0,84.98,84.98,84.98,0.0,0.0,86.25,86.25,86.25,0.0,0.0
2018-06-17,83.99,83.99,83.99,0.0,0.0,83.99,83.99,83.99,0.0,0.0,81.72,81.72,81.72,0.0,0.0,82.37,82.37,82.37,0.0,0.0
2018-06-24,81.67,81.67,81.67,0.0,0.0,83.71,83.71,83.71,0.0,0.0,81.67,81.67,81.67,0.0,0.0,83.71,83.71,83.71,0.0,0.0
2018-07-01,86.27,86.27,86.27,0.0,0.0,86.77,86.77,86.77,0.0,0.0,85.91,85.91,85.91,0.0,0.0,86.77,86.77,86.77,0.0,0.0
2018-07-08,86.3,86.3,86.3,0.0,0.0,86.68,86.68,86.68,0.0,0.0,85.85,85.85,85.85,0.0,0.0,86.01,86.01,86.01,0.0,0.0
2018-07-15,86.93,86.93,86.93,0.0,0.0,86.93,86.93,86.93,0.0,0.0,86.0,86.0,86.0,0.0,0.0,86.78,86.78,86.78,0.0,0.0
2018-07-22,84.76,84.76,84.76,0.0,0.0,84.76,84.76,84.76,0.0,0.0,83.38,83.38,83.38,0.0,0.0,83.47,83.47,83.47,0.0,0.0
2018-07-29,84.31,84.31,84.31,0.0,0.0,85.6,85.6,85.6,0.0,0.0,84.31,84.31,84.31,0.0,0.0,85.49,85.49,85.49,0.0,0.0
2018-08-05,85.7,85.7,85.7,0.0,0.0,86.17,86.17,86.17,0.0,0.0,84.95,84.95,84.95,0.0,0.0,85.26,85.26,85.26,0.0,0.0
2018-08-12,85.61,85.61,85.61,0.0,0.0,86.11,86.11,86.11,0.0,0.0,85.59,85.59,85.59,0.0,0.0,85.88,85.88,85.88,0.0,0.0
2018-08-19,88.09,88.09,88.09,0.0,0.0,89.44,89.44,89.44,0.0,0.0,88.09,88.09,88.09,0.0,0.0,88.71,88.71,88.71,0.0,0.0
2018-08-26,88.99,88.99,88.99,0.0,0.0,89.71,89.71,89.71,0.0,0.0,88.94,88.94,88.94,0.0,0.0,89.71,89.71,89.71,0.0,0.0
2018-09-02,86.79,86.79,86.79,0.0,0.0,87.25,87.25,87.25,0.0,0.0,86.59,86.59,86.59,0.0,0.0,86.98,86.98,86.98,0.0,0.0
2018-09-09,86.98,86.98,86.98,0.0,0.0,86.98,86.98,86.98,0.0,0.0,85.55,85.55,85.55,0.0,0.0,85.7,85.7,85.7,0.0,0.0
2018-09-16,85.51,85.51,85.51,0.0,0.0,85.74,85.74,85.74,0.0,0.0,85.11,85.11,85.11,0.0,0.0,85.67,85.67,85.67,0.0,0.0
2018-09-23,84.51,84.51,84.51,0.0,0.0,85.0,85.0,85.0,0.0,0.0,83.16,83.16,83.16,0.0,0.0,83.16,83.16,83.16,0.0,0.0
2018-09-30,79.31,79.31,79.31,0.0,0.0,79.5,79.5,79.5,0.0,0.0,77.77,77.77,77.77,0.0,0.0,78.42,78.42,78.42,0.0,0.0
2018-10-07,75.06,75.06,75.06,0.0,0.0,76.26,76.26,76.26,0.0,0.0,74.6,74.6,74.6,0.0,0.0,75.57,75.57,75.57,0.0,0.0
2018-10-14,75.89,75.89,75.89,0.0,0.0,76.82,76.82,76.82,0.0,0.0,75.89,75.89,75.89,0.0,0.0,76.36,76.36,76.36,0.0,0.0
2018-10-21,74.03,74.03,74.03,0.0,0.0,74.58,74.58,74.58,0.0,0.0,71.21,71.21,71.21,0.0,0.0,72.18,72.18,72.18,0.0,0.0
2018-10-28,77.55,77.55,77.55,0.0,0.0,77.55,77.55,77.55,0.0,0.0,75.69,75.69,75.69,0.0,0.0,76.76,76.76,76.76,0.0,0.0
2018-11-04,76.07,76.07,76.07,0.0,0.0,76.08,76.08,76.08,0.0,0.0,73.69,73.69,73.69,0.0,0.0,74.1,74.1,74.1,0.0,0.0
2018-11-11,75.43,75.43,75.43,0.0,0.0,75.43,75.43,75.43,0.0,0.0,72.95,72.95,72.95,0.0,0.0,73.26,73.26,73.26,0.0,0.0
2018-11-18,73.52,73.52,73.52,0.0,0.0,74.4,74.4,74.4,0.0,0.0,73.52,73.52,73.52,0.0,0.0,74.14,74.14,74.14,0.0,0.0
2018-11-25,77.13,77.13,77.13,0.0,0.0,77.37,77.37,77.37,0.0,0.0,76.06,76.06,76.06,0.0,0.0,77.07,77.07,77.07,0.0,0.0
2018-12-02,71.41,71.41,71.41,0.0,0.0,72.48,72.48,72.48,0.0,0.0,71.19,71.19,71.19,0.0,0.0,71.87,71.87,71.87,0.0,0.0
2018-12-09,70.31,70.31,70.31,0.0,0.0,71.03,71.03,71.03,0.0,0.0,68.69,68.69,68.69,0.0,0.0,69.07,69.07,69.07,0.0,0.0
2018-12-16,64.41,64.41,64.41,0.0,0.0,65.39,65.39,65.39,0.0,0.0,63.99,63.99,63.99,0.0,0.0,64.05,64.05,64.05,0.0,0.0
2018-12-23,69.0,69.0,69.0,0.0,0.0,69.24,69.24,69.24,0.0,0.0,68.01,68.01,68.01,0.0,0.0,69.02,69.02,69.02,0.0,0.0
2018-12-30,68.91,68.91,68.91,0.0,0.0,70.66,70.66,70.66,0.0,0.0,68.91,68.91,68.91,0.0,0.0,70.42,70.42,70.42,0.0,0.0
2019-01-06,72.73,72.73,72.73,0.0,0.0,72.98,72.98,72.98,0.0,0.0,72.11,72.11,72.11,0.0,0.0,72.44,72.44,72.44,0.0,0.0
2019-01-13,73.88,73.88,73.88,0.0,0.0,74.85,74.85,74.85,0.0,0.0,73.73,73.73,73.73,0.0,0.0,74.41,74.41,74.41,0.0,0.0
2019-01-20,75.41,75.41,75.41,0.0,0.0,76.22,76.22,76.22,0.0,0.0,75.2,75.2,75.2,0.0,0.0,75.9,75.9,75.9,0.0,0.0
2019-01-27,77.44,77.44,77.44,0.0,0.0,78.67,78.67,78.67,0.0,0.0,77.44,77.44,77.44,0.0,0.0,78.59,78.59,78.59,0.0,0.0
2019-02-03,78.67,78.67,78.67,0.0,0.0,78.92,78.92,78.92,0.0,0.0,78.31,78.31,78.31,0.0,0.0,78.82,78.82,78.82,0.0,0.0
2019-02-10,81.42,81.42,81.42,0.0,0.0,82.0,82.0,82.0,0.0,0.0,81.08,81.08,81.08,0.0,0.0,82.0,82.0,82.0,0.0,0.0
2019-02-17,84.46,84.46,84.46,0.0,0.0,85.11,85.11,85.11,0.0,0.0,84.27,84.27,84.27,0.0,0.0,84.33,84.33,84.33,0.0,0.0
2019-02-24,83.3,83.3,83.3,0.0,0.0,83.34,83.34,83.34,0.0,0.0,81.6,81.6,81.6,0.0,0.0,82.2,82.2,82.2,0.0,0.0
2019-03-03,79.38,79.38,79.38,0.0,0.0,81.55,81.55,81.55,0.0,0.0,79.38,79.38,79.38,0.0,0.0,80.88,80.88,80.88,0.0,0.0
2019-03-10,81.58,81.58,81.58,0.0,0.0,81.98,81.98,81.98,0.0,0.0,80.7,80.7,80.7,0.0,0.0,81.51,81.51,81.51,0.0,0.0
2019-03-17,78.59,78.59,78.59,0.0,0.0,79.19,79.19,79.19,0.0,0.0,78.03,78.03,78.03,0.0,0.0,79.08,79.08,79.08,0.0,0.0
2019-03-24,80.85,80.85,80.85,0.0,0.0,81.92,81.92,81.92,0.0,0.0,80.85,80.85,80.85,0.0,0.0,81.52,81.52,81.52,0.0,0.0
2019-03-31,82.89,82.89,82.89,0.0,0.0,83.42,83.42,83.42,0.0,0.0,82.67,82.67,82.67,0.0,0.0,83.42,83.42,83.42,0.0,0.0
2019-04-07,84.84,84.84,84.84,0.0,0.0,84.92,84.92,84.92,0.0,0.0,83.95,83.95,83.95,0.0,0.0,84.41,84.41,84.41,0.0,0.0
2019-04-14,83.91,83.91,83.91,0.0,0.0,84.38,84.38,84.38,0.0,0.0,83.91,83.91,83.91,0.0,0.0,84.37,84.37,84.37,0.0,0.0
2019-04-21,84.9,84.9,84.9,0.0,0.0,85.58,85.58,85.58,0.0,0.0,84.9,84.9,84.9,0.0,0.0,85.06,85.06,85.06,0.0,0.0
2019-04-28,84.69,84.69,84.69,0.0,0.0,86.69,86.69,86.69,0.0,0.0,84.69,84.69,84.69,0.0,0.0,86.25,86.25,86.25,0.0,0.0
2019-05-05,82.31,82.31,82.31,0.0,0.0,82.31,82.31,82.31,0.0,0.0,80.4,80.4,80.4,0.0,0.0,80.4,80.4,80.4,0.0,0.0
2019-05-12,79.36,79.36,79.36,0.0,0.0,79.55,79.55,79.55,0.0,0.0,78.77,78.77,78.77,0.0,0.0,78.81,78.81,78.81,0.0,0.0
2019-05-19,77.71,77.71,77.71,0.0,0.0,78.21,78.21,78.21,0.0,0.0,77.66,77.66,77.66,0.0,0.0,78.17,78.17,78.17,0.0,0.0
2019-05-26,76.18,76.18,76.18,0.0,0.0,76.54,76.54,76.54,0.0,0.0,75.43,75.43,75.43,0.0,0.0,75.91,75.91,75.91,0.0,0.0
2019-06-02,80.3,80.3,80.3,0.0,0.0,81.88,81.88,81.88,0.0,0.0,80.3,80.3,80.3,0.0,0.0,80.91,80.91,80.91,0.0,0.0
2019-06-09,80.0,80.0,80.0,0.0,0.0,80.15,80.15,80.15,0.0,0.0,79.75,79.75,79.75,0.0,0.0,79.76,79.76,79.76,0.0,0.0
2019-06-16,81.71,81.71,81.71,0.0,0.0,81.8,81.8,81.8,0.0,0.0,81.04,81.04,81.04,0.0,0.0,81.1,81.1,81.1,0.0,0.0
2019-06-23,84.73,84.73,84.73,0.0,0.0,85.64,85.64,85.64,0.0,0.0,83.75,83.75,83.75,0.0,0.0,84.27,84.27,84.27,0.0,0.0
2019-06-30,83.8,83.8,83.8,0.0,0.0,83.8,83.8,83.8,0.0,0.0,82.32,82.32,82.32,0.0,0.0,82.48,82.48,82.48,0.0,0.0
2019-07-07,84.04,84.04,84.04,0.0,0.0,84.19,84.19,84.19,0.0,0.0,83.38,83.38,83.38,0.0,0.0,83.7,83.7,83.7,0.0,0.0
2019-07-14,83.71,83.71,83.71,0.0,0.0,84.1,84.1,84.1,0.0,0.0,83.69,83.69,83.69,0.0,0.0,83.88,83.88,83.88,0.0,0.0
2019-07-21,87.5,87.5,87.5,0.0,0.0,87.53,87.53,87.53,0.0,0.0,86.76,86.76,86.76,0.0,0.0,87.53,87.53,87.53,0.0,0.0
2019-07-28,83.0,83.0,83.0,0.0,0.0,83.77,83.77,83.77,0.0,0.0,81.11,81.11,81.11,0.0,0.0,82.11,82.11,82.11,0.0,0.0
2019-08-04,83.69,83.69,83.69,0.0,0.0,83.88,83.88,83.88,0.0,0.0,83.04,83.04,83.04,0.0,0.0,83.28,83.28,83.28,0.0,0.0
2019-08-11,84.32,84.32,84.32,0.0,0.0,84.71,84.71,84.71,0.0,0.0,84.16,84.16,84.16,0.0,0.0,84.24,84.24,84.24,0.0,0.0
2019-08-18,81.84,81.84,81.84,0.0,0.0,81.95,81.95,81.95,0.0,0.0,81.34,81.34,81.34,0.0,0.0,81.57,81.57,81.57,0.0,0.0
2019-08-25,83.16,83.16,83.16,0.0,0.0,83.5,83.5,83.5,0.0,0.0,82.41,82.41,82.41,0.0,0.0,83.03,83.03,83.03,0.0,0.0
2019-09-01,85.0,85.0,85.0,0.0,0.0,85.85,85.85,85.85,0.0,0.0,84.94,84.94,84.94,0.0,0.0,85.6,85.6,85.6,0.0,0.0
2019-09-08,87.83,87.83,87.83,0.0,0.0,88.87,88.87,88.87,0.0,0.0,87.57,87.57,87.57,0.0,0.0,88.59,88.59,88.59,0.0,0.0
2019-09-15,87.51,87.51,87.51,0.0,0.0,88.39,88.39,88.39,0.0,0.0,87.51,87.51,87.51,0.0,0.0,87.94,87.94,87.94,0.0,0.0
2019-09-22,86.12,86.12,86.12,0.0,0.0,86.57,86.57,86.57,0.0,0.0,85.8,85.8,85.8,0.0,0.0,85.8,85.8,85.8,0.0,0.0
2019-09-29,85.36,85.36,85.36,0.0,0.0,86.08,86.08,86.08,0.0,0.0,85.36,85.36,85.36,0.0,0.0,85.54,85.54,85.54,0.0,0.0
2019-10-06,85.75,85.75,85.75,0.0,0.0,86.13,86.13,86.13,0.0,0.0,85.69,85.69,85.69,0.0,0.0,85.79,85.79,85.79,0.0,0.0
2019-10-13,88.08,88.08,88.08,0.0,0.0,88.89,88.89,88.89,0.0,0.0,87.9,87.9,87.9,0.0,0.0,88.06,88.06,88.06,0.0,0.0
2019-10-20,89.55,89.55,89.55,0.0,0.0,91.07,91.07,91.07,0.0,0.0,89.55,89.55,89.55,0.0,0.0,90.77,90.77,90.77,0.0,0.0
2019-10-27,93.05,93.05,93.05,0.0,0.0,93.4,93.4,93.4,0.0,0.0,92.83,92.83,92.83,0.0,0.0,93.14,93.14,93.14,0.0,0.0
2019-11-03,92.99,92.99,92.99,0.0,0.0,93.49,93.49,93.49,0.0,0.0,92.99,92.99,92.99,0.0,0.0,93.33,93.33,93.33,0.0,0.0
2019-11-10,93.8,93.8,93.8,0.0,0.0,93.8,93.8,93.8,0.0,0.0,92.61,92.61,92.61,0.0,0.0,92.73,92.73,92.73,0.0,0.0
2019-11-17,91.76,91.76,91.76,0.0,0.0,93.78,93.78,93.78,0.0,0.0,91.76,91.76,91.76,0.0,0.0,93.73,93.73,93.73,0.0,0.0
2019-11-24,93.44,93.44,93.44,0.0,0.0,93.44,93.44,93.44,0.0,0.0,91.28,91.28,91.28,0.0,0.0,91.35,91.35,91.35,0.0,0.0
2019-12-01,92.85,92.85,92.85,0.0,0.0,92.85,92.85,92.85,0.0,0.0,92.14,92.14,92.14,0.0,0.0,92.14,92.14,92.14,0.0,0.0
2019-12-08,95.3,95.3,95.3,0.0,0.0,95.74,95.74,95.74,0.0,0.0,94.75,94.75,94.75,0.0,0.0,94.75,94.75,94.75,0.0,0.0
2019-12-15,96.34,96.34,96.34,0.0,0.0,96.6,96.6,96.6,0.0,0.0,95.68,95.68,95.68,0.0,0.0,96.48,96.48,96.48,0.0,0.0
2019-12-22,96.2,96.2,96.2,0.0,0.0,96.32,96.32,96.32,0.0,0.0,95.22,95.22,95.22,0.0,0.0,96.01,96.01,96.01,0.0,0.0
2019-12-29,96.02,96.02,96.02,0.0,0.0,96.83,96.83,96.83,0.0,0.0,95.92,95.92,95.92,0.0,0.0,96.66,96.66,96.66,0.0,0.0
