Date,iShares MSCI Philippines_Open_average,iShares MSCI Philippines_Open_max,iShares MSCI Philippines_Open_min,iShares MSCI Philippines_Open_volatility,iShares MSCI Philippines_Open_change,iShares MSCI Philippines_High_average,iShares MSCI Philippines_High_max,iShares MSCI Philippines_High_min,iShares MSCI Philippines_High_volatility,iShares MSCI Philippines_High_change,iShares MSCI Philippines_Low_average,iShares MSCI Philippines_Low_max,iShares MSCI Philippines_Low_min,iShares MSCI Philippines_Low_volatility,iShares MSCI Philippines_Low_change,iShares MSCI Philippines_Close_average,iShares MSCI Philippines_Close_max,iShares MSCI Philippines_Close_min,iShares MSCI Philippines_Close_volatility,iShares MSCI Philippines_Close_change
2018-09-16,30.73,30.73,30.73,0.0,0.0,31.0,31.0,31.0,0.0,0.0,30.33,30.33,30.33,0.0,0.0,30.44,30.44,30.44,0.0,0.0
2018-09-23,29.92,29.92,29.92,0.0,0.0,29.95,29.95,29.95,0.0,0.0,29.64,29.64,29.64,0.0,0.0,29.68,29.68,29.68,0.0,0.0
2018-09-30,29.08,29.08,29.08,0.0,0.0,29.32,29.32,29.32,0.0,0.0,29.07,29.07,29.07,0.0,0.0,29.29,29.29,29.29,0.0,0.0
2018-10-07,28.76,28.76,28.76,0.0,0.0,29.05,29.05,29.05,0.0,0.0,28.76,28.76,28.76,0.0,0.0,28.81,28.81,28.81,0.0,0.0
2018-10-14,30.09,30.09,30.09,0.0,0.0,30.24,30.24,30.24,0.0,0.0,29.92,29.92,29.92,0.0,0.0,30.08,30.08,30.08,0.0,0.0
2018-10-21,29.92,29.92,29.92,0.0,0.0,30.08,30.08,30.08,0.0,0.0,29.12,29.12,29.12,0.0,0.0,29.45,29.45,29.45,0.0,0.0
2018-10-28,30.44,30.44,30.44,0.0,0.0,30.83,30.83,30.83,0.0,0.0,30.44,30.44,30.44,0.0,0.0,30.72,30.72,30.72,0.0,0.0
2018-11-04,29.04,29.04,29.04,0.0,0.0,29.04,29.04,29.04,0.0,0.0,28.56,28.56,28.56,0.0,0.0,28.67,28.67,28.67,0.0,0.0
2018-11-11,30.77,30.77,30.77,0.0,0.0,30.83,30.83,30.83,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.66,30.66,30.66,0.0,0.0
2018-11-18,31.45,31.45,31.45,0.0,0.0,32.35,32.35,32.35,0.0,0.0,31.41,31.41,31.41,0.0,0.0,31.54,31.54,31.54,0.0,0.0
2018-11-25,32.13,32.13,32.13,0.0,0.0,32.27,32.27,32.27,0.0,0.0,32.02,32.02,32.02,0.0,0.0,32.26,32.26,32.26,0.0,0.0
2018-12-02,31.3,31.3,31.3,0.0,0.0,31.34,31.34,31.34,0.0,0.0,30.74,30.74,30.74,0.0,0.0,31.14,31.14,31.14,0.0,0.0
2018-12-09,31.87,31.87,31.87,0.0,0.0,31.96,31.96,31.96,0.0,0.0,31.47,31.47,31.47,0.0,0.0,31.63,31.63,31.63,0.0,0.0
2018-12-16,31.59,31.59,31.59,0.0,0.0,31.68,31.68,31.68,0.0,0.0,31.26,31.26,31.26,0.0,0.0,31.3,31.3,31.3,0.0,0.0
2018-12-23,32.5,32.5,32.5,0.0,0.0,32.5,32.5,32.5,0.0,0.0,31.78,31.78,31.78,0.0,0.0,31.88,31.88,31.88,0.0,0.0
2018-12-30,33.76,33.76,33.76,0.0,0.0,33.9,33.9,33.9,0.0,0.0,33.51,33.51,33.51,0.0,0.0,33.73,33.73,33.73,0.0,0.0
2019-01-06,34.61,34.61,34.61,0.0,0.0,34.96,34.96,34.96,0.0,0.0,34.42,34.42,34.42,0.0,0.0,34.72,34.72,34.72,0.0,0.0
2019-01-13,34.64,34.64,34.64,0.0,0.0,34.91,34.91,34.91,0.0,0.0,34.55,34.55,34.55,0.0,0.0,34.86,34.86,34.86,0.0,0.0
2019-01-20,34.7,34.7,34.7,0.0,0.0,34.83,34.83,34.83,0.0,0.0,34.56,34.56,34.56,0.0,0.0,34.76,34.76,34.76,0.0,0.0
2019-01-27,34.81,34.81,34.81,0.0,0.0,35.14,35.14,35.14,0.0,0.0,34.55,34.55,34.55,0.0,0.0,35.07,35.07,35.07,0.0,0.0
2019-02-03,34.97,34.97,34.97,0.0,0.0,35.15,35.15,35.15,0.0,0.0,34.91,34.91,34.91,0.0,0.0,34.94,34.94,34.94,0.0,0.0
2019-02-10,34.12,34.12,34.12,0.0,0.0,34.28,34.28,34.28,0.0,0.0,34.08,34.08,34.08,0.0,0.0,34.2,34.2,34.2,0.0,0.0
2019-02-17,34.67,34.67,34.67,0.0,0.0,34.97,34.97,34.97,0.0,0.0,34.65,34.65,34.65,0.0,0.0,34.9,34.9,34.9,0.0,0.0
2019-02-24,33.38,33.38,33.38,0.0,0.0,33.43,33.43,33.43,0.0,0.0,32.99,32.99,32.99,0.0,0.0,33.23,33.23,33.23,0.0,0.0
2019-03-03,33.35,33.35,33.35,0.0,0.0,33.71,33.71,33.71,0.0,0.0,33.28,33.28,33.28,0.0,0.0,33.64,33.64,33.64,0.0,0.0
2019-03-10,33.94,33.94,33.94,0.0,0.0,34.21,34.21,34.21,0.0,0.0,33.94,33.94,33.94,0.0,0.0,34.2,34.2,34.2,0.0,0.0
2019-03-17,34.08,34.08,34.08,0.0,0.0,34.34,34.34,34.34,0.0,0.0,34.04,34.04,34.04,0.0,0.0,34.26,34.26,34.26,0.0,0.0
2019-03-24,34.0,34.0,34.0,0.0,0.0,34.41,34.41,34.41,0.0,0.0,33.93,33.93,33.93,0.0,0.0,34.31,34.31,34.31,0.0,0.0
2019-03-31,34.6,34.6,34.6,0.0,0.0,35.04,35.04,35.04,0.0,0.0,34.6,34.6,34.6,0.0,0.0,34.96,34.96,34.96,0.0,0.0
2019-04-07,34.43,34.43,34.43,0.0,0.0,34.56,34.56,34.56,0.0,0.0,34.31,34.31,34.31,0.0,0.0,34.43,34.43,34.43,0.0,0.0
2019-04-14,34.42,34.42,34.42,0.0,0.0,34.63,34.63,34.63,0.0,0.0,34.26,34.26,34.26,0.0,0.0,34.46,34.46,34.46,0.0,0.0
2019-04-21,34.58,34.58,34.58,0.0,0.0,34.62,34.62,34.62,0.0,0.0,34.4,34.4,34.4,0.0,0.0,34.43,34.43,34.43,0.0,0.0
2019-04-28,34.52,34.52,34.52,0.0,0.0,34.67,34.67,34.67,0.0,0.0,34.15,34.15,34.15,0.0,0.0,34.56,34.56,34.56,0.0,0.0
2019-05-05,32.61,32.61,32.61,0.0,0.0,32.68,32.68,32.68,0.0,0.0,32.26,32.26,32.26,0.0,0.0,32.52,32.52,32.52,0.0,0.0
2019-05-12,32.73,32.73,32.73,0.0,0.0,32.85,32.85,32.85,0.0,0.0,32.62,32.62,32.62,0.0,0.0,32.8,32.8,32.8,0.0,0.0
2019-05-19,33.71,33.71,33.71,0.0,0.0,33.75,33.75,33.75,0.0,0.0,33.54,33.54,33.54,0.0,0.0,33.57,33.57,33.57,0.0,0.0
2019-05-26,35.66,35.66,35.66,0.0,0.0,36.03,36.03,36.03,0.0,0.0,35.65,35.65,35.65,0.0,0.0,35.78,35.78,35.78,0.0,0.0
2019-06-02,35.23,35.23,35.23,0.0,0.0,35.38,35.38,35.38,0.0,0.0,34.93,34.93,34.93,0.0,0.0,34.96,34.96,34.96,0.0,0.0
2019-06-09,34.09,34.09,34.09,0.0,0.0,34.3,34.3,34.3,0.0,0.0,33.97,33.97,33.97,0.0,0.0,34.25,34.25,34.25,0.0,0.0
2019-06-16,35.95,35.95,35.95,0.0,0.0,36.05,36.05,36.05,0.0,0.0,35.77,35.77,35.77,0.0,0.0,35.94,35.94,35.94,0.0,0.0
2019-06-23,36.03,36.03,36.03,0.0,0.0,36.1,36.1,36.1,0.0,0.0,35.82,35.82,35.82,0.0,0.0,36.03,36.03,36.03,0.0,0.0
2019-06-30,35.81,35.81,35.81,0.0,0.0,35.99,35.99,35.99,0.0,0.0,35.74,35.74,35.74,0.0,0.0,35.94,35.94,35.94,0.0,0.0
2019-07-07,36.94,36.94,36.94,0.0,0.0,37.15,37.15,37.15,0.0,0.0,36.84,36.84,36.84,0.0,0.0,37.08,37.08,37.08,0.0,0.0
2019-07-14,36.34,36.34,36.34,0.0,0.0,36.51,36.51,36.51,0.0,0.0,36.34,36.34,36.34,0.0,0.0,36.36,36.36,36.36,0.0,0.0
2019-07-21,35.93,35.93,35.93,0.0,0.0,36.16,36.16,36.16,0.0,0.0,35.93,35.93,35.93,0.0,0.0,36.15,36.15,36.15,0.0,0.0
2019-07-28,34.13,34.13,34.13,0.0,0.0,34.13,34.13,34.13,0.0,0.0,33.42,33.42,33.42,0.0,0.0,33.71,33.71,33.71,0.0,0.0
2019-08-04,33.53,33.53,33.53,0.0,0.0,33.62,33.62,33.62,0.0,0.0,33.31,33.31,33.31,0.0,0.0,33.38,33.38,33.38,0.0,0.0
2019-08-11,33.73,33.73,33.73,0.0,0.0,33.88,33.88,33.88,0.0,0.0,33.49,33.49,33.49,0.0,0.0,33.58,33.58,33.58,0.0,0.0
2019-08-18,32.95,32.95,32.95,0.0,0.0,33.31,33.31,33.31,0.0,0.0,32.95,32.95,32.95,0.0,0.0,33.28,33.28,33.28,0.0,0.0
2019-08-25,34.47,34.47,34.47,0.0,0.0,34.56,34.56,34.56,0.0,0.0,34.26,34.26,34.26,0.0,0.0,34.44,34.44,34.44,0.0,0.0
2019-09-01,34.49,34.49,34.49,0.0,0.0,34.57,34.57,34.57,0.0,0.0,34.4,34.4,34.4,0.0,0.0,34.52,34.52,34.52,0.0,0.0
2019-09-08,34.47,34.47,34.47,0.0,0.0,34.56,34.56,34.56,0.0,0.0,34.3,34.3,34.3,0.0,0.0,34.34,34.34,34.34,0.0,0.0
2019-09-15,33.64,33.64,33.64,0.0,0.0,33.85,33.85,33.85,0.0,0.0,33.62,33.62,33.62,0.0,0.0,33.8,33.8,33.8,0.0,0.0
2019-09-22,33.47,33.47,33.47,0.0,0.0,33.71,33.71,33.71,0.0,0.0,33.42,33.42,33.42,0.0,0.0,33.45,33.45,33.45,0.0,0.0
2019-09-29,33.18,33.18,33.18,0.0,0.0,33.38,33.38,33.38,0.0,0.0,33.02,33.02,33.02,0.0,0.0,33.02,33.02,33.02,0.0,0.0
2019-10-06,34.3,34.3,34.3,0.0,0.0,34.52,34.52,34.52,0.0,0.0,34.28,34.28,34.28,0.0,0.0,34.3,34.3,34.3,0.0,0.0
2019-10-13,34.63,34.63,34.63,0.0,0.0,34.94,34.94,34.94,0.0,0.0,34.63,34.63,34.63,0.0,0.0,34.93,34.93,34.93,0.0,0.0
2019-10-20,34.91,34.91,34.91,0.0,0.0,35.08,35.08,35.08,0.0,0.0,34.88,34.88,34.88,0.0,0.0,34.99,34.99,34.99,0.0,0.0
2019-10-27,36.0,36.0,36.0,0.0,0.0,36.14,36.14,36.14,0.0,0.0,35.87,35.87,35.87,0.0,0.0,35.97,35.97,35.97,0.0,0.0
2019-11-03,35.3,35.3,35.3,0.0,0.0,35.52,35.52,35.52,0.0,0.0,35.06,35.06,35.06,0.0,0.0,35.42,35.42,35.42,0.0,0.0
2019-11-10,34.88,34.88,34.88,0.0,0.0,34.9,34.9,34.9,0.0,0.0,34.73,34.73,34.73,0.0,0.0,34.84,34.84,34.84,0.0,0.0
2019-11-17,34.26,34.26,34.26,0.0,0.0,34.43,34.43,34.43,0.0,0.0,34.2,34.2,34.2,0.0,0.0,34.43,34.43,34.43,0.0,0.0
2019-11-24,34.43,34.43,34.43,0.0,0.0,34.56,34.56,34.56,0.0,0.0,34.36,34.36,34.36,0.0,0.0,34.41,34.41,34.41,0.0,0.0
2019-12-01,34.15,34.15,34.15,0.0,0.0,34.28,34.28,34.28,0.0,0.0,33.9,33.9,33.9,0.0,0.0,33.93,33.93,33.93,0.0,0.0
2019-12-08,34.21,34.21,34.21,0.0,0.0,34.27,34.27,34.27,0.0,0.0,34.12,34.12,34.12,0.0,0.0,34.13,34.13,34.13,0.0,0.0
2019-12-15,34.06,34.06,34.06,0.0,0.0,34.29,34.29,34.29,0.0,0.0,34.06,34.06,34.06,0.0,0.0,34.23,34.23,34.23,0.0,0.0
2019-12-22,34.53,34.53,34.53,0.0,0.0,34.53,34.53,34.53,0.0,0.0,34.21,34.21,34.21,0.0,0.0,34.22,34.22,34.22,0.0,0.0
2019-12-29,34.28,34.28,34.28,0.0,0.0,34.37,34.37,34.37,0.0,0.0,33.85,33.85,33.85,0.0,0.0,33.92,33.92,33.92,0.0,0.0
