Date,Principal Shareholder YieldEtf_Open_average,Principal Shareholder YieldEtf_Open_max,Principal Shareholder YieldEtf_Open_min,Principal Shareholder YieldEtf_Open_volatility,Principal Shareholder YieldEtf_Open_change,Principal Shareholder YieldEtf_High_average,Principal Shareholder YieldEtf_High_max,Principal Shareholder YieldEtf_High_min,Principal Shareholder YieldEtf_High_volatility,Principal Shareholder YieldEtf_High_change,Principal Shareholder YieldEtf_Low_average,Principal Shareholder YieldEtf_Low_max,Principal Shareholder YieldEtf_Low_min,Principal Shareholder YieldEtf_Low_volatility,Principal Shareholder YieldEtf_Low_change,Principal Shareholder YieldEtf_Close_average,Principal Shareholder YieldEtf_Close_max,Principal Shareholder YieldEtf_Close_min,Principal Shareholder YieldEtf_Close_volatility,Principal Shareholder YieldEtf_Close_change
2018-03-25,32.0,32.0,32.0,0.0,0.0,32.0,32.0,32.0,0.0,0.0,32.0,32.0,32.0,0.0,0.0,32.0,32.0,32.0,0.0,0.0
2018-04-01,32.27,32.27,32.27,0.0,0.0,32.28,32.28,32.28,0.0,0.0,32.27,32.27,32.27,0.0,0.0,32.28,32.28,32.28,0.0,0.0
2018-04-08,32.02,32.02,32.02,0.0,0.0,32.04,32.04,32.04,0.0,0.0,32.0,32.0,32.0,0.0,0.0,32.02,32.02,32.02,0.0,0.0
2018-04-15,32.57,32.57,32.57,0.0,0.0,32.57,32.57,32.57,0.0,0.0,32.57,32.57,32.57,0.0,0.0,32.57,32.57,32.57,0.0,0.0
2018-04-22,32.28,32.28,32.28,0.0,0.0,32.28,32.28,32.28,0.0,0.0,32.28,32.28,32.28,0.0,0.0,32.28,32.28,32.28,0.0,0.0
2018-04-29,31.72,31.72,31.72,0.0,0.0,31.73,31.73,31.73,0.0,0.0,31.72,31.72,31.72,0.0,0.0,31.73,31.73,31.73,0.0,0.0
2018-05-06,32.34,32.34,32.34,0.0,0.0,32.34,32.34,32.34,0.0,0.0,32.26,32.26,32.26,0.0,0.0,32.26,32.26,32.26,0.0,0.0
2018-05-13,32.63,32.63,32.63,0.0,0.0,32.65,32.65,32.65,0.0,0.0,32.63,32.63,32.63,0.0,0.0,32.63,32.63,32.63,0.0,0.0
2018-05-20,33.4,33.4,33.4,0.0,0.0,33.4,33.4,33.4,0.0,0.0,32.79,32.79,32.79,0.0,0.0,32.79,32.79,32.79,0.0,0.0
2018-05-27,32.75,32.75,32.75,0.0,0.0,32.75,32.75,32.75,0.0,0.0,32.71,32.71,32.71,0.0,0.0,32.71,32.71,32.71,0.0,0.0
2018-06-03,33.62,33.62,33.62,0.0,0.0,33.7,33.7,33.7,0.0,0.0,33.62,33.62,33.62,0.0,0.0,33.7,33.7,33.7,0.0,0.0
2018-06-10,33.39,33.39,33.39,0.0,0.0,33.6,33.6,33.6,0.0,0.0,33.39,33.39,33.39,0.0,0.0,33.6,33.6,33.6,0.0,0.0
2018-06-17,33.33,33.33,33.33,0.0,0.0,33.33,33.33,33.33,0.0,0.0,33.26,33.26,33.26,0.0,0.0,33.27,33.27,33.27,0.0,0.0
2018-06-24,32.75,32.75,32.75,0.0,0.0,32.75,32.75,32.75,0.0,0.0,32.75,32.75,32.75,0.0,0.0,32.75,32.75,32.75,0.0,0.0
2018-07-01,32.43,32.43,32.43,0.0,0.0,32.49,32.49,32.49,0.0,0.0,32.43,32.43,32.43,0.0,0.0,32.49,32.49,32.49,0.0,0.0
2018-07-08,33.11,33.11,33.11,0.0,0.0,33.11,33.11,33.11,0.0,0.0,33.11,33.11,33.11,0.0,0.0,33.11,33.11,33.11,0.0,0.0
2018-07-15,33.36,33.36,33.36,0.0,0.0,33.36,33.36,33.36,0.0,0.0,33.36,33.36,33.36,0.0,0.0,33.36,33.36,33.36,0.0,0.0
2018-07-22,33.33,33.33,33.33,0.0,0.0,33.33,33.33,33.33,0.0,0.0,33.33,33.33,33.33,0.0,0.0,33.33,33.33,33.33,0.0,0.0
2018-07-29,33.26,33.26,33.26,0.0,0.0,33.27,33.27,33.27,0.0,0.0,33.26,33.26,33.26,0.0,0.0,33.27,33.27,33.27,0.0,0.0
2018-08-05,33.48,33.48,33.48,0.0,0.0,33.48,33.48,33.48,0.0,0.0,33.48,33.48,33.48,0.0,0.0,33.48,33.48,33.48,0.0,0.0
2018-08-12,33.55,33.55,33.55,0.0,0.0,33.55,33.55,33.55,0.0,0.0,33.55,33.55,33.55,0.0,0.0,33.55,33.55,33.55,0.0,0.0
2018-08-19,33.8,33.8,33.8,0.0,0.0,33.8,33.8,33.8,0.0,0.0,33.79,33.79,33.79,0.0,0.0,33.8,33.8,33.8,0.0,0.0
2018-08-26,33.99,33.99,33.99,0.0,0.0,33.99,33.99,33.99,0.0,0.0,33.99,33.99,33.99,0.0,0.0,33.99,33.99,33.99,0.0,0.0
2018-09-02,34.25,34.25,34.25,0.0,0.0,34.25,34.25,34.25,0.0,0.0,34.25,34.25,34.25,0.0,0.0,34.25,34.25,34.25,0.0,0.0
2018-09-09,34.01,34.01,34.01,0.0,0.0,34.01,34.01,34.01,0.0,0.0,33.95,33.95,33.95,0.0,0.0,33.95,33.95,33.95,0.0,0.0
2018-09-16,34.06,34.06,34.06,0.0,0.0,34.06,34.06,34.06,0.0,0.0,34.06,34.06,34.06,0.0,0.0,34.06,34.06,34.06,0.0,0.0
2018-09-23,33.73,33.73,33.73,0.0,0.0,33.73,33.73,33.73,0.0,0.0,33.73,33.73,33.73,0.0,0.0,33.73,33.73,33.73,0.0,0.0
2018-09-30,33.1,33.1,33.1,0.0,0.0,33.1,33.1,33.1,0.0,0.0,33.1,33.1,33.1,0.0,0.0,33.1,33.1,33.1,0.0,0.0
2018-10-07,31.21,31.21,31.21,0.0,0.0,31.21,31.21,31.21,0.0,0.0,31.21,31.21,31.21,0.0,0.0,31.21,31.21,31.21,0.0,0.0
2018-10-14,31.47,31.47,31.47,0.0,0.0,31.56,31.56,31.56,0.0,0.0,31.24,31.24,31.24,0.0,0.0,31.28,31.28,31.28,0.0,0.0
2018-10-21,30.1,30.1,30.1,0.0,0.0,30.33,30.33,30.33,0.0,0.0,30.1,30.1,30.1,0.0,0.0,30.33,30.33,30.33,0.0,0.0
2018-10-28,31.55,31.55,31.55,0.0,0.0,31.55,31.55,31.55,0.0,0.0,31.55,31.55,31.55,0.0,0.0,31.55,31.55,31.55,0.0,0.0
2018-11-04,31.87,31.87,31.87,0.0,0.0,31.94,31.94,31.94,0.0,0.0,31.81,31.81,31.81,0.0,0.0,31.87,31.87,31.87,0.0,0.0
2018-11-11,31.72,31.72,31.72,0.0,0.0,31.72,31.72,31.72,0.0,0.0,31.23,31.23,31.23,0.0,0.0,31.23,31.23,31.23,0.0,0.0
2018-11-18,30.72,30.72,30.72,0.0,0.0,30.72,30.72,30.72,0.0,0.0,30.72,30.72,30.72,0.0,0.0,30.72,30.72,30.72,0.0,0.0
2018-11-25,31.2,31.2,31.2,0.0,0.0,31.2,31.2,31.2,0.0,0.0,31.2,31.2,31.2,0.0,0.0,31.2,31.2,31.2,0.0,0.0
2018-12-02,30.05,30.05,30.05,0.0,0.0,30.06,30.06,30.06,0.0,0.0,30.05,30.05,30.05,0.0,0.0,30.06,30.06,30.06,0.0,0.0
2018-12-09,28.66,28.66,28.66,0.0,0.0,28.66,28.66,28.66,0.0,0.0,28.63,28.63,28.63,0.0,0.0,28.64,28.64,28.64,0.0,0.0
2018-12-16,27.35,27.35,27.35,0.0,0.0,27.36,27.36,27.36,0.0,0.0,27.35,27.35,27.35,0.0,0.0,27.36,27.36,27.36,0.0,0.0
2018-12-23,27.61,27.61,27.61,0.0,0.0,27.61,27.61,27.61,0.0,0.0,27.6,27.6,27.6,0.0,0.0,27.6,27.6,27.6,0.0,0.0
2018-12-30,27.27,27.27,27.27,0.0,0.0,27.27,27.27,27.27,0.0,0.0,27.27,27.27,27.27,0.0,0.0,27.27,27.27,27.27,0.0,0.0
2019-01-06,29.08,29.08,29.08,0.0,0.0,29.08,29.08,29.08,0.0,0.0,29.08,29.08,29.08,0.0,0.0,29.08,29.08,29.08,0.0,0.0
2019-01-13,30.03,30.03,30.03,0.0,0.0,30.03,30.03,30.03,0.0,0.0,30.03,30.03,30.03,0.0,0.0,30.03,30.03,30.03,0.0,0.0
2019-01-20,29.81,29.81,29.81,0.0,0.0,29.81,29.81,29.81,0.0,0.0,29.81,29.81,29.81,0.0,0.0,29.81,29.81,29.81,0.0,0.0
2019-01-27,30.3,30.3,30.3,0.0,0.0,30.55,30.55,30.55,0.0,0.0,30.28,30.28,30.28,0.0,0.0,30.52,30.52,30.52,0.0,0.0
2019-02-03,30.48,30.48,30.48,0.0,0.0,30.63,30.63,30.63,0.0,0.0,30.48,30.48,30.48,0.0,0.0,30.62,30.62,30.62,0.0,0.0
2019-02-10,31.82,31.82,31.82,0.0,0.0,31.84,31.84,31.84,0.0,0.0,31.82,31.82,31.82,0.0,0.0,31.84,31.84,31.84,0.0,0.0
2019-02-17,32.04,32.04,32.04,0.0,0.0,32.07,32.07,32.07,0.0,0.0,31.95,31.95,31.95,0.0,0.0,31.95,31.95,31.95,0.0,0.0
2019-02-24,31.98,31.98,31.98,0.0,0.0,32.1,32.1,32.1,0.0,0.0,31.82,31.82,31.82,0.0,0.0,32.03,32.03,32.03,0.0,0.0
2019-03-03,30.69,30.69,30.69,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.75,30.75,30.75,0.0,0.0
2019-03-10,31.35,31.35,31.35,0.0,0.0,31.37,31.37,31.37,0.0,0.0,31.34,31.34,31.34,0.0,0.0,31.37,31.37,31.37,0.0,0.0
2019-03-17,30.47,30.47,30.47,0.0,0.0,30.48,30.48,30.48,0.0,0.0,30.32,30.32,30.32,0.0,0.0,30.44,30.44,30.44,0.0,0.0
2019-03-24,30.98,30.98,30.98,0.0,0.0,30.98,30.98,30.98,0.0,0.0,30.89,30.89,30.89,0.0,0.0,30.91,30.91,30.91,0.0,0.0
2019-03-31,31.92,31.92,31.92,0.0,0.0,31.99,31.99,31.99,0.0,0.0,31.92,31.92,31.92,0.0,0.0,31.98,31.98,31.98,0.0,0.0
2019-04-07,32.35,32.35,32.35,0.0,0.0,32.35,32.35,32.35,0.0,0.0,32.2,32.2,32.2,0.0,0.0,32.33,32.33,32.33,0.0,0.0
2019-04-14,32.41,32.41,32.41,0.0,0.0,32.41,32.41,32.41,0.0,0.0,32.41,32.41,32.41,0.0,0.0,32.41,32.41,32.41,0.0,0.0
2019-04-21,32.27,32.27,32.27,0.0,0.0,32.28,32.28,32.28,0.0,0.0,32.22,32.22,32.22,0.0,0.0,32.23,32.23,32.23,0.0,0.0
2019-04-28,32.45,32.45,32.45,0.0,0.0,32.45,32.45,32.45,0.0,0.0,32.45,32.45,32.45,0.0,0.0,32.45,32.45,32.45,0.0,0.0
2019-05-05,31.11,31.11,31.11,0.0,0.0,31.11,31.11,31.11,0.0,0.0,31.11,31.11,31.11,0.0,0.0,31.11,31.11,31.11,0.0,0.0
2019-05-12,31.1,31.1,31.1,0.0,0.0,31.1,31.1,31.1,0.0,0.0,30.9,30.9,30.9,0.0,0.0,30.9,30.9,30.9,0.0,0.0
2019-05-19,30.29,30.29,30.29,0.0,0.0,30.29,30.29,30.29,0.0,0.0,30.29,30.29,30.29,0.0,0.0,30.29,30.29,30.29,0.0,0.0
2019-05-26,29.41,29.41,29.41,0.0,0.0,29.41,29.41,29.41,0.0,0.0,29.41,29.41,29.41,0.0,0.0,29.41,29.41,29.41,0.0,0.0
2019-06-02,30.82,30.82,30.82,0.0,0.0,30.82,30.82,30.82,0.0,0.0,30.82,30.82,30.82,0.0,0.0,30.82,30.82,30.82,0.0,0.0
2019-06-09,30.98,30.98,30.98,0.0,0.0,30.98,30.98,30.98,0.0,0.0,30.98,30.98,30.98,0.0,0.0,30.98,30.98,30.98,0.0,0.0
2019-06-16,31.74,31.74,31.74,0.0,0.0,31.74,31.74,31.74,0.0,0.0,31.68,31.68,31.68,0.0,0.0,31.68,31.68,31.68,0.0,0.0
2019-06-23,31.95,31.95,31.95,0.0,0.0,31.95,31.95,31.95,0.0,0.0,31.95,31.95,31.95,0.0,0.0,31.95,31.95,31.95,0.0,0.0
2019-06-30,31.96,31.96,31.96,0.0,0.0,32.16,32.16,32.16,0.0,0.0,31.96,31.96,31.96,0.0,0.0,32.1,32.1,32.1,0.0,0.0
2019-07-07,32.23,32.23,32.23,0.0,0.0,32.34,32.34,32.34,0.0,0.0,32.23,32.23,32.23,0.0,0.0,32.32,32.32,32.32,0.0,0.0
2019-07-14,32.2,32.2,32.2,0.0,0.0,32.2,32.2,32.2,0.0,0.0,32.2,32.2,32.2,0.0,0.0,32.2,32.2,32.2,0.0,0.0
2019-07-21,32.87,32.87,32.87,0.0,0.0,33.01,33.01,33.01,0.0,0.0,32.87,32.87,32.87,0.0,0.0,33.01,33.01,33.01,0.0,0.0
2019-07-28,31.31,31.31,31.31,0.0,0.0,31.37,31.37,31.37,0.0,0.0,31.31,31.31,31.31,0.0,0.0,31.37,31.37,31.37,0.0,0.0
2019-08-04,30.92,30.92,30.92,0.0,0.0,30.92,30.92,30.92,0.0,0.0,30.86,30.86,30.86,0.0,0.0,30.86,30.86,30.86,0.0,0.0
2019-08-11,30.27,30.27,30.27,0.0,0.0,30.27,30.27,30.27,0.0,0.0,30.25,30.25,30.25,0.0,0.0,30.27,30.27,30.27,0.0,0.0
2019-08-18,30.5,30.5,30.5,0.0,0.0,30.5,30.5,30.5,0.0,0.0,29.91,29.91,29.91,0.0,0.0,29.91,29.91,29.91,0.0,0.0
2019-08-25,30.66,30.66,30.66,0.0,0.0,30.66,30.66,30.66,0.0,0.0,30.66,30.66,30.66,0.0,0.0,30.66,30.66,30.66,0.0,0.0
2019-09-01,31.58,31.58,31.58,0.0,0.0,31.58,31.58,31.58,0.0,0.0,31.45,31.45,31.45,0.0,0.0,31.45,31.45,31.45,0.0,0.0
2019-09-08,32.65,32.65,32.65,0.0,0.0,32.66,32.66,32.66,0.0,0.0,32.57,32.57,32.57,0.0,0.0,32.66,32.66,32.66,0.0,0.0
2019-09-15,32.32,32.32,32.32,0.0,0.0,32.56,32.56,32.56,0.0,0.0,32.16,32.16,32.16,0.0,0.0,32.56,32.56,32.56,0.0,0.0
2019-09-22,32.28,32.28,32.28,0.0,0.0,32.29,32.29,32.29,0.0,0.0,32.25,32.25,32.25,0.0,0.0,32.25,32.25,32.25,0.0,0.0
2019-09-29,30.88,30.88,30.88,0.0,0.0,31.08,31.08,31.08,0.0,0.0,30.88,30.88,30.88,0.0,0.0,31.07,31.07,31.07,0.0,0.0
2019-10-06,31.79,31.79,31.79,0.0,0.0,31.95,31.95,31.95,0.0,0.0,31.79,31.79,31.79,0.0,0.0,31.94,31.94,31.94,0.0,0.0
2019-10-13,32.15,32.15,32.15,0.0,0.0,32.15,32.15,32.15,0.0,0.0,32.04,32.04,32.04,0.0,0.0,32.04,32.04,32.04,0.0,0.0
2019-10-20,32.9,32.9,32.9,0.0,0.0,32.92,32.92,32.92,0.0,0.0,32.88,32.88,32.88,0.0,0.0,32.88,32.88,32.88,0.0,0.0
2019-10-27,32.58,32.58,32.58,0.0,0.0,32.58,32.58,32.58,0.0,0.0,32.48,32.48,32.48,0.0,0.0,32.48,32.48,32.48,0.0,0.0
2019-11-03,33.95,33.95,33.95,0.0,0.0,33.95,33.95,33.95,0.0,0.0,33.95,33.95,33.95,0.0,0.0,33.95,33.95,33.95,0.0,0.0
2019-11-10,33.69,33.69,33.69,0.0,0.0,33.69,33.69,33.69,0.0,0.0,33.64,33.64,33.64,0.0,0.0,33.64,33.64,33.64,0.0,0.0
2019-11-17,33.41,33.41,33.41,0.0,0.0,33.41,33.41,33.41,0.0,0.0,33.41,33.41,33.41,0.0,0.0,33.41,33.41,33.41,0.0,0.0
2019-11-24,33.84,33.84,33.84,0.0,0.0,33.84,33.84,33.84,0.0,0.0,33.84,33.84,33.84,0.0,0.0,33.84,33.84,33.84,0.0,0.0
2019-12-01,33.45,33.45,33.45,0.0,0.0,33.54,33.54,33.54,0.0,0.0,33.45,33.45,33.45,0.0,0.0,33.54,33.54,33.54,0.0,0.0
2019-12-08,34.62,34.62,34.62,0.0,0.0,34.62,34.62,34.62,0.0,0.0,34.22,34.22,34.22,0.0,0.0,34.22,34.22,34.22,0.0,0.0
2019-12-15,34.68,34.68,34.68,0.0,0.0,34.68,34.68,34.68,0.0,0.0,34.66,34.66,34.66,0.0,0.0,34.66,34.66,34.66,0.0,0.0
2019-12-22,34.4,34.4,34.4,0.0,0.0,34.43,34.43,34.43,0.0,0.0,34.4,34.4,34.4,0.0,0.0,34.4,34.4,34.4,0.0,0.0
2019-12-29,34.14,34.14,34.14,0.0,0.0,34.19,34.19,34.19,0.0,0.0,34.14,34.14,34.14,0.0,0.0,34.19,34.19,34.19,0.0,0.0
