Date,IBA_Open_average,IBA_Open_max,IBA_Open_min,IBA_Open_volatility,IBA_Open_change,IBA_High_average,IBA_High_max,IBA_High_min,IBA_High_volatility,IBA_High_change,IBA_Low_average,IBA_Low_max,IBA_Low_min,IBA_Low_volatility,IBA_Low_change,IBA_Close_average,IBA_Close_max,IBA_Close_min,IBA_Close_volatility,IBA_Close_change,IBA_Volume_average,IBA_Volume_max,IBA_Volume_min,IBA_Volume_volatility,IBA_Volume_change
2018-10-28,44.972,47.6,43.26,4.340000000000003,-4.340000000000003,45.12,47.75,43.28,4.469999999999999,-4.469999999999999,43.644,44.72,42.0,2.719999999999999,-2.719999999999999,43.748,44.72,42.13,2.5899999999999963,-2.5899999999999963,19447,50017,6187,43830,29070
2018-11-04,43.772,45.25,41.93,3.3200000000000003,-0.36999999999999744,44.772,45.48,43.2,2.279999999999994,-2.279999999999994,42.71,44.58,41.27,3.309999999999995,-0.7399999999999949,43.992,45.43,42.06,3.3699999999999974,-2.6799999999999997,16801,30707,6622,24085,9855
2018-11-11,41.29,42.62,40.1,2.519999999999996,-1.8099999999999952,41.942,42.62,40.95,1.6699999999999946,-0.5700000000000003,40.372,41.52,39.7,1.8200000000000003,-1.1400000000000006,40.748,41.61,40.25,1.3599999999999994,-1.1000000000000014,19360,31192,7137,24055,11124
2018-11-18,39.707499999999996,40.05,39.33,0.7199999999999989,-0.00999999999999801,40.5225,41.0,39.68,1.3200000000000003,-0.3200000000000003,38.8825,39.47,38.61,0.8599999999999994,-0.8599999999999994,39.8125,40.4,39.0,1.3999999999999986,0.6699999999999946,20414,28240,6585,21655,-21655
2018-11-25,40.578,42.17,39.15,3.020000000000003,1.8500000000000014,41.212,42.18,39.86,2.3200000000000003,2.3200000000000003,39.984,41.16,38.8,2.3599999999999994,2.3599999999999994,40.676,41.72,39.2,2.519999999999996,2.519999999999996,18878,42007,11540,30467,26434
2018-12-02,41.7025,43.8,40.4,3.3999999999999986,-2.6400000000000006,42.5775,44.12,41.88,2.239999999999995,-1.9799999999999969,40.9225,41.38,40.24,1.1400000000000006,-0.22000000000000597,41.2475,41.6,41.01,0.5900000000000034,-0.38000000000000256,34458,51812,17028,34784,-31897
2018-12-09,40.702,41.17,40.18,0.990000000000002,-0.990000000000002,40.882,41.58,40.18,1.3999999999999986,-0.990000000000002,39.886,40.76,38.9,1.8599999999999994,-1.1200000000000045,40.232,41.2,39.07,2.1300000000000026,-1.0499999999999972,20261,33707,12809,20898,18751
2018-12-16,39.902,40.3,39.07,1.2299999999999969,1.2299999999999969,40.748,41.14,40.04,1.1000000000000014,0.75,39.226,39.73,38.79,0.9399999999999977,0.13000000000000256,39.804,40.57,38.92,1.6499999999999986,-0.8099999999999952,33736,41507,17118,24389,-24389
2018-12-23,38.7975,39.47,38.22,1.25,0.75,39.675000000000004,40.27,39.07,1.2000000000000028,1.2000000000000028,38.332499999999996,38.78,37.66,1.1200000000000045,1.0100000000000051,38.9075,39.57,38.08,1.490000000000002,0.7600000000000051,26772,42137,9766,32371,32371
2018-12-30,39.8775,40.75,38.84,1.9099999999999966,1.7399999999999949,40.9075,42.18,39.58,2.6000000000000014,2.6000000000000014,39.49,40.27,38.73,1.5400000000000063,1.5400000000000063,40.5825,41.95,39.56,2.3900000000000006,2.3900000000000006,21586,60132,6333,53799,-49006
