Date,iShares Core S&P Small-Cap_Open_average,iShares Core S&P Small-Cap_Open_max,iShares Core S&P Small-Cap_Open_min,iShares Core S&P Small-Cap_Open_volatility,iShares Core S&P Small-Cap_Open_change,iShares Core S&P Small-Cap_High_average,iShares Core S&P Small-Cap_High_max,iShares Core S&P Small-Cap_High_min,iShares Core S&P Small-Cap_High_volatility,iShares Core S&P Small-Cap_High_change,iShares Core S&P Small-Cap_Low_average,iShares Core S&P Small-Cap_Low_max,iShares Core S&P Small-Cap_Low_min,iShares Core S&P Small-Cap_Low_volatility,iShares Core S&P Small-Cap_Low_change,iShares Core S&P Small-Cap_Close_average,iShares Core S&P Small-Cap_Close_max,iShares Core S&P Small-Cap_Close_min,iShares Core S&P Small-Cap_Close_volatility,iShares Core S&P Small-Cap_Close_change
2018-04-22,78.73,78.73,78.73,0.0,0.0,78.96,78.96,78.96,0.0,0.0,77.82,77.82,77.82,0.0,0.0,77.82,77.82,77.82,0.0,0.0
2018-04-29,79.02,79.02,79.02,0.0,0.0,79.79,79.79,79.79,0.0,0.0,78.98,78.98,78.98,0.0,0.0,79.44,79.44,79.44,0.0,0.0
2018-05-06,81.27,81.27,81.27,0.0,0.0,81.54,81.54,81.54,0.0,0.0,80.68,80.68,80.68,0.0,0.0,80.78,80.78,80.78,0.0,0.0
2018-05-13,82.71,82.71,82.71,0.0,0.0,83.25,83.25,83.25,0.0,0.0,82.67,82.67,82.67,0.0,0.0,83.21,83.21,83.21,0.0,0.0
2018-05-20,82.46,82.46,82.46,0.0,0.0,82.75,82.75,82.75,0.0,0.0,82.32,82.32,82.32,0.0,0.0,82.51,82.51,82.51,0.0,0.0
2018-05-27,83.73,83.73,83.73,0.0,0.0,84.37,84.37,84.37,0.0,0.0,83.53,83.53,83.53,0.0,0.0,84.37,84.37,84.37,0.0,0.0
2018-06-03,85.46,85.46,85.46,0.0,0.0,85.82,85.82,85.82,0.0,0.0,85.37,85.37,85.37,0.0,0.0,85.65,85.65,85.65,0.0,0.0
2018-06-10,85.2,85.2,85.2,0.0,0.0,86.06,86.06,86.06,0.0,0.0,85.01,85.01,85.01,0.0,0.0,86.05,86.05,86.05,0.0,0.0
2018-06-17,85.56,85.56,85.56,0.0,0.0,85.63,85.63,85.63,0.0,0.0,83.96,83.96,83.96,0.0,0.0,84.43,84.43,84.43,0.0,0.0
2018-06-24,83.08,83.08,83.08,0.0,0.0,84.39,84.39,84.39,0.0,0.0,82.85,82.85,82.85,0.0,0.0,84.33,84.33,84.33,0.0,0.0
2018-07-01,86.66,86.66,86.66,0.0,0.0,86.86,86.86,86.86,0.0,0.0,86.35,86.35,86.35,0.0,0.0,86.86,86.86,86.86,0.0,0.0
2018-07-08,86.03,86.03,86.03,0.0,0.0,86.19,86.19,86.19,0.0,0.0,85.18,85.18,85.18,0.0,0.0,85.55,85.55,85.55,0.0,0.0
2018-07-15,86.62,86.62,86.62,0.0,0.0,86.95,86.95,86.95,0.0,0.0,86.27,86.27,86.27,0.0,0.0,86.75,86.75,86.75,0.0,0.0
2018-07-22,85.54,85.54,85.54,0.0,0.0,86.04,86.04,86.04,0.0,0.0,85.09,85.09,85.09,0.0,0.0,85.16,85.16,85.16,0.0,0.0
2018-07-29,86.59,86.59,86.59,0.0,0.0,87.29,87.29,87.29,0.0,0.0,86.43,86.43,86.43,0.0,0.0,87.18,87.18,87.18,0.0,0.0
2018-08-05,87.32,87.32,87.32,0.0,0.0,87.55,87.55,87.55,0.0,0.0,86.47,86.47,86.47,0.0,0.0,86.83,86.83,86.83,0.0,0.0
2018-08-12,88.4,88.4,88.4,0.0,0.0,88.71,88.71,88.71,0.0,0.0,87.95,87.95,87.95,0.0,0.0,88.49,88.49,88.49,0.0,0.0
2018-08-19,90.08,90.08,90.08,0.0,0.0,90.56,90.56,90.56,0.0,0.0,89.75,89.75,89.75,0.0,0.0,89.83,89.83,89.83,0.0,0.0
2018-08-26,89.69,89.69,89.69,0.0,0.0,90.46,90.46,90.46,0.0,0.0,89.57,89.57,89.57,0.0,0.0,90.31,90.31,90.31,0.0,0.0
2018-09-02,89.38,89.38,89.38,0.0,0.0,89.58,89.58,89.58,0.0,0.0,88.93,88.93,88.93,0.0,0.0,89.07,89.07,89.07,0.0,0.0
2018-09-09,89.47,89.47,89.47,0.0,0.0,89.52,89.52,89.52,0.0,0.0,88.44,88.44,88.44,0.0,0.0,88.48,88.48,88.48,0.0,0.0
2018-09-16,88.43,88.43,88.43,0.0,0.0,88.43,88.43,88.43,0.0,0.0,87.44,87.44,87.44,0.0,0.0,87.85,87.85,87.85,0.0,0.0
2018-09-23,87.63,87.63,87.63,0.0,0.0,87.77,87.77,87.77,0.0,0.0,85.72,85.72,85.72,0.0,0.0,85.94,85.94,85.94,0.0,0.0
2018-09-30,83.62,83.62,83.62,0.0,0.0,83.99,83.99,83.99,0.0,0.0,83.1,83.1,83.1,0.0,0.0,83.74,83.74,83.74,0.0,0.0
2018-10-07,79.22,79.22,79.22,0.0,0.0,80.26,80.26,80.26,0.0,0.0,78.81,78.81,78.81,0.0,0.0,79.67,79.67,79.67,0.0,0.0
2018-10-14,79.35,79.35,79.35,0.0,0.0,79.81,79.81,79.81,0.0,0.0,78.82,78.82,78.82,0.0,0.0,79.03,79.03,79.03,0.0,0.0
2018-10-21,77.46,77.46,77.46,0.0,0.0,78.29,78.29,78.29,0.0,0.0,75.55,75.55,75.55,0.0,0.0,76.35,76.35,76.35,0.0,0.0
2018-10-28,80.14,80.14,80.14,0.0,0.0,80.42,80.42,80.42,0.0,0.0,79.27,79.27,79.27,0.0,0.0,80.11,80.11,80.11,0.0,0.0
2018-11-04,79.96,79.96,79.96,0.0,0.0,79.97,79.97,79.97,0.0,0.0,78.44,78.44,78.44,0.0,0.0,78.52,78.52,78.52,0.0,0.0
2018-11-11,78.92,78.92,78.92,0.0,0.0,79.16,79.16,79.16,0.0,0.0,77.51,77.51,77.51,0.0,0.0,77.8,77.8,77.8,0.0,0.0
2018-11-18,77.74,77.74,77.74,0.0,0.0,78.27,78.27,78.27,0.0,0.0,77.34,77.34,77.34,0.0,0.0,77.79,77.79,77.79,0.0,0.0
2018-11-25,80.18,80.18,80.18,0.0,0.0,80.64,80.64,80.64,0.0,0.0,78.67,78.67,78.67,0.0,0.0,79.78,79.78,79.78,0.0,0.0
2018-12-02,74.5,74.5,74.5,0.0,0.0,74.75,74.75,74.75,0.0,0.0,72.97,72.97,72.97,0.0,0.0,73.99,73.99,73.99,0.0,0.0
2018-12-09,71.85,71.85,71.85,0.0,0.0,72.39,72.39,72.39,0.0,0.0,70.02,70.02,70.02,0.0,0.0,70.37,70.37,70.37,0.0,0.0
2018-12-16,66.05,66.05,66.05,0.0,0.0,66.53,66.53,66.53,0.0,0.0,65.09,65.09,65.09,0.0,0.0,65.14,65.14,65.14,0.0,0.0
2018-12-23,69.32,69.32,69.32,0.0,0.0,69.39,69.39,69.39,0.0,0.0,68.24,68.24,68.24,0.0,0.0,69.32,69.32,69.32,0.0,0.0
2018-12-30,70.72,70.72,70.72,0.0,0.0,72.18,72.18,72.18,0.0,0.0,70.37,70.37,70.37,0.0,0.0,71.75,71.75,71.75,0.0,0.0
2019-01-06,73.56,73.56,73.56,0.0,0.0,73.96,73.96,73.96,0.0,0.0,73.24,73.24,73.24,0.0,0.0,73.36,73.36,73.36,0.0,0.0
2019-01-13,75.52,75.52,75.52,0.0,0.0,76.19,76.19,76.19,0.0,0.0,75.27,75.27,75.27,0.0,0.0,75.91,75.91,75.91,0.0,0.0
2019-01-20,75.15,75.15,75.15,0.0,0.0,75.55,75.55,75.55,0.0,0.0,74.71,74.71,74.71,0.0,0.0,75.3,75.3,75.3,0.0,0.0
2019-01-27,76.71,76.71,76.71,0.0,0.0,77.61,77.61,77.61,0.0,0.0,76.4,76.4,76.4,0.0,0.0,77.6,77.6,77.6,0.0,0.0
2019-02-03,77.02,77.02,77.02,0.0,0.0,77.5,77.5,77.5,0.0,0.0,76.62,76.62,76.62,0.0,0.0,77.45,77.45,77.45,0.0,0.0
2019-02-10,79.36,79.36,79.36,0.0,0.0,80.22,80.22,80.22,0.0,0.0,79.21,79.21,79.21,0.0,0.0,80.17,80.17,80.17,0.0,0.0
2019-02-17,81.55,81.55,81.55,0.0,0.0,81.79,81.79,81.79,0.0,0.0,80.96,80.96,80.96,0.0,0.0,80.99,80.99,80.99,0.0,0.0
2019-02-24,80.66,80.66,80.66,0.0,0.0,80.71,80.71,80.71,0.0,0.0,79.17,79.17,79.17,0.0,0.0,79.65,79.65,79.65,0.0,0.0
2019-03-03,77.07,77.07,77.07,0.0,0.0,78.11,78.11,78.11,0.0,0.0,77.0,77.0,77.0,0.0,0.0,78.1,78.1,78.1,0.0,0.0
2019-03-10,78.11,78.11,78.11,0.0,0.0,78.81,78.81,78.81,0.0,0.0,77.85,77.85,77.85,0.0,0.0,78.58,78.58,78.58,0.0,0.0
2019-03-17,75.23,75.23,75.23,0.0,0.0,76.21,76.21,76.21,0.0,0.0,74.73,74.73,74.73,0.0,0.0,75.69,75.69,75.69,0.0,0.0
2019-03-24,77.64,77.64,77.64,0.0,0.0,78.22,78.22,78.22,0.0,0.0,77.51,77.51,77.51,0.0,0.0,78.1,78.1,78.1,0.0,0.0
2019-03-31,79.18,79.18,79.18,0.0,0.0,79.31,79.31,79.31,0.0,0.0,78.81,78.81,78.81,0.0,0.0,79.29,79.29,79.29,0.0,0.0
2019-04-07,79.87,79.87,79.87,0.0,0.0,79.98,79.98,79.98,0.0,0.0,79.12,79.12,79.12,0.0,0.0,79.38,79.38,79.38,0.0,0.0
2019-04-14,78.91,78.91,78.91,0.0,0.0,79.06,79.06,79.06,0.0,0.0,78.29,78.29,78.29,0.0,0.0,78.65,78.65,78.65,0.0,0.0
2019-04-21,80.0,80.0,80.0,0.0,0.0,80.63,80.63,80.63,0.0,0.0,79.97,79.97,79.97,0.0,0.0,80.33,80.33,80.33,0.0,0.0
2019-04-28,80.03,80.03,80.03,0.0,0.0,81.5,81.5,81.5,0.0,0.0,80.01,80.01,80.01,0.0,0.0,81.37,81.37,81.37,0.0,0.0
2019-05-05,77.88,77.88,77.88,0.0,0.0,78.11,78.11,78.11,0.0,0.0,76.63,76.63,76.63,0.0,0.0,76.84,76.84,76.84,0.0,0.0
2019-05-12,76.33,76.33,76.33,0.0,0.0,76.83,76.83,76.83,0.0,0.0,76.14,76.14,76.14,0.0,0.0,76.29,76.29,76.29,0.0,0.0
2019-05-19,75.14,75.14,75.14,0.0,0.0,75.59,75.59,75.59,0.0,0.0,74.94,74.94,74.94,0.0,0.0,75.48,75.48,75.48,0.0,0.0
2019-05-26,73.15,73.15,73.15,0.0,0.0,73.9,73.9,73.9,0.0,0.0,72.99,72.99,72.99,0.0,0.0,73.55,73.55,73.55,0.0,0.0
2019-06-02,76.05,76.05,76.05,0.0,0.0,76.89,76.89,76.89,0.0,0.0,76.0,76.0,76.0,0.0,0.0,76.24,76.24,76.24,0.0,0.0
2019-06-09,76.0,76.0,76.0,0.0,0.0,76.32,76.32,76.32,0.0,0.0,75.8,75.8,75.8,0.0,0.0,75.87,75.87,75.87,0.0,0.0
2019-06-16,77.16,77.16,77.16,0.0,0.0,77.16,77.16,77.16,0.0,0.0,76.08,76.08,76.08,0.0,0.0,76.08,76.08,76.08,0.0,0.0
2019-06-23,79.21,79.21,79.21,0.0,0.0,79.54,79.54,79.54,0.0,0.0,78.03,78.03,78.03,0.0,0.0,78.44,78.44,78.44,0.0,0.0
2019-06-30,78.55,78.55,78.55,0.0,0.0,78.61,78.61,78.61,0.0,0.0,77.83,77.83,77.83,0.0,0.0,77.91,77.91,77.91,0.0,0.0
2019-07-07,78.47,78.47,78.47,0.0,0.0,78.59,78.59,78.59,0.0,0.0,77.56,77.56,77.56,0.0,0.0,77.83,77.83,77.83,0.0,0.0
2019-07-14,77.44,77.44,77.44,0.0,0.0,77.78,77.78,77.78,0.0,0.0,77.03,77.03,77.03,0.0,0.0,77.17,77.17,77.17,0.0,0.0
2019-07-21,79.19,79.19,79.19,0.0,0.0,79.28,79.28,79.28,0.0,0.0,78.49,78.49,78.49,0.0,0.0,78.74,78.74,78.74,0.0,0.0
2019-07-28,75.76,75.76,75.76,0.0,0.0,75.97,75.97,75.97,0.0,0.0,74.04,74.04,74.04,0.0,0.0,75.0,75.0,75.0,0.0,0.0
2019-08-04,76.08,76.08,76.08,0.0,0.0,76.25,76.25,76.25,0.0,0.0,75.52,75.52,75.52,0.0,0.0,75.73,75.73,75.73,0.0,0.0
2019-08-11,76.47,76.47,76.47,0.0,0.0,76.91,76.91,76.91,0.0,0.0,76.37,76.37,76.37,0.0,0.0,76.42,76.42,76.42,0.0,0.0
2019-08-18,74.38,74.38,74.38,0.0,0.0,74.61,74.61,74.61,0.0,0.0,74.02,74.02,74.02,0.0,0.0,74.55,74.55,74.55,0.0,0.0
2019-08-25,76.2,76.2,76.2,0.0,0.0,76.23,76.23,76.23,0.0,0.0,75.24,75.24,75.24,0.0,0.0,75.58,75.58,75.58,0.0,0.0
2019-09-01,76.84,76.84,76.84,0.0,0.0,77.75,77.75,77.75,0.0,0.0,76.59,76.59,76.59,0.0,0.0,77.73,77.73,77.73,0.0,0.0
2019-09-08,80.34,80.34,80.34,0.0,0.0,81.07,81.07,81.07,0.0,0.0,80.12,80.12,80.12,0.0,0.0,80.67,80.67,80.67,0.0,0.0
2019-09-15,78.97,78.97,78.97,0.0,0.0,79.68,79.68,79.68,0.0,0.0,78.79,78.79,78.79,0.0,0.0,79.32,79.32,79.32,0.0,0.0
2019-09-22,77.94,77.94,77.94,0.0,0.0,78.31,78.31,78.31,0.0,0.0,77.59,77.59,77.59,0.0,0.0,77.84,77.84,77.84,0.0,0.0
2019-09-29,76.28,76.28,76.28,0.0,0.0,76.92,76.92,76.92,0.0,0.0,75.87,75.87,75.87,0.0,0.0,76.34,76.34,76.34,0.0,0.0
2019-10-06,76.74,76.74,76.74,0.0,0.0,76.77,76.77,76.77,0.0,0.0,76.18,76.18,76.18,0.0,0.0,76.65,76.65,76.65,0.0,0.0
2019-10-13,78.84,78.84,78.84,0.0,0.0,79.44,79.44,79.44,0.0,0.0,78.72,78.72,78.72,0.0,0.0,78.83,78.83,78.83,0.0,0.0
2019-10-20,79.94,79.94,79.94,0.0,0.0,80.69,80.69,80.69,0.0,0.0,79.8,79.8,79.8,0.0,0.0,80.32,80.32,80.32,0.0,0.0
2019-10-27,81.29,81.29,81.29,0.0,0.0,81.54,81.54,81.54,0.0,0.0,80.98,80.98,80.98,0.0,0.0,81.31,81.31,81.31,0.0,0.0
2019-11-03,80.85,80.85,80.85,0.0,0.0,81.21,81.21,81.21,0.0,0.0,80.7,80.7,80.7,0.0,0.0,81.14,81.14,81.14,0.0,0.0
2019-11-10,80.8,80.8,80.8,0.0,0.0,80.8,80.8,80.8,0.0,0.0,80.32,80.32,80.32,0.0,0.0,80.56,80.56,80.56,0.0,0.0
2019-11-17,80.45,80.45,80.45,0.0,0.0,82.22,82.22,82.22,0.0,0.0,80.44,80.44,80.44,0.0,0.0,82.04,82.04,82.04,0.0,0.0
2019-11-24,82.06,82.06,82.06,0.0,0.0,82.07,82.07,82.07,0.0,0.0,80.78,80.78,80.78,0.0,0.0,80.9,80.9,80.9,0.0,0.0
2019-12-01,82.53,82.53,82.53,0.0,0.0,82.69,82.69,82.69,0.0,0.0,82.35,82.35,82.35,0.0,0.0,82.39,82.39,82.39,0.0,0.0
2019-12-08,82.87,82.87,82.87,0.0,0.0,83.37,83.37,83.37,0.0,0.0,82.64,82.64,82.64,0.0,0.0,82.64,82.64,82.64,0.0,0.0
2019-12-15,83.97,83.97,83.97,0.0,0.0,84.07,84.07,84.07,0.0,0.0,83.57,83.57,83.57,0.0,0.0,83.91,83.91,83.91,0.0,0.0
2019-12-22,83.72,83.72,83.72,0.0,0.0,84.01,84.01,84.01,0.0,0.0,83.18,83.18,83.18,0.0,0.0,83.6,83.6,83.6,0.0,0.0
2019-12-29,83.13,83.13,83.13,0.0,0.0,83.93,83.93,83.93,0.0,0.0,83.04,83.04,83.04,0.0,0.0,83.86,83.86,83.86,0.0,0.0
