Date,ProShares RAFI LongShort_Open_average,ProShares RAFI LongShort_Open_max,ProShares RAFI LongShort_Open_min,ProShares RAFI LongShort_Open_volatility,ProShares RAFI LongShort_Open_change,ProShares RAFI LongShort_High_average,ProShares RAFI LongShort_High_max,ProShares RAFI LongShort_High_min,ProShares RAFI LongShort_High_volatility,ProShares RAFI LongShort_High_change,ProShares RAFI LongShort_Low_average,ProShares RAFI LongShort_Low_max,ProShares RAFI LongShort_Low_min,ProShares RAFI LongShort_Low_volatility,ProShares RAFI LongShort_Low_change,ProShares RAFI LongShort_Close_average,ProShares RAFI LongShort_Close_max,ProShares RAFI LongShort_Close_min,ProShares RAFI LongShort_Close_volatility,ProShares RAFI LongShort_Close_change
2018-03-25,36.87,36.87,36.87,0.0,0.0,36.87,36.87,36.87,0.0,0.0,36.84,36.84,36.84,0.0,0.0,36.84,36.84,36.84,0.0,0.0
2018-04-01,36.82,36.82,36.82,0.0,0.0,36.87,36.87,36.87,0.0,0.0,36.82,36.82,36.82,0.0,0.0,36.87,36.87,36.87,0.0,0.0
2018-04-08,36.94,36.94,36.94,0.0,0.0,37.04,37.04,37.04,0.0,0.0,36.89,36.89,36.89,0.0,0.0,36.98,36.98,36.98,0.0,0.0
2018-04-15,36.93,36.93,36.93,0.0,0.0,36.93,36.93,36.93,0.0,0.0,36.93,36.93,36.93,0.0,0.0,36.93,36.93,36.93,0.0,0.0
2018-04-22,37.06,37.06,37.06,0.0,0.0,37.12,37.12,37.12,0.0,0.0,37.03,37.03,37.03,0.0,0.0,37.03,37.03,37.03,0.0,0.0
2018-04-29,36.75,36.75,36.75,0.0,0.0,36.78,36.78,36.78,0.0,0.0,36.68,36.68,36.68,0.0,0.0,36.78,36.78,36.78,0.0,0.0
2018-05-06,36.43,36.43,36.43,0.0,0.0,36.7,36.7,36.7,0.0,0.0,36.43,36.43,36.43,0.0,0.0,36.7,36.7,36.7,0.0,0.0
2018-05-13,36.7,36.7,36.7,0.0,0.0,36.7,36.7,36.7,0.0,0.0,36.7,36.7,36.7,0.0,0.0,36.7,36.7,36.7,0.0,0.0
2018-05-20,36.76,36.76,36.76,0.0,0.0,36.76,36.76,36.76,0.0,0.0,36.76,36.76,36.76,0.0,0.0,36.76,36.76,36.76,0.0,0.0
2018-05-27,36.58,36.58,36.58,0.0,0.0,36.58,36.58,36.58,0.0,0.0,36.56,36.56,36.56,0.0,0.0,36.56,36.56,36.56,0.0,0.0
2018-06-03,36.68,36.68,36.68,0.0,0.0,36.69,36.69,36.69,0.0,0.0,36.63,36.63,36.63,0.0,0.0,36.63,36.63,36.63,0.0,0.0
2018-06-10,36.4,36.4,36.4,0.0,0.0,36.46,36.46,36.46,0.0,0.0,36.39,36.39,36.39,0.0,0.0,36.39,36.39,36.39,0.0,0.0
2018-06-17,36.53,36.53,36.53,0.0,0.0,36.58,36.58,36.58,0.0,0.0,36.53,36.53,36.53,0.0,0.0,36.58,36.58,36.58,0.0,0.0
2018-06-24,36.38,36.38,36.38,0.0,0.0,36.45,36.45,36.45,0.0,0.0,36.38,36.38,36.38,0.0,0.0,36.38,36.38,36.38,0.0,0.0
2018-07-01,36.57,36.57,36.57,0.0,0.0,36.57,36.57,36.57,0.0,0.0,36.43,36.43,36.43,0.0,0.0,36.47,36.47,36.47,0.0,0.0
2018-07-08,36.31,36.31,36.31,0.0,0.0,36.31,36.31,36.31,0.0,0.0,36.31,36.31,36.31,0.0,0.0,36.31,36.31,36.31,0.0,0.0
2018-07-15,36.12,36.12,36.12,0.0,0.0,36.33,36.33,36.33,0.0,0.0,36.12,36.12,36.12,0.0,0.0,36.17,36.17,36.17,0.0,0.0
2018-07-22,36.7,36.7,36.7,0.0,0.0,36.79,36.79,36.79,0.0,0.0,36.64,36.64,36.64,0.0,0.0,36.79,36.79,36.79,0.0,0.0
2018-07-29,36.35,36.35,36.35,0.0,0.0,36.41,36.41,36.41,0.0,0.0,36.35,36.35,36.35,0.0,0.0,36.35,36.35,36.35,0.0,0.0
2018-08-05,36.33,36.33,36.33,0.0,0.0,36.33,36.33,36.33,0.0,0.0,36.33,36.33,36.33,0.0,0.0,36.33,36.33,36.33,0.0,0.0
2018-08-12,36.79,36.79,36.79,0.0,0.0,36.79,36.79,36.79,0.0,0.0,36.45,36.45,36.45,0.0,0.0,36.45,36.45,36.45,0.0,0.0
2018-08-19,36.39,36.39,36.39,0.0,0.0,36.39,36.39,36.39,0.0,0.0,36.39,36.39,36.39,0.0,0.0,36.39,36.39,36.39,0.0,0.0
2018-08-26,36.11,36.11,36.11,0.0,0.0,36.11,36.11,36.11,0.0,0.0,36.08,36.08,36.08,0.0,0.0,36.08,36.08,36.08,0.0,0.0
2018-09-02,36.22,36.22,36.22,0.0,0.0,36.22,36.22,36.22,0.0,0.0,36.22,36.22,36.22,0.0,0.0,36.22,36.22,36.22,0.0,0.0
2018-09-09,36.3,36.3,36.3,0.0,0.0,36.32,36.32,36.32,0.0,0.0,36.24,36.24,36.24,0.0,0.0,36.24,36.24,36.24,0.0,0.0
2018-09-16,36.36,36.36,36.36,0.0,0.0,36.36,36.36,36.36,0.0,0.0,36.35,36.35,36.35,0.0,0.0,36.35,36.35,36.35,0.0,0.0
2018-09-23,35.36,35.36,35.36,0.0,0.0,36.03,36.03,36.03,0.0,0.0,35.36,35.36,35.36,0.0,0.0,36.03,36.03,36.03,0.0,0.0
2018-09-30,36.26,36.26,36.26,0.0,0.0,36.37,36.37,36.37,0.0,0.0,36.26,36.26,36.26,0.0,0.0,36.37,36.37,36.37,0.0,0.0
2018-10-07,36.32,36.32,36.32,0.0,0.0,36.32,36.32,36.32,0.0,0.0,36.32,36.32,36.32,0.0,0.0,36.32,36.32,36.32,0.0,0.0
2018-10-14,36.38,36.38,36.38,0.0,0.0,36.38,36.38,36.38,0.0,0.0,36.38,36.38,36.38,0.0,0.0,36.38,36.38,36.38,0.0,0.0
2018-10-21,36.51,36.51,36.51,0.0,0.0,36.57,36.57,36.57,0.0,0.0,36.22,36.22,36.22,0.0,0.0,36.57,36.57,36.57,0.0,0.0
2018-10-28,36.52,36.52,36.52,0.0,0.0,36.52,36.52,36.52,0.0,0.0,36.52,36.52,36.52,0.0,0.0,36.52,36.52,36.52,0.0,0.0
2018-11-04,36.2,36.2,36.2,0.0,0.0,36.49,36.49,36.49,0.0,0.0,35.72,35.72,35.72,0.0,0.0,36.4,36.4,36.4,0.0,0.0
2018-11-11,36.51,36.51,36.51,0.0,0.0,36.78,36.78,36.78,0.0,0.0,36.41,36.41,36.41,0.0,0.0,36.64,36.64,36.64,0.0,0.0
2018-11-18,36.7,36.7,36.7,0.0,0.0,36.71,36.71,36.71,0.0,0.0,36.4,36.4,36.4,0.0,0.0,36.4,36.4,36.4,0.0,0.0
2018-11-25,36.09,36.09,36.09,0.0,0.0,36.34,36.34,36.34,0.0,0.0,35.51,35.51,35.51,0.0,0.0,35.51,35.51,35.51,0.0,0.0
2018-12-02,36.07,36.07,36.07,0.0,0.0,36.18,36.18,36.18,0.0,0.0,35.91,35.91,35.91,0.0,0.0,36.14,36.14,36.14,0.0,0.0
2018-12-09,36.12,36.12,36.12,0.0,0.0,36.23,36.23,36.23,0.0,0.0,36.05,36.05,36.05,0.0,0.0,36.22,36.22,36.22,0.0,0.0
2018-12-16,36.74,36.74,36.74,0.0,0.0,36.74,36.74,36.74,0.0,0.0,36.05,36.05,36.05,0.0,0.0,36.62,36.62,36.62,0.0,0.0
2018-12-23,35.85,35.85,35.85,0.0,0.0,35.85,35.85,35.85,0.0,0.0,35.85,35.85,35.85,0.0,0.0,35.85,35.85,35.85,0.0,0.0
2018-12-30,36.05,36.05,36.05,0.0,0.0,36.05,36.05,36.05,0.0,0.0,36.05,36.05,36.05,0.0,0.0,36.05,36.05,36.05,0.0,0.0
2019-01-06,35.83,35.83,35.83,0.0,0.0,35.83,35.83,35.83,0.0,0.0,35.83,35.83,35.83,0.0,0.0,35.83,35.83,35.83,0.0,0.0
2019-01-13,35.88,35.88,35.88,0.0,0.0,35.92,35.92,35.92,0.0,0.0,35.88,35.88,35.88,0.0,0.0,35.92,35.92,35.92,0.0,0.0
2019-01-20,35.72,35.72,35.72,0.0,0.0,35.72,35.72,35.72,0.0,0.0,35.48,35.48,35.48,0.0,0.0,35.6,35.6,35.6,0.0,0.0
2019-01-27,35.65,35.65,35.65,0.0,0.0,35.7,35.7,35.7,0.0,0.0,35.62,35.62,35.62,0.0,0.0,35.7,35.7,35.7,0.0,0.0
2019-02-03,35.76,35.76,35.76,0.0,0.0,35.76,35.76,35.76,0.0,0.0,35.76,35.76,35.76,0.0,0.0,35.76,35.76,35.76,0.0,0.0
2019-02-10,35.83,35.83,35.83,0.0,0.0,35.84,35.84,35.84,0.0,0.0,35.72,35.72,35.72,0.0,0.0,35.79,35.79,35.79,0.0,0.0
2019-02-17,35.69,35.69,35.69,0.0,0.0,35.72,35.72,35.72,0.0,0.0,35.69,35.69,35.69,0.0,0.0,35.72,35.72,35.72,0.0,0.0
2019-02-24,35.72,35.72,35.72,0.0,0.0,35.72,35.72,35.72,0.0,0.0,35.63,35.63,35.63,0.0,0.0,35.63,35.63,35.63,0.0,0.0
2019-03-03,35.66,35.66,35.66,0.0,0.0,35.7,35.7,35.7,0.0,0.0,35.59,35.59,35.59,0.0,0.0,35.6,35.6,35.6,0.0,0.0
2019-03-10,35.48,35.48,35.48,0.0,0.0,35.48,35.48,35.48,0.0,0.0,35.48,35.48,35.48,0.0,0.0,35.48,35.48,35.48,0.0,0.0
2019-03-17,35.3,35.3,35.3,0.0,0.0,35.36,35.36,35.36,0.0,0.0,34.71,34.71,34.71,0.0,0.0,35.21,35.21,35.21,0.0,0.0
2019-03-24,35.19,35.19,35.19,0.0,0.0,35.19,35.19,35.19,0.0,0.0,35.09,35.09,35.09,0.0,0.0,35.09,35.09,35.09,0.0,0.0
2019-03-31,35.25,35.25,35.25,0.0,0.0,35.25,35.25,35.25,0.0,0.0,35.25,35.25,35.25,0.0,0.0,35.25,35.25,35.25,0.0,0.0
2019-04-07,35.23,35.23,35.23,0.0,0.0,35.23,35.23,35.23,0.0,0.0,35.23,35.23,35.23,0.0,0.0,35.23,35.23,35.23,0.0,0.0
2019-04-14,35.41,35.41,35.41,0.0,0.0,35.61,35.61,35.61,0.0,0.0,35.31,35.31,35.31,0.0,0.0,35.31,35.31,35.31,0.0,0.0
2019-04-21,35.07,35.07,35.07,0.0,0.0,35.07,35.07,35.07,0.0,0.0,35.07,35.07,35.07,0.0,0.0,35.07,35.07,35.07,0.0,0.0
2019-04-28,35.12,35.12,35.12,0.0,0.0,35.12,35.12,35.12,0.0,0.0,35.09,35.09,35.09,0.0,0.0,35.09,35.09,35.09,0.0,0.0
2019-05-05,35.11,35.11,35.11,0.0,0.0,35.19,35.19,35.19,0.0,0.0,35.11,35.11,35.11,0.0,0.0,35.13,35.13,35.13,0.0,0.0
2019-05-12,35.09,35.09,35.09,0.0,0.0,35.1,35.1,35.1,0.0,0.0,35.08,35.08,35.08,0.0,0.0,35.1,35.1,35.1,0.0,0.0
2019-05-19,34.96,34.96,34.96,0.0,0.0,35.02,35.02,35.02,0.0,0.0,34.96,34.96,34.96,0.0,0.0,35.02,35.02,35.02,0.0,0.0
2019-05-26,34.95,34.95,34.95,0.0,0.0,35.11,35.11,35.11,0.0,0.0,34.91,34.91,34.91,0.0,0.0,35.11,35.11,35.11,0.0,0.0
2019-06-02,34.9,34.9,34.9,0.0,0.0,34.9,34.9,34.9,0.0,0.0,34.83,34.83,34.83,0.0,0.0,34.83,34.83,34.83,0.0,0.0
2019-06-09,34.94,34.94,34.94,0.0,0.0,34.94,34.94,34.94,0.0,0.0,34.86,34.86,34.86,0.0,0.0,34.86,34.86,34.86,0.0,0.0
2019-06-16,34.73,34.73,34.73,0.0,0.0,34.73,34.73,34.73,0.0,0.0,34.73,34.73,34.73,0.0,0.0,34.73,34.73,34.73,0.0,0.0
2019-06-23,34.73,34.73,34.73,0.0,0.0,34.73,34.73,34.73,0.0,0.0,34.7,34.7,34.7,0.0,0.0,34.7,34.7,34.7,0.0,0.0
2019-06-30,34.8,34.8,34.8,0.0,0.0,34.81,34.81,34.81,0.0,0.0,34.69,34.69,34.69,0.0,0.0,34.71,34.71,34.71,0.0,0.0
2019-07-07,34.65,34.65,34.65,0.0,0.0,34.65,34.65,34.65,0.0,0.0,34.6,34.6,34.6,0.0,0.0,34.6,34.6,34.6,0.0,0.0
2019-07-14,34.52,34.52,34.52,0.0,0.0,34.52,34.52,34.52,0.0,0.0,34.52,34.52,34.52,0.0,0.0,34.52,34.52,34.52,0.0,0.0
2019-07-21,34.74,34.74,34.74,0.0,0.0,34.74,34.74,34.74,0.0,0.0,34.68,34.68,34.68,0.0,0.0,34.68,34.68,34.68,0.0,0.0
2019-07-28,35.13,35.13,35.13,0.0,0.0,35.13,35.13,35.13,0.0,0.0,34.62,34.62,34.62,0.0,0.0,34.62,34.62,34.62,0.0,0.0
2019-08-04,34.48,34.48,34.48,0.0,0.0,34.48,34.48,34.48,0.0,0.0,34.48,34.48,34.48,0.0,0.0,34.48,34.48,34.48,0.0,0.0
2019-08-11,34.37,34.37,34.37,0.0,0.0,34.37,34.37,34.37,0.0,0.0,34.37,34.37,34.37,0.0,0.0,34.37,34.37,34.37,0.0,0.0
2019-08-18,34.33,34.33,34.33,0.0,0.0,34.33,34.33,34.33,0.0,0.0,34.33,34.33,34.33,0.0,0.0,34.33,34.33,34.33,0.0,0.0
2019-08-25,34.4,34.4,34.4,0.0,0.0,34.42,34.42,34.42,0.0,0.0,34.4,34.4,34.4,0.0,0.0,34.42,34.42,34.42,0.0,0.0
2019-09-01,34.71,34.71,34.71,0.0,0.0,34.8,34.8,34.8,0.0,0.0,34.71,34.71,34.71,0.0,0.0,34.79,34.79,34.79,0.0,0.0
2019-09-08,35.04,35.04,35.04,0.0,0.0,35.04,35.04,35.04,0.0,0.0,35.04,35.04,35.04,0.0,0.0,35.04,35.04,35.04,0.0,0.0
2019-09-15,34.95,34.95,34.95,0.0,0.0,34.95,34.95,34.95,0.0,0.0,34.95,34.95,34.95,0.0,0.0,34.95,34.95,34.95,0.0,0.0
2019-09-22,34.86,34.86,34.86,0.0,0.0,34.86,34.86,34.86,0.0,0.0,34.86,34.86,34.86,0.0,0.0,34.86,34.86,34.86,0.0,0.0
2019-09-29,34.55,34.55,34.55,0.0,0.0,34.55,34.55,34.55,0.0,0.0,34.55,34.55,34.55,0.0,0.0,34.55,34.55,34.55,0.0,0.0
2019-10-06,34.66,34.66,34.66,0.0,0.0,34.66,34.66,34.66,0.0,0.0,34.66,34.66,34.66,0.0,0.0,34.66,34.66,34.66,0.0,0.0
2019-10-13,34.81,34.81,34.81,0.0,0.0,34.81,34.81,34.81,0.0,0.0,34.81,34.81,34.81,0.0,0.0,34.81,34.81,34.81,0.0,0.0
2019-10-20,34.85,34.85,34.85,0.0,0.0,34.85,34.85,34.85,0.0,0.0,34.85,34.85,34.85,0.0,0.0,34.85,34.85,34.85,0.0,0.0
2019-10-27,34.86,34.86,34.86,0.0,0.0,34.86,34.86,34.86,0.0,0.0,34.86,34.86,34.86,0.0,0.0,34.86,34.86,34.86,0.0,0.0
2019-11-03,35.01,35.01,35.01,0.0,0.0,35.01,35.01,35.01,0.0,0.0,35.01,35.01,35.01,0.0,0.0,35.01,35.01,35.01,0.0,0.0
2019-11-10,34.86,34.86,34.86,0.0,0.0,34.86,34.86,34.86,0.0,0.0,34.86,34.86,34.86,0.0,0.0,34.86,34.86,34.86,0.0,0.0
2019-11-17,34.74,34.74,34.74,0.0,0.0,34.74,34.74,34.74,0.0,0.0,34.74,34.74,34.74,0.0,0.0,34.74,34.74,34.74,0.0,0.0
2019-11-24,34.69,34.69,34.69,0.0,0.0,34.72,34.72,34.72,0.0,0.0,34.62,34.62,34.62,0.0,0.0,34.62,34.62,34.62,0.0,0.0
2019-12-01,34.73,34.73,34.73,0.0,0.0,34.73,34.73,34.73,0.0,0.0,34.73,34.73,34.73,0.0,0.0,34.73,34.73,34.73,0.0,0.0
2019-12-08,34.74,34.74,34.74,0.0,0.0,34.74,34.74,34.74,0.0,0.0,34.74,34.74,34.74,0.0,0.0,34.74,34.74,34.74,0.0,0.0
2019-12-15,34.63,34.63,34.63,0.0,0.0,34.7,34.7,34.7,0.0,0.0,34.63,34.63,34.63,0.0,0.0,34.7,34.7,34.7,0.0,0.0
2019-12-22,34.43,34.43,34.43,0.0,0.0,34.51,34.51,34.51,0.0,0.0,34.43,34.43,34.43,0.0,0.0,34.51,34.51,34.51,0.0,0.0
2019-12-29,34.42,34.42,34.42,0.0,0.0,34.42,34.42,34.42,0.0,0.0,34.42,34.42,34.42,0.0,0.0,34.42,34.42,34.42,0.0,0.0
