Date,iShares Agency Bond_etf_Open_average,iShares Agency Bond_etf_Open_max,iShares Agency Bond_etf_Open_min,iShares Agency Bond_etf_Open_volatility,iShares Agency Bond_etf_Open_change,iShares Agency Bond_etf_High_average,iShares Agency Bond_etf_High_max,iShares Agency Bond_etf_High_min,iShares Agency Bond_etf_High_volatility,iShares Agency Bond_etf_High_change,iShares Agency Bond_etf_Low_average,iShares Agency Bond_etf_Low_max,iShares Agency Bond_etf_Low_min,iShares Agency Bond_etf_Low_volatility,iShares Agency Bond_etf_Low_change,iShares Agency Bond_etf_Close_average,iShares Agency Bond_etf_Close_max,iShares Agency Bond_etf_Close_min,iShares Agency Bond_etf_Close_volatility,iShares Agency Bond_etf_Close_change
2019-08-04,116.32,116.32,116.32,0.0,0.0,116.35,116.35,116.35,0.0,0.0,116.12,116.12,116.12,0.0,0.0,116.12,116.12,116.12,0.0,0.0
2019-08-11,117.02,117.02,117.02,0.0,0.0,117.09,117.09,117.09,0.0,0.0,116.85,116.85,116.85,0.0,0.0,117.02,117.02,117.02,0.0,0.0
2019-08-18,116.77,116.77,116.77,0.0,0.0,117.14,117.14,117.14,0.0,0.0,116.72,116.72,116.72,0.0,0.0,117.07,117.07,117.07,0.0,0.0
2019-08-25,117.19,117.19,117.19,0.0,0.0,117.3,117.3,117.3,0.0,0.0,117.11,117.11,117.11,0.0,0.0,117.24,117.24,117.24,0.0,0.0
2019-09-01,116.89,116.89,116.89,0.0,0.0,116.96,116.96,116.96,0.0,0.0,116.83,116.83,116.83,0.0,0.0,116.9,116.9,116.9,0.0,0.0
2019-09-08,115.75,115.75,115.75,0.0,0.0,115.77,115.77,115.77,0.0,0.0,115.45,115.45,115.45,0.0,0.0,115.48,115.48,115.48,0.0,0.0
2019-09-15,116.08,116.08,116.08,0.0,0.0,116.26,116.26,116.26,0.0,0.0,116.01,116.01,116.01,0.0,0.0,116.22,116.22,116.22,0.0,0.0
2019-09-22,116.41,116.41,116.41,0.0,0.0,116.49,116.49,116.49,0.0,0.0,116.36,116.36,116.36,0.0,0.0,116.39,116.39,116.39,0.0,0.0
2019-09-29,117.04,117.04,117.04,0.0,0.0,117.12,117.12,117.12,0.0,0.0,117.01,117.01,117.01,0.0,0.0,117.04,117.04,117.04,0.0,0.0
2019-10-06,116.26,116.26,116.26,0.0,0.0,116.26,116.26,116.26,0.0,0.0,116.02,116.02,116.02,0.0,0.0,116.07,116.07,116.07,0.0,0.0
2019-10-13,116.23,116.23,116.23,0.0,0.0,116.27,116.27,116.27,0.0,0.0,116.15,116.15,116.15,0.0,0.0,116.2,116.2,116.2,0.0,0.0
2019-10-20,116.21,116.21,116.21,0.0,0.0,116.27,116.27,116.27,0.0,0.0,115.96,115.96,115.96,0.0,0.0,116.02,116.02,116.02,0.0,0.0
2019-10-27,116.23,116.23,116.23,0.0,0.0,116.27,116.27,116.27,0.0,0.0,116.1,116.1,116.1,0.0,0.0,116.13,116.13,116.13,0.0,0.0
2019-11-03,115.41,115.41,115.41,0.0,0.0,115.53,115.53,115.53,0.0,0.0,115.36,115.36,115.36,0.0,0.0,115.41,115.41,115.41,0.0,0.0
2019-11-10,115.79,115.79,115.79,0.0,0.0,115.84,115.84,115.84,0.0,0.0,115.79,115.79,115.79,0.0,0.0,115.8,115.8,115.8,0.0,0.0
2019-11-17,116.33,116.33,116.33,0.0,0.0,116.33,116.33,116.33,0.0,0.0,116.23,116.23,116.23,0.0,0.0,116.27,116.27,116.27,0.0,0.0
2019-11-24,116.32,116.32,116.32,0.0,0.0,116.32,116.32,116.32,0.0,0.0,116.22,116.22,116.22,0.0,0.0,116.26,116.26,116.26,0.0,0.0
2019-12-01,115.77,115.77,115.77,0.0,0.0,115.92,115.92,115.92,0.0,0.0,115.75,115.75,115.75,0.0,0.0,115.82,115.82,115.82,0.0,0.0
2019-12-08,115.9,115.9,115.9,0.0,0.0,116.06,116.06,116.06,0.0,0.0,115.81,115.81,115.81,0.0,0.0,116.0,116.0,116.0,0.0,0.0
2019-12-15,115.45,115.45,115.45,0.0,0.0,115.53,115.53,115.53,0.0,0.0,115.39,115.39,115.39,0.0,0.0,115.44,115.44,115.44,0.0,0.0
2019-12-22,115.7,115.7,115.7,0.0,0.0,115.74,115.74,115.74,0.0,0.0,115.65,115.65,115.65,0.0,0.0,115.66,115.66,115.66,0.0,0.0
2019-12-29,115.99,115.99,115.99,0.0,0.0,116.1,116.1,116.1,0.0,0.0,115.89,115.89,115.89,0.0,0.0,116.05,116.05,116.05,0.0,0.0
