Date,FlexShares STOXX Global ESG ImpactEtf_Open_average,FlexShares STOXX Global ESG ImpactEtf_Open_max,FlexShares STOXX Global ESG ImpactEtf_Open_min,FlexShares STOXX Global ESG ImpactEtf_Open_volatility,FlexShares STOXX Global ESG ImpactEtf_Open_change,FlexShares STOXX Global ESG ImpactEtf_High_average,FlexShares STOXX Global ESG ImpactEtf_High_max,FlexShares STOXX Global ESG ImpactEtf_High_min,FlexShares STOXX Global ESG ImpactEtf_High_volatility,FlexShares STOXX Global ESG ImpactEtf_High_change,FlexShares STOXX Global ESG ImpactEtf_Low_average,FlexShares STOXX Global ESG ImpactEtf_Low_max,FlexShares STOXX Global ESG ImpactEtf_Low_min,FlexShares STOXX Global ESG ImpactEtf_Low_volatility,FlexShares STOXX Global ESG ImpactEtf_Low_change,FlexShares STOXX Global ESG ImpactEtf_Close_average,FlexShares STOXX Global ESG ImpactEtf_Close_max,FlexShares STOXX Global ESG ImpactEtf_Close_min,FlexShares STOXX Global ESG ImpactEtf_Close_volatility,FlexShares STOXX Global ESG ImpactEtf_Close_change
2018-04-01,94.7,94.7,94.7,0.0,0.0,94.75,94.75,94.75,0.0,0.0,93.25,93.25,93.25,0.0,0.0,93.28,93.28,93.28,0.0,0.0
2018-04-08,95.6,95.6,95.6,0.0,0.0,95.61,95.61,95.61,0.0,0.0,95.43,95.43,95.43,0.0,0.0,95.43,95.43,95.43,0.0,0.0
2018-04-15,95.91,95.91,95.91,0.0,0.0,95.95,95.95,95.95,0.0,0.0,95.37,95.37,95.37,0.0,0.0,95.37,95.37,95.37,0.0,0.0
2018-04-22,95.24,95.24,95.24,0.0,0.0,95.24,95.24,95.24,0.0,0.0,95.24,95.24,95.24,0.0,0.0,95.24,95.24,95.24,0.0,0.0
2018-04-29,93.98,93.98,93.98,0.0,0.0,95.52,95.52,95.52,0.0,0.0,93.98,93.98,93.98,0.0,0.0,95.3,95.3,95.3,0.0,0.0
2018-05-06,97.5,97.5,97.5,0.0,0.0,97.55,97.55,97.55,0.0,0.0,97.19,97.19,97.19,0.0,0.0,97.19,97.19,97.19,0.0,0.0
2018-05-13,96.72,96.72,96.72,0.0,0.0,96.88,96.88,96.88,0.0,0.0,96.65,96.65,96.65,0.0,0.0,96.65,96.65,96.65,0.0,0.0
2018-05-20,96.24,96.24,96.24,0.0,0.0,96.27,96.27,96.27,0.0,0.0,96.16,96.16,96.16,0.0,0.0,96.16,96.16,96.16,0.0,0.0
2018-05-27,96.37,96.37,96.37,0.0,0.0,96.37,96.37,96.37,0.0,0.0,96.37,96.37,96.37,0.0,0.0,96.37,96.37,96.37,0.0,0.0
2018-06-03,97.33,97.33,97.33,0.0,0.0,97.37,97.37,97.37,0.0,0.0,97.33,97.33,97.33,0.0,0.0,97.37,97.37,97.37,0.0,0.0
2018-06-10,96.98,96.98,96.98,0.0,0.0,96.98,96.98,96.98,0.0,0.0,96.45,96.45,96.45,0.0,0.0,96.48,96.48,96.48,0.0,0.0
2018-06-17,95.63,95.63,95.63,0.0,0.0,95.63,95.63,95.63,0.0,0.0,95.63,95.63,95.63,0.0,0.0,95.63,95.63,95.63,0.0,0.0
2018-06-24,94.83,94.83,94.83,0.0,0.0,94.83,94.83,94.83,0.0,0.0,94.29,94.29,94.29,0.0,0.0,94.29,94.29,94.29,0.0,0.0
2018-07-01,95.39,95.39,95.39,0.0,0.0,95.39,95.39,95.39,0.0,0.0,95.35,95.35,95.35,0.0,0.0,95.36,95.36,95.36,0.0,0.0
2018-07-08,96.55,96.55,96.55,0.0,0.0,96.74,96.74,96.74,0.0,0.0,96.55,96.55,96.55,0.0,0.0,96.74,96.74,96.74,0.0,0.0
2018-07-15,97.12,97.12,97.12,0.0,0.0,97.12,97.12,97.12,0.0,0.0,97.06,97.06,97.06,0.0,0.0,97.06,97.06,97.06,0.0,0.0
2018-07-22,98.29,98.29,98.29,0.0,0.0,98.29,98.29,98.29,0.0,0.0,97.5,97.5,97.5,0.0,0.0,97.5,97.5,97.5,0.0,0.0
2018-07-29,97.95,97.95,97.95,0.0,0.0,97.95,97.95,97.95,0.0,0.0,97.95,97.95,97.95,0.0,0.0,97.95,97.95,97.95,0.0,0.0
2018-08-05,97.42,97.42,97.42,0.0,0.0,97.42,97.42,97.42,0.0,0.0,97.19,97.19,97.19,0.0,0.0,97.19,97.19,97.19,0.0,0.0
2018-08-12,96.86,96.86,96.86,0.0,0.0,97.47,97.47,97.47,0.0,0.0,96.59,96.59,96.59,0.0,0.0,97.26,97.26,97.26,0.0,0.0
2018-08-19,98.33,98.33,98.33,0.0,0.0,98.35,98.35,98.35,0.0,0.0,98.12,98.12,98.12,0.0,0.0,98.12,98.12,98.12,0.0,0.0
2018-08-26,99.35,99.35,99.35,0.0,0.0,99.35,99.35,99.35,0.0,0.0,99.35,99.35,99.35,0.0,0.0,99.35,99.35,99.35,0.0,0.0
2018-09-02,97.07,97.07,97.07,0.0,0.0,97.07,97.07,97.07,0.0,0.0,97.07,97.07,97.07,0.0,0.0,97.07,97.07,97.07,0.0,0.0
2018-09-09,98.38,98.38,98.38,0.0,0.0,98.46,98.46,98.46,0.0,0.0,98.38,98.38,98.38,0.0,0.0,98.44,98.44,98.44,0.0,0.0
2018-09-16,99.49,99.49,99.49,0.0,0.0,100.16,100.16,100.16,0.0,0.0,99.49,99.49,99.49,0.0,0.0,99.91,99.91,99.91,0.0,0.0
2018-09-23,99.86,99.86,99.86,0.0,0.0,99.98,99.98,99.98,0.0,0.0,99.81,99.81,99.81,0.0,0.0,99.81,99.81,99.81,0.0,0.0
2018-09-30,98.16,98.16,98.16,0.0,0.0,98.16,98.16,98.16,0.0,0.0,97.36,97.36,97.36,0.0,0.0,97.45,97.45,97.45,0.0,0.0
2018-10-07,93.58,93.58,93.58,0.0,0.0,93.58,93.58,93.58,0.0,0.0,92.7,92.7,92.7,0.0,0.0,92.89,92.89,92.89,0.0,0.0
2018-10-14,93.68,93.68,93.68,0.0,0.0,93.68,93.68,93.68,0.0,0.0,93.45,93.45,93.45,0.0,0.0,93.49,93.49,93.49,0.0,0.0
2018-10-21,89.65,89.65,89.65,0.0,0.0,91.36,91.36,91.36,0.0,0.0,89.64,89.64,89.64,0.0,0.0,90.95,90.95,90.95,0.0,0.0
2018-10-28,92.72,92.72,92.72,0.0,0.0,92.72,92.72,92.72,0.0,0.0,92.34,92.34,92.34,0.0,0.0,92.5,92.5,92.5,0.0,0.0
2018-11-04,93.23,93.23,93.23,0.0,0.0,93.23,93.23,93.23,0.0,0.0,93.0,93.0,93.0,0.0,0.0,93.04,93.04,93.04,0.0,0.0
2018-11-11,92.31,92.31,92.31,0.0,0.0,92.38,92.38,92.38,0.0,0.0,92.12,92.12,92.12,0.0,0.0,92.35,92.35,92.35,0.0,0.0
2018-11-18,89.46,89.46,89.46,0.0,0.0,89.46,89.46,89.46,0.0,0.0,89.46,89.46,89.46,0.0,0.0,89.46,89.46,89.46,0.0,0.0
2018-11-25,92.15,92.15,92.15,0.0,0.0,92.5,92.5,92.5,0.0,0.0,92.15,92.15,92.15,0.0,0.0,92.5,92.5,92.5,0.0,0.0
2018-12-02,91.0,91.0,91.0,0.0,0.0,91.0,91.0,91.0,0.0,0.0,89.13,89.13,89.13,0.0,0.0,89.13,89.13,89.13,0.0,0.0
2018-12-09,88.93,88.93,88.93,0.0,0.0,89.13,89.13,89.13,0.0,0.0,88.75,88.75,88.75,0.0,0.0,88.75,88.75,88.75,0.0,0.0
2018-12-16,84.43,84.43,84.43,0.0,0.0,84.43,84.43,84.43,0.0,0.0,79.67,79.67,79.67,0.0,0.0,81.34,81.34,81.34,0.0,0.0
2018-12-23,83.93,83.93,83.93,0.0,0.0,84.84,84.84,84.84,0.0,0.0,83.91,83.91,83.91,0.0,0.0,84.84,84.84,84.84,0.0,0.0
2018-12-30,84.22,84.22,84.22,0.0,0.0,84.26,84.26,84.26,0.0,0.0,84.22,84.22,84.22,0.0,0.0,84.26,84.26,84.26,0.0,0.0
2019-01-06,88.36,88.36,88.36,0.0,0.0,88.38,88.38,88.38,0.0,0.0,88.36,88.36,88.36,0.0,0.0,88.38,88.38,88.38,0.0,0.0
2019-01-13,88.71,88.71,88.71,0.0,0.0,88.91,88.91,88.91,0.0,0.0,88.71,88.71,88.71,0.0,0.0,88.78,88.78,88.78,0.0,0.0
2019-01-20,89.4,89.4,89.4,0.0,0.0,89.4,89.4,89.4,0.0,0.0,89.11,89.11,89.11,0.0,0.0,89.11,89.11,89.11,0.0,0.0
2019-01-27,91.05,91.05,91.05,0.0,0.0,91.05,91.05,91.05,0.0,0.0,91.05,91.05,91.05,0.0,0.0,91.05,91.05,91.05,0.0,0.0
2019-02-03,90.54,90.54,90.54,0.0,0.0,90.97,90.97,90.97,0.0,0.0,90.41,90.41,90.41,0.0,0.0,90.79,90.79,90.79,0.0,0.0
2019-02-10,92.67,92.67,92.67,0.0,0.0,92.7,92.7,92.7,0.0,0.0,92.67,92.67,92.67,0.0,0.0,92.7,92.7,92.7,0.0,0.0
2019-02-17,93.97,93.97,93.97,0.0,0.0,94.04,94.04,94.04,0.0,0.0,93.79,93.79,93.79,0.0,0.0,93.79,93.79,93.79,0.0,0.0
2019-02-24,94.26,94.26,94.26,0.0,0.0,94.51,94.51,94.51,0.0,0.0,94.26,94.26,94.26,0.0,0.0,94.32,94.32,94.32,0.0,0.0
2019-03-03,92.34,92.34,92.34,0.0,0.0,92.46,92.46,92.46,0.0,0.0,91.8,91.8,91.8,0.0,0.0,92.46,92.46,92.46,0.0,0.0
2019-03-10,94.82,94.82,94.82,0.0,0.0,95.14,95.14,95.14,0.0,0.0,94.82,94.82,94.82,0.0,0.0,94.91,94.91,94.91,0.0,0.0
2019-03-17,95.48,95.48,95.48,0.0,0.0,95.48,95.48,95.48,0.0,0.0,94.5,94.5,94.5,0.0,0.0,94.5,94.5,94.5,0.0,0.0
2019-03-24,95.23,95.23,95.23,0.0,0.0,95.23,95.23,95.23,0.0,0.0,95.23,95.23,95.23,0.0,0.0,95.23,95.23,95.23,0.0,0.0
2019-03-31,97.12,97.12,97.12,0.0,0.0,97.12,97.12,97.12,0.0,0.0,96.82,96.82,96.82,0.0,0.0,96.82,96.82,96.82,0.0,0.0
2019-04-07,97.87,97.87,97.87,0.0,0.0,97.88,97.88,97.88,0.0,0.0,97.87,97.87,97.87,0.0,0.0,97.88,97.88,97.88,0.0,0.0
2019-04-14,98.37,98.37,98.37,0.0,0.0,98.37,98.37,98.37,0.0,0.0,98.37,98.37,98.37,0.0,0.0,98.37,98.37,98.37,0.0,0.0
2019-04-21,98.69,98.69,98.69,0.0,0.0,98.69,98.69,98.69,0.0,0.0,98.69,98.69,98.69,0.0,0.0,98.69,98.69,98.69,0.0,0.0
2019-04-28,99.28,99.28,99.28,0.0,0.0,99.28,99.28,99.28,0.0,0.0,99.28,99.28,99.28,0.0,0.0,99.28,99.28,99.28,0.0,0.0
2019-05-05,96.07,96.07,96.07,0.0,0.0,96.3,96.3,96.3,0.0,0.0,95.8,95.8,95.8,0.0,0.0,96.3,96.3,96.3,0.0,0.0
2019-05-12,96.6,96.6,96.6,0.0,0.0,96.66,96.66,96.66,0.0,0.0,96.35,96.35,96.35,0.0,0.0,96.39,96.39,96.39,0.0,0.0
2019-05-19,95.61,95.61,95.61,0.0,0.0,95.61,95.61,95.61,0.0,0.0,95.56,95.56,95.56,0.0,0.0,95.56,95.56,95.56,0.0,0.0
2019-05-26,93.36,93.36,93.36,0.0,0.0,93.36,93.36,93.36,0.0,0.0,93.36,93.36,93.36,0.0,0.0,93.36,93.36,93.36,0.0,0.0
2019-06-02,97.19,97.19,97.19,0.0,0.0,97.44,97.44,97.44,0.0,0.0,97.19,97.19,97.19,0.0,0.0,97.29,97.29,97.29,0.0,0.0
2019-06-09,97.87,97.87,97.87,0.0,0.0,97.87,97.87,97.87,0.0,0.0,97.47,97.47,97.47,0.0,0.0,97.47,97.47,97.47,0.0,0.0
2019-06-16,98.99,98.99,98.99,0.0,0.0,99.2,99.2,99.2,0.0,0.0,98.99,98.99,98.99,0.0,0.0,99.2,99.2,99.2,0.0,0.0
2019-06-23,98.72,98.72,98.72,0.0,0.0,98.94,98.94,98.94,0.0,0.0,98.72,98.72,98.72,0.0,0.0,98.82,98.82,98.82,0.0,0.0
2019-06-30,100.31,100.31,100.31,0.0,0.0,100.31,100.31,100.31,0.0,0.0,100.28,100.28,100.28,0.0,0.0,100.28,100.28,100.28,0.0,0.0
2019-07-07,100.18,100.18,100.18,0.0,0.0,100.18,100.18,100.18,0.0,0.0,100.18,100.18,100.18,0.0,0.0,100.18,100.18,100.18,0.0,0.0
2019-07-14,100.27,100.27,100.27,0.0,0.0,100.47,100.47,100.47,0.0,0.0,100.27,100.27,100.27,0.0,0.0,100.36,100.36,100.36,0.0,0.0
2019-07-21,100.93,100.93,100.93,0.0,0.0,100.93,100.93,100.93,0.0,0.0,100.72,100.72,100.72,0.0,0.0,100.72,100.72,100.72,0.0,0.0
2019-07-28,97.72,97.72,97.72,0.0,0.0,97.72,97.72,97.72,0.0,0.0,97.67,97.67,97.67,0.0,0.0,97.67,97.67,97.67,0.0,0.0
2019-08-04,97.48,97.48,97.48,0.0,0.0,97.48,97.48,97.48,0.0,0.0,97.18,97.18,97.18,0.0,0.0,97.18,97.18,97.18,0.0,0.0
2019-08-11,96.28,96.28,96.28,0.0,0.0,96.28,96.28,96.28,0.0,0.0,96.17,96.17,96.17,0.0,0.0,96.17,96.17,96.17,0.0,0.0
2019-08-18,96.24,96.24,96.24,0.0,0.0,96.24,96.24,96.24,0.0,0.0,96.24,96.24,96.24,0.0,0.0,96.24,96.24,96.24,0.0,0.0
2019-08-25,96.03,96.03,96.03,0.0,0.0,96.03,96.03,96.03,0.0,0.0,96.03,96.03,96.03,0.0,0.0,96.03,96.03,96.03,0.0,0.0
2019-09-01,99.5,99.5,99.5,0.0,0.0,99.5,99.5,99.5,0.0,0.0,99.5,99.5,99.5,0.0,0.0,99.5,99.5,99.5,0.0,0.0
2019-09-08,100.8,100.8,100.8,0.0,0.0,100.93,100.93,100.93,0.0,0.0,100.39,100.39,100.39,0.0,0.0,100.93,100.93,100.93,0.0,0.0
2019-09-15,100.57,100.57,100.57,0.0,0.0,100.58,100.58,100.58,0.0,0.0,100.35,100.35,100.35,0.0,0.0,100.35,100.35,100.35,0.0,0.0
2019-09-22,99.13,99.13,99.13,0.0,0.0,99.14,99.14,99.14,0.0,0.0,98.93,98.93,98.93,0.0,0.0,98.93,98.93,98.93,0.0,0.0
2019-09-29,96.7,96.7,96.7,0.0,0.0,96.98,96.98,96.98,0.0,0.0,95.94,95.94,95.94,0.0,0.0,96.98,96.98,96.98,0.0,0.0
2019-10-06,99.52,99.52,99.52,0.0,0.0,99.56,99.56,99.56,0.0,0.0,99.52,99.52,99.52,0.0,0.0,99.56,99.56,99.56,0.0,0.0
2019-10-13,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0
2019-10-20,101.01,101.01,101.01,0.0,0.0,101.01,101.01,101.01,0.0,0.0,101.01,101.01,101.01,0.0,0.0,101.01,101.01,101.01,0.0,0.0
2019-10-27,102.72,102.72,102.72,0.0,0.0,102.72,102.72,102.72,0.0,0.0,102.57,102.57,102.57,0.0,0.0,102.57,102.57,102.57,0.0,0.0
2019-11-03,103.04,103.04,103.04,0.0,0.0,103.3,103.3,103.3,0.0,0.0,103.04,103.04,103.04,0.0,0.0,103.3,103.3,103.3,0.0,0.0
2019-11-10,103.27,103.27,103.27,0.0,0.0,103.27,103.27,103.27,0.0,0.0,103.27,103.27,103.27,0.0,0.0,103.27,103.27,103.27,0.0,0.0
2019-11-17,103.26,103.26,103.26,0.0,0.0,103.26,103.26,103.26,0.0,0.0,103.26,103.26,103.26,0.0,0.0,103.26,103.26,103.26,0.0,0.0
2019-11-24,105.29,105.29,105.29,0.0,0.0,105.29,105.29,105.29,0.0,0.0,104.83,104.83,104.83,0.0,0.0,104.91,104.91,104.91,0.0,0.0
2019-12-01,105.28,105.28,105.28,0.0,0.0,105.28,105.28,105.28,0.0,0.0,104.83,104.83,104.83,0.0,0.0,104.83,104.83,104.83,0.0,0.0
2019-12-08,104.43,104.43,104.43,0.0,0.0,105.82,105.82,105.82,0.0,0.0,104.43,104.43,104.43,0.0,0.0,105.82,105.82,105.82,0.0,0.0
2019-12-15,107.49,107.49,107.49,0.0,0.0,107.49,107.49,107.49,0.0,0.0,107.49,107.49,107.49,0.0,0.0,107.49,107.49,107.49,0.0,0.0
2019-12-22,107.73,107.73,107.73,0.0,0.0,107.73,107.73,107.73,0.0,0.0,107.73,107.73,107.73,0.0,0.0,107.73,107.73,107.73,0.0,0.0
2019-12-29,108.23,108.23,108.23,0.0,0.0,108.23,108.23,108.23,0.0,0.0,107.73,107.73,107.73,0.0,0.0,107.73,107.73,107.73,0.0,0.0
