Date,FONR_stock_Open_average,FONR_stock_Open_max,FONR_stock_Open_min,FONR_stock_Open_volatility,FONR_stock_Open_change,FONR_stock_High_average,FONR_stock_High_max,FONR_stock_High_min,FONR_stock_High_volatility,FONR_stock_High_change,FONR_stock_Low_average,FONR_stock_Low_max,FONR_stock_Low_min,FONR_stock_Low_volatility,FONR_stock_Low_change,FONR_stock_Close_average,FONR_stock_Close_max,FONR_stock_Close_min,FONR_stock_Close_volatility,FONR_stock_Close_change,FONR_stock_Volume_average,FONR_stock_Volume_max,FONR_stock_Volume_min,FONR_stock_Volume_volatility,FONR_stock_Volume_change
2018-06-10,27.17,27.85,26.75,1.1000000000000014,-0.5,27.522,28.0,27.06,0.9400000000000013,-0.39000000000000057,26.79,26.95,26.5,0.4499999999999993,-0.4499999999999993,27.169999999999998,27.85,26.9,0.9500000000000028,-0.25,21878,29904,14767,15137,14317
2018-06-17,27.08,27.4,26.7,0.6999999999999993,0.3999999999999986,27.5,27.85,27.0,0.8500000000000014,0.8500000000000014,26.88,27.2,26.5,0.6999999999999993,0.6499999999999986,27.240000000000002,27.55,26.85,0.6999999999999993,0.6999999999999993,56390,149886,18577,131309,116095
2018-06-24,26.98,27.45,26.35,1.0999999999999979,-0.7999999999999972,27.34,27.75,26.75,1.0,-0.8000000000000007,26.650000000000002,27.1,26.2,0.9000000000000021,-0.75,26.86,27.5,26.3,1.1999999999999993,-0.6999999999999993,24741,30158,20880,9278,4483
2018-07-01,27.025,27.55,26.45,1.1000000000000014,1.1000000000000014,27.475,27.85,26.85,1.0,1.0,26.8,27.3,26.25,1.0500000000000007,1.0500000000000007,27.2125,27.55,26.55,1.0,1.0,22632,31162,15290,15872,-15872
2018-07-08,28.13,28.35,27.7,0.6500000000000021,0.6500000000000021,28.55,28.8,28.25,0.5500000000000007,0.3000000000000007,27.88,28.15,27.7,0.4499999999999993,0.3000000000000007,28.23,28.4,28.0,0.3999999999999986,0.15000000000000213,18869,25592,10298,15294,-15294
2018-07-15,27.48,28.35,26.95,1.4000000000000021,-1.4000000000000021,27.78,28.6,27.4,1.2000000000000028,-1.0,27.044,27.5,26.63,0.870000000000001,-0.7100000000000009,27.25,27.55,26.8,0.75,-0.25,17881,25714,10308,15406,-8961
2018-07-22,26.78,27.35,26.4,0.9500000000000028,-0.9500000000000028,27.02,27.4,26.4,1.0,-1.0,26.259999999999998,26.75,25.7,1.0500000000000007,-1.0500000000000007,26.43,26.9,25.75,1.1499999999999986,-1.1499999999999986,23330,33556,15253,18303,11092
2018-07-29,26.24,26.8,25.95,0.8500000000000014,0.8500000000000014,26.75,27.1,26.5,0.6000000000000014,0.3000000000000007,25.92,26.27,25.48,0.7899999999999991,0.5,26.44,26.95,25.95,1.0,0.8000000000000007,18914,31876,9315,22561,-3313
2018-08-05,26.89,27.1,26.6,0.5,-0.1999999999999993,27.368,27.45,27.2,0.25,-0.25,26.59,26.9,26.3,0.5999999999999979,-0.05000000000000071,27.05,27.2,26.85,0.34999999999999787,-0.34999999999999787,13388,23507,7797,15710,-3226
2018-08-12,26.82,27.05,26.6,0.4499999999999993,-0.4499999999999993,27.16,27.25,27.1,0.14999999999999858,0.05000000000000071,26.55,26.7,26.35,0.34999999999999787,0.10000000000000142,26.806,27.1,26.48,0.620000000000001,0.40000000000000213,10582,14671,7488,7183,3976
2018-08-19,26.44,27.15,26.0,1.1499999999999986,-1.0999999999999979,26.62,27.15,26.3,0.8499999999999979,-0.8499999999999979,25.939999999999998,26.55,25.2,1.3500000000000014,-1.3500000000000014,26.096,26.73,25.4,1.3300000000000018,-1.3300000000000018,20829,41401,10202,31199,8109
2018-08-26,25.71,26.0,25.35,0.6499999999999986,0.14999999999999858,26.16,26.35,25.95,0.40000000000000213,0.10000000000000142,25.414,25.75,25.17,0.5799999999999983,0.5,25.86,26.2,25.35,0.8499999999999979,0.25,17159,30952,10296,20656,-11350
2018-09-02,25.0875,26.15,24.35,1.7999999999999972,-1.7999999999999972,25.1875,26.15,24.35,1.7999999999999972,-1.7999999999999972,24.4075,25.1,23.8,1.3000000000000007,-1.3000000000000007,24.6,25.25,23.95,1.3000000000000007,-1.3000000000000007,20932,24557,17894,6663,-684
2018-09-09,24.279999999999998,25.2,23.9,1.3000000000000007,1.25,24.59,25.3,24.0,1.3000000000000007,1.1000000000000014,24.136,24.9,23.7,1.1999999999999993,1.0700000000000003,24.46,25.25,23.9,1.3500000000000014,1.1000000000000014,27515,62700,12249,50451,6833
2018-09-16,24.89,25.05,24.7,0.3500000000000014,-0.3500000000000014,25.1,25.25,24.95,0.3000000000000007,-0.1999999999999993,24.728,24.89,24.55,0.33999999999999986,-0.33999999999999986,24.79,24.95,24.65,0.3000000000000007,-0.3000000000000007,34327,95935,13184,82751,73237
2018-09-23,24.82,24.9,24.7,0.1999999999999993,0.0,24.97,25.0,24.9,0.10000000000000142,0.0,24.573999999999998,24.77,24.4,0.370000000000001,0.370000000000001,24.8,24.9,24.7,0.1999999999999993,0.1999999999999993,20725,35213,15362,19851,-1081
2018-09-30,24.396,24.9,23.51,1.389999999999997,-1.389999999999997,24.482,24.98,23.51,1.4699999999999989,-1.4699999999999989,23.91,24.7,23.0,1.6999999999999993,-1.6999999999999993,24.024,24.8,23.06,1.740000000000002,-1.740000000000002,25136,49584,14991,34593,1983
2018-10-07,22.964,23.34,22.4,0.9400000000000013,-0.6000000000000014,23.343999999999998,23.99,22.98,1.009999999999998,-0.3299999999999983,22.55,23.0,22.05,0.9499999999999993,-0.3100000000000023,22.876,23.38,22.12,1.259999999999998,-0.2799999999999976,29754,42610,20546,22064,3701
2018-10-14,23.28,23.65,22.82,0.8299999999999983,0.6099999999999994,23.642,23.82,23.23,0.5899999999999999,0.5700000000000003,22.912,23.37,22.58,0.7900000000000027,0.10000000000000142,23.358,23.66,22.88,0.7800000000000011,0.4800000000000004,17309,23405,9135,14270,-6757
2018-10-21,23.53,23.99,22.79,1.1999999999999993,0.6699999999999982,23.919999999999998,24.33,23.55,0.7799999999999976,0.5799999999999983,22.976,23.48,22.45,1.0300000000000011,0.6700000000000017,23.676000000000002,24.25,23.01,1.2399999999999984,0.9100000000000001,28265,50013,16184,33829,3586
2018-10-28,24.348,25.2,23.27,1.9299999999999997,1.1699999999999982,24.918,25.42,24.26,1.1600000000000001,0.7300000000000004,24.142,24.79,23.27,1.5199999999999996,1.0899999999999999,24.63,25.33,23.88,1.4499999999999993,1.4499999999999993,24995,36639,10359,26280,-8247
2018-11-04,25.144,25.29,25.04,0.25,-0.17999999999999972,25.39,25.77,25.11,0.6600000000000001,-0.6600000000000001,24.408,25.08,22.5,2.5799999999999983,-2.5799999999999983,24.63,25.24,22.54,2.6999999999999993,-2.650000000000002,25444,58969,14494,44475,44475
2018-11-11,22.292,22.6,21.98,0.620000000000001,0.0,22.906,23.28,22.62,0.6600000000000001,-0.6600000000000001,21.758,22.05,21.2,0.8500000000000014,-0.1999999999999993,22.169999999999998,22.58,21.8,0.7799999999999976,-0.13999999999999702,25846,31886,20902,10984,5633
2018-11-18,21.76,22.03,21.42,0.6099999999999994,-0.6099999999999994,22.182499999999997,22.49,21.99,0.5,-0.41999999999999815,21.545,22.0,21.32,0.6799999999999997,-0.5799999999999983,21.845,22.14,21.59,0.5500000000000007,-0.16000000000000014,16108,23133,11266,11867,-4397
2018-11-25,21.84,22.1,21.54,0.5600000000000023,-0.11999999999999744,22.136,22.4,21.72,0.6799999999999997,0.240000000000002,21.464,21.7,21.19,0.509999999999998,0.11999999999999744,21.868,22.09,21.54,0.5500000000000007,0.28000000000000114,20917,27794,16705,11089,7567
2018-12-02,21.6675,22.15,21.22,0.9299999999999997,-0.6899999999999977,22.125,22.54,21.57,0.9699999999999989,-0.6400000000000006,21.314999999999998,21.76,21.08,0.6800000000000033,-0.6800000000000033,21.502499999999998,21.95,21.18,0.7699999999999996,-0.7699999999999996,22175,36753,11168,25585,-13405
2018-12-09,21.195999999999998,21.37,21.08,0.2900000000000027,0.14000000000000057,21.422,21.51,21.18,0.33000000000000185,0.2699999999999996,20.75,21.0,20.6,0.3999999999999986,0.3999999999999986,21.102,21.37,20.8,0.5700000000000003,0.129999999999999,17376,28609,9553,19056,-5887
2018-12-16,20.862,21.26,20.15,1.110000000000003,-0.9500000000000028,21.772000000000002,22.32,21.26,1.0599999999999987,-0.259999999999998,20.407999999999998,20.7,20.03,0.6699999999999982,-0.5499999999999972,20.834,21.45,20.32,1.129999999999999,-0.23000000000000043,33388,50263,24904,25359,21669
2018-12-23,20.2225,20.5,20.0,0.5,-0.3200000000000003,21.0425,22.23,20.14,2.09,-0.8000000000000007,19.927500000000002,20.05,19.63,0.4200000000000017,-0.05000000000000071,20.177500000000002,20.42,20.07,0.3500000000000014,0.3400000000000034,21650,27460,14079,13381,13381
2018-12-30,20.6325,21.2,20.13,1.0700000000000003,0.1999999999999993,21.185000000000002,21.42,20.89,0.5300000000000011,0.25,20.2225,20.5,20.05,0.4499999999999993,-0.13999999999999702,20.5475,21.25,20.2,1.0500000000000007,-0.03999999999999915,20352,27563,12725,14838,3504
2019-01-06,20.25,20.48,20.09,0.39000000000000057,-0.10000000000000142,20.79,21.14,20.52,0.620000000000001,0.4400000000000013,20.054,20.07,20.01,0.05999999999999872,-0.04999999999999716,20.272,20.45,20.07,0.379999999999999,-0.10000000000000142,18242,21045,11534,9511,-801
2019-01-13,20.72,21.4,20.16,1.2399999999999984,1.2399999999999984,21.394000000000002,21.98,20.87,1.1099999999999994,1.1099999999999994,20.656,21.4,20.15,1.25,1.25,21.068,21.9,20.44,1.4599999999999973,1.4599999999999973,24860,30600,14490,16110,9962
2019-01-20,21.425,21.98,20.98,1.0,-0.9200000000000017,21.8875,22.38,21.23,1.1499999999999986,-0.5500000000000007,21.0775,21.5,20.87,0.629999999999999,-0.6099999999999994,21.3725,21.63,21.11,0.5199999999999996,0.10999999999999943,13154,14733,10468,4265,-4265
2019-01-27,21.916,22.27,21.58,0.6900000000000013,0.6099999999999994,22.182,22.37,21.88,0.490000000000002,0.370000000000001,21.624,21.88,21.45,0.4299999999999997,0.23000000000000043,21.746000000000002,22.1,21.5,0.6000000000000014,0.19000000000000128,11168,14115,5881,8234,-4319
2019-02-03,21.95,22.19,21.78,0.41000000000000014,-0.1999999999999993,22.268,22.5,22.0,0.5,-0.240000000000002,21.674,21.91,21.39,0.5199999999999996,0.25,21.848,22.16,21.68,0.4800000000000004,-0.05999999999999872,9037,12426,5670,6756,-5417
2019-02-10,22.844,23.7,21.65,2.0500000000000007,1.5500000000000007,23.376,23.85,22.93,0.9200000000000017,0.379999999999999,22.378,22.89,21.43,1.4600000000000009,0.9800000000000004,22.87,23.69,22.04,1.6500000000000021,0.46000000000000085,22404,28000,16745,11255,-11255
2019-02-17,22.5825,22.89,22.25,0.6400000000000006,0.14999999999999858,22.895,23.18,22.61,0.5700000000000003,-0.39000000000000057,22.1925,22.63,21.68,0.9499999999999993,-0.46999999999999886,22.5925,22.91,22.36,0.5500000000000007,-0.5500000000000007,14897,20036,8033,12003,3612
2019-02-24,22.038,22.5,21.58,0.9200000000000017,-0.870000000000001,22.472,22.98,21.97,1.0100000000000016,-0.7800000000000011,21.81,22.33,21.39,0.9399999999999977,-0.7299999999999969,22.0,22.33,21.65,0.6799999999999997,-0.1999999999999993,11878,16708,5488,11220,-3774
2019-03-03,21.854,22.49,21.17,1.3199999999999967,-1.0399999999999991,22.084,22.49,21.65,0.8399999999999999,-0.8300000000000018,21.29,21.5,21.08,0.4200000000000017,-0.3299999999999983,21.448,21.61,21.24,0.370000000000001,-0.370000000000001,11360,13311,8335,4976,-2390
2019-03-10,22.046,22.83,21.53,1.2999999999999972,0.41999999999999815,22.628,23.0,21.65,1.3500000000000014,1.3000000000000007,21.686,22.04,21.35,0.6899999999999977,0.509999999999998,22.24,22.95,21.65,1.3000000000000007,1.3000000000000007,21260,36075,5617,30458,30458
2019-03-17,22.422,22.58,22.25,0.3299999999999983,-0.3299999999999983,22.596,22.84,22.38,0.46000000000000085,-0.46000000000000085,22.028,22.31,21.55,0.759999999999998,-0.5799999999999983,22.221999999999998,22.47,21.55,0.9199999999999982,-0.7799999999999976,11825,16794,9404,7390,-5469
2019-03-24,21.714,22.03,21.29,0.740000000000002,-0.21000000000000085,21.934,22.2,21.35,0.8499999999999979,-0.629999999999999,21.226,21.82,20.42,1.3999999999999986,-0.8299999999999983,21.524,22.02,20.47,1.5500000000000007,-1.5100000000000016,15303,29721,4256,25465,16836
2019-03-31,20.568,20.94,19.9,1.0400000000000027,-0.8399999999999999,21.066,21.55,20.44,1.1099999999999994,-0.7100000000000009,20.214,20.7,19.72,0.9800000000000004,-0.8999999999999986,20.490000000000002,20.95,19.73,1.2199999999999989,-0.509999999999998,43921,52649,32325,20324,-6850
2019-04-07,20.266,20.65,19.75,0.8999999999999986,-0.5599999999999987,20.62,20.71,20.46,0.25,-0.18999999999999773,19.76,20.26,19.45,0.8100000000000023,-0.060000000000002274,20.13,20.45,19.86,0.5899999999999999,0.28999999999999915,22998,28227,16429,11798,-11207
2019-04-14,19.655,20.22,19.39,0.8299999999999983,-0.8299999999999983,19.865,20.22,19.58,0.6400000000000006,-0.23000000000000043,19.18,19.31,18.98,0.3299999999999983,-0.17999999999999972,19.4825,19.63,19.39,0.23999999999999844,0.23999999999999844,24922,32753,19190,13563,-13242
2019-04-21,19.994,20.46,19.54,0.9200000000000017,0.9200000000000017,20.416,20.8,19.56,1.240000000000002,1.240000000000002,19.836,20.36,19.21,1.1499999999999986,1.1499999999999986,20.142,20.59,19.38,1.2100000000000009,1.2100000000000009,23260,42162,15270,26892,-4373
2019-04-28,19.978,20.59,19.59,1.0,-0.6799999999999997,20.19,20.66,19.85,0.8099999999999987,-0.5,19.658,19.89,19.5,0.39000000000000057,-0.10999999999999943,19.89,20.09,19.77,0.3200000000000003,0.16999999999999815,28930,44508,14015,30493,14821
2019-05-05,19.838,20.15,19.66,0.48999999999999844,0.4399999999999977,20.226,20.4,20.05,0.34999999999999787,0.10999999999999943,19.69,19.79,19.63,0.16000000000000014,0.0799999999999983,19.966,20.27,19.83,0.4400000000000013,-0.05000000000000071,31962,57038,13472,43566,-3048
2019-05-12,20.78,21.48,20.4,1.0800000000000018,0.08000000000000185,21.458,21.65,21.25,0.3999999999999986,0.1700000000000017,20.462,20.71,19.94,0.7699999999999996,0.6699999999999982,20.823999999999998,21.35,20.0,1.3500000000000014,1.0799999999999983,52554,85421,27698,57723,-48107
2019-05-19,20.862000000000002,21.23,20.41,0.8200000000000003,-0.5899999999999999,21.136,21.59,20.59,1.0,-1.0,20.596,21.0,20.17,0.8299999999999983,-0.7899999999999991,20.76,21.17,20.25,0.9200000000000017,-0.7600000000000016,34436,42354,19318,23036,-23036
2019-05-26,19.9575,20.59,19.22,1.370000000000001,-1.370000000000001,20.130000000000003,20.8,19.5,1.3000000000000007,-1.3000000000000007,19.5075,20.21,18.85,1.3599999999999994,-1.3599999999999994,19.6925,20.56,19.2,1.3599999999999994,-1.3599999999999994,52878,86928,20926,66002,66002
2019-06-02,19.862000000000002,20.41,19.32,1.0899999999999999,0.620000000000001,20.248,20.48,20.0,0.4800000000000004,0.21999999999999886,19.536,19.86,19.26,0.5999999999999979,0.5,19.887999999999998,20.06,19.72,0.33999999999999986,0.28999999999999915,49326,73682,28716,44966,4910
2019-06-09,20.942,21.3,20.28,1.0199999999999996,0.8299999999999983,21.408,21.7,21.11,0.5899999999999999,0.3999999999999986,20.528,20.8,20.18,0.620000000000001,0.620000000000001,21.106,21.28,20.84,0.4400000000000013,-0.08999999999999986,53783,65969,43869,22100,-14019
2019-06-16,21.288,21.36,21.15,0.21000000000000085,0.21000000000000085,21.776,22.15,21.52,0.629999999999999,0.629999999999999,20.802,21.07,20.44,0.629999999999999,0.36999999999999744,21.492,22.06,21.26,0.7999999999999972,0.7899999999999991,57610,67997,38582,29415,10360
2019-06-23,21.868,22.79,20.95,1.8399999999999999,-1.1999999999999993,22.318,22.88,21.43,1.4499999999999993,-0.509999999999998,21.002,22.06,20.25,1.8099999999999987,-0.870000000000001,21.666,22.8,20.8,2.0,-0.879999999999999,207788,761307,50850,710457,683550
2019-06-30,21.295,21.52,21.01,0.509999999999998,-0.35999999999999943,21.995,22.15,21.76,0.389999999999997,0.13000000000000256,20.96,21.13,20.84,0.28999999999999915,-0.28999999999999915,21.3575,21.93,20.97,0.9600000000000009,0.5199999999999996,81109,139182,38296,100886,68467
2019-07-07,21.176000000000002,21.88,20.46,1.4199999999999982,-0.6199999999999974,21.662,22.2,21.15,1.0500000000000007,0.23999999999999844,20.75,21.12,20.44,0.6799999999999997,0.030000000000001137,21.126,21.84,20.51,1.3299999999999983,0.5899999999999999,61505,78045,52620,25425,3516
2019-07-14,21.892,22.12,21.57,0.5500000000000007,0.05000000000000071,22.18,22.42,22.09,0.33000000000000185,0.3200000000000003,21.564,21.86,21.28,0.5799999999999983,0.5799999999999983,21.982,22.39,21.58,0.8100000000000023,0.46000000000000085,36063,42584,22527,20057,-4793
2019-07-21,22.366,22.93,21.86,1.0700000000000003,0.6900000000000013,22.85,23.25,22.66,0.5899999999999999,0.5899999999999999,22.13,22.7,21.5,1.1999999999999993,1.1999999999999993,22.576,23.24,21.86,1.379999999999999,1.379999999999999,44178,73956,17596,56360,-26880
2019-07-28,24.134,25.0,23.14,1.8599999999999994,1.6099999999999994,24.662,25.25,23.75,1.5,1.5,23.83,24.27,23.14,1.129999999999999,0.9899999999999984,24.438,25.07,23.48,1.5899999999999999,1.5899999999999999,48092,57570,40081,17489,16360
2019-08-04,24.332,24.82,23.76,1.0599999999999987,-1.0199999999999996,24.704,25.1,24.04,1.0600000000000023,-0.9600000000000009,23.694,23.92,23.34,0.5800000000000018,-0.5800000000000018,24.124000000000002,24.82,23.55,1.2699999999999996,-1.2699999999999996,42341,71746,20305,51441,-47323
2019-08-11,23.562,23.85,23.3,0.5500000000000007,0.3500000000000014,24.104,24.44,23.77,0.6700000000000017,0.5399999999999991,23.3,23.64,23.06,0.5800000000000018,0.4200000000000017,23.66,23.96,23.43,0.5300000000000011,0.5300000000000011,37428,67090,26690,40400,3345
2019-08-18,24.042,24.42,23.8,0.620000000000001,0.4200000000000017,24.356,24.69,24.07,0.620000000000001,0.2900000000000027,23.726,24.15,23.46,0.6899999999999977,0.39000000000000057,24.11,24.39,23.81,0.5800000000000018,0.45000000000000284,26256,43629,19343,24286,-1941
2019-08-25,24.32,24.55,24.1,0.4499999999999993,-0.05000000000000071,24.478,24.63,24.25,0.379999999999999,-0.26000000000000156,23.93,24.06,23.82,0.23999999999999844,-0.21000000000000085,24.13,24.41,23.82,0.5899999999999999,-0.11999999999999744,23842,40539,16921,23618,3156
2019-09-01,23.7125,24.1,23.27,0.8300000000000018,-0.5700000000000003,23.884999999999998,24.1,23.7,0.40000000000000213,-0.40000000000000213,23.21,23.64,23.02,0.620000000000001,-0.490000000000002,23.4175,23.9,23.2,0.6999999999999993,-0.639999999999997,26396,33988,20485,13503,-1389
2019-09-08,23.614,24.42,23.2,1.2200000000000024,0.4200000000000017,24.298,24.77,23.66,1.1099999999999994,1.1099999999999994,23.412,23.62,23.15,0.4700000000000024,0.4700000000000024,23.916,24.69,23.25,1.4400000000000013,1.4400000000000013,45165,56683,32229,24454,24454
2019-09-15,23.326,24.51,22.51,2.0,-1.4300000000000033,23.694,24.75,23.08,1.6700000000000017,-1.6700000000000017,22.684,23.38,22.19,1.1899999999999977,-1.0299999999999976,22.818,23.62,22.34,1.2800000000000011,-1.0800000000000018,50193,68627,31190,37437,-35448
2019-09-22,21.712,22.82,20.55,2.2699999999999996,-2.0500000000000007,21.908,22.82,21.14,1.6799999999999997,-1.509999999999998,21.014,22.12,20.3,1.8200000000000003,-1.6999999999999993,21.194,22.39,20.6,1.7899999999999991,-1.6400000000000006,24834,34592,15653,18939,-9140
2019-09-29,20.43,20.84,19.98,0.8599999999999994,-0.5500000000000007,20.724,21.1,20.39,0.7100000000000009,-0.40000000000000213,20.022000000000002,20.57,19.42,1.1499999999999986,-0.28000000000000114,20.368,20.67,20.16,0.5100000000000016,-0.3000000000000007,26792,37444,17096,20348,-9545
2019-10-06,19.974,20.19,19.81,0.38000000000000256,-0.38000000000000256,20.184,20.31,20.08,0.23000000000000043,-0.16000000000000014,19.65,19.86,19.52,0.33999999999999986,-0.33999999999999986,19.81,19.9,19.74,0.16000000000000014,-0.019999999999999574,27771,38458,18908,19550,12638
2019-10-13,20.2,20.53,19.7,0.8300000000000018,0.8300000000000018,20.492,20.81,20.09,0.7199999999999989,0.5899999999999999,20.094,20.5,19.7,0.8000000000000007,0.5100000000000016,20.278000000000002,20.6,19.76,0.8399999999999999,0.4499999999999993,18327,28145,7850,20295,-17662
2019-10-20,20.302,20.67,20.06,0.610000000000003,0.029999999999997584,20.498,20.94,20.24,0.7000000000000028,-0.7000000000000028,20.012,20.18,19.82,0.35999999999999943,-0.35999999999999943,20.157999999999998,20.27,20.02,0.25,-0.14000000000000057,14119,18043,10121,7922,-2609
2019-10-27,20.316,20.65,20.0,0.6499999999999986,0.3000000000000007,20.604,20.82,20.46,0.35999999999999943,0.08999999999999986,20.192,20.34,19.9,0.4400000000000013,0.3500000000000014,20.464,20.65,20.26,0.389999999999997,0.28999999999999915,15267,22413,11448,10965,-7404
