Date,Wisdom Tree International Dividend Ex-Financials_Open_average,Wisdom Tree International Dividend Ex-Financials_Open_max,Wisdom Tree International Dividend Ex-Financials_Open_min,Wisdom Tree International Dividend Ex-Financials_Open_volatility,Wisdom Tree International Dividend Ex-Financials_Open_change,Wisdom Tree International Dividend Ex-Financials_High_average,Wisdom Tree International Dividend Ex-Financials_High_max,Wisdom Tree International Dividend Ex-Financials_High_min,Wisdom Tree International Dividend Ex-Financials_High_volatility,Wisdom Tree International Dividend Ex-Financials_High_change,Wisdom Tree International Dividend Ex-Financials_Low_average,Wisdom Tree International Dividend Ex-Financials_Low_max,Wisdom Tree International Dividend Ex-Financials_Low_min,Wisdom Tree International Dividend Ex-Financials_Low_volatility,Wisdom Tree International Dividend Ex-Financials_Low_change,Wisdom Tree International Dividend Ex-Financials_Close_average,Wisdom Tree International Dividend Ex-Financials_Close_max,Wisdom Tree International Dividend Ex-Financials_Close_min,Wisdom Tree International Dividend Ex-Financials_Close_volatility,Wisdom Tree International Dividend Ex-Financials_Close_change
2018-06-24,41.5,41.5,41.5,0.0,0.0,41.58,41.58,41.58,0.0,0.0,41.41,41.41,41.41,0.0,0.0,41.57,41.57,41.57,0.0,0.0
2018-07-01,43.1,43.1,43.1,0.0,0.0,43.17,43.17,43.17,0.0,0.0,43.07,43.07,43.07,0.0,0.0,43.14,43.14,43.14,0.0,0.0
2018-07-08,42.47,42.47,42.47,0.0,0.0,42.47,42.47,42.47,0.0,0.0,42.39,42.39,42.39,0.0,0.0,42.46,42.46,42.46,0.0,0.0
2018-07-15,42.59,42.59,42.59,0.0,0.0,42.59,42.59,42.59,0.0,0.0,42.45,42.45,42.45,0.0,0.0,42.53,42.53,42.53,0.0,0.0
2018-07-22,43.25,43.25,43.25,0.0,0.0,43.35,43.35,43.35,0.0,0.0,43.2,43.2,43.2,0.0,0.0,43.2,43.2,43.2,0.0,0.0
2018-07-29,42.58,42.58,42.58,0.0,0.0,42.81,42.81,42.81,0.0,0.0,42.58,42.58,42.58,0.0,0.0,42.72,42.72,42.72,0.0,0.0
2018-08-05,41.94,41.94,41.94,0.0,0.0,41.96,41.96,41.96,0.0,0.0,41.72,41.72,41.72,0.0,0.0,41.81,41.81,41.81,0.0,0.0
2018-08-12,41.77,41.77,41.77,0.0,0.0,41.94,41.94,41.94,0.0,0.0,41.77,41.77,41.77,0.0,0.0,41.82,41.82,41.82,0.0,0.0
2018-08-19,42.51,42.51,42.51,0.0,0.0,42.77,42.77,42.77,0.0,0.0,42.51,42.51,42.51,0.0,0.0,42.7,42.7,42.7,0.0,0.0
2018-08-26,42.11,42.11,42.11,0.0,0.0,42.11,42.11,42.11,0.0,0.0,41.75,41.75,41.75,0.0,0.0,41.87,41.87,41.87,0.0,0.0
2018-09-02,41.24,41.24,41.24,0.0,0.0,41.25,41.25,41.25,0.0,0.0,41.16,41.16,41.16,0.0,0.0,41.18,41.18,41.18,0.0,0.0
2018-09-09,42.08,42.08,42.08,0.0,0.0,42.09,42.09,42.09,0.0,0.0,41.92,41.92,41.92,0.0,0.0,41.99,41.99,41.99,0.0,0.0
2018-09-16,42.71,42.71,42.71,0.0,0.0,42.71,42.71,42.71,0.0,0.0,42.5,42.5,42.5,0.0,0.0,42.51,42.51,42.51,0.0,0.0
2018-09-23,42.18,42.18,42.18,0.0,0.0,42.18,42.18,42.18,0.0,0.0,41.96,41.96,41.96,0.0,0.0,41.96,41.96,41.96,0.0,0.0
2018-09-30,41.04,41.04,41.04,0.0,0.0,41.14,41.14,41.14,0.0,0.0,40.87,40.87,40.87,0.0,0.0,41.14,41.14,41.14,0.0,0.0
2018-10-07,40.29,40.29,40.29,0.0,0.0,40.52,40.52,40.52,0.0,0.0,40.29,40.29,40.29,0.0,0.0,40.44,40.44,40.44,0.0,0.0
2018-10-14,40.4,40.4,40.4,0.0,0.0,40.42,40.42,40.42,0.0,0.0,40.26,40.26,40.26,0.0,0.0,40.4,40.4,40.4,0.0,0.0
2018-10-21,39.57,39.57,39.57,0.0,0.0,39.61,39.61,39.61,0.0,0.0,38.93,38.93,38.93,0.0,0.0,38.93,38.93,38.93,0.0,0.0
2018-10-28,40.13,40.13,40.13,0.0,0.0,40.28,40.28,40.28,0.0,0.0,40.08,40.08,40.08,0.0,0.0,40.18,40.18,40.18,0.0,0.0
2018-11-04,39.97,39.97,39.97,0.0,0.0,39.97,39.97,39.97,0.0,0.0,39.75,39.75,39.75,0.0,0.0,39.75,39.75,39.75,0.0,0.0
2018-11-11,40.0,40.0,40.0,0.0,0.0,40.01,40.01,40.01,0.0,0.0,39.72,39.72,39.72,0.0,0.0,39.81,39.81,39.81,0.0,0.0
2018-11-18,39.7,39.7,39.7,0.0,0.0,39.71,39.71,39.71,0.0,0.0,39.62,39.62,39.62,0.0,0.0,39.68,39.68,39.68,0.0,0.0
2018-11-25,40.02,40.02,40.02,0.0,0.0,40.03,40.03,40.03,0.0,0.0,39.86,39.86,39.86,0.0,0.0,39.98,39.98,39.98,0.0,0.0
2018-12-02,38.72,38.72,38.72,0.0,0.0,38.72,38.72,38.72,0.0,0.0,38.37,38.37,38.37,0.0,0.0,38.62,38.62,38.62,0.0,0.0
2018-12-09,38.91,38.91,38.91,0.0,0.0,38.91,38.91,38.91,0.0,0.0,38.47,38.47,38.47,0.0,0.0,38.55,38.55,38.55,0.0,0.0
2018-12-16,37.36,37.36,37.36,0.0,0.0,37.37,37.37,37.37,0.0,0.0,36.88,36.88,36.88,0.0,0.0,36.91,36.91,36.91,0.0,0.0
2018-12-23,38.09,38.09,38.09,0.0,0.0,38.09,38.09,38.09,0.0,0.0,37.71,37.71,37.71,0.0,0.0,37.9,37.9,37.9,0.0,0.0
2018-12-30,38.62,38.62,38.62,0.0,0.0,38.89,38.89,38.89,0.0,0.0,38.62,38.62,38.62,0.0,0.0,38.79,38.79,38.79,0.0,0.0
2019-01-06,38.88,38.88,38.88,0.0,0.0,39.03,39.03,39.03,0.0,0.0,38.88,38.88,38.88,0.0,0.0,38.96,38.96,38.96,0.0,0.0
2019-01-13,39.58,39.58,39.58,0.0,0.0,39.72,39.72,39.72,0.0,0.0,39.55,39.55,39.55,0.0,0.0,39.7,39.7,39.7,0.0,0.0
2019-01-20,39.37,39.37,39.37,0.0,0.0,39.57,39.57,39.57,0.0,0.0,39.37,39.37,39.37,0.0,0.0,39.54,39.54,39.54,0.0,0.0
2019-01-27,40.13,40.13,40.13,0.0,0.0,40.34,40.34,40.34,0.0,0.0,40.09,40.09,40.09,0.0,0.0,40.31,40.31,40.31,0.0,0.0
2019-02-03,39.64,39.64,39.64,0.0,0.0,39.71,39.71,39.71,0.0,0.0,39.62,39.62,39.62,0.0,0.0,39.68,39.68,39.68,0.0,0.0
2019-02-10,40.36,40.36,40.36,0.0,0.0,40.55,40.55,40.55,0.0,0.0,40.36,40.36,40.36,0.0,0.0,40.55,40.55,40.55,0.0,0.0
2019-02-17,40.97,40.97,40.97,0.0,0.0,40.98,40.98,40.98,0.0,0.0,40.82,40.82,40.82,0.0,0.0,40.82,40.82,40.82,0.0,0.0
2019-02-24,40.85,40.85,40.85,0.0,0.0,40.85,40.85,40.85,0.0,0.0,40.59,40.59,40.59,0.0,0.0,40.64,40.64,40.64,0.0,0.0
2019-03-03,40.63,40.63,40.63,0.0,0.0,40.87,40.87,40.87,0.0,0.0,40.6,40.6,40.6,0.0,0.0,40.87,40.87,40.87,0.0,0.0
2019-03-10,41.71,41.71,41.71,0.0,0.0,41.9,41.9,41.9,0.0,0.0,41.71,41.71,41.71,0.0,0.0,41.89,41.89,41.89,0.0,0.0
2019-03-17,41.28,41.28,41.28,0.0,0.0,41.38,41.38,41.38,0.0,0.0,41.24,41.24,41.24,0.0,0.0,41.35,41.35,41.35,0.0,0.0
2019-03-24,41.5,41.5,41.5,0.0,0.0,41.52,41.52,41.52,0.0,0.0,41.44,41.44,41.44,0.0,0.0,41.52,41.52,41.52,0.0,0.0
2019-03-31,41.85,41.85,41.85,0.0,0.0,41.85,41.85,41.85,0.0,0.0,41.78,41.78,41.78,0.0,0.0,41.85,41.85,41.85,0.0,0.0
2019-04-07,41.71,41.71,41.71,0.0,0.0,41.74,41.74,41.74,0.0,0.0,41.66,41.66,41.66,0.0,0.0,41.7,41.7,41.7,0.0,0.0
2019-04-14,41.54,41.54,41.54,0.0,0.0,41.65,41.65,41.65,0.0,0.0,41.53,41.53,41.53,0.0,0.0,41.62,41.62,41.62,0.0,0.0
2019-04-21,41.21,41.21,41.21,0.0,0.0,41.31,41.31,41.31,0.0,0.0,41.21,41.21,41.21,0.0,0.0,41.3,41.3,41.3,0.0,0.0
2019-04-28,40.5,40.5,40.5,0.0,0.0,41.04,41.04,41.04,0.0,0.0,40.5,40.5,40.5,0.0,0.0,41.04,41.04,41.04,0.0,0.0
2019-05-05,40.0,40.0,40.0,0.0,0.0,40.03,40.03,40.03,0.0,0.0,39.81,39.81,39.81,0.0,0.0,39.91,39.91,39.91,0.0,0.0
2019-05-12,40.24,40.24,40.24,0.0,0.0,40.4,40.4,40.4,0.0,0.0,40.21,40.21,40.21,0.0,0.0,40.31,40.31,40.31,0.0,0.0
2019-05-19,40.25,40.25,40.25,0.0,0.0,40.3,40.3,40.3,0.0,0.0,40.16,40.16,40.16,0.0,0.0,40.3,40.3,40.3,0.0,0.0
2019-05-26,39.6,39.6,39.6,0.0,0.0,39.77,39.77,39.77,0.0,0.0,39.56,39.56,39.56,0.0,0.0,39.77,39.77,39.77,0.0,0.0
2019-06-02,41.04,41.04,41.04,0.0,0.0,41.1,41.1,41.1,0.0,0.0,41.01,41.01,41.01,0.0,0.0,41.02,41.02,41.02,0.0,0.0
2019-06-09,40.61,40.61,40.61,0.0,0.0,40.66,40.66,40.66,0.0,0.0,40.59,40.59,40.59,0.0,0.0,40.59,40.59,40.59,0.0,0.0
2019-06-16,40.92,40.92,40.92,0.0,0.0,40.98,40.98,40.98,0.0,0.0,40.91,40.91,40.91,0.0,0.0,40.93,40.93,40.93,0.0,0.0
2019-06-23,41.54,41.54,41.54,0.0,0.0,41.54,41.54,41.54,0.0,0.0,41.22,41.22,41.22,0.0,0.0,41.3,41.3,41.3,0.0,0.0
2019-06-30,41.12,41.12,41.12,0.0,0.0,41.13,41.13,41.13,0.0,0.0,41.11,41.11,41.11,0.0,0.0,41.11,41.11,41.11,0.0,0.0
2019-07-07,41.18,41.18,41.18,0.0,0.0,41.2,41.2,41.2,0.0,0.0,41.14,41.14,41.14,0.0,0.0,41.16,41.16,41.16,0.0,0.0
2019-07-14,40.94,40.94,40.94,0.0,0.0,40.98,40.98,40.98,0.0,0.0,40.92,40.92,40.92,0.0,0.0,40.93,40.93,40.93,0.0,0.0
2019-07-21,41.08,41.08,41.08,0.0,0.0,41.08,41.08,41.08,0.0,0.0,41.04,41.04,41.04,0.0,0.0,41.06,41.06,41.06,0.0,0.0
2019-07-28,39.2,39.2,39.2,0.0,0.0,39.2,39.2,39.2,0.0,0.0,38.83,38.83,38.83,0.0,0.0,38.96,38.96,38.96,0.0,0.0
2019-08-04,39.3,39.3,39.3,0.0,0.0,39.3,39.3,39.3,0.0,0.0,39.08,39.08,39.08,0.0,0.0,39.14,39.14,39.14,0.0,0.0
2019-08-11,39.19,39.19,39.19,0.0,0.0,39.23,39.23,39.23,0.0,0.0,39.14,39.14,39.14,0.0,0.0,39.16,39.16,39.16,0.0,0.0
2019-08-18,39.0,39.0,39.0,0.0,0.0,39.03,39.03,39.03,0.0,0.0,38.85,38.85,38.85,0.0,0.0,38.93,38.93,38.93,0.0,0.0
2019-08-25,39.78,39.78,39.78,0.0,0.0,39.79,39.79,39.79,0.0,0.0,39.53,39.53,39.53,0.0,0.0,39.67,39.67,39.67,0.0,0.0
2019-09-01,40.51,40.51,40.51,0.0,0.0,40.54,40.54,40.54,0.0,0.0,40.46,40.46,40.46,0.0,0.0,40.5,40.5,40.5,0.0,0.0
2019-09-08,41.35,41.35,41.35,0.0,0.0,41.38,41.38,41.38,0.0,0.0,41.28,41.28,41.28,0.0,0.0,41.28,41.28,41.28,0.0,0.0
2019-09-15,41.07,41.07,41.07,0.0,0.0,41.19,41.19,41.19,0.0,0.0,41.01,41.01,41.01,0.0,0.0,41.16,41.16,41.16,0.0,0.0
2019-09-22,40.27,40.27,40.27,0.0,0.0,40.44,40.44,40.44,0.0,0.0,40.27,40.27,40.27,0.0,0.0,40.38,40.38,40.38,0.0,0.0
2019-09-29,39.81,39.81,39.81,0.0,0.0,39.97,39.97,39.97,0.0,0.0,39.8,39.8,39.8,0.0,0.0,39.8,39.8,39.8,0.0,0.0
2019-10-06,40.63,40.63,40.63,0.0,0.0,40.75,40.75,40.75,0.0,0.0,40.63,40.63,40.63,0.0,0.0,40.67,40.67,40.67,0.0,0.0
2019-10-13,41.42,41.42,41.42,0.0,0.0,41.51,41.51,41.51,0.0,0.0,41.39,41.39,41.39,0.0,0.0,41.43,41.43,41.43,0.0,0.0
2019-10-20,41.8,41.8,41.8,0.0,0.0,41.83,41.83,41.83,0.0,0.0,41.74,41.74,41.74,0.0,0.0,41.78,41.78,41.78,0.0,0.0
2019-10-27,42.31,42.31,42.31,0.0,0.0,42.35,42.35,42.35,0.0,0.0,42.19,42.19,42.19,0.0,0.0,42.23,42.23,42.23,0.0,0.0
2019-11-03,41.9,41.9,41.9,0.0,0.0,42.09,42.09,42.09,0.0,0.0,41.9,41.9,41.9,0.0,0.0,42.07,42.07,42.07,0.0,0.0
2019-11-10,42.02,42.02,42.02,0.0,0.0,42.15,42.15,42.15,0.0,0.0,42.02,42.02,42.02,0.0,0.0,42.12,42.12,42.12,0.0,0.0
2019-11-17,42.05,42.05,42.05,0.0,0.0,42.08,42.08,42.08,0.0,0.0,42.03,42.03,42.03,0.0,0.0,42.08,42.08,42.08,0.0,0.0
2019-11-24,41.8,41.8,41.8,0.0,0.0,41.8,41.8,41.8,0.0,0.0,41.44,41.44,41.44,0.0,0.0,41.56,41.56,41.56,0.0,0.0
2019-12-01,41.96,41.96,41.96,0.0,0.0,42.07,42.07,42.07,0.0,0.0,41.92,41.92,41.92,0.0,0.0,41.92,41.92,41.92,0.0,0.0
2019-12-08,43.22,43.22,43.22,0.0,0.0,43.32,43.32,43.32,0.0,0.0,43.22,43.22,43.22,0.0,0.0,43.26,43.26,43.26,0.0,0.0
2019-12-15,42.48,42.48,42.48,0.0,0.0,42.61,42.61,42.61,0.0,0.0,42.48,42.48,42.48,0.0,0.0,42.6,42.6,42.6,0.0,0.0
2019-12-22,42.8,42.8,42.8,0.0,0.0,42.8,42.8,42.8,0.0,0.0,42.48,42.48,42.48,0.0,0.0,42.48,42.48,42.48,0.0,0.0
2019-12-29,42.63,42.63,42.63,0.0,0.0,42.74,42.74,42.74,0.0,0.0,42.53,42.53,42.53,0.0,0.0,42.53,42.53,42.53,0.0,0.0
