Date,iShares Intermediate Credit Bond_Open_average,iShares Intermediate Credit Bond_Open_max,iShares Intermediate Credit Bond_Open_min,iShares Intermediate Credit Bond_Open_volatility,iShares Intermediate Credit Bond_Open_change,iShares Intermediate Credit Bond_High_average,iShares Intermediate Credit Bond_High_max,iShares Intermediate Credit Bond_High_min,iShares Intermediate Credit Bond_High_volatility,iShares Intermediate Credit Bond_High_change,iShares Intermediate Credit Bond_Low_average,iShares Intermediate Credit Bond_Low_max,iShares Intermediate Credit Bond_Low_min,iShares Intermediate Credit Bond_Low_volatility,iShares Intermediate Credit Bond_Low_change,iShares Intermediate Credit Bond_Close_average,iShares Intermediate Credit Bond_Close_max,iShares Intermediate Credit Bond_Close_min,iShares Intermediate Credit Bond_Close_volatility,iShares Intermediate Credit Bond_Close_change
2018-06-17,53.06,53.06,53.06,0.0,0.0,53.1,53.1,53.1,0.0,0.0,52.99,52.99,52.99,0.0,0.0,53.02,53.02,53.02,0.0,0.0
2018-06-24,53.02,53.02,53.02,0.0,0.0,53.04,53.04,53.04,0.0,0.0,52.95,52.95,52.95,0.0,0.0,52.99,52.99,52.99,0.0,0.0
2018-07-01,53.14,53.14,53.14,0.0,0.0,53.16,53.16,53.16,0.0,0.0,53.12,53.12,53.12,0.0,0.0,53.14,53.14,53.14,0.0,0.0
2018-07-08,53.24,53.24,53.24,0.0,0.0,53.24,53.24,53.24,0.0,0.0,53.17,53.17,53.17,0.0,0.0,53.23,53.23,53.23,0.0,0.0
2018-07-15,53.24,53.24,53.24,0.0,0.0,53.24,53.24,53.24,0.0,0.0,53.14,53.14,53.14,0.0,0.0,53.16,53.16,53.16,0.0,0.0
2018-07-22,53.28,53.28,53.28,0.0,0.0,53.3,53.3,53.3,0.0,0.0,53.26,53.26,53.26,0.0,0.0,53.26,53.26,53.26,0.0,0.0
2018-07-29,53.3,53.3,53.3,0.0,0.0,53.38,53.38,53.38,0.0,0.0,53.28,53.28,53.28,0.0,0.0,53.28,53.28,53.28,0.0,0.0
2018-08-05,53.27,53.27,53.27,0.0,0.0,53.33,53.33,53.33,0.0,0.0,53.22,53.22,53.22,0.0,0.0,53.29,53.29,53.29,0.0,0.0
2018-08-12,53.53,53.53,53.53,0.0,0.0,53.61,53.61,53.61,0.0,0.0,53.53,53.53,53.53,0.0,0.0,53.56,53.56,53.56,0.0,0.0
2018-08-19,53.55,53.55,53.55,0.0,0.0,53.56,53.56,53.56,0.0,0.0,53.52,53.52,53.52,0.0,0.0,53.54,53.54,53.54,0.0,0.0
2018-08-26,53.49,53.49,53.49,0.0,0.0,53.53,53.53,53.53,0.0,0.0,53.44,53.44,53.44,0.0,0.0,53.44,53.44,53.44,0.0,0.0
2018-09-02,53.13,53.13,53.13,0.0,0.0,53.19,53.19,53.19,0.0,0.0,53.13,53.13,53.13,0.0,0.0,53.18,53.18,53.18,0.0,0.0
2018-09-09,53.12,53.12,53.12,0.0,0.0,53.18,53.18,53.18,0.0,0.0,53.1,53.1,53.1,0.0,0.0,53.15,53.15,53.15,0.0,0.0
2018-09-16,52.91,52.91,52.91,0.0,0.0,52.98,52.98,52.98,0.0,0.0,52.89,52.89,52.89,0.0,0.0,52.91,52.91,52.91,0.0,0.0
2018-09-23,52.92,52.92,52.92,0.0,0.0,52.95,52.95,52.95,0.0,0.0,52.86,52.86,52.86,0.0,0.0,52.86,52.86,52.86,0.0,0.0
2018-09-30,52.46,52.46,52.46,0.0,0.0,52.5,52.5,52.5,0.0,0.0,52.42,52.42,52.42,0.0,0.0,52.46,52.46,52.46,0.0,0.0
2018-10-07,52.55,52.55,52.55,0.0,0.0,52.6,52.6,52.6,0.0,0.0,52.51,52.51,52.51,0.0,0.0,52.6,52.6,52.6,0.0,0.0
2018-10-14,52.47,52.47,52.47,0.0,0.0,52.48,52.48,52.48,0.0,0.0,52.38,52.38,52.38,0.0,0.0,52.41,52.41,52.41,0.0,0.0
2018-10-21,52.58,52.58,52.58,0.0,0.0,52.61,52.61,52.61,0.0,0.0,52.5,52.5,52.5,0.0,0.0,52.59,52.59,52.59,0.0,0.0
2018-10-28,52.2,52.2,52.2,0.0,0.0,52.22,52.22,52.22,0.0,0.0,52.15,52.15,52.15,0.0,0.0,52.18,52.18,52.18,0.0,0.0
2018-11-04,52.27,52.27,52.27,0.0,0.0,52.29,52.29,52.29,0.0,0.0,52.19,52.19,52.19,0.0,0.0,52.22,52.22,52.22,0.0,0.0
2018-11-11,52.15,52.15,52.15,0.0,0.0,52.19,52.19,52.19,0.0,0.0,52.11,52.11,52.11,0.0,0.0,52.17,52.17,52.17,0.0,0.0
2018-11-18,52.09,52.09,52.09,0.0,0.0,52.15,52.15,52.15,0.0,0.0,52.09,52.09,52.09,0.0,0.0,52.11,52.11,52.11,0.0,0.0
2018-11-25,52.02,52.02,52.02,0.0,0.0,52.1,52.1,52.1,0.0,0.0,52.01,52.01,52.01,0.0,0.0,52.08,52.08,52.08,0.0,0.0
2018-12-02,52.21,52.21,52.21,0.0,0.0,52.23,52.23,52.23,0.0,0.0,52.1,52.1,52.1,0.0,0.0,52.19,52.19,52.19,0.0,0.0
2018-12-09,52.33,52.33,52.33,0.0,0.0,52.39,52.39,52.39,0.0,0.0,52.32,52.32,52.32,0.0,0.0,52.38,52.38,52.38,0.0,0.0
2018-12-16,52.22,52.22,52.22,0.0,0.0,52.26,52.26,52.26,0.0,0.0,52.1,52.1,52.1,0.0,0.0,52.12,52.12,52.12,0.0,0.0
2018-12-23,52.33,52.33,52.33,0.0,0.0,52.49,52.49,52.49,0.0,0.0,52.3,52.3,52.3,0.0,0.0,52.42,52.42,52.42,0.0,0.0
2018-12-30,52.61,52.61,52.61,0.0,0.0,52.64,52.64,52.64,0.0,0.0,52.5,52.5,52.5,0.0,0.0,52.5,52.5,52.5,0.0,0.0
2019-01-06,52.84,52.84,52.84,0.0,0.0,52.87,52.87,52.87,0.0,0.0,52.8,52.8,52.8,0.0,0.0,52.81,52.81,52.81,0.0,0.0
2019-01-13,53.0,53.0,53.0,0.0,0.0,53.07,53.07,53.07,0.0,0.0,52.96,52.96,52.96,0.0,0.0,53.03,53.03,53.03,0.0,0.0
2019-01-20,53.37,53.37,53.37,0.0,0.0,53.42,53.42,53.42,0.0,0.0,53.33,53.33,53.33,0.0,0.0,53.4,53.4,53.4,0.0,0.0
2019-01-27,53.56,53.56,53.56,0.0,0.0,53.66,53.66,53.66,0.0,0.0,53.53,53.53,53.53,0.0,0.0,53.6,53.6,53.6,0.0,0.0
2019-02-03,53.79,53.79,53.79,0.0,0.0,53.81,53.81,53.81,0.0,0.0,53.76,53.76,53.76,0.0,0.0,53.79,53.79,53.79,0.0,0.0
2019-02-10,53.81,53.81,53.81,0.0,0.0,53.87,53.87,53.87,0.0,0.0,53.81,53.81,53.81,0.0,0.0,53.85,53.85,53.85,0.0,0.0
2019-02-17,53.94,53.94,53.94,0.0,0.0,54.0,54.0,54.0,0.0,0.0,53.94,53.94,53.94,0.0,0.0,53.96,53.96,53.96,0.0,0.0
2019-02-24,53.81,53.81,53.81,0.0,0.0,53.84,53.84,53.84,0.0,0.0,53.77,53.77,53.77,0.0,0.0,53.82,53.82,53.82,0.0,0.0
2019-03-03,54.06,54.06,54.06,0.0,0.0,54.12,54.12,54.12,0.0,0.0,54.05,54.05,54.05,0.0,0.0,54.12,54.12,54.12,0.0,0.0
2019-03-10,54.36,54.36,54.36,0.0,0.0,54.37,54.37,54.37,0.0,0.0,54.32,54.32,54.32,0.0,0.0,54.36,54.36,54.36,0.0,0.0
2019-03-17,54.94,54.94,54.94,0.0,0.0,55.12,55.12,55.12,0.0,0.0,54.89,54.89,54.89,0.0,0.0,55.0,55.0,55.0,0.0,0.0
2019-03-24,54.88,54.88,54.88,0.0,0.0,54.88,54.88,54.88,0.0,0.0,54.66,54.66,54.66,0.0,0.0,54.67,54.67,54.67,0.0,0.0
2019-03-31,54.84,54.84,54.84,0.0,0.0,54.84,54.84,54.84,0.0,0.0,54.78,54.78,54.78,0.0,0.0,54.78,54.78,54.78,0.0,0.0
2019-04-07,55.01,55.01,55.01,0.0,0.0,55.01,55.01,55.01,0.0,0.0,54.96,54.96,54.96,0.0,0.0,55.01,55.01,55.01,0.0,0.0
2019-04-14,54.89,54.89,54.89,0.0,0.0,54.9,54.9,54.9,0.0,0.0,54.8,54.8,54.8,0.0,0.0,54.84,54.84,54.84,0.0,0.0
2019-04-21,55.2,55.2,55.2,0.0,0.0,55.22,55.22,55.22,0.0,0.0,55.13,55.13,55.13,0.0,0.0,55.16,55.16,55.16,0.0,0.0
2019-04-28,55.04,55.04,55.04,0.0,0.0,55.12,55.12,55.12,0.0,0.0,55.02,55.02,55.02,0.0,0.0,55.06,55.06,55.06,0.0,0.0
2019-05-05,55.15,55.15,55.15,0.0,0.0,55.24,55.24,55.24,0.0,0.0,55.14,55.14,55.14,0.0,0.0,55.19,55.19,55.19,0.0,0.0
2019-05-12,55.21,55.21,55.21,0.0,0.0,55.25,55.25,55.25,0.0,0.0,55.12,55.12,55.12,0.0,0.0,55.15,55.15,55.15,0.0,0.0
2019-05-19,55.38,55.38,55.38,0.0,0.0,55.42,55.42,55.42,0.0,0.0,55.33,55.33,55.33,0.0,0.0,55.42,55.42,55.42,0.0,0.0
2019-05-26,55.69,55.69,55.69,0.0,0.0,55.85,55.85,55.85,0.0,0.0,55.65,55.65,55.65,0.0,0.0,55.83,55.83,55.83,0.0,0.0
2019-06-02,56.01,56.01,56.01,0.0,0.0,56.02,56.02,56.02,0.0,0.0,55.93,55.93,55.93,0.0,0.0,55.95,55.95,55.95,0.0,0.0
2019-06-09,56.13,56.13,56.13,0.0,0.0,56.16,56.16,56.16,0.0,0.0,56.08,56.08,56.08,0.0,0.0,56.13,56.13,56.13,0.0,0.0
2019-06-16,56.8,56.8,56.8,0.0,0.0,56.89,56.89,56.89,0.0,0.0,56.78,56.78,56.78,0.0,0.0,56.84,56.84,56.84,0.0,0.0
2019-06-23,56.9,56.9,56.9,0.0,0.0,56.95,56.95,56.95,0.0,0.0,56.75,56.75,56.75,0.0,0.0,56.84,56.84,56.84,0.0,0.0
2019-06-30,56.78,56.78,56.78,0.0,0.0,56.81,56.81,56.81,0.0,0.0,56.66,56.66,56.66,0.0,0.0,56.7,56.7,56.7,0.0,0.0
2019-07-07,56.62,56.62,56.62,0.0,0.0,56.66,56.66,56.66,0.0,0.0,56.59,56.59,56.59,0.0,0.0,56.62,56.62,56.62,0.0,0.0
2019-07-14,56.9,56.9,56.9,0.0,0.0,56.93,56.93,56.93,0.0,0.0,56.87,56.87,56.87,0.0,0.0,56.9,56.9,56.9,0.0,0.0
2019-07-21,57.0,57.0,57.0,0.0,0.0,57.03,57.03,57.03,0.0,0.0,56.95,56.95,56.95,0.0,0.0,56.98,56.98,56.98,0.0,0.0
2019-07-28,57.42,57.42,57.42,0.0,0.0,57.49,57.49,57.49,0.0,0.0,57.38,57.38,57.38,0.0,0.0,57.44,57.44,57.44,0.0,0.0
2019-08-04,57.59,57.59,57.59,0.0,0.0,57.72,57.72,57.72,0.0,0.0,57.56,57.56,57.56,0.0,0.0,57.67,57.67,57.67,0.0,0.0
2019-08-11,57.81,57.81,57.81,0.0,0.0,57.92,57.92,57.92,0.0,0.0,57.8,57.8,57.8,0.0,0.0,57.86,57.86,57.86,0.0,0.0
2019-08-18,58.23,58.23,58.23,0.0,0.0,58.3,58.3,58.3,0.0,0.0,58.16,58.16,58.16,0.0,0.0,58.23,58.23,58.23,0.0,0.0
2019-08-25,58.3,58.3,58.3,0.0,0.0,58.35,58.35,58.35,0.0,0.0,58.23,58.23,58.23,0.0,0.0,58.29,58.29,58.29,0.0,0.0
2019-09-01,57.97,57.97,57.97,0.0,0.0,57.97,57.97,57.97,0.0,0.0,57.87,57.87,57.87,0.0,0.0,57.87,57.87,57.87,0.0,0.0
2019-09-08,57.21,57.21,57.21,0.0,0.0,57.29,57.29,57.29,0.0,0.0,57.15,57.15,57.15,0.0,0.0,57.28,57.28,57.28,0.0,0.0
2019-09-15,57.83,57.83,57.83,0.0,0.0,57.91,57.91,57.91,0.0,0.0,57.77,57.77,57.77,0.0,0.0,57.81,57.81,57.81,0.0,0.0
2019-09-22,57.78,57.78,57.78,0.0,0.0,57.93,57.93,57.93,0.0,0.0,57.76,57.76,57.76,0.0,0.0,57.92,57.92,57.92,0.0,0.0
2019-09-29,58.15,58.15,58.15,0.0,0.0,58.2,58.2,58.2,0.0,0.0,58.08,58.08,58.08,0.0,0.0,58.1,58.1,58.1,0.0,0.0
2019-10-06,57.76,57.76,57.76,0.0,0.0,57.82,57.82,57.82,0.0,0.0,57.72,57.72,57.72,0.0,0.0,57.8,57.8,57.8,0.0,0.0
2019-10-13,57.79,57.79,57.79,0.0,0.0,57.85,57.85,57.85,0.0,0.0,57.77,57.77,57.77,0.0,0.0,57.79,57.79,57.79,0.0,0.0
2019-10-20,57.79,57.79,57.79,0.0,0.0,57.82,57.82,57.82,0.0,0.0,57.74,57.74,57.74,0.0,0.0,57.8,57.8,57.8,0.0,0.0
2019-10-27,57.89,57.89,57.89,0.0,0.0,57.89,57.89,57.89,0.0,0.0,57.81,57.81,57.81,0.0,0.0,57.83,57.83,57.83,0.0,0.0
2019-11-03,57.54,57.54,57.54,0.0,0.0,57.55,57.55,57.55,0.0,0.0,57.44,57.44,57.44,0.0,0.0,57.49,57.49,57.49,0.0,0.0
2019-11-10,57.86,57.86,57.86,0.0,0.0,57.89,57.89,57.89,0.0,0.0,57.83,57.83,57.83,0.0,0.0,57.86,57.86,57.86,0.0,0.0
2019-11-17,58.01,58.01,58.01,0.0,0.0,58.07,58.07,58.07,0.0,0.0,57.99,57.99,57.99,0.0,0.0,58.06,58.06,58.06,0.0,0.0
2019-11-24,57.71,57.71,57.71,0.0,0.0,57.76,57.76,57.76,0.0,0.0,57.64,57.64,57.64,0.0,0.0,57.74,57.74,57.74,0.0,0.0
2019-12-01,57.98,57.98,57.98,0.0,0.0,57.99,57.99,57.99,0.0,0.0,57.9,57.9,57.9,0.0,0.0,57.92,57.92,57.92,0.0,0.0
2019-12-08,58.04,58.04,58.04,0.0,0.0,58.04,58.04,58.04,0.0,0.0,57.94,57.94,57.94,0.0,0.0,57.97,57.97,57.97,0.0,0.0
2019-12-15,57.88,57.88,57.88,0.0,0.0,57.89,57.89,57.89,0.0,0.0,57.79,57.79,57.79,0.0,0.0,57.82,57.82,57.82,0.0,0.0
2019-12-22,57.94,57.94,57.94,0.0,0.0,58.12,58.12,58.12,0.0,0.0,57.9,57.9,57.9,0.0,0.0,58.1,58.1,58.1,0.0,0.0
2019-12-29,58.15,58.15,58.15,0.0,0.0,58.32,58.32,58.32,0.0,0.0,58.15,58.15,58.15,0.0,0.0,58.32,58.32,58.32,0.0,0.0
