Date,PowerShares KBW Bank Portfolio_Open_average,PowerShares KBW Bank Portfolio_Open_max,PowerShares KBW Bank Portfolio_Open_min,PowerShares KBW Bank Portfolio_Open_volatility,PowerShares KBW Bank Portfolio_Open_change,PowerShares KBW Bank Portfolio_High_average,PowerShares KBW Bank Portfolio_High_max,PowerShares KBW Bank Portfolio_High_min,PowerShares KBW Bank Portfolio_High_volatility,PowerShares KBW Bank Portfolio_High_change,PowerShares KBW Bank Portfolio_Low_average,PowerShares KBW Bank Portfolio_Low_max,PowerShares KBW Bank Portfolio_Low_min,PowerShares KBW Bank Portfolio_Low_volatility,PowerShares KBW Bank Portfolio_Low_change,PowerShares KBW Bank Portfolio_Close_average,PowerShares KBW Bank Portfolio_Close_max,PowerShares KBW Bank Portfolio_Close_min,PowerShares KBW Bank Portfolio_Close_volatility,PowerShares KBW Bank Portfolio_Close_change
2019-03-24,48.58,48.58,48.58,0.0,0.0,48.65,48.65,48.65,0.0,0.0,48.02,48.02,48.02,0.0,0.0,48.2,48.2,48.2,0.0,0.0
2019-03-31,50.53,50.53,50.53,0.0,0.0,50.65,50.65,50.65,0.0,0.0,50.06,50.06,50.06,0.0,0.0,50.32,50.32,50.32,0.0,0.0
2019-04-07,50.94,50.94,50.94,0.0,0.0,51.67,51.67,51.67,0.0,0.0,50.6,50.6,50.6,0.0,0.0,51.25,51.25,51.25,0.0,0.0
2019-04-14,51.22,51.22,51.22,0.0,0.0,51.63,51.63,51.63,0.0,0.0,51.04,51.04,51.04,0.0,0.0,51.33,51.33,51.33,0.0,0.0
2019-04-21,51.6,51.6,51.6,0.0,0.0,52.18,52.18,52.18,0.0,0.0,51.56,51.56,51.56,0.0,0.0,52.18,52.18,52.18,0.0,0.0
2019-04-28,52.7,52.7,52.7,0.0,0.0,53.07,53.07,53.07,0.0,0.0,52.62,52.62,52.62,0.0,0.0,52.93,52.93,52.93,0.0,0.0
2019-05-05,50.88,50.88,50.88,0.0,0.0,51.58,51.58,51.58,0.0,0.0,50.42,50.42,50.42,0.0,0.0,51.42,51.42,51.42,0.0,0.0
2019-05-12,49.5,49.5,49.5,0.0,0.0,50.32,50.32,50.32,0.0,0.0,49.5,49.5,49.5,0.0,0.0,49.7,49.7,49.7,0.0,0.0
2019-05-19,49.22,49.22,49.22,0.0,0.0,49.62,49.62,49.62,0.0,0.0,49.19,49.19,49.19,0.0,0.0,49.5,49.5,49.5,0.0,0.0
2019-05-26,47.54,47.54,47.54,0.0,0.0,47.87,47.87,47.87,0.0,0.0,47.41,47.41,47.41,0.0,0.0,47.44,47.44,47.44,0.0,0.0
2019-06-02,49.4,49.4,49.4,0.0,0.0,49.56,49.56,49.56,0.0,0.0,49.18,49.18,49.18,0.0,0.0,49.23,49.23,49.23,0.0,0.0
2019-06-09,49.64,49.64,49.64,0.0,0.0,49.98,49.98,49.98,0.0,0.0,49.2,49.2,49.2,0.0,0.0,49.81,49.81,49.81,0.0,0.0
2019-06-16,49.63,49.63,49.63,0.0,0.0,50.06,50.06,50.06,0.0,0.0,49.61,49.61,49.61,0.0,0.0,49.65,49.65,49.65,0.0,0.0
2019-06-23,50.19,50.19,50.19,0.0,0.0,50.62,50.62,50.62,0.0,0.0,49.85,49.85,49.85,0.0,0.0,50.46,50.46,50.46,0.0,0.0
2019-06-30,51.4,51.4,51.4,0.0,0.0,51.61,51.61,51.61,0.0,0.0,51.15,51.15,51.15,0.0,0.0,51.31,51.31,51.31,0.0,0.0
2019-07-07,51.13,51.13,51.13,0.0,0.0,51.28,51.28,51.28,0.0,0.0,50.93,50.93,50.93,0.0,0.0,51.24,51.24,51.24,0.0,0.0
2019-07-14,50.96,50.96,50.96,0.0,0.0,51.31,51.31,51.31,0.0,0.0,50.96,50.96,50.96,0.0,0.0,51.12,51.12,51.12,0.0,0.0
2019-07-21,52.51,52.51,52.51,0.0,0.0,53.22,53.22,53.22,0.0,0.0,52.46,52.46,52.46,0.0,0.0,53.16,53.16,53.16,0.0,0.0
2019-07-28,50.58,50.58,50.58,0.0,0.0,50.76,50.76,50.76,0.0,0.0,49.78,49.78,49.78,0.0,0.0,50.52,50.52,50.52,0.0,0.0
2019-08-04,48.79,48.79,48.79,0.0,0.0,49.1,49.1,49.1,0.0,0.0,48.33,48.33,48.33,0.0,0.0,48.81,48.81,48.81,0.0,0.0
2019-08-11,46.52,46.52,46.52,0.0,0.0,47.43,47.43,47.43,0.0,0.0,46.52,46.52,46.52,0.0,0.0,47.33,47.33,47.33,0.0,0.0
2019-08-18,47.37,47.37,47.37,0.0,0.0,47.77,47.77,47.77,0.0,0.0,46.01,46.01,46.01,0.0,0.0,46.29,46.29,46.29,0.0,0.0
2019-08-25,48.23,48.23,48.23,0.0,0.0,48.56,48.56,48.56,0.0,0.0,48.01,48.01,48.01,0.0,0.0,48.15,48.15,48.15,0.0,0.0
2019-09-01,49.14,49.14,49.14,0.0,0.0,49.26,49.26,49.26,0.0,0.0,48.79,48.79,48.79,0.0,0.0,48.98,48.98,48.98,0.0,0.0
2019-09-08,52.66,52.66,52.66,0.0,0.0,53.1,53.1,53.1,0.0,0.0,52.44,52.44,52.44,0.0,0.0,52.78,52.78,52.78,0.0,0.0
2019-09-15,52.45,52.45,52.45,0.0,0.0,52.67,52.67,52.67,0.0,0.0,51.98,51.98,51.98,0.0,0.0,51.98,51.98,51.98,0.0,0.0
2019-09-22,51.74,51.74,51.74,0.0,0.0,52.15,52.15,52.15,0.0,0.0,51.34,51.34,51.34,0.0,0.0,51.58,51.58,51.58,0.0,0.0
2019-09-29,49.42,49.42,49.42,0.0,0.0,50.13,50.13,50.13,0.0,0.0,49.2,49.2,49.2,0.0,0.0,50.1,50.1,50.1,0.0,0.0
2019-10-06,50.71,50.71,50.71,0.0,0.0,51.42,51.42,51.42,0.0,0.0,50.71,50.71,50.71,0.0,0.0,50.76,50.76,50.76,0.0,0.0
2019-10-13,51.47,51.47,51.47,0.0,0.0,52.25,52.25,52.25,0.0,0.0,51.47,51.47,51.47,0.0,0.0,52.02,52.02,52.02,0.0,0.0
2019-10-20,53.27,53.27,53.27,0.0,0.0,54.14,54.14,54.14,0.0,0.0,53.27,53.27,53.27,0.0,0.0,53.97,53.97,53.97,0.0,0.0
2019-10-27,54.06,54.06,54.06,0.0,0.0,54.6,54.6,54.6,0.0,0.0,54.0,54.0,54.0,0.0,0.0,54.58,54.58,54.58,0.0,0.0
2019-11-03,56.46,56.46,56.46,0.0,0.0,56.74,56.74,56.74,0.0,0.0,56.2,56.2,56.2,0.0,0.0,56.66,56.66,56.66,0.0,0.0
2019-11-10,55.99,55.99,55.99,0.0,0.0,56.05,56.05,56.05,0.0,0.0,55.74,55.74,55.74,0.0,0.0,56.0,56.0,56.0,0.0,0.0
2019-11-17,56.07,56.07,56.07,0.0,0.0,56.6,56.6,56.6,0.0,0.0,56.07,56.07,56.07,0.0,0.0,56.45,56.45,56.45,0.0,0.0
2019-11-24,56.78,56.78,56.78,0.0,0.0,56.98,56.98,56.98,0.0,0.0,56.64,56.64,56.64,0.0,0.0,56.75,56.75,56.75,0.0,0.0
2019-12-01,57.37,57.37,57.37,0.0,0.0,57.55,57.55,57.55,0.0,0.0,57.28,57.28,57.28,0.0,0.0,57.35,57.35,57.35,0.0,0.0
2019-12-08,58.74,58.74,58.74,0.0,0.0,59.14,59.14,59.14,0.0,0.0,58.09,58.09,58.09,0.0,0.0,58.31,58.31,58.31,0.0,0.0
2019-12-15,58.76,58.76,58.76,0.0,0.0,59.01,59.01,59.01,0.0,0.0,58.43,58.43,58.43,0.0,0.0,58.52,58.52,58.52,0.0,0.0
2019-12-22,58.61,58.61,58.61,0.0,0.0,58.64,58.64,58.64,0.0,0.0,58.23,58.23,58.23,0.0,0.0,58.27,58.27,58.27,0.0,0.0
2019-12-29,57.81,57.81,57.81,0.0,0.0,58.13,58.13,58.13,0.0,0.0,57.5,57.5,57.5,0.0,0.0,57.89,57.89,57.89,0.0,0.0
