Date,NICK_Open_average,NICK_Open_max,NICK_Open_min,NICK_Open_volatility,NICK_Open_change,NICK_High_average,NICK_High_max,NICK_High_min,NICK_High_volatility,NICK_High_change,NICK_Low_average,NICK_Low_max,NICK_Low_min,NICK_Low_volatility,NICK_Low_change,NICK_Close_average,NICK_Close_max,NICK_Close_min,NICK_Close_volatility,NICK_Close_change,NICK_Volume_average,NICK_Volume_max,NICK_Volume_min,NICK_Volume_volatility,NICK_Volume_change
2019-02-17,10.182,10.3,10.01,0.2900000000000009,0.21000000000000085,10.370000000000001,10.56,10.22,0.33999999999999986,-0.25,10.06,10.23,9.76,0.47000000000000064,0.16999999999999993,10.166,10.23,10.03,0.20000000000000107,0.05000000000000071,9941,21974,1158,20816,-9447
2019-02-24,10.36,10.46,10.17,0.2900000000000009,0.27999999999999936,10.423333333333334,10.48,10.33,0.15000000000000036,0.15000000000000036,10.21,10.46,10.03,0.4300000000000015,0.11000000000000121,10.213333333333333,10.46,10.03,0.4300000000000015,0.120000000000001,958,2032,222,1810,1410
2019-03-03,9.885,10.31,9.21,1.0999999999999996,-1.0999999999999996,10.11,10.31,9.83,0.4800000000000004,-0.4800000000000004,9.6325,10.0,9.21,0.7899999999999991,-0.7899999999999991,9.717500000000001,10.0,9.46,0.5399999999999991,-0.5399999999999991,5262,7713,2826,4887,4815
2019-03-10,9.59,9.73,9.5,0.23000000000000043,0.23000000000000043,9.628,9.78,9.5,0.27999999999999936,0.2400000000000002,9.482,9.52,9.41,0.10999999999999943,-0.08999999999999986,9.6,9.74,9.5,0.2400000000000002,0.2400000000000002,978,2359,0,2359,1062
2019-03-17,9.2275,9.72,8.57,1.1500000000000004,-1.1500000000000004,9.29,9.72,8.8,0.9199999999999999,-0.9199999999999999,8.9725,9.42,8.49,0.9299999999999997,-0.8399999999999999,9.094999999999999,9.44,8.7,0.7400000000000002,-0.6399999999999988,6318,15086,531,14555,14288
2019-03-24,8.892,9.06,8.75,0.3100000000000005,0.25,9.262,9.53,8.8,0.7299999999999986,0.33000000000000007,8.838000000000001,8.91,8.75,0.16000000000000014,0.16000000000000014,8.926,9.0,8.75,0.25,0.21000000000000085,10782,22485,641,21844,3539
2019-03-31,9.208,9.4,9.07,0.33000000000000007,0.07000000000000028,9.54,9.94,9.23,0.7099999999999991,0.2699999999999996,9.14,9.4,8.85,0.5500000000000007,0.3100000000000005,9.376,9.53,9.0,0.5299999999999994,0.5,8246,21766,1050,20716,4237
2019-04-07,9.446,9.62,9.35,0.2699999999999996,-0.10999999999999943,9.61,9.75,9.37,0.3800000000000008,0.0,9.334,9.41,9.2,0.21000000000000085,-0.009999999999999787,9.426,9.75,9.24,0.5099999999999998,-0.3100000000000005,4319,13079,487,12592,1056
2019-04-14,9.217500000000001,9.35,9.07,0.27999999999999936,-0.25,9.47,9.56,9.35,0.21000000000000085,-0.09999999999999964,9.1275,9.27,9.04,0.23000000000000043,-0.1999999999999993,9.209999999999999,9.35,9.04,0.3100000000000005,-0.08999999999999986,3901,9361,420,8941,-4190
2019-04-21,9.014,9.11,8.89,0.21999999999999886,-0.129999999999999,9.236,9.41,9.02,0.39000000000000057,0.21000000000000085,8.952,9.08,8.8,0.27999999999999936,-0.09999999999999964,9.074,9.23,8.95,0.28000000000000114,0.2400000000000002,2922,5959,559,5400,-3155
2019-04-28,9.018,9.21,8.9,0.3100000000000005,0.26000000000000156,9.268,9.47,8.95,0.5200000000000014,0.45000000000000107,8.986,9.08,8.9,0.17999999999999972,0.10000000000000142,9.15,9.45,8.95,0.5,0.10000000000000142,1424,2904,204,2700,1125
2019-05-05,8.98,9.0,8.9,0.09999999999999964,-0.09999999999999964,9.082,9.31,9.0,0.3100000000000005,-0.3100000000000005,8.98,9.0,8.9,0.09999999999999964,-0.09999999999999964,9.02,9.1,9.0,0.09999999999999964,0.0,1148,2840,220,2620,1774
2019-05-12,8.896,8.97,8.75,0.22000000000000064,0.07000000000000028,8.976,9.3,8.75,0.5500000000000007,0.07000000000000028,8.684,8.76,8.51,0.25,0.0600000000000005,8.732,8.76,8.7,0.0600000000000005,0.0600000000000005,3074,7438,313,7125,-4270
2019-05-19,8.93,8.98,8.88,0.09999999999999964,-0.09999999999999964,8.9875,9.09,8.91,0.17999999999999972,0.10999999999999943,8.5275,8.8,8.01,0.7900000000000009,-0.7900000000000009,8.715,8.81,8.6,0.21000000000000085,-0.15000000000000036,3420,6273,793,5480,4721
2019-05-26,8.736,9.25,7.92,1.33,0.4499999999999993,9.284,9.75,9.08,0.6699999999999999,0.16000000000000014,8.576,9.07,7.92,1.1500000000000004,0.6400000000000006,9.108,9.25,9.06,0.1899999999999995,0.16000000000000014,8806,17006,1453,15553,-9689
2019-06-02,8.996,9.2,8.8,0.3999999999999986,0.1999999999999993,9.218,9.5,8.9,0.5999999999999996,0.3100000000000005,8.856,9.12,8.5,0.6199999999999992,-0.5,9.15,9.5,8.86,0.6400000000000006,0.3100000000000005,3769,5626,380,5246,-840
2019-06-09,9.064,9.27,8.8,0.46999999999999886,-0.2599999999999998,9.126,9.3,8.8,0.5,-0.26000000000000156,8.892,9.01,8.8,0.20999999999999908,0.009999999999999787,9.036,9.2,8.8,0.3999999999999986,0.03999999999999915,1448,3607,657,2950,219
2019-06-16,9.165,9.43,9.05,0.379999999999999,0.05999999999999872,9.2175,9.43,9.1,0.33000000000000007,0.009999999999999787,8.965,9.07,8.9,0.16999999999999993,-0.05000000000000071,9.0375,9.23,8.92,0.3100000000000005,-0.05000000000000071,25011,62948,1395,61553,-30712
2019-06-23,9.146,9.4,8.95,0.45000000000000107,0.4399999999999995,9.324,9.7,9.04,0.6600000000000001,0.3600000000000012,9.074,9.25,8.9,0.34999999999999964,0.25,9.192,9.4,9.0,0.40000000000000036,0.3800000000000008,26041,74906,7843,67063,-66806
2019-06-30,9.09,9.21,9.01,0.20000000000000107,0.08999999999999986,9.195,9.27,9.13,0.1399999999999988,-0.1399999999999988,9.0525,9.1,8.98,0.11999999999999922,0.10999999999999943,9.08,9.13,9.04,0.09000000000000163,0.09000000000000163,6090,11885,1448,10437,-6202
