Date,iShares North American Natural Resources_etf_Open_average,iShares North American Natural Resources_etf_Open_max,iShares North American Natural Resources_etf_Open_min,iShares North American Natural Resources_etf_Open_volatility,iShares North American Natural Resources_etf_Open_change,iShares North American Natural Resources_etf_High_average,iShares North American Natural Resources_etf_High_max,iShares North American Natural Resources_etf_High_min,iShares North American Natural Resources_etf_High_volatility,iShares North American Natural Resources_etf_High_change,iShares North American Natural Resources_etf_Low_average,iShares North American Natural Resources_etf_Low_max,iShares North American Natural Resources_etf_Low_min,iShares North American Natural Resources_etf_Low_volatility,iShares North American Natural Resources_etf_Low_change,iShares North American Natural Resources_etf_Close_average,iShares North American Natural Resources_etf_Close_max,iShares North American Natural Resources_etf_Close_min,iShares North American Natural Resources_etf_Close_volatility,iShares North American Natural Resources_etf_Close_change
2018-06-03,37.15,37.15,37.15,0.0,0.0,37.19,37.19,37.19,0.0,0.0,36.87,36.87,36.87,0.0,0.0,37.07,37.07,37.07,0.0,0.0
2018-06-10,36.49,36.49,36.49,0.0,0.0,36.49,36.49,36.49,0.0,0.0,35.96,35.96,35.96,0.0,0.0,36.0,36.0,36.0,0.0,0.0
2018-06-17,36.57,36.57,36.57,0.0,0.0,36.79,36.79,36.79,0.0,0.0,36.52,36.52,36.52,0.0,0.0,36.54,36.54,36.54,0.0,0.0
2018-06-24,36.73,36.73,36.73,0.0,0.0,37.13,37.13,37.13,0.0,0.0,36.71,36.71,36.71,0.0,0.0,36.86,36.86,36.86,0.0,0.0
2018-07-01,36.53,36.53,36.53,0.0,0.0,37.03,37.03,37.03,0.0,0.0,36.43,36.43,36.43,0.0,0.0,36.96,36.96,36.96,0.0,0.0
2018-07-08,36.86,36.86,36.86,0.0,0.0,37.23,37.23,37.23,0.0,0.0,36.86,36.86,36.86,0.0,0.0,37.08,37.08,37.08,0.0,0.0
2018-07-15,36.53,36.53,36.53,0.0,0.0,36.67,36.67,36.67,0.0,0.0,36.37,36.37,36.37,0.0,0.0,36.4,36.4,36.4,0.0,0.0
2018-07-22,36.85,36.85,36.85,0.0,0.0,37.16,37.16,37.16,0.0,0.0,36.79,36.79,36.79,0.0,0.0,36.92,36.92,36.92,0.0,0.0
2018-07-29,36.57,36.57,36.57,0.0,0.0,36.72,36.72,36.72,0.0,0.0,36.46,36.46,36.46,0.0,0.0,36.58,36.58,36.58,0.0,0.0
2018-08-05,36.23,36.23,36.23,0.0,0.0,36.39,36.39,36.39,0.0,0.0,36.16,36.16,36.16,0.0,0.0,36.35,36.35,36.35,0.0,0.0
2018-08-12,34.85,34.85,34.85,0.0,0.0,35.13,35.13,35.13,0.0,0.0,34.85,34.85,34.85,0.0,0.0,35.07,35.07,35.07,0.0,0.0
2018-08-19,36.01,36.01,36.01,0.0,0.0,36.16,36.16,36.16,0.0,0.0,35.94,35.94,35.94,0.0,0.0,35.98,35.98,35.98,0.0,0.0
2018-08-26,35.86,35.86,35.86,0.0,0.0,35.89,35.89,35.89,0.0,0.0,35.64,35.64,35.64,0.0,0.0,35.78,35.78,35.78,0.0,0.0
2018-09-02,34.54,34.54,34.54,0.0,0.0,34.67,34.67,34.67,0.0,0.0,34.3,34.3,34.3,0.0,0.0,34.66,34.66,34.66,0.0,0.0
2018-09-09,35.04,35.04,35.04,0.0,0.0,35.48,35.48,35.48,0.0,0.0,35.03,35.03,35.03,0.0,0.0,35.32,35.32,35.32,0.0,0.0
2018-09-16,35.82,35.82,35.82,0.0,0.0,36.13,36.13,36.13,0.0,0.0,35.82,35.82,35.82,0.0,0.0,35.97,35.97,35.97,0.0,0.0
2018-09-23,35.78,35.78,35.78,0.0,0.0,36.2,36.2,36.2,0.0,0.0,35.65,35.65,35.65,0.0,0.0,35.85,35.85,35.85,0.0,0.0
2018-09-30,36.37,36.37,36.37,0.0,0.0,36.51,36.51,36.51,0.0,0.0,36.18,36.18,36.18,0.0,0.0,36.38,36.38,36.38,0.0,0.0
2018-10-07,34.73,34.73,34.73,0.0,0.0,34.73,34.73,34.73,0.0,0.0,33.95,33.95,33.95,0.0,0.0,34.42,34.42,34.42,0.0,0.0
2018-10-14,33.94,33.94,33.94,0.0,0.0,34.23,34.23,34.23,0.0,0.0,33.71,33.71,33.71,0.0,0.0,33.73,33.73,33.73,0.0,0.0
2018-10-21,31.21,31.21,31.21,0.0,0.0,31.74,31.74,31.74,0.0,0.0,30.82,30.82,30.82,0.0,0.0,31.36,31.36,31.36,0.0,0.0
2018-10-28,32.34,32.34,32.34,0.0,0.0,32.38,32.38,32.38,0.0,0.0,31.55,31.55,31.55,0.0,0.0,31.82,31.82,31.82,0.0,0.0
2018-11-04,31.83,31.83,31.83,0.0,0.0,32.24,32.24,32.24,0.0,0.0,31.61,31.61,31.61,0.0,0.0,32.08,32.08,32.08,0.0,0.0
2018-11-11,31.46,31.46,31.46,0.0,0.0,31.72,31.72,31.72,0.0,0.0,31.32,31.32,31.32,0.0,0.0,31.63,31.63,31.63,0.0,0.0
2018-11-18,30.39,30.39,30.39,0.0,0.0,30.53,30.53,30.53,0.0,0.0,30.14,30.14,30.14,0.0,0.0,30.22,30.22,30.22,0.0,0.0
2018-11-25,30.77,30.77,30.77,0.0,0.0,31.01,31.01,31.01,0.0,0.0,30.59,30.59,30.59,0.0,0.0,30.91,30.91,30.91,0.0,0.0
2018-12-02,30.8,30.8,30.8,0.0,0.0,31.14,31.14,31.14,0.0,0.0,30.07,30.07,30.07,0.0,0.0,30.11,30.11,30.11,0.0,0.0
2018-12-09,29.71,29.71,29.71,0.0,0.0,29.71,29.71,29.71,0.0,0.0,29.05,29.05,29.05,0.0,0.0,29.13,29.13,29.13,0.0,0.0
2018-12-16,26.95,26.95,26.95,0.0,0.0,27.23,27.23,27.23,0.0,0.0,26.37,26.37,26.37,0.0,0.0,26.52,26.52,26.52,0.0,0.0
2018-12-23,27.29,27.29,27.29,0.0,0.0,27.42,27.42,27.42,0.0,0.0,26.87,26.87,26.87,0.0,0.0,26.98,26.98,26.98,0.0,0.0
2018-12-30,27.85,27.85,27.85,0.0,0.0,28.47,28.47,28.47,0.0,0.0,27.85,27.85,27.85,0.0,0.0,28.43,28.43,28.43,0.0,0.0
2019-01-06,29.59,29.59,29.59,0.0,0.0,29.75,29.75,29.75,0.0,0.0,29.39,29.39,29.39,0.0,0.0,29.62,29.62,29.62,0.0,0.0
2019-01-13,30.29,30.29,30.29,0.0,0.0,30.47,30.47,30.47,0.0,0.0,30.12,30.12,30.12,0.0,0.0,30.46,30.46,30.46,0.0,0.0
2019-01-20,29.88,29.88,29.88,0.0,0.0,30.31,30.31,30.31,0.0,0.0,29.86,29.86,29.86,0.0,0.0,30.18,30.18,30.18,0.0,0.0
2019-01-27,30.85,30.85,30.85,0.0,0.0,31.06,31.06,31.06,0.0,0.0,30.69,30.69,30.69,0.0,0.0,30.89,30.89,30.89,0.0,0.0
2019-02-03,30.13,30.13,30.13,0.0,0.0,30.17,30.17,30.17,0.0,0.0,29.6,29.6,29.6,0.0,0.0,30.02,30.02,30.02,0.0,0.0
2019-02-10,31.17,31.17,31.17,0.0,0.0,31.39,31.39,31.39,0.0,0.0,31.16,31.16,31.16,0.0,0.0,31.38,31.38,31.38,0.0,0.0
2019-02-17,31.5,31.5,31.5,0.0,0.0,31.6,31.6,31.6,0.0,0.0,31.36,31.36,31.36,0.0,0.0,31.44,31.44,31.44,0.0,0.0
2019-02-24,31.18,31.18,31.18,0.0,0.0,31.46,31.46,31.46,0.0,0.0,31.17,31.17,31.17,0.0,0.0,31.44,31.44,31.44,0.0,0.0
2019-03-03,30.42,30.42,30.42,0.0,0.0,30.42,30.42,30.42,0.0,0.0,30.02,30.02,30.02,0.0,0.0,30.26,30.26,30.26,0.0,0.0
2019-03-10,31.28,31.28,31.28,0.0,0.0,31.34,31.34,31.34,0.0,0.0,31.17,31.17,31.17,0.0,0.0,31.19,31.19,31.19,0.0,0.0
2019-03-17,31.68,31.68,31.68,0.0,0.0,31.68,31.68,31.68,0.0,0.0,30.96,30.96,30.96,0.0,0.0,31.06,31.06,31.06,0.0,0.0
2019-03-24,31.74,31.74,31.74,0.0,0.0,31.88,31.88,31.88,0.0,0.0,31.34,31.34,31.34,0.0,0.0,31.38,31.38,31.38,0.0,0.0
2019-03-31,31.64,31.64,31.64,0.0,0.0,32.08,32.08,32.08,0.0,0.0,31.63,31.63,31.63,0.0,0.0,32.07,32.07,32.07,0.0,0.0
2019-04-07,32.42,32.42,32.42,0.0,0.0,32.5,32.5,32.5,0.0,0.0,32.2,32.2,32.2,0.0,0.0,32.28,32.28,32.28,0.0,0.0
2019-04-14,32.18,32.18,32.18,0.0,0.0,32.22,32.22,32.22,0.0,0.0,31.91,31.91,31.91,0.0,0.0,31.96,31.96,31.96,0.0,0.0
2019-04-21,31.66,31.66,31.66,0.0,0.0,31.73,31.73,31.73,0.0,0.0,31.38,31.38,31.38,0.0,0.0,31.64,31.64,31.64,0.0,0.0
2019-04-28,30.55,30.55,30.55,0.0,0.0,30.87,30.87,30.87,0.0,0.0,30.55,30.55,30.55,0.0,0.0,30.72,30.72,30.72,0.0,0.0
2019-05-05,30.34,30.34,30.34,0.0,0.0,30.61,30.61,30.61,0.0,0.0,30.06,30.06,30.06,0.0,0.0,30.5,30.5,30.5,0.0,0.0
2019-05-12,30.49,30.49,30.49,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.4,30.4,30.4,0.0,0.0,30.42,30.42,30.42,0.0,0.0
2019-05-19,29.46,29.46,29.46,0.0,0.0,29.46,29.46,29.46,0.0,0.0,29.19,29.19,29.19,0.0,0.0,29.38,29.38,29.38,0.0,0.0
2019-05-26,28.44,28.44,28.44,0.0,0.0,28.68,28.68,28.68,0.0,0.0,28.44,28.44,28.44,0.0,0.0,28.49,28.49,28.49,0.0,0.0
2019-06-02,29.42,29.42,29.42,0.0,0.0,29.65,29.65,29.65,0.0,0.0,29.39,29.39,29.39,0.0,0.0,29.49,29.49,29.49,0.0,0.0
2019-06-09,29.45,29.45,29.45,0.0,0.0,29.47,29.47,29.47,0.0,0.0,29.19,29.19,29.19,0.0,0.0,29.27,29.27,29.27,0.0,0.0
2019-06-16,30.4,30.4,30.4,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.35,30.35,30.35,0.0,0.0,30.43,30.43,30.43,0.0,0.0
2019-06-23,30.36,30.36,30.36,0.0,0.0,30.72,30.72,30.72,0.0,0.0,30.36,30.36,30.36,0.0,0.0,30.7,30.7,30.7,0.0,0.0
2019-06-30,30.36,30.36,30.36,0.0,0.0,30.54,30.54,30.54,0.0,0.0,30.23,30.23,30.23,0.0,0.0,30.53,30.53,30.53,0.0,0.0
2019-07-07,30.87,30.87,30.87,0.0,0.0,31.05,31.05,31.05,0.0,0.0,30.87,30.87,30.87,0.0,0.0,30.98,30.98,30.98,0.0,0.0
2019-07-14,30.21,30.21,30.21,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.13,30.13,30.13,0.0,0.0,30.36,30.36,30.36,0.0,0.0
2019-07-21,30.17,30.17,30.17,0.0,0.0,30.17,30.17,30.17,0.0,0.0,29.95,29.95,29.95,0.0,0.0,30.02,30.02,30.02,0.0,0.0
2019-07-28,29.55,29.55,29.55,0.0,0.0,29.65,29.65,29.65,0.0,0.0,28.97,28.97,28.97,0.0,0.0,29.14,29.14,29.14,0.0,0.0
2019-08-04,28.97,28.97,28.97,0.0,0.0,28.98,28.98,28.98,0.0,0.0,28.72,28.72,28.72,0.0,0.0,28.72,28.72,28.72,0.0,0.0
2019-08-11,27.66,27.66,27.66,0.0,0.0,28.04,28.04,28.04,0.0,0.0,27.66,27.66,27.66,0.0,0.0,27.99,27.99,27.99,0.0,0.0
2019-08-18,28.01,28.01,28.01,0.0,0.0,28.29,28.29,28.29,0.0,0.0,27.48,27.48,27.48,0.0,0.0,27.56,27.56,27.56,0.0,0.0
2019-08-25,28.49,28.49,28.49,0.0,0.0,28.64,28.64,28.64,0.0,0.0,28.28,28.28,28.28,0.0,0.0,28.41,28.41,28.41,0.0,0.0
2019-09-01,28.76,28.76,28.76,0.0,0.0,28.98,28.98,28.98,0.0,0.0,28.73,28.73,28.73,0.0,0.0,28.91,28.91,28.91,0.0,0.0
2019-09-08,29.65,29.65,29.65,0.0,0.0,29.88,29.88,29.88,0.0,0.0,29.65,29.65,29.65,0.0,0.0,29.73,29.73,29.73,0.0,0.0
2019-09-15,30.15,30.15,30.15,0.0,0.0,30.29,30.29,30.29,0.0,0.0,30.08,30.08,30.08,0.0,0.0,30.21,30.21,30.21,0.0,0.0
2019-09-22,29.13,29.13,29.13,0.0,0.0,29.48,29.48,29.48,0.0,0.0,29.13,29.13,29.13,0.0,0.0,29.3,29.3,29.3,0.0,0.0
2019-09-29,28.17,28.17,28.17,0.0,0.0,28.33,28.33,28.33,0.0,0.0,28.0,28.0,28.0,0.0,0.0,28.3,28.3,28.3,0.0,0.0
2019-10-06,28.49,28.49,28.49,0.0,0.0,28.72,28.72,28.72,0.0,0.0,28.49,28.49,28.49,0.0,0.0,28.53,28.53,28.53,0.0,0.0
2019-10-13,28.36,28.36,28.36,0.0,0.0,28.54,28.54,28.54,0.0,0.0,28.31,28.31,28.31,0.0,0.0,28.32,28.32,28.32,0.0,0.0
2019-10-20,29.07,29.07,29.07,0.0,0.0,29.37,29.37,29.37,0.0,0.0,29.05,29.05,29.05,0.0,0.0,29.34,29.34,29.34,0.0,0.0
2019-10-27,28.81,28.81,28.81,0.0,0.0,29.3,29.3,29.3,0.0,0.0,28.81,28.81,28.81,0.0,0.0,29.3,29.3,29.3,0.0,0.0
2019-11-03,29.51,29.51,29.51,0.0,0.0,29.72,29.72,29.72,0.0,0.0,29.4,29.4,29.4,0.0,0.0,29.71,29.71,29.71,0.0,0.0
2019-11-10,29.41,29.41,29.41,0.0,0.0,29.68,29.68,29.68,0.0,0.0,29.4,29.4,29.4,0.0,0.0,29.58,29.58,29.58,0.0,0.0
2019-11-17,29.51,29.51,29.51,0.0,0.0,29.61,29.61,29.61,0.0,0.0,29.35,29.35,29.35,0.0,0.0,29.36,29.36,29.36,0.0,0.0
2019-11-24,29.21,29.21,29.21,0.0,0.0,29.24,29.24,29.24,0.0,0.0,29.08,29.08,29.08,0.0,0.0,29.16,29.16,29.16,0.0,0.0
2019-12-01,29.18,29.18,29.18,0.0,0.0,29.64,29.64,29.64,0.0,0.0,29.18,29.18,29.18,0.0,0.0,29.59,29.59,29.59,0.0,0.0
2019-12-08,30.15,30.15,30.15,0.0,0.0,30.38,30.38,30.38,0.0,0.0,29.96,29.96,29.96,0.0,0.0,29.98,29.98,29.98,0.0,0.0
2019-12-15,29.55,29.55,29.55,0.0,0.0,29.68,29.68,29.68,0.0,0.0,29.5,29.5,29.5,0.0,0.0,29.59,29.59,29.59,0.0,0.0
2019-12-22,30.11,30.11,30.11,0.0,0.0,30.16,30.16,30.16,0.0,0.0,29.93,29.93,29.93,0.0,0.0,29.94,29.94,29.94,0.0,0.0
2019-12-29,30.42,30.42,30.42,0.0,0.0,30.42,30.42,30.42,0.0,0.0,30.04,30.04,30.04,0.0,0.0,30.09,30.09,30.09,0.0,0.0
