Date,iShares Edge MSCI USA Momentum Factor_Open_average,iShares Edge MSCI USA Momentum Factor_Open_max,iShares Edge MSCI USA Momentum Factor_Open_min,iShares Edge MSCI USA Momentum Factor_Open_volatility,iShares Edge MSCI USA Momentum Factor_Open_change,iShares Edge MSCI USA Momentum Factor_High_average,iShares Edge MSCI USA Momentum Factor_High_max,iShares Edge MSCI USA Momentum Factor_High_min,iShares Edge MSCI USA Momentum Factor_High_volatility,iShares Edge MSCI USA Momentum Factor_High_change,iShares Edge MSCI USA Momentum Factor_Low_average,iShares Edge MSCI USA Momentum Factor_Low_max,iShares Edge MSCI USA Momentum Factor_Low_min,iShares Edge MSCI USA Momentum Factor_Low_volatility,iShares Edge MSCI USA Momentum Factor_Low_change,iShares Edge MSCI USA Momentum Factor_Close_average,iShares Edge MSCI USA Momentum Factor_Close_max,iShares Edge MSCI USA Momentum Factor_Close_min,iShares Edge MSCI USA Momentum Factor_Close_volatility,iShares Edge MSCI USA Momentum Factor_Close_change
2019-01-13,105.3,105.3,105.3,0.0,0.0,105.78,105.78,105.78,0.0,0.0,104.65,104.65,104.65,0.0,0.0,105.51,105.51,105.51,0.0,0.0
2019-01-20,104.06,104.06,104.06,0.0,0.0,104.42,104.42,104.42,0.0,0.0,103.35,103.35,103.35,0.0,0.0,103.99,103.99,103.99,0.0,0.0
2019-01-27,106.79,106.79,106.79,0.0,0.0,107.1,107.1,107.1,0.0,0.0,106.21,106.21,106.21,0.0,0.0,107.1,107.1,107.1,0.0,0.0
2019-02-03,107.54,107.54,107.54,0.0,0.0,107.68,107.68,107.68,0.0,0.0,107.02,107.02,107.02,0.0,0.0,107.28,107.28,107.28,0.0,0.0
2019-02-10,108.92,108.92,108.92,0.0,0.0,109.48,109.48,109.48,0.0,0.0,108.92,108.92,108.92,0.0,0.0,109.46,109.46,109.46,0.0,0.0
2019-02-17,110.98,110.98,110.98,0.0,0.0,111.21,111.21,111.21,0.0,0.0,110.21,110.21,110.21,0.0,0.0,110.28,110.28,110.28,0.0,0.0
2019-02-24,111.23,111.23,111.23,0.0,0.0,111.31,111.31,111.31,0.0,0.0,109.12,109.12,109.12,0.0,0.0,110.02,110.02,110.02,0.0,0.0
2019-03-03,108.66,108.66,108.66,0.0,0.0,109.83,109.83,109.83,0.0,0.0,108.66,108.66,108.66,0.0,0.0,109.81,109.81,109.81,0.0,0.0
2019-03-10,111.56,111.56,111.56,0.0,0.0,111.76,111.76,111.76,0.0,0.0,111.12,111.12,111.12,0.0,0.0,111.56,111.56,111.56,0.0,0.0
2019-03-17,110.65,110.65,110.65,0.0,0.0,111.34,111.34,111.34,0.0,0.0,110.51,110.51,110.51,0.0,0.0,111.03,111.03,111.03,0.0,0.0
2019-03-24,112.87,112.87,112.87,0.0,0.0,112.98,112.98,112.98,0.0,0.0,112.26,112.26,112.26,0.0,0.0,112.57,112.57,112.57,0.0,0.0
2019-03-31,112.34,112.34,112.34,0.0,0.0,112.64,112.64,112.64,0.0,0.0,111.9,111.9,111.9,0.0,0.0,112.6,112.6,112.6,0.0,0.0
2019-04-07,112.85,112.85,112.85,0.0,0.0,113.1,113.1,113.1,0.0,0.0,112.73,112.73,112.73,0.0,0.0,113.07,113.07,113.07,0.0,0.0
2019-04-14,111.41,111.41,111.41,0.0,0.0,111.88,111.88,111.88,0.0,0.0,111.31,111.31,111.31,0.0,0.0,111.65,111.65,111.65,0.0,0.0
2019-04-21,114.12,114.12,114.12,0.0,0.0,114.22,114.22,114.22,0.0,0.0,113.85,113.85,113.85,0.0,0.0,113.98,113.98,113.98,0.0,0.0
2019-04-28,112.92,112.92,112.92,0.0,0.0,114.64,114.64,114.64,0.0,0.0,112.82,112.82,112.82,0.0,0.0,114.52,114.52,114.52,0.0,0.0
2019-05-05,111.62,111.62,111.62,0.0,0.0,112.36,112.36,112.36,0.0,0.0,111.31,111.31,111.31,0.0,0.0,111.82,111.82,111.82,0.0,0.0
2019-05-12,113.12,113.12,113.12,0.0,0.0,113.83,113.83,113.83,0.0,0.0,113.08,113.08,113.08,0.0,0.0,113.43,113.43,113.43,0.0,0.0
2019-05-19,113.97,113.97,113.97,0.0,0.0,114.31,114.31,114.31,0.0,0.0,113.6,113.6,113.6,0.0,0.0,113.84,113.84,113.84,0.0,0.0
2019-05-26,112.1,112.1,112.1,0.0,0.0,112.75,112.75,112.75,0.0,0.0,110.75,110.75,110.75,0.0,0.0,111.43,111.43,111.43,0.0,0.0
2019-06-02,118.31,118.31,118.31,0.0,0.0,118.86,118.86,118.86,0.0,0.0,118.17,118.17,118.17,0.0,0.0,118.17,118.17,118.17,0.0,0.0
2019-06-09,117.77,117.77,117.77,0.0,0.0,117.8,117.8,117.8,0.0,0.0,117.25,117.25,117.25,0.0,0.0,117.49,117.49,117.49,0.0,0.0
2019-06-16,119.89,119.89,119.89,0.0,0.0,120.33,120.33,120.33,0.0,0.0,119.57,119.57,119.57,0.0,0.0,119.72,119.72,119.72,0.0,0.0
2019-06-23,119.86,119.86,119.86,0.0,0.0,120.48,120.48,120.48,0.0,0.0,119.24,119.24,119.24,0.0,0.0,119.84,119.84,119.84,0.0,0.0
2019-06-30,121.02,121.02,121.02,0.0,0.0,121.04,121.04,121.04,0.0,0.0,120.59,120.59,120.59,0.0,0.0,120.83,120.83,120.83,0.0,0.0
2019-07-07,122.64,122.64,122.64,0.0,0.0,122.84,122.84,122.84,0.0,0.0,122.46,122.46,122.46,0.0,0.0,122.74,122.74,122.74,0.0,0.0
2019-07-14,121.75,121.75,121.75,0.0,0.0,122.34,122.34,122.34,0.0,0.0,121.61,121.61,121.61,0.0,0.0,122.03,122.03,122.03,0.0,0.0
2019-07-21,123.1,123.1,123.1,0.0,0.0,123.11,123.11,123.11,0.0,0.0,122.41,122.41,122.41,0.0,0.0,122.85,122.85,122.85,0.0,0.0
2019-07-28,117.32,117.32,117.32,0.0,0.0,117.7,117.7,117.7,0.0,0.0,114.69,114.69,114.69,0.0,0.0,115.63,115.63,115.63,0.0,0.0
2019-08-04,119.61,119.61,119.61,0.0,0.0,119.73,119.73,119.73,0.0,0.0,118.16,118.16,118.16,0.0,0.0,118.67,118.67,118.67,0.0,0.0
2019-08-11,120.69,120.69,120.69,0.0,0.0,120.72,120.72,120.72,0.0,0.0,119.94,119.94,119.94,0.0,0.0,120.39,120.39,120.39,0.0,0.0
2019-08-18,118.65,118.65,118.65,0.0,0.0,119.16,119.16,119.16,0.0,0.0,118.04,118.04,118.04,0.0,0.0,119.16,119.16,119.16,0.0,0.0
2019-08-25,121.89,121.89,121.89,0.0,0.0,122.27,122.27,122.27,0.0,0.0,120.41,120.41,120.41,0.0,0.0,121.05,121.05,121.05,0.0,0.0
2019-09-01,123.47,123.47,123.47,0.0,0.0,123.48,123.48,123.48,0.0,0.0,120.5,120.5,120.5,0.0,0.0,120.95,120.95,120.95,0.0,0.0
2019-09-08,119.49,119.49,119.49,0.0,0.0,119.86,119.86,119.86,0.0,0.0,119.0,119.0,119.0,0.0,0.0,119.55,119.55,119.55,0.0,0.0
2019-09-15,120.16,120.16,120.16,0.0,0.0,120.78,120.78,120.78,0.0,0.0,120.11,120.11,120.11,0.0,0.0,120.52,120.52,120.52,0.0,0.0
2019-09-22,118.82,118.82,118.82,0.0,0.0,119.56,119.56,119.56,0.0,0.0,118.65,118.65,118.65,0.0,0.0,119.25,119.25,119.25,0.0,0.0
2019-09-29,118.7,118.7,118.7,0.0,0.0,119.21,119.21,119.21,0.0,0.0,118.28,118.28,118.28,0.0,0.0,118.4,118.4,118.4,0.0,0.0
2019-10-06,118.87,118.87,118.87,0.0,0.0,119.3,119.3,119.3,0.0,0.0,118.54,118.54,118.54,0.0,0.0,118.67,118.67,118.67,0.0,0.0
2019-10-13,118.74,118.74,118.74,0.0,0.0,118.92,118.92,118.92,0.0,0.0,118.3,118.3,118.3,0.0,0.0,118.85,118.85,118.85,0.0,0.0
2019-10-20,119.55,119.55,119.55,0.0,0.0,119.96,119.96,119.96,0.0,0.0,119.26,119.26,119.26,0.0,0.0,119.58,119.58,119.58,0.0,0.0
2019-10-27,121.09,121.09,121.09,0.0,0.0,121.31,121.31,121.31,0.0,0.0,119.63,119.63,119.63,0.0,0.0,119.78,119.78,119.78,0.0,0.0
2019-11-03,119.95,119.95,119.95,0.0,0.0,120.61,120.61,120.61,0.0,0.0,119.86,119.86,119.86,0.0,0.0,120.52,120.52,120.52,0.0,0.0
2019-11-10,122.21,122.21,122.21,0.0,0.0,122.62,122.62,122.62,0.0,0.0,121.99,121.99,121.99,0.0,0.0,122.45,122.45,122.45,0.0,0.0
2019-11-17,122.67,122.67,122.67,0.0,0.0,123.11,123.11,123.11,0.0,0.0,122.31,122.31,122.31,0.0,0.0,123.02,123.02,123.02,0.0,0.0
2019-11-24,124.14,124.14,124.14,0.0,0.0,124.14,124.14,124.14,0.0,0.0,122.18,122.18,122.18,0.0,0.0,122.52,122.52,122.52,0.0,0.0
2019-12-01,123.71,123.71,123.71,0.0,0.0,123.81,123.81,123.81,0.0,0.0,123.27,123.27,123.27,0.0,0.0,123.31,123.31,123.31,0.0,0.0
2019-12-08,124.16,124.16,124.16,0.0,0.0,124.38,124.38,124.38,0.0,0.0,123.88,123.88,123.88,0.0,0.0,124.21,124.21,124.21,0.0,0.0
2019-12-15,125.87,125.87,125.87,0.0,0.0,126.0,126.0,126.0,0.0,0.0,125.07,125.07,125.07,0.0,0.0,125.11,125.11,125.11,0.0,0.0
2019-12-22,125.81,125.81,125.81,0.0,0.0,125.91,125.91,125.91,0.0,0.0,124.92,124.92,124.92,0.0,0.0,125.29,125.29,125.29,0.0,0.0
2019-12-29,124.98,124.98,124.98,0.0,0.0,126.33,126.33,126.33,0.0,0.0,124.87,124.87,124.87,0.0,0.0,125.96,125.96,125.96,0.0,0.0
