Date,iShares Emerging Markets High Yield Bond_Open_average,iShares Emerging Markets High Yield Bond_Open_max,iShares Emerging Markets High Yield Bond_Open_min,iShares Emerging Markets High Yield Bond_Open_volatility,iShares Emerging Markets High Yield Bond_Open_change,iShares Emerging Markets High Yield Bond_High_average,iShares Emerging Markets High Yield Bond_High_max,iShares Emerging Markets High Yield Bond_High_min,iShares Emerging Markets High Yield Bond_High_volatility,iShares Emerging Markets High Yield Bond_High_change,iShares Emerging Markets High Yield Bond_Low_average,iShares Emerging Markets High Yield Bond_Low_max,iShares Emerging Markets High Yield Bond_Low_min,iShares Emerging Markets High Yield Bond_Low_volatility,iShares Emerging Markets High Yield Bond_Low_change,iShares Emerging Markets High Yield Bond_Close_average,iShares Emerging Markets High Yield Bond_Close_max,iShares Emerging Markets High Yield Bond_Close_min,iShares Emerging Markets High Yield Bond_Close_volatility,iShares Emerging Markets High Yield Bond_Close_change
2018-09-02,44.78,44.78,44.78,0.0,0.0,44.78,44.78,44.78,0.0,0.0,44.54,44.54,44.54,0.0,0.0,44.59,44.59,44.59,0.0,0.0
2018-09-09,45.12,45.12,45.12,0.0,0.0,45.27,45.27,45.27,0.0,0.0,45.1,45.1,45.1,0.0,0.0,45.24,45.24,45.24,0.0,0.0
2018-09-16,45.86,45.86,45.86,0.0,0.0,45.99,45.99,45.99,0.0,0.0,45.8,45.8,45.8,0.0,0.0,45.81,45.81,45.81,0.0,0.0
2018-09-23,45.96,45.96,45.96,0.0,0.0,45.99,45.99,45.99,0.0,0.0,45.85,45.85,45.85,0.0,0.0,45.9,45.9,45.9,0.0,0.0
2018-09-30,45.45,45.45,45.45,0.0,0.0,45.49,45.49,45.49,0.0,0.0,45.32,45.32,45.32,0.0,0.0,45.49,45.49,45.49,0.0,0.0
2018-10-07,45.61,45.61,45.61,0.0,0.0,45.69,45.69,45.69,0.0,0.0,45.57,45.57,45.57,0.0,0.0,45.6,45.6,45.6,0.0,0.0
2018-10-14,45.75,45.75,45.75,0.0,0.0,45.75,45.75,45.75,0.0,0.0,45.56,45.56,45.56,0.0,0.0,45.62,45.62,45.62,0.0,0.0
2018-10-21,45.49,45.49,45.49,0.0,0.0,45.63,45.63,45.63,0.0,0.0,45.43,45.43,45.43,0.0,0.0,45.49,45.49,45.49,0.0,0.0
2018-10-28,45.52,45.52,45.52,0.0,0.0,45.61,45.61,45.61,0.0,0.0,45.43,45.43,45.43,0.0,0.0,45.56,45.56,45.56,0.0,0.0
2018-11-04,45.41,45.41,45.41,0.0,0.0,45.5,45.5,45.5,0.0,0.0,45.38,45.38,45.38,0.0,0.0,45.41,45.41,45.41,0.0,0.0
2018-11-11,45.09,45.09,45.09,0.0,0.0,45.19,45.19,45.19,0.0,0.0,45.01,45.01,45.01,0.0,0.0,45.04,45.04,45.04,0.0,0.0
2018-11-18,44.75,44.75,44.75,0.0,0.0,44.77,44.77,44.77,0.0,0.0,44.6,44.6,44.6,0.0,0.0,44.71,44.71,44.71,0.0,0.0
2018-11-25,45.12,45.12,45.12,0.0,0.0,45.15,45.15,45.15,0.0,0.0,44.98,44.98,44.98,0.0,0.0,45.1,45.1,45.1,0.0,0.0
2018-12-02,45.01,45.01,45.01,0.0,0.0,45.01,45.01,45.01,0.0,0.0,44.88,44.88,44.88,0.0,0.0,44.88,44.88,44.88,0.0,0.0
2018-12-09,45.34,45.34,45.34,0.0,0.0,45.34,45.34,45.34,0.0,0.0,45.1,45.1,45.1,0.0,0.0,45.11,45.11,45.11,0.0,0.0
2018-12-16,44.32,44.32,44.32,0.0,0.0,44.33,44.33,44.33,0.0,0.0,44.09,44.09,44.09,0.0,0.0,44.09,44.09,44.09,0.0,0.0
2018-12-23,44.33,44.33,44.33,0.0,0.0,44.49,44.49,44.49,0.0,0.0,44.31,44.31,44.31,0.0,0.0,44.37,44.37,44.37,0.0,0.0
2018-12-30,44.99,44.99,44.99,0.0,0.0,45.16,45.16,45.16,0.0,0.0,44.99,44.99,44.99,0.0,0.0,45.09,45.09,45.09,0.0,0.0
2019-01-06,45.1,45.1,45.1,0.0,0.0,45.28,45.28,45.28,0.0,0.0,45.1,45.1,45.1,0.0,0.0,45.21,45.21,45.21,0.0,0.0
2019-01-13,45.75,45.75,45.75,0.0,0.0,45.91,45.91,45.91,0.0,0.0,45.74,45.74,45.74,0.0,0.0,45.91,45.91,45.91,0.0,0.0
2019-01-20,46.28,46.28,46.28,0.0,0.0,46.28,46.28,46.28,0.0,0.0,46.16,46.16,46.16,0.0,0.0,46.17,46.17,46.17,0.0,0.0
2019-01-27,46.53,46.53,46.53,0.0,0.0,46.69,46.69,46.69,0.0,0.0,46.5,46.5,46.5,0.0,0.0,46.62,46.62,46.62,0.0,0.0
2019-02-03,46.32,46.32,46.32,0.0,0.0,46.38,46.38,46.38,0.0,0.0,46.24,46.24,46.24,0.0,0.0,46.25,46.25,46.25,0.0,0.0
2019-02-10,46.5,46.5,46.5,0.0,0.0,46.59,46.59,46.59,0.0,0.0,46.37,46.37,46.37,0.0,0.0,46.48,46.48,46.48,0.0,0.0
2019-02-17,46.82,46.82,46.82,0.0,0.0,46.89,46.89,46.89,0.0,0.0,46.75,46.75,46.75,0.0,0.0,46.86,46.86,46.86,0.0,0.0
2019-02-24,46.73,46.73,46.73,0.0,0.0,46.73,46.73,46.73,0.0,0.0,46.46,46.46,46.46,0.0,0.0,46.54,46.54,46.54,0.0,0.0
2019-03-03,46.24,46.24,46.24,0.0,0.0,46.58,46.58,46.58,0.0,0.0,46.24,46.24,46.24,0.0,0.0,46.56,46.56,46.56,0.0,0.0
2019-03-10,46.97,46.97,46.97,0.0,0.0,46.97,46.97,46.97,0.0,0.0,46.87,46.87,46.87,0.0,0.0,46.96,46.96,46.96,0.0,0.0
2019-03-17,46.78,46.78,46.78,0.0,0.0,46.78,46.78,46.78,0.0,0.0,46.57,46.57,46.57,0.0,0.0,46.69,46.69,46.69,0.0,0.0
2019-03-24,46.73,46.73,46.73,0.0,0.0,46.76,46.76,46.76,0.0,0.0,46.69,46.69,46.69,0.0,0.0,46.72,46.72,46.72,0.0,0.0
2019-03-31,46.72,46.72,46.72,0.0,0.0,46.73,46.73,46.73,0.0,0.0,46.6,46.6,46.6,0.0,0.0,46.64,46.64,46.64,0.0,0.0
2019-04-07,46.46,46.46,46.46,0.0,0.0,46.46,46.46,46.46,0.0,0.0,46.39,46.39,46.39,0.0,0.0,46.45,46.45,46.45,0.0,0.0
2019-04-14,46.46,46.46,46.46,0.0,0.0,46.78,46.78,46.78,0.0,0.0,46.4,46.4,46.4,0.0,0.0,46.55,46.55,46.55,0.0,0.0
2019-04-21,46.3,46.3,46.3,0.0,0.0,46.35,46.35,46.35,0.0,0.0,46.27,46.27,46.27,0.0,0.0,46.3,46.3,46.3,0.0,0.0
2019-04-28,46.28,46.28,46.28,0.0,0.0,46.35,46.35,46.35,0.0,0.0,46.23,46.23,46.23,0.0,0.0,46.35,46.35,46.35,0.0,0.0
2019-05-05,46.03,46.03,46.03,0.0,0.0,46.03,46.03,46.03,0.0,0.0,45.85,45.85,45.85,0.0,0.0,45.9,45.9,45.9,0.0,0.0
2019-05-12,46.07,46.07,46.07,0.0,0.0,46.16,46.16,46.16,0.0,0.0,46.03,46.03,46.03,0.0,0.0,46.16,46.16,46.16,0.0,0.0
2019-05-19,46.11,46.11,46.11,0.0,0.0,46.27,46.27,46.27,0.0,0.0,46.11,46.11,46.11,0.0,0.0,46.25,46.25,46.25,0.0,0.0
2019-05-26,45.89,45.89,45.89,0.0,0.0,45.89,45.89,45.89,0.0,0.0,45.78,45.78,45.78,0.0,0.0,45.84,45.84,45.84,0.0,0.0
2019-06-02,46.69,46.69,46.69,0.0,0.0,46.78,46.78,46.78,0.0,0.0,46.69,46.69,46.69,0.0,0.0,46.76,46.76,46.76,0.0,0.0
2019-06-09,46.84,46.84,46.84,0.0,0.0,46.87,46.87,46.87,0.0,0.0,46.8,46.8,46.8,0.0,0.0,46.86,46.86,46.86,0.0,0.0
2019-06-16,47.45,47.45,47.45,0.0,0.0,47.58,47.58,47.58,0.0,0.0,47.45,47.45,47.45,0.0,0.0,47.54,47.54,47.54,0.0,0.0
2019-06-23,47.87,47.87,47.87,0.0,0.0,47.91,47.91,47.91,0.0,0.0,47.81,47.81,47.81,0.0,0.0,47.87,47.87,47.87,0.0,0.0
2019-06-30,47.77,47.77,47.77,0.0,0.0,47.77,47.77,47.77,0.0,0.0,47.67,47.67,47.67,0.0,0.0,47.7,47.7,47.7,0.0,0.0
2019-07-07,47.66,47.66,47.66,0.0,0.0,47.69,47.69,47.69,0.0,0.0,47.56,47.56,47.56,0.0,0.0,47.67,47.67,47.67,0.0,0.0
2019-07-14,47.86,47.86,47.86,0.0,0.0,47.87,47.87,47.87,0.0,0.0,47.79,47.79,47.79,0.0,0.0,47.8,47.8,47.8,0.0,0.0
2019-07-21,48.06,48.06,48.06,0.0,0.0,48.1,48.1,48.1,0.0,0.0,47.81,47.81,47.81,0.0,0.0,47.97,47.97,47.97,0.0,0.0
2019-07-28,47.29,47.29,47.29,0.0,0.0,47.29,47.29,47.29,0.0,0.0,47.0,47.0,47.0,0.0,0.0,47.01,47.01,47.01,0.0,0.0
2019-08-04,46.82,46.82,46.82,0.0,0.0,46.82,46.82,46.82,0.0,0.0,46.62,46.62,46.62,0.0,0.0,46.62,46.62,46.62,0.0,0.0
2019-08-11,46.35,46.35,46.35,0.0,0.0,46.35,46.35,46.35,0.0,0.0,46.18,46.18,46.18,0.0,0.0,46.18,46.18,46.18,0.0,0.0
2019-08-18,46.5,46.5,46.5,0.0,0.0,46.5,46.5,46.5,0.0,0.0,46.44,46.44,46.44,0.0,0.0,46.44,46.44,46.44,0.0,0.0
2019-08-25,46.27,46.27,46.27,0.0,0.0,46.37,46.37,46.37,0.0,0.0,46.27,46.27,46.27,0.0,0.0,46.32,46.32,46.32,0.0,0.0
2019-09-01,46.72,46.72,46.72,0.0,0.0,46.78,46.78,46.78,0.0,0.0,46.65,46.65,46.65,0.0,0.0,46.68,46.68,46.68,0.0,0.0
2019-09-08,46.44,46.44,46.44,0.0,0.0,46.47,46.47,46.47,0.0,0.0,46.41,46.41,46.41,0.0,0.0,46.46,46.46,46.46,0.0,0.0
2019-09-15,46.79,46.79,46.79,0.0,0.0,46.81,46.81,46.81,0.0,0.0,46.69,46.69,46.69,0.0,0.0,46.73,46.73,46.73,0.0,0.0
2019-09-22,46.65,46.65,46.65,0.0,0.0,46.67,46.67,46.67,0.0,0.0,46.48,46.48,46.48,0.0,0.0,46.49,46.49,46.49,0.0,0.0
2019-09-29,46.48,46.48,46.48,0.0,0.0,46.55,46.55,46.55,0.0,0.0,46.41,46.41,46.41,0.0,0.0,46.47,46.47,46.47,0.0,0.0
2019-10-06,46.66,46.66,46.66,0.0,0.0,46.66,46.66,46.66,0.0,0.0,46.58,46.58,46.58,0.0,0.0,46.64,46.64,46.64,0.0,0.0
2019-10-13,46.64,46.64,46.64,0.0,0.0,46.7,46.7,46.7,0.0,0.0,46.6,46.6,46.6,0.0,0.0,46.6,46.6,46.6,0.0,0.0
2019-10-20,46.91,46.91,46.91,0.0,0.0,46.95,46.95,46.95,0.0,0.0,46.84,46.84,46.84,0.0,0.0,46.9,46.9,46.9,0.0,0.0
2019-10-27,46.86,46.86,46.86,0.0,0.0,46.9,46.9,46.9,0.0,0.0,46.77,46.77,46.77,0.0,0.0,46.82,46.82,46.82,0.0,0.0
2019-11-03,46.58,46.58,46.58,0.0,0.0,46.59,46.59,46.59,0.0,0.0,46.5,46.5,46.5,0.0,0.0,46.54,46.54,46.54,0.0,0.0
2019-11-10,46.47,46.47,46.47,0.0,0.0,46.48,46.48,46.48,0.0,0.0,46.29,46.29,46.29,0.0,0.0,46.32,46.32,46.32,0.0,0.0
2019-11-17,46.39,46.39,46.39,0.0,0.0,46.41,46.41,46.41,0.0,0.0,46.32,46.32,46.32,0.0,0.0,46.35,46.35,46.35,0.0,0.0
2019-11-24,46.12,46.12,46.12,0.0,0.0,46.14,46.14,46.14,0.0,0.0,45.97,45.97,45.97,0.0,0.0,46.0,46.0,46.0,0.0,0.0
2019-12-01,46.43,46.43,46.43,0.0,0.0,46.46,46.46,46.46,0.0,0.0,46.39,46.39,46.39,0.0,0.0,46.39,46.39,46.39,0.0,0.0
2019-12-08,47.0,47.0,47.0,0.0,0.0,47.03,47.03,47.03,0.0,0.0,46.91,46.91,46.91,0.0,0.0,47.03,47.03,47.03,0.0,0.0
2019-12-15,47.06,47.06,47.06,0.0,0.0,47.24,47.24,47.24,0.0,0.0,47.06,47.06,47.06,0.0,0.0,47.22,47.22,47.22,0.0,0.0
2019-12-22,47.44,47.44,47.44,0.0,0.0,47.44,47.44,47.44,0.0,0.0,47.36,47.36,47.36,0.0,0.0,47.42,47.42,47.42,0.0,0.0
2019-12-29,47.35,47.35,47.35,0.0,0.0,47.46,47.46,47.46,0.0,0.0,47.35,47.35,47.35,0.0,0.0,47.45,47.45,47.45,0.0,0.0
