Date,AdvisorShares Pacific Asset Enhanced Fl Rate_Open_average,AdvisorShares Pacific Asset Enhanced Fl Rate_Open_max,AdvisorShares Pacific Asset Enhanced Fl Rate_Open_min,AdvisorShares Pacific Asset Enhanced Fl Rate_Open_volatility,AdvisorShares Pacific Asset Enhanced Fl Rate_Open_change,AdvisorShares Pacific Asset Enhanced Fl Rate_High_average,AdvisorShares Pacific Asset Enhanced Fl Rate_High_max,AdvisorShares Pacific Asset Enhanced Fl Rate_High_min,AdvisorShares Pacific Asset Enhanced Fl Rate_High_volatility,AdvisorShares Pacific Asset Enhanced Fl Rate_High_change,AdvisorShares Pacific Asset Enhanced Fl Rate_Low_average,AdvisorShares Pacific Asset Enhanced Fl Rate_Low_max,AdvisorShares Pacific Asset Enhanced Fl Rate_Low_min,AdvisorShares Pacific Asset Enhanced Fl Rate_Low_volatility,AdvisorShares Pacific Asset Enhanced Fl Rate_Low_change,AdvisorShares Pacific Asset Enhanced Fl Rate_Close_average,AdvisorShares Pacific Asset Enhanced Fl Rate_Close_max,AdvisorShares Pacific Asset Enhanced Fl Rate_Close_min,AdvisorShares Pacific Asset Enhanced Fl Rate_Close_volatility,AdvisorShares Pacific Asset Enhanced Fl Rate_Close_change
2018-03-25,49.12,49.12,49.12,0.0,0.0,49.12,49.12,49.12,0.0,0.0,49.12,49.12,49.12,0.0,0.0,49.12,49.12,49.12,0.0,0.0
2018-04-01,49.33,49.33,49.33,0.0,0.0,49.33,49.33,49.33,0.0,0.0,49.3,49.3,49.3,0.0,0.0,49.3,49.3,49.3,0.0,0.0
2018-04-08,49.38,49.38,49.38,0.0,0.0,49.38,49.38,49.38,0.0,0.0,49.33,49.33,49.33,0.0,0.0,49.33,49.33,49.33,0.0,0.0
2018-04-15,49.34,49.34,49.34,0.0,0.0,49.34,49.34,49.34,0.0,0.0,49.34,49.34,49.34,0.0,0.0,49.34,49.34,49.34,0.0,0.0
2018-04-22,49.2,49.2,49.2,0.0,0.0,49.2,49.2,49.2,0.0,0.0,49.2,49.2,49.2,0.0,0.0,49.2,49.2,49.2,0.0,0.0
2018-04-29,49.2,49.2,49.2,0.0,0.0,49.21,49.21,49.21,0.0,0.0,49.15,49.15,49.15,0.0,0.0,49.2,49.2,49.2,0.0,0.0
2018-05-06,49.26,49.26,49.26,0.0,0.0,49.26,49.26,49.26,0.0,0.0,49.21,49.21,49.21,0.0,0.0,49.26,49.26,49.26,0.0,0.0
2018-05-13,49.27,49.27,49.27,0.0,0.0,49.28,49.28,49.28,0.0,0.0,49.23,49.23,49.23,0.0,0.0,49.28,49.28,49.28,0.0,0.0
2018-05-20,49.1,49.1,49.1,0.0,0.0,49.1,49.1,49.1,0.0,0.0,48.94,48.94,48.94,0.0,0.0,48.94,48.94,48.94,0.0,0.0
2018-05-27,49.21,49.21,49.21,0.0,0.0,49.21,49.21,49.21,0.0,0.0,49.21,49.21,49.21,0.0,0.0,49.21,49.21,49.21,0.0,0.0
2018-06-03,49.15,49.15,49.15,0.0,0.0,49.15,49.15,49.15,0.0,0.0,49.09,49.09,49.09,0.0,0.0,49.1,49.1,49.1,0.0,0.0
2018-06-10,49.1,49.1,49.1,0.0,0.0,49.1,49.1,49.1,0.0,0.0,48.89,48.89,48.89,0.0,0.0,48.89,48.89,48.89,0.0,0.0
2018-06-17,48.85,48.85,48.85,0.0,0.0,48.85,48.85,48.85,0.0,0.0,48.85,48.85,48.85,0.0,0.0,48.85,48.85,48.85,0.0,0.0
2018-06-24,48.52,48.52,48.52,0.0,0.0,49.14,49.14,49.14,0.0,0.0,48.52,48.52,48.52,0.0,0.0,49.14,49.14,49.14,0.0,0.0
2018-07-01,49.01,49.01,49.01,0.0,0.0,49.01,49.01,49.01,0.0,0.0,49.01,49.01,49.01,0.0,0.0,49.01,49.01,49.01,0.0,0.0
2018-07-08,49.34,49.34,49.34,0.0,0.0,49.34,49.34,49.34,0.0,0.0,49.34,49.34,49.34,0.0,0.0,49.34,49.34,49.34,0.0,0.0
2018-07-15,49.21,49.21,49.21,0.0,0.0,49.3,49.3,49.3,0.0,0.0,49.21,49.21,49.21,0.0,0.0,49.3,49.3,49.3,0.0,0.0
2018-07-22,49.16,49.16,49.16,0.0,0.0,49.16,49.16,49.16,0.0,0.0,49.16,49.16,49.16,0.0,0.0,49.16,49.16,49.16,0.0,0.0
2018-07-29,49.19,49.19,49.19,0.0,0.0,49.19,49.19,49.19,0.0,0.0,49.19,49.19,49.19,0.0,0.0,49.19,49.19,49.19,0.0,0.0
2018-08-05,49.26,49.26,49.26,0.0,0.0,49.26,49.26,49.26,0.0,0.0,49.25,49.25,49.25,0.0,0.0,49.25,49.25,49.25,0.0,0.0
2018-08-12,49.32,49.32,49.32,0.0,0.0,49.32,49.32,49.32,0.0,0.0,49.25,49.25,49.25,0.0,0.0,49.32,49.32,49.32,0.0,0.0
2018-08-19,49.89,49.89,49.89,0.0,0.0,49.89,49.89,49.89,0.0,0.0,49.89,49.89,49.89,0.0,0.0,49.89,49.89,49.89,0.0,0.0
2018-08-26,49.22,49.22,49.22,0.0,0.0,49.22,49.22,49.22,0.0,0.0,49.22,49.22,49.22,0.0,0.0,49.22,49.22,49.22,0.0,0.0
2018-09-02,49.3,49.3,49.3,0.0,0.0,49.3,49.3,49.3,0.0,0.0,49.26,49.26,49.26,0.0,0.0,49.3,49.3,49.3,0.0,0.0
2018-09-09,49.35,49.35,49.35,0.0,0.0,49.35,49.35,49.35,0.0,0.0,49.35,49.35,49.35,0.0,0.0,49.35,49.35,49.35,0.0,0.0
2018-09-16,48.77,48.77,48.77,0.0,0.0,48.77,48.77,48.77,0.0,0.0,48.77,48.77,48.77,0.0,0.0,48.77,48.77,48.77,0.0,0.0
2018-09-23,49.34,49.34,49.34,0.0,0.0,49.34,49.34,49.34,0.0,0.0,49.34,49.34,49.34,0.0,0.0,49.34,49.34,49.34,0.0,0.0
2018-09-30,49.37,49.37,49.37,0.0,0.0,49.37,49.37,49.37,0.0,0.0,49.37,49.37,49.37,0.0,0.0,49.37,49.37,49.37,0.0,0.0
2018-10-07,49.64,49.64,49.64,0.0,0.0,49.64,49.64,49.64,0.0,0.0,49.64,49.64,49.64,0.0,0.0,49.64,49.64,49.64,0.0,0.0
2018-10-14,50.03,50.03,50.03,0.0,0.0,50.64,50.64,50.64,0.0,0.0,49.43,49.43,49.43,0.0,0.0,49.43,49.43,49.43,0.0,0.0
2018-10-21,49.48,49.48,49.48,0.0,0.0,49.48,49.48,49.48,0.0,0.0,49.48,49.48,49.48,0.0,0.0,49.48,49.48,49.48,0.0,0.0
2018-10-28,49.11,49.11,49.11,0.0,0.0,49.12,49.12,49.12,0.0,0.0,49.11,49.11,49.11,0.0,0.0,49.12,49.12,49.12,0.0,0.0
2018-11-04,49.05,49.05,49.05,0.0,0.0,49.05,49.05,49.05,0.0,0.0,49.05,49.05,49.05,0.0,0.0,49.05,49.05,49.05,0.0,0.0
2018-11-11,49.0,49.0,49.0,0.0,0.0,49.0,49.0,49.0,0.0,0.0,49.0,49.0,49.0,0.0,0.0,49.0,49.0,49.0,0.0,0.0
2018-11-18,48.63,48.63,48.63,0.0,0.0,48.63,48.63,48.63,0.0,0.0,48.62,48.62,48.62,0.0,0.0,48.62,48.62,48.62,0.0,0.0
2018-11-25,48.26,48.26,48.26,0.0,0.0,48.26,48.26,48.26,0.0,0.0,48.26,48.26,48.26,0.0,0.0,48.26,48.26,48.26,0.0,0.0
2018-12-02,48.04,48.04,48.04,0.0,0.0,48.04,48.04,48.04,0.0,0.0,48.04,48.04,48.04,0.0,0.0,48.04,48.04,48.04,0.0,0.0
2018-12-09,47.71,47.71,47.71,0.0,0.0,47.71,47.71,47.71,0.0,0.0,47.71,47.71,47.71,0.0,0.0,47.71,47.71,47.71,0.0,0.0
2018-12-16,47.13,47.13,47.13,0.0,0.0,47.13,47.13,47.13,0.0,0.0,47.13,47.13,47.13,0.0,0.0,47.13,47.13,47.13,0.0,0.0
2018-12-23,46.96,46.96,46.96,0.0,0.0,46.96,46.96,46.96,0.0,0.0,46.96,46.96,46.96,0.0,0.0,46.96,46.96,46.96,0.0,0.0
2018-12-30,47.71,47.71,47.71,0.0,0.0,47.71,47.71,47.71,0.0,0.0,47.4,47.4,47.4,0.0,0.0,47.4,47.4,47.4,0.0,0.0
2019-01-06,48.19,48.19,48.19,0.0,0.0,48.19,48.19,48.19,0.0,0.0,47.94,47.94,47.94,0.0,0.0,47.94,47.94,47.94,0.0,0.0
2019-01-13,48.25,48.25,48.25,0.0,0.0,48.25,48.25,48.25,0.0,0.0,48.25,48.25,48.25,0.0,0.0,48.25,48.25,48.25,0.0,0.0
2019-01-20,48.08,48.08,48.08,0.0,0.0,48.11,48.11,48.11,0.0,0.0,48.08,48.08,48.08,0.0,0.0,48.11,48.11,48.11,0.0,0.0
2019-01-27,48.33,48.33,48.33,0.0,0.0,48.33,48.33,48.33,0.0,0.0,48.33,48.33,48.33,0.0,0.0,48.33,48.33,48.33,0.0,0.0
2019-02-03,48.3,48.3,48.3,0.0,0.0,48.3,48.3,48.3,0.0,0.0,48.3,48.3,48.3,0.0,0.0,48.3,48.3,48.3,0.0,0.0
2019-02-10,48.27,48.27,48.27,0.0,0.0,48.27,48.27,48.27,0.0,0.0,48.26,48.26,48.26,0.0,0.0,48.26,48.26,48.26,0.0,0.0
2019-02-17,48.76,48.76,48.76,0.0,0.0,48.76,48.76,48.76,0.0,0.0,48.76,48.76,48.76,0.0,0.0,48.76,48.76,48.76,0.0,0.0
2019-02-24,48.31,48.31,48.31,0.0,0.0,48.79,48.79,48.79,0.0,0.0,48.31,48.31,48.31,0.0,0.0,48.77,48.77,48.77,0.0,0.0
2019-03-03,48.7,48.7,48.7,0.0,0.0,48.71,48.71,48.71,0.0,0.0,48.7,48.7,48.7,0.0,0.0,48.71,48.71,48.71,0.0,0.0
2019-03-10,48.81,48.81,48.81,0.0,0.0,48.83,48.83,48.83,0.0,0.0,48.81,48.81,48.81,0.0,0.0,48.83,48.83,48.83,0.0,0.0
2019-03-17,48.7,48.7,48.7,0.0,0.0,48.7,48.7,48.7,0.0,0.0,48.7,48.7,48.7,0.0,0.0,48.7,48.7,48.7,0.0,0.0
2019-03-24,48.52,48.52,48.52,0.0,0.0,48.52,48.52,48.52,0.0,0.0,48.44,48.44,48.44,0.0,0.0,48.44,48.44,48.44,0.0,0.0
2019-03-31,48.88,48.88,48.88,0.0,0.0,48.88,48.88,48.88,0.0,0.0,48.84,48.84,48.84,0.0,0.0,48.84,48.84,48.84,0.0,0.0
2019-04-07,49.04,49.04,49.04,0.0,0.0,49.04,49.04,49.04,0.0,0.0,49.04,49.04,49.04,0.0,0.0,49.04,49.04,49.04,0.0,0.0
2019-04-14,49.17,49.17,49.17,0.0,0.0,49.17,49.17,49.17,0.0,0.0,49.17,49.17,49.17,0.0,0.0,49.17,49.17,49.17,0.0,0.0
2019-04-21,49.07,49.07,49.07,0.0,0.0,49.07,49.07,49.07,0.0,0.0,49.07,49.07,49.07,0.0,0.0,49.07,49.07,49.07,0.0,0.0
2019-04-28,49.15,49.15,49.15,0.0,0.0,49.15,49.15,49.15,0.0,0.0,49.15,49.15,49.15,0.0,0.0,49.15,49.15,49.15,0.0,0.0
2019-05-05,50.52,50.52,50.52,0.0,0.0,50.52,50.52,50.52,0.0,0.0,48.98,48.98,48.98,0.0,0.0,48.98,48.98,48.98,0.0,0.0
2019-05-12,49.03,49.03,49.03,0.0,0.0,49.03,49.03,49.03,0.0,0.0,49.03,49.03,49.03,0.0,0.0,49.03,49.03,49.03,0.0,0.0
2019-05-19,48.97,48.97,48.97,0.0,0.0,48.97,48.97,48.97,0.0,0.0,48.97,48.97,48.97,0.0,0.0,48.97,48.97,48.97,0.0,0.0
2019-05-26,48.7,48.7,48.7,0.0,0.0,48.7,48.7,48.7,0.0,0.0,48.58,48.58,48.58,0.0,0.0,48.58,48.58,48.58,0.0,0.0
2019-06-02,48.77,48.77,48.77,0.0,0.0,48.77,48.77,48.77,0.0,0.0,48.76,48.76,48.76,0.0,0.0,48.76,48.76,48.76,0.0,0.0
2019-06-09,48.71,48.71,48.71,0.0,0.0,48.71,48.71,48.71,0.0,0.0,48.71,48.71,48.71,0.0,0.0,48.71,48.71,48.71,0.0,0.0
2019-06-16,48.84,48.84,48.84,0.0,0.0,48.84,48.84,48.84,0.0,0.0,48.84,48.84,48.84,0.0,0.0,48.84,48.84,48.84,0.0,0.0
2019-06-23,48.73,48.73,48.73,0.0,0.0,48.73,48.73,48.73,0.0,0.0,48.73,48.73,48.73,0.0,0.0,48.73,48.73,48.73,0.0,0.0
2019-06-30,48.73,48.73,48.73,0.0,0.0,48.73,48.73,48.73,0.0,0.0,48.73,48.73,48.73,0.0,0.0,48.73,48.73,48.73,0.0,0.0
2019-07-07,48.76,48.76,48.76,0.0,0.0,48.76,48.76,48.76,0.0,0.0,48.76,48.76,48.76,0.0,0.0,48.76,48.76,48.76,0.0,0.0
2019-07-14,49.02,49.02,49.02,0.0,0.0,49.02,49.02,49.02,0.0,0.0,49.02,49.02,49.02,0.0,0.0,49.02,49.02,49.02,0.0,0.0
2019-07-21,48.59,48.59,48.59,0.0,0.0,48.91,48.91,48.91,0.0,0.0,48.58,48.58,48.58,0.0,0.0,48.91,48.91,48.91,0.0,0.0
2019-07-28,48.83,48.83,48.83,0.0,0.0,48.83,48.83,48.83,0.0,0.0,48.83,48.83,48.83,0.0,0.0,48.83,48.83,48.83,0.0,0.0
2019-08-04,48.9,48.9,48.9,0.0,0.0,48.9,48.9,48.9,0.0,0.0,48.9,48.9,48.9,0.0,0.0,48.9,48.9,48.9,0.0,0.0
2019-08-11,48.85,48.85,48.85,0.0,0.0,48.85,48.85,48.85,0.0,0.0,48.85,48.85,48.85,0.0,0.0,48.85,48.85,48.85,0.0,0.0
2019-08-18,48.68,48.68,48.68,0.0,0.0,48.95,48.95,48.95,0.0,0.0,48.64,48.64,48.64,0.0,0.0,48.95,48.95,48.95,0.0,0.0
2019-08-25,48.72,48.72,48.72,0.0,0.0,48.74,48.74,48.74,0.0,0.0,48.72,48.72,48.72,0.0,0.0,48.74,48.74,48.74,0.0,0.0
2019-09-01,48.88,48.88,48.88,0.0,0.0,48.88,48.88,48.88,0.0,0.0,48.88,48.88,48.88,0.0,0.0,48.88,48.88,48.88,0.0,0.0
2019-09-08,48.72,48.72,48.72,0.0,0.0,49.02,49.02,49.02,0.0,0.0,48.72,48.72,48.72,0.0,0.0,49.02,49.02,49.02,0.0,0.0
2019-09-15,49.0,49.0,49.0,0.0,0.0,49.11,49.11,49.11,0.0,0.0,49.0,49.0,49.0,0.0,0.0,49.02,49.02,49.02,0.0,0.0
2019-09-22,50.68,50.68,50.68,0.0,0.0,50.68,50.68,50.68,0.0,0.0,48.85,48.85,48.85,0.0,0.0,48.89,48.89,48.89,0.0,0.0
2019-09-29,48.78,48.78,48.78,0.0,0.0,48.78,48.78,48.78,0.0,0.0,48.78,48.78,48.78,0.0,0.0,48.78,48.78,48.78,0.0,0.0
2019-10-06,48.67,48.67,48.67,0.0,0.0,48.67,48.67,48.67,0.0,0.0,48.67,48.67,48.67,0.0,0.0,48.67,48.67,48.67,0.0,0.0
2019-10-13,48.78,48.78,48.78,0.0,0.0,48.78,48.78,48.78,0.0,0.0,48.78,48.78,48.78,0.0,0.0,48.78,48.78,48.78,0.0,0.0
2019-10-20,48.68,48.68,48.68,0.0,0.0,48.68,48.68,48.68,0.0,0.0,48.68,48.68,48.68,0.0,0.0,48.68,48.68,48.68,0.0,0.0
2019-10-27,48.71,48.71,48.71,0.0,0.0,48.71,48.71,48.71,0.0,0.0,48.65,48.65,48.65,0.0,0.0,48.66,48.66,48.66,0.0,0.0
2019-11-03,48.74,48.74,48.74,0.0,0.0,48.74,48.74,48.74,0.0,0.0,48.74,48.74,48.74,0.0,0.0,48.74,48.74,48.74,0.0,0.0
2019-11-10,48.82,48.82,48.82,0.0,0.0,48.82,48.82,48.82,0.0,0.0,48.82,48.82,48.82,0.0,0.0,48.82,48.82,48.82,0.0,0.0
2019-11-17,48.87,48.87,48.87,0.0,0.0,48.87,48.87,48.87,0.0,0.0,48.87,48.87,48.87,0.0,0.0,48.87,48.87,48.87,0.0,0.0
2019-11-24,48.77,48.77,48.77,0.0,0.0,48.78,48.78,48.78,0.0,0.0,48.77,48.77,48.77,0.0,0.0,48.78,48.78,48.78,0.0,0.0
2019-12-01,48.96,48.96,48.96,0.0,0.0,49.05,49.05,49.05,0.0,0.0,48.96,48.96,48.96,0.0,0.0,49.05,49.05,49.05,0.0,0.0
2019-12-08,49.21,49.21,49.21,0.0,0.0,49.22,49.22,49.22,0.0,0.0,49.21,49.21,49.21,0.0,0.0,49.22,49.22,49.22,0.0,0.0
2019-12-15,49.17,49.17,49.17,0.0,0.0,49.17,49.17,49.17,0.0,0.0,49.17,49.17,49.17,0.0,0.0,49.17,49.17,49.17,0.0,0.0
2019-12-22,49.18,49.18,49.18,0.0,0.0,49.18,49.18,49.18,0.0,0.0,49.18,49.18,49.18,0.0,0.0,49.18,49.18,49.18,0.0,0.0
2019-12-29,49.23,49.23,49.23,0.0,0.0,49.23,49.23,49.23,0.0,0.0,49.23,49.23,49.23,0.0,0.0,49.23,49.23,49.23,0.0,0.0
