Date,PowerShares DWA Utilities Momentum Portfolio_etf_Open_average,PowerShares DWA Utilities Momentum Portfolio_etf_Open_max,PowerShares DWA Utilities Momentum Portfolio_etf_Open_min,PowerShares DWA Utilities Momentum Portfolio_etf_Open_volatility,PowerShares DWA Utilities Momentum Portfolio_etf_Open_change,PowerShares DWA Utilities Momentum Portfolio_etf_High_average,PowerShares DWA Utilities Momentum Portfolio_etf_High_max,PowerShares DWA Utilities Momentum Portfolio_etf_High_min,PowerShares DWA Utilities Momentum Portfolio_etf_High_volatility,PowerShares DWA Utilities Momentum Portfolio_etf_High_change,PowerShares DWA Utilities Momentum Portfolio_etf_Low_average,PowerShares DWA Utilities Momentum Portfolio_etf_Low_max,PowerShares DWA Utilities Momentum Portfolio_etf_Low_min,PowerShares DWA Utilities Momentum Portfolio_etf_Low_volatility,PowerShares DWA Utilities Momentum Portfolio_etf_Low_change,PowerShares DWA Utilities Momentum Portfolio_etf_Close_average,PowerShares DWA Utilities Momentum Portfolio_etf_Close_max,PowerShares DWA Utilities Momentum Portfolio_etf_Close_min,PowerShares DWA Utilities Momentum Portfolio_etf_Close_volatility,PowerShares DWA Utilities Momentum Portfolio_etf_Close_change
2019-03-31,31.77,31.77,31.77,0.0,0.0,32.09,32.09,32.09,0.0,0.0,31.76,31.76,31.76,0.0,0.0,32.08,32.08,32.08,0.0,0.0
2019-04-07,31.93,31.93,31.93,0.0,0.0,32.01,32.01,32.01,0.0,0.0,31.76,31.76,31.76,0.0,0.0,31.99,31.99,31.99,0.0,0.0
2019-04-14,31.68,31.68,31.68,0.0,0.0,31.68,31.68,31.68,0.0,0.0,31.45,31.45,31.45,0.0,0.0,31.45,31.45,31.45,0.0,0.0
2019-04-21,31.97,31.97,31.97,0.0,0.0,32.18,32.18,32.18,0.0,0.0,31.89,31.89,31.89,0.0,0.0,31.9,31.9,31.9,0.0,0.0
2019-04-28,31.73,31.73,31.73,0.0,0.0,32.17,32.17,32.17,0.0,0.0,31.73,31.73,31.73,0.0,0.0,32.14,32.14,32.14,0.0,0.0
2019-05-05,31.39,31.39,31.39,0.0,0.0,31.98,31.98,31.98,0.0,0.0,31.39,31.39,31.39,0.0,0.0,31.98,31.98,31.98,0.0,0.0
2019-05-12,32.2,32.2,32.2,0.0,0.0,32.51,32.51,32.51,0.0,0.0,32.2,32.2,32.2,0.0,0.0,32.44,32.44,32.44,0.0,0.0
2019-05-19,32.61,32.61,32.61,0.0,0.0,32.82,32.82,32.82,0.0,0.0,32.6,32.6,32.6,0.0,0.0,32.6,32.6,32.6,0.0,0.0
2019-05-26,31.63,31.63,31.63,0.0,0.0,31.81,31.81,31.81,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.77,31.77,31.77,0.0,0.0
2019-06-02,33.16,33.16,33.16,0.0,0.0,33.24,33.24,33.24,0.0,0.0,32.72,32.72,32.72,0.0,0.0,32.72,32.72,32.72,0.0,0.0
2019-06-09,32.7,32.7,32.7,0.0,0.0,33.12,33.12,33.12,0.0,0.0,32.7,32.7,32.7,0.0,0.0,33.03,33.03,33.03,0.0,0.0
2019-06-16,33.23,33.23,33.23,0.0,0.0,33.44,33.44,33.44,0.0,0.0,33.08,33.08,33.08,0.0,0.0,33.4,33.4,33.4,0.0,0.0
2019-06-23,32.36,32.36,32.36,0.0,0.0,32.54,32.54,32.54,0.0,0.0,32.33,32.33,32.33,0.0,0.0,32.5,32.5,32.5,0.0,0.0
2019-06-30,32.85,32.85,32.85,0.0,0.0,33.07,33.07,33.07,0.0,0.0,32.51,32.51,32.51,0.0,0.0,33.04,33.04,33.04,0.0,0.0
2019-07-07,33.13,33.13,33.13,0.0,0.0,33.14,33.14,33.14,0.0,0.0,32.87,32.87,32.87,0.0,0.0,32.97,32.97,32.97,0.0,0.0
2019-07-14,33.27,33.27,33.27,0.0,0.0,33.37,33.37,33.37,0.0,0.0,32.87,32.87,32.87,0.0,0.0,32.87,32.87,32.87,0.0,0.0
2019-07-21,32.61,32.61,32.61,0.0,0.0,32.83,32.83,32.83,0.0,0.0,32.56,32.56,32.56,0.0,0.0,32.8,32.8,32.8,0.0,0.0
2019-07-28,32.92,32.92,32.92,0.0,0.0,33.14,33.14,33.14,0.0,0.0,32.84,32.84,32.84,0.0,0.0,32.84,32.84,32.84,0.0,0.0
2019-08-04,33.15,33.15,33.15,0.0,0.0,33.34,33.34,33.34,0.0,0.0,33.1,33.1,33.1,0.0,0.0,33.15,33.15,33.15,0.0,0.0
2019-08-11,33.3,33.3,33.3,0.0,0.0,33.66,33.66,33.66,0.0,0.0,33.3,33.3,33.3,0.0,0.0,33.66,33.66,33.66,0.0,0.0
2019-08-18,34.02,34.02,34.02,0.0,0.0,34.07,34.07,34.07,0.0,0.0,33.35,33.35,33.35,0.0,0.0,33.35,33.35,33.35,0.0,0.0
2019-08-25,34.15,34.15,34.15,0.0,0.0,34.41,34.41,34.41,0.0,0.0,34.15,34.15,34.15,0.0,0.0,34.31,34.31,34.31,0.0,0.0
2019-09-01,34.51,34.51,34.51,0.0,0.0,34.51,34.51,34.51,0.0,0.0,34.09,34.09,34.09,0.0,0.0,34.17,34.17,34.17,0.0,0.0
2019-09-08,34.13,34.13,34.13,0.0,0.0,34.29,34.29,34.29,0.0,0.0,34.03,34.03,34.03,0.0,0.0,34.08,34.08,34.08,0.0,0.0
2019-09-15,34.68,34.68,34.68,0.0,0.0,34.8,34.8,34.8,0.0,0.0,34.68,34.68,34.68,0.0,0.0,34.8,34.8,34.8,0.0,0.0
2019-09-22,35.22,35.22,35.22,0.0,0.0,35.22,35.22,35.22,0.0,0.0,34.75,34.75,34.75,0.0,0.0,34.97,34.97,34.97,0.0,0.0
2019-09-29,34.72,34.72,34.72,0.0,0.0,35.02,35.02,35.02,0.0,0.0,34.56,34.56,34.56,0.0,0.0,35.0,35.0,35.0,0.0,0.0
2019-10-06,34.57,34.57,34.57,0.0,0.0,34.75,34.75,34.75,0.0,0.0,34.44,34.44,34.44,0.0,0.0,34.6,34.6,34.6,0.0,0.0
2019-10-13,34.27,34.27,34.27,0.0,0.0,34.49,34.49,34.49,0.0,0.0,34.22,34.22,34.22,0.0,0.0,34.45,34.45,34.45,0.0,0.0
2019-10-20,34.84,34.84,34.84,0.0,0.0,34.84,34.84,34.84,0.0,0.0,34.43,34.43,34.43,0.0,0.0,34.49,34.49,34.49,0.0,0.0
2019-10-27,34.62,34.62,34.62,0.0,0.0,34.7,34.7,34.7,0.0,0.0,34.39,34.39,34.39,0.0,0.0,34.52,34.52,34.52,0.0,0.0
2019-11-03,33.14,33.14,33.14,0.0,0.0,33.19,33.19,33.19,0.0,0.0,32.85,32.85,32.85,0.0,0.0,32.96,32.96,32.96,0.0,0.0
2019-11-10,33.5,33.5,33.5,0.0,0.0,33.5,33.5,33.5,0.0,0.0,33.31,33.31,33.31,0.0,0.0,33.42,33.42,33.42,0.0,0.0
2019-11-17,33.55,33.55,33.55,0.0,0.0,33.61,33.61,33.61,0.0,0.0,33.31,33.31,33.31,0.0,0.0,33.54,33.54,33.54,0.0,0.0
2019-11-24,33.67,33.67,33.67,0.0,0.0,33.76,33.76,33.76,0.0,0.0,33.58,33.58,33.58,0.0,0.0,33.59,33.59,33.59,0.0,0.0
2019-12-01,33.6,33.6,33.6,0.0,0.0,33.84,33.84,33.84,0.0,0.0,33.6,33.6,33.6,0.0,0.0,33.64,33.64,33.64,0.0,0.0
2019-12-08,33.47,33.47,33.47,0.0,0.0,33.67,33.67,33.67,0.0,0.0,33.35,33.35,33.35,0.0,0.0,33.66,33.66,33.66,0.0,0.0
2019-12-15,34.43,34.43,34.43,0.0,0.0,34.86,34.86,34.86,0.0,0.0,34.43,34.43,34.43,0.0,0.0,34.71,34.71,34.71,0.0,0.0
2019-12-22,34.18,34.18,34.18,0.0,0.0,34.18,34.18,34.18,0.0,0.0,34.05,34.05,34.05,0.0,0.0,34.18,34.18,34.18,0.0,0.0
2019-12-29,33.74,33.74,33.74,0.0,0.0,34.02,34.02,34.02,0.0,0.0,33.74,33.74,33.74,0.0,0.0,33.91,33.91,33.91,0.0,0.0
