Date,ProShares Ultra Consumer Goods_etf_Open_average,ProShares Ultra Consumer Goods_etf_Open_max,ProShares Ultra Consumer Goods_etf_Open_min,ProShares Ultra Consumer Goods_etf_Open_volatility,ProShares Ultra Consumer Goods_etf_Open_change,ProShares Ultra Consumer Goods_etf_High_average,ProShares Ultra Consumer Goods_etf_High_max,ProShares Ultra Consumer Goods_etf_High_min,ProShares Ultra Consumer Goods_etf_High_volatility,ProShares Ultra Consumer Goods_etf_High_change,ProShares Ultra Consumer Goods_etf_Low_average,ProShares Ultra Consumer Goods_etf_Low_max,ProShares Ultra Consumer Goods_etf_Low_min,ProShares Ultra Consumer Goods_etf_Low_volatility,ProShares Ultra Consumer Goods_etf_Low_change,ProShares Ultra Consumer Goods_etf_Close_average,ProShares Ultra Consumer Goods_etf_Close_max,ProShares Ultra Consumer Goods_etf_Close_min,ProShares Ultra Consumer Goods_etf_Close_volatility,ProShares Ultra Consumer Goods_etf_Close_change
2018-09-09,44.13,44.13,44.13,0.0,0.0,44.13,44.13,44.13,0.0,0.0,44.13,44.13,44.13,0.0,0.0,44.13,44.13,44.13,0.0,0.0
2018-09-16,45.1,45.1,45.1,0.0,0.0,45.1,45.1,45.1,0.0,0.0,45.1,45.1,45.1,0.0,0.0,45.1,45.1,45.1,0.0,0.0
2018-09-23,42.63,42.63,42.63,0.0,0.0,43.31,43.31,43.31,0.0,0.0,42.63,42.63,42.63,0.0,0.0,43.04,43.04,43.04,0.0,0.0
2018-09-30,41.51,41.51,41.51,0.0,0.0,41.51,41.51,41.51,0.0,0.0,41.51,41.51,41.51,0.0,0.0,41.51,41.51,41.51,0.0,0.0
2018-10-07,38.13,38.13,38.13,0.0,0.0,38.69,38.69,38.69,0.0,0.0,38.13,38.13,38.13,0.0,0.0,38.58,38.58,38.58,0.0,0.0
2018-10-14,40.31,40.31,40.31,0.0,0.0,40.31,40.31,40.31,0.0,0.0,40.31,40.31,40.31,0.0,0.0,40.31,40.31,40.31,0.0,0.0
2018-10-21,38.93,38.93,38.93,0.0,0.0,39.7,39.7,39.7,0.0,0.0,38.93,38.93,38.93,0.0,0.0,39.7,39.7,39.7,0.0,0.0
2018-10-28,41.99,41.99,41.99,0.0,0.0,41.99,41.99,41.99,0.0,0.0,41.27,41.27,41.27,0.0,0.0,41.54,41.54,41.54,0.0,0.0
2018-11-04,42.53,42.53,42.53,0.0,0.0,42.89,42.89,42.89,0.0,0.0,42.53,42.53,42.53,0.0,0.0,42.6,42.6,42.6,0.0,0.0
2018-11-11,41.55,41.55,41.55,0.0,0.0,41.55,41.55,41.55,0.0,0.0,41.55,41.55,41.55,0.0,0.0,41.55,41.55,41.55,0.0,0.0
2018-11-18,39.88,39.88,39.88,0.0,0.0,39.98,39.98,39.98,0.0,0.0,39.88,39.88,39.88,0.0,0.0,39.97,39.97,39.97,0.0,0.0
2018-11-25,41.0,41.0,41.0,0.0,0.0,41.34,41.34,41.34,0.0,0.0,41.0,41.0,41.0,0.0,0.0,41.34,41.34,41.34,0.0,0.0
2018-12-02,39.65,39.65,39.65,0.0,0.0,39.65,39.65,39.65,0.0,0.0,39.65,39.65,39.65,0.0,0.0,39.65,39.65,39.65,0.0,0.0
2018-12-09,38.84,38.84,38.84,0.0,0.0,38.84,38.84,38.84,0.0,0.0,38.69,38.69,38.69,0.0,0.0,38.69,38.69,38.69,0.0,0.0
2018-12-16,35.44,35.44,35.44,0.0,0.0,35.6,35.6,35.6,0.0,0.0,33.98,33.98,33.98,0.0,0.0,33.98,33.98,33.98,0.0,0.0
2018-12-23,34.61,34.61,34.61,0.0,0.0,34.8,34.8,34.8,0.0,0.0,33.88,33.88,33.88,0.0,0.0,34.05,34.05,34.05,0.0,0.0
2018-12-30,34.16,34.16,34.16,0.0,0.0,35.03,35.03,35.03,0.0,0.0,34.16,34.16,34.16,0.0,0.0,35.03,35.03,35.03,0.0,0.0
2019-01-06,36.29,36.29,36.29,0.0,0.0,36.36,36.36,36.36,0.0,0.0,36.29,36.29,36.29,0.0,0.0,36.36,36.36,36.36,0.0,0.0
2019-01-13,37.64,37.64,37.64,0.0,0.0,37.76,37.76,37.76,0.0,0.0,37.64,37.64,37.64,0.0,0.0,37.76,37.76,37.76,0.0,0.0
2019-01-20,37.09,37.09,37.09,0.0,0.0,37.09,37.09,37.09,0.0,0.0,37.09,37.09,37.09,0.0,0.0,37.09,37.09,37.09,0.0,0.0
2019-01-27,39.09,39.09,39.09,0.0,0.0,39.22,39.22,39.22,0.0,0.0,39.08,39.08,39.08,0.0,0.0,39.22,39.22,39.22,0.0,0.0
2019-02-03,39.02,39.02,39.02,0.0,0.0,39.61,39.61,39.61,0.0,0.0,38.85,38.85,38.85,0.0,0.0,39.61,39.61,39.61,0.0,0.0
2019-02-10,40.94,40.94,40.94,0.0,0.0,40.94,40.94,40.94,0.0,0.0,40.6,40.6,40.6,0.0,0.0,40.67,40.67,40.67,0.0,0.0
2019-02-17,41.0,41.0,41.0,0.0,0.0,41.0,41.0,41.0,0.0,0.0,40.71,40.71,40.71,0.0,0.0,40.97,40.97,40.97,0.0,0.0
2019-02-24,41.01,41.01,41.01,0.0,0.0,41.01,41.01,41.01,0.0,0.0,41.01,41.01,41.01,0.0,0.0,41.01,41.01,41.01,0.0,0.0
2019-03-03,39.8,39.8,39.8,0.0,0.0,39.99,39.99,39.99,0.0,0.0,39.76,39.76,39.76,0.0,0.0,39.99,39.99,39.99,0.0,0.0
2019-03-10,41.38,41.38,41.38,0.0,0.0,41.57,41.57,41.57,0.0,0.0,41.38,41.38,41.38,0.0,0.0,41.45,41.45,41.45,0.0,0.0
2019-03-17,41.79,41.79,41.79,0.0,0.0,41.79,41.79,41.79,0.0,0.0,41.28,41.28,41.28,0.0,0.0,41.28,41.28,41.28,0.0,0.0
2019-03-24,42.97,42.97,42.97,0.0,0.0,42.97,42.97,42.97,0.0,0.0,42.97,42.97,42.97,0.0,0.0,42.97,42.97,42.97,0.0,0.0
2019-03-31,43.31,43.31,43.31,0.0,0.0,43.31,43.31,43.31,0.0,0.0,43.31,43.31,43.31,0.0,0.0,43.31,43.31,43.31,0.0,0.0
2019-04-07,44.03,44.03,44.03,0.0,0.0,44.25,44.25,44.25,0.0,0.0,43.87,43.87,43.87,0.0,0.0,44.25,44.25,44.25,0.0,0.0
2019-04-14,44.95,44.95,44.95,0.0,0.0,44.95,44.95,44.95,0.0,0.0,44.95,44.95,44.95,0.0,0.0,44.95,44.95,44.95,0.0,0.0
2019-04-21,44.83,44.83,44.83,0.0,0.0,44.9,44.9,44.9,0.0,0.0,44.83,44.83,44.83,0.0,0.0,44.9,44.9,44.9,0.0,0.0
2019-04-28,45.36,45.36,45.36,0.0,0.0,45.36,45.36,45.36,0.0,0.0,45.36,45.36,45.36,0.0,0.0,45.36,45.36,45.36,0.0,0.0
2019-05-05,43.7,43.7,43.7,0.0,0.0,44.05,44.05,44.05,0.0,0.0,43.7,43.7,43.7,0.0,0.0,44.05,44.05,44.05,0.0,0.0
2019-05-12,44.33,44.33,44.33,0.0,0.0,44.49,44.49,44.49,0.0,0.0,44.32,44.32,44.32,0.0,0.0,44.49,44.49,44.49,0.0,0.0
2019-05-19,42.64,42.64,42.64,0.0,0.0,42.91,42.91,42.91,0.0,0.0,42.64,42.64,42.64,0.0,0.0,42.91,42.91,42.91,0.0,0.0
2019-05-26,39.73,39.73,39.73,0.0,0.0,39.73,39.73,39.73,0.0,0.0,39.73,39.73,39.73,0.0,0.0,39.73,39.73,39.73,0.0,0.0
2019-06-02,44.35,44.35,44.35,0.0,0.0,44.45,44.45,44.45,0.0,0.0,44.31,44.31,44.31,0.0,0.0,44.31,44.31,44.31,0.0,0.0
2019-06-09,44.69,44.69,44.69,0.0,0.0,44.88,44.88,44.88,0.0,0.0,44.69,44.69,44.69,0.0,0.0,44.88,44.88,44.88,0.0,0.0
2019-06-16,45.31,45.31,45.31,0.0,0.0,45.31,45.31,45.31,0.0,0.0,45.26,45.26,45.26,0.0,0.0,45.26,45.26,45.26,0.0,0.0
2019-06-23,44.6,44.6,44.6,0.0,0.0,44.6,44.6,44.6,0.0,0.0,44.3,44.3,44.3,0.0,0.0,44.38,44.38,44.38,0.0,0.0
2019-06-30,45.15,45.15,45.15,0.0,0.0,45.88,45.88,45.88,0.0,0.0,45.13,45.13,45.13,0.0,0.0,45.88,45.88,45.88,0.0,0.0
2019-07-07,46.45,46.45,46.45,0.0,0.0,46.52,46.52,46.52,0.0,0.0,46.45,46.45,46.45,0.0,0.0,46.52,46.52,46.52,0.0,0.0
2019-07-14,47.48,47.48,47.48,0.0,0.0,47.48,47.48,47.48,0.0,0.0,46.62,46.62,46.62,0.0,0.0,46.62,46.62,46.62,0.0,0.0
2019-07-21,46.5,46.5,46.5,0.0,0.0,47.33,47.33,47.33,0.0,0.0,46.5,46.5,46.5,0.0,0.0,47.28,47.28,47.28,0.0,0.0
2019-07-28,45.28,45.28,45.28,0.0,0.0,45.44,45.44,45.44,0.0,0.0,44.89,44.89,44.89,0.0,0.0,45.08,45.08,45.08,0.0,0.0
2019-08-04,45.36,45.36,45.36,0.0,0.0,45.36,45.36,45.36,0.0,0.0,44.47,44.47,44.47,0.0,0.0,45.07,45.07,45.07,0.0,0.0
2019-08-11,44.36,44.36,44.36,0.0,0.0,44.85,44.85,44.85,0.0,0.0,44.32,44.32,44.32,0.0,0.0,44.85,44.85,44.85,0.0,0.0
2019-08-18,44.97,44.97,44.97,0.0,0.0,44.97,44.97,44.97,0.0,0.0,43.41,43.41,43.41,0.0,0.0,43.41,43.41,43.41,0.0,0.0
2019-08-25,45.69,45.69,45.69,0.0,0.0,45.69,45.69,45.69,0.0,0.0,45.23,45.23,45.23,0.0,0.0,45.34,45.34,45.34,0.0,0.0
2019-09-01,47.1,47.1,47.1,0.0,0.0,47.24,47.24,47.24,0.0,0.0,47.1,47.1,47.1,0.0,0.0,47.19,47.19,47.19,0.0,0.0
2019-09-08,48.12,48.12,48.12,0.0,0.0,48.12,48.12,48.12,0.0,0.0,47.39,47.39,47.39,0.0,0.0,47.39,47.39,47.39,0.0,0.0
2019-09-15,46.9,46.9,46.9,0.0,0.0,46.9,46.9,46.9,0.0,0.0,46.39,46.39,46.39,0.0,0.0,46.39,46.39,46.39,0.0,0.0
2019-09-22,47.69,47.69,47.69,0.0,0.0,47.69,47.69,47.69,0.0,0.0,46.86,46.86,46.86,0.0,0.0,47.23,47.23,47.23,0.0,0.0
2019-09-29,47.03,47.03,47.03,0.0,0.0,47.37,47.37,47.37,0.0,0.0,47.03,47.03,47.03,0.0,0.0,47.37,47.37,47.37,0.0,0.0
2019-10-06,47.34,47.34,47.34,0.0,0.0,47.34,47.34,47.34,0.0,0.0,47.09,47.09,47.09,0.0,0.0,47.09,47.09,47.09,0.0,0.0
2019-10-13,47.76,47.76,47.76,0.0,0.0,47.76,47.76,47.76,0.0,0.0,47.76,47.76,47.76,0.0,0.0,47.76,47.76,47.76,0.0,0.0
2019-10-20,48.28,48.28,48.28,0.0,0.0,48.52,48.52,48.52,0.0,0.0,48.28,48.28,48.28,0.0,0.0,48.43,48.43,48.43,0.0,0.0
2019-10-27,48.47,48.47,48.47,0.0,0.0,48.47,48.47,48.47,0.0,0.0,48.36,48.36,48.36,0.0,0.0,48.36,48.36,48.36,0.0,0.0
2019-11-03,47.89,47.89,47.89,0.0,0.0,48.11,48.11,48.11,0.0,0.0,47.89,47.89,47.89,0.0,0.0,48.11,48.11,48.11,0.0,0.0
2019-11-10,48.71,48.71,48.71,0.0,0.0,48.8,48.8,48.8,0.0,0.0,48.71,48.71,48.71,0.0,0.0,48.8,48.8,48.8,0.0,0.0
2019-11-17,48.44,48.44,48.44,0.0,0.0,48.44,48.44,48.44,0.0,0.0,48.44,48.44,48.44,0.0,0.0,48.44,48.44,48.44,0.0,0.0
2019-11-24,50.06,50.06,50.06,0.0,0.0,50.06,50.06,50.06,0.0,0.0,49.77,49.77,49.77,0.0,0.0,49.77,49.77,49.77,0.0,0.0
2019-12-01,50.97,50.97,50.97,0.0,0.0,50.97,50.97,50.97,0.0,0.0,50.97,50.97,50.97,0.0,0.0,50.97,50.97,50.97,0.0,0.0
2019-12-08,51.36,51.36,51.36,0.0,0.0,51.74,51.74,51.74,0.0,0.0,51.24,51.24,51.24,0.0,0.0,51.74,51.74,51.74,0.0,0.0
2019-12-15,53.45,53.45,53.45,0.0,0.0,53.65,53.65,53.65,0.0,0.0,53.45,53.45,53.45,0.0,0.0,53.65,53.65,53.65,0.0,0.0
2019-12-22,53.66,53.66,53.66,0.0,0.0,53.77,53.77,53.77,0.0,0.0,53.66,53.66,53.66,0.0,0.0,53.77,53.77,53.77,0.0,0.0
2019-12-29,52.73,52.73,52.73,0.0,0.0,52.74,52.74,52.74,0.0,0.0,52.73,52.73,52.73,0.0,0.0,52.73,52.73,52.73,0.0,0.0
