Date,iShares North American Tech-Software_Open_average,iShares North American Tech-Software_Open_max,iShares North American Tech-Software_Open_min,iShares North American Tech-Software_Open_volatility,iShares North American Tech-Software_Open_change,iShares North American Tech-Software_High_average,iShares North American Tech-Software_High_max,iShares North American Tech-Software_High_min,iShares North American Tech-Software_High_volatility,iShares North American Tech-Software_High_change,iShares North American Tech-Software_Low_average,iShares North American Tech-Software_Low_max,iShares North American Tech-Software_Low_min,iShares North American Tech-Software_Low_volatility,iShares North American Tech-Software_Low_change,iShares North American Tech-Software_Close_average,iShares North American Tech-Software_Close_max,iShares North American Tech-Software_Close_min,iShares North American Tech-Software_Close_volatility,iShares North American Tech-Software_Close_change
2018-04-22,174.65,174.65,174.65,0.0,0.0,175.25,175.25,175.25,0.0,0.0,172.65,172.65,172.65,0.0,0.0,173.69,173.69,173.69,0.0,0.0
2018-04-29,178.87,178.87,178.87,0.0,0.0,180.47,180.47,180.47,0.0,0.0,178.47,178.47,178.47,0.0,0.0,179.76,179.76,179.76,0.0,0.0
2018-05-06,183.85,183.85,183.85,0.0,0.0,184.25,184.25,184.25,0.0,0.0,180.63,180.63,180.63,0.0,0.0,181.22,181.22,181.22,0.0,0.0
2018-05-13,183.11,183.11,183.11,0.0,0.0,183.31,183.31,183.31,0.0,0.0,180.78,180.78,180.78,0.0,0.0,181.63,181.63,181.63,0.0,0.0
2018-05-20,182.34,182.34,182.34,0.0,0.0,183.26,183.26,183.26,0.0,0.0,182.0,182.0,182.0,0.0,0.0,182.34,182.34,182.34,0.0,0.0
2018-05-27,186.86,186.86,186.86,0.0,0.0,187.43,187.43,187.43,0.0,0.0,185.38,185.38,185.38,0.0,0.0,187.33,187.33,187.33,0.0,0.0
2018-06-03,188.43,188.43,188.43,0.0,0.0,189.09,189.09,189.09,0.0,0.0,187.98,187.98,187.98,0.0,0.0,188.64,188.64,188.64,0.0,0.0
2018-06-10,190.72,190.72,190.72,0.0,0.0,193.13,193.13,193.13,0.0,0.0,189.89,189.89,189.89,0.0,0.0,193.0,193.0,193.0,0.0,0.0
2018-06-17,184.31,184.31,184.31,0.0,0.0,184.31,184.31,184.31,0.0,0.0,180.15,180.15,180.15,0.0,0.0,181.92,181.92,181.92,0.0,0.0
2018-06-24,181.63,181.63,181.63,0.0,0.0,185.83,185.83,185.83,0.0,0.0,181.63,181.63,181.63,0.0,0.0,185.83,185.83,185.83,0.0,0.0
2018-07-01,189.98,189.98,189.98,0.0,0.0,190.33,190.33,190.33,0.0,0.0,187.83,187.83,187.83,0.0,0.0,189.74,189.74,189.74,0.0,0.0
2018-07-08,196.3,196.3,196.3,0.0,0.0,196.48,196.48,196.48,0.0,0.0,194.69,194.69,194.69,0.0,0.0,195.06,195.06,195.06,0.0,0.0
2018-07-15,195.91,195.91,195.91,0.0,0.0,196.5,196.5,196.5,0.0,0.0,194.5,194.5,194.5,0.0,0.0,196.46,196.46,196.46,0.0,0.0
2018-07-22,191.26,191.26,191.26,0.0,0.0,191.26,191.26,191.26,0.0,0.0,183.55,183.55,183.55,0.0,0.0,184.88,184.88,184.88,0.0,0.0
2018-07-29,190.04,190.04,190.04,0.0,0.0,191.0,191.0,191.0,0.0,0.0,188.95,188.95,188.95,0.0,0.0,190.85,190.85,190.85,0.0,0.0
2018-08-05,193.52,193.52,193.52,0.0,0.0,194.41,194.41,194.41,0.0,0.0,191.66,191.66,191.66,0.0,0.0,191.86,191.86,191.86,0.0,0.0
2018-08-12,191.06,191.06,191.06,0.0,0.0,191.63,191.63,191.63,0.0,0.0,190.1,190.1,190.1,0.0,0.0,191.23,191.23,191.23,0.0,0.0
2018-08-19,201.24,201.24,201.24,0.0,0.0,201.39,201.39,201.39,0.0,0.0,198.79,198.79,198.79,0.0,0.0,199.79,199.79,199.79,0.0,0.0
2018-08-26,200.28,200.28,200.28,0.0,0.0,201.18,201.18,201.18,0.0,0.0,200.28,200.28,200.28,0.0,0.0,200.85,200.85,200.85,0.0,0.0
2018-09-02,199.74,199.74,199.74,0.0,0.0,200.53,200.53,200.53,0.0,0.0,198.27,198.27,198.27,0.0,0.0,200.21,200.21,200.21,0.0,0.0
2018-09-09,205.7,205.7,205.7,0.0,0.0,205.9,205.9,205.9,0.0,0.0,200.68,200.68,200.68,0.0,0.0,200.92,200.92,200.92,0.0,0.0
2018-09-16,200.07,200.07,200.07,0.0,0.0,202.26,202.26,202.26,0.0,0.0,198.36,198.36,198.36,0.0,0.0,202.16,202.16,202.16,0.0,0.0
2018-09-23,206.63,206.63,206.63,0.0,0.0,206.63,206.63,206.63,0.0,0.0,203.79,203.79,203.79,0.0,0.0,204.44,204.44,204.44,0.0,0.0
2018-09-30,195.9,195.9,195.9,0.0,0.0,195.9,195.9,195.9,0.0,0.0,189.21,189.21,189.21,0.0,0.0,191.64,191.64,191.64,0.0,0.0
2018-10-07,187.28,187.28,187.28,0.0,0.0,187.29,187.29,187.29,0.0,0.0,183.55,183.55,183.55,0.0,0.0,184.48,184.48,184.48,0.0,0.0
2018-10-14,183.83,183.83,183.83,0.0,0.0,185.87,185.87,185.87,0.0,0.0,182.19,182.19,182.19,0.0,0.0,184.91,184.91,184.91,0.0,0.0
2018-10-21,182.25,182.25,182.25,0.0,0.0,183.89,183.89,183.89,0.0,0.0,172.67,172.67,172.67,0.0,0.0,175.99,175.99,175.99,0.0,0.0
2018-10-28,183.58,183.58,183.58,0.0,0.0,183.58,183.58,183.58,0.0,0.0,180.38,180.38,180.38,0.0,0.0,182.23,182.23,182.23,0.0,0.0
2018-11-04,183.22,183.22,183.22,0.0,0.0,183.22,183.22,183.22,0.0,0.0,177.18,177.18,177.18,0.0,0.0,178.2,178.2,178.2,0.0,0.0
2018-11-11,180.17,180.17,180.17,0.0,0.0,180.17,180.17,180.17,0.0,0.0,170.43,170.43,170.43,0.0,0.0,170.87,170.87,170.87,0.0,0.0
2018-11-18,174.73,174.73,174.73,0.0,0.0,177.12,177.12,177.12,0.0,0.0,174.2,174.2,174.2,0.0,0.0,176.85,176.85,176.85,0.0,0.0
2018-11-25,190.05,190.05,190.05,0.0,0.0,190.59,190.59,190.59,0.0,0.0,185.38,185.38,185.38,0.0,0.0,186.93,186.93,186.93,0.0,0.0
2018-12-02,176.67,176.67,176.67,0.0,0.0,180.85,180.85,180.85,0.0,0.0,176.21,176.21,176.21,0.0,0.0,179.99,179.99,179.99,0.0,0.0
2018-12-09,175.83,175.83,175.83,0.0,0.0,176.26,176.26,176.26,0.0,0.0,170.57,170.57,170.57,0.0,0.0,171.55,171.55,171.55,0.0,0.0
2018-12-16,161.25,161.25,161.25,0.0,0.0,163.21,163.21,163.21,0.0,0.0,158.98,158.98,158.98,0.0,0.0,159.19,159.19,159.19,0.0,0.0
2018-12-23,173.91,173.91,173.91,0.0,0.0,174.3,174.3,174.3,0.0,0.0,171.84,171.84,171.84,0.0,0.0,173.53,173.53,173.53,0.0,0.0
2018-12-30,175.46,175.46,175.46,0.0,0.0,179.7,179.7,179.7,0.0,0.0,175.0,175.0,175.0,0.0,0.0,178.34,178.34,178.34,0.0,0.0
2019-01-06,181.51,181.51,181.51,0.0,0.0,181.69,181.69,181.69,0.0,0.0,180.17,180.17,180.17,0.0,0.0,180.8,180.8,180.8,0.0,0.0
2019-01-13,186.82,186.82,186.82,0.0,0.0,189.14,189.14,189.14,0.0,0.0,186.08,186.08,186.08,0.0,0.0,188.56,188.56,188.56,0.0,0.0
2019-01-20,187.19,187.19,187.19,0.0,0.0,187.9,187.9,187.9,0.0,0.0,185.77,185.77,185.77,0.0,0.0,187.17,187.17,187.17,0.0,0.0
2019-01-27,194.65,194.65,194.65,0.0,0.0,197.72,197.72,197.72,0.0,0.0,194.52,194.52,194.52,0.0,0.0,197.28,197.28,197.28,0.0,0.0
2019-02-03,200.4,200.4,200.4,0.0,0.0,201.31,201.31,201.31,0.0,0.0,198.6,198.6,198.6,0.0,0.0,198.98,198.98,198.98,0.0,0.0
2019-02-10,204.53,204.53,204.53,0.0,0.0,205.0,205.0,205.0,0.0,0.0,202.86,202.86,202.86,0.0,0.0,204.17,204.17,204.17,0.0,0.0
2019-02-17,207.8,207.8,207.8,0.0,0.0,208.06,208.06,208.06,0.0,0.0,206.36,206.36,206.36,0.0,0.0,206.73,206.73,206.73,0.0,0.0
2019-02-24,209.72,209.72,209.72,0.0,0.0,209.8,209.8,209.8,0.0,0.0,201.27,201.27,201.27,0.0,0.0,204.23,204.23,204.23,0.0,0.0
2019-03-03,202.54,202.54,202.54,0.0,0.0,205.66,205.66,205.66,0.0,0.0,202.42,202.42,202.42,0.0,0.0,205.55,205.55,205.55,0.0,0.0
2019-03-10,208.71,208.71,208.71,0.0,0.0,210.15,210.15,210.15,0.0,0.0,207.62,207.62,207.62,0.0,0.0,209.27,209.27,209.27,0.0,0.0
2019-03-17,207.59,207.59,207.59,0.0,0.0,209.17,209.17,209.17,0.0,0.0,206.37,206.37,206.37,0.0,0.0,208.45,208.45,208.45,0.0,0.0
2019-03-24,213.0,213.0,213.0,0.0,0.0,213.94,213.94,213.94,0.0,0.0,210.99,210.99,210.99,0.0,0.0,213.69,213.69,213.69,0.0,0.0
2019-03-31,211.65,211.65,211.65,0.0,0.0,212.49,212.49,212.49,0.0,0.0,208.94,208.94,208.94,0.0,0.0,211.9,211.9,211.9,0.0,0.0
2019-04-07,215.61,215.61,215.61,0.0,0.0,216.45,216.45,216.45,0.0,0.0,214.15,214.15,214.15,0.0,0.0,215.0,215.0,215.0,0.0,0.0
2019-04-14,211.1,211.1,211.1,0.0,0.0,214.08,214.08,214.08,0.0,0.0,211.1,211.1,211.1,0.0,0.0,213.99,213.99,213.99,0.0,0.0
2019-04-21,221.77,221.77,221.77,0.0,0.0,222.47,222.47,222.47,0.0,0.0,221.03,221.03,221.03,0.0,0.0,221.18,221.18,221.18,0.0,0.0
2019-04-28,215.49,215.49,215.49,0.0,0.0,219.95,219.95,219.95,0.0,0.0,214.27,214.27,214.27,0.0,0.0,219.61,219.61,219.61,0.0,0.0
2019-05-05,210.23,210.23,210.23,0.0,0.0,212.05,212.05,212.05,0.0,0.0,207.02,207.02,207.02,0.0,0.0,207.39,207.39,207.39,0.0,0.0
2019-05-12,213.65,213.65,213.65,0.0,0.0,214.05,214.05,214.05,0.0,0.0,211.14,211.14,211.14,0.0,0.0,212.04,212.04,212.04,0.0,0.0
2019-05-19,210.95,210.95,210.95,0.0,0.0,212.5,212.5,212.5,0.0,0.0,210.18,210.18,210.18,0.0,0.0,211.22,211.22,211.22,0.0,0.0
2019-05-26,206.08,206.08,206.08,0.0,0.0,206.73,206.73,206.73,0.0,0.0,198.35,198.35,198.35,0.0,0.0,199.4,199.4,199.4,0.0,0.0
2019-06-02,215.79,215.79,215.79,0.0,0.0,217.8,217.8,217.8,0.0,0.0,215.06,215.06,215.06,0.0,0.0,215.38,215.38,215.38,0.0,0.0
2019-06-09,212.53,212.53,212.53,0.0,0.0,214.23,214.23,214.23,0.0,0.0,212.31,212.31,212.31,0.0,0.0,212.75,212.75,212.75,0.0,0.0
2019-06-16,221.05,221.05,221.05,0.0,0.0,221.8,221.8,221.8,0.0,0.0,219.19,219.19,219.19,0.0,0.0,219.6,219.6,219.6,0.0,0.0
2019-06-23,222.01,222.01,222.01,0.0,0.0,222.99,222.99,222.99,0.0,0.0,220.6,220.6,220.6,0.0,0.0,221.82,221.82,221.82,0.0,0.0
2019-06-30,224.59,224.59,224.59,0.0,0.0,224.59,224.59,224.59,0.0,0.0,222.92,222.92,222.92,0.0,0.0,224.13,224.13,224.13,0.0,0.0
2019-07-07,229.45,229.45,229.45,0.0,0.0,229.57,229.57,229.57,0.0,0.0,227.4,227.4,227.4,0.0,0.0,228.94,228.94,228.94,0.0,0.0
2019-07-14,225.53,225.53,225.53,0.0,0.0,226.95,226.95,226.95,0.0,0.0,225.48,225.48,225.48,0.0,0.0,226.09,226.09,226.09,0.0,0.0
2019-07-21,230.14,230.14,230.14,0.0,0.0,230.87,230.87,230.87,0.0,0.0,223.9,223.9,223.9,0.0,0.0,227.2,227.2,227.2,0.0,0.0
2019-07-28,211.54,211.54,211.54,0.0,0.0,212.32,212.32,212.32,0.0,0.0,206.83,206.83,206.83,0.0,0.0,209.16,209.16,209.16,0.0,0.0
2019-08-04,215.31,215.31,215.31,0.0,0.0,216.49,216.49,216.49,0.0,0.0,212.12,212.12,212.12,0.0,0.0,213.16,213.16,213.16,0.0,0.0
2019-08-11,215.89,215.89,215.89,0.0,0.0,215.96,215.96,215.96,0.0,0.0,213.11,213.11,213.11,0.0,0.0,213.83,213.83,213.83,0.0,0.0
2019-08-18,215.84,215.84,215.84,0.0,0.0,216.07,216.07,216.07,0.0,0.0,213.26,213.26,213.26,0.0,0.0,216.07,216.07,216.07,0.0,0.0
2019-08-25,218.0,218.0,218.0,0.0,0.0,218.0,218.0,218.0,0.0,0.0,213.31,213.31,213.31,0.0,0.0,215.79,215.79,215.79,0.0,0.0
2019-09-01,219.24,219.24,219.24,0.0,0.0,219.99,219.99,219.99,0.0,0.0,213.25,213.25,213.25,0.0,0.0,215.2,215.2,215.2,0.0,0.0
2019-09-08,212.34,212.34,212.34,0.0,0.0,215.35,215.35,215.35,0.0,0.0,211.57,211.57,211.57,0.0,0.0,215.01,215.01,215.01,0.0,0.0
2019-09-15,216.34,216.34,216.34,0.0,0.0,216.73,216.73,216.73,0.0,0.0,215.06,215.06,215.06,0.0,0.0,216.23,216.23,216.23,0.0,0.0
2019-09-22,209.92,209.92,209.92,0.0,0.0,212.39,212.39,212.39,0.0,0.0,209.16,209.16,209.16,0.0,0.0,211.88,211.88,211.88,0.0,0.0
2019-09-29,213.25,213.25,213.25,0.0,0.0,215.33,215.33,215.33,0.0,0.0,213.01,213.01,213.01,0.0,0.0,214.25,214.25,214.25,0.0,0.0
2019-10-06,216.22,216.22,216.22,0.0,0.0,216.89,216.89,216.89,0.0,0.0,215.46,215.46,215.46,0.0,0.0,216.28,216.28,216.28,0.0,0.0
2019-10-13,209.16,209.16,209.16,0.0,0.0,210.06,210.06,210.06,0.0,0.0,207.67,207.67,207.67,0.0,0.0,209.43,209.43,209.43,0.0,0.0
2019-10-20,213.41,213.41,213.41,0.0,0.0,214.29,214.29,214.29,0.0,0.0,211.99,211.99,211.99,0.0,0.0,213.92,213.92,213.92,0.0,0.0
2019-10-27,218.84,218.84,218.84,0.0,0.0,220.0,220.0,220.0,0.0,0.0,216.59,216.59,216.59,0.0,0.0,217.04,217.04,217.04,0.0,0.0
2019-11-03,218.74,218.74,218.74,0.0,0.0,220.53,220.53,220.53,0.0,0.0,218.25,218.25,218.25,0.0,0.0,220.06,220.06,220.06,0.0,0.0
2019-11-10,224.39,224.39,224.39,0.0,0.0,225.96,225.96,225.96,0.0,0.0,223.68,223.68,223.68,0.0,0.0,225.18,225.18,225.18,0.0,0.0
2019-11-17,228.68,228.68,228.68,0.0,0.0,230.12,230.12,230.12,0.0,0.0,227.72,227.72,227.72,0.0,0.0,230.05,230.05,230.05,0.0,0.0
2019-11-24,232.25,232.25,232.25,0.0,0.0,232.25,232.25,232.25,0.0,0.0,225.65,225.65,225.65,0.0,0.0,227.67,227.67,227.67,0.0,0.0
2019-12-01,227.45,227.45,227.45,0.0,0.0,228.39,228.39,228.39,0.0,0.0,226.79,226.79,226.79,0.0,0.0,226.84,226.84,226.84,0.0,0.0
2019-12-08,230.29,230.29,230.29,0.0,0.0,231.65,231.65,231.65,0.0,0.0,229.92,229.92,229.92,0.0,0.0,231.18,231.18,231.18,0.0,0.0
2019-12-15,234.91,234.91,234.91,0.0,0.0,234.91,234.91,234.91,0.0,0.0,233.62,233.62,233.62,0.0,0.0,233.81,233.81,233.81,0.0,0.0
2019-12-22,234.88,234.88,234.88,0.0,0.0,234.99,234.99,234.99,0.0,0.0,230.86,230.86,230.86,0.0,0.0,232.41,232.41,232.41,0.0,0.0
2019-12-29,234.52,234.52,234.52,0.0,0.0,236.96,236.96,236.96,0.0,0.0,234.01,234.01,234.01,0.0,0.0,236.39,236.39,236.39,0.0,0.0
