Date,iShares Interest Rate Hedged High Yield Bond_Open_average,iShares Interest Rate Hedged High Yield Bond_Open_max,iShares Interest Rate Hedged High Yield Bond_Open_min,iShares Interest Rate Hedged High Yield Bond_Open_volatility,iShares Interest Rate Hedged High Yield Bond_Open_change,iShares Interest Rate Hedged High Yield Bond_High_average,iShares Interest Rate Hedged High Yield Bond_High_max,iShares Interest Rate Hedged High Yield Bond_High_min,iShares Interest Rate Hedged High Yield Bond_High_volatility,iShares Interest Rate Hedged High Yield Bond_High_change,iShares Interest Rate Hedged High Yield Bond_Low_average,iShares Interest Rate Hedged High Yield Bond_Low_max,iShares Interest Rate Hedged High Yield Bond_Low_min,iShares Interest Rate Hedged High Yield Bond_Low_volatility,iShares Interest Rate Hedged High Yield Bond_Low_change,iShares Interest Rate Hedged High Yield Bond_Close_average,iShares Interest Rate Hedged High Yield Bond_Close_max,iShares Interest Rate Hedged High Yield Bond_Close_min,iShares Interest Rate Hedged High Yield Bond_Close_volatility,iShares Interest Rate Hedged High Yield Bond_Close_change
2018-12-30,86.22,86.22,86.22,0.0,0.0,86.99,86.99,86.99,0.0,0.0,86.22,86.22,86.22,0.0,0.0,86.84,86.84,86.84,0.0,0.0
2019-01-06,87.38,87.38,87.38,0.0,0.0,87.6,87.6,87.6,0.0,0.0,87.35,87.35,87.35,0.0,0.0,87.43,87.43,87.43,0.0,0.0
2019-01-13,88.49,88.49,88.49,0.0,0.0,88.83,88.83,88.83,0.0,0.0,88.49,88.49,88.49,0.0,0.0,88.8,88.8,88.8,0.0,0.0
2019-01-20,88.46,88.46,88.46,0.0,0.0,88.46,88.46,88.46,0.0,0.0,88.25,88.25,88.25,0.0,0.0,88.4,88.4,88.4,0.0,0.0
2019-01-27,88.65,88.65,88.65,0.0,0.0,88.92,88.92,88.92,0.0,0.0,88.57,88.57,88.57,0.0,0.0,88.92,88.92,88.92,0.0,0.0
2019-02-03,88.58,88.58,88.58,0.0,0.0,88.62,88.62,88.62,0.0,0.0,88.49,88.49,88.49,0.0,0.0,88.58,88.58,88.58,0.0,0.0
2019-02-10,89.24,89.24,89.24,0.0,0.0,89.35,89.35,89.35,0.0,0.0,89.15,89.15,89.15,0.0,0.0,89.31,89.31,89.31,0.0,0.0
2019-02-17,89.5,89.5,89.5,0.0,0.0,89.61,89.61,89.61,0.0,0.0,89.38,89.38,89.38,0.0,0.0,89.38,89.38,89.38,0.0,0.0
2019-02-24,89.58,89.58,89.58,0.0,0.0,89.69,89.69,89.69,0.0,0.0,89.24,89.24,89.24,0.0,0.0,89.27,89.27,89.27,0.0,0.0
2019-03-03,88.68,88.68,88.68,0.0,0.0,89.05,89.05,89.05,0.0,0.0,88.68,88.68,88.68,0.0,0.0,89.04,89.04,89.04,0.0,0.0
2019-03-10,89.34,89.34,89.34,0.0,0.0,89.45,89.45,89.45,0.0,0.0,89.29,89.29,89.29,0.0,0.0,89.35,89.35,89.35,0.0,0.0
2019-03-17,88.89,88.89,88.89,0.0,0.0,88.93,88.93,88.93,0.0,0.0,88.56,88.56,88.56,0.0,0.0,88.75,88.75,88.75,0.0,0.0
2019-03-24,89.67,89.67,89.67,0.0,0.0,89.83,89.83,89.83,0.0,0.0,89.66,89.66,89.66,0.0,0.0,89.73,89.73,89.73,0.0,0.0
2019-03-31,89.61,89.61,89.61,0.0,0.0,89.68,89.68,89.68,0.0,0.0,89.57,89.57,89.57,0.0,0.0,89.64,89.64,89.64,0.0,0.0
2019-04-07,90.36,90.36,90.36,0.0,0.0,90.36,90.36,90.36,0.0,0.0,90.24,90.24,90.24,0.0,0.0,90.25,90.25,90.25,0.0,0.0
2019-04-14,89.98,89.98,89.98,0.0,0.0,90.05,90.05,90.05,0.0,0.0,89.95,89.95,89.95,0.0,0.0,89.97,89.97,89.97,0.0,0.0
2019-04-21,90.24,90.24,90.24,0.0,0.0,90.27,90.27,90.27,0.0,0.0,90.17,90.17,90.17,0.0,0.0,90.18,90.18,90.18,0.0,0.0
2019-04-28,89.5,89.5,89.5,0.0,0.0,89.81,89.81,89.81,0.0,0.0,89.31,89.31,89.31,0.0,0.0,89.81,89.81,89.81,0.0,0.0
2019-05-05,88.64,88.64,88.64,0.0,0.0,88.65,88.65,88.65,0.0,0.0,88.3,88.3,88.3,0.0,0.0,88.34,88.34,88.34,0.0,0.0
2019-05-12,88.73,88.73,88.73,0.0,0.0,88.9,88.9,88.9,0.0,0.0,88.67,88.67,88.67,0.0,0.0,88.74,88.74,88.74,0.0,0.0
2019-05-19,88.39,88.39,88.39,0.0,0.0,88.39,88.39,88.39,0.0,0.0,88.27,88.27,88.27,0.0,0.0,88.27,88.27,88.27,0.0,0.0
2019-05-26,86.94,86.94,86.94,0.0,0.0,87.08,87.08,87.08,0.0,0.0,86.78,86.78,86.78,0.0,0.0,86.78,86.78,86.78,0.0,0.0
2019-06-02,88.2,88.2,88.2,0.0,0.0,88.37,88.37,88.37,0.0,0.0,88.2,88.2,88.2,0.0,0.0,88.33,88.33,88.33,0.0,0.0
2019-06-09,88.01,88.01,88.01,0.0,0.0,88.05,88.05,88.05,0.0,0.0,87.92,87.92,87.92,0.0,0.0,87.92,87.92,87.92,0.0,0.0
2019-06-16,88.87,88.87,88.87,0.0,0.0,88.88,88.88,88.88,0.0,0.0,88.74,88.74,88.74,0.0,0.0,88.77,88.77,88.77,0.0,0.0
2019-06-23,89.16,89.16,89.16,0.0,0.0,89.16,89.16,89.16,0.0,0.0,88.84,88.84,88.84,0.0,0.0,88.84,88.84,88.84,0.0,0.0
2019-06-30,88.62,88.62,88.62,0.0,0.0,88.7,88.7,88.7,0.0,0.0,88.6,88.6,88.6,0.0,0.0,88.68,88.68,88.68,0.0,0.0
2019-07-07,88.74,88.74,88.74,0.0,0.0,88.87,88.87,88.87,0.0,0.0,88.73,88.73,88.73,0.0,0.0,88.81,88.81,88.81,0.0,0.0
2019-07-14,88.3,88.3,88.3,0.0,0.0,88.54,88.54,88.54,0.0,0.0,88.3,88.3,88.3,0.0,0.0,88.54,88.54,88.54,0.0,0.0
2019-07-21,88.9,88.9,88.9,0.0,0.0,88.9,88.9,88.9,0.0,0.0,88.71,88.71,88.71,0.0,0.0,88.81,88.81,88.81,0.0,0.0
2019-07-28,87.02,87.02,87.02,0.0,0.0,87.02,87.02,87.02,0.0,0.0,86.43,86.43,86.43,0.0,0.0,86.51,86.51,86.51,0.0,0.0
2019-08-04,86.92,86.92,86.92,0.0,0.0,86.95,86.95,86.95,0.0,0.0,86.68,86.68,86.68,0.0,0.0,86.74,86.74,86.74,0.0,0.0
2019-08-11,87.09,87.09,87.09,0.0,0.0,87.11,87.11,87.11,0.0,0.0,86.98,86.98,86.98,0.0,0.0,87.09,87.09,87.09,0.0,0.0
2019-08-18,87.44,87.44,87.44,0.0,0.0,87.63,87.63,87.63,0.0,0.0,87.33,87.33,87.33,0.0,0.0,87.59,87.59,87.59,0.0,0.0
2019-08-25,87.92,87.92,87.92,0.0,0.0,87.92,87.92,87.92,0.0,0.0,87.59,87.59,87.59,0.0,0.0,87.68,87.68,87.68,0.0,0.0
2019-09-01,87.84,87.84,87.84,0.0,0.0,88.05,88.05,88.05,0.0,0.0,87.84,87.84,87.84,0.0,0.0,88.04,88.04,88.04,0.0,0.0
2019-09-08,88.64,88.64,88.64,0.0,0.0,88.78,88.78,88.78,0.0,0.0,88.64,88.64,88.64,0.0,0.0,88.76,88.76,88.76,0.0,0.0
2019-09-15,88.47,88.47,88.47,0.0,0.0,88.55,88.55,88.55,0.0,0.0,88.4,88.4,88.4,0.0,0.0,88.53,88.53,88.53,0.0,0.0
2019-09-22,88.09,88.09,88.09,0.0,0.0,88.21,88.21,88.21,0.0,0.0,88.06,88.06,88.06,0.0,0.0,88.2,88.2,88.2,0.0,0.0
2019-09-29,87.01,87.01,87.01,0.0,0.0,87.23,87.23,87.23,0.0,0.0,86.98,86.98,86.98,0.0,0.0,87.2,87.2,87.2,0.0,0.0
2019-10-06,87.7,87.7,87.7,0.0,0.0,87.98,87.98,87.98,0.0,0.0,87.7,87.7,87.7,0.0,0.0,87.98,87.98,87.98,0.0,0.0
2019-10-13,88.42,88.42,88.42,0.0,0.0,88.48,88.48,88.48,0.0,0.0,88.39,88.39,88.39,0.0,0.0,88.48,88.48,88.48,0.0,0.0
2019-10-20,88.87,88.87,88.87,0.0,0.0,88.87,88.87,88.87,0.0,0.0,88.76,88.76,88.76,0.0,0.0,88.76,88.76,88.76,0.0,0.0
2019-10-27,87.95,87.95,87.95,0.0,0.0,87.97,87.97,87.97,0.0,0.0,87.86,87.86,87.86,0.0,0.0,87.93,87.93,87.93,0.0,0.0
2019-11-03,88.44,88.44,88.44,0.0,0.0,88.45,88.45,88.45,0.0,0.0,88.38,88.38,88.38,0.0,0.0,88.41,88.41,88.41,0.0,0.0
2019-11-10,88.13,88.13,88.13,0.0,0.0,88.2,88.2,88.2,0.0,0.0,88.1,88.1,88.1,0.0,0.0,88.14,88.14,88.14,0.0,0.0
2019-11-17,88.0,88.0,88.0,0.0,0.0,88.22,88.22,88.22,0.0,0.0,88.0,88.0,88.0,0.0,0.0,88.22,88.22,88.22,0.0,0.0
2019-11-24,88.23,88.23,88.23,0.0,0.0,88.3,88.3,88.3,0.0,0.0,88.1,88.1,88.1,0.0,0.0,88.21,88.21,88.21,0.0,0.0
2019-12-01,88.34,88.34,88.34,0.0,0.0,88.46,88.46,88.46,0.0,0.0,88.34,88.34,88.34,0.0,0.0,88.4,88.4,88.4,0.0,0.0
2019-12-08,89.15,89.15,89.15,0.0,0.0,89.4,89.4,89.4,0.0,0.0,89.15,89.15,89.15,0.0,0.0,89.37,89.37,89.37,0.0,0.0
2019-12-15,89.74,89.74,89.74,0.0,0.0,89.83,89.83,89.83,0.0,0.0,89.7,89.7,89.7,0.0,0.0,89.76,89.76,89.76,0.0,0.0
2019-12-22,89.64,89.64,89.64,0.0,0.0,89.64,89.64,89.64,0.0,0.0,89.45,89.45,89.45,0.0,0.0,89.46,89.46,89.46,0.0,0.0
2019-12-29,89.54,89.54,89.54,0.0,0.0,89.64,89.64,89.64,0.0,0.0,89.54,89.54,89.54,0.0,0.0,89.64,89.64,89.64,0.0,0.0
