Date,ProShares UltraShort Health CareEtf_Open_average,ProShares UltraShort Health CareEtf_Open_max,ProShares UltraShort Health CareEtf_Open_min,ProShares UltraShort Health CareEtf_Open_volatility,ProShares UltraShort Health CareEtf_Open_change,ProShares UltraShort Health CareEtf_High_average,ProShares UltraShort Health CareEtf_High_max,ProShares UltraShort Health CareEtf_High_min,ProShares UltraShort Health CareEtf_High_volatility,ProShares UltraShort Health CareEtf_High_change,ProShares UltraShort Health CareEtf_Low_average,ProShares UltraShort Health CareEtf_Low_max,ProShares UltraShort Health CareEtf_Low_min,ProShares UltraShort Health CareEtf_Low_volatility,ProShares UltraShort Health CareEtf_Low_change,ProShares UltraShort Health CareEtf_Close_average,ProShares UltraShort Health CareEtf_Close_max,ProShares UltraShort Health CareEtf_Close_min,ProShares UltraShort Health CareEtf_Close_volatility,ProShares UltraShort Health CareEtf_Close_change
2019-05-05,23.82,23.82,23.82,0.0,0.0,23.82,23.82,23.82,0.0,0.0,23.63,23.63,23.63,0.0,0.0,23.63,23.63,23.63,0.0,0.0
2019-05-12,23.93,23.93,23.93,0.0,0.0,23.93,23.93,23.93,0.0,0.0,23.73,23.73,23.73,0.0,0.0,23.73,23.73,23.73,0.0,0.0
2019-05-19,23.25,23.25,23.25,0.0,0.0,23.28,23.28,23.28,0.0,0.0,23.25,23.25,23.25,0.0,0.0,23.25,23.25,23.25,0.0,0.0
2019-05-26,24.63,24.63,24.63,0.0,0.0,24.63,24.63,24.63,0.0,0.0,24.52,24.52,24.52,0.0,0.0,24.52,24.52,24.52,0.0,0.0
2019-06-02,22.83,22.83,22.83,0.0,0.0,22.83,22.83,22.83,0.0,0.0,22.55,22.55,22.55,0.0,0.0,22.58,22.58,22.58,0.0,0.0
2019-06-09,22.38,22.38,22.38,0.0,0.0,22.41,22.41,22.41,0.0,0.0,22.38,22.38,22.38,0.0,0.0,22.41,22.41,22.41,0.0,0.0
2019-06-16,21.2,21.2,21.2,0.0,0.0,21.39,21.39,21.39,0.0,0.0,21.04,21.04,21.04,0.0,0.0,21.04,21.04,21.04,0.0,0.0
2019-06-23,21.67,21.67,21.67,0.0,0.0,21.67,21.67,21.67,0.0,0.0,21.43,21.43,21.43,0.0,0.0,21.43,21.43,21.43,0.0,0.0
2019-06-30,21.17,21.17,21.17,0.0,0.0,21.17,21.17,21.17,0.0,0.0,20.95,20.95,20.95,0.0,0.0,21.06,21.06,21.06,0.0,0.0
2019-07-07,21.38,21.38,21.38,0.0,0.0,21.63,21.63,21.63,0.0,0.0,21.38,21.38,21.38,0.0,0.0,21.52,21.52,21.52,0.0,0.0
2019-07-14,21.42,21.42,21.42,0.0,0.0,21.8,21.8,21.8,0.0,0.0,21.42,21.42,21.42,0.0,0.0,21.8,21.8,21.8,0.0,0.0
2019-07-21,21.74,21.74,21.74,0.0,0.0,21.74,21.74,21.74,0.0,0.0,21.66,21.66,21.66,0.0,0.0,21.66,21.66,21.66,0.0,0.0
2019-07-28,21.96,21.96,21.96,0.0,0.0,22.38,22.38,22.38,0.0,0.0,21.96,21.96,21.96,0.0,0.0,22.16,22.16,22.16,0.0,0.0
2019-08-04,21.95,21.95,21.95,0.0,0.0,22.14,22.14,22.14,0.0,0.0,21.89,21.89,21.89,0.0,0.0,21.89,21.89,21.89,0.0,0.0
2019-08-11,22.52,22.52,22.52,0.0,0.0,22.52,22.52,22.52,0.0,0.0,22.33,22.33,22.33,0.0,0.0,22.33,22.33,22.33,0.0,0.0
2019-08-18,22.27,22.27,22.27,0.0,0.0,23.39,23.39,23.39,0.0,0.0,22.21,22.21,22.21,0.0,0.0,23.39,23.39,23.39,0.0,0.0
2019-08-25,22.25,22.25,22.25,0.0,0.0,22.34,22.34,22.34,0.0,0.0,22.22,22.22,22.22,0.0,0.0,22.33,22.33,22.33,0.0,0.0
2019-09-01,22.1,22.1,22.1,0.0,0.0,22.14,22.14,22.14,0.0,0.0,21.87,21.87,21.87,0.0,0.0,22.06,22.06,22.06,0.0,0.0
2019-09-08,21.78,21.78,21.78,0.0,0.0,21.94,21.94,21.94,0.0,0.0,21.78,21.78,21.78,0.0,0.0,21.94,21.94,21.94,0.0,0.0
2019-09-15,21.36,21.36,21.36,0.0,0.0,21.5,21.5,21.5,0.0,0.0,21.36,21.36,21.36,0.0,0.0,21.46,21.46,21.46,0.0,0.0
2019-09-22,22.59,22.59,22.59,0.0,0.0,23.05,23.05,23.05,0.0,0.0,22.53,22.53,22.53,0.0,0.0,22.94,22.94,22.94,0.0,0.0
2019-09-29,22.86,22.86,22.86,0.0,0.0,22.86,22.86,22.86,0.0,0.0,22.47,22.47,22.47,0.0,0.0,22.47,22.47,22.47,0.0,0.0
2019-10-06,22.15,22.15,22.15,0.0,0.0,22.53,22.53,22.53,0.0,0.0,22.08,22.08,22.08,0.0,0.0,22.53,22.53,22.53,0.0,0.0
2019-10-13,21.58,21.58,21.58,0.0,0.0,21.81,21.81,21.81,0.0,0.0,21.58,21.58,21.58,0.0,0.0,21.62,21.62,21.62,0.0,0.0
2019-10-20,21.53,21.53,21.53,0.0,0.0,21.53,21.53,21.53,0.0,0.0,21.53,21.53,21.53,0.0,0.0,21.53,21.53,21.53,0.0,0.0
2019-10-27,20.27,20.27,20.27,0.0,0.0,20.3,20.3,20.3,0.0,0.0,20.02,20.02,20.02,0.0,0.0,20.26,20.26,20.26,0.0,0.0
2019-11-03,20.13,20.13,20.13,0.0,0.0,20.13,20.13,20.13,0.0,0.0,20.13,20.13,20.13,0.0,0.0,20.13,20.13,20.13,0.0,0.0
2019-11-10,19.61,19.61,19.61,0.0,0.0,19.61,19.61,19.61,0.0,0.0,19.14,19.14,19.14,0.0,0.0,19.16,19.16,19.16,0.0,0.0
2019-11-17,18.89,18.89,18.89,0.0,0.0,18.89,18.89,18.89,0.0,0.0,18.81,18.81,18.81,0.0,0.0,18.82,18.82,18.82,0.0,0.0
2019-11-24,18.2,18.2,18.2,0.0,0.0,18.32,18.32,18.32,0.0,0.0,18.2,18.2,18.2,0.0,0.0,18.28,18.28,18.28,0.0,0.0
2019-12-01,18.02,18.02,18.02,0.0,0.0,18.02,18.02,18.02,0.0,0.0,18.0,18.0,18.0,0.0,0.0,18.0,18.0,18.0,0.0,0.0
2019-12-08,17.9,17.9,17.9,0.0,0.0,17.9,17.9,17.9,0.0,0.0,17.88,17.88,17.88,0.0,0.0,17.88,17.88,17.88,0.0,0.0
2019-12-15,17.4,17.4,17.4,0.0,0.0,17.4,17.4,17.4,0.0,0.0,17.08,17.08,17.08,0.0,0.0,17.08,17.08,17.08,0.0,0.0
2019-12-22,17.01,17.01,17.01,0.0,0.0,17.01,17.01,17.01,0.0,0.0,17.01,17.01,17.01,0.0,0.0,17.01,17.01,17.01,0.0,0.0
2019-12-29,17.3,17.3,17.3,0.0,0.0,17.33,17.33,17.33,0.0,0.0,17.23,17.23,17.23,0.0,0.0,17.33,17.33,17.33,0.0,0.0
