Date,iShares Emerging Markets Corporate Bond_Open_average,iShares Emerging Markets Corporate Bond_Open_max,iShares Emerging Markets Corporate Bond_Open_min,iShares Emerging Markets Corporate Bond_Open_volatility,iShares Emerging Markets Corporate Bond_Open_change,iShares Emerging Markets Corporate Bond_High_average,iShares Emerging Markets Corporate Bond_High_max,iShares Emerging Markets Corporate Bond_High_min,iShares Emerging Markets Corporate Bond_High_volatility,iShares Emerging Markets Corporate Bond_High_change,iShares Emerging Markets Corporate Bond_Low_average,iShares Emerging Markets Corporate Bond_Low_max,iShares Emerging Markets Corporate Bond_Low_min,iShares Emerging Markets Corporate Bond_Low_volatility,iShares Emerging Markets Corporate Bond_Low_change,iShares Emerging Markets Corporate Bond_Close_average,iShares Emerging Markets Corporate Bond_Close_max,iShares Emerging Markets Corporate Bond_Close_min,iShares Emerging Markets Corporate Bond_Close_volatility,iShares Emerging Markets Corporate Bond_Close_change
2018-04-15,49.55,49.55,49.55,0.0,0.0,49.64,49.64,49.64,0.0,0.0,49.46,49.46,49.46,0.0,0.0,49.57,49.57,49.57,0.0,0.0
2018-04-22,49.26,49.26,49.26,0.0,0.0,49.43,49.43,49.43,0.0,0.0,49.24,49.24,49.24,0.0,0.0,49.24,49.24,49.24,0.0,0.0
2018-04-29,48.82,48.82,48.82,0.0,0.0,48.92,48.92,48.92,0.0,0.0,48.82,48.82,48.82,0.0,0.0,48.92,48.92,48.92,0.0,0.0
2018-05-06,48.78,48.78,48.78,0.0,0.0,49.03,49.03,49.03,0.0,0.0,48.78,48.78,48.78,0.0,0.0,48.99,48.99,48.99,0.0,0.0
2018-05-13,48.53,48.53,48.53,0.0,0.0,48.64,48.64,48.64,0.0,0.0,48.51,48.51,48.51,0.0,0.0,48.51,48.51,48.51,0.0,0.0
2018-05-20,48.67,48.67,48.67,0.0,0.0,48.81,48.81,48.81,0.0,0.0,48.67,48.67,48.67,0.0,0.0,48.67,48.67,48.67,0.0,0.0
2018-05-27,48.43,48.43,48.43,0.0,0.0,48.59,48.59,48.59,0.0,0.0,48.4,48.4,48.4,0.0,0.0,48.58,48.58,48.58,0.0,0.0
2018-06-03,48.41,48.41,48.41,0.0,0.0,48.42,48.42,48.42,0.0,0.0,48.31,48.31,48.31,0.0,0.0,48.39,48.39,48.39,0.0,0.0
2018-06-10,48.4,48.4,48.4,0.0,0.0,48.42,48.42,48.42,0.0,0.0,48.18,48.18,48.18,0.0,0.0,48.21,48.21,48.21,0.0,0.0
2018-06-17,48.37,48.37,48.37,0.0,0.0,48.37,48.37,48.37,0.0,0.0,48.19,48.19,48.19,0.0,0.0,48.19,48.19,48.19,0.0,0.0
2018-06-24,48.23,48.23,48.23,0.0,0.0,48.42,48.42,48.42,0.0,0.0,48.23,48.23,48.23,0.0,0.0,48.39,48.39,48.39,0.0,0.0
2018-07-01,48.16,48.16,48.16,0.0,0.0,48.33,48.33,48.33,0.0,0.0,48.16,48.16,48.16,0.0,0.0,48.21,48.21,48.21,0.0,0.0
2018-07-08,48.38,48.38,48.38,0.0,0.0,48.57,48.57,48.57,0.0,0.0,48.38,48.38,48.38,0.0,0.0,48.57,48.57,48.57,0.0,0.0
2018-07-15,48.51,48.51,48.51,0.0,0.0,48.59,48.59,48.59,0.0,0.0,48.28,48.28,48.28,0.0,0.0,48.46,48.46,48.46,0.0,0.0
2018-07-22,48.72,48.72,48.72,0.0,0.0,48.9,48.9,48.9,0.0,0.0,48.7,48.7,48.7,0.0,0.0,48.72,48.72,48.72,0.0,0.0
2018-07-29,48.61,48.61,48.61,0.0,0.0,48.66,48.66,48.66,0.0,0.0,48.37,48.37,48.37,0.0,0.0,48.47,48.47,48.47,0.0,0.0
2018-08-05,48.21,48.21,48.21,0.0,0.0,48.21,48.21,48.21,0.0,0.0,47.99,47.99,47.99,0.0,0.0,48.2,48.2,48.2,0.0,0.0
2018-08-12,47.9,47.9,47.9,0.0,0.0,48.11,48.11,48.11,0.0,0.0,47.86,47.86,47.86,0.0,0.0,47.87,47.87,47.87,0.0,0.0
2018-08-19,48.16,48.16,48.16,0.0,0.0,48.33,48.33,48.33,0.0,0.0,47.93,47.93,47.93,0.0,0.0,48.33,48.33,48.33,0.0,0.0
2018-08-26,48.16,48.16,48.16,0.0,0.0,48.16,48.16,48.16,0.0,0.0,47.17,47.17,47.17,0.0,0.0,47.95,47.95,47.95,0.0,0.0
2018-09-02,47.85,47.85,47.85,0.0,0.0,47.85,47.85,47.85,0.0,0.0,47.62,47.62,47.62,0.0,0.0,47.84,47.84,47.84,0.0,0.0
2018-09-09,47.95,47.95,47.95,0.0,0.0,47.95,47.95,47.95,0.0,0.0,47.74,47.74,47.74,0.0,0.0,47.93,47.93,47.93,0.0,0.0
2018-09-16,47.91,47.91,47.91,0.0,0.0,48.13,48.13,48.13,0.0,0.0,47.89,47.89,47.89,0.0,0.0,48.0,48.0,48.0,0.0,0.0
2018-09-23,48.39,48.39,48.39,0.0,0.0,48.4,48.4,48.4,0.0,0.0,48.23,48.23,48.23,0.0,0.0,48.39,48.39,48.39,0.0,0.0
2018-09-30,47.78,47.78,47.78,0.0,0.0,47.95,47.95,47.95,0.0,0.0,47.69,47.69,47.69,0.0,0.0,47.95,47.95,47.95,0.0,0.0
2018-10-07,47.97,47.97,47.97,0.0,0.0,47.97,47.97,47.97,0.0,0.0,47.75,47.75,47.75,0.0,0.0,47.82,47.82,47.82,0.0,0.0
2018-10-14,47.96,47.96,47.96,0.0,0.0,47.99,47.99,47.99,0.0,0.0,47.71,47.71,47.71,0.0,0.0,47.71,47.71,47.71,0.0,0.0
2018-10-21,47.91,47.91,47.91,0.0,0.0,47.96,47.96,47.96,0.0,0.0,47.7,47.7,47.7,0.0,0.0,47.96,47.96,47.96,0.0,0.0
2018-10-28,47.68,47.68,47.68,0.0,0.0,47.69,47.69,47.69,0.0,0.0,47.1,47.1,47.1,0.0,0.0,47.6,47.6,47.6,0.0,0.0
2018-11-04,47.62,47.62,47.62,0.0,0.0,47.66,47.66,47.66,0.0,0.0,47.5,47.5,47.5,0.0,0.0,47.56,47.56,47.56,0.0,0.0
2018-11-11,47.65,47.65,47.65,0.0,0.0,47.72,47.72,47.72,0.0,0.0,47.5,47.5,47.5,0.0,0.0,47.61,47.61,47.61,0.0,0.0
2018-11-18,47.26,47.26,47.26,0.0,0.0,47.45,47.45,47.45,0.0,0.0,47.24,47.24,47.24,0.0,0.0,47.24,47.24,47.24,0.0,0.0
2018-11-25,47.46,47.46,47.46,0.0,0.0,47.47,47.47,47.47,0.0,0.0,47.28,47.28,47.28,0.0,0.0,47.37,47.37,47.37,0.0,0.0
2018-12-02,47.5,47.5,47.5,0.0,0.0,47.5,47.5,47.5,0.0,0.0,47.33,47.33,47.33,0.0,0.0,47.36,47.36,47.36,0.0,0.0
2018-12-09,47.59,47.59,47.59,0.0,0.0,47.6,47.6,47.6,0.0,0.0,47.39,47.39,47.39,0.0,0.0,47.48,47.48,47.48,0.0,0.0
2018-12-16,47.18,47.18,47.18,0.0,0.0,47.37,47.37,47.37,0.0,0.0,47.02,47.02,47.02,0.0,0.0,47.04,47.04,47.04,0.0,0.0
2018-12-23,47.45,47.45,47.45,0.0,0.0,47.55,47.55,47.55,0.0,0.0,47.28,47.28,47.28,0.0,0.0,47.51,47.51,47.51,0.0,0.0
2018-12-30,47.53,47.53,47.53,0.0,0.0,47.91,47.91,47.91,0.0,0.0,47.53,47.53,47.53,0.0,0.0,47.79,47.79,47.79,0.0,0.0
2019-01-06,48.31,48.31,48.31,0.0,0.0,48.36,48.36,48.36,0.0,0.0,48.18,48.18,48.18,0.0,0.0,48.27,48.27,48.27,0.0,0.0
2019-01-13,48.49,48.49,48.49,0.0,0.0,48.6,48.6,48.6,0.0,0.0,48.46,48.46,48.46,0.0,0.0,48.48,48.48,48.48,0.0,0.0
2019-01-20,48.9,48.9,48.9,0.0,0.0,48.93,48.93,48.93,0.0,0.0,48.76,48.76,48.76,0.0,0.0,48.81,48.81,48.81,0.0,0.0
2019-01-27,48.9,48.9,48.9,0.0,0.0,48.94,48.94,48.94,0.0,0.0,48.8,48.8,48.8,0.0,0.0,48.88,48.88,48.88,0.0,0.0
2019-02-03,49.02,49.02,49.02,0.0,0.0,49.06,49.06,49.06,0.0,0.0,48.95,48.95,48.95,0.0,0.0,49.06,49.06,49.06,0.0,0.0
2019-02-10,49.18,49.18,49.18,0.0,0.0,49.18,49.18,49.18,0.0,0.0,48.99,48.99,48.99,0.0,0.0,49.01,49.01,49.01,0.0,0.0
2019-02-17,49.25,49.25,49.25,0.0,0.0,49.32,49.32,49.32,0.0,0.0,49.2,49.2,49.2,0.0,0.0,49.27,49.27,49.27,0.0,0.0
2019-02-24,49.19,49.19,49.19,0.0,0.0,49.19,49.19,49.19,0.0,0.0,49.04,49.04,49.04,0.0,0.0,49.14,49.14,49.14,0.0,0.0
2019-03-03,49.18,49.18,49.18,0.0,0.0,49.18,49.18,49.18,0.0,0.0,48.86,48.86,48.86,0.0,0.0,49.08,49.08,49.08,0.0,0.0
2019-03-10,49.39,49.39,49.39,0.0,0.0,49.41,49.41,49.41,0.0,0.0,49.26,49.26,49.26,0.0,0.0,49.35,49.35,49.35,0.0,0.0
2019-03-17,49.66,49.66,49.66,0.0,0.0,49.74,49.74,49.74,0.0,0.0,49.6,49.6,49.6,0.0,0.0,49.71,49.71,49.71,0.0,0.0
2019-03-24,49.79,49.79,49.79,0.0,0.0,49.86,49.86,49.86,0.0,0.0,49.7,49.7,49.7,0.0,0.0,49.86,49.86,49.86,0.0,0.0
2019-03-31,49.67,49.67,49.67,0.0,0.0,49.86,49.86,49.86,0.0,0.0,49.67,49.67,49.67,0.0,0.0,49.85,49.85,49.85,0.0,0.0
2019-04-07,49.7,49.7,49.7,0.0,0.0,49.84,49.84,49.84,0.0,0.0,49.7,49.7,49.7,0.0,0.0,49.79,49.79,49.79,0.0,0.0
2019-04-14,49.89,49.89,49.89,0.0,0.0,49.9,49.9,49.9,0.0,0.0,49.82,49.82,49.82,0.0,0.0,49.82,49.82,49.82,0.0,0.0
2019-04-21,49.86,49.86,49.86,0.0,0.0,50.01,50.01,50.01,0.0,0.0,49.82,49.82,49.82,0.0,0.0,49.89,49.89,49.89,0.0,0.0
2019-04-28,49.79,49.79,49.79,0.0,0.0,49.95,49.95,49.95,0.0,0.0,49.76,49.76,49.76,0.0,0.0,49.93,49.93,49.93,0.0,0.0
2019-05-05,49.77,49.77,49.77,0.0,0.0,49.9,49.9,49.9,0.0,0.0,49.76,49.76,49.76,0.0,0.0,49.86,49.86,49.86,0.0,0.0
2019-05-12,49.91,49.91,49.91,0.0,0.0,49.91,49.91,49.91,0.0,0.0,49.76,49.76,49.76,0.0,0.0,49.76,49.76,49.76,0.0,0.0
2019-05-19,49.89,49.89,49.89,0.0,0.0,49.95,49.95,49.95,0.0,0.0,49.85,49.85,49.85,0.0,0.0,49.87,49.87,49.87,0.0,0.0
2019-05-26,49.9,49.9,49.9,0.0,0.0,50.05,50.05,50.05,0.0,0.0,49.9,49.9,49.9,0.0,0.0,50.0,50.0,50.0,0.0,0.0
2019-06-02,50.16,50.16,50.16,0.0,0.0,50.16,50.16,50.16,0.0,0.0,50.06,50.06,50.06,0.0,0.0,50.09,50.09,50.09,0.0,0.0
2019-06-09,50.36,50.36,50.36,0.0,0.0,50.39,50.39,50.39,0.0,0.0,50.26,50.26,50.26,0.0,0.0,50.31,50.31,50.31,0.0,0.0
2019-06-16,50.82,50.82,50.82,0.0,0.0,50.82,50.82,50.82,0.0,0.0,50.63,50.63,50.63,0.0,0.0,50.66,50.66,50.66,0.0,0.0
2019-06-23,50.86,50.86,50.86,0.0,0.0,51.0,51.0,51.0,0.0,0.0,50.86,50.86,50.86,0.0,0.0,50.9,50.9,50.9,0.0,0.0
2019-06-30,50.94,50.94,50.94,0.0,0.0,50.99,50.99,50.99,0.0,0.0,50.75,50.75,50.75,0.0,0.0,50.83,50.83,50.83,0.0,0.0
2019-07-07,50.88,50.88,50.88,0.0,0.0,51.0,51.0,51.0,0.0,0.0,50.88,50.88,50.88,0.0,0.0,51.0,51.0,51.0,0.0,0.0
2019-07-14,51.05,51.05,51.05,0.0,0.0,51.08,51.08,51.08,0.0,0.0,51.0,51.0,51.0,0.0,0.0,51.0,51.0,51.0,0.0,0.0
2019-07-21,51.14,51.14,51.14,0.0,0.0,51.22,51.22,51.22,0.0,0.0,51.04,51.04,51.04,0.0,0.0,51.06,51.06,51.06,0.0,0.0
2019-07-28,51.16,51.16,51.16,0.0,0.0,51.21,51.21,51.21,0.0,0.0,51.03,51.03,51.03,0.0,0.0,51.21,51.21,51.21,0.0,0.0
2019-08-04,51.12,51.12,51.12,0.0,0.0,51.26,51.26,51.26,0.0,0.0,51.11,51.11,51.11,0.0,0.0,51.17,51.17,51.17,0.0,0.0
2019-08-11,51.05,51.05,51.05,0.0,0.0,51.26,51.26,51.26,0.0,0.0,51.04,51.04,51.04,0.0,0.0,51.26,51.26,51.26,0.0,0.0
2019-08-18,51.1,51.1,51.1,0.0,0.0,51.23,51.23,51.23,0.0,0.0,51.08,51.08,51.08,0.0,0.0,51.22,51.22,51.22,0.0,0.0
2019-08-25,51.22,51.22,51.22,0.0,0.0,51.27,51.27,51.27,0.0,0.0,51.1,51.1,51.1,0.0,0.0,51.26,51.26,51.26,0.0,0.0
2019-09-01,51.27,51.27,51.27,0.0,0.0,51.29,51.29,51.29,0.0,0.0,51.14,51.14,51.14,0.0,0.0,51.29,51.29,51.29,0.0,0.0
2019-09-08,51.03,51.03,51.03,0.0,0.0,51.09,51.09,51.09,0.0,0.0,50.85,50.85,50.85,0.0,0.0,50.86,50.86,50.86,0.0,0.0
2019-09-15,51.19,51.19,51.19,0.0,0.0,51.21,51.21,51.21,0.0,0.0,51.1,51.1,51.1,0.0,0.0,51.12,51.12,51.12,0.0,0.0
2019-09-22,51.12,51.12,51.12,0.0,0.0,51.2,51.2,51.2,0.0,0.0,51.09,51.09,51.09,0.0,0.0,51.19,51.19,51.19,0.0,0.0
2019-09-29,51.25,51.25,51.25,0.0,0.0,51.33,51.33,51.33,0.0,0.0,51.16,51.16,51.16,0.0,0.0,51.33,51.33,51.33,0.0,0.0
2019-10-06,51.1,51.1,51.1,0.0,0.0,51.14,51.14,51.14,0.0,0.0,51.04,51.04,51.04,0.0,0.0,51.1,51.1,51.1,0.0,0.0
2019-10-13,51.13,51.13,51.13,0.0,0.0,51.26,51.26,51.26,0.0,0.0,51.13,51.13,51.13,0.0,0.0,51.23,51.23,51.23,0.0,0.0
2019-10-20,51.42,51.42,51.42,0.0,0.0,51.53,51.53,51.53,0.0,0.0,51.4,51.4,51.4,0.0,0.0,51.45,51.45,51.45,0.0,0.0
2019-10-27,51.44,51.44,51.44,0.0,0.0,51.47,51.47,51.47,0.0,0.0,51.34,51.34,51.34,0.0,0.0,51.47,51.47,51.47,0.0,0.0
2019-11-03,51.22,51.22,51.22,0.0,0.0,51.3,51.3,51.3,0.0,0.0,51.17,51.17,51.17,0.0,0.0,51.25,51.25,51.25,0.0,0.0
2019-11-10,51.33,51.33,51.33,0.0,0.0,51.35,51.35,51.35,0.0,0.0,51.28,51.28,51.28,0.0,0.0,51.3,51.3,51.3,0.0,0.0
2019-11-17,51.47,51.47,51.47,0.0,0.0,51.48,51.48,51.48,0.0,0.0,51.41,51.41,51.41,0.0,0.0,51.48,51.48,51.48,0.0,0.0
2019-11-24,51.48,51.48,51.48,0.0,0.0,51.57,51.57,51.57,0.0,0.0,51.48,51.48,51.48,0.0,0.0,51.54,51.54,51.54,0.0,0.0
2019-12-01,51.36,51.36,51.36,0.0,0.0,51.45,51.45,51.45,0.0,0.0,51.32,51.32,51.32,0.0,0.0,51.44,51.44,51.44,0.0,0.0
2019-12-08,51.6,51.6,51.6,0.0,0.0,51.74,51.74,51.74,0.0,0.0,51.58,51.58,51.58,0.0,0.0,51.74,51.74,51.74,0.0,0.0
2019-12-15,51.58,51.58,51.58,0.0,0.0,51.74,51.74,51.74,0.0,0.0,51.58,51.58,51.58,0.0,0.0,51.73,51.73,51.73,0.0,0.0
2019-12-22,51.75,51.75,51.75,0.0,0.0,51.92,51.92,51.92,0.0,0.0,51.75,51.75,51.75,0.0,0.0,51.92,51.92,51.92,0.0,0.0
2019-12-29,51.96,51.96,51.96,0.0,0.0,52.01,52.01,52.01,0.0,0.0,51.86,51.86,51.86,0.0,0.0,52.01,52.01,52.01,0.0,0.0
