Date,ALBKYStock_Open_average,ALBKYStock_Open_max,ALBKYStock_Open_min,ALBKYStock_Open_volatility,ALBKYStock_Open_change,ALBKYStock_High_average,ALBKYStock_High_max,ALBKYStock_High_min,ALBKYStock_High_volatility,ALBKYStock_High_change,ALBKYStock_Low_average,ALBKYStock_Low_max,ALBKYStock_Low_min,ALBKYStock_Low_volatility,ALBKYStock_Low_change,ALBKYStock_Close_average,ALBKYStock_Close_max,ALBKYStock_Close_min,ALBKYStock_Close_volatility,ALBKYStock_Close_change,ALBKYStock_Volume_average,ALBKYStock_Volume_max,ALBKYStock_Volume_min,ALBKYStock_Volume_volatility,ALBKYStock_Volume_change
2018-07-22,0.5104,0.518,0.503,0.015000000000000013,0.007000000000000006,0.5172,0.524,0.51,0.014000000000000012,-0.014000000000000012,0.5102,0.517,0.503,0.014000000000000012,0.007000000000000006,0.517,0.524,0.51,0.014000000000000012,-0.014000000000000012,18939,61600,0,61600,-61600
2018-07-29,0.5146000000000001,0.52,0.51,0.010000000000000009,0.0050000000000000044,0.5208,0.53,0.515,0.015000000000000013,-0.0050000000000000044,0.5086,0.51,0.503,0.007000000000000006,-0.007000000000000006,0.5164,0.53,0.503,0.027000000000000024,-0.017000000000000015,57675,166940,2140,164800,164570
2018-08-05,0.5038,0.512,0.489,0.02300000000000002,-0.0020000000000000018,0.5126000000000001,0.528,0.505,0.02300000000000002,-0.02300000000000002,0.49119999999999997,0.503,0.48,0.02300000000000002,-0.013000000000000012,0.49920000000000003,0.513,0.491,0.02200000000000002,-0.02200000000000002,53801,152900,4375,148525,6287
2018-08-12,0.4498,0.47700000000000004,0.435,0.04200000000000004,-0.041000000000000036,0.45799999999999996,0.47700000000000004,0.44299999999999995,0.034000000000000086,-0.013000000000000067,0.4324,0.461,0.418,0.04300000000000004,-0.025000000000000022,0.4522,0.47,0.435,0.034999999999999976,-0.006000000000000005,324555,1240789,3300,1237489,-92417
2018-08-19,0.45640000000000003,0.495,0.425,0.07,-0.019000000000000017,0.4672,0.495,0.439,0.055999999999999994,-0.016000000000000014,0.4334,0.444,0.425,0.019000000000000017,0.0020000000000000018,0.449,0.47,0.43,0.03999999999999998,-0.031000000000000028,73104,129191,1840,127351,90461
2018-08-26,0.4686,0.48700000000000004,0.447,0.040000000000000036,0.013000000000000012,0.48100000000000004,0.48700000000000004,0.46,0.027000000000000024,-0.027000000000000024,0.449,0.455,0.435,0.020000000000000018,-0.01200000000000001,0.4606,0.475,0.445,0.02999999999999997,-0.006000000000000005,113493,211902,29304,182598,-155362
2018-09-02,0.41825,0.44,0.39299999999999996,0.04700000000000004,-0.04700000000000004,0.42225,0.44,0.409,0.031000000000000028,-0.031000000000000028,0.399,0.42700000000000005,0.38,0.04700000000000004,-0.04700000000000004,0.40675000000000006,0.42700000000000005,0.4,0.027000000000000024,-0.027000000000000024,79736,170787,19980,150807,-16400
2018-09-09,0.374,0.39799999999999996,0.355,0.04299999999999998,-0.017000000000000015,0.3832,0.40299999999999997,0.364,0.03899999999999998,-0.03199999999999997,0.3598,0.385,0.33399999999999996,0.051000000000000045,-0.017000000000000015,0.3732,0.397,0.355,0.04200000000000004,-0.026000000000000023,58455,88944,39701,49243,7795
2018-09-16,0.3766,0.385,0.37,0.015000000000000013,-0.0020000000000000573,0.3916,0.40399999999999997,0.379,0.024999999999999967,0.0030000000000000027,0.3676,0.38,0.359,0.02100000000000002,-0.02100000000000002,0.38539999999999996,0.40399999999999997,0.36,0.043999999999999984,-0.02100000000000002,57265,120646,9378,111268,-10302
2018-09-23,0.3774,0.384,0.368,0.016000000000000014,0.0050000000000000044,0.3862,0.4,0.375,0.025000000000000022,0.025000000000000022,0.3712,0.38,0.361,0.019000000000000017,0.010000000000000009,0.379,0.385,0.361,0.02400000000000002,0.02400000000000002,29559,52530,5600,46930,43205
2018-09-30,0.378,0.402,0.364,0.038000000000000034,0.03700000000000003,0.3828,0.402,0.364,0.038000000000000034,0.02200000000000002,0.3664,0.375,0.363,0.01200000000000001,0.01200000000000001,0.3746,0.38,0.364,0.016000000000000014,0.0,38420,82082,0,82082,-262
2018-10-07,0.362,0.382,0.35,0.03200000000000003,0.018000000000000016,0.3758,0.387,0.35,0.03700000000000003,-0.0050000000000000044,0.352,0.364,0.34600000000000003,0.01799999999999996,-0.014000000000000012,0.36260000000000003,0.38,0.34600000000000003,0.033999999999999975,-0.022999999999999965,66231,123330,24816,98514,39648
2018-10-14,0.3636,0.382,0.33799999999999997,0.04400000000000004,-0.04400000000000004,0.3708,0.382,0.35,0.03200000000000003,-0.03200000000000003,0.3446,0.353,0.33799999999999997,0.015000000000000013,-0.008000000000000063,0.3608,0.38,0.34600000000000003,0.033999999999999975,0.003999999999999948,87042,180393,12850,167543,30638
2018-10-21,0.3508,0.364,0.345,0.019000000000000017,-0.0050000000000000044,0.3616,0.376,0.355,0.02100000000000002,0.0,0.3474,0.35,0.345,0.0050000000000000044,-0.0050000000000000044,0.3524,0.35700000000000004,0.34700000000000003,0.010000000000000009,0.0,86116,318456,1200,317256,290469
2018-10-28,0.346,0.35100000000000003,0.33899999999999997,0.012000000000000066,0.0010000000000000564,0.3536,0.363,0.35,0.013000000000000012,0.0010000000000000564,0.34019999999999995,0.345,0.33899999999999997,0.006000000000000005,0.006000000000000005,0.3456,0.353,0.33899999999999997,0.014000000000000012,0.006000000000000005,34857,65315,2301,63014,15639
2018-11-04,0.3492,0.374,0.331,0.04299999999999998,-0.011999999999999955,0.3584,0.374,0.34600000000000003,0.02799999999999997,-0.007000000000000062,0.337,0.349,0.326,0.022999999999999965,0.0040000000000000036,0.34959999999999997,0.37,0.34299999999999997,0.027000000000000024,-0.0010000000000000009,144461,585320,3002,582318,-2318
2018-11-11,0.3368,0.35600000000000004,0.326,0.030000000000000027,0.01799999999999996,0.3456,0.359,0.331,0.02799999999999997,0.02799999999999997,0.3316,0.344,0.326,0.01799999999999996,0.01799999999999996,0.3404,0.35,0.331,0.01899999999999996,0.013999999999999957,26922,67650,1250,66400,3923
2018-11-18,0.32799999999999996,0.349,0.315,0.033999999999999975,-0.02899999999999997,0.33299999999999996,0.349,0.315,0.033999999999999975,-0.008999999999999952,0.31775,0.327,0.309,0.018000000000000016,-0.007000000000000006,0.33025,0.344,0.313,0.030999999999999972,-0.003999999999999948,34876,52378,20589,31789,-17905
2018-11-25,0.35219999999999996,0.359,0.33899999999999997,0.020000000000000018,0.016000000000000014,0.359,0.374,0.35,0.02400000000000002,0.020000000000000018,0.3418,0.355,0.319,0.035999999999999976,0.016000000000000014,0.3566,0.374,0.345,0.029000000000000026,0.020000000000000018,19071,38027,9174,28853,-17298
2018-12-02,0.374,0.39399999999999996,0.36200000000000004,0.03199999999999992,-0.02899999999999997,0.383,0.397,0.365,0.03200000000000003,-0.03200000000000003,0.35325,0.361,0.332,0.02899999999999997,-0.02799999999999997,0.36325,0.38,0.336,0.043999999999999984,-0.043999999999999984,46660,96368,3984,92384,36231
2018-12-09,0.3356,0.34299999999999997,0.318,0.024999999999999967,-0.017000000000000015,0.3398,0.35,0.324,0.025999999999999968,-0.025999999999999968,0.33080000000000004,0.34,0.318,0.02200000000000002,-0.014000000000000012,0.3356,0.35,0.324,0.025999999999999968,-0.025999999999999968,33533,76427,0,76427,-64427
2018-12-16,0.3126,0.318,0.3,0.018000000000000016,-0.018000000000000016,0.3382,0.37799999999999995,0.31,0.06799999999999995,-0.06799999999999995,0.3036,0.318,0.27,0.04799999999999999,-0.04799999999999999,0.3154,0.344,0.28,0.06399999999999995,-0.06399999999999995,34613,66135,13613,52522,48246
2018-12-23,0.29475,0.32,0.28,0.03999999999999998,-0.03999999999999998,0.3045,0.32,0.294,0.026000000000000023,-0.025000000000000022,0.28150000000000003,0.28800000000000003,0.278,0.010000000000000009,0.0,0.291,0.293,0.29,0.0030000000000000027,0.0010000000000000564,28723,67051,7460,59591,-3480
2018-12-30,0.2856666666666667,0.292,0.27899999999999997,0.013000000000000012,-0.00599999999999995,0.29166666666666663,0.295,0.285,0.010000000000000009,0.0,0.2793333333333333,0.28600000000000003,0.275,0.01100000000000001,0.009000000000000064,0.2846666666666667,0.292,0.275,0.01699999999999996,0.0050000000000000044,29381,71672,2950,68722,-58150
2019-01-06,0.3004,0.32,0.29100000000000004,0.02899999999999997,0.008999999999999952,0.311,0.32,0.3,0.020000000000000018,-0.020000000000000018,0.2946,0.302,0.29,0.01200000000000001,0.0050000000000000044,0.3018,0.31,0.29,0.020000000000000018,0.009000000000000008,54109,112643,13065,99578,-99578
2019-01-13,0.28099999999999997,0.295,0.257,0.03799999999999998,-0.03799999999999998,0.2838,0.301,0.26,0.04099999999999998,-0.03999999999999998,0.26439999999999997,0.295,0.237,0.057999999999999996,-0.057999999999999996,0.2754,0.3,0.25,0.04999999999999999,-0.04999999999999999,140877,448552,16882,431670,390192
2019-01-20,0.2665,0.272,0.256,0.016000000000000014,-0.0020000000000000018,0.2705,0.272,0.27,0.0020000000000000018,-0.0020000000000000018,0.2545,0.262,0.24,0.02200000000000002,0.0020000000000000018,0.261,0.27,0.25,0.020000000000000018,-0.008000000000000007,99962,185850,13850,172000,-79943
2019-01-27,0.2516,0.265,0.24,0.025000000000000022,-0.023999999999999994,0.257,0.265,0.25,0.015000000000000013,-0.015000000000000013,0.243,0.262,0.237,0.025000000000000022,-0.025000000000000022,0.2488,0.262,0.237,0.025000000000000022,-0.025000000000000022,90253,151798,19319,132479,20757
2019-02-03,0.25,0.253,0.247,0.006000000000000005,0.0030000000000000027,0.2594,0.26,0.258,0.0020000000000000018,0.0010000000000000009,0.246,0.25,0.23800000000000002,0.011999999999999983,0.011999999999999983,0.254,0.26,0.244,0.016000000000000014,0.007000000000000006,22781,67654,250,67404,-24021
2019-02-10,0.2674,0.28,0.256,0.02400000000000002,0.02200000000000002,0.272,0.28,0.26,0.020000000000000018,0.020000000000000018,0.2626,0.28,0.248,0.03200000000000003,0.030999999999999972,0.2674,0.28,0.248,0.03200000000000003,0.030999999999999972,10554,20702,0,20702,2560
2019-02-17,0.29975,0.32,0.28,0.03999999999999998,0.019999999999999962,0.3165,0.32,0.31,0.010000000000000009,-0.010000000000000009,0.285,0.3,0.268,0.03199999999999997,0.03199999999999997,0.29625,0.302,0.29,0.01200000000000001,0.007000000000000006,137827,393236,7010,386226,-103122
2019-02-24,0.313,0.35,0.3,0.04999999999999999,0.04999999999999999,0.3278,0.38799999999999996,0.302,0.08599999999999997,0.08599999999999997,0.306,0.33,0.295,0.03500000000000003,0.03500000000000003,0.3204,0.361,0.3,0.061,0.059,74179,256006,8565,247441,247441
2019-03-03,0.3654,0.39799999999999996,0.34,0.05799999999999994,0.03500000000000003,0.3854,0.39799999999999996,0.374,0.023999999999999966,0.0050000000000000044,0.3452,0.354,0.34,0.013999999999999957,-0.007999999999999952,0.3738,0.395,0.35,0.04500000000000004,-0.011999999999999955,100302,205409,24557,180852,-101105
2019-03-10,0.3982,0.418,0.386,0.03199999999999997,0.03199999999999997,0.405,0.426,0.386,0.03999999999999998,0.03999999999999998,0.3814,0.406,0.35100000000000003,0.05499999999999999,0.05499999999999999,0.3942,0.426,0.35100000000000003,0.07499999999999996,0.07499999999999996,67021,122295,9301,112994,54106
2019-03-17,0.4138,0.428,0.4,0.02799999999999997,-0.008000000000000007,0.422,0.442,0.41,0.03200000000000003,-0.03200000000000003,0.394,0.409,0.375,0.033999999999999975,-0.033999999999999975,0.39640000000000003,0.41200000000000003,0.375,0.03700000000000003,-0.03700000000000003,53431,154687,14896,139791,-117442
2019-03-24,0.3628,0.379,0.353,0.026000000000000023,-0.019000000000000017,0.3788,0.396,0.37,0.026000000000000023,-0.026000000000000023,0.3626,0.379,0.353,0.026000000000000023,-0.019000000000000017,0.3746,0.387,0.365,0.02200000000000002,-0.015000000000000013,9176,13310,1300,12010,-3852
2019-03-31,0.39139999999999997,0.4,0.38299999999999995,0.01700000000000007,-0.0040000000000000036,0.41159999999999997,0.429,0.39,0.03899999999999998,0.035999999999999976,0.38539999999999996,0.395,0.37,0.025000000000000022,0.016000000000000014,0.393,0.40700000000000003,0.38299999999999995,0.024000000000000077,0.024000000000000077,39193,50500,30655,19845,-6787
2019-04-07,0.41719999999999996,0.44,0.39299999999999996,0.04700000000000004,0.027000000000000024,0.44480000000000003,0.47100000000000003,0.414,0.05700000000000005,0.051000000000000045,0.4092,0.42200000000000004,0.39299999999999996,0.02900000000000008,0.027000000000000024,0.4288,0.44299999999999995,0.405,0.03799999999999992,0.03799999999999992,69059,243864,7190,236674,46418
2019-04-14,0.44425000000000003,0.457,0.42700000000000005,0.02999999999999997,-0.012999999999999956,0.459,0.47200000000000003,0.451,0.02100000000000002,-0.016000000000000014,0.4305,0.45299999999999996,0.40700000000000003,0.04599999999999993,-0.022999999999999965,0.4405,0.455,0.43,0.025000000000000022,-0.010000000000000009,40522,84836,1570,83266,69501
2019-04-21,0.4248,0.43200000000000005,0.414,0.01800000000000007,-0.014000000000000068,0.4454,0.45,0.44,0.010000000000000009,0.007000000000000062,0.4218,0.43,0.414,0.016000000000000014,-0.01200000000000001,0.4422,0.45,0.43,0.020000000000000018,0.020000000000000018,9692,19550,5400,14150,-2602
2019-04-28,0.4112,0.434,0.395,0.03899999999999998,-0.008000000000000063,0.43079999999999996,0.452,0.415,0.03700000000000003,-0.03700000000000003,0.4046,0.41700000000000004,0.395,0.02200000000000002,-0.017000000000000015,0.42219999999999996,0.452,0.41,0.04200000000000004,-0.04200000000000004,24055,79241,1617,77624,19208
2019-05-05,0.37220000000000003,0.392,0.35100000000000003,0.04099999999999998,0.034999999999999976,0.3846,0.395,0.37,0.025000000000000022,-0.009000000000000008,0.36819999999999997,0.38299999999999995,0.35100000000000003,0.03199999999999992,0.03199999999999992,0.38180000000000003,0.395,0.37,0.025000000000000022,-0.012000000000000066,16206,47596,312,47284,-10684
2019-05-12,0.38849999999999996,0.39899999999999997,0.382,0.01699999999999996,0.0030000000000000027,0.392,0.401,0.38299999999999995,0.01800000000000007,0.0020000000000000573,0.36075,0.36200000000000004,0.36,0.0020000000000000573,0.0,0.37925,0.395,0.36,0.03500000000000003,0.02200000000000002,29558,66449,9022,57427,42909
2019-05-19,0.3712,0.382,0.36,0.02200000000000002,-0.014000000000000012,0.3726,0.382,0.36,0.02200000000000002,-0.02100000000000002,0.36519999999999997,0.382,0.36,0.02200000000000002,0.0,0.3694,0.382,0.36,0.02200000000000002,-0.02100000000000002,2881,8307,0,8307,-6100
2019-05-26,0.4195,0.428,0.414,0.014000000000000012,0.00599999999999995,0.45725,0.507,0.414,0.09300000000000003,0.03700000000000003,0.41100000000000003,0.428,0.397,0.030999999999999972,0.022999999999999965,0.4355,0.505,0.39899999999999997,0.10600000000000004,0.09500000000000003,195472,484088,33334,450754,254960
2019-06-02,0.4712,0.48200000000000004,0.46,0.02200000000000002,-0.007000000000000062,0.482,0.52,0.46,0.06,-0.031000000000000028,0.4608,0.475,0.43799999999999994,0.03700000000000003,0.014999999999999958,0.4728,0.49,0.455,0.034999999999999976,-0.01200000000000001,94236,363436,5000,358436,-294596
2019-06-09,0.4798,0.504,0.44799999999999995,0.05600000000000005,0.002999999999999947,0.4956,0.512,0.46399999999999997,0.04800000000000004,0.024999999999999967,0.459,0.47600000000000003,0.429,0.04700000000000004,0.04700000000000004,0.4852,0.512,0.46399999999999997,0.04800000000000004,0.04200000000000004,55465,148020,27271,120749,-5608
2019-06-16,0.4964,0.517,0.48,0.03700000000000003,-0.02300000000000002,0.5062,0.517,0.496,0.02100000000000002,-0.02100000000000002,0.47459999999999997,0.489,0.44299999999999995,0.04600000000000004,-0.03700000000000003,0.489,0.509,0.44299999999999995,0.06600000000000006,-0.06600000000000006,76862,116574,5922,110652,-104855
2019-06-23,0.5034,0.524,0.48,0.04400000000000004,0.027000000000000024,0.517,0.524,0.509,0.015000000000000013,0.014000000000000012,0.4936,0.511,0.48,0.031000000000000028,0.031000000000000028,0.507,0.517,0.494,0.02300000000000002,0.02300000000000002,128520,290519,1448,289071,-190624
2019-06-30,0.50375,0.513,0.495,0.018000000000000016,0.01200000000000001,0.52675,0.55,0.518,0.03200000000000003,0.03200000000000003,0.494,0.5,0.485,0.015000000000000013,0.0010000000000000009,0.5125,0.528,0.5,0.028000000000000025,0.026000000000000023,64597,113972,6639,107333,107333
2019-07-07,0.50975,0.53,0.496,0.03400000000000003,-0.03400000000000003,0.50975,0.53,0.496,0.03400000000000003,-0.03400000000000003,0.4825,0.485,0.48,0.0050000000000000044,0.0050000000000000044,0.4945,0.508,0.485,0.02300000000000002,-0.02300000000000002,34193,43065,22000,21065,-21065
2019-07-14,0.48175,0.49,0.475,0.015000000000000013,-0.015000000000000013,0.48925,0.5,0.47700000000000004,0.022999999999999965,-0.020000000000000018,0.4745,0.485,0.47,0.015000000000000013,-0.01200000000000001,0.48,0.5,0.47,0.030000000000000027,-0.020000000000000018,32131,57183,10734,46449,-24360
2019-07-21,0.4802,0.513,0.46,0.05299999999999999,-0.05299999999999999,0.48619999999999997,0.513,0.47,0.04300000000000004,-0.04300000000000004,0.461,0.475,0.45399999999999996,0.02100000000000002,-0.01899999999999996,0.4708,0.48200000000000004,0.46,0.02200000000000002,-0.01800000000000007,31581,56778,1900,54878,20490
2019-07-28,0.4682,0.48,0.456,0.023999999999999966,0.0040000000000000036,0.4722,0.48,0.465,0.014999999999999958,-0.004999999999999949,0.4606,0.475,0.452,0.022999999999999965,0.0019999999999999463,0.4662,0.47600000000000003,0.45799999999999996,0.01800000000000007,-0.01200000000000001,20205,49911,2900,47011,14963
2019-08-04,0.438,0.461,0.42,0.041000000000000036,-0.030000000000000027,0.4608,0.47,0.44,0.02999999999999997,-0.02999999999999997,0.421,0.44,0.405,0.034999999999999976,0.0,0.4426,0.47,0.405,0.06499999999999995,-0.022000000000000075,49737,135450,4105,131345,-131345
2019-08-11,0.4114,0.425,0.39,0.034999999999999976,-0.01799999999999996,0.4228,0.442,0.41,0.03200000000000003,-0.0050000000000000044,0.3846,0.419,0.35200000000000004,0.06699999999999995,0.05499999999999999,0.4136,0.442,0.385,0.056999999999999995,0.0,38858,108211,3400,104811,-72035
