Date,Amplify YieldShares CWP Dividend Option IncomeEtf_Open_average,Amplify YieldShares CWP Dividend Option IncomeEtf_Open_max,Amplify YieldShares CWP Dividend Option IncomeEtf_Open_min,Amplify YieldShares CWP Dividend Option IncomeEtf_Open_volatility,Amplify YieldShares CWP Dividend Option IncomeEtf_Open_change,Amplify YieldShares CWP Dividend Option IncomeEtf_High_average,Amplify YieldShares CWP Dividend Option IncomeEtf_High_max,Amplify YieldShares CWP Dividend Option IncomeEtf_High_min,Amplify YieldShares CWP Dividend Option IncomeEtf_High_volatility,Amplify YieldShares CWP Dividend Option IncomeEtf_High_change,Amplify YieldShares CWP Dividend Option IncomeEtf_Low_average,Amplify YieldShares CWP Dividend Option IncomeEtf_Low_max,Amplify YieldShares CWP Dividend Option IncomeEtf_Low_min,Amplify YieldShares CWP Dividend Option IncomeEtf_Low_volatility,Amplify YieldShares CWP Dividend Option IncomeEtf_Low_change,Amplify YieldShares CWP Dividend Option IncomeEtf_Close_average,Amplify YieldShares CWP Dividend Option IncomeEtf_Close_max,Amplify YieldShares CWP Dividend Option IncomeEtf_Close_min,Amplify YieldShares CWP Dividend Option IncomeEtf_Close_volatility,Amplify YieldShares CWP Dividend Option IncomeEtf_Close_change
2018-03-25,27.76,27.76,27.76,0.0,0.0,27.88,27.88,27.88,0.0,0.0,27.76,27.76,27.76,0.0,0.0,27.88,27.88,27.88,0.0,0.0
2018-04-01,28.03,28.03,28.03,0.0,0.0,28.03,28.03,28.03,0.0,0.0,27.6,27.6,27.6,0.0,0.0,27.6,27.6,27.6,0.0,0.0
2018-04-08,28.14,28.14,28.14,0.0,0.0,28.18,28.18,28.18,0.0,0.0,28.05,28.05,28.05,0.0,0.0,28.05,28.05,28.05,0.0,0.0
2018-04-15,28.5,28.5,28.5,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.13,28.13,28.13,0.0,0.0,28.13,28.13,28.13,0.0,0.0
2018-04-22,28.25,28.25,28.25,0.0,0.0,28.25,28.25,28.25,0.0,0.0,28.2,28.2,28.2,0.0,0.0,28.2,28.2,28.2,0.0,0.0
2018-04-29,28.1,28.1,28.1,0.0,0.0,28.1,28.1,28.1,0.0,0.0,28.1,28.1,28.1,0.0,0.0,28.1,28.1,28.1,0.0,0.0
2018-05-06,28.48,28.48,28.48,0.0,0.0,28.51,28.51,28.51,0.0,0.0,28.48,28.48,28.48,0.0,0.0,28.5,28.5,28.5,0.0,0.0
2018-05-13,28.81,28.81,28.81,0.0,0.0,28.81,28.81,28.81,0.0,0.0,28.57,28.57,28.57,0.0,0.0,28.57,28.57,28.57,0.0,0.0
2018-05-20,28.4,28.4,28.4,0.0,0.0,28.4,28.4,28.4,0.0,0.0,28.4,28.4,28.4,0.0,0.0,28.4,28.4,28.4,0.0,0.0
2018-05-27,28.78,28.78,28.78,0.0,0.0,28.78,28.78,28.78,0.0,0.0,28.58,28.58,28.58,0.0,0.0,28.58,28.58,28.58,0.0,0.0
2018-06-03,29.35,29.35,29.35,0.0,0.0,29.35,29.35,29.35,0.0,0.0,29.35,29.35,29.35,0.0,0.0,29.35,29.35,29.35,0.0,0.0
2018-06-10,29.17,29.17,29.17,0.0,0.0,29.17,29.17,29.17,0.0,0.0,29.15,29.15,29.15,0.0,0.0,29.17,29.17,29.17,0.0,0.0
2018-06-17,28.86,28.86,28.86,0.0,0.0,28.86,28.86,28.86,0.0,0.0,28.77,28.77,28.77,0.0,0.0,28.8,28.8,28.8,0.0,0.0
2018-06-24,28.37,28.37,28.37,0.0,0.0,28.46,28.46,28.46,0.0,0.0,28.35,28.35,28.35,0.0,0.0,28.38,28.38,28.38,0.0,0.0
2018-07-01,28.3,28.3,28.3,0.0,0.0,28.38,28.38,28.38,0.0,0.0,28.3,28.3,28.3,0.0,0.0,28.36,28.36,28.36,0.0,0.0
2018-07-08,28.93,28.93,28.93,0.0,0.0,28.93,28.93,28.93,0.0,0.0,28.93,28.93,28.93,0.0,0.0,28.93,28.93,28.93,0.0,0.0
2018-07-15,29.14,29.14,29.14,0.0,0.0,29.14,29.14,29.14,0.0,0.0,29.14,29.14,29.14,0.0,0.0,29.14,29.14,29.14,0.0,0.0
2018-07-22,29.52,29.52,29.52,0.0,0.0,29.54,29.54,29.54,0.0,0.0,29.41,29.41,29.41,0.0,0.0,29.47,29.47,29.47,0.0,0.0
2018-07-29,29.32,29.32,29.32,0.0,0.0,29.44,29.44,29.44,0.0,0.0,29.29,29.29,29.29,0.0,0.0,29.41,29.41,29.41,0.0,0.0
2018-08-05,29.18,29.18,29.18,0.0,0.0,29.29,29.29,29.29,0.0,0.0,29.15,29.15,29.15,0.0,0.0,29.27,29.27,29.27,0.0,0.0
2018-08-12,29.46,29.46,29.46,0.0,0.0,29.57,29.57,29.57,0.0,0.0,29.37,29.37,29.37,0.0,0.0,29.57,29.57,29.57,0.0,0.0
2018-08-19,29.63,29.63,29.63,0.0,0.0,29.63,29.63,29.63,0.0,0.0,29.58,29.58,29.58,0.0,0.0,29.62,29.62,29.62,0.0,0.0
2018-08-26,29.49,29.49,29.49,0.0,0.0,29.63,29.63,29.63,0.0,0.0,29.48,29.48,29.48,0.0,0.0,29.48,29.48,29.48,0.0,0.0
2018-09-02,29.46,29.46,29.46,0.0,0.0,29.46,29.46,29.46,0.0,0.0,29.36,29.36,29.36,0.0,0.0,29.46,29.46,29.46,0.0,0.0
2018-09-09,29.41,29.41,29.41,0.0,0.0,29.67,29.67,29.67,0.0,0.0,29.41,29.41,29.41,0.0,0.0,29.67,29.67,29.67,0.0,0.0
2018-09-16,30.16,30.16,30.16,0.0,0.0,30.2,30.2,30.2,0.0,0.0,30.16,30.16,30.16,0.0,0.0,30.18,30.18,30.18,0.0,0.0
2018-09-23,30.01,30.01,30.01,0.0,0.0,30.15,30.15,30.15,0.0,0.0,30.01,30.01,30.01,0.0,0.0,30.03,30.03,30.03,0.0,0.0
2018-09-30,29.28,29.28,29.28,0.0,0.0,29.79,29.79,29.79,0.0,0.0,29.28,29.28,29.28,0.0,0.0,29.75,29.75,29.75,0.0,0.0
2018-10-07,29.35,29.35,29.35,0.0,0.0,29.35,29.35,29.35,0.0,0.0,28.57,28.57,28.57,0.0,0.0,28.7,28.7,28.7,0.0,0.0
2018-10-14,29.1,29.1,29.1,0.0,0.0,29.1,29.1,29.1,0.0,0.0,29.1,29.1,29.1,0.0,0.0,29.1,29.1,29.1,0.0,0.0
2018-10-21,28.2,28.2,28.2,0.0,0.0,28.39,28.39,28.39,0.0,0.0,28.19,28.19,28.19,0.0,0.0,28.19,28.19,28.19,0.0,0.0
2018-10-28,28.8,28.8,28.8,0.0,0.0,28.85,28.85,28.85,0.0,0.0,28.62,28.62,28.62,0.0,0.0,28.62,28.62,28.62,0.0,0.0
2018-11-04,29.4,29.4,29.4,0.0,0.0,29.4,29.4,29.4,0.0,0.0,29.27,29.27,29.27,0.0,0.0,29.27,29.27,29.27,0.0,0.0
2018-11-11,29.09,29.09,29.09,0.0,0.0,29.15,29.15,29.15,0.0,0.0,29.09,29.09,29.09,0.0,0.0,29.15,29.15,29.15,0.0,0.0
2018-11-18,29.09,29.09,29.09,0.0,0.0,29.09,29.09,29.09,0.0,0.0,28.11,28.11,28.11,0.0,0.0,28.12,28.12,28.12,0.0,0.0
2018-11-25,29.13,29.13,29.13,0.0,0.0,29.13,29.13,29.13,0.0,0.0,29.12,29.12,29.12,0.0,0.0,29.12,29.12,29.12,0.0,0.0
2018-12-02,28.83,28.83,28.83,0.0,0.0,28.83,28.83,28.83,0.0,0.0,28.8,28.8,28.8,0.0,0.0,28.8,28.8,28.8,0.0,0.0
2018-12-09,28.4,28.4,28.4,0.0,0.0,28.4,28.4,28.4,0.0,0.0,27.74,27.74,27.74,0.0,0.0,27.74,27.74,27.74,0.0,0.0
2018-12-16,26.35,26.35,26.35,0.0,0.0,26.67,26.67,26.67,0.0,0.0,25.96,25.96,25.96,0.0,0.0,26.04,26.04,26.04,0.0,0.0
2018-12-23,26.72,26.72,26.72,0.0,0.0,26.72,26.72,26.72,0.0,0.0,26.49,26.49,26.49,0.0,0.0,26.54,26.54,26.54,0.0,0.0
2018-12-30,26.56,26.56,26.56,0.0,0.0,28.27,28.27,28.27,0.0,0.0,26.52,26.52,26.52,0.0,0.0,26.79,26.79,26.79,0.0,0.0
2019-01-06,27.22,27.22,27.22,0.0,0.0,27.3,27.3,27.3,0.0,0.0,27.22,27.22,27.22,0.0,0.0,27.28,27.28,27.28,0.0,0.0
2019-01-13,27.75,27.75,27.75,0.0,0.0,27.9,27.9,27.9,0.0,0.0,27.75,27.75,27.75,0.0,0.0,27.9,27.9,27.9,0.0,0.0
2019-01-20,28.09,28.09,28.09,0.0,0.0,28.1,28.1,28.1,0.0,0.0,27.92,27.92,27.92,0.0,0.0,27.97,27.97,27.97,0.0,0.0
2019-01-27,28.12,28.12,28.12,0.0,0.0,28.24,28.24,28.24,0.0,0.0,28.07,28.07,28.07,0.0,0.0,28.07,28.07,28.07,0.0,0.0
2019-02-03,27.91,27.91,27.91,0.0,0.0,28.11,28.11,28.11,0.0,0.0,27.74,27.74,27.74,0.0,0.0,28.11,28.11,28.11,0.0,0.0
2019-02-10,28.79,28.79,28.79,0.0,0.0,28.8,28.8,28.8,0.0,0.0,28.63,28.63,28.63,0.0,0.0,28.77,28.77,28.77,0.0,0.0
2019-02-17,29.02,29.02,29.02,0.0,0.0,29.1,29.1,29.1,0.0,0.0,29.02,29.02,29.02,0.0,0.0,29.08,29.08,29.08,0.0,0.0
2019-02-24,29.16,29.16,29.16,0.0,0.0,29.16,29.16,29.16,0.0,0.0,28.89,28.89,28.89,0.0,0.0,28.94,28.94,28.94,0.0,0.0
2019-03-03,28.51,28.51,28.51,0.0,0.0,28.57,28.57,28.57,0.0,0.0,28.39,28.39,28.39,0.0,0.0,28.57,28.57,28.57,0.0,0.0
2019-03-10,29.15,29.15,29.15,0.0,0.0,29.29,29.29,29.29,0.0,0.0,29.12,29.12,29.12,0.0,0.0,29.17,29.17,29.17,0.0,0.0
2019-03-17,29.22,29.22,29.22,0.0,0.0,29.25,29.25,29.25,0.0,0.0,28.88,28.88,28.88,0.0,0.0,28.9,28.9,28.9,0.0,0.0
2019-03-24,29.1,29.1,29.1,0.0,0.0,29.2,29.2,29.2,0.0,0.0,29.1,29.1,29.1,0.0,0.0,29.18,29.18,29.18,0.0,0.0
2019-03-31,29.65,29.65,29.65,0.0,0.0,29.65,29.65,29.65,0.0,0.0,29.54,29.54,29.54,0.0,0.0,29.54,29.54,29.54,0.0,0.0
2019-04-07,29.64,29.64,29.64,0.0,0.0,29.64,29.64,29.64,0.0,0.0,29.57,29.57,29.57,0.0,0.0,29.57,29.57,29.57,0.0,0.0
2019-04-14,29.56,29.56,29.56,0.0,0.0,29.69,29.69,29.69,0.0,0.0,29.56,29.56,29.56,0.0,0.0,29.64,29.64,29.64,0.0,0.0
2019-04-21,29.61,29.61,29.61,0.0,0.0,29.73,29.73,29.73,0.0,0.0,29.61,29.61,29.61,0.0,0.0,29.72,29.72,29.72,0.0,0.0
2019-04-28,29.62,29.62,29.62,0.0,0.0,29.62,29.62,29.62,0.0,0.0,29.61,29.61,29.61,0.0,0.0,29.61,29.61,29.61,0.0,0.0
2019-05-05,29.0,29.0,29.0,0.0,0.0,29.25,29.25,29.25,0.0,0.0,28.86,28.86,28.86,0.0,0.0,29.25,29.25,29.25,0.0,0.0
2019-05-12,29.26,29.26,29.26,0.0,0.0,29.26,29.26,29.26,0.0,0.0,29.25,29.25,29.25,0.0,0.0,29.25,29.25,29.25,0.0,0.0
2019-05-19,29.35,29.35,29.35,0.0,0.0,29.35,29.35,29.35,0.0,0.0,29.24,29.24,29.24,0.0,0.0,29.29,29.29,29.29,0.0,0.0
2019-05-26,28.57,28.57,28.57,0.0,0.0,28.57,28.57,28.57,0.0,0.0,28.42,28.42,28.42,0.0,0.0,28.5,28.5,28.5,0.0,0.0
2019-06-02,29.69,29.69,29.69,0.0,0.0,29.8,29.8,29.8,0.0,0.0,29.69,29.69,29.69,0.0,0.0,29.75,29.75,29.75,0.0,0.0
2019-06-09,29.88,29.88,29.88,0.0,0.0,30.05,30.05,30.05,0.0,0.0,29.88,29.88,29.88,0.0,0.0,30.01,30.01,30.01,0.0,0.0
2019-06-16,30.42,30.42,30.42,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.42,30.42,30.42,0.0,0.0,30.45,30.45,30.45,0.0,0.0
2019-06-23,30.2,30.2,30.2,0.0,0.0,30.2,30.2,30.2,0.0,0.0,30.08,30.08,30.08,0.0,0.0,30.16,30.16,30.16,0.0,0.0
2019-06-30,30.39,30.39,30.39,0.0,0.0,30.56,30.56,30.56,0.0,0.0,30.39,30.39,30.39,0.0,0.0,30.49,30.49,30.49,0.0,0.0
2019-07-07,30.88,30.88,30.88,0.0,0.0,30.88,30.88,30.88,0.0,0.0,30.67,30.67,30.67,0.0,0.0,30.8,30.8,30.8,0.0,0.0
2019-07-14,30.77,30.77,30.77,0.0,0.0,30.77,30.77,30.77,0.0,0.0,30.71,30.71,30.71,0.0,0.0,30.71,30.71,30.71,0.0,0.0
2019-07-21,30.6,30.6,30.6,0.0,0.0,30.73,30.73,30.73,0.0,0.0,30.6,30.6,30.6,0.0,0.0,30.73,30.73,30.73,0.0,0.0
2019-07-28,30.07,30.07,30.07,0.0,0.0,30.1,30.1,30.1,0.0,0.0,29.85,29.85,29.85,0.0,0.0,30.1,30.1,30.1,0.0,0.0
2019-08-04,29.85,29.85,29.85,0.0,0.0,30.12,30.12,30.12,0.0,0.0,29.85,29.85,29.85,0.0,0.0,30.04,30.04,30.04,0.0,0.0
2019-08-11,29.75,29.75,29.75,0.0,0.0,29.95,29.95,29.95,0.0,0.0,29.75,29.75,29.75,0.0,0.0,29.88,29.88,29.88,0.0,0.0
2019-08-18,30.39,30.39,30.39,0.0,0.0,30.39,30.39,30.39,0.0,0.0,29.47,29.47,29.47,0.0,0.0,29.47,29.47,29.47,0.0,0.0
2019-08-25,30.22,30.22,30.22,0.0,0.0,30.22,30.22,30.22,0.0,0.0,30.18,30.18,30.18,0.0,0.0,30.19,30.19,30.19,0.0,0.0
2019-09-01,30.68,30.68,30.68,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.53,30.53,30.53,0.0,0.0
2019-09-08,30.83,30.83,30.83,0.0,0.0,31.39,31.39,31.39,0.0,0.0,30.7,30.7,30.7,0.0,0.0,30.71,30.71,30.71,0.0,0.0
2019-09-15,30.96,30.96,30.96,0.0,0.0,30.96,30.96,30.96,0.0,0.0,30.62,30.62,30.62,0.0,0.0,30.62,30.62,30.62,0.0,0.0
2019-09-22,30.45,30.45,30.45,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.14,30.14,30.14,0.0,0.0,30.33,30.33,30.33,0.0,0.0
2019-09-29,30.12,30.12,30.12,0.0,0.0,30.32,30.32,30.32,0.0,0.0,30.07,30.07,30.07,0.0,0.0,30.32,30.32,30.32,0.0,0.0
2019-10-06,30.6,30.6,30.6,0.0,0.0,30.63,30.63,30.63,0.0,0.0,30.49,30.49,30.49,0.0,0.0,30.49,30.49,30.49,0.0,0.0
2019-10-13,30.66,30.66,30.66,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.45,30.45,30.45,0.0,0.0,30.5,30.5,30.5,0.0,0.0
2019-10-20,30.49,30.49,30.49,0.0,0.0,30.6,30.6,30.6,0.0,0.0,30.46,30.46,30.46,0.0,0.0,30.54,30.54,30.54,0.0,0.0
2019-10-27,30.89,30.89,30.89,0.0,0.0,30.89,30.89,30.89,0.0,0.0,30.61,30.61,30.61,0.0,0.0,30.65,30.65,30.65,0.0,0.0
2019-11-03,30.83,30.83,30.83,0.0,0.0,30.86,30.86,30.86,0.0,0.0,30.78,30.78,30.78,0.0,0.0,30.83,30.83,30.83,0.0,0.0
2019-11-10,31.23,31.23,31.23,0.0,0.0,31.3,31.3,31.3,0.0,0.0,31.16,31.16,31.16,0.0,0.0,31.3,31.3,31.3,0.0,0.0
2019-11-17,31.09,31.09,31.09,0.0,0.0,31.16,31.16,31.16,0.0,0.0,31.02,31.02,31.02,0.0,0.0,31.15,31.15,31.15,0.0,0.0
2019-11-24,31.5,31.5,31.5,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.13,31.13,31.13,0.0,0.0,31.14,31.14,31.14,0.0,0.0
2019-12-01,31.03,31.03,31.03,0.0,0.0,31.33,31.33,31.33,0.0,0.0,31.03,31.03,31.03,0.0,0.0,31.27,31.27,31.27,0.0,0.0
2019-12-08,31.3,31.3,31.3,0.0,0.0,32.06,32.06,32.06,0.0,0.0,31.23,31.23,31.23,0.0,0.0,31.41,31.41,31.41,0.0,0.0
2019-12-15,31.47,31.47,31.47,0.0,0.0,31.64,31.64,31.64,0.0,0.0,31.47,31.47,31.47,0.0,0.0,31.6,31.6,31.6,0.0,0.0
2019-12-22,31.75,31.75,31.75,0.0,0.0,31.84,31.84,31.84,0.0,0.0,31.68,31.68,31.68,0.0,0.0,31.72,31.72,31.72,0.0,0.0
2019-12-29,31.33,31.33,31.33,0.0,0.0,31.33,31.33,31.33,0.0,0.0,30.65,30.65,30.65,0.0,0.0,30.77,30.77,30.77,0.0,0.0
