Date,FlexShares Currency Hedged Morningstar DM ex-US_Open_average,FlexShares Currency Hedged Morningstar DM ex-US_Open_max,FlexShares Currency Hedged Morningstar DM ex-US_Open_min,FlexShares Currency Hedged Morningstar DM ex-US_Open_volatility,FlexShares Currency Hedged Morningstar DM ex-US_Open_change,FlexShares Currency Hedged Morningstar DM ex-US_High_average,FlexShares Currency Hedged Morningstar DM ex-US_High_max,FlexShares Currency Hedged Morningstar DM ex-US_High_min,FlexShares Currency Hedged Morningstar DM ex-US_High_volatility,FlexShares Currency Hedged Morningstar DM ex-US_High_change,FlexShares Currency Hedged Morningstar DM ex-US_Low_average,FlexShares Currency Hedged Morningstar DM ex-US_Low_max,FlexShares Currency Hedged Morningstar DM ex-US_Low_min,FlexShares Currency Hedged Morningstar DM ex-US_Low_volatility,FlexShares Currency Hedged Morningstar DM ex-US_Low_change,FlexShares Currency Hedged Morningstar DM ex-US_Close_average,FlexShares Currency Hedged Morningstar DM ex-US_Close_max,FlexShares Currency Hedged Morningstar DM ex-US_Close_min,FlexShares Currency Hedged Morningstar DM ex-US_Close_volatility,FlexShares Currency Hedged Morningstar DM ex-US_Close_change
2018-04-15,28.21,28.21,28.21,0.0,0.0,28.21,28.21,28.21,0.0,0.0,28.21,28.21,28.21,0.0,0.0,28.21,28.21,28.21,0.0,0.0
2018-04-22,28.82,28.82,28.82,0.0,0.0,28.82,28.82,28.82,0.0,0.0,28.82,28.82,28.82,0.0,0.0,28.82,28.82,28.82,0.0,0.0
2018-04-29,28.73,28.73,28.73,0.0,0.0,28.73,28.73,28.73,0.0,0.0,28.73,28.73,28.73,0.0,0.0,28.73,28.73,28.73,0.0,0.0
2018-05-06,29.3,29.3,29.3,0.0,0.0,29.3,29.3,29.3,0.0,0.0,29.13,29.13,29.13,0.0,0.0,29.2,29.2,29.2,0.0,0.0
2018-05-13,29.48,29.48,29.48,0.0,0.0,29.48,29.48,29.48,0.0,0.0,29.35,29.35,29.35,0.0,0.0,29.35,29.35,29.35,0.0,0.0
2018-05-20,29.0,29.0,29.0,0.0,0.0,29.02,29.02,29.02,0.0,0.0,28.98,28.98,28.98,0.0,0.0,28.98,28.98,28.98,0.0,0.0
2018-05-27,28.86,28.86,28.86,0.0,0.0,28.86,28.86,28.86,0.0,0.0,28.86,28.86,28.86,0.0,0.0,28.86,28.86,28.86,0.0,0.0
2018-06-03,28.97,28.97,28.97,0.0,0.0,29.07,29.07,29.07,0.0,0.0,28.97,28.97,28.97,0.0,0.0,29.07,29.07,29.07,0.0,0.0
2018-06-10,28.9,28.9,28.9,0.0,0.0,28.9,28.9,28.9,0.0,0.0,28.84,28.84,28.84,0.0,0.0,28.84,28.84,28.84,0.0,0.0
2018-06-17,28.4,28.4,28.4,0.0,0.0,28.4,28.4,28.4,0.0,0.0,28.4,28.4,28.4,0.0,0.0,28.4,28.4,28.4,0.0,0.0
2018-06-24,28.06,28.06,28.06,0.0,0.0,28.06,28.06,28.06,0.0,0.0,27.96,27.96,27.96,0.0,0.0,27.96,27.96,27.96,0.0,0.0
2018-07-01,27.9,27.9,27.9,0.0,0.0,27.93,27.93,27.93,0.0,0.0,27.9,27.9,27.9,0.0,0.0,27.93,27.93,27.93,0.0,0.0
2018-07-08,28.21,28.21,28.21,0.0,0.0,28.21,28.21,28.21,0.0,0.0,28.11,28.11,28.11,0.0,0.0,28.14,28.14,28.14,0.0,0.0
2018-07-15,27.9,27.9,27.9,0.0,0.0,27.9,27.9,27.9,0.0,0.0,27.9,27.9,27.9,0.0,0.0,27.9,27.9,27.9,0.0,0.0
2018-07-22,28.63,28.63,28.63,0.0,0.0,28.63,28.63,28.63,0.0,0.0,28.63,28.63,28.63,0.0,0.0,28.63,28.63,28.63,0.0,0.0
2018-07-29,28.69,28.69,28.69,0.0,0.0,28.72,28.72,28.72,0.0,0.0,28.69,28.69,28.69,0.0,0.0,28.72,28.72,28.72,0.0,0.0
2018-08-05,28.57,28.57,28.57,0.0,0.0,28.57,28.57,28.57,0.0,0.0,28.57,28.57,28.57,0.0,0.0,28.57,28.57,28.57,0.0,0.0
2018-08-12,28.06,28.06,28.06,0.0,0.0,28.08,28.08,28.08,0.0,0.0,27.98,27.98,27.98,0.0,0.0,27.98,27.98,27.98,0.0,0.0
2018-08-19,28.32,28.32,28.32,0.0,0.0,28.32,28.32,28.32,0.0,0.0,28.32,28.32,28.32,0.0,0.0,28.32,28.32,28.32,0.0,0.0
2018-08-26,28.26,28.26,28.26,0.0,0.0,28.29,28.29,28.29,0.0,0.0,28.26,28.26,28.26,0.0,0.0,28.29,28.29,28.29,0.0,0.0
2018-09-02,27.57,27.57,27.57,0.0,0.0,27.72,27.72,27.72,0.0,0.0,27.55,27.55,27.55,0.0,0.0,27.7,27.7,27.7,0.0,0.0
2018-09-09,27.88,27.88,27.88,0.0,0.0,27.88,27.88,27.88,0.0,0.0,27.83,27.83,27.83,0.0,0.0,27.83,27.83,27.83,0.0,0.0
2018-09-16,28.49,28.49,28.49,0.0,0.0,28.49,28.49,28.49,0.0,0.0,28.49,28.49,28.49,0.0,0.0,28.49,28.49,28.49,0.0,0.0
2018-09-23,28.52,28.52,28.52,0.0,0.0,28.52,28.52,28.52,0.0,0.0,28.52,28.52,28.52,0.0,0.0,28.52,28.52,28.52,0.0,0.0
2018-09-30,28.32,28.32,28.32,0.0,0.0,28.32,28.32,28.32,0.0,0.0,28.32,28.32,28.32,0.0,0.0,28.32,28.32,28.32,0.0,0.0
2018-10-07,26.93,26.93,26.93,0.0,0.0,26.93,26.93,26.93,0.0,0.0,26.23,26.23,26.23,0.0,0.0,26.89,26.89,26.89,0.0,0.0
2018-10-14,26.87,26.87,26.87,0.0,0.0,26.87,26.87,26.87,0.0,0.0,26.87,26.87,26.87,0.0,0.0,26.87,26.87,26.87,0.0,0.0
2018-10-21,25.7,25.7,25.7,0.0,0.0,25.98,25.98,25.98,0.0,0.0,25.55,25.55,25.55,0.0,0.0,25.85,25.85,25.85,0.0,0.0
2018-10-28,26.84,26.84,26.84,0.0,0.0,26.84,26.84,26.84,0.0,0.0,26.69,26.69,26.69,0.0,0.0,26.69,26.69,26.69,0.0,0.0
2018-11-04,26.81,26.81,26.81,0.0,0.0,26.82,26.82,26.82,0.0,0.0,26.81,26.81,26.81,0.0,0.0,26.82,26.82,26.82,0.0,0.0
2018-11-11,26.32,26.32,26.32,0.0,0.0,26.43,26.43,26.43,0.0,0.0,26.26,26.26,26.26,0.0,0.0,26.36,26.36,26.36,0.0,0.0
2018-11-18,26.09,26.09,26.09,0.0,0.0,26.16,26.16,26.16,0.0,0.0,26.09,26.09,26.09,0.0,0.0,26.12,26.12,26.12,0.0,0.0
2018-11-25,26.44,26.44,26.44,0.0,0.0,26.45,26.45,26.45,0.0,0.0,26.44,26.44,26.44,0.0,0.0,26.45,26.45,26.45,0.0,0.0
2018-12-02,25.79,25.79,25.79,0.0,0.0,25.81,25.81,25.81,0.0,0.0,25.38,25.38,25.38,0.0,0.0,25.38,25.38,25.38,0.0,0.0
2018-12-09,25.64,25.64,25.64,0.0,0.0,25.64,25.64,25.64,0.0,0.0,25.39,25.39,25.39,0.0,0.0,25.39,25.39,25.39,0.0,0.0
2018-12-16,24.43,24.43,24.43,0.0,0.0,24.46,24.46,24.46,0.0,0.0,24.21,24.21,24.21,0.0,0.0,24.21,24.21,24.21,0.0,0.0
2018-12-23,24.48,24.48,24.48,0.0,0.0,24.62,24.62,24.62,0.0,0.0,24.45,24.45,24.45,0.0,0.0,24.57,24.57,24.57,0.0,0.0
2018-12-30,24.83,24.83,24.83,0.0,0.0,25.05,25.05,25.05,0.0,0.0,24.83,24.83,24.83,0.0,0.0,25.05,25.05,25.05,0.0,0.0
2019-01-06,25.62,25.62,25.62,0.0,0.0,25.65,25.65,25.65,0.0,0.0,25.62,25.62,25.62,0.0,0.0,25.65,25.65,25.65,0.0,0.0
2019-01-13,26.18,26.18,26.18,0.0,0.0,26.18,26.18,26.18,0.0,0.0,26.18,26.18,26.18,0.0,0.0,26.18,26.18,26.18,0.0,0.0
2019-01-20,26.09,26.09,26.09,0.0,0.0,26.09,26.09,26.09,0.0,0.0,26.09,26.09,26.09,0.0,0.0,26.09,26.09,26.09,0.0,0.0
2019-01-27,26.13,26.13,26.13,0.0,0.0,26.19,26.19,26.19,0.0,0.0,26.13,26.13,26.13,0.0,0.0,26.18,26.18,26.18,0.0,0.0
2019-02-03,26.05,26.05,26.05,0.0,0.0,26.05,26.05,26.05,0.0,0.0,26.05,26.05,26.05,0.0,0.0,26.05,26.05,26.05,0.0,0.0
2019-02-10,26.72,26.72,26.72,0.0,0.0,26.73,26.73,26.73,0.0,0.0,26.72,26.72,26.72,0.0,0.0,26.73,26.73,26.73,0.0,0.0
2019-02-17,26.97,26.97,26.97,0.0,0.0,26.97,26.97,26.97,0.0,0.0,26.97,26.97,26.97,0.0,0.0,26.97,26.97,26.97,0.0,0.0
2019-02-24,27.27,27.27,27.27,0.0,0.0,27.27,27.27,27.27,0.0,0.0,27.27,27.27,27.27,0.0,0.0,27.27,27.27,27.27,0.0,0.0
2019-03-03,26.69,26.69,26.69,0.0,0.0,26.69,26.69,26.69,0.0,0.0,26.69,26.69,26.69,0.0,0.0,26.69,26.69,26.69,0.0,0.0
2019-03-10,27.24,27.24,27.24,0.0,0.0,27.25,27.25,27.25,0.0,0.0,27.24,27.24,27.24,0.0,0.0,27.25,27.25,27.25,0.0,0.0
2019-03-17,26.96,26.96,26.96,0.0,0.0,26.96,26.96,26.96,0.0,0.0,26.87,26.87,26.87,0.0,0.0,26.87,26.87,26.87,0.0,0.0
2019-03-24,27.13,27.13,27.13,0.0,0.0,27.13,27.13,27.13,0.0,0.0,27.13,27.13,27.13,0.0,0.0,27.13,27.13,27.13,0.0,0.0
2019-03-31,27.79,27.79,27.79,0.0,0.0,27.84,27.84,27.84,0.0,0.0,27.79,27.79,27.79,0.0,0.0,27.84,27.84,27.84,0.0,0.0
2019-04-07,27.92,27.92,27.92,0.0,0.0,27.97,27.97,27.97,0.0,0.0,27.88,27.88,27.88,0.0,0.0,27.88,27.88,27.88,0.0,0.0
2019-04-14,28.14,28.14,28.14,0.0,0.0,28.17,28.17,28.17,0.0,0.0,28.14,28.14,28.14,0.0,0.0,28.17,28.17,28.17,0.0,0.0
2019-04-21,28.03,28.03,28.03,0.0,0.0,28.03,28.03,28.03,0.0,0.0,28.03,28.03,28.03,0.0,0.0,28.03,28.03,28.03,0.0,0.0
2019-04-28,28.31,28.31,28.31,0.0,0.0,28.31,28.31,28.31,0.0,0.0,28.16,28.16,28.16,0.0,0.0,28.16,28.16,28.16,0.0,0.0
2019-05-05,26.96,26.96,26.96,0.0,0.0,27.24,27.24,27.24,0.0,0.0,26.96,26.96,26.96,0.0,0.0,27.24,27.24,27.24,0.0,0.0
2019-05-12,27.2,27.2,27.2,0.0,0.0,27.2,27.2,27.2,0.0,0.0,27.2,27.2,27.2,0.0,0.0,27.2,27.2,27.2,0.0,0.0
2019-05-19,26.97,26.97,26.97,0.0,0.0,26.97,26.97,26.97,0.0,0.0,26.97,26.97,26.97,0.0,0.0,26.97,26.97,26.97,0.0,0.0
2019-05-26,26.54,26.54,26.54,0.0,0.0,26.61,26.61,26.61,0.0,0.0,26.54,26.54,26.54,0.0,0.0,26.55,26.55,26.55,0.0,0.0
2019-06-02,27.11,27.11,27.11,0.0,0.0,27.11,27.11,27.11,0.0,0.0,27.11,27.11,27.11,0.0,0.0,27.11,27.11,27.11,0.0,0.0
2019-06-09,27.14,27.14,27.14,0.0,0.0,27.21,27.21,27.21,0.0,0.0,27.14,27.14,27.14,0.0,0.0,27.21,27.21,27.21,0.0,0.0
2019-06-16,27.4,27.4,27.4,0.0,0.0,27.4,27.4,27.4,0.0,0.0,27.4,27.4,27.4,0.0,0.0,27.4,27.4,27.4,0.0,0.0
2019-06-23,27.23,27.23,27.23,0.0,0.0,27.23,27.23,27.23,0.0,0.0,27.16,27.16,27.16,0.0,0.0,27.16,27.16,27.16,0.0,0.0
2019-06-30,27.71,27.71,27.71,0.0,0.0,27.71,27.71,27.71,0.0,0.0,27.71,27.71,27.71,0.0,0.0,27.71,27.71,27.71,0.0,0.0
2019-07-07,27.47,27.47,27.47,0.0,0.0,27.47,27.47,27.47,0.0,0.0,27.47,27.47,27.47,0.0,0.0,27.47,27.47,27.47,0.0,0.0
2019-07-14,27.31,27.31,27.31,0.0,0.0,27.31,27.31,27.31,0.0,0.0,27.31,27.31,27.31,0.0,0.0,27.31,27.31,27.31,0.0,0.0
2019-07-21,27.64,27.64,27.64,0.0,0.0,27.64,27.64,27.64,0.0,0.0,27.64,27.64,27.64,0.0,0.0,27.64,27.64,27.64,0.0,0.0
2019-07-28,26.76,26.76,26.76,0.0,0.0,26.76,26.76,26.76,0.0,0.0,26.76,26.76,26.76,0.0,0.0,26.76,26.76,26.76,0.0,0.0
2019-08-04,26.38,26.38,26.38,0.0,0.0,26.38,26.38,26.38,0.0,0.0,26.38,26.38,26.38,0.0,0.0,26.38,26.38,26.38,0.0,0.0
2019-08-11,26.12,26.12,26.12,0.0,0.0,26.12,26.12,26.12,0.0,0.0,26.11,26.11,26.11,0.0,0.0,26.11,26.11,26.11,0.0,0.0
2019-08-18,26.0,26.0,26.0,0.0,0.0,26.0,26.0,26.0,0.0,0.0,25.95,25.95,25.95,0.0,0.0,25.95,25.95,25.95,0.0,0.0
2019-08-25,26.7,26.7,26.7,0.0,0.0,26.7,26.7,26.7,0.0,0.0,26.68,26.68,26.68,0.0,0.0,26.68,26.68,26.68,0.0,0.0
2019-09-01,27.33,27.33,27.33,0.0,0.0,27.33,27.33,27.33,0.0,0.0,27.08,27.08,27.08,0.0,0.0,27.11,27.11,27.11,0.0,0.0
2019-09-08,27.93,27.93,27.93,0.0,0.0,27.93,27.93,27.93,0.0,0.0,27.9,27.9,27.9,0.0,0.0,27.9,27.9,27.9,0.0,0.0
2019-09-15,27.89,27.89,27.89,0.0,0.0,27.92,27.92,27.92,0.0,0.0,27.88,27.88,27.88,0.0,0.0,27.88,27.88,27.88,0.0,0.0
2019-09-22,27.73,27.73,27.73,0.0,0.0,27.73,27.73,27.73,0.0,0.0,27.55,27.55,27.55,0.0,0.0,27.64,27.64,27.64,0.0,0.0
2019-09-29,27.27,27.27,27.27,0.0,0.0,27.27,27.27,27.27,0.0,0.0,27.27,27.27,27.27,0.0,0.0,27.27,27.27,27.27,0.0,0.0
2019-10-06,27.83,27.83,27.83,0.0,0.0,27.83,27.83,27.83,0.0,0.0,27.83,27.83,27.83,0.0,0.0,27.83,27.83,27.83,0.0,0.0
2019-10-13,27.99,27.99,27.99,0.0,0.0,27.99,27.99,27.99,0.0,0.0,27.99,27.99,27.99,0.0,0.0,27.99,27.99,27.99,0.0,0.0
2019-10-20,28.34,28.34,28.34,0.0,0.0,28.36,28.36,28.36,0.0,0.0,28.34,28.34,28.34,0.0,0.0,28.36,28.36,28.36,0.0,0.0
2019-10-27,28.59,28.59,28.59,0.0,0.0,28.59,28.59,28.59,0.0,0.0,28.59,28.59,28.59,0.0,0.0,28.59,28.59,28.59,0.0,0.0
2019-11-03,29.16,29.16,29.16,0.0,0.0,29.16,29.16,29.16,0.0,0.0,29.16,29.16,29.16,0.0,0.0,29.16,29.16,29.16,0.0,0.0
2019-11-10,29.02,29.02,29.02,0.0,0.0,29.08,29.08,29.08,0.0,0.0,29.02,29.02,29.02,0.0,0.0,29.03,29.03,29.03,0.0,0.0
2019-11-17,28.93,28.93,28.93,0.0,0.0,28.93,28.93,28.93,0.0,0.0,28.92,28.92,28.92,0.0,0.0,28.93,28.93,28.93,0.0,0.0
2019-11-24,29.09,29.09,29.09,0.0,0.0,29.09,29.09,29.09,0.0,0.0,29.09,29.09,29.09,0.0,0.0,29.09,29.09,29.09,0.0,0.0
2019-12-01,29.14,29.14,29.14,0.0,0.0,29.18,29.18,29.18,0.0,0.0,29.14,29.14,29.14,0.0,0.0,29.18,29.18,29.18,0.0,0.0
2019-12-08,29.53,29.53,29.53,0.0,0.0,29.53,29.53,29.53,0.0,0.0,29.5,29.5,29.5,0.0,0.0,29.5,29.5,29.5,0.0,0.0
2019-12-15,29.71,29.71,29.71,0.0,0.0,29.71,29.71,29.71,0.0,0.0,29.71,29.71,29.71,0.0,0.0,29.71,29.71,29.71,0.0,0.0
2019-12-22,29.31,29.31,29.31,0.0,0.0,29.33,29.33,29.33,0.0,0.0,29.25,29.25,29.25,0.0,0.0,29.25,29.25,29.25,0.0,0.0
2019-12-29,29.11,29.11,29.11,0.0,0.0,29.11,29.11,29.11,0.0,0.0,29.11,29.11,29.11,0.0,0.0,29.11,29.11,29.11,0.0,0.0
