Date,FlexShares Morningstar US Market Factor Tilt_etf_Open_average,FlexShares Morningstar US Market Factor Tilt_etf_Open_max,FlexShares Morningstar US Market Factor Tilt_etf_Open_min,FlexShares Morningstar US Market Factor Tilt_etf_Open_volatility,FlexShares Morningstar US Market Factor Tilt_etf_Open_change,FlexShares Morningstar US Market Factor Tilt_etf_High_average,FlexShares Morningstar US Market Factor Tilt_etf_High_max,FlexShares Morningstar US Market Factor Tilt_etf_High_min,FlexShares Morningstar US Market Factor Tilt_etf_High_volatility,FlexShares Morningstar US Market Factor Tilt_etf_High_change,FlexShares Morningstar US Market Factor Tilt_etf_Low_average,FlexShares Morningstar US Market Factor Tilt_etf_Low_max,FlexShares Morningstar US Market Factor Tilt_etf_Low_min,FlexShares Morningstar US Market Factor Tilt_etf_Low_volatility,FlexShares Morningstar US Market Factor Tilt_etf_Low_change,FlexShares Morningstar US Market Factor Tilt_etf_Close_average,FlexShares Morningstar US Market Factor Tilt_etf_Close_max,FlexShares Morningstar US Market Factor Tilt_etf_Close_min,FlexShares Morningstar US Market Factor Tilt_etf_Close_volatility,FlexShares Morningstar US Market Factor Tilt_etf_Close_change
2018-04-08,111.22,111.22,111.22,0.0,0.0,111.22,111.22,111.22,0.0,0.0,109.98,109.98,109.98,0.0,0.0,110.12,110.12,110.12,0.0,0.0
2018-04-15,111.63,111.63,111.63,0.0,0.0,111.63,111.63,111.63,0.0,0.0,110.76,110.76,110.76,0.0,0.0,111.05,111.05,111.05,0.0,0.0
2018-04-22,111.24,111.24,111.24,0.0,0.0,111.24,111.24,111.24,0.0,0.0,110.73,110.73,110.73,0.0,0.0,111.02,111.02,111.02,0.0,0.0
2018-04-29,108.87,108.87,108.87,0.0,0.0,110.88,110.88,110.88,0.0,0.0,108.8,108.8,108.8,0.0,0.0,110.7,110.7,110.7,0.0,0.0
2018-05-06,113.1,113.1,113.1,0.0,0.0,113.56,113.56,113.56,0.0,0.0,113.1,113.1,113.1,0.0,0.0,113.26,113.26,113.26,0.0,0.0
2018-05-13,113.69,113.69,113.69,0.0,0.0,113.82,113.82,113.82,0.0,0.0,113.45,113.45,113.45,0.0,0.0,113.56,113.56,113.56,0.0,0.0
2018-05-20,113.84,113.84,113.84,0.0,0.0,113.93,113.93,113.93,0.0,0.0,113.65,113.65,113.65,0.0,0.0,113.75,113.75,113.75,0.0,0.0
2018-05-27,114.31,114.31,114.31,0.0,0.0,114.5,114.5,114.5,0.0,0.0,114.27,114.27,114.27,0.0,0.0,114.31,114.31,114.31,0.0,0.0
2018-06-03,115.85,115.85,115.85,0.0,0.0,116.5,116.5,116.5,0.0,0.0,115.85,115.85,115.85,0.0,0.0,116.48,116.48,116.48,0.0,0.0
2018-06-10,116.18,116.18,116.18,0.0,0.0,116.53,116.53,116.53,0.0,0.0,115.8,115.8,115.8,0.0,0.0,116.53,116.53,116.53,0.0,0.0
2018-06-17,115.91,115.91,115.91,0.0,0.0,115.91,115.91,115.91,0.0,0.0,115.55,115.55,115.55,0.0,0.0,115.56,115.56,115.56,0.0,0.0
2018-06-24,113.54,113.54,113.54,0.0,0.0,114.34,114.34,114.34,0.0,0.0,113.54,113.54,113.54,0.0,0.0,113.73,113.73,113.73,0.0,0.0
2018-07-01,115.08,115.08,115.08,0.0,0.0,115.6,115.6,115.6,0.0,0.0,115.08,115.08,115.08,0.0,0.0,115.6,115.6,115.6,0.0,0.0
2018-07-08,116.5,116.5,116.5,0.0,0.0,116.87,116.87,116.87,0.0,0.0,116.5,116.5,116.5,0.0,0.0,116.51,116.51,116.51,0.0,0.0
2018-07-15,116.82,116.82,116.82,0.0,0.0,117.0,117.0,117.0,0.0,0.0,116.81,116.81,116.81,0.0,0.0,116.83,116.83,116.83,0.0,0.0
2018-07-22,117.71,117.71,117.71,0.0,0.0,117.71,117.71,117.71,0.0,0.0,116.47,116.47,116.47,0.0,0.0,116.73,116.73,116.73,0.0,0.0
2018-07-29,117.45,117.45,117.45,0.0,0.0,117.76,117.76,117.76,0.0,0.0,117.4,117.4,117.4,0.0,0.0,117.64,117.64,117.64,0.0,0.0
2018-08-05,117.88,117.88,117.88,0.0,0.0,118.1,118.1,118.1,0.0,0.0,117.57,117.57,117.57,0.0,0.0,117.57,117.57,117.57,0.0,0.0
2018-08-12,117.86,117.86,117.86,0.0,0.0,118.57,118.57,118.57,0.0,0.0,117.73,117.73,117.73,0.0,0.0,118.51,118.51,118.51,0.0,0.0
2018-08-19,119.36,119.36,119.36,0.0,0.0,119.83,119.83,119.83,0.0,0.0,119.36,119.36,119.36,0.0,0.0,119.76,119.76,119.76,0.0,0.0
2018-08-26,120.11,120.11,120.11,0.0,0.0,120.54,120.54,120.54,0.0,0.0,120.11,120.11,120.11,0.0,0.0,120.39,120.39,120.39,0.0,0.0
2018-09-02,119.58,119.58,119.58,0.0,0.0,119.58,119.58,119.58,0.0,0.0,118.96,118.96,118.96,0.0,0.0,119.11,119.11,119.11,0.0,0.0
2018-09-09,120.1,120.1,120.1,0.0,0.0,120.42,120.42,120.42,0.0,0.0,119.97,119.97,119.97,0.0,0.0,120.38,120.38,120.38,0.0,0.0
2018-09-16,121.42,121.42,121.42,0.0,0.0,121.42,121.42,121.42,0.0,0.0,121.09,121.09,121.09,0.0,0.0,121.09,121.09,121.09,0.0,0.0
2018-09-23,119.33,119.33,119.33,0.0,0.0,119.68,119.68,119.68,0.0,0.0,119.33,119.33,119.33,0.0,0.0,119.4,119.4,119.4,0.0,0.0
2018-09-30,118.71,118.71,118.71,0.0,0.0,118.71,118.71,118.71,0.0,0.0,117.22,117.22,117.22,0.0,0.0,117.83,117.83,117.83,0.0,0.0
2018-10-07,113.31,113.31,113.31,0.0,0.0,113.31,113.31,113.31,0.0,0.0,111.33,111.33,111.33,0.0,0.0,111.96,111.96,111.96,0.0,0.0
2018-10-14,113.09,113.09,113.09,0.0,0.0,113.71,113.71,113.71,0.0,0.0,112.25,112.25,112.25,0.0,0.0,113.64,113.64,113.64,0.0,0.0
2018-10-21,108.29,108.29,108.29,0.0,0.0,109.02,109.02,109.02,0.0,0.0,106.64,106.64,106.64,0.0,0.0,107.86,107.86,107.86,0.0,0.0
2018-10-28,112.1,112.1,112.1,0.0,0.0,112.22,112.22,112.22,0.0,0.0,110.7,110.7,110.7,0.0,0.0,111.11,111.11,111.11,0.0,0.0
2018-11-04,113.41,113.41,113.41,0.0,0.0,113.41,113.41,113.41,0.0,0.0,112.42,112.42,112.42,0.0,0.0,113.11,113.11,113.11,0.0,0.0
2018-11-11,110.5,110.5,110.5,0.0,0.0,111.48,111.48,111.48,0.0,0.0,110.37,110.37,110.37,0.0,0.0,111.34,111.34,111.34,0.0,0.0
2018-11-18,107.83,107.83,107.83,0.0,0.0,108.05,108.05,108.05,0.0,0.0,107.83,107.83,107.83,0.0,0.0,107.96,107.96,107.96,0.0,0.0
2018-11-25,110.99,110.99,110.99,0.0,0.0,111.94,111.94,111.94,0.0,0.0,110.99,110.99,110.99,0.0,0.0,111.9,111.9,111.9,0.0,0.0
2018-12-02,108.68,108.68,108.68,0.0,0.0,108.68,108.68,108.68,0.0,0.0,106.42,106.42,106.42,0.0,0.0,106.42,106.42,106.42,0.0,0.0
2018-12-09,105.35,105.35,105.35,0.0,0.0,106.0,106.0,106.0,0.0,0.0,104.42,104.42,104.42,0.0,0.0,104.48,104.48,104.48,0.0,0.0
2018-12-16,98.51,98.51,98.51,0.0,0.0,99.81,99.81,99.81,0.0,0.0,96.41,96.41,96.41,0.0,0.0,96.47,96.47,96.47,0.0,0.0
2018-12-23,99.52,99.52,99.52,0.0,0.0,100.73,100.73,100.73,0.0,0.0,99.06,99.06,99.06,0.0,0.0,99.18,99.18,99.18,0.0,0.0
2018-12-30,100.07,100.07,100.07,0.0,0.0,101.95,101.95,101.95,0.0,0.0,100.07,100.07,100.07,0.0,0.0,101.86,101.86,101.86,0.0,0.0
2019-01-06,104.79,104.79,104.79,0.0,0.0,105.28,105.28,105.28,0.0,0.0,104.72,104.72,104.72,0.0,0.0,105.18,105.18,105.18,0.0,0.0
2019-01-13,107.49,107.49,107.49,0.0,0.0,108.54,108.54,108.54,0.0,0.0,107.33,107.33,107.33,0.0,0.0,108.16,108.16,108.16,0.0,0.0
2019-01-20,107.86,107.86,107.86,0.0,0.0,108.33,108.33,108.33,0.0,0.0,107.69,107.69,107.69,0.0,0.0,108.2,108.2,108.2,0.0,0.0
2019-01-27,109.8,109.8,109.8,0.0,0.0,110.0,110.0,110.0,0.0,0.0,109.48,109.48,109.48,0.0,0.0,109.84,109.84,109.84,0.0,0.0
2019-02-03,109.46,109.46,109.46,0.0,0.0,109.87,109.87,109.87,0.0,0.0,109.04,109.04,109.04,0.0,0.0,109.87,109.87,109.87,0.0,0.0
2019-02-10,112.65,112.65,112.65,0.0,0.0,113.18,113.18,113.18,0.0,0.0,112.65,112.65,112.65,0.0,0.0,113.18,113.18,113.18,0.0,0.0
2019-02-17,113.9,113.9,113.9,0.0,0.0,114.22,114.22,114.22,0.0,0.0,113.67,113.67,113.67,0.0,0.0,114.17,114.17,114.17,0.0,0.0
2019-02-24,114.45,114.45,114.45,0.0,0.0,114.45,114.45,114.45,0.0,0.0,113.6,113.6,113.6,0.0,0.0,114.33,114.33,114.33,0.0,0.0
2019-03-03,110.42,110.42,110.42,0.0,0.0,111.25,111.25,111.25,0.0,0.0,110.42,110.42,110.42,0.0,0.0,111.25,111.25,111.25,0.0,0.0
2019-03-10,113.6,113.6,113.6,0.0,0.0,114.15,114.15,114.15,0.0,0.0,113.6,113.6,113.6,0.0,0.0,113.67,113.67,113.67,0.0,0.0
2019-03-17,113.41,113.41,113.41,0.0,0.0,113.45,113.45,113.45,0.0,0.0,111.92,111.92,111.92,0.0,0.0,111.92,111.92,111.92,0.0,0.0
2019-03-24,113.77,113.77,113.77,0.0,0.0,113.77,113.77,113.77,0.0,0.0,113.25,113.25,113.25,0.0,0.0,113.6,113.6,113.6,0.0,0.0
2019-03-31,116.17,116.17,116.17,0.0,0.0,116.64,116.64,116.64,0.0,0.0,116.17,116.17,116.17,0.0,0.0,116.64,116.64,116.64,0.0,0.0
2019-04-07,117.22,117.22,117.22,0.0,0.0,117.48,117.48,117.48,0.0,0.0,117.01,117.01,117.01,0.0,0.0,117.29,117.29,117.29,0.0,0.0
2019-04-14,117.17,117.17,117.17,0.0,0.0,117.17,117.17,117.17,0.0,0.0,116.48,116.48,116.48,0.0,0.0,116.99,116.99,116.99,0.0,0.0
2019-04-21,117.59,117.59,117.59,0.0,0.0,118.14,118.14,118.14,0.0,0.0,117.54,117.54,117.54,0.0,0.0,118.14,118.14,118.14,0.0,0.0
2019-04-28,117.9,117.9,117.9,0.0,0.0,118.7,118.7,118.7,0.0,0.0,117.9,117.9,117.9,0.0,0.0,118.7,118.7,118.7,0.0,0.0
2019-05-05,114.11,114.11,114.11,0.0,0.0,115.88,115.88,115.88,0.0,0.0,114.01,114.01,114.01,0.0,0.0,115.87,115.87,115.87,0.0,0.0
2019-05-12,114.66,114.66,114.66,0.0,0.0,115.53,115.53,115.53,0.0,0.0,114.32,114.32,114.32,0.0,0.0,114.32,114.32,114.32,0.0,0.0
2019-05-19,112.87,112.87,112.87,0.0,0.0,112.87,112.87,112.87,0.0,0.0,112.45,112.45,112.45,0.0,0.0,112.62,112.62,112.62,0.0,0.0
2019-05-26,109.89,109.89,109.89,0.0,0.0,110.12,110.12,110.12,0.0,0.0,109.41,109.41,109.41,0.0,0.0,109.53,109.53,109.53,0.0,0.0
2019-06-02,113.69,113.69,113.69,0.0,0.0,114.48,114.48,114.48,0.0,0.0,113.69,113.69,113.69,0.0,0.0,114.1,114.1,114.1,0.0,0.0
2019-06-09,114.65,114.65,114.65,0.0,0.0,114.92,114.92,114.92,0.0,0.0,114.65,114.65,114.65,0.0,0.0,114.86,114.86,114.86,0.0,0.0
2019-06-16,116.57,116.57,116.57,0.0,0.0,116.93,116.93,116.93,0.0,0.0,116.39,116.39,116.39,0.0,0.0,116.48,116.48,116.48,0.0,0.0
2019-06-23,116.23,116.23,116.23,0.0,0.0,116.86,116.86,116.86,0.0,0.0,116.19,116.19,116.19,0.0,0.0,116.86,116.86,116.86,0.0,0.0
2019-06-30,117.93,117.93,117.93,0.0,0.0,118.54,118.54,118.54,0.0,0.0,117.84,117.84,117.84,0.0,0.0,118.5,118.5,118.5,0.0,0.0
2019-07-07,118.47,118.47,118.47,0.0,0.0,119.06,119.06,119.06,0.0,0.0,118.47,118.47,118.47,0.0,0.0,119.01,119.01,119.01,0.0,0.0
2019-07-14,118.52,118.52,118.52,0.0,0.0,118.58,118.58,118.58,0.0,0.0,117.58,117.58,117.58,0.0,0.0,117.58,117.58,117.58,0.0,0.0
2019-07-21,119.13,119.13,119.13,0.0,0.0,119.77,119.77,119.77,0.0,0.0,119.03,119.03,119.03,0.0,0.0,119.77,119.77,119.77,0.0,0.0
2019-07-28,116.08,116.08,116.08,0.0,0.0,116.3,116.3,116.3,0.0,0.0,115.33,115.33,115.33,0.0,0.0,115.65,115.65,115.65,0.0,0.0
2019-08-04,115.47,115.47,115.47,0.0,0.0,115.47,115.47,115.47,0.0,0.0,114.28,114.28,114.28,0.0,0.0,114.86,114.86,114.86,0.0,0.0
2019-08-11,112.14,112.14,112.14,0.0,0.0,113.36,113.36,113.36,0.0,0.0,112.14,112.14,112.14,0.0,0.0,113.36,113.36,113.36,0.0,0.0
2019-08-18,114.48,114.48,114.48,0.0,0.0,114.48,114.48,114.48,0.0,0.0,111.3,111.3,111.3,0.0,0.0,111.48,111.48,111.48,0.0,0.0
2019-08-25,114.99,114.99,114.99,0.0,0.0,115.09,115.09,115.09,0.0,0.0,114.33,114.33,114.33,0.0,0.0,114.51,114.51,114.51,0.0,0.0
2019-09-01,116.7,116.7,116.7,0.0,0.0,116.89,116.89,116.89,0.0,0.0,116.53,116.53,116.53,0.0,0.0,116.53,116.53,116.53,0.0,0.0
2019-09-08,119.66,119.66,119.66,0.0,0.0,119.67,119.67,119.67,0.0,0.0,119.12,119.12,119.12,0.0,0.0,119.21,119.21,119.21,0.0,0.0
2019-09-15,118.65,118.65,118.65,0.0,0.0,118.71,118.71,118.71,0.0,0.0,117.83,117.83,117.83,0.0,0.0,118.0,118.0,118.0,0.0,0.0
2019-09-22,117.2,117.2,117.2,0.0,0.0,117.37,117.37,117.37,0.0,0.0,116.02,116.02,116.02,0.0,0.0,116.37,116.37,116.37,0.0,0.0
2019-09-29,114.91,114.91,114.91,0.0,0.0,115.62,115.62,115.62,0.0,0.0,114.46,114.46,114.46,0.0,0.0,115.62,115.62,115.62,0.0,0.0
2019-10-06,116.15,116.15,116.15,0.0,0.0,117.42,117.42,117.42,0.0,0.0,116.15,116.15,116.15,0.0,0.0,116.46,116.46,116.46,0.0,0.0
2019-10-13,117.74,117.74,117.74,0.0,0.0,117.77,117.77,117.77,0.0,0.0,117.01,117.01,117.01,0.0,0.0,117.49,117.49,117.49,0.0,0.0
2019-10-20,119.11,119.11,119.11,0.0,0.0,119.33,119.33,119.33,0.0,0.0,119.11,119.11,119.11,0.0,0.0,119.27,119.27,119.27,0.0,0.0
2019-10-27,120.26,120.26,120.26,0.0,0.0,120.92,120.92,120.92,0.0,0.0,120.26,120.26,120.26,0.0,0.0,120.92,120.92,120.92,0.0,0.0
2019-11-03,122.02,122.02,122.02,0.0,0.0,122.32,122.32,122.32,0.0,0.0,121.73,121.73,121.73,0.0,0.0,122.32,122.32,122.32,0.0,0.0
2019-11-10,122.63,122.63,122.63,0.0,0.0,123.02,123.02,123.02,0.0,0.0,122.63,122.63,122.63,0.0,0.0,123.01,123.01,123.01,0.0,0.0
2019-11-17,122.56,122.56,122.56,0.0,0.0,122.64,122.64,122.64,0.0,0.0,122.21,122.21,122.21,0.0,0.0,122.58,122.58,122.58,0.0,0.0
2019-11-24,124.51,124.51,124.51,0.0,0.0,124.51,124.51,124.51,0.0,0.0,124.16,124.16,124.16,0.0,0.0,124.18,124.18,124.18,0.0,0.0
2019-12-01,123.87,123.87,123.87,0.0,0.0,124.61,124.61,124.61,0.0,0.0,123.87,123.87,123.87,0.0,0.0,124.38,124.38,124.38,0.0,0.0
2019-12-08,125.29,125.29,125.29,0.0,0.0,125.93,125.93,125.93,0.0,0.0,125.13,125.13,125.13,0.0,0.0,125.24,125.24,125.24,0.0,0.0
2019-12-15,126.94,126.94,126.94,0.0,0.0,127.04,127.04,127.04,0.0,0.0,126.74,126.74,126.74,0.0,0.0,126.91,126.91,126.91,0.0,0.0
2019-12-22,127.56,127.56,127.56,0.0,0.0,127.56,127.56,127.56,0.0,0.0,127.28,127.28,127.28,0.0,0.0,127.28,127.28,127.28,0.0,0.0
2019-12-29,126.56,126.56,126.56,0.0,0.0,127.4,127.4,127.4,0.0,0.0,126.56,126.56,126.56,0.0,0.0,127.19,127.19,127.19,0.0,0.0
