Date,iShares AsiaPacific Dividend_Open_average,iShares AsiaPacific Dividend_Open_max,iShares AsiaPacific Dividend_Open_min,iShares AsiaPacific Dividend_Open_volatility,iShares AsiaPacific Dividend_Open_change,iShares AsiaPacific Dividend_High_average,iShares AsiaPacific Dividend_High_max,iShares AsiaPacific Dividend_High_min,iShares AsiaPacific Dividend_High_volatility,iShares AsiaPacific Dividend_High_change,iShares AsiaPacific Dividend_Low_average,iShares AsiaPacific Dividend_Low_max,iShares AsiaPacific Dividend_Low_min,iShares AsiaPacific Dividend_Low_volatility,iShares AsiaPacific Dividend_Low_change,iShares AsiaPacific Dividend_Close_average,iShares AsiaPacific Dividend_Close_max,iShares AsiaPacific Dividend_Close_min,iShares AsiaPacific Dividend_Close_volatility,iShares AsiaPacific Dividend_Close_change
2018-04-22,46.62,46.62,46.62,0.0,0.0,46.62,46.62,46.62,0.0,0.0,46.62,46.62,46.62,0.0,0.0,46.62,46.62,46.62,0.0,0.0
2018-04-29,46.64,46.64,46.64,0.0,0.0,46.65,46.65,46.65,0.0,0.0,46.64,46.64,46.64,0.0,0.0,46.64,46.64,46.64,0.0,0.0
2018-05-06,47.04,47.04,47.04,0.0,0.0,47.05,47.05,47.05,0.0,0.0,46.87,46.87,46.87,0.0,0.0,46.87,46.87,46.87,0.0,0.0
2018-05-13,46.73,46.73,46.73,0.0,0.0,46.85,46.85,46.85,0.0,0.0,46.69,46.69,46.69,0.0,0.0,46.77,46.77,46.77,0.0,0.0
2018-05-20,46.27,46.27,46.27,0.0,0.0,46.35,46.35,46.35,0.0,0.0,46.24,46.24,46.24,0.0,0.0,46.35,46.35,46.35,0.0,0.0
2018-05-27,46.57,46.57,46.57,0.0,0.0,46.91,46.91,46.91,0.0,0.0,46.52,46.52,46.52,0.0,0.0,46.53,46.53,46.53,0.0,0.0
2018-06-03,46.66,46.66,46.66,0.0,0.0,46.75,46.75,46.75,0.0,0.0,46.63,46.63,46.63,0.0,0.0,46.64,46.64,46.64,0.0,0.0
2018-06-10,46.14,46.14,46.14,0.0,0.0,46.3,46.3,46.3,0.0,0.0,46.11,46.11,46.11,0.0,0.0,46.17,46.17,46.17,0.0,0.0
2018-06-17,44.86,44.86,44.86,0.0,0.0,44.92,44.92,44.92,0.0,0.0,44.72,44.72,44.72,0.0,0.0,44.9,44.9,44.9,0.0,0.0
2018-06-24,44.37,44.37,44.37,0.0,0.0,44.37,44.37,44.37,0.0,0.0,44.06,44.06,44.06,0.0,0.0,44.31,44.31,44.31,0.0,0.0
2018-07-01,45.83,45.83,45.83,0.0,0.0,45.9,45.9,45.9,0.0,0.0,45.83,45.83,45.83,0.0,0.0,45.89,45.89,45.89,0.0,0.0
2018-07-08,45.37,45.37,45.37,0.0,0.0,45.37,45.37,45.37,0.0,0.0,45.14,45.14,45.14,0.0,0.0,45.16,45.16,45.16,0.0,0.0
2018-07-15,45.18,45.18,45.18,0.0,0.0,45.19,45.19,45.19,0.0,0.0,45.18,45.18,45.18,0.0,0.0,45.19,45.19,45.19,0.0,0.0
2018-07-22,45.76,45.76,45.76,0.0,0.0,45.93,45.93,45.93,0.0,0.0,45.76,45.76,45.76,0.0,0.0,45.81,45.81,45.81,0.0,0.0
2018-07-29,45.23,45.23,45.23,0.0,0.0,45.3,45.3,45.3,0.0,0.0,45.2,45.2,45.2,0.0,0.0,45.3,45.3,45.3,0.0,0.0
2018-08-05,44.73,44.73,44.73,0.0,0.0,44.82,44.82,44.82,0.0,0.0,44.73,44.73,44.73,0.0,0.0,44.82,44.82,44.82,0.0,0.0
2018-08-12,45.55,45.55,45.55,0.0,0.0,45.59,45.59,45.59,0.0,0.0,45.49,45.49,45.49,0.0,0.0,45.59,45.59,45.59,0.0,0.0
2018-08-19,44.95,44.95,44.95,0.0,0.0,45.15,45.15,45.15,0.0,0.0,44.93,44.93,44.93,0.0,0.0,45.15,45.15,45.15,0.0,0.0
2018-08-26,44.53,44.53,44.53,0.0,0.0,44.53,44.53,44.53,0.0,0.0,44.27,44.27,44.27,0.0,0.0,44.33,44.33,44.33,0.0,0.0
2018-09-02,43.16,43.16,43.16,0.0,0.0,43.28,43.28,43.28,0.0,0.0,43.12,43.12,43.12,0.0,0.0,43.19,43.19,43.19,0.0,0.0
2018-09-09,43.81,43.81,43.81,0.0,0.0,43.82,43.82,43.82,0.0,0.0,43.81,43.81,43.81,0.0,0.0,43.81,43.81,43.81,0.0,0.0
2018-09-16,44.81,44.81,44.81,0.0,0.0,44.89,44.89,44.89,0.0,0.0,44.79,44.79,44.79,0.0,0.0,44.83,44.83,44.83,0.0,0.0
2018-09-23,43.67,43.67,43.67,0.0,0.0,43.73,43.73,43.73,0.0,0.0,43.67,43.67,43.67,0.0,0.0,43.7,43.7,43.7,0.0,0.0
2018-09-30,42.32,42.32,42.32,0.0,0.0,42.37,42.37,42.37,0.0,0.0,42.11,42.11,42.11,0.0,0.0,42.33,42.33,42.33,0.0,0.0
2018-10-07,41.84,41.84,41.84,0.0,0.0,41.84,41.84,41.84,0.0,0.0,41.78,41.78,41.78,0.0,0.0,41.78,41.78,41.78,0.0,0.0
2018-10-14,42.34,42.34,42.34,0.0,0.0,42.35,42.35,42.35,0.0,0.0,42.15,42.15,42.15,0.0,0.0,42.27,42.27,42.27,0.0,0.0
2018-10-21,41.51,41.51,41.51,0.0,0.0,41.51,41.51,41.51,0.0,0.0,40.79,40.79,40.79,0.0,0.0,40.79,40.79,40.79,0.0,0.0
2018-10-28,42.46,42.46,42.46,0.0,0.0,42.49,42.49,42.49,0.0,0.0,42.35,42.35,42.35,0.0,0.0,42.49,42.49,42.49,0.0,0.0
2018-11-04,42.96,42.96,42.96,0.0,0.0,42.96,42.96,42.96,0.0,0.0,42.45,42.45,42.45,0.0,0.0,42.45,42.45,42.45,0.0,0.0
2018-11-11,42.43,42.43,42.43,0.0,0.0,42.49,42.49,42.49,0.0,0.0,42.2,42.2,42.2,0.0,0.0,42.29,42.29,42.29,0.0,0.0
2018-11-18,42.25,42.25,42.25,0.0,0.0,42.45,42.45,42.45,0.0,0.0,42.25,42.25,42.25,0.0,0.0,42.41,42.41,42.41,0.0,0.0
2018-11-25,43.34,43.34,43.34,0.0,0.0,43.37,43.37,43.37,0.0,0.0,43.28,43.28,43.28,0.0,0.0,43.29,43.29,43.29,0.0,0.0
2018-12-02,42.18,42.18,42.18,0.0,0.0,42.18,42.18,42.18,0.0,0.0,41.76,41.76,41.76,0.0,0.0,41.97,41.97,41.97,0.0,0.0
2018-12-09,41.69,41.69,41.69,0.0,0.0,42.0,42.0,42.0,0.0,0.0,41.43,41.43,41.43,0.0,0.0,41.43,41.43,41.43,0.0,0.0
2018-12-16,39.45,39.45,39.45,0.0,0.0,39.81,39.81,39.81,0.0,0.0,39.0,39.0,39.0,0.0,0.0,39.35,39.35,39.35,0.0,0.0
2018-12-23,40.47,40.47,40.47,0.0,0.0,40.5,40.5,40.5,0.0,0.0,40.23,40.23,40.23,0.0,0.0,40.31,40.31,40.31,0.0,0.0
2018-12-30,41.12,41.12,41.12,0.0,0.0,41.24,41.24,41.24,0.0,0.0,41.06,41.06,41.06,0.0,0.0,41.24,41.24,41.24,0.0,0.0
2019-01-06,41.9,41.9,41.9,0.0,0.0,42.06,42.06,42.06,0.0,0.0,41.9,41.9,41.9,0.0,0.0,42.06,42.06,42.06,0.0,0.0
2019-01-13,42.54,42.54,42.54,0.0,0.0,42.59,42.59,42.59,0.0,0.0,42.54,42.54,42.54,0.0,0.0,42.56,42.56,42.56,0.0,0.0
2019-01-20,43.1,43.1,43.1,0.0,0.0,43.13,43.13,43.13,0.0,0.0,43.01,43.01,43.01,0.0,0.0,43.11,43.11,43.11,0.0,0.0
2019-01-27,43.67,43.67,43.67,0.0,0.0,43.89,43.89,43.89,0.0,0.0,43.67,43.67,43.67,0.0,0.0,43.89,43.89,43.89,0.0,0.0
2019-02-03,44.22,44.22,44.22,0.0,0.0,44.22,44.22,44.22,0.0,0.0,44.2,44.2,44.2,0.0,0.0,44.2,44.2,44.2,0.0,0.0
2019-02-10,44.2,44.2,44.2,0.0,0.0,44.36,44.36,44.36,0.0,0.0,44.2,44.2,44.2,0.0,0.0,44.35,44.35,44.35,0.0,0.0
2019-02-17,44.53,44.53,44.53,0.0,0.0,44.55,44.55,44.55,0.0,0.0,44.46,44.46,44.46,0.0,0.0,44.5,44.5,44.5,0.0,0.0
2019-02-24,44.28,44.28,44.28,0.0,0.0,44.46,44.46,44.46,0.0,0.0,44.17,44.17,44.17,0.0,0.0,44.17,44.17,44.17,0.0,0.0
2019-03-03,43.98,43.98,43.98,0.0,0.0,44.14,44.14,44.14,0.0,0.0,43.98,43.98,43.98,0.0,0.0,44.12,44.12,44.12,0.0,0.0
2019-03-10,44.09,44.09,44.09,0.0,0.0,44.2,44.2,44.2,0.0,0.0,44.09,44.09,44.09,0.0,0.0,44.15,44.15,44.15,0.0,0.0
2019-03-17,42.49,42.49,42.49,0.0,0.0,42.62,42.62,42.62,0.0,0.0,42.43,42.43,42.43,0.0,0.0,42.58,42.58,42.58,0.0,0.0
2019-03-24,43.61,43.61,43.61,0.0,0.0,43.7,43.7,43.7,0.0,0.0,43.59,43.59,43.59,0.0,0.0,43.7,43.7,43.7,0.0,0.0
2019-03-31,43.48,43.48,43.48,0.0,0.0,43.49,43.49,43.49,0.0,0.0,43.4,43.4,43.4,0.0,0.0,43.49,43.49,43.49,0.0,0.0
2019-04-07,43.81,43.81,43.81,0.0,0.0,43.81,43.81,43.81,0.0,0.0,43.55,43.55,43.55,0.0,0.0,43.57,43.57,43.57,0.0,0.0
2019-04-14,44.02,44.02,44.02,0.0,0.0,44.17,44.17,44.17,0.0,0.0,44.02,44.02,44.02,0.0,0.0,44.11,44.11,44.11,0.0,0.0
2019-04-21,43.82,43.82,43.82,0.0,0.0,44.01,44.01,44.01,0.0,0.0,43.46,43.46,43.46,0.0,0.0,43.95,43.95,43.95,0.0,0.0
2019-04-28,42.82,42.82,42.82,0.0,0.0,43.05,43.05,43.05,0.0,0.0,42.82,42.82,42.82,0.0,0.0,43.02,43.02,43.02,0.0,0.0
2019-05-05,42.06,42.06,42.06,0.0,0.0,42.08,42.08,42.08,0.0,0.0,42.04,42.04,42.04,0.0,0.0,42.05,42.05,42.05,0.0,0.0
2019-05-12,42.69,42.69,42.69,0.0,0.0,42.69,42.69,42.69,0.0,0.0,42.59,42.59,42.59,0.0,0.0,42.63,42.63,42.63,0.0,0.0
2019-05-19,43.55,43.55,43.55,0.0,0.0,43.55,43.55,43.55,0.0,0.0,43.42,43.42,43.42,0.0,0.0,43.45,43.45,43.45,0.0,0.0
2019-05-26,42.96,42.96,42.96,0.0,0.0,43.08,43.08,43.08,0.0,0.0,42.96,42.96,42.96,0.0,0.0,43.08,43.08,43.08,0.0,0.0
2019-06-02,44.42,44.42,44.42,0.0,0.0,44.42,44.42,44.42,0.0,0.0,44.35,44.35,44.35,0.0,0.0,44.4,44.4,44.4,0.0,0.0
2019-06-09,43.0,43.0,43.0,0.0,0.0,43.03,43.03,43.03,0.0,0.0,42.92,42.92,42.92,0.0,0.0,42.92,42.92,42.92,0.0,0.0
2019-06-16,43.77,43.77,43.77,0.0,0.0,43.84,43.84,43.84,0.0,0.0,43.65,43.65,43.65,0.0,0.0,43.84,43.84,43.84,0.0,0.0
2019-06-23,44.14,44.14,44.14,0.0,0.0,44.17,44.17,44.17,0.0,0.0,44.09,44.09,44.09,0.0,0.0,44.13,44.13,44.13,0.0,0.0
2019-06-30,44.41,44.41,44.41,0.0,0.0,44.41,44.41,44.41,0.0,0.0,44.26,44.26,44.26,0.0,0.0,44.33,44.33,44.33,0.0,0.0
2019-07-07,44.68,44.68,44.68,0.0,0.0,44.7,44.7,44.7,0.0,0.0,44.67,44.67,44.67,0.0,0.0,44.69,44.69,44.69,0.0,0.0
2019-07-14,44.5,44.5,44.5,0.0,0.0,44.58,44.58,44.58,0.0,0.0,44.47,44.47,44.47,0.0,0.0,44.53,44.53,44.53,0.0,0.0
2019-07-21,44.01,44.01,44.01,0.0,0.0,44.03,44.03,44.03,0.0,0.0,44.0,44.0,44.0,0.0,0.0,44.03,44.03,44.03,0.0,0.0
2019-07-28,41.76,41.76,41.76,0.0,0.0,41.76,41.76,41.76,0.0,0.0,41.01,41.01,41.01,0.0,0.0,41.17,41.17,41.17,0.0,0.0
2019-08-04,41.57,41.57,41.57,0.0,0.0,41.57,41.57,41.57,0.0,0.0,41.36,41.36,41.36,0.0,0.0,41.36,41.36,41.36,0.0,0.0
2019-08-11,41.99,41.99,41.99,0.0,0.0,42.01,42.01,42.01,0.0,0.0,41.92,41.92,41.92,0.0,0.0,41.94,41.94,41.94,0.0,0.0
2019-08-18,41.97,41.97,41.97,0.0,0.0,41.97,41.97,41.97,0.0,0.0,41.77,41.77,41.77,0.0,0.0,41.85,41.85,41.85,0.0,0.0
2019-08-25,42.06,42.06,42.06,0.0,0.0,42.06,42.06,42.06,0.0,0.0,41.96,41.96,41.96,0.0,0.0,41.96,41.96,41.96,0.0,0.0
2019-09-01,43.45,43.45,43.45,0.0,0.0,43.57,43.57,43.57,0.0,0.0,43.45,43.45,43.45,0.0,0.0,43.57,43.57,43.57,0.0,0.0
2019-09-08,44.44,44.44,44.44,0.0,0.0,44.44,44.44,44.44,0.0,0.0,44.36,44.36,44.36,0.0,0.0,44.36,44.36,44.36,0.0,0.0
2019-09-15,44.09,44.09,44.09,0.0,0.0,44.09,44.09,44.09,0.0,0.0,44.09,44.09,44.09,0.0,0.0,44.09,44.09,44.09,0.0,0.0
2019-09-22,42.98,42.98,42.98,0.0,0.0,42.98,42.98,42.98,0.0,0.0,42.93,42.93,42.93,0.0,0.0,42.93,42.93,42.93,0.0,0.0
2019-09-29,42.09,42.09,42.09,0.0,0.0,42.18,42.18,42.18,0.0,0.0,42.09,42.09,42.09,0.0,0.0,42.13,42.13,42.13,0.0,0.0
2019-10-06,42.65,42.65,42.65,0.0,0.0,42.65,42.65,42.65,0.0,0.0,42.55,42.55,42.55,0.0,0.0,42.55,42.55,42.55,0.0,0.0
2019-10-13,43.35,43.35,43.35,0.0,0.0,43.4,43.4,43.4,0.0,0.0,43.35,43.35,43.35,0.0,0.0,43.38,43.38,43.38,0.0,0.0
2019-10-20,43.79,43.79,43.79,0.0,0.0,43.85,43.85,43.85,0.0,0.0,43.77,43.77,43.77,0.0,0.0,43.81,43.81,43.81,0.0,0.0
2019-10-27,44.17,44.17,44.17,0.0,0.0,44.25,44.25,44.25,0.0,0.0,44.1,44.1,44.1,0.0,0.0,44.19,44.19,44.19,0.0,0.0
2019-11-03,44.6,44.6,44.6,0.0,0.0,44.78,44.78,44.78,0.0,0.0,44.6,44.6,44.6,0.0,0.0,44.7,44.7,44.7,0.0,0.0
2019-11-10,43.97,43.97,43.97,0.0,0.0,44.0,44.0,44.0,0.0,0.0,43.97,43.97,43.97,0.0,0.0,44.0,44.0,44.0,0.0,0.0
2019-11-17,43.8,43.8,43.8,0.0,0.0,43.84,43.84,43.84,0.0,0.0,43.77,43.77,43.77,0.0,0.0,43.77,43.77,43.77,0.0,0.0
2019-11-24,43.34,43.34,43.34,0.0,0.0,43.38,43.38,43.38,0.0,0.0,43.3,43.3,43.3,0.0,0.0,43.38,43.38,43.38,0.0,0.0
2019-12-01,43.49,43.49,43.49,0.0,0.0,43.49,43.49,43.49,0.0,0.0,43.38,43.38,43.38,0.0,0.0,43.41,43.41,43.41,0.0,0.0
2019-12-08,43.89,43.89,43.89,0.0,0.0,43.91,43.91,43.91,0.0,0.0,43.8,43.8,43.8,0.0,0.0,43.9,43.9,43.9,0.0,0.0
2019-12-15,43.9,43.9,43.9,0.0,0.0,43.91,43.91,43.91,0.0,0.0,43.6,43.6,43.6,0.0,0.0,43.8,43.8,43.8,0.0,0.0
2019-12-22,44.06,44.06,44.06,0.0,0.0,44.16,44.16,44.16,0.0,0.0,44.03,44.03,44.03,0.0,0.0,44.03,44.03,44.03,0.0,0.0
2019-12-29,43.57,43.57,43.57,0.0,0.0,43.83,43.83,43.83,0.0,0.0,43.57,43.57,43.57,0.0,0.0,43.77,43.77,43.77,0.0,0.0
