Date,iShares International Developed Property_etf_Open_average,iShares International Developed Property_etf_Open_max,iShares International Developed Property_etf_Open_min,iShares International Developed Property_etf_Open_volatility,iShares International Developed Property_etf_Open_change,iShares International Developed Property_etf_High_average,iShares International Developed Property_etf_High_max,iShares International Developed Property_etf_High_min,iShares International Developed Property_etf_High_volatility,iShares International Developed Property_etf_High_change,iShares International Developed Property_etf_Low_average,iShares International Developed Property_etf_Low_max,iShares International Developed Property_etf_Low_min,iShares International Developed Property_etf_Low_volatility,iShares International Developed Property_etf_Low_change,iShares International Developed Property_etf_Close_average,iShares International Developed Property_etf_Close_max,iShares International Developed Property_etf_Close_min,iShares International Developed Property_etf_Close_volatility,iShares International Developed Property_etf_Close_change
2018-06-03,39.63,39.63,39.63,0.0,0.0,39.73,39.73,39.73,0.0,0.0,39.47,39.47,39.47,0.0,0.0,39.68,39.68,39.68,0.0,0.0
2018-06-10,39.19,39.19,39.19,0.0,0.0,39.26,39.26,39.26,0.0,0.0,39.04,39.04,39.04,0.0,0.0,39.19,39.19,39.19,0.0,0.0
2018-06-17,38.59,38.59,38.59,0.0,0.0,38.75,38.75,38.75,0.0,0.0,38.49,38.49,38.49,0.0,0.0,38.73,38.73,38.73,0.0,0.0
2018-06-24,38.01,38.01,38.01,0.0,0.0,38.16,38.16,38.16,0.0,0.0,38.01,38.01,38.01,0.0,0.0,38.01,38.01,38.01,0.0,0.0
2018-07-01,38.31,38.31,38.31,0.0,0.0,38.49,38.49,38.49,0.0,0.0,38.24,38.24,38.24,0.0,0.0,38.43,38.43,38.43,0.0,0.0
2018-07-08,38.36,38.36,38.36,0.0,0.0,38.36,38.36,38.36,0.0,0.0,38.19,38.19,38.19,0.0,0.0,38.22,38.22,38.22,0.0,0.0
2018-07-15,38.24,38.24,38.24,0.0,0.0,38.4,38.4,38.4,0.0,0.0,38.24,38.24,38.24,0.0,0.0,38.36,38.36,38.36,0.0,0.0
2018-07-22,38.73,38.73,38.73,0.0,0.0,38.73,38.73,38.73,0.0,0.0,38.51,38.51,38.51,0.0,0.0,38.63,38.63,38.63,0.0,0.0
2018-07-29,38.13,38.13,38.13,0.0,0.0,38.31,38.31,38.31,0.0,0.0,38.12,38.12,38.12,0.0,0.0,38.18,38.18,38.18,0.0,0.0
2018-08-05,37.54,37.54,37.54,0.0,0.0,37.67,37.67,37.67,0.0,0.0,37.38,37.38,37.38,0.0,0.0,37.48,37.48,37.48,0.0,0.0
2018-08-12,37.31,37.31,37.31,0.0,0.0,37.65,37.65,37.65,0.0,0.0,37.3,37.3,37.3,0.0,0.0,37.57,37.57,37.57,0.0,0.0
2018-08-19,37.61,37.61,37.61,0.0,0.0,37.68,37.68,37.68,0.0,0.0,37.53,37.53,37.53,0.0,0.0,37.53,37.53,37.53,0.0,0.0
2018-08-26,37.76,37.76,37.76,0.0,0.0,37.88,37.88,37.88,0.0,0.0,37.63,37.63,37.63,0.0,0.0,37.74,37.74,37.74,0.0,0.0
2018-09-02,36.86,36.86,36.86,0.0,0.0,36.98,36.98,36.98,0.0,0.0,36.65,36.65,36.65,0.0,0.0,36.9,36.9,36.9,0.0,0.0
2018-09-09,37.4,37.4,37.4,0.0,0.0,37.44,37.44,37.44,0.0,0.0,37.19,37.19,37.19,0.0,0.0,37.19,37.19,37.19,0.0,0.0
2018-09-16,37.65,37.65,37.65,0.0,0.0,37.76,37.76,37.76,0.0,0.0,37.62,37.62,37.62,0.0,0.0,37.62,37.62,37.62,0.0,0.0
2018-09-23,36.96,36.96,36.96,0.0,0.0,37.07,37.07,37.07,0.0,0.0,36.86,36.86,36.86,0.0,0.0,36.98,36.98,36.98,0.0,0.0
2018-09-30,35.64,35.64,35.64,0.0,0.0,35.73,35.73,35.73,0.0,0.0,35.46,35.46,35.46,0.0,0.0,35.55,35.55,35.55,0.0,0.0
2018-10-07,35.11,35.11,35.11,0.0,0.0,35.11,35.11,35.11,0.0,0.0,34.72,34.72,34.72,0.0,0.0,34.98,34.98,34.98,0.0,0.0
2018-10-14,35.6,35.6,35.6,0.0,0.0,35.68,35.68,35.68,0.0,0.0,35.54,35.54,35.54,0.0,0.0,35.58,35.58,35.58,0.0,0.0
2018-10-21,34.91,34.91,34.91,0.0,0.0,35.2,35.2,35.2,0.0,0.0,34.71,34.71,34.71,0.0,0.0,35.05,35.05,35.05,0.0,0.0
2018-10-28,35.54,35.54,35.54,0.0,0.0,35.61,35.61,35.61,0.0,0.0,35.14,35.14,35.14,0.0,0.0,35.25,35.25,35.25,0.0,0.0
2018-11-04,35.68,35.68,35.68,0.0,0.0,35.82,35.82,35.82,0.0,0.0,35.68,35.68,35.68,0.0,0.0,35.82,35.82,35.82,0.0,0.0
2018-11-11,35.71,35.71,35.71,0.0,0.0,36.0,36.0,36.0,0.0,0.0,35.71,35.71,35.71,0.0,0.0,35.89,35.89,35.89,0.0,0.0
2018-11-18,35.65,35.65,35.65,0.0,0.0,35.73,35.73,35.73,0.0,0.0,35.63,35.63,35.63,0.0,0.0,35.63,35.63,35.63,0.0,0.0
2018-11-25,35.94,35.94,35.94,0.0,0.0,35.95,35.95,35.95,0.0,0.0,35.72,35.72,35.72,0.0,0.0,35.95,35.95,35.95,0.0,0.0
2018-12-02,36.17,36.17,36.17,0.0,0.0,36.17,36.17,36.17,0.0,0.0,35.93,35.93,35.93,0.0,0.0,36.02,36.02,36.02,0.0,0.0
2018-12-09,35.74,35.74,35.74,0.0,0.0,35.9,35.9,35.9,0.0,0.0,35.65,35.65,35.65,0.0,0.0,35.81,35.81,35.81,0.0,0.0
2018-12-16,34.58,34.58,34.58,0.0,0.0,34.69,34.69,34.69,0.0,0.0,34.16,34.16,34.16,0.0,0.0,34.2,34.2,34.2,0.0,0.0
2018-12-23,34.48,34.48,34.48,0.0,0.0,34.62,34.62,34.62,0.0,0.0,34.39,34.39,34.39,0.0,0.0,34.47,34.47,34.47,0.0,0.0
2018-12-30,34.69,34.69,34.69,0.0,0.0,35.12,35.12,35.12,0.0,0.0,34.69,34.69,34.69,0.0,0.0,35.12,35.12,35.12,0.0,0.0
2019-01-06,36.04,36.04,36.04,0.0,0.0,36.24,36.24,36.24,0.0,0.0,36.04,36.04,36.04,0.0,0.0,36.17,36.17,36.17,0.0,0.0
2019-01-13,36.66,36.66,36.66,0.0,0.0,36.68,36.68,36.68,0.0,0.0,36.61,36.61,36.61,0.0,0.0,36.63,36.63,36.63,0.0,0.0
2019-01-20,36.99,36.99,36.99,0.0,0.0,37.15,37.15,37.15,0.0,0.0,36.99,36.99,36.99,0.0,0.0,37.09,37.09,37.09,0.0,0.0
2019-01-27,37.81,37.81,37.81,0.0,0.0,37.91,37.91,37.91,0.0,0.0,37.76,37.76,37.76,0.0,0.0,37.8,37.8,37.8,0.0,0.0
2019-02-03,37.5,37.5,37.5,0.0,0.0,37.5,37.5,37.5,0.0,0.0,37.38,37.38,37.38,0.0,0.0,37.47,37.47,37.47,0.0,0.0
2019-02-10,37.47,37.47,37.47,0.0,0.0,37.56,37.56,37.56,0.0,0.0,37.35,37.35,37.35,0.0,0.0,37.52,37.52,37.52,0.0,0.0
2019-02-17,37.8,37.8,37.8,0.0,0.0,37.88,37.88,37.88,0.0,0.0,37.75,37.75,37.75,0.0,0.0,37.79,37.79,37.79,0.0,0.0
2019-02-24,37.71,37.71,37.71,0.0,0.0,37.71,37.71,37.71,0.0,0.0,37.54,37.54,37.54,0.0,0.0,37.62,37.62,37.62,0.0,0.0
2019-03-03,37.42,37.42,37.42,0.0,0.0,37.61,37.61,37.61,0.0,0.0,37.42,37.42,37.42,0.0,0.0,37.61,37.61,37.61,0.0,0.0
2019-03-10,38.35,38.35,38.35,0.0,0.0,38.46,38.46,38.46,0.0,0.0,38.35,38.35,38.35,0.0,0.0,38.43,38.43,38.43,0.0,0.0
2019-03-17,38.4,38.4,38.4,0.0,0.0,38.52,38.52,38.52,0.0,0.0,38.23,38.23,38.23,0.0,0.0,38.23,38.23,38.23,0.0,0.0
2019-03-24,38.9,38.9,38.9,0.0,0.0,38.9,38.9,38.9,0.0,0.0,38.75,38.75,38.75,0.0,0.0,38.85,38.85,38.85,0.0,0.0
2019-03-31,38.57,38.57,38.57,0.0,0.0,38.67,38.67,38.67,0.0,0.0,38.48,38.48,38.48,0.0,0.0,38.58,38.58,38.58,0.0,0.0
2019-04-07,38.46,38.46,38.46,0.0,0.0,38.46,38.46,38.46,0.0,0.0,38.29,38.29,38.29,0.0,0.0,38.37,38.37,38.37,0.0,0.0
2019-04-14,37.76,37.76,37.76,0.0,0.0,37.85,37.85,37.85,0.0,0.0,37.7,37.7,37.7,0.0,0.0,37.74,37.74,37.74,0.0,0.0
2019-04-21,37.86,37.86,37.86,0.0,0.0,37.95,37.95,37.95,0.0,0.0,37.79,37.79,37.79,0.0,0.0,37.84,37.84,37.84,0.0,0.0
2019-04-28,37.88,37.88,37.88,0.0,0.0,38.09,38.09,38.09,0.0,0.0,37.75,37.75,37.75,0.0,0.0,38.01,38.01,38.01,0.0,0.0
2019-05-05,37.7,37.7,37.7,0.0,0.0,37.82,37.82,37.82,0.0,0.0,37.61,37.61,37.61,0.0,0.0,37.82,37.82,37.82,0.0,0.0
2019-05-12,38.0,38.0,38.0,0.0,0.0,38.11,38.11,38.11,0.0,0.0,37.89,37.89,37.89,0.0,0.0,37.89,37.89,37.89,0.0,0.0
2019-05-19,38.33,38.33,38.33,0.0,0.0,38.47,38.47,38.47,0.0,0.0,38.33,38.33,38.33,0.0,0.0,38.42,38.42,38.42,0.0,0.0
2019-05-26,37.47,37.47,37.47,0.0,0.0,37.69,37.69,37.69,0.0,0.0,37.47,37.47,37.47,0.0,0.0,37.69,37.69,37.69,0.0,0.0
2019-06-02,38.47,38.47,38.47,0.0,0.0,38.49,38.49,38.49,0.0,0.0,38.42,38.42,38.42,0.0,0.0,38.42,38.42,38.42,0.0,0.0
2019-06-09,38.28,38.28,38.28,0.0,0.0,38.28,38.28,38.28,0.0,0.0,38.21,38.21,38.21,0.0,0.0,38.27,38.27,38.27,0.0,0.0
2019-06-16,38.2,38.2,38.2,0.0,0.0,38.32,38.32,38.32,0.0,0.0,38.16,38.16,38.16,0.0,0.0,38.28,38.28,38.28,0.0,0.0
2019-06-23,37.98,37.98,37.98,0.0,0.0,38.02,38.02,38.02,0.0,0.0,37.95,37.95,37.95,0.0,0.0,38.02,38.02,38.02,0.0,0.0
2019-06-30,38.83,38.83,38.83,0.0,0.0,38.96,38.96,38.96,0.0,0.0,38.79,38.79,38.79,0.0,0.0,38.85,38.85,38.85,0.0,0.0
2019-07-07,38.81,38.81,38.81,0.0,0.0,38.81,38.81,38.81,0.0,0.0,38.68,38.68,38.68,0.0,0.0,38.77,38.77,38.77,0.0,0.0
2019-07-14,38.81,38.81,38.81,0.0,0.0,38.81,38.81,38.81,0.0,0.0,38.6,38.6,38.6,0.0,0.0,38.64,38.64,38.64,0.0,0.0
2019-07-21,38.18,38.18,38.18,0.0,0.0,38.18,38.18,38.18,0.0,0.0,38.1,38.1,38.1,0.0,0.0,38.16,38.16,38.16,0.0,0.0
2019-07-28,37.64,37.64,37.64,0.0,0.0,37.68,37.68,37.68,0.0,0.0,37.54,37.54,37.54,0.0,0.0,37.62,37.62,37.62,0.0,0.0
2019-08-04,37.42,37.42,37.42,0.0,0.0,37.42,37.42,37.42,0.0,0.0,37.25,37.25,37.25,0.0,0.0,37.37,37.37,37.37,0.0,0.0
2019-08-11,37.31,37.31,37.31,0.0,0.0,37.51,37.51,37.51,0.0,0.0,37.31,37.31,37.31,0.0,0.0,37.5,37.5,37.5,0.0,0.0
2019-08-18,37.8,37.8,37.8,0.0,0.0,37.89,37.89,37.89,0.0,0.0,37.59,37.59,37.59,0.0,0.0,37.6,37.6,37.6,0.0,0.0
2019-08-25,37.98,37.98,37.98,0.0,0.0,38.01,38.01,38.01,0.0,0.0,37.82,37.82,37.82,0.0,0.0,37.98,37.98,37.98,0.0,0.0
2019-09-01,38.23,38.23,38.23,0.0,0.0,38.28,38.28,38.28,0.0,0.0,38.23,38.23,38.23,0.0,0.0,38.23,38.23,38.23,0.0,0.0
2019-09-08,38.4,38.4,38.4,0.0,0.0,38.4,38.4,38.4,0.0,0.0,38.36,38.36,38.36,0.0,0.0,38.37,38.37,38.37,0.0,0.0
2019-09-15,38.75,38.75,38.75,0.0,0.0,38.75,38.75,38.75,0.0,0.0,38.52,38.52,38.52,0.0,0.0,38.53,38.53,38.53,0.0,0.0
2019-09-22,38.46,38.46,38.46,0.0,0.0,38.5,38.5,38.5,0.0,0.0,38.3,38.3,38.3,0.0,0.0,38.32,38.32,38.32,0.0,0.0
2019-09-29,38.54,38.54,38.54,0.0,0.0,38.73,38.73,38.73,0.0,0.0,38.47,38.47,38.47,0.0,0.0,38.66,38.66,38.66,0.0,0.0
2019-10-06,38.87,38.87,38.87,0.0,0.0,39.1,39.1,39.1,0.0,0.0,38.85,38.85,38.85,0.0,0.0,39.03,39.03,39.03,0.0,0.0
2019-10-13,39.58,39.58,39.58,0.0,0.0,39.61,39.61,39.61,0.0,0.0,39.45,39.45,39.45,0.0,0.0,39.6,39.6,39.6,0.0,0.0
2019-10-20,39.47,39.47,39.47,0.0,0.0,39.56,39.56,39.56,0.0,0.0,39.47,39.47,39.47,0.0,0.0,39.52,39.52,39.52,0.0,0.0
2019-10-27,40.13,40.13,40.13,0.0,0.0,40.18,40.18,40.18,0.0,0.0,40.06,40.06,40.06,0.0,0.0,40.07,40.07,40.07,0.0,0.0
2019-11-03,39.35,39.35,39.35,0.0,0.0,39.35,39.35,39.35,0.0,0.0,39.25,39.25,39.25,0.0,0.0,39.3,39.3,39.3,0.0,0.0
2019-11-10,38.98,38.98,38.98,0.0,0.0,39.08,39.08,39.08,0.0,0.0,38.98,38.98,38.98,0.0,0.0,39.08,39.08,39.08,0.0,0.0
2019-11-17,39.28,39.28,39.28,0.0,0.0,39.28,39.28,39.28,0.0,0.0,39.13,39.13,39.13,0.0,0.0,39.19,39.19,39.19,0.0,0.0
2019-11-24,39.6,39.6,39.6,0.0,0.0,39.6,39.6,39.6,0.0,0.0,39.53,39.53,39.53,0.0,0.0,39.56,39.56,39.56,0.0,0.0
2019-12-01,39.76,39.76,39.76,0.0,0.0,39.86,39.86,39.86,0.0,0.0,39.75,39.75,39.75,0.0,0.0,39.86,39.86,39.86,0.0,0.0
2019-12-08,39.62,39.62,39.62,0.0,0.0,39.62,39.62,39.62,0.0,0.0,39.46,39.46,39.46,0.0,0.0,39.54,39.54,39.54,0.0,0.0
2019-12-15,38.25,38.25,38.25,0.0,0.0,38.26,38.26,38.26,0.0,0.0,38.18,38.18,38.18,0.0,0.0,38.19,38.19,38.19,0.0,0.0
2019-12-22,38.75,38.75,38.75,0.0,0.0,38.76,38.76,38.76,0.0,0.0,38.67,38.67,38.67,0.0,0.0,38.69,38.69,38.69,0.0,0.0
2019-12-29,38.69,38.69,38.69,0.0,0.0,38.93,38.93,38.93,0.0,0.0,38.69,38.69,38.69,0.0,0.0,38.81,38.81,38.81,0.0,0.0
