Date,PowerShares FTSE RAFI US 1000 Portfolio_Open_average,PowerShares FTSE RAFI US 1000 Portfolio_Open_max,PowerShares FTSE RAFI US 1000 Portfolio_Open_min,PowerShares FTSE RAFI US 1000 Portfolio_Open_volatility,PowerShares FTSE RAFI US 1000 Portfolio_Open_change,PowerShares FTSE RAFI US 1000 Portfolio_High_average,PowerShares FTSE RAFI US 1000 Portfolio_High_max,PowerShares FTSE RAFI US 1000 Portfolio_High_min,PowerShares FTSE RAFI US 1000 Portfolio_High_volatility,PowerShares FTSE RAFI US 1000 Portfolio_High_change,PowerShares FTSE RAFI US 1000 Portfolio_Low_average,PowerShares FTSE RAFI US 1000 Portfolio_Low_max,PowerShares FTSE RAFI US 1000 Portfolio_Low_min,PowerShares FTSE RAFI US 1000 Portfolio_Low_volatility,PowerShares FTSE RAFI US 1000 Portfolio_Low_change,PowerShares FTSE RAFI US 1000 Portfolio_Close_average,PowerShares FTSE RAFI US 1000 Portfolio_Close_max,PowerShares FTSE RAFI US 1000 Portfolio_Close_min,PowerShares FTSE RAFI US 1000 Portfolio_Close_volatility,PowerShares FTSE RAFI US 1000 Portfolio_Close_change
2018-04-29,111.49,111.49,111.49,0.0,0.0,111.8,111.8,111.8,0.0,0.0,111.08,111.08,111.08,0.0,0.0,111.27,111.27,111.27,0.0,0.0
2018-05-06,113.82,113.82,113.82,0.0,0.0,114.06,114.06,114.06,0.0,0.0,113.53,113.53,113.53,0.0,0.0,113.7,113.7,113.7,0.0,0.0
2018-05-13,114.11,114.11,114.11,0.0,0.0,114.54,114.54,114.54,0.0,0.0,114.11,114.11,114.11,0.0,0.0,114.4,114.4,114.4,0.0,0.0
2018-05-20,113.42,113.42,113.42,0.0,0.0,113.46,113.46,113.46,0.0,0.0,113.01,113.01,113.01,0.0,0.0,113.27,113.27,113.27,0.0,0.0
2018-05-27,114.05,114.05,114.05,0.0,0.0,114.38,114.38,114.38,0.0,0.0,113.83,113.83,113.83,0.0,0.0,114.01,114.01,114.01,0.0,0.0
2018-06-03,115.83,115.83,115.83,0.0,0.0,116.21,116.21,116.21,0.0,0.0,115.83,115.83,115.83,0.0,0.0,116.01,116.01,116.01,0.0,0.0
2018-06-10,113.99,113.99,113.99,0.0,0.0,114.44,114.44,114.44,0.0,0.0,113.87,113.87,113.87,0.0,0.0,114.38,114.38,114.38,0.0,0.0
2018-06-17,113.53,113.53,113.53,0.0,0.0,113.54,113.54,113.54,0.0,0.0,112.12,112.12,112.12,0.0,0.0,112.69,112.69,112.69,0.0,0.0
2018-06-24,111.95,111.95,111.95,0.0,0.0,112.66,112.66,112.66,0.0,0.0,111.78,111.78,111.78,0.0,0.0,112.66,112.66,112.66,0.0,0.0
2018-07-01,114.66,114.66,114.66,0.0,0.0,115.26,115.26,115.26,0.0,0.0,114.66,114.66,114.66,0.0,0.0,115.21,115.21,115.21,0.0,0.0
2018-07-08,115.21,115.21,115.21,0.0,0.0,115.21,115.21,115.21,0.0,0.0,114.76,114.76,114.76,0.0,0.0,115.1,115.1,115.1,0.0,0.0
2018-07-15,114.9,114.9,114.9,0.0,0.0,115.29,115.29,115.29,0.0,0.0,114.72,114.72,114.72,0.0,0.0,115.16,115.16,115.16,0.0,0.0
2018-07-22,116.17,116.17,116.17,0.0,0.0,116.52,116.52,116.52,0.0,0.0,116.03,116.03,116.03,0.0,0.0,116.12,116.12,116.12,0.0,0.0
2018-07-29,117.21,117.21,117.21,0.0,0.0,117.68,117.68,117.68,0.0,0.0,117.09,117.09,117.09,0.0,0.0,117.47,117.47,117.47,0.0,0.0
2018-08-05,116.83,116.83,116.83,0.0,0.0,116.93,116.93,116.93,0.0,0.0,116.03,116.03,116.03,0.0,0.0,116.13,116.13,116.13,0.0,0.0
2018-08-12,118.02,118.02,118.02,0.0,0.0,118.33,118.33,118.33,0.0,0.0,118.02,118.02,118.02,0.0,0.0,118.26,118.26,118.26,0.0,0.0
2018-08-19,118.92,118.92,118.92,0.0,0.0,119.44,119.44,119.44,0.0,0.0,118.92,118.92,118.92,0.0,0.0,119.37,119.37,119.37,0.0,0.0
2018-08-26,118.86,118.86,118.86,0.0,0.0,119.13,119.13,119.13,0.0,0.0,118.59,118.59,118.59,0.0,0.0,118.97,118.97,118.97,0.0,0.0
2018-09-02,118.59,118.59,118.59,0.0,0.0,118.89,118.89,118.89,0.0,0.0,118.39,118.39,118.39,0.0,0.0,118.41,118.41,118.41,0.0,0.0
2018-09-09,119.43,119.43,119.43,0.0,0.0,119.55,119.55,119.55,0.0,0.0,119.07,119.07,119.07,0.0,0.0,119.15,119.15,119.15,0.0,0.0
2018-09-16,120.03,120.03,120.03,0.0,0.0,120.12,120.12,120.12,0.0,0.0,119.33,119.33,119.33,0.0,0.0,119.49,119.49,119.49,0.0,0.0
2018-09-23,119.37,119.37,119.37,0.0,0.0,119.66,119.66,119.66,0.0,0.0,118.86,118.86,118.86,0.0,0.0,119.12,119.12,119.12,0.0,0.0
2018-09-30,118.2,118.2,118.2,0.0,0.0,119.01,119.01,119.01,0.0,0.0,118.07,118.07,118.07,0.0,0.0,118.86,118.86,118.86,0.0,0.0
2018-10-07,113.35,113.35,113.35,0.0,0.0,114.2,114.2,114.2,0.0,0.0,113.25,113.25,113.25,0.0,0.0,113.25,113.25,113.25,0.0,0.0
2018-10-14,114.19,114.19,114.19,0.0,0.0,114.19,114.19,114.19,0.0,0.0,112.99,112.99,112.99,0.0,0.0,113.13,113.13,113.13,0.0,0.0
2018-10-21,110.44,110.44,110.44,0.0,0.0,111.3,111.3,111.3,0.0,0.0,107.87,107.87,107.87,0.0,0.0,109.23,109.23,109.23,0.0,0.0
2018-10-28,112.42,112.42,112.42,0.0,0.0,113.34,113.34,113.34,0.0,0.0,112.09,112.09,112.09,0.0,0.0,113.05,113.05,113.05,0.0,0.0
2018-11-04,114.22,114.22,114.22,0.0,0.0,114.22,114.22,114.22,0.0,0.0,112.47,112.47,112.47,0.0,0.0,112.66,112.66,112.66,0.0,0.0
2018-11-11,112.6,112.6,112.6,0.0,0.0,112.91,112.91,112.91,0.0,0.0,111.35,111.35,111.35,0.0,0.0,111.76,111.76,111.76,0.0,0.0
2018-11-18,110.06,110.06,110.06,0.0,0.0,110.68,110.68,110.68,0.0,0.0,109.98,109.98,109.98,0.0,0.0,110.67,110.67,110.67,0.0,0.0
2018-11-25,114.8,114.8,114.8,0.0,0.0,114.87,114.87,114.87,0.0,0.0,113.67,113.67,113.67,0.0,0.0,114.5,114.5,114.5,0.0,0.0
2018-12-02,108.25,108.25,108.25,0.0,0.0,108.31,108.31,108.31,0.0,0.0,105.99,105.99,105.99,0.0,0.0,107.93,107.93,107.93,0.0,0.0
2018-12-09,106.0,106.0,106.0,0.0,0.0,106.4,106.4,106.4,0.0,0.0,103.69,103.69,103.69,0.0,0.0,104.27,104.27,104.27,0.0,0.0
2018-12-16,97.91,97.91,97.91,0.0,0.0,98.19,98.19,98.19,0.0,0.0,95.78,95.78,95.78,0.0,0.0,95.78,95.78,95.78,0.0,0.0
2018-12-23,101.14,101.14,101.14,0.0,0.0,101.58,101.58,101.58,0.0,0.0,100.49,100.49,100.49,0.0,0.0,101.57,101.57,101.57,0.0,0.0
2018-12-30,103.07,103.07,103.07,0.0,0.0,104.48,104.48,104.48,0.0,0.0,102.75,102.75,102.75,0.0,0.0,103.76,103.76,103.76,0.0,0.0
2019-01-06,104.97,104.97,104.97,0.0,0.0,105.64,105.64,105.64,0.0,0.0,104.91,104.91,104.91,0.0,0.0,105.28,105.28,105.28,0.0,0.0
2019-01-13,108.0,108.0,108.0,0.0,0.0,108.74,108.74,108.74,0.0,0.0,107.77,107.77,107.77,0.0,0.0,108.64,108.64,108.64,0.0,0.0
2019-01-20,107.48,107.48,107.48,0.0,0.0,107.78,107.78,107.78,0.0,0.0,106.95,106.95,106.95,0.0,0.0,107.77,107.77,107.77,0.0,0.0
2019-01-27,110.17,110.17,110.17,0.0,0.0,110.79,110.79,110.79,0.0,0.0,109.75,109.75,109.75,0.0,0.0,110.79,110.79,110.79,0.0,0.0
2019-02-03,110.1,110.1,110.1,0.0,0.0,110.17,110.17,110.17,0.0,0.0,109.83,109.83,109.83,0.0,0.0,110.09,110.09,110.09,0.0,0.0
2019-02-10,112.33,112.33,112.33,0.0,0.0,112.96,112.96,112.96,0.0,0.0,112.3,112.3,112.3,0.0,0.0,112.96,112.96,112.96,0.0,0.0
2019-02-17,114.21,114.21,114.21,0.0,0.0,114.48,114.48,114.48,0.0,0.0,113.72,113.72,113.72,0.0,0.0,113.76,113.76,113.76,0.0,0.0
2019-02-24,114.23,114.23,114.23,0.0,0.0,114.29,114.29,114.29,0.0,0.0,112.38,112.38,112.38,0.0,0.0,113.37,113.37,113.37,0.0,0.0
2019-03-03,111.4,111.4,111.4,0.0,0.0,112.61,112.61,112.61,0.0,0.0,111.4,111.4,111.4,0.0,0.0,112.56,112.56,112.56,0.0,0.0
2019-03-10,113.72,113.72,113.72,0.0,0.0,114.28,114.28,114.28,0.0,0.0,113.72,113.72,113.72,0.0,0.0,114.23,114.23,114.23,0.0,0.0
2019-03-17,112.0,112.0,112.0,0.0,0.0,112.44,112.44,112.44,0.0,0.0,111.42,111.42,111.42,0.0,0.0,111.87,111.87,111.87,0.0,0.0
2019-03-24,114.17,114.17,114.17,0.0,0.0,114.95,114.95,114.95,0.0,0.0,114.14,114.14,114.14,0.0,0.0,114.89,114.89,114.89,0.0,0.0
2019-03-31,115.84,115.84,115.84,0.0,0.0,116.13,116.13,116.13,0.0,0.0,115.69,115.69,115.69,0.0,0.0,116.13,116.13,116.13,0.0,0.0
2019-04-07,116.68,116.68,116.68,0.0,0.0,116.72,116.72,116.72,0.0,0.0,116.28,116.28,116.28,0.0,0.0,116.54,116.54,116.54,0.0,0.0
2019-04-14,116.41,116.41,116.41,0.0,0.0,116.67,116.67,116.67,0.0,0.0,116.41,116.41,116.41,0.0,0.0,116.58,116.58,116.58,0.0,0.0
2019-04-21,117.25,117.25,117.25,0.0,0.0,117.85,117.85,117.85,0.0,0.0,117.25,117.25,117.25,0.0,0.0,117.53,117.53,117.53,0.0,0.0
2019-04-28,115.95,115.95,115.95,0.0,0.0,117.42,117.42,117.42,0.0,0.0,115.95,115.95,115.95,0.0,0.0,117.27,117.27,117.27,0.0,0.0
2019-05-05,113.35,113.35,113.35,0.0,0.0,113.51,113.51,113.51,0.0,0.0,112.12,112.12,112.12,0.0,0.0,112.6,112.6,112.6,0.0,0.0
2019-05-12,113.48,113.48,113.48,0.0,0.0,114.06,114.06,114.06,0.0,0.0,113.22,113.22,113.22,0.0,0.0,113.5,113.5,113.5,0.0,0.0
2019-05-19,113.01,113.01,113.01,0.0,0.0,113.12,113.12,113.12,0.0,0.0,112.38,112.38,112.38,0.0,0.0,112.73,112.73,112.73,0.0,0.0
2019-05-26,109.23,109.23,109.23,0.0,0.0,110.16,110.16,110.16,0.0,0.0,109.19,109.19,109.19,0.0,0.0,109.81,109.81,109.81,0.0,0.0
2019-06-02,114.77,114.77,114.77,0.0,0.0,115.31,115.31,115.31,0.0,0.0,114.58,114.58,114.58,0.0,0.0,114.63,114.63,114.63,0.0,0.0
2019-06-09,114.8,114.8,114.8,0.0,0.0,115.03,115.03,115.03,0.0,0.0,114.64,114.64,114.64,0.0,0.0,114.75,114.75,114.75,0.0,0.0
2019-06-16,116.41,116.41,116.41,0.0,0.0,116.45,116.45,116.45,0.0,0.0,115.85,115.85,115.85,0.0,0.0,115.94,115.94,115.94,0.0,0.0
2019-06-23,117.84,117.84,117.84,0.0,0.0,118.08,118.08,118.08,0.0,0.0,116.88,116.88,116.88,0.0,0.0,117.34,117.34,117.34,0.0,0.0
2019-06-30,117.85,117.85,117.85,0.0,0.0,118.07,118.07,118.07,0.0,0.0,117.46,117.46,117.46,0.0,0.0,117.68,117.68,117.68,0.0,0.0
2019-07-07,119.0,119.0,119.0,0.0,0.0,119.0,119.0,119.0,0.0,0.0,118.51,118.51,118.51,0.0,0.0,118.74,118.74,118.74,0.0,0.0
2019-07-14,117.61,117.61,117.61,0.0,0.0,117.68,117.68,117.68,0.0,0.0,117.2,117.2,117.2,0.0,0.0,117.46,117.46,117.46,0.0,0.0
2019-07-21,119.31,119.31,119.31,0.0,0.0,119.4,119.4,119.4,0.0,0.0,119.12,119.12,119.12,0.0,0.0,119.24,119.24,119.24,0.0,0.0
2019-07-28,113.95,113.95,113.95,0.0,0.0,113.95,113.95,113.95,0.0,0.0,111.67,111.67,111.67,0.0,0.0,112.45,112.45,112.45,0.0,0.0
2019-08-04,114.07,114.07,114.07,0.0,0.0,114.12,114.12,114.12,0.0,0.0,112.94,112.94,112.94,0.0,0.0,113.27,113.27,113.27,0.0,0.0
2019-08-11,114.37,114.37,114.37,0.0,0.0,114.68,114.68,114.68,0.0,0.0,114.15,114.15,114.15,0.0,0.0,114.36,114.36,114.36,0.0,0.0
2019-08-18,112.37,112.37,112.37,0.0,0.0,112.49,112.49,112.49,0.0,0.0,111.68,111.68,111.68,0.0,0.0,112.47,112.47,112.47,0.0,0.0
2019-08-25,114.83,114.83,114.83,0.0,0.0,114.93,114.93,114.93,0.0,0.0,114.03,114.03,114.03,0.0,0.0,114.33,114.33,114.33,0.0,0.0
2019-09-01,117.37,117.37,117.37,0.0,0.0,117.91,117.91,117.91,0.0,0.0,117.37,117.37,117.37,0.0,0.0,117.91,117.91,117.91,0.0,0.0
2019-09-08,119.49,119.49,119.49,0.0,0.0,119.62,119.62,119.62,0.0,0.0,119.23,119.23,119.23,0.0,0.0,119.5,119.5,119.5,0.0,0.0
2019-09-15,117.79,117.79,117.79,0.0,0.0,118.57,118.57,118.57,0.0,0.0,117.74,117.74,117.74,0.0,0.0,118.28,118.28,118.28,0.0,0.0
2019-09-22,117.56,117.56,117.56,0.0,0.0,118.08,118.08,118.08,0.0,0.0,117.56,117.56,117.56,0.0,0.0,117.86,117.86,117.86,0.0,0.0
2019-09-29,115.78,115.78,115.78,0.0,0.0,116.49,116.49,116.49,0.0,0.0,115.5,115.5,115.5,0.0,0.0,115.57,115.57,115.57,0.0,0.0
2019-10-06,116.78,116.78,116.78,0.0,0.0,116.97,116.97,116.97,0.0,0.0,116.61,116.61,116.61,0.0,0.0,116.77,116.77,116.77,0.0,0.0
2019-10-13,118.54,118.54,118.54,0.0,0.0,118.93,118.93,118.93,0.0,0.0,118.54,118.54,118.54,0.0,0.0,118.92,118.92,118.92,0.0,0.0
2019-10-20,120.06,120.06,120.06,0.0,0.0,120.61,120.61,120.61,0.0,0.0,120.06,120.06,120.06,0.0,0.0,120.18,120.18,120.18,0.0,0.0
2019-10-27,121.99,121.99,121.99,0.0,0.0,122.33,122.33,122.33,0.0,0.0,121.99,121.99,121.99,0.0,0.0,122.28,122.28,122.28,0.0,0.0
2019-11-03,122.62,122.62,122.62,0.0,0.0,122.92,122.92,122.92,0.0,0.0,122.4,122.4,122.4,0.0,0.0,122.84,122.84,122.84,0.0,0.0
2019-11-10,123.49,123.49,123.49,0.0,0.0,123.63,123.63,123.63,0.0,0.0,123.27,123.27,123.27,0.0,0.0,123.53,123.53,123.53,0.0,0.0
2019-11-17,123.37,123.37,123.37,0.0,0.0,123.88,123.88,123.88,0.0,0.0,123.37,123.37,123.37,0.0,0.0,123.88,123.88,123.88,0.0,0.0
2019-11-24,123.98,123.98,123.98,0.0,0.0,123.98,123.98,123.98,0.0,0.0,122.95,122.95,122.95,0.0,0.0,123.05,123.05,123.05,0.0,0.0
2019-12-01,124.27,124.27,124.27,0.0,0.0,124.48,124.48,124.48,0.0,0.0,124.06,124.06,124.06,0.0,0.0,124.08,124.08,124.08,0.0,0.0
2019-12-08,125.98,125.98,125.98,0.0,0.0,126.46,126.46,126.46,0.0,0.0,125.98,125.98,125.98,0.0,0.0,126.12,126.12,126.12,0.0,0.0
2019-12-15,126.58,126.58,126.58,0.0,0.0,126.71,126.71,126.71,0.0,0.0,126.4,126.4,126.4,0.0,0.0,126.41,126.41,126.41,0.0,0.0
2019-12-22,126.96,126.96,126.96,0.0,0.0,126.96,126.96,126.96,0.0,0.0,126.2,126.2,126.2,0.0,0.0,126.29,126.29,126.29,0.0,0.0
2019-12-29,126.3,126.3,126.3,0.0,0.0,126.86,126.86,126.86,0.0,0.0,126.3,126.3,126.3,0.0,0.0,126.53,126.53,126.53,0.0,0.0
