Date,PowerShares Dynamic Large Cap Growth_Open_average,PowerShares Dynamic Large Cap Growth_Open_max,PowerShares Dynamic Large Cap Growth_Open_min,PowerShares Dynamic Large Cap Growth_Open_volatility,PowerShares Dynamic Large Cap Growth_Open_change,PowerShares Dynamic Large Cap Growth_High_average,PowerShares Dynamic Large Cap Growth_High_max,PowerShares Dynamic Large Cap Growth_High_min,PowerShares Dynamic Large Cap Growth_High_volatility,PowerShares Dynamic Large Cap Growth_High_change,PowerShares Dynamic Large Cap Growth_Low_average,PowerShares Dynamic Large Cap Growth_Low_max,PowerShares Dynamic Large Cap Growth_Low_min,PowerShares Dynamic Large Cap Growth_Low_volatility,PowerShares Dynamic Large Cap Growth_Low_change,PowerShares Dynamic Large Cap Growth_Close_average,PowerShares Dynamic Large Cap Growth_Close_max,PowerShares Dynamic Large Cap Growth_Close_min,PowerShares Dynamic Large Cap Growth_Close_volatility,PowerShares Dynamic Large Cap Growth_Close_change
2018-03-25,42.12,42.12,42.12,0.0,0.0,43.03,43.03,43.03,0.0,0.0,42.01,42.01,42.01,0.0,0.0,42.76,42.76,42.76,0.0,0.0
2018-04-01,42.57,42.57,42.57,0.0,0.0,42.91,42.91,42.91,0.0,0.0,41.82,41.82,41.82,0.0,0.0,41.99,41.99,41.99,0.0,0.0
2018-04-08,43.54,43.54,43.54,0.0,0.0,43.54,43.54,43.54,0.0,0.0,42.89,42.89,42.89,0.0,0.0,42.9,42.9,42.9,0.0,0.0
2018-04-15,44.18,44.18,44.18,0.0,0.0,44.19,44.19,44.19,0.0,0.0,43.73,43.73,43.73,0.0,0.0,43.8,43.8,43.8,0.0,0.0
2018-04-22,43.97,43.97,43.97,0.0,0.0,43.98,43.98,43.98,0.0,0.0,43.52,43.52,43.52,0.0,0.0,43.67,43.67,43.67,0.0,0.0
2018-04-29,43.01,43.01,43.01,0.0,0.0,43.8,43.8,43.8,0.0,0.0,43.01,43.01,43.01,0.0,0.0,43.73,43.73,43.73,0.0,0.0
2018-05-06,44.93,44.93,44.93,0.0,0.0,45.12,45.12,45.12,0.0,0.0,44.9,44.9,44.9,0.0,0.0,44.98,44.98,44.98,0.0,0.0
2018-05-13,44.76,44.76,44.76,0.0,0.0,45.02,45.02,45.02,0.0,0.0,44.76,44.76,44.76,0.0,0.0,44.95,44.95,44.95,0.0,0.0
2018-05-20,45.18,45.18,45.18,0.0,0.0,45.18,45.18,45.18,0.0,0.0,44.96,44.96,44.96,0.0,0.0,45.06,45.06,45.06,0.0,0.0
2018-05-27,45.24,45.24,45.24,0.0,0.0,45.64,45.64,45.64,0.0,0.0,45.24,45.24,45.24,0.0,0.0,45.62,45.62,45.62,0.0,0.0
2018-06-03,46.15,46.15,46.15,0.0,0.0,46.48,46.48,46.48,0.0,0.0,46.12,46.12,46.12,0.0,0.0,46.47,46.47,46.47,0.0,0.0
2018-06-10,46.83,46.83,46.83,0.0,0.0,46.83,46.83,46.83,0.0,0.0,46.42,46.42,46.42,0.0,0.0,46.64,46.64,46.64,0.0,0.0
2018-06-17,46.13,46.13,46.13,0.0,0.0,46.13,46.13,46.13,0.0,0.0,45.82,45.82,45.82,0.0,0.0,45.82,45.82,45.82,0.0,0.0
2018-06-24,45.17,45.17,45.17,0.0,0.0,45.36,45.36,45.36,0.0,0.0,44.98,44.98,44.98,0.0,0.0,44.98,44.98,44.98,0.0,0.0
2018-07-01,45.18,45.18,45.18,0.0,0.0,45.67,45.67,45.67,0.0,0.0,45.18,45.18,45.18,0.0,0.0,45.53,45.53,45.53,0.0,0.0
2018-07-08,46.68,46.68,46.68,0.0,0.0,46.76,46.76,46.76,0.0,0.0,46.48,46.48,46.48,0.0,0.0,46.75,46.75,46.75,0.0,0.0
2018-07-15,46.71,46.71,46.71,0.0,0.0,47.0,47.0,47.0,0.0,0.0,46.68,46.68,46.68,0.0,0.0,46.81,46.81,46.81,0.0,0.0
2018-07-22,47.14,47.14,47.14,0.0,0.0,47.14,47.14,47.14,0.0,0.0,46.27,46.27,46.27,0.0,0.0,46.46,46.46,46.46,0.0,0.0
2018-07-29,46.26,46.26,46.26,0.0,0.0,46.28,46.28,46.28,0.0,0.0,46.07,46.07,46.07,0.0,0.0,46.23,46.23,46.23,0.0,0.0
2018-08-05,46.39,46.39,46.39,0.0,0.0,46.57,46.57,46.57,0.0,0.0,46.32,46.32,46.32,0.0,0.0,46.46,46.46,46.46,0.0,0.0
2018-08-12,46.25,46.25,46.25,0.0,0.0,46.41,46.41,46.41,0.0,0.0,46.1,46.1,46.1,0.0,0.0,46.32,46.32,46.32,0.0,0.0
2018-08-19,46.96,46.96,46.96,0.0,0.0,47.33,47.33,47.33,0.0,0.0,46.96,46.96,46.96,0.0,0.0,47.31,47.31,47.31,0.0,0.0
2018-08-26,47.89,47.89,47.89,0.0,0.0,47.97,47.97,47.97,0.0,0.0,47.8,47.8,47.8,0.0,0.0,47.97,47.97,47.97,0.0,0.0
2018-09-02,47.32,47.32,47.32,0.0,0.0,47.59,47.59,47.59,0.0,0.0,47.32,47.32,47.32,0.0,0.0,47.34,47.34,47.34,0.0,0.0
2018-09-09,47.95,47.95,47.95,0.0,0.0,48.03,48.03,48.03,0.0,0.0,47.83,47.83,47.83,0.0,0.0,47.99,47.99,47.99,0.0,0.0
2018-09-16,48.42,48.42,48.42,0.0,0.0,48.51,48.51,48.51,0.0,0.0,48.24,48.24,48.24,0.0,0.0,48.34,48.34,48.34,0.0,0.0
2018-09-23,48.15,48.15,48.15,0.0,0.0,48.38,48.38,48.38,0.0,0.0,48.15,48.15,48.15,0.0,0.0,48.24,48.24,48.24,0.0,0.0
2018-09-30,47.73,47.73,47.73,0.0,0.0,47.83,47.83,47.83,0.0,0.0,47.21,47.21,47.21,0.0,0.0,47.49,47.49,47.49,0.0,0.0
2018-10-07,45.56,45.56,45.56,0.0,0.0,45.63,45.63,45.63,0.0,0.0,45.0,45.0,45.0,0.0,0.0,45.49,45.49,45.49,0.0,0.0
2018-10-14,45.6,45.6,45.6,0.0,0.0,45.77,45.77,45.77,0.0,0.0,45.12,45.12,45.12,0.0,0.0,45.17,45.17,45.17,0.0,0.0
2018-10-21,43.53,43.53,43.53,0.0,0.0,43.95,43.95,43.95,0.0,0.0,43.07,43.07,43.07,0.0,0.0,43.55,43.55,43.55,0.0,0.0
2018-10-28,45.31,45.31,45.31,0.0,0.0,45.41,45.41,45.41,0.0,0.0,44.5,44.5,44.5,0.0,0.0,44.77,44.77,44.77,0.0,0.0
2018-11-04,46.0,46.0,46.0,0.0,0.0,46.03,46.03,46.03,0.0,0.0,45.6,45.6,45.6,0.0,0.0,45.93,45.93,45.93,0.0,0.0
2018-11-11,44.78,44.78,44.78,0.0,0.0,45.25,45.25,45.25,0.0,0.0,44.75,44.75,44.75,0.0,0.0,45.14,45.14,45.14,0.0,0.0
2018-11-18,43.0,43.0,43.0,0.0,0.0,43.31,43.31,43.31,0.0,0.0,42.92,42.92,42.92,0.0,0.0,43.1,43.1,43.1,0.0,0.0
2018-11-25,45.13,45.13,45.13,0.0,0.0,45.56,45.56,45.56,0.0,0.0,45.13,45.13,45.13,0.0,0.0,45.56,45.56,45.56,0.0,0.0
2018-12-02,44.43,44.43,44.43,0.0,0.0,44.7,44.7,44.7,0.0,0.0,43.2,43.2,43.2,0.0,0.0,43.44,43.44,43.44,0.0,0.0
2018-12-09,43.59,43.59,43.59,0.0,0.0,43.67,43.67,43.67,0.0,0.0,42.87,42.87,42.87,0.0,0.0,43.04,43.04,43.04,0.0,0.0
2018-12-16,40.76,40.76,40.76,0.0,0.0,41.11,41.11,41.11,0.0,0.0,39.55,39.55,39.55,0.0,0.0,39.66,39.66,39.66,0.0,0.0
2018-12-23,41.34,41.34,41.34,0.0,0.0,41.61,41.61,41.61,0.0,0.0,40.73,40.73,40.73,0.0,0.0,41.08,41.08,41.08,0.0,0.0
2018-12-30,40.91,40.91,40.91,0.0,0.0,41.9,41.9,41.9,0.0,0.0,40.83,40.83,40.83,0.0,0.0,41.8,41.8,41.8,0.0,0.0
2019-01-06,43.1,43.1,43.1,0.0,0.0,43.22,43.22,43.22,0.0,0.0,43.0,43.0,43.0,0.0,0.0,43.2,43.2,43.2,0.0,0.0
2019-01-13,44.34,44.34,44.34,0.0,0.0,44.57,44.57,44.57,0.0,0.0,44.05,44.05,44.05,0.0,0.0,44.51,44.51,44.51,0.0,0.0
2019-01-20,44.3,44.3,44.3,0.0,0.0,44.45,44.45,44.45,0.0,0.0,44.24,44.24,44.24,0.0,0.0,44.29,44.29,44.29,0.0,0.0
2019-01-27,45.27,45.27,45.27,0.0,0.0,45.47,45.47,45.47,0.0,0.0,45.17,45.17,45.17,0.0,0.0,45.35,45.35,45.35,0.0,0.0
2019-02-03,45.06,45.06,45.06,0.0,0.0,45.35,45.35,45.35,0.0,0.0,45.01,45.01,45.01,0.0,0.0,45.33,45.33,45.33,0.0,0.0
2019-02-10,46.75,46.75,46.75,0.0,0.0,46.89,46.89,46.89,0.0,0.0,46.66,46.66,46.66,0.0,0.0,46.89,46.89,46.89,0.0,0.0
2019-02-17,46.8,46.8,46.8,0.0,0.0,47.15,47.15,47.15,0.0,0.0,46.77,46.77,46.77,0.0,0.0,47.08,47.08,47.08,0.0,0.0
2019-02-24,47.15,47.15,47.15,0.0,0.0,47.39,47.39,47.39,0.0,0.0,47.04,47.04,47.04,0.0,0.0,47.36,47.36,47.36,0.0,0.0
2019-03-03,45.57,45.57,45.57,0.0,0.0,45.62,45.62,45.62,0.0,0.0,45.33,45.33,45.33,0.0,0.0,45.61,45.61,45.61,0.0,0.0
2019-03-10,46.8,46.8,46.8,0.0,0.0,47.02,47.02,47.02,0.0,0.0,46.61,46.61,46.61,0.0,0.0,46.91,46.91,46.91,0.0,0.0
2019-03-17,47.32,47.32,47.32,0.0,0.0,47.34,47.34,47.34,0.0,0.0,46.67,46.67,46.67,0.0,0.0,46.69,46.69,46.69,0.0,0.0
2019-03-24,47.32,47.32,47.32,0.0,0.0,47.5,47.5,47.5,0.0,0.0,47.23,47.23,47.23,0.0,0.0,47.46,47.46,47.46,0.0,0.0
2019-03-31,48.15,48.15,48.15,0.0,0.0,48.45,48.45,48.45,0.0,0.0,48.11,48.11,48.11,0.0,0.0,48.45,48.45,48.45,0.0,0.0
2019-04-07,48.5,48.5,48.5,0.0,0.0,48.58,48.58,48.58,0.0,0.0,48.25,48.25,48.25,0.0,0.0,48.32,48.32,48.32,0.0,0.0
2019-04-14,47.59,47.59,47.59,0.0,0.0,47.65,47.65,47.65,0.0,0.0,47.28,47.28,47.28,0.0,0.0,47.56,47.56,47.56,0.0,0.0
2019-04-21,48.5,48.5,48.5,0.0,0.0,48.75,48.75,48.75,0.0,0.0,48.27,48.27,48.27,0.0,0.0,48.75,48.75,48.75,0.0,0.0
2019-04-28,48.22,48.22,48.22,0.0,0.0,48.38,48.38,48.38,0.0,0.0,48.22,48.22,48.22,0.0,0.0,48.32,48.32,48.32,0.0,0.0
2019-05-05,47.14,47.14,47.14,0.0,0.0,47.47,47.47,47.47,0.0,0.0,46.46,46.46,46.46,0.0,0.0,47.4,47.4,47.4,0.0,0.0
2019-05-12,46.69,46.69,46.69,0.0,0.0,47.26,47.26,47.26,0.0,0.0,46.69,46.69,46.69,0.0,0.0,46.92,46.92,46.92,0.0,0.0
2019-05-19,46.52,46.52,46.52,0.0,0.0,46.62,46.62,46.62,0.0,0.0,46.21,46.21,46.21,0.0,0.0,46.29,46.29,46.29,0.0,0.0
2019-05-26,45.47,45.47,45.47,0.0,0.0,45.65,45.65,45.65,0.0,0.0,45.31,45.31,45.31,0.0,0.0,45.47,45.47,45.47,0.0,0.0
2019-06-02,47.27,47.27,47.27,0.0,0.0,47.86,47.86,47.86,0.0,0.0,47.27,47.27,47.27,0.0,0.0,47.76,47.76,47.76,0.0,0.0
2019-06-09,47.77,47.77,47.77,0.0,0.0,47.85,47.85,47.85,0.0,0.0,47.7,47.7,47.7,0.0,0.0,47.76,47.76,47.76,0.0,0.0
2019-06-16,48.9,48.9,48.9,0.0,0.0,49.08,49.08,49.08,0.0,0.0,48.81,48.81,48.81,0.0,0.0,48.93,48.93,48.93,0.0,0.0
2019-06-23,48.18,48.18,48.18,0.0,0.0,48.44,48.44,48.44,0.0,0.0,48.05,48.05,48.05,0.0,0.0,48.37,48.37,48.37,0.0,0.0
2019-06-30,49.05,49.05,49.05,0.0,0.0,49.32,49.32,49.32,0.0,0.0,48.88,48.88,48.88,0.0,0.0,49.24,49.24,49.24,0.0,0.0
2019-07-07,49.81,49.81,49.81,0.0,0.0,50.03,50.03,50.03,0.0,0.0,49.77,49.77,49.77,0.0,0.0,50.03,50.03,50.03,0.0,0.0
2019-07-14,50.22,50.22,50.22,0.0,0.0,50.22,50.22,50.22,0.0,0.0,49.72,49.72,49.72,0.0,0.0,49.72,49.72,49.72,0.0,0.0
2019-07-21,49.96,49.96,49.96,0.0,0.0,50.28,50.28,50.28,0.0,0.0,49.96,49.96,49.96,0.0,0.0,50.26,50.26,50.26,0.0,0.0
2019-07-28,48.8,48.8,48.8,0.0,0.0,48.8,48.8,48.8,0.0,0.0,48.3,48.3,48.3,0.0,0.0,48.53,48.53,48.53,0.0,0.0
2019-08-04,48.81,48.81,48.81,0.0,0.0,48.84,48.84,48.84,0.0,0.0,48.36,48.36,48.36,0.0,0.0,48.66,48.66,48.66,0.0,0.0
2019-08-11,48.03,48.03,48.03,0.0,0.0,48.39,48.39,48.39,0.0,0.0,48.03,48.03,48.03,0.0,0.0,48.33,48.33,48.33,0.0,0.0
2019-08-18,48.61,48.61,48.61,0.0,0.0,48.95,48.95,48.95,0.0,0.0,47.52,47.52,47.52,0.0,0.0,47.71,47.71,47.71,0.0,0.0
2019-08-25,49.57,49.57,49.57,0.0,0.0,49.57,49.57,49.57,0.0,0.0,49.15,49.15,49.15,0.0,0.0,49.31,49.31,49.31,0.0,0.0
2019-09-01,49.93,49.93,49.93,0.0,0.0,50.11,50.11,50.11,0.0,0.0,49.9,49.9,49.9,0.0,0.0,49.91,49.91,49.91,0.0,0.0
2019-09-08,48.92,48.92,48.92,0.0,0.0,48.96,48.96,48.96,0.0,0.0,48.58,48.58,48.58,0.0,0.0,48.69,48.69,48.69,0.0,0.0
2019-09-15,49.04,49.04,49.04,0.0,0.0,49.12,49.12,49.12,0.0,0.0,48.59,48.59,48.59,0.0,0.0,48.67,48.67,48.67,0.0,0.0
2019-09-22,48.8,48.8,48.8,0.0,0.0,48.8,48.8,48.8,0.0,0.0,47.79,47.79,47.79,0.0,0.0,48.05,48.05,48.05,0.0,0.0
2019-09-29,47.6,47.6,47.6,0.0,0.0,48.19,48.19,48.19,0.0,0.0,47.6,47.6,47.6,0.0,0.0,48.19,48.19,48.19,0.0,0.0
2019-10-06,48.55,48.55,48.55,0.0,0.0,48.75,48.75,48.75,0.0,0.0,48.28,48.28,48.28,0.0,0.0,48.28,48.28,48.28,0.0,0.0
2019-10-13,48.64,48.64,48.64,0.0,0.0,48.77,48.77,48.77,0.0,0.0,48.29,48.29,48.29,0.0,0.0,48.54,48.54,48.54,0.0,0.0
2019-10-20,47.93,47.93,47.93,0.0,0.0,48.27,48.27,48.27,0.0,0.0,47.92,47.92,47.92,0.0,0.0,48.14,48.14,48.14,0.0,0.0
2019-10-27,48.73,48.73,48.73,0.0,0.0,48.76,48.76,48.76,0.0,0.0,48.46,48.46,48.46,0.0,0.0,48.52,48.52,48.52,0.0,0.0
2019-11-03,48.38,48.38,48.38,0.0,0.0,48.53,48.53,48.53,0.0,0.0,48.28,48.28,48.28,0.0,0.0,48.39,48.39,48.39,0.0,0.0
2019-11-10,49.31,49.31,49.31,0.0,0.0,49.48,49.48,49.48,0.0,0.0,49.24,49.24,49.24,0.0,0.0,49.48,49.48,49.48,0.0,0.0
2019-11-17,49.43,49.43,49.43,0.0,0.0,49.43,49.43,49.43,0.0,0.0,49.15,49.15,49.15,0.0,0.0,49.3,49.3,49.3,0.0,0.0
2019-11-24,49.97,49.97,49.97,0.0,0.0,50.04,50.04,50.04,0.0,0.0,49.87,49.87,49.87,0.0,0.0,49.93,49.93,49.93,0.0,0.0
2019-12-01,49.9,49.9,49.9,0.0,0.0,50.13,50.13,50.13,0.0,0.0,49.9,49.9,49.9,0.0,0.0,50.06,50.06,50.06,0.0,0.0
2019-12-08,50.38,50.38,50.38,0.0,0.0,50.58,50.58,50.58,0.0,0.0,50.22,50.22,50.22,0.0,0.0,50.56,50.56,50.56,0.0,0.0
2019-12-15,51.45,51.45,51.45,0.0,0.0,51.51,51.51,51.51,0.0,0.0,51.36,51.36,51.36,0.0,0.0,51.48,51.48,51.48,0.0,0.0
2019-12-22,51.72,51.72,51.72,0.0,0.0,51.72,51.72,51.72,0.0,0.0,51.55,51.55,51.55,0.0,0.0,51.63,51.63,51.63,0.0,0.0
2019-12-29,51.23,51.23,51.23,0.0,0.0,51.63,51.63,51.63,0.0,0.0,51.23,51.23,51.23,0.0,0.0,51.48,51.48,51.48,0.0,0.0
